[00:00:04.676 --> 00:00:05.897]  It's October 30th, 2016.
[01:07:31.411 --> 01:07:33.173]  Democrats should ask Clinton to step aside.
[01:07:33.173 --> 01:07:35.895]  That's from the editorial board of the Chicago Tribune.
[01:07:35.895 --> 01:07:39.458]  We've already seen all these big papers attack Trump for no reason.
[01:07:39.458 --> 01:07:48.286]  But when you start seeing the Chicago Tribune come out against her, Loretta Lynch pleading the 5th to Congress in all these different investigations, that's the Attorney General.
[01:07:50.799 --> 01:07:52.520]  Roger Stone's coming up in the next segment.
[01:07:52.520 --> 01:07:56.303]  He says the Globals are deserting Hillary from his intel.
[01:07:56.303 --> 01:08:09.111]  Even in fake polls, where they're sampling 9, 12, 15% more Democrats, Hillary is now 2 to 5 points in these Gallup polls, ABC polls, you name it, behind.
[01:08:09.111 --> 01:08:11.873]  But you just heard Larry Nichols, and it's all over mainstream news.
[01:08:11.873 --> 01:08:13.374]  ABC, CBS, NBC.
[01:08:13.374 --> 01:08:16.175]  To local news' credit, they're actually reporting on it.
[01:08:16.175 --> 01:08:17.616]  Dead people voting.
[01:08:17.616 --> 01:08:18.377]  Illegals voting.
[01:08:19.773 --> 01:08:24.064]  Bloomberg came out and said, oh cities are letting illegals vote, it's a good thing, on Friday, but...
[01:08:25.285 --> 01:08:26.746]  Trump's crazy illegals aren't voting.
[01:08:26.746 --> 01:08:27.986]  I'm like, what is a story like that?
[01:08:27.986 --> 01:08:34.029]  Larry, why would Bloomberg have a story on Friday saying illegals are voting but Trump's still wrong about it?
[01:08:34.029 --> 01:08:37.171]  I mean, and you know, it's not a big deal to have illegals vote.
[01:08:37.171 --> 01:08:37.971]  They actually said that.
[01:08:37.971 --> 01:08:39.312]  Let's let them vote.
[01:08:39.312 --> 01:08:42.893]  What is that where they admit something but then say we're wrong?
[01:08:42.893 --> 01:08:44.574]  It's weird psychological warfare.
[01:08:44.574 --> 01:08:48.856]  I mean, I know you were a Green Beret and, you know, a bunch of secretive operations.
[01:08:48.856 --> 01:08:52.638]  That's why you got a sign of the Clintons and their whole CIA operation is fake governors.
[01:08:52.638 --> 01:08:54.819]  But what is this next level stuff?
[01:08:55.774 --> 01:09:07.716]  You know, Alex, it's all just a part of confusing and trying to get those people that are out there that might be sitting somewhere on the fence that are daily bounced from one side to the other.
[01:09:07.716 --> 01:09:08.057]  That's right.
[01:09:08.057 --> 01:09:09.097]  It's nonsense on purpose.
[01:09:09.097 --> 01:09:10.577]  That's what all the big names told me.
[01:09:10.577 --> 01:09:11.817]  It's not meant to make sense.
[01:09:11.817 --> 01:09:13.778]  It's meant to go, what the hell?
[01:09:13.778 --> 01:09:14.198]  Exactly.
[01:09:14.198 --> 01:09:16.198]  It's supposed to make it a balking effect.
[01:09:16.198 --> 01:09:18.699]  It's just like when the pitcher balks in a game.
[01:09:18.699 --> 01:09:20.019]  That's what it's for.
[01:09:20.019 --> 01:09:23.400]  And Alex, let me say this to everybody that might doubt what you and I are saying.
[01:09:23.400 --> 01:09:24.540]  Alex didn't do this.
[01:09:24.540 --> 01:09:24.820]  I did.
[01:09:25.529 --> 01:09:27.149]  But folks, I name names.
[01:09:27.149 --> 01:09:28.690]  You know, I'm named Comey.
[01:09:28.690 --> 01:09:30.470]  I'm named Lynch.
[01:09:30.470 --> 01:09:36.871]  They could sue me criminally for the things I've just said about them if I can't prove it before the law.
[01:09:36.871 --> 01:09:38.472]  So let's get serious about this.
[01:09:38.472 --> 01:09:42.633]  You know, Alex, I've told you what we've talked about for almost a year now.
[01:09:42.633 --> 01:09:47.814]  When I have said this is the last election we're going to have.
[01:09:47.814 --> 01:09:48.254]  I agree.
[01:09:48.254 --> 01:09:49.974]  They've never acted so criminal.
[01:09:49.974 --> 01:09:51.614]  They've never pulled out stops.
[01:09:51.614 --> 01:09:53.815]  They've never geared up for martial law the way they are.
[01:09:55.356 --> 01:10:00.883]  I mean, everyone in this audience and everybody should be able to see everywhere, but they don't.
[01:10:00.883 --> 01:10:01.684]  You should see.
[01:10:01.684 --> 01:10:06.470]  They're going to extremes never before even dreamt of.
[01:10:06.470 --> 01:10:07.471]  But they're going to now.
[01:10:08.186 --> 01:10:09.887]  And part of it's because of what you just said.
[01:10:09.887 --> 01:10:10.667]  And this is war.
[01:10:10.667 --> 01:10:12.628]  Hillary doesn't care if it comes out she's a criminal.
[01:10:12.628 --> 01:10:19.391]  She wants to become a dictator in a climate so dangerous, the elite have to make her dictator to keep them in place.
[01:10:19.391 --> 01:10:21.412]  And remember, she can do anything she wants.
[01:10:21.412 --> 01:10:23.773]  In her mind, her and Bill, she can do anything she wants.
[01:10:23.773 --> 01:10:24.474]  Because why?
[01:10:24.474 --> 01:10:28.516]  Number one, she knows she'll not be prosecuted by Lynch or Comey.
[01:10:28.516 --> 01:10:30.937]  She knows she'll not be exposed by the media.
[01:10:31.697 --> 01:10:33.658]  She knows that, they know that, they've got free rein.
[01:10:33.658 --> 01:10:38.659]  So is there any point, you talk about curb balls that decent people in the government are ready to throw.
[01:10:38.659 --> 01:10:40.640]  You said this last week, it's now happening.
[01:10:40.640 --> 01:10:42.720]  I mean, how do we fight back against this?
[01:10:42.720 --> 01:10:45.381]  Just exactly what I said last week.
[01:10:45.381 --> 01:10:47.561]  You go and you protect your vote.
[01:10:47.561 --> 01:11:00.485]  When you go into a voting machine, if it's touchscreen, do not leave that voting booth until somebody in that precinct has proved to you that your vote was logged exactly like you cast it, and if they cannot,
[01:11:01.045 --> 01:11:03.045]  You demand a paper ballot.
[01:11:03.045 --> 01:11:04.526]  You demand a paper ballot.
[01:11:04.526 --> 01:11:07.566]  And then all of you veterans groups get together.
[01:11:07.566 --> 01:11:18.368]  Go to the inner city precincts of these major cities, certainly the ones in the major states, the states that are the whatever you call them for the electoral stuff.
[01:11:18.368 --> 01:11:19.488]  Get to those states.
[01:11:19.488 --> 01:11:22.389]  Have people in those precincts.
[01:11:22.389 --> 01:11:24.569]  And you'll catch them coming up in vans.
[01:11:24.569 --> 01:11:29.190]  You'll catch them going in and out voting over and over and over.
[01:11:29.190 --> 01:11:30.190]  Take a picture of it.
[01:11:30.885 --> 01:11:42.370]  Notify, do this very seriously, don't get in their way, don't cause a confrontation, but when you get pictures of it, go in and notify the head of the precinct, tell them that you've seen it.
[01:11:42.370 --> 01:11:46.811]  Then you leave there, you call the police immediately, and you have a police report.
[01:11:46.811 --> 01:11:48.112]  Then, police report.
[01:11:48.112 --> 01:11:58.796]  Then, you go to Alex Jones, to your side Alex, or anywhere else they can go, and you log in on any of these sites that provide you a place to log where you've witnessed voter fraud.
[01:12:00.057 --> 01:12:02.339]  It's going to come down to that.
[01:12:02.339 --> 01:12:05.982]  And I know you say, Alex, well, if we do that, that really won't stop.
[01:12:05.982 --> 01:12:12.307]  Listen, these people going and casting these votes are committing a crime and they know it.
[01:12:12.307 --> 01:12:16.370]  And if they think they're being watched, Alex, they'll move on.
[01:12:16.370 --> 01:12:17.131]  They won't vote.
[01:12:17.131 --> 01:12:17.771]  How do I know?
[01:12:17.771 --> 01:12:19.493]  Because I did it.
[01:12:19.493 --> 01:12:20.274]  I know.
[01:12:20.274 --> 01:12:22.956]  I know what they'll do.
[01:12:22.956 --> 01:12:24.197]  I know.
[01:12:24.197 --> 01:12:25.458]  You can win this thing.
[01:12:25.458 --> 01:12:26.899]  Trump is winning.
[01:12:27.802 --> 01:12:30.344]  But you cannot let them convince you.
[01:12:30.344 --> 01:12:32.946]  You cannot let them get you sidetracked.
[01:12:32.946 --> 01:12:34.847]  They're masters at misdirection.
[01:12:34.847 --> 01:12:38.090]  Oh, that's why they're saying it's intimidation to even do exit polls.
[01:12:38.090 --> 01:12:39.130]  It's legal and lawful.
[01:12:39.130 --> 01:12:41.872]  They're really scared of what you and Roger Stone have talked about.
[01:12:41.872 --> 01:12:47.677]  They are really scared of knowing our numbers are out there because we document enough of it and we have a hundred cases on video.
[01:12:47.677 --> 01:12:49.218]  We already have five or six.
[01:12:49.218 --> 01:12:51.219]  It'll absolutely discredit them no matter what they do.
[01:12:51.219 --> 01:12:53.541]  So the full war is happening now.
[01:12:53.541 --> 01:12:55.923]  They are full court press with everything they've got.
[01:12:56.991 --> 01:13:06.794]  They are hammering 110% and Comey, bottom line, is hedging his bet in case Trump gets in that at least he reopened an investigation.
[01:13:06.794 --> 01:13:12.156]  Hillary green-lighted that because it diverts off of the WikiLeaks and all the rest of the stuff that's happening.
[01:13:12.156 --> 01:13:20.659]  They think the FBI is dumb, the people that are good guys in there and good people in there, and so they'll think, oh, we've reopened it, but the good news is from you, they're all seeing right through it.
[01:13:21.119 --> 01:13:23.120]  They're seeing through it and they're growing.
[01:13:23.120 --> 01:13:25.780]  I was told they were growing in numbers every day.
[01:13:25.780 --> 01:13:34.123]  Comey's not going to have enough people crooked in the FBI by the time this eight days is over to suit up a basketball team.
[01:13:34.123 --> 01:13:35.643]  To suit up a basketball team.
[01:13:35.643 --> 01:13:37.824]  I'm telling you, it's there.
[01:13:37.824 --> 01:13:39.084]  We can do it.
[01:13:39.084 --> 01:13:41.865]  You know, Alex, I'm sorry I'm sick, but I'm
[01:13:43.123 --> 01:13:44.684]  I'm doing the best I can.
[01:13:44.684 --> 01:13:47.466]  But please, folks have got to help.
[01:13:47.466 --> 01:13:48.607]  They've got to help us.
[01:13:48.607 --> 01:13:54.611]  We've got to stop them stealing this election or there will not be another one.
[01:14:03.097 --> 01:14:03.978]  We're good to go.
[01:14:24.560 --> 01:14:26.623]  No, there's one other thing we got to talk about very fast.
[01:14:26.623 --> 01:14:27.324]  But do you agree with me?
[01:14:27.324 --> 01:14:29.627]  Well, we do have to remove them, don't we?
[01:14:29.627 --> 01:14:30.448]  You bet.
[01:14:30.448 --> 01:14:33.833]  And you can, and we'll talk about that after we win.
[01:14:33.833 --> 01:14:37.078]  But I hear a lot of people talking about the Electoral College book.
[01:14:37.688 --> 01:14:38.609]  Don't worry about that.
[01:14:38.609 --> 01:14:41.330]  I know the Electoral College is rigged, but don't worry about that.
[01:14:41.330 --> 01:14:43.452]  Let's get through the general vote.
[01:14:43.452 --> 01:14:54.679]  When we get through that and Trump wins, Alex, I promise you we'll come on this program, if I'm still here, we'll come on this program and we'll tell people exactly how to stop them stealing the Electoral College.
[01:14:54.679 --> 01:14:57.521]  Do not worry about that at this time.
[01:14:57.521 --> 01:14:59.462]  Worry about this election.
[01:15:00.310 --> 01:15:02.111]  That's what you focus on.
[01:15:02.111 --> 01:15:05.053]  And Alex, if people can help, please give them that PayPal.
[01:15:05.053 --> 01:15:05.453]  That's right.
[01:15:05.453 --> 01:15:06.134]  Let me talk about this.
[01:15:06.134 --> 01:15:07.415]  Larry is in the hospital.
[01:15:07.415 --> 01:15:09.536]  The day I was there, they were making hospital calls in the background.
[01:15:09.536 --> 01:15:10.477]  So he's in the hospital.
[01:15:10.477 --> 01:15:11.277]  He said, yeah, I'm there.
[01:15:11.277 --> 01:15:13.539]  He said everything he can to get the word out.
[01:15:13.539 --> 01:15:15.640]  We need to keep this guy alive as long as possible.
[01:15:15.640 --> 01:15:16.121]  Get the word out.
[01:15:16.121 --> 01:15:19.403]  We need to put up his PayPal address on screen.
[01:15:19.403 --> 01:15:20.724]  Give that for radio listeners.
[01:15:20.724 --> 01:15:24.566]  It's NicholsLive, one word, NicholsLive at AOL.com.
[01:15:26.363 --> 01:15:29.829]  Thanks for reminding me, because I told you I wanted to plug that for your medical bills and try to help you out, Larry.
[01:15:29.829 --> 01:15:30.510]  You're such a jewel.
[01:15:30.510 --> 01:15:32.694]  You better hang on about 10 more years here, buddy.
[01:15:32.694 --> 01:15:33.696]  Nichols Live at AOL.
[01:15:35.194 --> 01:15:35.855]  You bet, buddy.
[01:15:35.855 --> 01:15:36.055]  Thank you.
[01:16:00.586 --> 01:16:04.750]  Introducing Vitamin Mineral Fusion from Infowarslife.com.
[01:16:04.750 --> 01:16:12.216]  We have worked for years with our chemists and scientists to create the most powerful and affordable grape-tasting multivitamin formula available.
[01:16:12.216 --> 01:16:23.166]  The all-new Vitamin Mineral Fusion drink mix at Infowarslife.com is loaded with a full month's supply of essential vitamins, minerals, and amino acids that your body absolutely needs.
[01:16:23.666 --> 01:16:31.512]  In the history of InfoWars life, we've brought out a lot of amazing products like Survival Shield X2, Super Mel Vitality, and so many others.
[01:16:31.512 --> 01:16:41.138]  But I am most proud of the product we're now launching today, with its unique delivery system and proprietary manufacturing process designed for maximized effects.
[01:16:41.138 --> 01:16:45.581]  This formula is the platinum standard of multivitamin mineral products.
[01:16:45.581 --> 01:16:52.246]  The ingredients in Vitamin Mineral Fusion are either plant-derived or of the highest quality lab standard.
[01:16:52.646 --> 01:16:54.108]  That means it's clean.
[01:16:54.108 --> 01:16:55.269]  That means it's pure.
[01:16:55.269 --> 01:16:58.171]  That's Infowarslife.com and Vitamin Mineral Fusion.
[01:16:58.171 --> 01:17:00.373]  Take action now before we sell out.
[01:17:00.373 --> 01:17:05.458]  Over the years, there have been a lot of powerful advancements in the field of science and nutraceuticals.
[01:17:05.458 --> 01:17:10.383]  Longevity integrates years of scientific research into creating fantastic products
[01:17:10.543 --> 01:17:14.286]  Like Beyond Tangy Tangerine, plant-derived minerals, and much more.
[01:17:14.286 --> 01:17:18.230]  Yongevity also offers you an ingenious way to augment your income.
[01:17:18.230 --> 01:17:19.031]  And the best part?
[01:17:19.031 --> 01:17:21.893]  You'll be helping your friends and family along the way.
[01:17:21.893 --> 01:17:24.516]  Visit InfoWarsTeam.com today.
[01:17:24.516 --> 01:17:25.296]  Become a member.
[01:17:25.296 --> 01:17:29.580]  Get discounts on the amazing products and free shipping when you sign up for AutoShip.
[01:17:29.580 --> 01:17:36.046]  And you're able to promote the products to friends and family and neighbors in your community and make money while helping people at the same time.
[01:17:36.306 --> 01:17:37.266]  Another win-win.
[01:17:37.266 --> 01:17:40.987]  That's why I'm a member of the Longevity Team at InfoWarsTeam.com.
[01:17:40.987 --> 01:17:42.227]  And you can be too.
[01:17:42.227 --> 01:17:42.787]  It's simple.
[01:17:42.787 --> 01:17:45.728]  Just go to InfoWarsTeam.com today.
[01:17:45.728 --> 01:17:47.829]  Complete a short sign-up and you're part of the team.
[01:17:47.829 --> 01:17:51.069]  That's InfoWarsTeam.com or InfoWarsHealth.com.
[01:17:51.069 --> 01:17:57.391]  So many people call into my radio show and tell me how Longevity and the products at InfoWarsTeam.com have changed their lives.
[01:17:57.391 --> 01:17:58.671]  Check it out for yourself today.
[01:18:01.451 --> 01:18:07.114]  InfoWars is proud to announce the official InfoWars Live app available now for iPhone and Android.
[01:18:07.114 --> 01:18:15.559]  InfoWars Live allows you to watch a live high-definition feed of the Alex Jones Show 24-7 and get the latest breaking InfoWars reports straight to your phone.
[01:18:15.559 --> 01:18:18.401]  Want to read the latest exclusives on InfoWars.com?
[01:18:18.561 --> 01:18:20.403]  Or do you want to catch up on world news?
[01:18:20.403 --> 01:18:23.526]  Now you can do so with InfoWars Live anywhere you go.
[01:18:23.526 --> 01:18:25.848]  You can browse the news, share content, and more.
[01:18:25.848 --> 01:18:29.011]  And best of all, it's free to download at InfoWars.com.
[01:18:29.011 --> 01:18:30.432]  The app is brand new.
[01:18:30.432 --> 01:18:31.693]  This is the first release.
[01:18:31.693 --> 01:18:34.016]  And it was completely built from the ground up.
[01:18:34.016 --> 01:18:37.579]  We've seen example after example of cable news networks attempting to deceive you.
[01:18:37.839 --> 01:18:46.704]  In short, the mainstream media is being covertly manipulated by well-financed political forces who are trying to sway public opinion in an unnatural direction that only serves establishment agendas.
[01:18:46.704 --> 01:18:51.747]  But InfoWars Live is the solution to the controlled press that is rapidly losing influence.
[01:18:51.747 --> 01:18:59.091]  So download InfoWars Live today at InfoWars.com and learn what's really going on instead of being spoon-fed lies by the mainstream media.
[01:19:01.161 --> 01:19:02.903]  I'm Alex Jones with a simple question.
[01:19:02.903 --> 01:19:07.186]  Will you and your family be financially protected if there's another economic meltdown?
[01:19:07.186 --> 01:19:10.769]  Like many experts, I believe another devastating crash is coming.
[01:19:10.769 --> 01:19:12.791]  I think it's a matter of when, not if.
[01:19:12.791 --> 01:19:15.693]  Don't wait for another crisis that could wipe out your hard-earned money.
[01:19:15.693 --> 01:19:21.238]  Do what I did and call United States Gold Vault at 844-541-ALEX.
[01:19:21.238 --> 01:19:22.599]  It's a company I trust.
[01:19:22.599 --> 01:19:28.384]  They're offering gold and silver coin survival packs that could help safeguard your money in an economic meltdown.
[01:19:28.684 --> 01:19:31.885]  I'm talking real money, not paper or worthless stocks.
[01:19:31.885 --> 01:19:36.346]  China recently bought more than a billion dollars worth of gold, proving that gold is on the move.
[01:19:36.346 --> 01:19:42.188]  Gold and silver are recognized worldwide as one of the most stable means of protecting finances.
[01:19:42.188 --> 01:19:42.868]  Don't delay.
[01:19:42.868 --> 01:19:49.890]  Call 844-541-ALEX now and get a rugged double locked bank bag to securely store your coins absolutely free.
[01:19:49.890 --> 01:19:54.371]  These are dangerous times and you need to make financial protection a priority.
[01:19:54.671 --> 01:19:57.293]  I personally own these survival packs and you should too.
[01:19:57.293 --> 01:19:58.774]  Pick up the phone and call 844-541-ALEX NOW!
[01:19:58.774 --> 01:20:00.455]  You're listening to the Alex Jones Show!
[01:20:26.536 --> 01:20:29.878]  In defense of human liberty, Alex Jones.
[01:20:29.878 --> 01:20:40.282]  Alright, for the balance of this hour, Roger Stone joins us, former head of the Trump campaign.
[01:20:40.282 --> 01:20:46.885]  Now, I knew this, he's known this, just to prove how accurate we are so folks understand how dead on target we are.
[01:20:46.885 --> 01:20:51.527]  Not for ego, but so people understand that we're key generals in the fight against the tyrants.
[01:20:51.527 --> 01:20:52.928]  So we can actually defeat these people.
[01:20:54.318 --> 01:21:01.723]  I've always pointed out media matters for at least the last eight years under Obama literally directs MSNBC and CNN.
[01:21:01.723 --> 01:21:06.826]  It's the fence between the White House and the Clinton camp as well and the mainstream media.
[01:21:06.826 --> 01:21:12.370]  Now in WikiLeaks we learned in the last few years they've gone directly to commanding the media.
[01:21:12.370 --> 01:21:13.271]  But David Brock
[01:21:14.229 --> 01:21:19.392]  I mean, I'll see it there, and then a day later, it's word for word in the teleprompters everywhere.
[01:21:19.392 --> 01:21:21.734]  You know, Alex Jones wants to kill police.
[01:21:21.734 --> 01:21:23.095]  Alex Jones is a racist.
[01:21:23.095 --> 01:21:25.096]  Alex Jones is an anti-Semite.
[01:21:25.096 --> 01:21:26.497]  All made up garbage.
[01:21:26.497 --> 01:21:28.478]  It comes from them.
[01:21:28.478 --> 01:21:35.282]  We now have the WikiLeaks, where they're specifically bragging about stopping Roger Stone, saying, you know what?
[01:21:36.786 --> 01:21:42.047]  You know, for Nixon, or whether it was Reagan, or whether it was James Baker in the bushes.
[01:21:42.047 --> 01:21:43.747]  You know, he's the guy trying to stop us.
[01:21:43.747 --> 01:21:45.688]  We've got to stop him.
[01:21:45.688 --> 01:21:46.908]  That's in the new WikiLeaks.
[01:21:46.908 --> 01:21:49.388]  I'm going to show on TV here in a minute images of it.
[01:21:49.388 --> 01:21:53.249]  So, it's not gonzo journalism where we make ourselves the news.
[01:21:53.249 --> 01:21:54.829]  We're in the news.
[01:21:54.829 --> 01:21:57.229]  And I'm attacked by these people every day.
[01:21:57.229 --> 01:22:01.870]  Sometimes more than Rush Limbaugh and Sean Hannity combined.
[01:22:01.870 --> 01:22:02.870]  I mean, it's crazy.
[01:22:02.870 --> 01:22:05.931]  You know, the White House and Hillary and all these people are pissed at us.
[01:22:07.165 --> 01:22:09.648]  Knowing why they're mad at us is how we win the war.
[01:22:09.648 --> 01:22:23.804]  So, first, Project Veritas now got the video of what's in the emails with the head of Media Matters admitting that, oh, we got, that's Kramer, the guy that admits to regularly election nationwide, you know, getting people to vote via his adjunct.
[01:22:25.256 --> 01:22:30.639]  Over and over again, bragging about how they shut down Roger Stone on CNN, all these other channels.
[01:22:30.639 --> 01:22:31.800]  This is incredible.
[01:22:31.800 --> 01:22:32.840]  Now, it just came out today.
[01:22:32.840 --> 01:22:33.781]  It's got 140,000 views.
[01:22:33.781 --> 01:22:34.982]  It'll get 10 million views.
[01:22:34.982 --> 01:22:36.483]  It's up on Infowars.com.
[01:22:36.483 --> 01:22:38.964]  But we're not here talking about Roger for Roger's sake.
[01:22:38.964 --> 01:22:40.105]  He probably wants to get into other stuff.
[01:22:40.805 --> 01:22:45.692]  But it just illustrates, we don't script these interviews, it illustrates where we're going.
[01:22:45.692 --> 01:22:57.088]  So I want to get into his sources on what's happening with these latest emails, where come he's going, is he hedging his bets, is it a distraction from WikiLeaks, like Limbaugh's saying, and my sources say Limbaugh's right.
[01:22:57.569 --> 01:23:00.350]  Friday I was like, well my sources are saying she's going to jail.
[01:23:00.350 --> 01:23:02.990]  They called back and they go, no, no, no, you're not listening.
[01:23:02.990 --> 01:23:06.791]  They were already planning to have to indict her because of the new WikiLeaks with Obama.
[01:23:06.791 --> 01:23:08.471]  It's total proof of covering up.
[01:23:08.471 --> 01:23:09.611]  We don't know what's in this.
[01:23:09.611 --> 01:23:13.572]  So it's quite a swamp that Donald Trump is trying to drain.
[01:23:13.572 --> 01:23:15.392]  This is an epic time to be alive.
[01:23:15.392 --> 01:23:18.873]  Where do you want to start, Roger?
[01:23:18.873 --> 01:23:21.893]  It's almost impossible to know where to start.
[01:23:21.893 --> 01:23:24.834]  This is an extraordinary election in which you have
[01:23:25.569 --> 01:23:30.652]  Developments that I think are really seismic virtually every day.
[01:23:30.652 --> 01:23:32.373]  Earthquakes every day.
[01:23:32.373 --> 01:23:46.982]  And it's hard to understand how the FBI director, who I believe technically reports to the Attorney General, could not reopen this investigation without the approval of the President of the United States.
[01:23:46.982 --> 01:23:53.506]  Yet today there are reports that the White House was blindsided and the Attorney General was blindsided.
[01:23:53.506 --> 01:23:54.066]  I find that
[01:23:54.736 --> 01:23:56.717]  Hard to believe.
[01:23:56.717 --> 01:23:58.278]  Well, that's you inside baseball.
[01:23:58.278 --> 01:24:05.160]  I mean, I was just in your briefing that I saw you put on your site, thestoculture.com.
[01:24:05.160 --> 01:24:11.763]  You're saying that the elite are deserting Hillary, and this is Obama getting ready to flush her.
[01:24:11.763 --> 01:24:15.205]  Well, and perhaps offer her a pardon on the way out.
[01:24:15.205 --> 01:24:18.426]  I mean, it's too late to remove her name from the balance.
[01:24:18.976 --> 01:24:21.056]  Too many state ballots are printed.
[01:24:21.056 --> 01:24:25.477]  Too many states have already begun their early voting.
[01:24:25.477 --> 01:24:33.719]  One estimate is that perhaps as high as 30% of the people overall have already voted.
[01:24:33.719 --> 01:24:42.960]  She could conceivably limp through this election, although I think the late momentum is very definitely with Donald Trump.
[01:24:42.960 --> 01:24:47.321]  This event, Comey making this announcement,
[01:24:48.001 --> 01:24:52.327]  Has very clearly knocked the air out of the Clinton campaign.
[01:24:52.327 --> 01:25:00.717]  They are now attacking Comey, a guy they were praising only weeks ago for his judgment and his independence.
[01:25:00.717 --> 01:25:04.222]  I think there's more afoot here and I think there is an internal
[01:25:06.398 --> 01:25:11.980]  Oh, I'm seeing fratricide, and I agree with the body language.
[01:25:11.980 --> 01:25:13.440]  Claiming the plane didn't have Wi-Fi.
[01:25:13.440 --> 01:25:16.721]  When it says on the door, a crypt with Wi-Fi, they're real proud of that.
[01:25:16.721 --> 01:25:18.682]  She looked like she'd been punched in the stomach.
[01:25:18.682 --> 01:25:22.903]  So did her little water bearer, her, you know, minion, uh, Aberdeen.
[01:25:22.903 --> 01:25:31.385]  The whole media wouldn't even cover her first press conference or her first speech saying, we don't know what she's saying, so we don't know she's been briefed, so we're not going to show you.
[01:25:31.385 --> 01:25:33.246]  They seem to be in true panic mode.
[01:25:33.936 --> 01:25:35.337]  Yeah, it appears that way.
[01:25:35.337 --> 01:25:52.512]  Here's the irony, of course, that Donald Trump from the beginning has said that the Huma Abedin-Wiener connection was problematic, and he was concerned about anything that Huma may have told her husband that was either classified or top secret.
[01:25:52.512 --> 01:26:01.560]  How prophetic to believe that something in the Abedin-Wiener emails that could now potentially bring her down.
[01:26:03.325 --> 01:26:11.847]  Well, so Roger, talking to your sources and also just in your great gravitas in politics, to me it's just a seismic level.
[01:26:11.847 --> 01:26:13.108]  It feels like victory.
[01:26:13.108 --> 01:26:15.088]  A great peace came over me.
[01:26:15.088 --> 01:26:16.669]  He doesn't want to have to reverse himself.
[01:26:16.669 --> 01:26:20.050]  This is him hedging his bets, knowing Trump is surging.
[01:26:20.050 --> 01:26:29.012]  No matter how they try to spin it, even if these emails are a distraction from WikiLeaks, it seems like the great fork of doom is being stuck into Hillary and she's done.
[01:26:30.094 --> 01:26:41.376]  Well, the problem with the idea that this is a distraction from WikiLeaks, that assumes that the WikiLeaks disclosures have been getting the kind of coverage that they merit.
[01:26:41.376 --> 01:26:42.237]  They haven't.
[01:26:42.237 --> 01:26:51.178]  They've gotten good coverage, but many in the mainstream media have continued to block the WikiLeaks disclosures.
[01:26:51.178 --> 01:26:52.139]  Oh yeah, they've cherry-picked.
[01:26:52.139 --> 01:26:53.499]  They've gone to the weak sections of it.
[01:26:54.641 --> 01:26:56.262]  I think that's accurate.
[01:26:56.262 --> 01:26:58.644]  On the other hand, I feel what you feel.
[01:26:58.644 --> 01:27:01.625]  I was at a Trump rally in Washington, D.C.
[01:27:01.625 --> 01:27:02.206]  yesterday.
[01:27:02.206 --> 01:27:05.768]  I ran into the great Joe Biggs, who I barely recognized.
[01:27:05.768 --> 01:27:07.609]  Now he trimmed his beard.
[01:27:07.609 --> 01:27:10.030]  But you could feel the electricity in the air.
[01:27:10.030 --> 01:27:15.493]  You could feel the momentum shifting to Trump.
[01:27:15.493 --> 01:27:23.238]  And then this morning, John Podesta was on CNN with Jake Tapper, again, attacking me
[01:27:26.567 --> 01:27:28.008]  Why are they so obsessed with you?
[01:27:28.008 --> 01:27:29.530]  Perhaps it is because I am effective?
[01:27:42.719 --> 01:27:46.060]  I mean, this election is not about Roger Stone.
[01:27:46.060 --> 01:27:50.122]  It is not about, you know, me in any regard.
[01:27:50.122 --> 01:27:56.424]  The attacks on the messenger are meant to distract from the message itself.
[01:27:56.424 --> 01:28:04.507]  It isn't who leaked the WikiLeaks material that's as important as the substance of the emails.
[01:28:05.066 --> 01:28:11.971]  Which no one credibly has yet refuted as not genuine or authentic.
[01:28:11.971 --> 01:28:12.171]  Sure.
[01:28:12.171 --> 01:28:18.155]  We're going to come back and play some of this, you know, top Clinton operative talking about how they got you banned.
[01:28:18.155 --> 01:28:22.598]  But first we come back here in just a three minute break.
[01:28:22.598 --> 01:28:24.299]  Why is Hillary haranguing him?
[01:28:24.299 --> 01:28:26.460]  As you pointed out, she was praising him two weeks ago.
[01:28:26.460 --> 01:28:30.443]  Why is Podesta haranguing Comey when he has totally covered their butt?
[01:28:30.443 --> 01:28:32.004]  That seems like a really bad move.
[01:28:32.807 --> 01:28:35.148]  Well, it's because the fix was in.
[01:28:35.148 --> 01:28:40.071]  The problem is, the guy they thought they had bought didn't stay bought, as they say in Philadelphia.
[01:28:40.071 --> 01:28:42.853]  And we now know his wife has come out and said, what are you doing, Comey?
[01:28:42.853 --> 01:28:43.754]  Everybody hates us.
[01:28:43.754 --> 01:28:48.557]  And the agents are now... I was told by a high-level source, I'm going to ask you this, if you've heard of this.
[01:28:48.557 --> 01:28:51.418]  We haven't talked in three or four days off air.
[01:28:51.418 --> 01:28:54.680]  The FBI is getting ready for a press conference with as much as 30 or 40
[01:28:56.441 --> 01:29:01.184]  Senior agents, and when they heard 30 or 40 were going to do it, hundreds more are ready to resign.
[01:29:01.184 --> 01:29:03.466]  Pharmacist Ben Fuchs here, host of The Bright Side.
[01:29:03.466 --> 01:29:07.309]  And as many of you know, I'm on a mission to help Americans get and stay healthy.
[01:29:07.309 --> 01:29:09.390]  You've all heard the shocking statistics.
