[00:00:11.814 --> 00:00:12.714]  June 7th, 2016.
[03:08:06.521 --> 03:08:06.921]  Many thanks.
[03:08:06.941 --> 03:08:07.401]  Appreciate that.
[03:08:20.529 --> 03:08:22.651]  Waging war on corruption.
[03:08:23.212 --> 03:08:28.357]  It's Alex Jones, coming to you live from the front lines of the Infowar.
[03:08:30.965 --> 03:08:36.911]  We're only a few hours away from the kickoff of live, continuous coverage of the final big push.
[03:08:36.951 --> 03:08:45.819]  They say it'll be locked up by then for these six states, with California being the big prize tonight with our reporters out in California, Leon McAdoo and Joe Biggs and Michael Zimmerman.
[03:08:46.119 --> 03:08:50.563]  Then of course we've got our intrepid reporters, Paul Joseph Watson, who's now in Germany but has to meet them.
[03:08:51.003 --> 03:08:53.426]  Flew in from the UK, from formerly England.
[03:08:53.746 --> 03:08:55.507]  What a victory it is for humanity that they're being exposed.
[03:08:55.527 --> 03:08:59.790]  What a victory that the shadow government apparatus is being brought out in the open so there can be a major debate about it.
[03:09:14.740 --> 03:09:17.344]  This is something the globalists absolutely hate.
[03:09:17.765 --> 03:09:27.218]  They cannot stand it, but it's only going to get worse for them as humanity's crash course in reality only expands, deepens, and explodes.
[03:09:28.544 --> 03:09:33.188]  But a report I've had in my little hand for an hour that Kit Daniels handed me is so important.
[03:09:33.228 --> 03:09:34.309]  I asked him to do the report.
[03:09:34.649 --> 03:09:36.090]  We gave him the sources, the intel.
[03:09:36.130 --> 03:09:36.430]  He did it.
[03:09:36.470 --> 03:09:38.112]  I should have been covering it in the last hour.
[03:09:38.152 --> 03:09:47.720]  It's so big because I saw the last two days Newt Gingrich out savaging Donald Trump over all sorts of stuff, attacking him, misrepresenting him on different subjects.
[03:09:48.400 --> 03:09:49.161]  And I knew it was coming.
[03:09:49.201 --> 03:09:51.623]  I mean, this is one of the top globalist minions in the U.S.
[03:09:51.643 --> 03:09:52.804]  Gingrich is super bad.
[03:09:53.104 --> 03:09:56.467]  He helped lead the whole conservative libertarian revolution in the 90s in 93, 94 down a rat hole.
[03:09:59.677 --> 03:10:03.001]  Then he gave us Boehner and all these other little creatures after him.
[03:10:04.242 --> 03:10:05.864]  Just one rhino after another.
[03:10:06.465 --> 03:10:09.949]  But report, Trump refuses $200 million to pick Gingrich as VP.
[03:10:10.489 --> 03:10:12.892]  Establishment tries to control Trump through VP pick.
[03:10:13.553 --> 03:10:14.614]  And I have this confirmed.
[03:10:15.015 --> 03:10:18.659]  I know about Adelson offering Trump $100 million for four days before it was in the news.
[03:10:20.134 --> 03:10:23.576]  And I knew all about the other big meetings, but I have multiple sources.
[03:10:23.616 --> 03:10:26.598]  This is not from Stone, but I brought this up to Stone.
[03:10:27.819 --> 03:10:33.743]  Let me just say, I have no comment on what he told me, but Donald Trump refused $200 million in donations to take Newt Gingrich as Vice President.
[03:10:34.643 --> 03:10:35.804]  Insiders told InfoWars.
[03:10:36.164 --> 03:10:45.771]  The mainstream media report that the casino magnate Sheldon Adelson was willing to contribute $100 million to Trump's campaign, but what wasn't reported, that about a week later,
[03:10:46.892 --> 03:10:53.338]  Was the additional $200 million the establishment offered Trump in exchange for picking Gingrich, one of the first D.C.
[03:10:53.398 --> 03:10:55.720]  insiders to try and cozy up to the mogul?
[03:10:57.121 --> 03:11:00.084]  And I think I should just add that I gave this all as a gestalt to Kit.
[03:11:01.185 --> 03:11:03.887]  Adelson offered him $100 million, then he upped it to $200 million.
[03:11:03.927 --> 03:11:07.270]  So it was Adelson then offered an additional $100 million, according to sources.
[03:11:07.290 --> 03:11:09.052]  We should just add that there for clarification.
[03:11:10.219 --> 03:11:25.645]  When Trump declined the offer, however, Gingrich started lashing out on him publicly, including his recent claim that Trump made one of his worst mistakes for pointing out the federal judge handling the Trump University lawsuit has ties to the controversial La Raza Hispanic Nationalist Organization.
[03:11:25.685 --> 03:11:26.786]  Well, he's a lawyer for them.
[03:11:27.648 --> 03:11:29.288]  And give scholarships to illegal aliens.
[03:11:29.949 --> 03:11:42.292]  I don't know what Trump's reasoning was, and I don't care, Gingrich told the Washington Post, it'd be unlikely for Gingrich to take such a weird stance in a manner, unless he was already bitter at Trump and trying to pressure him to change his mind.
[03:11:43.672 --> 03:11:56.056]  But it's in Trump's best interest to pick someone close to him ideologically as VP, such as Senator Jeff Sessions, who we believe it's going to be, and let's just say that's 95% right now, to avoid a potential assassination attempt.
[03:11:56.823 --> 03:12:00.672]  And then we go into the whole Ronald Reagan attempted assassination and the rest of history.
[03:12:01.814 --> 03:12:04.841]  And we link to the video where
[03:12:06.547 --> 03:12:15.352]  We had Roger Stone in studio with us, breaking down his take on who the VP will be and concurring that it all points towards Sessions.
[03:12:16.293 --> 03:12:18.755]  But we're about to hand the baton to David Knight.
[03:12:19.235 --> 03:12:21.216]  But first, I wanted to go back to Dresden, Germany.
[03:12:21.236 --> 03:12:24.798]  And by the way, when you hand the baton, David, we want to keep talking to these guys you're welcome to or whatever you choose.
[03:12:25.599 --> 03:12:27.380]  I know David's always got a lot of stuff I haven't covered.
[03:12:27.400 --> 03:12:28.801]  He's about to hit and some things I have covered.
[03:12:28.821 --> 03:12:32.203]  It's just good to always get his perspective and then to go, oh yeah, I forgot to cover that.
[03:12:32.503 --> 03:12:33.544]  Glad David's going to cover it.
[03:12:33.564 --> 03:12:36.946]  So David Knight sitting in there in the Situation Room.
[03:12:37.026 --> 03:12:37.947]  I'm in the War Room.
[03:12:38.327 --> 03:12:49.094]  We are broadcasting radio slash TV at Infowars.com forward slash show and TV stations UHF, VHF cable and radio stations across the country and the world.
[03:12:49.354 --> 03:12:53.817]  But going to Josh Owens, who's our wonderful reporter and cameraman there with Rob Dew.
[03:12:54.498 --> 03:12:56.099]  He's always got a lot to say.
[03:12:56.819 --> 03:13:01.542]  What have you observed since we talked 24 hours ago, Mr. Owens, there at the side of Bilderberg 2016?
[03:13:03.544 --> 03:13:05.386]  Well, there's a lot going on, obviously.
[03:13:06.167 --> 03:13:09.670]  If we were another news agency, we would probably come out here and just cover one thing.
[03:13:09.951 --> 03:13:14.295]  We would probably just cover the migrants, we would just cover Bilderberg, but that's not what InfoWars does.
[03:13:14.315 --> 03:13:18.419]  We've got a lot of irons in the fire, we're doing a lot while we're here, and that's how it's supposed to be.
[03:13:18.739 --> 03:13:24.265]  Because we actually enjoy what we're doing, we actually enjoy being here, covering, showing the people what's really going on.
[03:13:24.605 --> 03:13:33.514]  So we got a lot of things going on here, but one thing I don't think Ian has talked about yet, it is strange that usually every four years Bilderberg is held in the U.S.
[03:13:34.034 --> 03:13:39.079]  So that would mean, for election reasons, that would mean this year Bilderberg will be in the United States, but it's not.
[03:13:39.099 --> 03:13:40.020]  Now let's think about that.
[03:13:40.161 --> 03:13:41.502]  Why would it be in Europe?
[03:13:41.862 --> 03:13:43.184]  What's going on in Europe?
[03:13:43.244 --> 03:13:44.925]  What's the thing that's all over the news?
[03:13:45.266 --> 03:13:48.349]  It's the migrant crisis, as if it's not planned.
[03:13:49.530 --> 03:13:50.430]  This is the curriculum.
[03:13:51.050 --> 03:13:59.012]  This is what the United States is planning for with the open borders, with all these social justice warriors going out and attacking everyone at Trump rallies.
[03:13:59.373 --> 03:14:01.633]  This is what they are hoping to get out of it.
[03:14:01.913 --> 03:14:02.113]  Europe.
[03:14:02.533 --> 03:14:05.834]  This big melting pot where everything is crumbling.
[03:14:06.734 --> 03:14:09.295]  You saw the videos where we went to the refugee camps.
[03:14:10.235 --> 03:14:11.075]  They bum-rushed us.
[03:14:11.295 --> 03:14:13.136]  They freaked out because we had a camera.
[03:14:13.316 --> 03:14:16.457]  We see that in America too, but we're not trying to hurt anybody.
[03:14:18.372 --> 03:14:20.073]  Honestly, we're not even trying to spin a story.
[03:14:20.274 --> 03:14:22.055]  All we're doing is asking questions.
[03:14:22.455 --> 03:14:24.376]  So you see them come up and attack us.
[03:14:24.777 --> 03:14:30.781]  But then the concern then is that when the city official comes up, he says, well, we don't want him to feel threatened.
[03:14:30.861 --> 03:14:33.022]  But it's OK if we feel threatened, but not them.
[03:14:33.042 --> 03:14:34.443]  We see this happening in the United States.
[03:14:34.743 --> 03:14:39.927]  So it's very interesting to note that Bilderberg should, as the past, should be happening in the United States now.
[03:14:40.147 --> 03:14:40.607]  But it's not.
[03:14:40.667 --> 03:14:41.848]  It's happening in Europe.
[03:14:41.948 --> 03:14:44.970]  And I believe it's because this is the curriculum.
[03:14:45.010 --> 03:14:47.792]  This is where everything is heading right down the toilet bowl.
[03:14:48.430 --> 03:14:55.498]  Well, Josh, excellent point that we should call this little live video piece, you know, secret to why Bilderberg's not being held in the U.S.
[03:14:55.518 --> 03:14:59.563]  this year revealed, or ask the question, why is Bilderberg not being held in the U.S.
[03:14:59.583 --> 03:14:59.923]  this year?
[03:14:59.963 --> 03:15:07.271]  Because every fourth year since it was started back in the 40s, right through the 50s, Bilderberg has been
[03:15:08.012 --> 03:15:11.713]  Held every fourth year in the United States on the East Coast.
[03:15:12.173 --> 03:15:17.715]  And of course it was officially supposedly around, you know, in the early 50s, but it's been around since the end of World War II.
[03:15:17.755 --> 03:15:29.759]  It was just given the name Bilderberg off the Oosterbeek Holland Hotel where they, you know, officially codified and signed a transatlantic agreement to merge a European Union with an American Union with an Asian Union.
[03:15:30.299 --> 03:15:34.100]  A basically Rockefeller trilateralist plan with the British Empire.
[03:15:34.580 --> 03:15:42.547]  And the founding documents were given to BBC, what, 14 years ago, and concurred with everything Jim Tucker had said, everything investigators had said.
[03:15:42.567 --> 03:15:43.548]  It was spot on.
[03:15:43.608 --> 03:15:46.150]  It's a planetary plan of unelected world government.
[03:15:46.170 --> 03:15:47.131]  Well, look at TPP.
[03:15:47.371 --> 03:15:48.111]  Look at NAU.
[03:15:48.132 --> 03:15:48.792]  Look at the EU.
[03:15:49.032 --> 03:15:50.013]  You don't vote to enter it.
[03:15:50.093 --> 03:15:50.694]  You're under it.
[03:15:51.014 --> 03:15:52.215]  It starts making all your laws.
[03:15:52.255 --> 03:15:53.136]  You can't get out of it.
[03:15:53.456 --> 03:15:57.880]  It brings in all these illegals and then arrests you if you hand out flyers or gives you tickets.
[03:15:58.420 --> 03:16:02.684]  I mean, we are witnessing a totalitarian takeover, and it's simply amazing, Josh Owens.
[03:16:03.982 --> 03:16:14.955]  Exactly, and we see Paul Joseph Watson's article, they're going to be talking about the Brexit, they're going to be talking about Trump, obviously they're going to be talking about Trump because they're in damage control mode, trying to figure out what to do because the people have spoken.
[03:16:15.455 --> 03:16:17.838]  Trump is the Republican nominee.
[03:16:19.727 --> 03:16:20.668]  They're free right now.
[03:16:21.608 --> 03:16:21.988]  Obviously.
[03:16:22.088 --> 03:16:24.390]  That's why Lynn's brand coming down here.
[03:16:24.950 --> 03:16:26.511]  Your Skype's breaking up, my friend.
[03:16:27.071 --> 03:16:27.752]  Great job.
[03:16:28.252 --> 03:16:30.493]  Again, keep uploading the videos, but don't kill yourselves.
[03:16:30.513 --> 03:16:32.675]  I don't want you to get too exhausted before Bilderberg starts.
[03:16:32.715 --> 03:16:34.796]  I know you're still able to be in the hotel.
[03:16:35.636 --> 03:16:43.981]  It might be good if the video works later towards the end of the hour if David wants to spend five minutes to have you guys maybe do a tour live inside Bilderberg or does that not work?
[03:16:44.001 --> 03:16:44.882]  You think they might throw you out?
[03:16:49.250 --> 03:16:49.511]  All right.
[03:16:50.091 --> 03:16:52.094]  Well, gentlemen, do what needs to be done.
[03:16:52.114 --> 03:16:53.815]  I really appreciate the fine work you're doing.
[03:16:53.835 --> 03:16:56.719]  This is true journalism, and we're just openly teleprompter-free.
[03:16:56.779 --> 03:16:57.840]  Thank you, Josh Owens and crew.
[03:16:59.679 --> 03:17:04.503]  All right, let's hand the baton to the one, the only David Knight right here in Austin, Texas.
[03:17:04.823 --> 03:17:24.819]  Just remember, this is all very expensive, what we're doing, and I'm putting everything all in with more reporters, more researchers, and with crew on the West Coast, crew in Germany, and it's all because you buy the products at InfoWarsStore.com and InfoWarsLife.com, and we've got some new specials running on the site today, but whether it's non-GMO heirloom seeds you're buying or
[03:17:25.760 --> 03:17:33.803]  A Hillary for Prison shirt, or a shortwave solar-powered radio, or a book on, you know, Bilderberg.
[03:17:34.043 --> 03:17:36.583]  All of that funds this operation.
[03:17:36.603 --> 03:17:38.604]  We have free shipping on orders of $50 or more.
[03:17:39.404 --> 03:17:41.665]  We have 10% off each time for auto-ship.
[03:17:42.045 --> 03:17:44.966]  We have 10% on water filters with promo code WATER.
[03:17:45.306 --> 03:17:48.327]  You add all the specials together, I mean, we have amazing prices.
[03:17:48.667 --> 03:17:50.908]  We have privacy and security, little pockets that block
[03:17:51.368 --> 03:17:53.269]  Your cell phone being tracked when you're not driving around.
[03:17:53.609 --> 03:17:55.630]  I mean, a lot of the, and your identity being stolen.
[03:17:55.650 --> 03:17:58.391]  There's so many things you need at InfoWareStore.com.
[03:17:58.411 --> 03:18:00.691]  You get great pricing, sometimes the lowest pricing.
[03:18:01.071 --> 03:18:03.732]  And by shopping with the Patriots, you fund the tip of the spear.
[03:18:04.393 --> 03:18:10.075]  So check out all the different items at InfoWareStore.com or by calling toll free, 888-253-3139.
[03:18:10.395 --> 03:18:12.356]  I tell you, David Knight, I'm proud of our operation.
[03:18:12.396 --> 03:18:13.516]  I'm proud of what we're able to do.
[03:18:13.836 --> 03:18:14.516]  I'm not bragging.
[03:18:14.536 --> 03:18:17.617]  It just really feels good to go, wow, we're reaching 25, 26, 27 million people a week.
[03:18:19.378 --> 03:18:22.201]  Wow, we've got reporters going all over the world simultaneously.
[03:18:22.522 --> 03:18:22.882]  Wow!
[03:18:23.082 --> 03:18:30.210]  We've got a great anchor like David Knight to hand the baton to, and Jakari Jackson and the guys coming in tonight to host the live election coverage.
[03:18:30.610 --> 03:18:38.779]  I mean, we're really doing it, and I'm proud of the patriots that are here, and I'm proud of the viewers and listeners and affiliates and sponsors that make it all possible.
[03:18:38.819 --> 03:18:39.260]  David Knight.
[03:18:39.713 --> 03:18:40.393]  Absolutely, Alex.
[03:18:40.533 --> 03:18:48.976]  And you know, we were talking about this important article about what Newt Gingrich is doing, because we all know what's really behind this attack on Donald Trump.
[03:18:49.016 --> 03:19:07.543]  I talked about this on Sunday, and Alex, when Newt Gingrich came out and started criticizing Donald Trump, calling this inexcusable, saying he had to take this back, and this was the worst thing that Donald Trump had done, I said on Sunday, when I saw those comments, I said, this could be very good news.
[03:19:08.103 --> 03:19:11.925]  We've been very worried about Gingrich cozying up to Trump.
[03:19:12.465 --> 03:19:13.726]  Were they going to be able to turn him?
[03:19:13.786 --> 03:19:23.811]  I mean, this guy is essentially a stalking horse for the establishment, for the globalist elitists, and we were all very concerned when we saw Newt Gingrich start sniffing around Donald Trump.
[03:19:24.651 --> 03:19:27.253]  And so I had absolutely no idea.
[03:19:27.333 --> 03:19:30.195]  Exactly, this is another plus certifying that Trump's for real.
[03:19:30.375 --> 03:19:31.316]  Yeah, yeah.
[03:19:31.356 --> 03:19:36.279]  You hadn't told me any of this, and of course you just gave this to Kitten, put out this information.
[03:19:36.759 --> 03:19:47.126]  And we remember back four years ago, Sheldon Adelson was all in for Newt Gingrich, pledged $100 million to him, gave him $10 million, and then shortly after that, Newt Gingrich crashed and burned.
[03:19:47.526 --> 03:19:49.668]  So that's a really good sign to me
[03:19:50.608 --> 03:19:56.090]  Again, of Trump's being his own man, being authentic on the globalism versus nationalism issue.
[03:19:56.450 --> 03:20:02.252]  And the more these guys line up and come after him like this Bilderberg or Lindsey Graham, the better Trump looks.
[03:20:02.912 --> 03:20:05.673]  Absolutely folks, Trump is the real deal.
[03:20:06.233 --> 03:20:09.374]  He may not be for us, he may be his own guy, but the globalists hate him.
[03:20:09.434 --> 03:20:10.275]  I mean he's the real deal.
[03:20:11.255 --> 03:20:23.946]  This message is not just addressed to my fellow Americans, but addressed to people across the world of every race, color, and creed who believe in free speech, enshrined here in our republic as the First Amendment.
[03:20:24.627 --> 03:20:28.030]  It's the First Amendment to the Bill of Rights because it is the most important.
[03:20:28.050 --> 03:20:33.475]  The right to speak, the right to publish, the right to assemble, the right to petition, the right to practice
[03:20:33.815 --> 03:20:34.696]  We're good to go.
[03:20:58.795 --> 03:21:00.235]  Facebook's over a third of the internet.
[03:21:00.336 --> 03:21:00.956]  Did you think about that?
[03:21:01.456 --> 03:21:02.936]  Of the traffic and people visiting things.
[03:21:03.316 --> 03:21:03.957]  And then it's over.
[03:21:04.237 --> 03:21:08.538]  You think it's bad that communist China with a billion, 300 million people is censoring?
[03:21:09.378 --> 03:21:16.641]  Zuckerberg, who calls his users dumb effers, has been meeting with the Chinese censorship leadership, openly trying to tweak it.
[03:21:16.741 --> 03:21:21.682]  He met with Merkel, and openly in a hot mic, said, don't worry, I'm going to start suppressing and censoring people.
[03:21:21.842 --> 03:21:26.284]  They report when someone criticizes open borders to the German government, and they come and arrest you.
[03:21:26.464 --> 03:21:27.264]  This is a global
[03:21:27.824 --> 03:21:28.244]  We're good.
[03:21:45.789 --> 03:21:47.910]  This is the ultimate threat to humanity.
[03:21:48.310 --> 03:21:50.490]  This is worse than what we saw in the Soviet Union.
[03:21:50.890 --> 03:21:54.691]  This is right out of Nazi Germany or right out of Maoist China.
[03:21:55.071 --> 03:21:56.411]  So we're fighting for free speech.
[03:21:56.751 --> 03:22:06.813]  When you spread the word about InfoWars.com, our videos, our stories, our reports, and when you post it on different platforms, that circumvents their AI systems that are trying to restrict the flow of information.
[03:22:06.974 --> 03:22:08.854]  We stand together or we hang separate.
[03:22:09.094 --> 03:22:13.935]  Another thing we're doing is not just battling to stop the censorship, we're also building other platforms.
[03:22:14.395 --> 03:22:22.201]  Getting on as many third party systems as there are out there and spreading the word of basic free market liberty and human empowerment and the new renaissance.
[03:22:22.702 --> 03:22:25.964]  But also, the experts I've talked to said, Alex, you missed the boat.
[03:22:25.984 --> 03:22:29.487]  You've been a pioneer in many ways, but you haven't promoted email.
[03:22:29.587 --> 03:22:31.669]  And I said, yeah, I don't ever really market on email.
[03:22:31.769 --> 03:22:33.590]  I just, I just, it's low tech.
[03:22:33.750 --> 03:22:34.551]  And they're like, no, no, no.
[03:22:34.611 --> 03:22:36.092]  That's what's going to be hard to censor.
[03:22:36.152 --> 03:22:42.777]  Even if the internet kill switch comes into place, there are systems and there are developments that make it very hard still
[03:22:43.758 --> 03:22:49.262]  To stop email and to stop that information being sent over networks, you name it.
[03:22:49.322 --> 03:23:02.972]  So, it's essential that everybody go to InfoWars.com forward slash newsletter to get exclusive articles, videos, promo codes, sometimes the shopping cart like we had a few weeks ago with Hillary for prison, 50% off.
[03:23:03.272 --> 03:23:08.096]  I mean, there are some big discounts we send to incentivize people and plus you're some of the most hardcore patriots.
[03:23:08.396 --> 03:23:12.738]  You can send the email and the newsletter on with exclusive videos and articles many days.
[03:23:13.398 --> 03:23:14.359]  So that's another great reason.
[03:23:14.379 --> 03:23:20.682]  But overall, it's so that we have direct contact with fellow patriots out there around the world.
[03:23:21.202 --> 03:23:29.906]  And if they try to start shredding our websites down on other things, which they've tried to do, to kick us off Facebook, Twitter, YouTube, you name it, we'll be able to send you direct videos
[03:23:30.586 --> 03:23:32.507]  That you can then send on to others.
[03:23:32.527 --> 03:23:52.459]  We've all got to start thinking about the censorship and actively fighting it, getting more active and not taking independent liberty-based media for granted, which I know you don't do, but really having a sense of urgency and getting the info out more while building new avenues on cutting-edge tech and cutting-edge platforms, but also old tech like email.
[03:23:52.699 --> 03:23:53.760]  So please join
[03:23:54.640 --> 03:24:00.089]  Hundreds of thousands of others that have been signing up every few months at InfoWars.com forward slash newsletter.
[03:24:00.429 --> 03:24:09.564]  And you can also spread the word about our free feeds and more podcasts, Android apps, iPhone apps, it's all free at InfoWars.com forward slash show.
[03:24:25.409 --> 03:24:26.789]  Welcome back to the Alex Jones Show.
[03:24:26.829 --> 03:24:27.429]  I'm David Knight.
[03:24:27.609 --> 03:24:32.531]  On this Tuesday, June 7, 2014, this is going to be a big night for the primaries.
[03:24:32.551 --> 03:24:34.552]  Of course, we're going to be here live with our coverage.
[03:24:35.233 --> 03:24:38.974]  And there are primaries, six final primaries, from coast to coast.
[03:24:39.514 --> 03:24:41.875]  It's going to begin with New Jersey on the East Coast.
[03:24:42.335 --> 03:24:44.556]  It will finish up with California on the West Coast.
[03:24:44.676 --> 03:24:47.578]  And there are returns from states that will be in between.
[03:24:47.618 --> 03:24:51.019]  So every hour we're going to have some polls closing in different states.
[03:24:51.059 --> 03:24:52.680]  So it's going to be a long broadcast tonight.
[03:24:52.700 --> 03:24:53.460]  It's going to be live.
[03:24:54.120 --> 03:24:59.425]  We'll be taking your calls, we'll be having our correspondents in New Jersey as well as California.
[03:24:59.445 --> 03:25:02.307]  We're going to be joining Joe Biggs in California in just a few minutes.
[03:25:02.888 --> 03:25:08.773]  They'll be calling in, telling us what people are telling them as they're coming in and out of the polls, how people feel about this.
[03:25:08.813 --> 03:25:10.795]  And of course, if we look at the results of the polls,
[03:25:11.892 --> 03:25:23.718]  And this whole superdelegate issue between Bernie and Hillary, his hope, I think, has been all along that he would exceed Hillary in terms of pledged delegates, or you could call them earned delegates.
[03:25:23.758 --> 03:25:26.319]  These would be the delegates that he gets based on votes.
[03:25:27.160 --> 03:25:28.340]  Right now, he's not winning that.
[03:25:28.801 --> 03:25:33.763]  He's actually losing about 54-46, something like that.
[03:25:34.183 --> 03:25:36.404]  So he's hoping that he can turn that around in California.
[03:25:37.125 --> 03:25:40.386]  That would be what he would take to a brokered convention.
[03:25:40.466 --> 03:25:41.147]  He would say, look,
[03:25:41.912 --> 03:25:48.694]  I've won more than Hillary has in the voting booth, and the only reason that she's beating me is because of the superdelegates.
[03:25:48.874 --> 03:25:51.455]  If he could do that, he would have an argument to make there.
[03:25:51.555 --> 03:25:56.236]  If he can't do that, if he can't beat her with the pledged delegates, he's not going to really have that argument.
[03:25:56.916 --> 03:26:01.657]  And understand that she started out with 15% of what she needed to win the election.
[03:26:02.298 --> 03:26:04.258]  So we're going to be talking about that and breaking that down.
[03:26:04.558 --> 03:26:07.899]  If you look at the Democrat primaries, every one of these is proportional.
[03:26:08.479 --> 03:26:10.680]  And because there's no winner-take-all primaries,
[03:26:11.440 --> 03:26:16.427]  When they split 55-45, the delegates are pretty evenly split.
[03:26:16.507 --> 03:26:22.916]  And the difference is that in every one of these states, you've got about 10-15% of the delegates who are superdelegates.
[03:26:23.697 --> 03:26:26.702]  And so, he has to beat her by 10-15% just to break even.
[03:26:28.922 --> 03:26:32.044]  And then if she beats him by 10 or 15 percent, he loses!
[03:26:33.064 --> 03:26:34.945]  That's how they rig the game, okay?
[03:26:35.246 --> 03:26:39.068]  That's how the game is rigged, and we've seen this play out state by state.
[03:26:39.088 --> 03:26:41.109]  So we're going to watch it play out one final time tonight.
[03:26:41.129 --> 03:26:43.150]  We're going to talk about a lot of political news.
[03:26:43.170 --> 03:26:44.371]  We're going to go into more detail.
[03:26:45.385 --> 03:26:57.230]  About the racism charges, and as I mentioned on Sunday, and as I repeated yesterday, when I gave the quotes from Cesar Chavez, the union organizer, he said, look, I don't want to hear about La Raza.
[03:26:57.730 --> 03:26:58.911]  It is racist.
[03:26:58.971 --> 03:27:04.313]  You know, we talk about La Raza, and we talk about this judge who is part of the La Raza lawyers.
[03:27:04.393 --> 03:27:05.514]  What is their mission?
[03:27:05.574 --> 03:27:13.057]  Their mission is stated as empowering Hispanic lawyers, making sure there are more Hispanic lawyers.
[03:27:13.877 --> 03:27:17.499]  And giving scholarships to, first one, illegal.
[03:27:17.900 --> 03:27:18.540]  Think about that.
[03:27:18.960 --> 03:27:23.983]  Giving a scholarship to an illegal so he can go to law school.
[03:27:25.124 --> 03:27:29.267]  The first thing this guy did was to violate the laws.
[03:27:29.387 --> 03:27:30.448]  How's that for ethics?
[03:27:30.748 --> 03:27:31.068]  Okay?
[03:27:31.628 --> 03:27:32.869]  So that's what they're looking for.
[03:27:33.069 --> 03:27:35.991]  Everything is about Hispanic this, Hispanic that.
[03:27:36.391 --> 03:27:38.012]  The name is the race.
[03:27:38.973 --> 03:27:40.014]  Cesar Chavez said,
[03:27:40.774 --> 03:27:41.714]  We're not going to go there.
[03:27:41.814 --> 03:27:42.615]  It is racist.
[03:27:42.715 --> 03:27:43.615]  It's discrimination.
[03:27:43.655 --> 03:27:46.276]  They're actually anti-gringo, is what he said.
[03:27:46.676 --> 03:27:51.098]  And he says you start out as anti-gringo, you're going to be anti-Negro, and where does it stop?
[03:27:51.258 --> 03:27:52.158]  It doesn't stop.
[03:27:52.218 --> 03:27:56.660]  But of course, that's what we have seen from the racialism in our politics.
[03:27:56.740 --> 03:28:01.341]  I've got all these quotes from all the people who don't like Trump, calling him a racist.
[03:28:01.781 --> 03:28:04.642]  All the way out to Libertarian candidate Gary Johnson.
[03:28:04.802 --> 03:28:06.063]  Trump is clearly a racist.
[03:28:06.103 --> 03:28:08.424]  And all these establishment Republicans, and quite frankly,
[03:28:09.224 --> 03:28:15.629]  Gary Johnson is one of the biggest shills for the globalist elitist that you could ever find anywhere in any party.
[03:28:16.469 --> 03:28:17.690]  And he's calling Trump a racist.
[03:28:17.730 --> 03:28:19.571]  They understand if they want to look at that.
[03:28:19.772 --> 03:28:24.455]  They can't not know that this guy is a La Raza lawyer.
[03:28:24.835 --> 03:28:28.318]  And they can't not know that La Raza is La KKK.
[03:28:28.618 --> 03:28:29.819]  La Ku Klux Klan.
[03:28:30.099 --> 03:28:30.399]  Okay?
[03:28:30.699 --> 03:28:32.761]  It's just a Hispanic Ku Klux Klan.
[03:28:33.101 --> 03:28:35.363]  Cesar Chavez pointed that out.
[03:28:36.496 --> 03:28:43.322]  All right, now in the short period of time that we've got, I want to talk about what's going on with the EPA.
[03:28:43.342 --> 03:28:45.444]  We've covered this story in the past.
[03:28:45.824 --> 03:28:48.046]  Remember that gold mine that they blew up out west?
[03:28:48.867 --> 03:28:56.614]  There's an article from the Daily Caller saying, well, after a decades-long battle, this has gone on since the mid-nineties, okay?
[03:28:56.634 --> 03:28:57.935]  They've been fighting with the EPA.
[03:28:57.955 --> 03:29:01.058]  The EPA came in there and said, well, we want to turn your area into a Superfund.
[03:29:01.078 --> 03:29:02.439]  They said, no, we don't want you to do that.
[03:29:03.510 --> 03:29:27.019]  And if you remember when this gold mine blew up and they spewed, and this is because of what the EPA did, okay, the mine didn't blow up, the EPA went in and caused it to blow up, and we showed you the articles at the time and the op-eds that were written by a retired miner who predicted a month before this was going, this happened, said the EPA is going to come in here, what they're doing,
[03:29:27.913 --> 03:29:36.748]  I know as a mining engineer, and they would know as well because they're also involved in this business, they are going to deliberately blow this mine up.
[03:29:37.805 --> 03:29:42.909]  And the end result is they want to do this so they can create a super fund out of this area.
[03:29:42.929 --> 03:29:49.173]  What I didn't know until I read this article was that they've been fighting to turn this into a super fund for 25 years.
[03:29:49.713 --> 03:29:53.776]  So they come in and it's a self-fulfilling regulatory takeover.
[03:29:53.796 --> 03:29:59.140]  They blow the mine up, they pollute the river, the drinking water for three states with toxic minerals to make it a super fund.
[03:29:59.380 --> 03:29:59.820]  Stay with us.
[03:29:59.840 --> 03:30:02.502]  On the march, the empire's on the run.
[03:30:03.443 --> 03:30:06.105]  Alex Jones and the GCN Radio Network.
[03:30:10.956 --> 03:30:12.756]  It's not just our water we need to filter.
[03:30:12.837 --> 03:30:14.737]  It's not just our food that needs to be cleaned.
[03:30:14.877 --> 03:30:17.718]  It's the air we're breathing, especially for our children.
[03:30:17.778 --> 03:30:23.639]  The artificial particulates, the chemicals, is absolutely weighing down our immune systems.
[03:30:23.839 --> 03:30:32.722]  The same team based right here in America that brought you the Alexa Pure groundbreaking water filtration systems have now developed Alexa Pure Breathe.
[03:30:33.042 --> 03:30:37.883]  Whether it's your home or office, you owe it to yourself, your co-workers, your family, your children.
