[00:00:15.544 --> 00:00:20.526]  If you are receiving this transmission, you are the resistance.
[01:15:33.351 --> 01:15:42.239]  So when we look at climate change, understand that they have the ability to do it much more quickly, to establish a global taxing regime.
[01:15:43.254 --> 01:15:45.558]  That is true global governance.
[01:15:45.558 --> 01:15:47.181]  That's what they want to see happen.
[01:15:47.181 --> 01:15:50.526]  That is what is so important for them to not allow to be blocked.
[01:15:50.526 --> 01:15:51.187]  Stay with us.
[01:15:51.187 --> 01:15:51.968]  We'll be right back.
[01:15:51.968 --> 01:15:55.715]  We're going to take a look at the South Carolina GOP debate last night.
[01:15:57.722 --> 01:16:00.923]  A clean, toxic-free body is the foundation of true health.
[01:16:00.923 --> 01:16:03.263]  Deep Cleanse by Infowarslife.com.
[01:16:03.263 --> 01:16:10.285]  A scientifically formulated blend of nanocolloidal zeolites and organic ingredients that aid the body in cleansing chemicals and toxic metals.
[01:16:10.285 --> 01:16:15.607]  Using our proprietary multi-step extraction technology, Deep Cleanse is our most affordable all-in-one cleanser.
[01:16:15.607 --> 01:16:24.589]  With concentrated organic compounds like cilantro, milk thistle, fulvic acid, orange peel, zeolites, and others, Deep Cleanse doesn't hold back.
[01:16:25.009 --> 01:16:33.893]  Instead of buying five, six, or even seven different cleansing products, we use decades-old scientific research to put together the Rolls-Royce of all-in-one cleansing.
[01:16:33.893 --> 01:16:40.976]  Look, there's a reason Deep Cleanse is the only product on the market that uses our proprietary SpiteGerex herbal processing technique.
[01:16:40.976 --> 01:16:46.379]  We use only the highest quality organic herbs, backed by serious research, and we still bring it to you at the best.
[01:16:46.659 --> 01:16:52.264]  If you wish to find deep cleanse and experience the all-in-one cleansing, visit InfoWarsLife.com.
[01:16:52.264 --> 01:16:55.066]  That's InfoWarsLife.com or call 888-253-3139.
[01:16:55.066 --> 01:16:59.549]  BrainForce, it's completely different.
[01:16:59.549 --> 01:17:00.790]  Try a bottle of it.
[01:17:00.790 --> 01:17:02.352]  Rob Dew joins us.
[01:17:02.352 --> 01:17:05.474]  You worked, I guess, like 20 plus hours.
[01:17:05.474 --> 01:17:06.555]  Tell us what BrainForce did.
[01:17:06.555 --> 01:17:07.516]  I've been working all day.
[01:17:07.516 --> 01:17:10.018]  I took a couple hours off coaching basketball.
[01:17:10.018 --> 01:17:11.439]  I get in here at 830.
[01:17:11.439 --> 01:17:13.341]  I was kind of run down.
[01:17:13.341 --> 01:17:15.122]  You know, I just didn't feel like I was gonna make it.
[01:17:15.262 --> 01:17:17.143]  And I really wanted to do a good job on the interview.
[01:17:17.143 --> 01:17:18.985]  I got my bottle of Brain Force right there.
[01:17:18.985 --> 01:17:20.025]  I popped two of them.
[01:17:20.025 --> 01:17:22.307]  And about 20 minutes later, it's like, bing!
[01:17:22.307 --> 01:17:24.088]  Everything just kind of clears up.
[01:17:24.088 --> 01:17:25.749]  It's got four and a half stars.
[01:17:25.749 --> 01:17:27.090]  People really love it.
[01:17:27.090 --> 01:17:27.691]  Read about it.
[01:17:27.691 --> 01:17:31.533]  Find out why third-party nutraceutical sites give it such high praise.
[01:17:31.533 --> 01:17:36.797]  Because it really does have the best organic-based systems that will blow your socks off.
[01:17:36.977 --> 01:17:41.021]  I haven't pulled an all-nighter like that in a while, but I probably could not have done it without Brain Force.
[01:17:41.021 --> 01:17:47.167]  I went home about 6.45 this morning, took three hours of sleep, got up, took two more Brain Force and came in.
[01:17:47.167 --> 01:17:53.092]  You will find Brain Force and other game-changing products at InfoWarsLife.com or call 888-253-3139.
[01:17:58.430 --> 01:17:59.371]  Hey, how you doing, Alex?
[01:17:59.371 --> 01:17:59.931]  Good, brother.
[01:17:59.931 --> 01:18:01.653]  Just recently started using your products.
[01:18:01.653 --> 01:18:03.594]  Everything you said about them is correct.
[01:18:03.594 --> 01:18:07.658]  Me and my wife both use a lot of them, and it's made a lot of changes in our lives here.
[01:18:07.658 --> 01:18:10.240]  Well, thank you, brother, because it also funds our operation.
[01:18:10.240 --> 01:18:12.682]  But doing that, I know I've got to have the highest quality.
[01:18:12.682 --> 01:18:20.509]  Super Mill Vitality was developed to activate your body's own natural processes instead of using synthetic chemicals.
[01:18:20.849 --> 01:18:24.093]  We do the super male and the super female vitality.
[01:18:24.093 --> 01:18:25.615]  Big changes, a lot of energy.
[01:18:25.615 --> 01:18:28.658]  We've gotten off of the cheap energy drinks, energy shots.
[01:18:28.658 --> 01:18:30.320]  Saving a ton of money there.
[01:18:30.320 --> 01:18:35.606]  Sourced from powerful organic herbs, harvested around the planet, and then concentrated
[01:18:35.606 --> 01:18:38.168]  Concentrated or maximum potency.
[01:18:38.168 --> 01:18:50.159]  They want to stun and dumb down and energy drinks and stuff just cover that up for a while But then burn you out in my experience where a stuff that gets your glands naturally going goes right to the source So it's pretty exciting and I love it.
[01:18:50.159 --> 01:18:57.106]  Visit InfoWarsLife.com today to secure your super male vitality and other powerful products from InfoWarsLife.
[01:18:58.137 --> 01:19:01.880]  Tell folks how you got introduced to super male and then when super female came out.
[01:19:01.880 --> 01:19:02.800]  Tell us what happened.
[01:19:02.800 --> 01:19:07.543]  After I saw such a huge positive change in my husband, I had to try it for myself.
[01:19:07.543 --> 01:19:08.884]  Talk about the effects.
[01:19:08.884 --> 01:19:10.385]  I feel great when I wake up in the morning.
[01:19:10.385 --> 01:19:12.327]  I have drive to go to the gym.
[01:19:12.327 --> 01:19:13.447]  I feel like I look better.
[01:19:13.447 --> 01:19:14.148]  I feel better.
[01:19:14.148 --> 01:19:15.549]  I feel sexier.
[01:19:15.549 --> 01:19:15.909]  I love it.
[01:19:16.169 --> 01:19:26.717]  Even if you don't believe in supplements, take the challenge, get a bottle of Super Male, a bottle of Super Female, check it out for yourself, consult your physician, visit InfoWarsLife.com today.
[01:19:26.717 --> 01:19:28.098]  This is life-changing.
[01:19:28.098 --> 01:19:30.740]  Shower filters, we're introducing the best yet.
[01:19:30.740 --> 01:19:34.823]  The brand new ProPure ProMax high-performance shower filter.
[01:19:34.823 --> 01:19:39.626]  It removes and reduces over 200 contaminants while preserving a strong, powerful flow.
[01:19:39.626 --> 01:19:41.748]  This new four-stage filtration process
[01:19:41.988 --> 01:19:43.348]  You're listening to the Alex Jones Show!
[01:20:15.712 --> 01:20:17.834]  Big Brother.
[01:20:17.834 --> 01:20:20.196]  Mainstream media.
[01:20:20.196 --> 01:20:23.158]  Government cover-ups.
[01:20:23.158 --> 01:20:25.140]  You want answers?
[01:20:25.140 --> 01:20:27.022]  Well, so does he.
[01:20:27.022 --> 01:20:33.327]  Live from Austin, Texas, broadcasting worldwide, it's Alex Jones.
[01:20:39.813 --> 01:20:41.174]  Welcome back to the Alex Jones Show.
[01:20:41.174 --> 01:20:45.297]  I'm David Knight, your host on this Sunday, February 14, 2016.
[01:20:45.297 --> 01:20:54.603]  Last night was the South Carolina GOP debate, taking place exactly one week before the GOP primary in South Carolina.
[01:20:54.603 --> 01:21:01.327]  It was very entertaining, very aggravating, quite frankly, because I don't like to see dirty tricks.
[01:21:01.327 --> 01:21:05.970]  And that entire process was a rigged process.
[01:21:05.970 --> 01:21:08.332]  You know, we talk about it being a reality TV show.
[01:21:09.658 --> 01:21:12.260]  Have we slumped into that when we look at these debates?
[01:21:12.260 --> 01:21:20.625]  Well, last night, it was really like a sitcom with a laugh track or boot track, and then it became more like a WWE wrestling match.
[01:21:20.625 --> 01:21:22.546]  You can see that right there.
[01:21:22.546 --> 01:21:29.130]  And Donald Trump gave Jeb Bush a drubbing and a noogie on top of it.
[01:21:29.130 --> 01:21:30.991]  We're going to talk about that in just a moment.
[01:21:31.491 --> 01:21:35.972]  Before we do, real quickly, we've got a couple of specials that were extended through the weekend that are going to be ending today.
[01:21:35.972 --> 01:21:38.473]  We've got Silver Bullet, 15% off.
[01:21:38.473 --> 01:21:42.915]  You can get an additional 10% off all these specials if you sign up for AutoShip.
[01:21:42.915 --> 01:21:45.215]  So you can get Silver Bullet, 15% off.
[01:21:45.215 --> 01:21:52.478]  We also have an introductory special on AnthroPlex, our new twice-daily pill formulation that works synergistically with Supermail Vitality.
[01:21:52.478 --> 01:21:56.819]  If you get those two products together, you can get them at 15% off, plus free shipping.
[01:21:57.239 --> 01:22:01.000]  And again, you can get 10% off in addition with AutoShip.
[01:22:01.000 --> 01:22:07.782]  These sales are going to end tonight and a huge sale on InfoWars Select Foods.
[01:22:07.782 --> 01:22:10.983]  30 to 40% off InfoWars Select Storable Foods.
[01:22:10.983 --> 01:22:13.224]  They store for up to 25 years.
[01:22:13.224 --> 01:22:14.024]  All made in America.
[01:22:14.284 --> 01:22:17.967]  From the food to the packaging, very high quality food.
[01:22:17.967 --> 01:22:25.192]  And again, you can get that, even that, even that heavy product, you can get for free shipping if your order is $50 or more.
[01:22:25.192 --> 01:22:29.175]  So we've got a lot of sales that we've extended through this weekend.
[01:22:29.175 --> 01:22:34.139]  The Silver Bullet, the Anthroplex introductory sale, those will be ending tonight for sure.
[01:22:35.327 --> 01:22:37.808]  Okay, let's take a look at this debate last night.
[01:22:37.808 --> 01:22:39.029]  You know, and the past.
[01:22:39.029 --> 01:22:44.431]  And I would characterize this debate as nothing but a televised push-pull.
[01:22:44.431 --> 01:22:46.112]  You know what a push-pull is?
[01:22:46.112 --> 01:22:47.473]  That's the sort of dirty trick
[01:22:48.564 --> 01:22:55.789]  Where they call people the day of the election and they put out some nasty, untrue rumor about somebody.
[01:22:55.789 --> 01:23:05.716]  You know, like calling people up in South Carolina and saying, uh, how would you, would it change your vote if you learned that John McCain had an illegitimate black child in South Carolina?
[01:23:05.716 --> 01:23:07.977]  And of course they did something like that, right?
[01:23:07.977 --> 01:23:08.457]  They did that.
[01:23:08.457 --> 01:23:09.618]  That's what they do with a push poll.
[01:23:09.618 --> 01:23:16.102]  They put out some negative, false information at the very last minute, doing it under the guise of an opinion poll.
[01:23:17.023 --> 01:23:19.686]  That's what that debate last night was.
[01:23:19.686 --> 01:23:21.588]  It was a giant push-pull.
[01:23:21.588 --> 01:23:23.330]  Understand how they rigged the audience.
[01:23:23.330 --> 01:23:25.152]  And of course, we could see this coming.
[01:23:25.152 --> 01:23:30.097]  Matt Drudge had some articles up about how the tickets were being distributed.
[01:23:30.097 --> 01:23:35.723]  The night before, there was a rock star rally at my former alma mater, USF in Tampa.
[01:23:36.323 --> 01:23:39.387]  And the basketball stadium, they had 17,000 people.
[01:23:39.387 --> 01:23:41.029]  It only seats 11,000 people.
[01:23:41.029 --> 01:23:44.974]  They put another 6,000 people on the floor, standing room only.
[01:23:44.974 --> 01:23:47.878]  It was a rock star appearance for Donald Trump.
[01:23:47.878 --> 01:23:50.141]  An audience eight times bigger.
[01:23:51.018 --> 01:23:54.640]  than this hand-picked audience in South Carolina.
[01:23:54.640 --> 01:23:56.642]  And of course, what did you see last night?
[01:23:56.642 --> 01:24:01.245]  You saw this audience booing virtually every time Donald Trump talked.
[01:24:01.245 --> 01:24:15.234]  Now, a lot of people say, well, look, they handed out the tickets to the GOP establishment, people who were part of the RNC, people who were part of the South Carolina GOP establishment, people who worked hard for this, they get the tickets, people who are donors, they get tickets.
[01:24:16.013 --> 01:24:17.054]  Okay, fine.
[01:24:17.054 --> 01:24:18.175]  You want to do that?
[01:24:18.175 --> 01:24:21.478]  Then tell the audience to shut up.
[01:24:21.478 --> 01:24:21.918]  Shut up.
[01:24:21.918 --> 01:24:24.060]  We don't need to know what your opinion is.
[01:24:24.060 --> 01:24:32.947]  When you stack the audience with your supporters, and then you let them run wild as CBS did, to me, that is a dirty trick.
[01:24:32.947 --> 01:24:34.528]  That is a dirty trick.
[01:24:34.528 --> 01:24:38.532]  And let's talk about what they actually did in terms of the audience there.
[01:24:38.532 --> 01:24:44.857]  As they pointed out, for the people who wanted tickets, they said, thousands of people are lining up to try to get tickets to the GOP debate.
[01:24:45.257 --> 01:24:55.224]  They said, well, if we were to do that, we would need a venue that was 11 times the size of that Peace Center to let everybody who wanted to get a ticket get a ticket through the lottery session.
[01:24:55.224 --> 01:24:59.727]  There were less than 2,000 seats at that center where they had it.
[01:25:00.572 --> 01:25:12.079]  And of course, the South Carolina chairman of the Greenville County Republican Party, Chad Groover, who was in charge of this, said the Republican National Committee gave a lot of tickets to supporters.
[01:25:12.079 --> 01:25:17.743]  He said more are then allocated by the state party to distribute along with the county chairs.
[01:25:17.743 --> 01:25:19.484]  He says, I didn't have hundreds of tickets.
[01:25:19.484 --> 01:25:21.566]  I had maybe a dozen tickets, he said.
[01:25:21.566 --> 01:25:26.209]  He said he gave tickets to supporters, including elected officials who work hard for the party.
[01:25:26.869 --> 01:25:31.373]  And then we see this article from Breitbart and they point out a little bit more detail.
[01:25:31.373 --> 01:25:39.140]  They say Senator Lindsey Graham and South Carolina Governor Nikki Haley were personally given scores of tickets to distribute.
[01:25:40.087 --> 01:25:51.690]  Both of them have publicly pointed out how much they despise Donald Trump, and I guess Lindsey Graham was, as Ann Coulter would say, as excited as if he was in a fabric store.
[01:25:51.690 --> 01:25:54.351]  That's a great put-down of Lindsey Graham.
[01:25:54.351 --> 01:25:59.153]  But they point out, only 600 tickets were distributed to the GOP campaign.
[01:25:59.153 --> 01:26:02.694]  So in other words, Trump had 100 tickets, and the rest of the 2,000 tickets went to
[01:26:04.594 --> 01:26:10.107]  Other candidates and mainly to the RNC, to the establishment.
[01:26:10.107 --> 01:26:11.450]  But look at this article here.
[01:26:12.541 --> 01:26:15.322]  On the Drudge Report, you see Trump and Drudge for the win.
[01:26:15.322 --> 01:26:16.983]  This is a Salon article.
[01:26:16.983 --> 01:26:19.524]  They say, Trump and Drudge for the win again.
[01:26:19.524 --> 01:26:21.725]  Matt Drudge's army is bigger than the RNC.
[01:26:21.725 --> 01:26:25.507]  See, they didn't really fool anybody, did they?
[01:26:25.507 --> 01:26:27.508]  We could all see through it.
[01:26:27.508 --> 01:26:32.351]  And Donald Trump pointed it out very vociferously here, what was happening.
[01:26:32.351 --> 01:26:33.991]  But you can understand what was going on.
[01:26:33.991 --> 01:26:36.493]  You could understand that it was a hostile audience.
[01:26:36.493 --> 01:26:39.434]  A small, hand-picked, hostile audience.
[01:26:39.434 --> 01:26:41.275]  I don't like to see that sort of thing.
[01:26:41.835 --> 01:26:49.083]  I don't like to see the established parties coming in with their super-delegates to wipe out everybody else's votes.
[01:26:49.083 --> 01:26:50.965]  We talked about this in the Democrat race.
[01:26:50.965 --> 01:26:54.028]  Bernie Sanders, 150,000 votes, he gets 15 delegates.
[01:26:54.028 --> 01:26:56.991]  That means he got a delegate for every 10,000.
[01:26:56.991 --> 01:26:59.193]  But Hillary got the same number of delegates.
[01:26:59.193 --> 01:26:59.433]  Why?
[01:27:00.194 --> 01:27:09.704]  Because she's got connections with the superdelegates, the people who are above the ordinary rank-and-file voters in the Democrat Party.
[01:27:09.704 --> 01:27:11.847]  And of course the GOP does the same thing.
[01:27:11.847 --> 01:27:16.371]  They rig it with things like this push-poll debate that they had last night.
[01:27:17.079 --> 01:27:28.805]  And they go in, this is what Salon says, if you were gauging by the audience reactions or what the pundits said afterwards on cable news, you would think that the frontrunner of the Republican nomination, Donald Trump, had a really rough night.
[01:27:28.805 --> 01:27:31.687]  Every time he opened his mouth, he was met with loud boos.
[01:27:31.687 --> 01:27:37.870]  Trump, meanwhile, in his spin room interviews after the debate, touted the early numbers on Drudge, calling him the winner.
[01:27:38.570 --> 01:27:42.573]  Do we really still need to debate which analysis matters more?
[01:27:42.573 --> 01:27:48.358]  It's not because most GOP voters hated what Trump had to say, it's because they weren't in the audience.
[01:27:48.358 --> 01:27:49.219]  Okay?
[01:27:49.219 --> 01:28:00.267]  The chair of the RNC scraped up a bunch of GOP loyalists to build a made-for-TV, pro-establishment, anti-Trump audience to cheer on their establishment.
[01:28:00.267 --> 01:28:04.110]  More establishment candidates against the unconventional, anti-establishment Trump.
[01:28:04.110 --> 01:28:05.712]  That's exactly what happened.
[01:28:06.331 --> 01:28:16.757]  And of course, when you look at the results of the poll, I saw an early meme showing all of these different poll results, typically across the board.
[01:28:16.757 --> 01:28:20.359]  It was 70 to 80 percent in favor of Trump.
[01:28:20.359 --> 01:28:24.001]  Now, Drudge has probably got about a half million votes now.
[01:28:24.001 --> 01:28:27.083]  At about 400,000 votes, Trump had 55 percent.
[01:28:27.083 --> 01:28:29.784]  Cruz in second place was at 21 percent.
[01:28:29.784 --> 01:28:31.245]  Nobody is buying it.
[01:28:31.245 --> 01:28:31.966]  Now, when we come back,
[01:28:32.506 --> 01:28:39.713]  We're going to play some of the exchanges between, and of course, one of the booing exchanges between Trump and Jeb Bush.
[01:28:39.713 --> 01:28:45.719]  Trump called him out on his brother's lies about weapons of mass destruction in Iraq.
[01:28:45.719 --> 01:28:48.462]  Would any other candidate have done that in the GOP?
[01:28:48.462 --> 01:28:49.543]  No, they don't.
[01:28:49.543 --> 01:28:53.167]  That's one of the things that came out of last night's debate that was great.
[01:28:53.167 --> 01:28:54.067]  We're going to be right back.
[01:28:54.067 --> 01:28:56.350]  We're going to play that for you, as well as some other excerpts.
[01:28:57.864 --> 01:29:12.254]  My fellow InfoWarriors, I am very excited to be able to announce to you the introduction at InfoWarsLife.com of a new way to save time and money when you stock up on InfoWarsLife formulations like Survival Shield X2 and Super Metal Vitality.
[01:29:12.254 --> 01:29:21.760]  Just go to InfoWarsLife.com today, select your favorite product, click on Auto Ship before adding to cart, and choose how often you want us to send you another one.
[01:29:22.040 --> 01:29:31.064]  Every time you choose AutoShip at Infowarslife.com, you get 10% off and you won't have to worry about running out and having to reorder next time.
[01:29:31.064 --> 01:29:33.866]  And of course, you can cancel with one click anytime.
[01:29:33.866 --> 01:29:37.567]  As you know, I'm all about the idea of a 360 win.
[01:29:37.567 --> 01:29:41.930]  And the new AutoShip feature at Infowarslife.com is a sure win for everybody.
[01:29:41.930 --> 01:29:42.810]  A win for liberty.
[01:29:43.010 --> 01:29:45.953]  A win for health and a win when it comes to big savings.
[01:29:45.953 --> 01:29:52.220]  Visit InfoWarsLife.com today and save 10% on your next InfoWarsLife order by selecting AutoShip at checkout.
[01:29:52.220 --> 01:29:54.162]  That's InfoWarsLife.com or call 888-253-3139.
[01:30:00.726 --> 01:30:04.468]  Thousands of years ago, there was a basic form of chivalry.
[01:30:04.468 --> 01:30:13.872]  Our ancestors would hear the drums of war as the enemy approached, giving the warriors of the tribe a chance to organize and prepare a defense.
[01:30:13.872 --> 01:30:22.195]  Sixty years ago, when foreign air forces were approaching filled with bombs, they had drums of their own, air raid sirens.
[01:30:22.575 --> 01:30:26.938]  But in the 21st century, there are silent weapons for quiet war.
[01:30:26.938 --> 01:30:36.703]  Pathogens added to the food and water, and to the lining of plastics that destroy our vitality, turn off our hormones, and accelerate our journey towards death.
[01:30:36.703 --> 01:30:42.366]  I personally counter this onslaught with Anthroplex, the latest product from Infowarslife.com.
[01:30:42.366 --> 01:30:48.270]  It's time for us to take our bodies back into our own hands, and it starts at Infowarslife.com with Anthroplex.
[01:30:48.670 --> 01:30:56.753]  And finally, for a limited time, when you buy the synergistic duo of AnthroPlex and Super Metal Vitality together at InfoWarsLife.com, you'll get 15% off and free shipping.
[01:30:56.753 --> 01:30:58.574]  That's a limited time.
[01:30:58.574 --> 01:30:59.694]  BrainForce is here.
[01:30:59.694 --> 01:31:01.895]  Ladies and gentlemen, I've been on this the last few months.
[01:31:01.895 --> 01:31:06.897]  You probably noticed I've been more focused, less brain fog, more energy, and it's because of BrainForce.
[01:31:06.897 --> 01:31:10.198]  There's always hidden additives in your food, even organic food has hidden additives.
[01:31:10.198 --> 01:31:13.659]  Staring at the computer all day, working, doing good, you're still damaging your brain.
[01:31:13.659 --> 01:31:15.400]  Ultimately, we've all been dumbed down to some degree.
[01:31:15.640 --> 01:31:16.541]  It doesn't have stimulants.
[01:31:16.541 --> 01:31:17.761]  It doesn't have garbage in it.
[01:31:17.761 --> 01:31:19.742]  It has natural things that do it clean.
[01:31:19.742 --> 01:31:28.407]  You will find Brain Force and other game-changing products at Infowarslife.com or call 888-253-3139.
[01:31:28.407 --> 01:31:29.328]  Shower filters.
[01:31:29.328 --> 01:31:31.049]  We're introducing the best yet.
[01:31:31.049 --> 01:31:35.131]  The brand new ProPure ProMax high-performance shower filter.
[01:31:35.131 --> 01:31:39.934]  It removes and reduces over 200 contaminants while preserving a strong, powerful flow.
[01:31:39.934 --> 01:31:42.095]  This new four-stage filtration process
[01:31:42.335 --> 01:31:46.999]  It helps protect the largest organ in your body, your skin, from the unhealthy contaminants in the water.
[01:31:46.999 --> 01:31:57.769]  You can find more details on this amazing new filter and free shipping at InfowarsStore.com or call 888-253-3139 to order your ProMax shower filter from ProPure today!
[01:31:58.089 --> 01:31:58.910]  Hey, everyone!
[01:31:58.910 --> 01:32:01.191]  Pharmacist Ben Fuchs here, host of The Bright Side.
[01:32:01.191 --> 01:32:05.034]  And as many of you know, I'm on a mission to help Americans get and stay healthy.
[01:32:05.034 --> 01:32:07.116]  You've all heard the shocking statistics.
[01:32:07.116 --> 01:32:17.404]  Despite spending trillions of dollars in health care, nearly $10,000 per man, woman, and child in this country, obesity, diabetes, cancer, heart disease, and autoimmune illnesses are rampant.
[01:32:17.404 --> 01:32:23.369]  One out of three or four people is dealing with some kind of health challenge, and everyone knows at least one person with a degenerative disease.
[01:32:23.849 --> 01:32:38.746]  If you're dealing with a health challenge, or if you're healthy and want to maintain your vigor and longevity, and you're looking for a convenient, easy way to incorporate nutritional raw materials into your day-to-day lives to guarantee that your body is getting the fundamental nutrients, the 90 essential vitamins, minerals, fats, and amino
[01:32:38.766 --> 01:32:40.307]  You're listening to the Alex Jones Show!
[01:33:09.815 --> 01:33:20.187]  From the front lines of the information war, it's Alex Jones.
[01:33:20.187 --> 01:33:21.408]  Welcome back to the Alex Jones Show.
[01:33:21.408 --> 01:33:24.752]  I'm David Knight, your host on this Sunday, February the 14th, 2016.
[01:33:24.752 --> 01:33:31.059]  We're going to play for you some excerpts from the debate last night, the South Carolina GOP debate.
[01:33:31.613 --> 01:33:35.914]  We're going to start out with a back and forth between Donald Trump and Jeb Bush.
[01:33:35.914 --> 01:33:44.816]  Donald Trump called out Jeb Bush's brother on lying to the American people about weapons of mass destruction and going into Iraq.
[01:33:44.816 --> 01:33:48.997]  And you can hear the crowd that was set up to rig this debate.
[01:33:48.997 --> 01:33:51.078]  You can hear them chiming in on this too.
[01:33:51.078 --> 01:33:52.498]  But it was a great exchange.
[01:33:52.498 --> 01:33:54.899]  Let's play this and then we'll comment on it afterwards.
[01:33:54.899 --> 01:33:55.759]  Let me just tell you.
[01:33:56.799 --> 01:34:01.482]  I get along with everybody, which is my obligation to my company, to myself, etc.
[01:34:01.482 --> 01:34:06.864]  Obviously, the war in Iraq was a big, fat mistake, alright?
[01:34:06.864 --> 01:34:24.794]  Now, you can take it any way you want, and it took Jeb Bush, if you remember, at the beginning of his announcement, when he announced the President, it took him five days, he went back, it was a mistake, it wasn't a mistake, it took him five days before his people told him what to say, and he ultimately said, it was a mistake.
[01:34:25.114 --> 01:34:28.936]  The war in Iraq spent two trillion dollars, thousands of lives.
[01:34:28.936 --> 01:34:29.896]  We don't even have it.
[01:34:29.896 --> 01:34:34.498]  Iran is taking over Iraq with the second largest oil reserves in the world.
[01:34:34.498 --> 01:34:36.479]  Obviously it was a mistake.
[01:34:36.479 --> 01:34:38.280]  George Bush made a mistake.
[01:34:38.280 --> 01:34:39.520]  We can make mistakes.
[01:34:39.520 --> 01:34:40.881]  But that one was a beauty.
[01:34:40.881 --> 01:34:42.842]  We should have never been in Iraq.
[01:34:42.842 --> 01:34:45.103]  We have destabilized the Middle East.
[01:34:45.103 --> 01:34:47.884]  So you still think he should be impeached?
[01:34:47.884 --> 01:34:49.025]  I think it's my turn.
[01:34:49.025 --> 01:34:50.245]  You do whatever you want.
[01:34:50.245 --> 01:34:51.506]  You call it whatever you want.
[01:34:51.506 --> 01:34:52.106]  I want to tell you.
[01:34:52.486 --> 01:34:54.506]  You sent us to war by lies?
[01:34:54.506 --> 01:34:55.467]  You think it should be impeached?
[01:34:55.467 --> 01:34:56.587]  Keep going, keep going.
[01:34:56.587 --> 01:34:58.047]  And they knew there were none.
[01:34:58.047 --> 01:35:00.748]  There were no weapons of mass destruction.
[01:35:00.748 --> 01:35:01.588]  They knew it.
[01:35:01.588 --> 01:35:02.408]  Listen to that!
[01:35:02.408 --> 01:35:03.688]  The crowd is booing that!
[01:35:03.688 --> 01:35:05.128]  That's a fact!
[01:35:05.128 --> 01:35:06.129]  That's a fact!
[01:35:06.129 --> 01:35:11.910]  I get to do it five or six times or just once responding to that?
[01:35:11.910 --> 01:35:13.670]  So here's the deal.
[01:35:13.670 --> 01:35:17.951]  I'm sick and tired of Barack Obama blaming my brother for all of the problems that he's had.
[01:35:19.934 --> 01:35:27.818]  Frankly okay, so he if you blame him you're like Barack Obama about the insults that Donald Trump gives to me It's bloodsport for him.
[01:35:27.818 --> 01:35:33.961]  He enjoys it, and I'm glad he's happy about it Hold it right here pause it right here pause it right here, okay?
[01:35:33.961 --> 01:35:35.482]  We're gonna pick up with that now.
[01:35:35.482 --> 01:35:39.684]  I want to tell you what he's going to do I'm gonna do a Chris Christie for you at this point
[01:35:40.484 --> 01:35:43.526]  Jeb Bush goes into a recording, okay?
[01:35:43.526 --> 01:35:48.370]  This is a technique, a defense technique, that they tell them to do, just like Marco Rubio.
[01:35:48.370 --> 01:35:49.390]  You're getting attacked.
[01:35:49.390 --> 01:35:52.032]  You've got incoming missiles, just like you're a plane, okay?
[01:35:52.032 --> 01:35:52.933]  What do you do?
[01:35:52.933 --> 01:35:57.136]  You release the chaff and try to throw people off of the track.
[01:35:57.136 --> 01:36:07.003]  So now what he's going to do is he's going to give a canned speech about how proud he is of his family, and he's been repeating this speech all across South Carolina last week.
[01:36:07.443 --> 01:36:08.444]  This is what he's going to do.
[01:36:08.444 --> 01:36:11.405]  First of all, he's going to say, you're like Barack Obama.
[01:36:11.405 --> 01:36:26.392]  If you accuse my brother of lying to the American people and starting a war that killed American soldiers and millions in Iraq, OK, and set the Middle East on fire, if you accuse me of that, you're like Barack Obama.
[01:36:26.392 --> 01:36:28.693]  And oh, by the way, my family is great.
[01:36:28.693 --> 01:36:29.594]  Let's play the rest of this.
[01:36:30.680 --> 01:36:33.301]  I'm tired of him going after my family.
[01:36:33.301 --> 01:36:35.981]  My dad is the greatest man alive in my mind.
[01:36:35.981 --> 01:36:36.721]  In your mind.
[01:36:36.721 --> 01:36:38.122]  In your mind.
[01:36:38.122 --> 01:36:38.942]  In your mind only.
[01:36:38.942 --> 01:36:46.303]  When Donald Trump was doing a reality TV show, my brother was building a security apparatus to keep us safe.
[01:36:46.303 --> 01:36:46.703]  Oh!
[01:36:46.703 --> 01:36:47.124]  Oh!
[01:36:47.124 --> 01:36:47.644]  Stop that.
[01:36:47.644 --> 01:36:48.684]  Stop that right there.
[01:36:48.684 --> 01:36:49.104]  Yeah.
[01:36:49.104 --> 01:36:53.385]  While Donald Trump was doing a reality TV show, Innocent Entertainment,
[01:36:54.042 --> 01:36:59.526]  His brother was creating a surveillance police state with the Patriot Act!
[01:36:59.526 --> 01:37:00.467]  Oh, yeah, great.
[01:37:00.467 --> 01:37:01.828]  We're proud of that, aren't we?
[01:37:01.828 --> 01:37:02.389]  Proud of that.
[01:37:02.389 --> 01:37:03.750]  Good job, Jeb.
[01:37:03.750 --> 01:37:04.691]  Good job.
[01:37:04.691 --> 01:37:06.612]  That's what we got from his brother.
[01:37:06.612 --> 01:37:08.554]  And we get more lies from him.
[01:37:08.554 --> 01:37:12.857]  Go ahead and finish out the clip.
[01:37:12.857 --> 01:37:13.598]  There goes the bell.
[01:37:19.923 --> 01:37:21.664]  I just had the gall to go after my mother.
[01:37:21.664 --> 01:37:24.425]  Look, I won the lottery when I was born.
