[00:00:00.009 --> 00:00:01.731]  Brain Force is here.
[01:01:14.944 --> 01:01:29.561]  Some of them just they've been on the left for so long they just couldn't help jabbing the awakening giant just a little bit more before it totally wakes up you know and and it makes you wonder like are these people gonna have jobs in a year?
[01:01:29.641 --> 01:01:31.924]  Are they wondering if they're gonna have jobs in a year?
[01:01:31.964 --> 01:01:34.607]  Because they've completely committed treason!
[01:01:35.481 --> 01:01:44.765]  Well, Bowne, don't you agree that it will be us and like Breitbart and independent media outlets like that that'll finally be invited to some of these White House press conferences?
[01:01:44.845 --> 01:01:45.665]  I'm gonna be at the White House.
[01:01:46.285 --> 01:01:47.125]  That's gonna happen.
[01:01:47.686 --> 01:01:48.466]  I hope so.
[01:01:48.606 --> 01:01:55.028]  I was hoping that we'd have some kind of ceremony with Trump like at the end of Star Wars or at the end of Return of the Jedi.
[01:01:57.504 --> 01:02:01.630]  Chewbacca gets the, you know, the... Chewbacca.
[01:02:01.650 --> 01:02:02.651]  January 20th.
[01:02:02.731 --> 01:02:04.493]  One of my favorite actors, Chewbacca.
[01:02:04.573 --> 01:02:06.155]  He's really... He's got a lot to say.
[01:02:08.911 --> 01:02:10.292]  Well, it's been great, guys.
[01:02:10.312 --> 01:02:13.253]  I've got a pizza coming in, but uh... Oh, hey, Bowne's gotta go.
[01:02:13.293 --> 01:02:13.973]  He's got a pizza coming in.
[01:02:14.013 --> 01:02:15.614]  Hey, don't forget to put dominoes on your pizza.
[01:02:15.634 --> 01:02:16.735]  Yeah, you might want some dominoes.
[01:02:16.755 --> 01:02:19.256]  Well, let's not start talking about comet pizza and ping pong.
[01:02:19.596 --> 01:02:20.837]  Thank you, John Bowne, so much.
[01:02:20.857 --> 01:02:22.037]  Keep up the great work, fellas.
[01:02:22.257 --> 01:02:22.858]  All right, my brother.
[01:02:22.998 --> 01:02:23.358]  We'll see ya.
[01:02:23.458 --> 01:02:25.039]  Yeah, and by the way, it's so funny.
[01:02:25.059 --> 01:02:26.760]  You know, we're dealing with all of this garbage.
[01:02:26.880 --> 01:02:34.723]  Trump wins the election, and now we have to talk about all these news outlets screaming and crying, racism, racism, these protesters protesting Donald Trump.
[01:02:35.124 --> 01:02:35.664]  Meanwhile,
[01:02:36.184 --> 01:02:39.928]  Behind the scenes, WikiLeaks is still dumping emails.
[01:02:39.948 --> 01:02:40.768]  That's what I love, too.
[01:02:40.808 --> 01:02:42.310]  They're going to keep pouring them in.
[01:02:42.490 --> 01:02:42.890]  I love it.
[01:02:43.371 --> 01:02:47.415]  Yeah, that was a huge factor in this, you know, regardless of whatever.
[01:02:47.455 --> 01:02:52.820]  I think all the people who are on the fence, they read those emails because I know myself and a whole lot of people out there.
[01:02:52.840 --> 01:02:55.322]  I was part of an online little movement called MAGA 3X.
[01:02:56.423 --> 01:03:01.747]  Where all we did was hijack Twitter and go through every single email every night.
[01:03:01.787 --> 01:03:03.208]  I was up to like 2, 3 in the morning.
[01:03:03.228 --> 01:03:03.608]  The power.
[01:03:03.628 --> 01:03:05.230]  You would do a search bar and everything.
[01:03:05.310 --> 01:03:05.830]  Everything.
[01:03:05.890 --> 01:03:11.094]  And then sit there and do screenshots and then add the links so you could go find it yourself and show people and blast it out.
[01:03:11.114 --> 01:03:12.595]  Look, this is why you shouldn't vote for her.
[01:03:12.915 --> 01:03:14.136]  This is also why she's corrupt.
[01:03:14.556 --> 01:03:16.478]  Look, she's taking questions from Donna Brazile.
[01:03:16.778 --> 01:03:20.381]  Look, she's asking her... New York Times is asking permission to post this article.
[01:03:20.641 --> 01:03:23.463]  Huffington Post is basically giving her talking points on everything.
[01:03:23.743 --> 01:03:24.484]  They're colluding!
[01:03:24.924 --> 01:03:25.845]  Look, wake up!
[01:03:26.185 --> 01:03:27.106]  Don't vote for!
[01:03:27.266 --> 01:03:29.468]  And it wasn't the Russians that exposed this, by the way.
[01:03:29.568 --> 01:03:32.731]  It was internally in the intelligence communities, right?
[01:03:32.751 --> 01:03:33.412]  They're the ones.
[01:03:33.692 --> 01:03:35.094]  Like, people like William Benney from the NSA.
[01:03:35.154 --> 01:03:45.403]  When she wasn't a government official, she was asking Podesta, who had access to secret information, highly classified information, what was going on in Libya.
[01:03:45.703 --> 01:03:49.247]  She was asking him intel over her own secured email server.
[01:03:50.259 --> 01:03:51.260]  She broke the law.
[01:03:51.280 --> 01:03:52.620]  That is completely and totally illegal.
[01:03:52.700 --> 01:03:56.262]  Anybody else would be in prison for so long for doing something like that.
[01:03:56.282 --> 01:03:57.203]  She broke the law.
[01:03:57.223 --> 01:04:04.647]  If you looked at something, either one of you that don't have a secret clearance, looked at something that you didn't have the clearance for, that's not, you'd be dealt with.
[01:04:05.487 --> 01:04:07.949]  Yeah, we'd be in court right now.
[01:04:08.189 --> 01:04:08.669]  And cuffed.
[01:04:08.909 --> 01:04:13.011]  And being... And then the next thing would be like, how in the hell did you get that information?
[01:04:13.051 --> 01:04:13.712]  Where'd you get it from?
[01:04:14.332 --> 01:04:19.295]  And then the person who leaked it or the person who allowed you to see it, so to say, would get in trouble.
[01:04:19.335 --> 01:04:27.139]  So by her looking at it in a time when she was not in office and didn't have that access and have that clearance, that should automatically right there put Podesta out of there.
[01:04:27.339 --> 01:04:28.280]  He should have his clearance pulled.
[01:04:28.300 --> 01:04:32.242]  He shouldn't be able to have any kind of access to any kind of classified material whatsoever.
[01:04:32.702 --> 01:04:35.924]  And by the way, all these Hillary supporters that are still Hillary supporters,
[01:04:36.644 --> 01:04:39.065]  What did Hillary do last night when she lost?
[01:04:39.706 --> 01:04:44.628]  She gave you a big fat middle finger and didn't even deliver a concession speech.
[01:04:44.668 --> 01:04:50.712]  Thousands of people went to the Clinton headquarters last night for Hillary to support her and then what does she do?
[01:04:51.012 --> 01:04:53.553]  She leaves without even giving them the time of day.
[01:04:53.914 --> 01:04:55.975]  That is the true nature of Hillary Clinton.
[01:04:55.995 --> 01:04:56.475]  A cold hearted witch.
[01:04:58.516 --> 01:05:03.740]  Who doesn't give a damn about her constituents and leaves without even addressing them.
[01:05:04.020 --> 01:05:22.055]  We're about to take your calls, but I'm wondering if you guys had the same experience that I had, where I had a bunch of friends, they're not really involved in politics, they don't really pay attention, they don't really care, you know, they like America, they're patriots, but they're just more, you know, paying attention to sports or whatever it is, their work, whatever it is they're doing, and they never really liked Trump.
[01:05:22.155 --> 01:05:23.836]  But they weren't really involved, they never really liked Trump.
[01:05:25.297 --> 01:05:28.338]  Sunday night and Monday, all of a sudden, they all started texting me.
[01:05:28.718 --> 01:05:30.718]  They all started saying, should I really vote Trump?
[01:05:30.758 --> 01:05:31.758]  Like, is this really going down?
[01:05:31.818 --> 01:05:32.599]  Is Trump really going to win?
[01:05:32.619 --> 01:05:33.179]  I'm like, yes.
[01:05:33.459 --> 01:05:34.079]  Go to the poll.
[01:05:34.159 --> 01:05:34.619]  Vote Trump.
[01:05:35.119 --> 01:05:41.400]  And then today and last night, all of them were, again, not involved the entire election, never going to vote Trump.
[01:05:41.821 --> 01:05:42.721]  And now they're all texting me.
[01:05:42.961 --> 01:05:43.401]  We did it.
[01:05:43.621 --> 01:05:44.021]  We did it.
[01:05:44.201 --> 01:05:44.621]  We won.
[01:05:44.801 --> 01:05:45.441]  We voted Trump.
[01:05:45.481 --> 01:05:46.462]  Now we can save the country.
[01:05:46.542 --> 01:05:47.102]  It's amazing.
[01:05:47.182 --> 01:05:48.822]  All of these people are jumping on the bandwagon.
[01:05:48.902 --> 01:05:49.602]  I'm not even mad.
[01:05:49.822 --> 01:05:51.263]  Get on the Trump train, folks.
[01:05:51.303 --> 01:05:52.143]  This is our train.
[01:05:52.163 --> 01:05:53.043]  This is we the people.
[01:05:53.183 --> 01:05:53.683]  Well, welcome.
[01:05:53.763 --> 01:06:00.046]  I guarantee you a lot of the people that were crying last night, this happened after Hillary or Podesta came out and said, alright, everybody go home.
[01:06:00.646 --> 01:06:02.127]  Hillary's not going to be coming out and speaking.
[01:06:02.747 --> 01:06:03.647]  She's going to deliver a statement.
[01:06:03.727 --> 01:06:04.207]  Yeah, F you.
[01:06:04.268 --> 01:06:04.988]  Hillary's not coming.
[01:06:05.268 --> 01:06:06.028]  But imagine that.
[01:06:06.148 --> 01:06:10.270]  You've been someone who's been so brainwashed by this whatever, you were all in for Hillary.
[01:06:10.370 --> 01:06:11.591]  That's fine, I can understand that.
[01:06:11.611 --> 01:06:16.595]  You worked for it, you decided to get on that campaign trail, and you put your blood, sweat, and tears in just like we did.
[01:06:16.615 --> 01:06:19.898]  And then you drank them at a spirit cooking dinner.
[01:06:19.918 --> 01:06:20.719]  No, I'm sorry.
[01:06:20.799 --> 01:06:29.447]  If the roles would have been reversed, and we did what we did, and we fought hard, and I guarantee you, Trump, if he would have lost, he still would have came out and given a speech.
[01:06:29.827 --> 01:06:32.749]  He looked at everybody and said, you know what, we created a movement.
[01:06:32.969 --> 01:06:36.491]  Maybe we didn't win tonight, but what we did was expose what was behind the curtain.
[01:06:36.952 --> 01:06:41.835]  We the people were actually able to expose these people for who they were, and we can continue this movement.
[01:06:42.095 --> 01:06:46.138]  We got four years now to know, we can call out, we know who's bad now.
[01:06:46.438 --> 01:06:55.764]  We know which anchors are full of crap, which people are not being honest, who's colluding with who, and see behind everything this whole time.
[01:06:56.005 --> 01:06:57.746]  Regardless, we could have learned something from it.
[01:06:58.086 --> 01:06:59.527]  But her, she just sits there and goes, eh.
[01:07:00.888 --> 01:07:02.428]  She's never had any integrity.
[01:07:02.448 --> 01:07:04.669]  She drives off in her ambulance, makes a little cell phone call.
[01:07:05.910 --> 01:07:06.310]  Good job.
[01:07:07.511 --> 01:07:08.511]  Please don't send me to jail.
[01:07:08.531 --> 01:07:09.732]  She's pissed today.
[01:07:09.792 --> 01:07:11.152]  She probably did say that, I guarantee you.
[01:07:11.312 --> 01:07:11.973]  Oh, absolutely.
[01:07:12.013 --> 01:07:15.694]  And I guarantee you when she called, she was probably shaking in the back of that ambulance.
[01:07:15.714 --> 01:07:17.055]  No, she wasn't holding the phone.
[01:07:17.075 --> 01:07:18.636]  She had someone holding the phone for her.
[01:07:18.656 --> 01:07:23.398]  Another guy behind her injecting her with some sort of life serum as she begs Trump to stay out of jail.
[01:07:23.418 --> 01:07:25.759]  She probably got like a little nozzle in the back of her head.
[01:07:25.779 --> 01:07:27.360]  They just plug in real quick and she just like
[01:07:27.560 --> 01:07:29.441]  She's just an android?
[01:07:29.681 --> 01:07:34.702]  I'm just so glad I don't have to listen to her anymore.
[01:07:34.722 --> 01:07:39.643]  You're going to have to listen to her again when she's in front of the judge.
[01:07:40.443 --> 01:07:42.064]  You know what though?
[01:07:42.204 --> 01:07:49.466]  I think that the reason why so many people like Trump and are really behind this movement is because we feel like
[01:07:50.666 --> 01:08:01.428]  Now we've got somebody at the head of this who actually has our best interests in mind, where if I'm sitting here, you know, we've been covering and calling out all these things for so long, now we've got a president that's willing to go there.
[01:08:01.668 --> 01:08:02.088]  You know what I mean?
[01:08:02.108 --> 01:08:05.249]  And this wasn't a GOP Republican victory, you know.
[01:08:05.329 --> 01:08:06.029]  It was a loss?
[01:08:06.189 --> 01:08:07.749]  Some people think that that's what it was.
[01:08:08.069 --> 01:08:10.730]  Look, Bushes, they didn't support Trump, man.
[01:08:10.850 --> 01:08:13.050]  They didn't win Pennsylvania either.
[01:08:13.170 --> 01:08:18.811]  This was a populist movement, and it was our last chance to save the Republic, and we did it!
[01:08:19.031 --> 01:08:21.492]  I mean, it took Reince Priebus forever to even kind of get behind him.
[01:08:21.512 --> 01:08:24.192]  I mean, the Republican Party... And Donald gave him a little trouble for that.
[01:08:24.252 --> 01:08:25.573]  This is just the thing, though.
[01:08:25.633 --> 01:08:28.033]  We live in a country, sadly, that's only a two-party country.
[01:08:28.433 --> 01:08:30.494]  I mean, at the end of the day, it's Republican and Democrat.
[01:08:30.514 --> 01:08:31.214]  Do I agree with that?
[01:08:31.274 --> 01:08:31.374]  No.
[01:08:31.414 --> 01:08:35.335]  I think they should have allowed, you know, Jill Stein and Gary Johnson in a lot of those debates.
[01:08:35.355 --> 01:08:36.675]  I think it would have been fun.
[01:08:36.855 --> 01:08:40.796]  I mean, I think it would be cool to hear the other sides as well up against the main candidates.
[01:08:41.116 --> 01:08:43.097]  But here's where we're at in America right now.
[01:08:44.397 --> 01:08:45.638]  We have Donald Trump.
[01:08:45.658 --> 01:08:46.338]  He is now the
[01:08:47.748 --> 01:08:48.669]  Gonna be the next president.
[01:08:49.430 --> 01:08:56.698]  But we are in a country right now that is going to spiral out of control in a sense with all these little social justice warriors who are angry.
[01:08:56.738 --> 01:08:57.619]  There's already been threats.
[01:08:57.679 --> 01:09:05.668]  It's already all over Drudge Report where people are doing protesting, burning Donald Trump pinatas and Trump flags and saying they're gonna kill Trump.
[01:09:06.349 --> 01:09:09.333]  This is where we have to be vigilant.
[01:09:09.833 --> 01:09:12.674]  There's a good chance that someone will try to go after him.
[01:09:12.694 --> 01:09:14.515]  I worry about the JFK situation.
[01:09:14.535 --> 01:09:15.215]  This is a good thing.
[01:09:15.575 --> 01:09:17.316]  He's got to be on his P's and Q's.
[01:09:17.336 --> 01:09:20.297]  He's got to make sure he's got to have a great group of people around him, which he does.
[01:09:21.277 --> 01:09:24.658]  But this is when someone's really going to try to do something because they're going to be desperate.
[01:09:24.678 --> 01:09:28.500]  They're going to try to do whatever they can to keep him from getting into that position.
[01:09:29.840 --> 01:09:30.761]  Come what, January?
[01:09:30.901 --> 01:09:31.481]  January what?
[01:09:31.521 --> 01:09:32.681]  January 20th.
[01:09:33.161 --> 01:09:37.283]  And you know, it's funny because we're dealing with all these protests now and there's a lot of people out there.
[01:09:37.703 --> 01:09:39.604]  And of course, what's the spin, what's the twist?
[01:09:40.084 --> 01:09:41.524]  America divided, right?
[01:09:41.564 --> 01:09:43.405]  This is America divided because of Donald Trump.
[01:09:43.445 --> 01:09:44.825]  It's Donald Trump's fault America's divided.
[01:09:44.845 --> 01:09:46.525]  Barack Obama divided this country.
[01:09:46.605 --> 01:09:47.826]  No, it's Barack Obama.
[01:09:47.846 --> 01:09:50.026]  But more than that even, it's the mainstream media folks.
[01:09:50.146 --> 01:09:57.708]  It is absolutely the television media that is doing this to these poor people in collusion with Barack Obama and the Washington corruption machine.
[01:09:58.468 --> 01:10:04.470]  And it's really sad that the brainwashed people out there are going to blame Donald Trump for this when they don't even see where the brainwashing is coming from.
[01:10:04.670 --> 01:10:09.131]  Alright, we're going to take your calls, but before we go to your calls, folks, please support this broadcast.
[01:10:09.731 --> 01:10:11.591]  Infowarsstore.com.
[01:10:11.631 --> 01:10:14.392]  We are running specials right now, since we're still live.
[01:10:14.892 --> 01:10:16.512]  Do we still have the sale going on, guys?
[01:10:16.552 --> 01:10:17.173]  The live sale?
[01:10:17.213 --> 01:10:18.093]  I would imagine we do.
[01:10:18.253 --> 01:10:18.733]  Free shipping?
[01:10:19.013 --> 01:10:20.233]  We've got free shipping!
[01:10:20.693 --> 01:10:21.774]  Free shipping!
[01:10:22.074 --> 01:10:23.094]  Free shipping!
[01:10:23.274 --> 01:10:24.454]  Infowarsstore.com.
[01:10:24.614 --> 01:10:25.554]  Free shipping, folks.
[01:10:25.894 --> 01:10:27.055]  We've got survival food.
[01:10:28.835 --> 01:10:35.957]  And you can save so much money, not just do we have the best prices on the survival food to begin with, but we also have free shipping right now.
[01:10:36.097 --> 01:10:44.739]  And that saves you so much money if you're going to get survival food, emergency food supplies, you will not find a better deal on planet Earth right now than you will.
[01:10:44.759 --> 01:10:47.120]  And speaking of survival food, think about this.
[01:10:48.060 --> 01:10:51.201]  What's the reason that Trump won last night, other than all the people coming out?
[01:10:51.881 --> 01:10:52.842]  Uh, Pennsylvania.
[01:10:53.222 --> 01:10:54.163]  Or, uh, Philadelphia.
[01:10:54.183 --> 01:10:55.264]  Uh, yeah, Pennsylvania.
[01:10:55.584 --> 01:10:57.926]  That state is the one that actually knocked him over.
[01:10:58.387 --> 01:11:00.469]  Got him the 270 needed and over.
[01:11:00.789 --> 01:11:02.210]  Bush never won Pennsylvania.
[01:11:02.310 --> 01:11:11.138]  I've got numerous friends who live in that state today who have been going through power outages the entire day from different parts of the state who said, they've been texting me all day, are you guys losing power in Austin?
[01:11:11.158 --> 01:11:12.539]  Are you guys losing power in Texas?
[01:11:13.019 --> 01:11:17.583]  So, just a thing, hey, if the power does ever go out, you're gonna need good, storable food.
[01:11:17.603 --> 01:11:18.204]  That was my point.
[01:11:18.544 --> 01:11:19.465]  All kinds of great products.
[01:11:19.525 --> 01:11:20.586]  Infowarsstore.com.
[01:11:20.626 --> 01:11:23.127]  Nutraceuticals, health products, t-shirts, hats.
[01:11:23.247 --> 01:11:23.688]  It's great stuff.
[01:11:23.728 --> 01:11:24.328]  BrainForce.
[01:11:24.468 --> 01:11:24.929]  BrainForce.
[01:11:24.969 --> 01:11:26.770]  I can't survive without BrainForce.
[01:11:26.790 --> 01:11:28.131]  We're all on BrainForce right now.
[01:11:28.571 --> 01:11:28.991]  Oh yes.
[01:11:29.172 --> 01:11:29.952]  I promise you that.
[01:11:30.012 --> 01:11:30.753]  So please go there.
[01:11:31.373 --> 01:11:35.796]  Support this broadcast and take advantage of the free shipping and the specials that we have going on right now.
[01:11:37.858 --> 01:11:40.920]  This would be great Christmas presents for all of your family.
[01:11:40.940 --> 01:11:42.381]  You can buy them stuff and guess what?
[01:11:42.601 --> 01:11:43.722]  The shipping is free.
[01:11:44.062 --> 01:11:45.142]  Yeah, and it is time.
[01:11:45.202 --> 01:11:47.383]  You know, people are starting to buy Christmas gifts right now.
[01:11:47.443 --> 01:11:49.464]  Why not go get ahead of the curve?
[01:11:49.504 --> 01:11:53.025]  We've got, oh my, eleven dollars for BrainForce right now?
[01:11:53.725 --> 01:11:55.225]  I didn't even know that was going on.
[01:11:55.325 --> 01:11:55.805]  Geez!
[01:11:55.825 --> 01:11:57.166]  I don't even know how that's possible.
[01:11:58.146 --> 01:12:01.207]  This is the cheapest BrainForce has ever been.
[01:12:01.427 --> 01:12:02.527]  It's not like coffee.
[01:12:02.727 --> 01:12:03.828]  You don't get the jitters.
[01:12:03.928 --> 01:12:05.228]  You're just so alert.
[01:12:05.768 --> 01:12:10.529]  And there's... Well, the way I always explain it is like, when you drink coffee, within minutes you get the jitters.
[01:12:10.609 --> 01:12:12.150]  Or I do, because I don't drink it that much.
[01:12:12.890 --> 01:12:13.411]  Hardly ever.
[01:12:13.691 --> 01:12:15.654]  But when you take this, you forget you took it.
[01:12:15.995 --> 01:12:18.418]  And then the next thing you know, you're just up and you're moving.
[01:12:18.458 --> 01:12:19.660]  And then you go, why am I so awake?
[01:12:19.680 --> 01:12:20.261]  I was so tired.
[01:12:20.281 --> 01:12:22.344]  And they go, oh yeah, I took that.
[01:12:22.364 --> 01:12:23.305]  So you don't get the jitters.
[01:12:23.365 --> 01:12:23.826]  It's awesome.
[01:12:23.866 --> 01:12:25.368]  It's like a natural energy.
[01:12:25.688 --> 01:12:26.389]  High energy.
[01:12:26.429 --> 01:12:27.211]  That's Trump energy.
[01:12:27.271 --> 01:12:28.633]  It's Trump energy in a bottle.
[01:12:29.973 --> 01:12:34.914]  $30, the typical price for a bottle of Brain Force, on sale right now for $11 with free shipping.
[01:12:34.934 --> 01:12:36.815]  You get three bottles for the price of one.
[01:12:36.855 --> 01:12:37.615]  Free shipping, folks.
[01:12:37.895 --> 01:12:38.515]  That's a joke.
[01:12:38.835 --> 01:12:39.655]  Go get some Brain Force.
[01:12:39.695 --> 01:12:40.336]  Try it for yourself.
[01:12:40.636 --> 01:12:41.816]  Give a bottle to friends and family.
[01:12:41.856 --> 01:12:42.876]  It's a stocking stuffer.
[01:12:43.236 --> 01:12:44.377]  It's a great gift for Christmas.
[01:12:44.817 --> 01:12:46.237]  And these products are so great, folks.
[01:12:46.357 --> 01:12:51.378]  You know, the thing about it is once you buy and use these products, you're going to come back.
[01:12:51.578 --> 01:12:53.299]  I mean, they're just the best health products.
[01:12:53.339 --> 01:12:54.779]  I'm a huge supplement head myself.
[01:12:55.419 --> 01:13:00.613]  And I can tell you, just from my own experience, these are the best supplements that I've ever used.
[01:13:00.934 --> 01:13:02.739]  I wish I had this when I was a soldier.
[01:13:03.888 --> 01:13:22.594]  So, my suggestion is, is if you've got loved ones who are still currently serving, who have to do these 24-hour, you know, fire duties, is what we call them, or, you know, missions where they're still deploying, for $10, $11 a bottle, send them a whole bunch over to Afghanistan, Iraq, wherever they're deployed at, and keep them going.
[01:13:22.654 --> 01:13:24.214]  Keep them alert so these guys can come home.
[01:13:24.594 --> 01:13:30.576]  If you buy Brain Force, please purchase something else, because at $11.95 and free shipping, I think we're losing money.
[01:13:31.056 --> 01:13:34.220]  Yeah, so we're basically giving away BrainForce right now, folks.
[01:13:34.240 --> 01:13:37.564]  I mean, I'm telling you, when I saw that price, I was stunned.
[01:13:38.025 --> 01:13:39.166]  This is a giveaway, folks.
[01:13:39.206 --> 01:13:41.869]  BrainForce for $11 with free shipping.
[01:13:42.170 --> 01:13:43.371]  Give me a break.
[01:13:43.411 --> 01:13:45.033]  So go on there, support this broadcast.
[01:13:45.353 --> 01:13:46.134]  If you like what we do...
[01:13:46.955 --> 01:13:48.376]  We got the Trump is my President t-shirt.
[01:13:48.416 --> 01:13:49.717]  You talk about a conversation starter.
[01:13:49.737 --> 01:13:51.018]  You wear some of these t-shirts.
[01:13:51.098 --> 01:13:51.959]  It's the perfect conversation starter.
[01:13:51.979 --> 01:13:52.459]  Hey guys, take a look.
[01:13:52.600 --> 01:13:53.420]  Silver Bullet.
[01:13:53.580 --> 01:13:55.482]  See how cheap Silver Bullet is right now?
[01:13:55.542 --> 01:13:56.362]  Is Silver Bullet $10 too?
[01:13:56.382 --> 01:13:57.403]  And flu season's coming up.
[01:13:57.683 --> 01:13:58.864]  This is a joke.
[01:13:58.984 --> 01:14:01.687]  You can get a Trump t-shirt, Silver Bullet, and
[01:14:05.028 --> 01:14:09.389]  I mean, you'd basically be stealing from us, but I guess, I mean, heck, take advantage of us!
[01:14:09.429 --> 01:14:11.770]  If we're going to offer you these deals, get online!
[01:14:11.810 --> 01:14:13.191]  Go to Infowarsstore.com.
[01:14:13.231 --> 01:14:19.433]  Take advantage of the fact that we are just so in love with this republic, so in love with the fact that we're here spreading the truth.
[01:14:19.773 --> 01:14:25.675]  We love our audience so much that we want to give you the best deals, and we want you to share it with friends and family, because we know you're going to come back, folks.
[01:14:26.075 --> 01:14:26.855]  That's what it comes down to.
[01:14:26.875 --> 01:14:27.135]  We have faith.
[01:14:27.155 --> 01:14:27.655]  You know, it's interesting.
[01:14:27.695 --> 01:14:29.656]  Hardly anyone in this office ever really gets sick.
[01:14:30.506 --> 01:14:35.667]  Because as soon as we hear that like blue season's around and like people are getting sick or like, you know, chugging bottles of silver.
[01:14:35.827 --> 01:14:39.708]  We're taking the silver, just chugging it and just fighting right through it.
[01:14:40.029 --> 01:14:40.889]  It literally kills it all.
[01:14:40.929 --> 01:14:41.869]  You don't have to worry about anything.
[01:14:42.449 --> 01:14:44.090]  All right, let's go out to the phone lines.
[01:14:44.810 --> 01:14:47.030]  Let's start with Chris in Virginia.
[01:14:47.050 --> 01:14:48.571]  He wants to talk about draining the swamp.
[01:14:48.611 --> 01:14:49.311]  Go ahead, Chris.
[01:14:49.331 --> 01:14:51.052]  All right.
[01:14:51.112 --> 01:14:51.332]  Yeah.
[01:14:51.352 --> 01:14:52.192]  What's going on, fellas?
[01:14:52.732 --> 01:14:54.673]  Hey.
[01:14:54.733 --> 01:14:57.013]  First of all, I wanted to talk about draining the swamp.
[01:14:57.133 --> 01:14:59.874]  Before that, them people that's protesting,
[01:15:00.569 --> 01:15:08.297]  I'm pretty sure by the end of Trump's presidency, there'll be big fans of him.
[01:15:08.878 --> 01:15:10.460]  A lot of them are just lost right now.
[01:15:10.480 --> 01:15:11.221]  There's no hope.
[01:15:12.342 --> 01:15:16.026]  So I think a lot of them will be ashamed of the way they acted.
[01:15:16.366 --> 01:15:17.047]  They'll come around.
[01:15:17.761 --> 01:15:22.464]  You know, I'm glad you said that, because a lot of them will come around, and I've seen that personally myself.
[01:15:22.505 --> 01:15:31.291]  There's people who, family members, friends, family, neighbors, that sort of thing, absolutely hated what I do for a living, you know.
[01:15:32.211 --> 01:15:33.612]  And they come around.
[01:15:33.912 --> 01:15:40.317]  You just plant that seed, you talk to them a little bit, and you'd be surprised, you might have experienced for yourself.
[01:15:40.937 --> 01:15:53.407]  But later, they're all on board and they agree with you and so... Well, I experienced the same thing too, Darren, because it's like, you know, people knew what I did and they, you know, they might not have hated what I did or whatever, but they knew what I did and they thought I was crazy.
[01:15:53.747 --> 01:15:54.568]  But then what happens?
[01:15:55.148 --> 01:16:00.753]  For the last year and a half, they've been tuning into the mainstream news, the polls, the polls, the polls, the polls are rigged, the polls are rigged, the polls are rigged.
[01:16:01.093 --> 01:16:01.854]  And then what happens?
[01:16:02.014 --> 01:16:02.694]  We were right.
[01:16:03.415 --> 01:16:04.016]  We were right.
[01:16:04.736 --> 01:16:07.379]  So that's, I think that that's kind of what you're speaking to, Darren.
[01:16:07.419 --> 01:16:15.226]  We get vindicated over and over and over again and thank God for the whistleblowers, thank God for WikiLeaks, and thank God for our caller.
[01:16:17.368 --> 01:16:18.409]  I just have one more thing.
[01:16:18.809 --> 01:16:23.133]  I just want to say in terms of draining the swamp, I'm real curious to see
[01:16:24.019 --> 01:16:27.101]  What Trump is going to see on the inside.
[01:16:27.561 --> 01:16:32.565]  You know, with the WikiLeaks talking about the spirit cooking and all that.
[01:16:33.525 --> 01:16:34.946]  You know, how far does it go?
[01:16:34.966 --> 01:16:37.328]  You know, with the SDA and what they do.
[01:16:37.368 --> 01:16:38.829]  Well, and think about this too.
[01:16:38.889 --> 01:16:39.650]  Think about this too.
[01:16:39.710 --> 01:16:48.615]  You know that there's some sort of a ceremony with the president where as soon as you're inaugurated, you know, you basically get the book of secrets.
[01:16:48.736 --> 01:16:49.376]  You know what I'm saying?
[01:16:49.416 --> 01:16:51.477]  Like you basically get all of this intel.
[01:16:51.758 --> 01:16:53.419]  Now, maybe they keep that from Trump.
[01:16:54.019 --> 01:17:08.926]  Maybe they look at Trump as such a transparent and honest guy who cares about the American people that they don't let him know about all of these secrets when he gets inaugurated, but maybe they do because they, I mean, these are ceremonious people, and then who knows what Trump does with that intel.
[01:17:08.946 --> 01:17:09.826]  That's a great point, Chris.
[01:17:09.886 --> 01:17:13.408]  I guarantee you there's going to be so many Secret Service people, so many people on the inside who have
[01:17:14.168 --> 01:17:16.509]  Felt so oppressed and suppressed.
[01:17:16.789 --> 01:17:20.071]  Can't wait to finally get a true leader in, absolutely.
[01:17:20.091 --> 01:17:22.572]  When Trump comes in, it's just going to be floodgates.
[01:17:22.752 --> 01:17:28.095]  He's going to have to be open ears and just sitting back and listening for a while because they're going to be like, this is wrong, this is wrong.
[01:17:28.615 --> 01:17:29.976]  You can't imagine what the Clintons did.
[01:17:29.996 --> 01:17:32.877]  You can't imagine how Obama did this and that, blah, blah, blah, blah, blah.
[01:17:33.017 --> 01:17:33.517]  Help us.
[01:17:33.597 --> 01:17:34.097]  Let's do this.
[01:17:34.218 --> 01:17:35.018]  I want to get behind you.
[01:17:35.058 --> 01:17:35.518]  Let's work.
[01:17:35.558 --> 01:17:36.238]  Let's fix this.
[01:17:36.559 --> 01:17:39.420]  I guarantee he's going to have a massive amount of support once he gets in there.
[01:17:39.480 --> 01:17:47.345]  Yeah, because we talk about like the corruption of the CIA and the FBI, but there's also, there's so many good patriotic people within those organizations.
[01:17:47.445 --> 01:17:49.526]  Usually, it's at the top.
[01:17:49.826 --> 01:17:56.310]  You know, the people at the very top are the ones that are corrupt, so I think he's going to get a lot of cooperation, just like you were saying.
