[00:00:02.040 --> 00:00:03.181]  All right, folks, we're live.
[03:11:42.450 --> 03:11:43.791]  It's even towed 656 cars at owner's expense.
[03:11:51.479 --> 03:11:59.761]  Blizzards face $250 tickets, $100 tow tickets, and $25 per day fee until they pick up their vehicles, which you can't do because it's so snowed in.
[03:11:59.761 --> 03:12:01.281]  No one can even leave.
[03:12:01.281 --> 03:12:07.462]  But many drivers say they simply couldn't move their cars from emergency routes after the blizzard dropped two feet of snow in the district.
[03:12:07.462 --> 03:12:11.463]  Quote, they gave me a $250 ticket just for being snowed in.
[03:12:11.463 --> 03:12:15.064]  I couldn't get no help, Danielle Smith said.
[03:12:15.064 --> 03:12:19.065]  And then people wonder why we don't trust the government.
[03:12:20.086 --> 03:12:22.010]  And think it's a complete joke.
[03:12:22.010 --> 03:12:23.392]  Because it is.
[03:12:23.392 --> 03:12:24.474]  It's completely absurd.
[03:12:24.474 --> 03:12:26.037]  It's completely insane.
[03:12:26.037 --> 03:12:32.249]  And I'll push that a step farther, because that's kind of a silly thing, with the million dollars in fines for not moving your car when it's under two feet of snow.
[03:12:33.186 --> 03:12:35.087]  That's kind of the silly thing.
[03:12:35.087 --> 03:12:35.667]  Push it further.
[03:12:35.667 --> 03:12:37.868]  Let's talk about this for just a minute.
[03:12:37.868 --> 03:12:42.330]  Michigan cities beyond Flint have concerning lead water levels, data shows.
[03:12:42.330 --> 03:12:46.752]  And this is a story from Michigan Live that expands into something much bigger.
[03:12:46.752 --> 03:12:52.975]  All eyes are fixed on Flint as the crisis over lead in the city's drinking water supply has unfolded at an accelerated pace.
[03:12:53.795 --> 03:13:03.565]  But Flint is not the only municipal or private water supply in Michigan where the drinking water is tested at or above levels that researchers and public health officials consider to be the threshold.
[03:13:03.565 --> 03:13:12.033]  It goes on to say their environmental quality records show that a bunch of different water supplies are exceeding the federal limit on lead and copper.
[03:13:12.033 --> 03:13:12.974]  Well, gee.
[03:13:14.053 --> 03:13:22.197]  Remember, I guess a few weeks ago it was now, when I was here last time and I was able to join you guys, and we spoke about how it's not just Flint.
[03:13:22.197 --> 03:13:35.364]  And I mentioned that water supplies around the United States have lead levels that, according to the World Health Organization statistics, and looking at the levels from different research pieces, are already affecting children.
[03:13:35.364 --> 03:13:37.185]  And some of the effects were devastating.
[03:13:38.248 --> 03:13:46.034]  It's making them antisocial, crushing their intelligence, even at low levels, and the worst part is you aren't going to see the symptoms.
[03:13:46.034 --> 03:13:48.796]  But, is the government making a big deal about that?
[03:13:48.796 --> 03:13:50.418]  Of course not.
[03:13:50.418 --> 03:13:51.078]  Of course not.
[03:13:51.078 --> 03:13:54.721]  And this is one of the pieces I mentioned weeks ago from Vox.
[03:13:54.721 --> 03:13:55.722]  It's not just Flint.
[03:13:55.722 --> 03:13:59.705]  Every major American city has hazardous amounts of lead hurting kids.
[03:13:59.705 --> 03:14:06.130]  The story of Flint, Michigan's children being poisoned by lead-contaminated drinking water has rightly shocked and scandalized the nation.
[03:14:06.610 --> 03:14:13.095]  But while the situation in Flint is certainly an extreme case, the problem is much more widespread than people realize.
[03:14:13.095 --> 03:14:21.822]  Children in essentially every city in America are being exposed to hazardous levels of toxic lead, and very little is being done about it.
[03:14:21.822 --> 03:14:28.007]  At the most severe levels, lead attacks the brain and central nervous system to cause coma, convulsions, and even death.
[03:14:28.007 --> 03:14:32.331]  Now, it's not that bad throughout the country, obviously, there's not excessive levels where you're getting that.
[03:14:33.638 --> 03:14:44.740]  But, it goes on to say, at least mild versions of these impacts are felt at even low levels of lead exposure that cause no obvious symptoms and are previously considered safe.
[03:14:44.740 --> 03:14:44.920]  Okay?
[03:14:44.920 --> 03:14:55.222]  And it goes on to talk about resulting in reduced IQ, behavioral changes, shortening of attention span, and increased antisocial behavior and reduced educational attainment.
[03:14:55.222 --> 03:14:55.822]  Alright?
[03:14:55.822 --> 03:14:58.763]  And then we wonder why we don't trust the government.
[03:14:58.763 --> 03:15:03.224]  The mainstream media wonders, why aren't they trusting the government and coming to them for help?
[03:15:04.568 --> 03:15:09.854]  We can't even have a water supply unless we freak out about one city that's being addressed.
[03:15:09.854 --> 03:15:16.862]  Not even getting into the sodium fluoride and the antibiotics in the water supply, the other pharmaceutical drugs, not even getting into that.
[03:15:16.862 --> 03:15:19.124]  Just the lead issue alone.
[03:15:19.124 --> 03:15:19.865]  And they ask why.
[03:15:19.865 --> 03:15:20.806]  And how about this?
[03:15:21.894 --> 03:15:23.214]  Walmart.
[03:15:23.214 --> 03:15:32.276]  We talked last time also about Walmart and the truth about Walmart and how it's really the epitome of everything that makes America terrible.
[03:15:32.276 --> 03:15:39.738]  Everything that pulls us down, everything that pulls down the hard-working people that actually want to help others and build the economy.
[03:15:39.738 --> 03:15:44.599]  Walmart is kind of like a big fat leech that just sucks the blood out of everybody.
[03:15:44.599 --> 03:15:48.420]  Not just a certain class of people, just kind of sucks the blood out of a city, right?
[03:15:48.420 --> 03:15:49.240]  But what happens
[03:15:50.160 --> 03:15:53.282]  When Walmart goes away from certain towns.
[03:15:53.282 --> 03:15:58.025]  Well, Walmart shutdown creates new food deserts according to Associated Press.
[03:15:58.025 --> 03:16:03.068]  This is such a powerful article if you really read it.
[03:16:03.068 --> 03:16:04.629]  We'll put it up on Infowars.com.
[03:16:04.629 --> 03:16:10.052]  If you really read this article, it shows you just how much we've been swallowed by Walmart.
[03:16:11.124 --> 03:16:26.352]  Walmart's decision to shut down 150 stores across the country means that starting Thursday, residents without cars in a neighborhood near historically black college outside Alabama will have to cross dangerous roadways on foot to get fresh produce and meat.
[03:16:26.352 --> 03:16:32.316]  Come Friday, folks in Coal Hill, Arkansas will need to drive 15 miles to get to the nearest supermarket and pharmacy.
[03:16:32.876 --> 03:16:38.837]  Low-income neighborhoods of Wichita State University in Kansas will be losing quick access to fresh groceries.
[03:16:38.837 --> 03:16:41.898]  So these people actually can't get fresh real food.
[03:16:41.898 --> 03:16:47.058]  They could probably buy a Snickers bar at a gas station, but they can't actually buy food.
[03:16:47.058 --> 03:16:52.279]  And what's more sad is Walmart was their only source of real food, so-called real food.
[03:16:52.279 --> 03:17:00.821]  The store closings by the world's largest retailer are creating three new food deserts in these neighborhoods with nearly 15,000 residents, according to AP.
[03:17:01.821 --> 03:17:09.143]  One of them is in Fairfield, Alabama, a hard luck suburb of 11,000, about 8 miles west of Birmingham.
[03:17:09.143 --> 03:17:17.765]  The Walmart there sits on a highway marked by a dreary swath of abandoned commercial buildings, fast food restaurants, payday lending businesses, and gas stations.
[03:17:17.765 --> 03:17:26.007]  By late last week, it was already out of fresh food, and shoppers who picked over the remaining items also worried the store's shutdown could affect competitive prices.
[03:17:26.007 --> 03:17:30.788]  That gives the stores the opportunity to raise their prices, but you don't have anywhere else to go, according to a local.
[03:17:31.388 --> 03:17:38.032]  Look, Walmart is a huge leech, and look what happens when even they shut down, which in my view is a good thing.
[03:17:38.032 --> 03:17:40.394]  It just shows how controlling they were over these towns.
[03:17:40.394 --> 03:17:44.236]  The only place they had to go was Walmart for fresh food, for real food.
[03:17:44.236 --> 03:17:47.318]  That's the only place they had to go.
[03:17:47.318 --> 03:17:48.159]  Alright?
[03:17:48.159 --> 03:17:56.064]  And look, it's essential to support real operations and real businesses, and that's why at Infowarslife.com, DNA Force is 25% off right now, 25% off the original price.
[03:18:01.243 --> 03:18:11.488]  As far as I'm concerned and aware, this is an unprecedented sale, and it's your opportunity to try DNA Force for 20% off, and also Survival Shield X2, Supermail Vitality, Brain Force, you name it.
[03:18:11.488 --> 03:18:14.209]  It's all at InfoWarsLife.com.
[03:18:14.209 --> 03:18:22.473]  Support a real operation that isn't Walmart sucking away the blood of the middle class, lower class, upper class, the whole country itself.
[03:18:22.473 --> 03:18:26.715]  Now, we're going to come and talk about some more stories here, including
[03:18:27.967 --> 03:18:31.677]  Woman who says she's a cat trapped in the wrong body and hisses at dogs.
[03:18:33.087 --> 03:18:46.456]  And coming up again at the bottom of the hour though, Alex Jones is going to come back in studio and speak with Roger Stone on what's happening tonight with Donald Trump, the debates, bunch of insider information you won't be hearing anywhere else.
[03:18:46.456 --> 03:18:48.838]  But let's crack into a few stories here.
[03:18:48.838 --> 03:18:52.620]  So this came across my desk and I thought this was interesting.
[03:18:52.620 --> 03:18:57.463]  Intelligent people are genetically predisposed to be healthier, experts find.
[03:18:57.463 --> 03:19:02.207]  University of Edinburgh suggests that gene variants linked to thinking skills are also linked to health.
[03:19:03.027 --> 03:19:12.430]  For the first time, scientists have shown that the intelligence is linked to good health, so those blessed with brains are also less likely to become sick, develop disease, or die early.
[03:19:12.430 --> 03:19:14.010]  The reason, they say, is down to genes.
[03:19:14.010 --> 03:19:20.072]  An international team, led by the university, discovered the gene variants make people smart also protect them against illness.
[03:19:21.104 --> 03:19:27.514]  What I would like to see is that if that means it's lifestyle changes or it's just a genetic thing that protects you from being sick.
[03:19:27.514 --> 03:19:33.964]  I also think that super intelligent people sometimes totally forego their body and don't care because they're so dedicated to something that they end up getting sick.
[03:19:35.208 --> 03:19:41.292]  Well, we'll be right back with covering more news and talking more about the interview that's coming up with Roger Stone, Alex Jones again.
[03:19:41.292 --> 03:19:51.299]  We'll be here at the bottom of the hour and don't forget the live coverage with Alex and the InfoWars crew starting tonight at 7 Central Standard Time for the debate and Donald Trump's event as well.
[03:19:51.299 --> 03:19:51.799]  We'll be right back.
[03:19:59.265 --> 03:20:01.268]  Are you sneezing, coughing, and aching?
[03:20:01.268 --> 03:20:05.193]  Do you have a sore throat, a fever, or the sniffles?
[03:20:05.193 --> 03:20:11.021]  There's no reason to be sick this cold and flu season with immune system support from Supernatural Silver.
[03:20:11.021 --> 03:20:15.468]  Supernatural Silver can give your body the help it needs to fight off harmful pathogens.
[03:20:15.808 --> 03:20:20.853]  Without hurting beneficial gut flora and without leaving behind resistant bacteria.
[03:20:20.853 --> 03:20:27.179]  Antibiotics can damage good microflora and often leave behind bacteria which can cause problems later on.
[03:20:27.179 --> 03:20:30.582]  If you're sick of being sick, try Supernatural Silver.
[03:20:30.582 --> 03:20:31.783]  Supernatural Silver.
[03:20:31.963 --> 03:20:39.308]  The number one choice of thousands for a safe and effective way to protect against the many diseases and illnesses that we are facing today.
[03:20:39.308 --> 03:20:46.473]  Go to SupernaturalSilver.com, read our customer reviews, and see the life-changing results that people are having.
[03:20:46.473 --> 03:20:48.795]  That's SupernaturalSilver.com.
[03:20:48.795 --> 03:20:50.956]  SupernaturalSilver.com.
[03:20:50.956 --> 03:20:54.759]  Use the promo code PROTECTED for 20% off your entire order.
[03:20:54.759 --> 03:20:56.300]  And like us on Facebook.
[03:20:56.300 --> 03:20:57.501]  SupernaturalSilver.
[03:20:58.956 --> 03:21:01.685]  The following statements have not been evaluated by the FDA.
[03:21:01.685 --> 03:21:05.177]  This product is not intended to diagnose, treat, cure, or prevent any disease.
[03:21:06.388 --> 03:21:09.869]  Something shocking just happened in a Coast Guard unit in San Diego.
[03:21:09.869 --> 03:21:15.311]  The old guys in the unit have turned the tables and are now destroying the young bucks in head-to-head fitness tests.
[03:21:15.311 --> 03:21:16.792]  How is this even possible?
[03:21:16.792 --> 03:21:24.334]  Turns out, the old guys in this unit have been part of a special test group for a doctor-formulated fountain of youth drink called Patriot Power Greens.
[03:21:24.334 --> 03:21:31.977]  Patriot Power Greens has been so effective for many of the older soldiers that it's made their achy joints, stiff muscles, and lack of energy a thing of the past.
[03:21:31.977 --> 03:21:35.178]  Previously, this drink was only available to elite military units.
[03:21:35.458 --> 03:21:43.286]  But for a limited time, the creator of Patriot Power Greens has set aside a small number of free samples specifically for our conservative friends.
[03:21:43.286 --> 03:21:46.449]  All they ask is that you chip in a few bucks to cover shipping.
[03:21:46.449 --> 03:21:50.574]  To claim your free samples of Patriot Power Greens, go to Greens75.com.
[03:21:50.574 --> 03:21:51.274]  That's Greens75.com.
[03:21:51.274 --> 03:21:51.675]  Greens75.com.
[03:21:57.745 --> 03:22:00.848]  Don't complain about your cable bill going up and up and up.
[03:22:00.848 --> 03:22:02.070]  Do something about it.
[03:22:02.070 --> 03:22:06.935]  Grab a pencil and jot down this special number.
[03:22:06.935 --> 03:22:10.899]  The more cable TV rates go up, the better digital satellite TV looks.
[03:22:10.899 --> 03:22:12.621]  Say goodbye to the cable guy.
[03:22:12.621 --> 03:22:16.605]  And get more of your favorite channels in 100% digital quality for less money.
[03:22:16.605 --> 03:22:17.025]  Call 1-855-905-MY-TV.
[03:22:19.548 --> 03:22:23.351]  Sign up for packages starting as low as $19.99, and there's no equipment to buy.
[03:22:23.351 --> 03:22:28.416]  You get free HDTV upgrade, a free DVR upgrade, and free professional installation.
[03:22:28.416 --> 03:22:31.058]  You control what you watch, when you watch it.
[03:22:31.058 --> 03:22:35.662]  Record your favorite shows, pause and rewind live TV, even skip the commercials.
[03:22:36.002 --> 03:22:37.522]  Watch local channels, too.
[03:22:37.522 --> 03:22:40.163]  At just $19.99, what are you waiting for?
[03:22:40.163 --> 03:22:42.104]  Pull out your major credit or debit card.
[03:22:42.104 --> 03:22:45.405]  Call 1-855-905-MY-TV.
[03:22:45.405 --> 03:22:47.445]  1-855-905-MY-TV.
[03:22:47.445 --> 03:22:49.306]  Say goodbye to the cable guy.
[03:22:49.306 --> 03:22:50.826]  Cut costs and get more.
[03:22:50.826 --> 03:22:51.427]  1-855-905-MY-TV.
[03:22:51.427 --> 03:22:51.607]  1-855-905-MY-TV.
[03:22:57.731 --> 03:23:01.333]  Winter has just begun, and are you already tired of being cold?
[03:23:01.333 --> 03:23:03.714]  How would you like to never be cold again?
[03:23:03.714 --> 03:23:10.577]  This is Dale with Fortress Clothing, and I'm here to tell you, you will never be cold again with Fortress.
[03:23:10.577 --> 03:23:20.461]  If you're tired of freezing your butt off, elk hunting, sitting in a tree stand deer hunting, winter camping, fishing, ice fishing, no longer fear the cold.
[03:23:20.461 --> 03:23:23.763]  If you snowmobile, ski, snowboard, get Fortress.
[03:23:24.463 --> 03:23:31.093]  Sledding with the kids, shoveling the walks, shopping, or if you or your spouse get cold feet at home, get Fortress.
[03:23:31.093 --> 03:23:39.487]  If you're stuck outside working in the cold, or find yourself in an emergency situation, get our winter bug out bag, and you will never be cold again.
[03:23:39.967 --> 03:23:44.149]  Fortress is the answer, so quit complaining and go to FortressClothing.com.
[03:23:44.149 --> 03:23:47.330]  It's a mid-layer garment that goes with anything you want to wear.
[03:23:47.330 --> 03:23:51.412]  Enter coupon code RADIO and get 20% off any item.
[03:23:51.412 --> 03:23:53.693]  Go now while we still have inventory.
[03:23:53.693 --> 03:23:54.633]  FortressClothing.com.
[03:24:06.590 --> 03:24:07.350]  We're back.
[03:24:07.350 --> 03:24:08.331]  I'm Anthony Gucciardi.
[03:24:08.331 --> 03:24:10.232]  This is the Alex Jones Show.
[03:24:10.232 --> 03:24:17.835]  It's the fourth hour and next segment Alex is coming back in studio with a very special interview with Roger Stone.
[03:24:17.835 --> 03:24:26.499]  He's going to cover everything that's happening tonight with Trump, some insider information, the debates, and of course he'll be back again at 7 p.m.
[03:24:26.499 --> 03:24:31.702]  Central Standard Time with the whole InfoWars crew to cover the debates and Trump's event all in one.
[03:24:32.202 --> 03:24:37.269]  That will be available at InfoWars.com forward slash show or just go to InfoWars.com.
[03:24:37.269 --> 03:24:39.772]  So, you know, we're talking about people hating the government.
[03:24:39.772 --> 03:24:43.357]  CBS says hatred towards the government is an all-time high.
[03:24:43.357 --> 03:24:44.359]  People hate the TSA.
[03:24:44.359 --> 03:24:45.981]  People hate everything about the government.
[03:24:45.981 --> 03:24:46.462]  It's horrible.
[03:24:46.462 --> 03:24:48.404]  It's horrible dealing with the United States government.
[03:24:49.165 --> 03:24:51.267]  Oftentimes, they simply cannot be trusted.
[03:24:51.267 --> 03:24:52.668]  Or pretty much every time.
[03:24:52.668 --> 03:24:56.211]  And it reminds me of two key videos I wanted to share with you.
[03:24:56.211 --> 03:25:00.234]  One of which, you know, we've always been told, we're going to get the troops out of Afghanistan.
[03:25:00.234 --> 03:25:01.675]  We're going to bring them home.
[03:25:01.675 --> 03:25:03.376]  We're going to bring them all home.
[03:25:03.376 --> 03:25:05.318]  But, of course, that never happened.
[03:25:05.318 --> 03:25:07.259]  And in fact, report, U.S.
[03:25:07.259 --> 03:25:09.321]  troops may stay in Afghanistan for decades.
[03:25:09.321 --> 03:25:12.723]  Apparently, he says, what we've learned is that you can't really ever leave.
[03:25:12.723 --> 03:25:13.304]  Let's play that video.
[03:25:14.406 --> 03:25:28.162]  It's really a striking reversal for President Obama who staked his presidency in part on ending the wars in Iraq and Afghanistan and it was only in 2014 that we had him stand in the Rose Garden and promise to bring the U.S.
[03:25:28.162 --> 03:25:33.889]  military role in Afghanistan to an end and since then there's been a series of reversals of changes
[03:25:34.329 --> 03:25:34.990]  Thank you.
[03:26:00.322 --> 03:26:03.625]  And, of course, we're probably never coming back, right?
[03:26:03.625 --> 03:26:15.316]  And it also reminds me of this one video where we were told, again, that Hillary Clinton would never use any form of unclassified system to transfer classified information.
[03:26:15.316 --> 03:26:19.299]  But according to this video, actually she used a BlackBerry to communicate classified information.
[03:26:19.299 --> 03:26:21.942]  Let's go to this video.
[03:26:21.942 --> 03:26:25.164]  Now, I must say, since the last time I was here,
[03:26:26.486 --> 03:26:28.509]  Uh, over a dozen years ago.
[03:26:28.509 --> 03:26:30.171]  Things have changed.
[03:26:30.171 --> 03:26:35.938]  When I first came to the department, we had Wangs.
[03:26:35.938 --> 03:26:37.941]  Now we have Blackberries.
[03:26:37.941 --> 03:26:41.004]  And it has changed the way diplomacy is done.
[03:26:42.448 --> 03:26:48.072]  Things appear on your blackberries that would never be on an unclassified system, but you're out traveling.
[03:26:48.072 --> 03:26:50.093]  You're trying to negotiate something.
[03:26:50.093 --> 03:26:52.035]  You want to communicate with people.
[03:26:52.035 --> 03:26:53.375]  It's the fastest way to do it.
[03:26:53.375 --> 03:27:03.082]  My favorite story about this is at the UN General Assembly two years ago, Secretary Clinton was at the EU, it was then EU 27 meeting,
[03:27:05.263 --> 03:27:08.124]  Uh, where all the foreign ministers were arrayed along a long table.
[03:27:08.124 --> 03:27:09.325]  She was on one side of the table.
[03:27:09.325 --> 03:27:13.886]  Kathy Ashton was on the other side of the table, the High Representative for the European Union.
[03:27:13.886 --> 03:27:20.129]  Uh, they were trying to, during that UN General Assembly, negotiate a quartet statement for Middle East peace.
[03:27:20.129 --> 03:27:34.214]  And so they sat there as they were having the meeting with their Blackberries, uh, transferring language back and forth between them and between their aides to multitask in a quite a new fashion, uh, to have the meeting and at the same time be working on the quartet statement.
[03:27:35.069 --> 03:27:38.772]  So time and time again, we're lied to and told you're safe, everything's fine.
[03:27:38.772 --> 03:27:40.233]  We're going to bring the troops home.
[03:27:40.233 --> 03:27:42.535]  We would never use an unclassified system.
[03:27:42.535 --> 03:27:43.696]  That would be terrible.
[03:27:43.696 --> 03:27:46.098]  That would be against everything we stand for.
[03:27:46.098 --> 03:27:48.039]  But over and over and over again, we're lied to.
[03:27:48.039 --> 03:27:55.485]  Just like I mentioned earlier, a million dollars in fines put out to everyone in DC for parking their car in two feet of snow, unable to move it.
[03:27:55.485 --> 03:27:59.068]  But hey, you're still illegally parked, so we're going to ticket you anyway.
[03:27:59.068 --> 03:28:00.109]  And the quotes in there say, well,
[03:28:00.689 --> 03:28:02.390]  My car had two feet of snow.
[03:28:02.390 --> 03:28:04.091]  We're unable to move it.
[03:28:04.091 --> 03:28:08.874]  We're unable to get on the roads because they're completely blocked off because of government advisories.
[03:28:08.874 --> 03:28:10.055]  But they say, it doesn't matter.
[03:28:10.055 --> 03:28:11.936]  We're going to take your money anyway.
[03:28:11.936 --> 03:28:26.664]  And by the way, Flint, Michigan, oh, that's a totally crazy, off-the-wall, outlandish example when in reality there's lead levels across the United States and other contaminants in the water we don't have to get into that are hitting the kids with no symptoms, reducing their IQ.
[03:28:27.745 --> 03:28:31.529]  So it's no surprise that we don't trust the United States government.
[03:28:31.529 --> 03:28:43.380]  Let's hit some news before Alex comes back again in this next segment coming up with Roger Stone to detail a lot more information on what's happening with Trump tonight, give you the full scoop as well as the debates.
[03:28:43.380 --> 03:28:53.028]  So the Zika virus is spreading explosively according to the World Health Organization and this is really a tragedy because this is essentially a virus that if you get it
[03:28:53.709 --> 03:28:55.331]  It's not that big of a deal.
[03:28:55.331 --> 03:28:57.312]  You have some flu-like symptoms.
[03:28:57.312 --> 03:29:01.616]  But of course, if you're pregnant, the cranium of the child is super, super small.
[03:29:01.616 --> 03:29:07.802]  And they have developmental disorders and birth defects that are pretty much really tragic.
[03:29:07.802 --> 03:29:11.666]  And it says it can expand to about a million and 1.4 million people.
[03:29:13.868 --> 03:29:16.611]  Here's a little bit of a relief article though.
[03:29:16.611 --> 03:29:19.535]  Some similar ones we've posted up at Infowars.com.
[03:29:19.535 --> 03:29:21.757]  Woman says she has a cat trapped in the wrong body.
[03:29:21.757 --> 03:29:25.301]  She hisses at dogs, hates water, and claims she can even see better at night.
[03:29:25.301 --> 03:29:25.642]  Who knows?
[03:29:25.642 --> 03:29:26.963]  Maybe she's true.
[03:29:26.963 --> 03:29:27.704]  Want to feel better?
[03:29:27.704 --> 03:29:30.888]  Move to Hawaii, Alaska, and your next insurance agent will be a robot.
[03:29:33.010 --> 03:29:35.111]  All right, Alex is coming back in this next segment.
[03:29:35.111 --> 03:29:36.091]  Hang on a couple minutes.
[03:29:36.091 --> 03:29:41.373]  And he's joined with Roger Stone to give the full details on the Trump event tonight, as well as the debate.
[03:29:41.373 --> 03:29:42.213]  We'll be right back.
[03:29:42.213 --> 03:29:43.053]  I'm Anthony Gucciardi.
[03:29:43.053 --> 03:29:47.555]  This is the fourth hour of the Alex Jones Show.
[03:29:47.555 --> 03:29:48.935]  We're on the march.
[03:29:48.935 --> 03:29:51.476]  The empire's on the run.
[03:29:51.476 --> 03:29:54.157]  Alex Jones and the GCN Radio Network.
[03:29:59.181 --> 03:30:09.194]  Join us this Thursday, January 28th as InfoWars.com and InfoWars Nightly News bring you another installment of Political Science Theater 3K.
[03:30:09.194 --> 03:30:15.463]  If you have freedom of speech, like any free market, you do not use the government to shut down portions of it.
[03:30:15.663 --> 03:30:23.510]  Join David Knight, Jakari Jackson, Leigh-Anne McAdoo, and the rest of the crew as we crash through the lies and propaganda in real time.
[03:30:23.510 --> 03:30:33.700]  When we see the 8-year-old boy scout who can't fly a plane because he has the same name as some suspected terrorist, when he turns 16, he's not going to be able to get a driver's license, he's not going to be able to get a job, he's not going to be able to get a college loan.
[03:30:33.800 --> 03:30:35.982]  Infowars.com, there's a war on for your mind!
[03:30:58.453 --> 03:31:00.494]  Make the choice for health and vitality.
[03:31:00.494 --> 03:31:05.595]  Get InfoWars Life Winter Sun, a revolutionary type of vitamin D3.
[03:31:05.595 --> 03:31:10.397]  Winter Sun is a premium quality vitamin D3 nutritional supplement.
[03:31:10.397 --> 03:31:15.979]  Although there are many vitamin D3 supplements on the market, most are vitamin D2, which is inferior to vitamin D3.
[03:31:15.979 --> 03:31:22.341]  This need prompted our research journey to create the most powerful vitamin D3 product on the market.
[03:31:22.341 --> 03:31:27.303]  The research and development took over two years, but the result, as verified by independent laboratories,
[03:31:27.543 --> 03:31:28.244]  We're good to go.
[03:31:58.264 --> 03:31:59.205]  Hey, how you doing, Al?
[03:31:59.205 --> 03:31:59.765]  Good, brother.
[03:31:59.765 --> 03:32:01.727]  Just recently started using your products.
[03:32:01.727 --> 03:32:03.449]  Everything you said about them is correct.
[03:32:03.449 --> 03:32:07.473]  Me and my wife both use a lot of them, and it's made a lot of changes in our lives here.
[03:32:07.473 --> 03:32:10.096]  Well, thank you, brother, because it also funds our operation.
[03:32:10.096 --> 03:32:12.518]  But doing that, I know I've got to have the highest quality.
[03:32:12.518 --> 03:32:20.386]  Super Mill Vitality was developed to activate your body's own natural processes instead of using synthetic chemicals.
[03:32:20.626 --> 03:32:23.930]  We did the super male and the super female vitality.
[03:32:23.930 --> 03:32:25.472]  Big changes, a lot of energy.
[03:32:25.472 --> 03:32:28.515]  We've gotten off to the cheap energy drinks, energy shots.
[03:32:28.515 --> 03:32:30.157]  Saving a ton of money there.
[03:32:30.157 --> 03:32:35.503]  Sourced from powerful organic herbs harvested around the planet and then concentrated
[03:32:35.503 --> 03:32:35.943]  We're good.
[03:33:05.908 --> 03:33:10.009]  Resistance to tyrants is obedience to God.
[03:33:10.009 --> 03:33:11.710]  It's Alex Jones.
[03:33:11.710 --> 03:33:22.373]  The poets tell how Poncho fell and left his living in a cheap hotel.
[03:33:22.373 --> 03:33:31.736]  The desert's quiet, Cleveland's cold, so the story ends we're told.
[03:33:31.736 --> 03:33:34.317]  Poncho needs your prayers, it's true,
[03:33:36.015 --> 03:33:38.496]  He only did what he had to do.
[03:33:57.103 --> 03:33:58.884]  Ladies and gentlemen, we are back live.
[03:33:58.884 --> 03:34:01.045]  Anthony Gucciardi is sitting in studio with me.
[03:34:01.045 --> 03:34:02.045]  He was just co-hosting.
[03:34:02.045 --> 03:34:09.309]  We are lining up the Skype connection with Mr. Roger Stone right now to break down the latest in just the Trump
[03:34:11.800 --> 03:34:11.940]  I think?
[03:34:31.932 --> 03:34:41.056]  Because now Trump can go announce something and end up having more TV cameras, more alternative media, more video feeds, more coverage than the stupid Fox debate.
[03:34:41.056 --> 03:34:46.178]  And I'm not attacking Fox, but Megyn Kelly does have it out for him.
[03:34:46.178 --> 03:34:49.639]  But the reason he's walking away clearly is they've got all these set-up artists there.
[03:34:49.639 --> 03:34:51.220]  Everybody's gonna gang up.
[03:34:51.220 --> 03:34:53.501]  They're gonna really try to bring him down.
[03:34:53.501 --> 03:34:55.602]  And why should he do that when he's bringing the audience?
[03:34:55.602 --> 03:35:01.184]  Why should he bring the rope for them to potentially go after themselves?
[03:35:02.248 --> 03:35:09.372]  And while we're getting Stone on, there was this promo that McGreen did, we've hardly aired it, it's so good, where he shows all the mainstream media attacking us.
[03:35:09.372 --> 03:35:10.273]  And what's that done?
[03:35:10.273 --> 03:35:11.474]  Made us bigger.
[03:35:11.474 --> 03:35:14.456]  But they still don't get they're discredited even though all the polls and numbers show it.
[03:35:14.456 --> 03:35:14.936]  Did we find that?
[03:35:18.240 --> 03:35:19.962]  Well, we can play it off YouTube.
[03:35:19.962 --> 03:35:22.084]  It's our Facebook featured video, actually.
[03:35:22.084 --> 03:35:24.666]  We can just go play it right off Facebook for everybody.
[03:35:24.666 --> 03:35:37.959]  It's up at Alexander Emmerich Jones on Facebook for folks that want to be able to see that because it just illustrates everything that we're facing and dealing with as a culture.
[03:35:37.959 --> 03:35:39.180]  Now, again, ladies and gentlemen,
[03:35:40.222 --> 03:35:46.545]  The fact that Infowars could become so successful in the face of the mainstream media is some of our research, our work, our hard work.
[03:35:46.545 --> 03:35:59.410]  But a lot of it has to do with just the fact that the system tries to be as nasty as it can to condition us and to prepare us that we will just accept evil.
[03:35:59.410 --> 03:36:02.591]  They're trying to turn the world upside down and that's not working.
[03:36:02.591 --> 03:36:04.011]  They want to break our will.
[03:36:04.011 --> 03:36:04.852]  So don't let them
[03:36:05.595 --> 03:36:06.576]  Break our will.
[03:36:06.576 --> 03:36:08.077]  By the way, we can't get him on Skype.
[03:36:08.077 --> 03:36:08.398]  It's cool.
[03:36:08.398 --> 03:36:09.319]  Let's just give him the phone, guys.
[03:36:09.319 --> 03:36:09.879]  Thanks.
[03:36:09.879 --> 03:36:12.462]  Let's just stop now and try that.
[03:36:12.462 --> 03:36:14.644]  Anthony Guicciardi, you've been hosting the last 30 minutes.
[03:36:14.644 --> 03:36:19.629]  I mean, just since you've been at InfoWars three years, watching the huge changes that have happened, and we're just a microcosm.
