[00:00:09.994 --> 00:00:11.735]  Really important for us to remember our history.
[03:10:28.303 --> 03:10:28.603]  Why?
[03:10:29.684 --> 03:10:42.208]  Because the police determined based on a final blog entry he made saying, I may not be around Tuesday when Trump wins Indiana, but I think he's going to come in just under 50%.
[03:10:42.248 --> 03:10:43.568]  In fact, he came in at 53%.
[03:10:43.608 --> 03:10:44.609]  The police figured out that was a
[03:10:49.690 --> 03:10:52.412]  Some sort of indication that he planned to commit suicide.
[03:10:52.873 --> 03:11:07.883]  Well, if being fearful of your life because you may be getting death threats, if that's any indication of suicide, then, you know, Martin Luther King made that prophetic speech too.
[03:11:08.543 --> 03:11:09.984]  I may not get there with you.
[03:11:10.084 --> 03:11:11.265]  I've been to the mountaintop.
[03:11:11.765 --> 03:11:14.887]  Well, you know, shortly after that, he was assassinated.
[03:11:15.428 --> 03:11:18.750]  So, you know, it's just basic, simple police work.
[03:11:19.270 --> 03:11:27.439]  That just because somebody says I might not be around much longer, you should also take into consideration that his life was being threatened.
[03:11:27.459 --> 03:11:35.547]  The other thing is, Gary was also advancing the Ted Cruz story with his dad in New Orleans and Oswald.
[03:11:36.068 --> 03:11:40.553]  And he was also an attorney who specialized in election law.
[03:11:41.093 --> 03:11:57.824]  He had been before the Indiana Electoral Commission on more than one occasion to argue about election irregularities, and the mere fact that he dies right before the Indiana primary, I think is very, very suspicious.
[03:11:58.629 --> 03:12:24.291]  Yeah, I would agree, and you know, other people you've talked to, Wayne, the DC Madam, she had the names and numbers of people who went to her sex service, and she comes on the Alex Jones Show, says she has some great information she wants to give Alex, but she didn't want to give it over the air, he didn't take it, and then a few days later she winds up, you know, hung in her mom's woodshed out in the back.
[03:12:24.671 --> 03:12:31.954]  Yeah, and I was in email communication with Gary Webb for a few months before they said he shot himself twice in the head.
[03:12:32.454 --> 03:12:41.198]  And ironically, we were both looking at a company called Affiliated Computer Systems, myself, because they had approved the visas for those
[03:12:41.778 --> 03:13:06.487]  Arab alleged hijackers on 9-11 and he was looking at him for some fraud in Sacramento but affiliated computer systems that is their vice president Stephen Goldsmith a former mayor aware Indianapolis Indiana I think it's very ironic that here again we have a suspicious suicide in Indianapolis let alone Indiana
[03:13:07.047 --> 03:13:18.671]  And I would also add that the news just broke that an attorney for WikiLeaks is said to have just jumped in front of a commuter train in England, and of course he was killed.
[03:13:19.631 --> 03:13:19.911]  Wow.
[03:13:20.612 --> 03:13:25.933]  He jumped or pushed, I mean, depending on... Oh, I'm sure he was... In cases like that, usually you're pushed.
[03:13:26.254 --> 03:13:27.054]  Yeah.
[03:13:28.274 --> 03:13:33.136]  Well, not to get graphic, but autopsies don't work real well after something like that.
[03:13:33.618 --> 03:13:38.062]  That's true, that is one way of covering up any evidence, and especially if you got knocked on the head or something.
[03:13:38.763 --> 03:13:46.330]  They found, I think, two young boys down in, where you guys were at, down in, near Mexico, in the Texas border.
[03:13:46.871 --> 03:13:54.238]  They were, it was a husband and wife that were found dead, and they saw, they think they saw a drug deal or something, and then they were placed on the tracks.
[03:13:54.618 --> 03:13:56.800]  So there's a lot of weird goings-on.
[03:13:57.581 --> 03:14:04.907]  And anytime you want to put out information that is against the globalist cabal, Barry Jennings, another fine example.
[03:14:04.967 --> 03:14:17.618]  Here's a guy who breaks the silence, talks about explosions that were happening in the ground level in the lobby of World Trade Center 7 before it collapsed, before the towers had even collapsed.
[03:14:18.058 --> 03:14:20.559]  There was people in there dead.
[03:14:20.579 --> 03:14:27.322]  He was walking over dead bodies and then shortly after that he gets fast-acting leukemia and meets his demise as well.
[03:14:27.402 --> 03:14:34.865]  So anytime people are bringing out information and you know it's hot if they end up dead shortly thereafter.
[03:14:35.509 --> 03:14:46.055]  Well, the first two stories I ever investigated were investigative journalist Danny Casolaro was on to old man Bush and Mina and all that stuff, Clinton too.
[03:14:46.495 --> 03:14:55.961]  He was on to Clinton and they said he slashed his wrists 12 times, each wrist, in the bathtub of a hotel in Martinsburg, West Virginia.
[03:14:56.241 --> 03:14:57.622]  They called that suicide.
[03:14:58.102 --> 03:15:00.664]  And also Vince Foster was the second one.
[03:15:01.224 --> 03:15:02.265]  Please don't say that.
[03:15:02.285 --> 03:15:04.047]  You're putting bad thoughts in my head.
[03:15:14.165 --> 03:15:15.286]  Well, she goes both ways.
[03:15:15.306 --> 03:15:22.771]  Although I think she goes only one way now in the last probably decade and a half.
[03:15:22.811 --> 03:15:26.293]  How big is the Clinton body count going to grow if she gets back into office?
[03:15:26.413 --> 03:15:35.659]  I mean, you know, it's come out that they've, I've got to find the article, that they've known about the Guccifer email hacks for years at NBC.
[03:15:35.899 --> 03:15:40.823]  Why did NBC sit on explosive news story about Clinton's alleged hacked email server for weeks?
[03:15:41.163 --> 03:15:42.404]  Well, that's to protect her.
[03:15:43.004 --> 03:15:44.646]  And they don't want that information out too early.
[03:15:45.366 --> 03:15:50.711]  Unless they're thinking of deep-sixing her at some point in the nomination process and bringing in somebody else.
[03:15:52.252 --> 03:15:59.319]  Because they don't want Bernie, so maybe they'd bring in Joe Biden at the end and he would ride in on a white horse and rescue the Democratic Party.
[03:15:59.975 --> 03:16:06.043]  Right, well NBC take, like all the networks take their orders from either the CIA or the Pentagon.
[03:16:06.183 --> 03:16:10.488]  That's part of the continuing Operation Mockingbird that never went away.
[03:16:10.909 --> 03:16:12.170]  Yeah, and Guccifer's now here.
[03:16:12.190 --> 03:16:13.932]  They've extradited him here to the United States.
[03:16:13.972 --> 03:16:15.554]  He was in a Romanian prison for a while.
[03:16:16.604 --> 03:16:18.826]  And now he's here, so who knows what he is saying.
[03:16:18.866 --> 03:16:20.368]  Hopefully he stays safe.
[03:16:20.668 --> 03:16:27.995]  Yeah, we hope so, but if he's, you know, being a guest of the Justice Department and Bureau of Prisons, anything is possible.
[03:16:28.275 --> 03:16:34.981]  Sure, yeah, after he spills his guts or sings and then they, you know, do whatever they do in prison.
[03:16:35.682 --> 03:16:36.963]  But let's hope that doesn't happen to him.
[03:16:37.003 --> 03:16:38.445]  Anything else, Wayne, before you go?
[03:16:39.880 --> 03:16:47.127]  Well, you know, I think this Cruz story is still generating a lot of interest.
[03:16:47.187 --> 03:16:54.553]  A lot of JFK assassination experts are weighing in on both sides, saying it's a nonsense story.
[03:16:55.013 --> 03:16:57.095]  I'm being attacked by a few of them.
[03:16:57.515 --> 03:17:03.580]  But I'm also hearing from those JFK researchers who say, yeah, we never could identify who that guy was.
[03:17:03.640 --> 03:17:07.704]  And it looks like it could be, in fact, Rafael Cruz.
[03:17:08.004 --> 03:17:11.587]  Do you think that's why he punched his wife and elbowed her as he was hugging his dad?
[03:17:12.227 --> 03:17:18.612]  Maybe it was just some sort of way he was, you know, he was so mad that he dropped out of the race and, you know, maybe dad asked him to drop out.
[03:17:18.732 --> 03:17:28.539]  Yeah, Carly Fiorina, you know, she fell off the stage and he didn't even try to help her and then he hits his wife Heidi with his elbow three times.
[03:17:28.599 --> 03:17:37.565]  So yeah, maybe he's reacting very negatively to being told to pick up your building blocks and your Tinker toy set and, you know, just go home.
[03:17:37.745 --> 03:17:40.246]  Yeah, we gotta protect Daddy and his CIA cover.
[03:17:40.466 --> 03:17:40.766]  Absolutely.
[03:17:40.786 --> 03:17:42.807]  And if that's what really happened, we don't know.
[03:17:43.207 --> 03:17:46.528]  But, if anyone's gonna get to the bottom of it, it'll be Wayne Madsen.
[03:17:47.148 --> 03:17:50.129]  So, thanks for working with us, Wayne, and we'll see you soon.
[03:17:50.149 --> 03:17:51.789]  You're gonna be joining us at the RNC.
[03:17:52.190 --> 03:17:52.710]  Oh, there it is.
[03:17:52.730 --> 03:17:52.770]  Ow.
[03:17:53.070 --> 03:17:54.290]  Well, it looks like it hurts.
[03:17:54.590 --> 03:18:02.053]  We just showed that on TV of Cruz elbowing his wife in the face after he succumbed to defeat from the mighty Trump.
[03:18:02.933 --> 03:18:04.073]  So thanks for joining us, Wayne.
[03:18:04.093 --> 03:18:04.834]  You bet.
[03:18:05.614 --> 03:18:13.396]  And you can read more about that Indiana voting fraud activist behind Rubio's sex party leaks found dead right there on Infowars.com.
[03:18:13.436 --> 03:18:15.416]  It's a Kit Daniels article from May 3rd.
[03:18:15.776 --> 03:18:19.037]  And then you could go back and walk the links back and read the other stories.
[03:18:19.057 --> 03:18:21.098]  Wayne Madsen put out a story about it as well.
[03:18:21.818 --> 03:18:34.584]  A while back, and that's the thing about InfoWars, we're breaking these stories and it takes a while for them to enter the mainstream media, but sometimes it takes a month, sometimes it takes a week, sometimes it takes two years, but eventually they do make it out there.
[03:18:35.265 --> 03:18:36.985]  So what's going on at the border right now?
[03:18:37.246 --> 03:18:40.527]  Well, it is Cinco de Mayo, so I guess it is appropriate to talk about the border.
[03:18:41.148 --> 03:18:46.310]  Here's from North Carolina News, NC man among some joining groups in U.S.
[03:18:46.350 --> 03:18:47.931]  to patrol border with Mexico.
[03:18:49.290 --> 03:18:54.737]  And talk about this 2,000 mile border spanning and people are coming from all over the world.
[03:18:54.757 --> 03:19:02.085]  This is a man named Doc who decided to take his vacation time and be part of the solution, I guess, watching the border.
[03:19:02.526 --> 03:19:04.628]  He says they come through and they cut the barbed wire.
[03:19:04.708 --> 03:19:08.974]  It literally takes seconds to get on our side of the border with packs and mules and things like that.
[03:19:09.534 --> 03:19:09.614]  It's
[03:19:29.693 --> 03:19:30.434]  Nothing's being done.
[03:19:30.474 --> 03:19:42.485]  We've seen, we've shot video of the gates just being left open right there at the border where they do have a fence and somewhat of a deterrent along El Paso but then that quickly dies off as soon as you move.
[03:19:42.505 --> 03:19:44.267]  So we're gonna have more news coming up.
[03:19:44.287 --> 03:19:49.933]  David Knight's gonna come in next and we're gonna talk about TTIP and why it looks like it's gonna fail.
[03:19:51.374 --> 03:19:53.196]  Especially the European countries are pissed off.
[03:19:53.236 --> 03:19:59.141]  They don't want it because now we get to see what's in the plan and now we go, wait a minute, that's why it's been negotiated in secret.
[03:19:59.341 --> 03:20:00.942]  This has been Rob Due with Inforest.com.
[03:20:00.962 --> 03:20:01.983]  You're watching the fourth hour.
[03:20:02.304 --> 03:20:04.686]  Inforest.com forward slash show for all the live feeds.
[03:20:15.350 --> 03:20:26.856]  I've been seeing all this opposition coming from Bernie and Hillary supporters and sitting there talking about, we're liberal, we're loving, we just want peace, yet they throw eggs at you and punch you in the mouth because they're peaceful and loving.
[03:20:27.156 --> 03:20:29.917]  I saw what went down in Southern California.
[03:20:31.078 --> 03:20:31.538]  It got to me.
[03:20:31.558 --> 03:20:34.680]  I had to come out here and actually talk about what's going on.
[03:20:34.700 --> 03:20:35.900]  These people don't want to talk to you.
[03:20:36.140 --> 03:20:36.861]  That's the problem.
[03:20:36.921 --> 03:20:40.543]  They sit there and say they don't have double standards and that they're not hypocritical.
[03:20:40.843 --> 03:20:43.224]  They'll come up to you and just yell and scream.
[03:20:43.544 --> 03:20:45.606]  Nazis, racists, can't get good!
[03:20:47.767 --> 03:20:50.810]  Nazis, racists, can't get good!
[03:20:51.010 --> 03:21:04.380]  Alright, they just said they were going to be arrested.
[03:21:05.180 --> 03:21:06.522]  Got people being triggered.
[03:21:15.173 --> 03:21:17.636]  This represents slavery!
[03:21:17.916 --> 03:21:18.917]  Colonialism!
[03:21:19.257 --> 03:21:20.178]  Genocide!
[03:21:20.358 --> 03:21:20.899]  Oppression!
[03:21:20.959 --> 03:21:24.842]  And it's alright to burn that s**t!
[03:21:24.902 --> 03:21:26.624]  Burn baby burn!
[03:21:26.724 --> 03:21:28.025]  Burn baby burn!
[03:21:28.105 --> 03:21:29.987]  Burn that colonialism!
[03:21:49.619 --> 03:21:52.923]  Alright, they're throwing eggs and they're pushing the protesters back at this time.
[03:21:52.943 --> 03:22:09.480]  It's like a feeding frenzy here.
[03:22:18.823 --> 03:22:19.643]  You're a disgrace!
[03:22:19.683 --> 03:22:20.083]  You're a disgrace!
[03:22:20.103 --> 03:22:20.464]  You're a disgrace!
[03:22:20.484 --> 03:22:21.164]  You're a disgrace!
[03:22:21.224 --> 03:22:22.144]  You're a disgrace!
[03:22:22.184 --> 03:22:22.704]  You're a disgrace!
[03:22:22.724 --> 03:22:24.065]  You're a disgrace!
[03:22:24.085 --> 03:22:24.465]  You're a disgrace!
[03:22:24.505 --> 03:22:29.106]  You're a disgrace!
[03:22:29.386 --> 03:22:29.926]  You're a disgrace!
[03:22:29.966 --> 03:22:30.367]  You're a disgrace!
[03:22:30.387 --> 03:22:30.907]  You're a disgrace!
[03:22:30.927 --> 03:22:31.327]  You're a disgrace!
[03:22:31.347 --> 03:22:31.767]  You're a disgrace!
[03:22:31.787 --> 03:22:32.267]  You're a disgrace!
[03:22:32.307 --> 03:22:32.747]  You're a disgrace!
[03:22:32.787 --> 03:22:33.328]  You're a disgrace!
[03:22:33.368 --> 03:22:33.728]  You're a disgrace!
[03:22:33.748 --> 03:22:34.108]  You're a disgrace!
[03:22:34.128 --> 03:22:34.488]  You're a disgrace!
[03:22:34.508 --> 03:22:34.988]  You're a disgrace!
[03:22:35.008 --> 03:22:35.528]  You're a disgrace!
[03:22:35.548 --> 03:22:35.948]  You're a disgrace!
[03:22:35.968 --> 03:22:36.448]  You're a disgrace!
[03:22:36.468 --> 03:22:36.889]  You're a disgrace!
[03:22:36.909 --> 03:22:37.309]  You're a disgrace!
[03:22:37.349 --> 03:22:37.969]  You're a disgrace!
[03:22:37.989 --> 03:22:38.709]  You're a disgrace!
[03:22:38.749 --> 03:22:39.289]  You're a disgrace!
[03:22:39.309 --> 03:22:39.689]  You're a disgrace!
[03:22:39.729 --> 03:22:40.390]  You're a disgrace!
[03:22:40.410 --> 03:22:40.930]  You're a disgrace!
[03:22:40.990 --> 03:22:41.550]  You're a disgrace!
[03:22:41.850 --> 03:22:42.270]  You're a disgrace!
[03:22:42.310 --> 03:22:42.670]  You're a disgrace!
[03:22:42.690 --> 03:22:43.151]  You're a disgrace!
[03:22:43.171 --> 03:22:43.691]  You're a disgrace!
[03:22:43.711 --> 03:22:44.211]  You're a disgrace!
[03:22:44.231 --> 03:22:44.571]  You're a disgrace!
[03:22:44.591 --> 03:22:45.151]  You're a disgrace!
[03:22:45.171 --> 03:22:45.651]  You're a disgrace!
[03:22:45.671 --> 03:22:46.151]  You're a disgrace!
[03:22:46.191 --> 03:22:46.612]  You're a disgrace!
[03:22:46.632 --> 03:22:47.112]  You're a disgrace!
[03:22:47.152 --> 03:22:47.532]  You're a disgrace
[03:22:55.848 --> 03:22:57.413]  This is the heart of 1776!
[03:23:10.811 --> 03:23:24.983]  My fellow InfoWarriors, I am very excited to be able to announce to you the introduction at InfoWarsLife.com of a new way to save time and money when you stock up on InfoWarsLife formulations like Survival Shield X2 and Super Metal Vitality.
[03:23:25.204 --> 03:23:34.692]  Just go to InfoWarsLife.com today, select your favorite product, click on auto ship before adding to cart, and choose how often you want us to send you another word.
[03:23:34.992 --> 03:23:43.758]  Every time you choose AutoShip at InfoWarsLife.com, you get 10% off and you won't have to worry about running out and having to reorder next time.
[03:23:44.018 --> 03:23:46.440]  And of course, you can cancel with one click anytime.
[03:23:46.820 --> 03:23:50.322]  As you know, I'm all about the idea of a 360 win.
[03:23:50.522 --> 03:23:54.645]  And the new AutoShip feature at InfoWarsLife.com is a sure win for everybody.
[03:23:54.905 --> 03:23:58.608]  A win for liberty, a win for health, and a win when it comes to big savings.
[03:23:58.928 --> 03:24:04.872]  Visit InfoWarsLife.com today and save 10% on your next InfoWarsLife order by selecting AutoShip at checkout.
[03:24:05.152 --> 03:24:07.194]  That's InfoWarsLive.com or call 888-253-3139
[03:24:27.102 --> 03:24:29.125]  Welcome back to the 4th Hour, I'm your host Rob New.
[03:24:29.325 --> 03:24:37.816]  Sitting next to me is David Knight, and he's got some news on TTIP and also some Hillary news, and I just want to cover this real quick.
[03:24:38.737 --> 03:24:44.705]  Going back to this NBC story, why'd it sit on an explosive story about Clinton's alleged hacked email server for weeks?
[03:24:45.606 --> 03:24:53.889]  So they have a transcript here with Cynthia McFadden talking to Guccifer, and she's talking about Hillary's server being absolutely safe, and he starts laughing.
[03:24:53.909 --> 03:24:55.249]  He says, that's a lie, that's a lie.
[03:24:55.269 --> 03:24:59.550]  This is a guy who's not a computer programmer.
[03:24:59.790 --> 03:25:01.031]  Exactly, right.
[03:25:01.571 --> 03:25:11.874]  Lazar is openly admitting to hacking her private email account, the same private email account where federal officials found over 2,000 emails that contained classified information, and at least 22 deemed top secret.
[03:25:12.294 --> 03:25:12.955]  Oh, you know, 22.
[03:25:13.155 --> 03:25:13.955]  That's not too bad, huh?
[03:25:14.255 --> 03:25:15.936]  If it's a lie, Rob, why is he in prison?
[03:25:16.256 --> 03:25:16.736]  Exactly.
[03:25:17.456 --> 03:25:19.517]  You know, the Clinton campaign noted that.
[03:25:19.597 --> 03:25:24.218]  They said there's absolutely no basis to believe the claims made by this criminal from his prison cell.
[03:25:24.518 --> 03:25:25.518]  Free Guccifer.
[03:25:25.758 --> 03:25:26.959]  That needs to be the new t-shirt.
[03:25:27.039 --> 03:25:32.140]  That's where she's going to be soon, if the FBI actually gets to do a real investigation.
[03:25:33.361 --> 03:25:36.362]  But you didn't even come in here to talk about that, although that's kind of hot in the news.
[03:25:36.982 --> 03:25:38.682]  TTIP is in the news as well.
[03:25:38.702 --> 03:25:41.383]  I guess France has said they don't want to go along with it.
[03:25:41.423 --> 03:25:43.964]  They're pissed off because people are finally getting to read the plan.
[03:25:44.124 --> 03:25:44.464]  That's right.
[03:25:45.265 --> 03:25:51.988]  And to get everybody up to speed, if you haven't heard this, of course, there's two big treaties that have been negotiated in secret by multinational corporations.
[03:25:52.008 --> 03:25:53.549]  Our lawmakers are not allowed to see them.
[03:25:53.589 --> 03:26:04.876]  Eventually, when they were, nobody cared, except for Jeff Sessions, who has been the only senator to read this, to talk about it, and of course, the only person he's ever endorsed is Donald Trump.
[03:26:05.916 --> 03:26:09.619]  As we're looking at this now, this was leaked by Greenpeace Netherlands.
[03:26:09.719 --> 03:26:15.544]  They published this on Tuesday and it has really set the people in Europe on fire about this.
[03:26:15.584 --> 03:26:22.810]  They say that besides the secrecy on it, they say it's going to affect human health, labor rights, internet privacy rights, a very social fabric of Europe itself.
[03:26:22.871 --> 03:26:24.892]  Of course, it's a massive deal.
[03:26:25.172 --> 03:26:26.854]  This is about sovereignty, it's about
[03:26:26.994 --> 03:26:27.454]  I think so.
[03:26:45.729 --> 03:26:49.451]  And of course in France, the socialist there, Hollande, says absolutely not.
[03:26:49.851 --> 03:26:55.834]  It questions the essential principles for our agriculture, our culture, our reciprocity of access to public markets.
[03:26:55.874 --> 03:26:57.075]  He says it's unacceptable.
[03:26:57.435 --> 03:27:02.918]  And he says it would make no sense to have this climate deal in December because this is going to unravel some of it.
[03:27:03.158 --> 03:27:05.259]  And Hillary Clinton is saying the same things too.
[03:27:05.339 --> 03:27:07.940]  So now they're saying, oh, we can't do this because of the climate deal.
[03:27:09.181 --> 03:27:17.096]  ...points up the fact that there are two ways for them to do global consolidation, destruction of our economy, and setting up their own crony capitalist...
[03:27:18.374 --> 03:27:23.657]  Is one of the conditions to allow Monsanto to grow GM crops in Europe, or is that off the table?
[03:27:24.237 --> 03:27:32.801]  I don't know that specificity of it, but that has been part of it, is that the Americans have been pushing to make sure that there's no regulations that are going to stop GMO production.
[03:27:33.161 --> 03:27:35.322]  So I imagine that is in the very last thing.
[03:27:35.342 --> 03:27:38.304]  When we look at what's happening in America, I think it's also interesting.
[03:27:38.344 --> 03:27:41.826]  Hillary Clinton's been campaigning in West Virginia because they're going to have a primary on Tuesday.
[03:27:42.126 --> 03:27:43.927]  It looks like Bernie Sanders is going to
[03:27:44.847 --> 03:27:45.167]  Really?
[03:28:00.862 --> 03:28:04.706]  Yeah, he actually came out and said, we're gonna go bankrupt.
[03:28:04.726 --> 03:28:11.412]  But he went after the power plants, but of course he's also going after the coal mines because if nobody's gonna burn it in the power plants, it's gonna shut them down.
[03:28:11.672 --> 03:28:15.276]  There have been, there were 300 coal mines in West Virginia five years ago.
[03:28:15.836 --> 03:28:16.777]  Today there's less than 70.
[03:28:16.817 --> 03:28:17.998]  That's 80% of them gone in five years.
[03:28:20.120 --> 03:28:20.501]  That's right.
[03:28:37.062 --> 03:28:37.542]  That's right.
[03:28:37.903 --> 03:28:43.266]  To jack that up and also come in, they're going to offer them some green plans.
[03:28:43.306 --> 03:28:47.128]  We've seen how Solyndra works and all these crony capitalists.
[03:28:47.229 --> 03:28:51.711]  This is a massive transfer of power and wealth to their friends, okay?
[03:28:52.292 --> 03:28:53.453]  Who don't really succeed.
[03:28:53.653 --> 03:28:54.013]  That's right.
[03:28:54.033 --> 03:28:56.675]  Even when they get these handouts, they still can't succeed.
[03:28:56.955 --> 03:29:02.739]  And we've had a gut-wrenching piece that came out this week in exchange with a guy who was a coal miner.
[03:29:02.759 --> 03:29:04.059]  I want to play you a little clip of this.
[03:29:04.099 --> 03:29:04.880]  Let's roll that clip.
[03:29:10.295 --> 03:29:14.218]  We're gonna put a lot of coal miners and coal companies out of business.
[03:29:14.498 --> 03:29:18.021]  When you make comments like, we're gonna put a lot of coal miners out of jobs.
[03:29:18.042 --> 03:29:22.285]  These are the kind of people that you're affecting.
[03:29:22.325 --> 03:29:26.389]  This is my family.
[03:29:26.429 --> 03:29:28.350]  My hope is in God, that's my future.
[03:29:31.129 --> 03:29:35.112]  I want my family to know that they have a future here in this state.
[03:29:35.292 --> 03:29:41.157]  She said, and she did not make it a secret, that she is going to continue with the policies of the past seven and a half years and expand upon them.
[03:29:41.177 --> 03:29:42.458]  There's no other way to perceive that.
[03:29:43.138 --> 03:29:45.380]  Pure and simple, we are tuned.
[03:29:45.880 --> 03:29:47.922]  It's an attack on a way of life, exactly.
[03:29:48.682 --> 03:29:49.323]  And we'll be back.
[03:29:49.343 --> 03:29:51.345]  We're going to let David Knight finish up after this.
[03:29:51.785 --> 03:29:54.968]  It really tells you what kind of creature she is.
[03:29:55.268 --> 03:29:58.811]  She wants to live in her little castle and have everybody else underneath her, underlings.
[03:29:58.831 --> 03:29:59.292]  So we'll be right back.
[03:29:59.332 --> 03:30:00.093]  We're on the march.
[03:30:00.593 --> 03:30:02.194]  The Empire's on the run.
[03:30:03.135 --> 03:30:05.798]  Alex Jones and the GCN Radio Network.
[03:30:11.730 --> 03:30:15.132]  Thousands of years ago, there was a basic form of chivalry.
[03:30:15.493 --> 03:30:22.618]  Our ancestors would hear the drums of war, giving the warriors of the tribe a chance to organize and prepare a defense.
[03:30:23.238 --> 03:30:31.644]  Sixty years ago, when foreign air forces were approaching filled with bombs, they had drums of their own, air raid sirens.
[03:30:31.844 --> 03:30:35.947]  But in the 21st century, there are silent weapons for quiet war.
[03:30:36.267 --> 03:30:38.469]  Pathenogens added to the food and water,
[03:30:38.749 --> 03:30:45.674]  To the lining of plastics that destroy our vitality, turn off our hormones, and accelerate our journey towards death.
[03:30:46.094 --> 03:30:49.196]  I personally counter this onslaught with AnthroPlex.
[03:30:49.516 --> 03:31:00.583]  AnthroPlex is designed with known, organic, concentrated herbs to create the basic foundation to normal metabolic activity inside the human body.
[03:31:00.643 --> 03:31:03.325]  Discover why AnthroPlex is turning so many heads today.
[03:31:03.565 --> 03:31:06.467]  It's time for us to take our bodies back into our own hands
[03:31:06.627 --> 03:31:09.589]  And it starts at Infowarslife.com with Anthroplex.
[03:31:10.050 --> 03:31:11.431]  Clean, pure drinking water.
[03:31:11.711 --> 03:31:12.992]  You can't survive without it.
[03:31:13.192 --> 03:31:14.093]  But where do you get it?
[03:31:14.413 --> 03:31:20.158]  Alexa Pure Pro is a brand new, groundbreaking, gravity-fed water filtration system that is like no other.
[03:31:20.378 --> 03:31:26.103]  The Alexa Pure Pro transforms water from virtually any fresh source into clean, healthy drinking water.
[03:31:26.283 --> 03:31:43.167]  Pairing the unprecedented superfiltration power of an all-new Gravity Block Core with a hybrid chromatic shell, it removes up to 99.999% of impurities, including bacteria, viruses, fluoride, disinfectants, volatile organic contaminants, and hormones.
[03:31:43.547 --> 03:31:45.669]  Filter capacity up to 5,000 gallons.
[03:31:46.029 --> 03:31:47.230]  Stainless steel construction.
[03:31:47.511 --> 03:31:48.271]  Easy assembly.
[03:31:48.552 --> 03:31:49.172]  Low maintenance.
[03:31:49.452 --> 03:31:51.274]  Replacement filters are simple to install.
[03:31:51.554 --> 03:31:58.660]  And now, as part of an exclusive limited-time introductory offer, you can save $20 off the retail price and get free shipping.
[03:31:58.841 --> 03:32:03.845]  This is a limited-time offer, so order your unit today and receive free shipping and $20 off.
[03:32:04.025 --> 03:32:06.607]  Go to InfowarsStore.com or call 888-253-3139.
[03:32:09.710 --> 03:32:20.000]  It was Thomas Jefferson who once said that our country is now taking so steady a course as to show by what road it will pass to destruction to wit, by consolidation of power first and then corruption its necessary consequence.
[03:32:20.160 --> 03:32:27.406]  Jefferson was warning us about the global elite, the 1% of the 1%, consolidating the world's wealth and subverting the people's voice in government.
[03:32:27.547 --> 03:32:29.368]  Unfortunately, we didn't heed his advice.
[03:32:29.508 --> 03:32:35.574]  We now live in a neo-feudalistic society in which we're treated as indentured servants who only exist to serve the needs of the establishment.
[03:32:35.754 --> 03:32:43.119]  Political office no longer represents the voice of the people, but rather the initiation process politicians go through to gain acceptance into the aristocracy.
[03:32:43.259 --> 03:32:50.904]  Simply put, we the people are responsible for civilization and culture, yet we're suppressed by a tiny elite who have organized into criminal gangs that operate governments around the world.
[03:32:51.084 --> 03:32:59.230]  We falsely believe that everything is simply black and white, one extreme against the other, conservative versus liberal, but things will change once more of us realize this truth.
[03:32:59.370 --> 03:33:00.931]  As Thomas Jefferson also said,
[03:33:05.694 --> 03:33:07.195]  This is Kit Daniels with InfoWars.com.
[03:33:34.654 --> 03:33:38.376]  We take pride in our faith in God.
[03:33:38.776 --> 03:33:41.597]  We take pride in our family.
[03:33:41.797 --> 03:33:44.318]  We take pride in our jobs.
[03:33:44.478 --> 03:33:49.180]  We take pride in the fact that we're hard workers.
[03:33:49.200 --> 03:34:01.205]  When you really look at her record and what she's laid out in this campaign, she's the one that's really with coal miners and trying to help them not only get the benefits that they've earned, but the respect that they deserve.
[03:34:01.245 --> 03:34:01.805]  Where were they?
[03:34:02.005 --> 03:34:02.165]  And now...
[03:34:23.973 --> 03:34:29.614]  That witch Hillary Clinton is trying to walk that back, saying, oh no, I love coal miners, I want to give you guys some benefits.
[03:34:29.794 --> 03:34:30.314]  Yeah, yeah.
[03:34:30.374 --> 03:34:31.554]  And that's the amazing thing, Rob.
[03:34:31.594 --> 03:34:37.955]  She goes to West Virginia to campaign, and she brags about how we're going to put a lot of coal miners and coal companies out of business.
[03:34:38.456 --> 03:34:44.057]  And so there was this guy who asked her that very touch, it was a very touching exchange going back, and it really got to her.
[03:34:44.077 --> 03:34:45.317]  She didn't know how to respond to that.
[03:34:45.717 --> 03:34:52.198]  This is a guy who's 39 years old, he's worked in mines for 11 years, he's got three children, and he was laid off
[03:34:53.158 --> 03:34:55.479]  By a company that declared bankruptcy earlier this year.
[03:34:55.499 --> 03:34:59.341]  He says, I can't explain to my children why I can't support them.
[03:34:59.381 --> 03:35:01.402]  And that's what you hear in that story from Loretta Lynch.
[03:35:01.422 --> 03:35:04.883]  She said, we were poor, but our family, our daddy worked hard, he supported us.
[03:35:06.204 --> 03:35:08.605]  And here's the bottom line to it.
[03:35:08.645 --> 03:35:11.446]  You may think this doesn't affect you, living in a big city somewhere.
[03:35:11.466 --> 03:35:15.127]  Well, it's going to raise your power prices, and it's going to raise everybody's power prices.
[03:35:15.267 --> 03:35:20.089]  And what you get when you're paying more money for power, basic power, when it was cheap.
[03:35:20.169 --> 03:35:21.030]  It used to be pretty cheap.
[03:35:21.974 --> 03:35:23.235]  You're not going to have as much innovation.
