[00:00:00.089 --> 00:00:01.450]  We fight the Globals!
[02:11:31.173 --> 02:11:40.116]  But again, it's just an insight into the complete intolerance, hatred and bigotry of Hillary Clinton supporters.
[02:11:40.796 --> 02:11:42.437]  In fact, you've seen it all over Twitter.
[02:11:42.597 --> 02:11:44.057]  I mentioned the hashtags before.
[02:11:44.718 --> 02:11:45.838]  I'm still with her.
[02:11:47.094 --> 02:11:48.676]  And hashtag not my president.
[02:11:49.156 --> 02:11:59.227]  So you've got all these Hillary Clinton supporting bedwetting morons all over Twitter whining and crying about how hate has won.
[02:11:59.968 --> 02:12:03.792]  Oh, misogyny has won, hate has won, homophobia has won.
[02:12:04.833 --> 02:12:16.918]  Even though, you know, Hillary Clinton, 20% of her campaign was funded by countries that literally execute gay people, but homophobia is one because Donald Trump was successful in the presidential election, okay?
[02:12:17.859 --> 02:12:20.940]  So they're all over Twitter whining about hate, hate is one, hate is one.
[02:12:21.380 --> 02:12:23.141]  You're the hateful ones, okay?
[02:12:23.441 --> 02:12:26.843]  You're the ones out there rioting on the streets, burning American flags.
[02:12:27.443 --> 02:12:30.364]  You're the ones out there threatening to kill Trump supporters.
[02:12:31.024 --> 02:12:35.486]  Threatening to kill people with whom you disagree politically is hateful.
[02:12:35.846 --> 02:12:37.267]  You're the hateful ones.
[02:12:38.127 --> 02:12:46.630]  So don't whine all day about hate and bigotry when you're the ultimate example of that and have been this entire election cycle.
[02:12:48.971 --> 02:12:52.613]  Again, their narrative has completely failed, you know.
[02:12:53.717 --> 02:13:02.260]  This is what I tweeted earlier, with a link to the Everyone I Don't Like is Hitler handbook, The Child's Guide to Emotional Discussion.
[02:13:02.840 --> 02:13:05.441]  You know, please keep using this term racist.
[02:13:05.861 --> 02:13:09.182]  Please keep bitching about us being effing white males.
[02:13:09.823 --> 02:13:14.985]  Please keep bitching about misogyny, rape culture, and the patriarchy.
[02:13:15.225 --> 02:13:18.926]  Because it's really proven to be a winning strategy for you, hasn't it?
[02:13:20.459 --> 02:13:21.741]  Over and over again, we saw it.
[02:13:22.261 --> 02:13:22.922]  With Brexit.
[02:13:23.082 --> 02:13:24.424]  The exact same thing.
[02:13:24.684 --> 02:13:25.905]  For weeks beforehand.
[02:13:26.406 --> 02:13:29.669]  Anyone who votes for Brexit is just a racist, how dare you!
[02:13:30.663 --> 02:13:32.404]  Let's socially ostracise you.
[02:13:32.424 --> 02:13:37.366]  I literally know people that were almost disowned by their parents for voting Brexit.
[02:13:37.946 --> 02:13:39.166]  They had to hide the fact.
[02:13:39.506 --> 02:13:43.348]  Again, because Liberals are completely intolerant of other people's opinions.
[02:13:43.808 --> 02:13:50.190]  They're all about diversity, apart from when it comes to diversity of opinion, and in fact now the polls prove that.
[02:13:50.851 --> 02:13:59.054]  Pew came out of the poll a few days ago which documented the fact that Trump supporters were more tolerant of Hillary supporters than vice versa.
[02:13:59.154 --> 02:13:59.354]  Again,
[02:14:00.034 --> 02:14:05.715]  Because conservatives are more tolerant generally of other people's opinions, even if they disagree with them.
[02:14:06.695 --> 02:14:12.916]  And yet we have this entire media narrative about how all Trump supporters are bigoted and racist.
[02:14:13.036 --> 02:14:26.439]  And in fact on that very point we have a clip from Van Jones from CNN last night who's basically trying to make the case that Donald Trump won because America hates Obama and America is racist.
[02:14:26.479 --> 02:14:27.339]  Let's go to that clip.
[02:14:32.155 --> 02:14:34.156]  It's hard to be a parent tonight for a lot of us.
[02:14:35.037 --> 02:14:37.318]  You tell your kids, don't be a bully.
[02:14:38.639 --> 02:14:40.700]  You tell your kids, don't be a bigot.
[02:14:41.721 --> 02:14:44.702]  You tell your kids, do your homework and be prepared.
[02:14:45.643 --> 02:14:49.045]  And then you have this outcome and you have people putting children to bed tonight.
[02:14:50.245 --> 02:14:51.726]  And they're afraid of breakfast.
[02:14:52.727 --> 02:14:55.268]  They're afraid of how do I explain this to my children?
[02:14:55.528 --> 02:15:00.271]  I have Muslim friends who are texting me tonight saying, should I leave the country?
[02:15:01.309 --> 02:15:05.495]  I have families of immigrants that are terrified tonight.
[02:15:06.917 --> 02:15:08.179]  This was many things.
[02:15:10.122 --> 02:15:12.224]  This was a rebellion against the elites.
[02:15:13.601 --> 02:15:13.921]  It's true.
[02:15:14.141 --> 02:15:18.105]  It was a complete reinvention of politics and polls.
[02:15:18.145 --> 02:15:18.525]  It's true.
[02:15:18.805 --> 02:15:20.066]  But it was also something else.
[02:15:20.086 --> 02:15:21.107]  We've talked about race.
[02:15:21.127 --> 02:15:23.109]  I mean, we've talked about everything but race tonight.
[02:15:23.129 --> 02:15:23.969]  We've talked about income.
[02:15:23.989 --> 02:15:24.690]  We've talked about class.
[02:15:24.710 --> 02:15:25.391]  We've talked about region.
[02:15:25.591 --> 02:15:26.612]  We haven't talked about race.
[02:15:26.932 --> 02:15:28.213]  This was a whitelash.
[02:15:28.993 --> 02:15:32.376]  This was a whitelash against a changing country.
[02:15:33.077 --> 02:15:36.199]  It was a whitelash against a black president, in part.
[02:15:36.940 --> 02:15:39.282]  And that's the part where the pain comes.
[02:15:40.953 --> 02:15:52.358]  So there was Van Jones on CNN last night saying that the election of Donald J. Trump was a whitelash, basically a racist backlash, against Barack Obama.
[02:15:53.238 --> 02:15:58.661]  Okay, the one problem with that is that many of the people who voted for Trump this time around
[02:15:59.724 --> 02:16:01.346]  Voted for Obama in 2012.
[02:16:03.088 --> 02:16:07.533]  Okay, so they're racist white rednecks who hate Obama because he's black.
[02:16:08.054 --> 02:16:09.416]  Yet they voted for him.
[02:16:09.876 --> 02:16:12.619]  That's essentially the essence of Van Jones' argument.
[02:16:13.493 --> 02:16:15.454]  And I can go into more detail on that.
[02:16:15.474 --> 02:16:16.774]  This is from the New York Times.
[02:16:17.354 --> 02:16:25.536]  The Wyoming River Valley of Pennsylvania, to take one example, which includes Scranton and Wickles Bar, voted for Mr. Trump.
[02:16:26.297 --> 02:16:31.398]  It had voted for Obama last time around by double digits.
[02:16:32.778 --> 02:16:39.600]  Okay, so they voted for Obama in double digits, but they're racist and they hate Obama because he's black and that's why they voted Trump, okay?
[02:16:40.401 --> 02:16:41.201]  Doesn't make sense.
[02:16:42.213 --> 02:16:48.357]  Here's another example, Youngstown, Ohio, where Mr. Obama won by more than 20 points in 2012.
[02:16:49.738 --> 02:16:51.459]  It was basically a draw.
[02:16:52.380 --> 02:17:02.926]  So again, many of those people voting for Trump, those racist white rednecks, as Van Jones would have it, voted for Obama in 2012 because they hate Obama because he's black.
[02:17:03.827 --> 02:17:04.888]  Again, doesn't make sense.
[02:17:05.288 --> 02:17:06.189]  Here's another example.
[02:17:07.216 --> 02:17:12.441]  Mr. Trump swept the string of traditionally democratic and old industrial towns along Lake Erie.
[02:17:12.942 --> 02:17:20.450]  Counties that supported Mr. Obama in 2012, this time around voted for Mr. Trump by 20 points.
[02:17:20.870 --> 02:17:22.351]  Yet another example.
[02:17:23.373 --> 02:17:26.856]  The rural countryside of the North swung overwhelmingly to Mr. Trump.
[02:17:27.796 --> 02:17:35.182]  Most obvious was Iowa, where Mr. Obama won easily in 2012, but Mr. Trump prevailed easily.
[02:17:35.983 --> 02:17:37.744]  So again, Obama won it handily in 2012.
[02:17:39.864 --> 02:17:45.087]  Having been voted for by a bunch of white racist rednecks who hate him because he's black.
[02:17:45.727 --> 02:17:47.128]  That's Van Jones' argument.
[02:17:47.628 --> 02:17:55.792]  If they're merely voting on the basis of being racist, then why did they all vote for Obama back in 2012?
[02:17:56.672 --> 02:17:58.633]  Kinda hard to explain that, isn't it?
[02:17:59.094 --> 02:18:01.755]  But again, it goes to the core of what we've seen all along.
[02:18:02.355 --> 02:18:03.636]  Which again, is this narrative.
[02:18:04.793 --> 02:18:09.056]  That Trump supporters are just racist bigots and that's the only reason they're voting for him.
[02:18:09.616 --> 02:18:23.425]  You know, it turns out that one of the very few people on the left that got it completely right, and of course he dismissed 50% of Trump supporters as racist bigots, but at least he got it right in one sense, and this was Michael Moore.
[02:18:24.266 --> 02:18:29.870]  Because he had the smarts, he was the one leftist who had the smarts to stop and think for a second.
[02:18:31.291 --> 02:18:37.923]  But maybe, just maybe, not all people who voted for Trump did so because they're racists or bigots.
[02:18:38.703 --> 02:19:06.558]  Remember, he got on Bill Maher, he got on Jake Tapper's show on CNN, and said, look, the people I speak to in Wisconsin and Michigan are voting for Trump because they lost their livelihoods, their jobs were destroyed by globalism, by NAFTA, by all these free trade deals, by the TPP, which is coming down the pipe, which Hillary Clinton claimed she opposed after it became unpopular, even though she said it was the gold standard before that.
[02:19:07.378 --> 02:19:12.822]  That's why those people in Wisconsin and Michigan voted for Donald Trump.
[02:19:13.483 --> 02:19:14.803]  Wisconsin went for Trump.
[02:19:15.584 --> 02:19:18.906]  Michigan, they still haven't counted the full ballot yet.
[02:19:19.667 --> 02:19:24.751]  It was significantly in favour of Trump as of late last night or early this morning.
[02:19:25.251 --> 02:19:28.453]  There's some shenanigans going on with that, but it's still leaning Trump.
[02:19:29.134 --> 02:19:31.676]  They haven't announced the final result, but again,
[02:19:33.004 --> 02:19:45.331]  Michael Moore was the only leftist that had the smarts to stop and think for a second that maybe, just maybe, people voted for Donald Trump in these areas based on real issues.
[02:19:45.891 --> 02:19:48.313]  And that was what came out of the exit polls, if anything.
[02:19:49.133 --> 02:19:53.896]  Many, many people across these states' primary concern was the economy.
[02:19:54.316 --> 02:19:55.717]  That's what they voted on.
[02:19:56.117 --> 02:20:01.040]  They didn't vote on the basis of hating Obama because of his skin color.
[02:20:02.213 --> 02:20:06.494]  They had voted for Obama in 2008 and 2012!
[02:20:08.275 --> 02:20:12.056]  So again, Van Jones' argument completely debunked.
[02:20:12.796 --> 02:20:17.317]  You also had the fact that 31% of eligible voters were non-white.
[02:20:18.258 --> 02:20:21.499]  So again, it wasn't a racist takeover of America.
[02:20:21.599 --> 02:20:29.401]  It's because you had an inherently corrupt, unlikable witch in Hillary Clinton and the entire campaign that surrounded her.
[02:20:30.916 --> 02:20:32.878]  And she was promising more of the same.
[02:20:32.958 --> 02:20:42.249]  People in Wisconsin, people in Michigan, people in these other states were sick to the back teeth of having their livelihoods destroyed by globalism.
[02:20:43.331 --> 02:20:45.213]  And they made their voices heard.
[02:20:45.914 --> 02:20:46.955]  They're not racists.
[02:20:47.436 --> 02:20:48.637]  They're American people.
[02:20:48.697 --> 02:20:49.598]  They care deeply.
[02:20:50.439 --> 02:20:52.699]  About the issues which affect their life.
[02:20:53.360 --> 02:20:58.020]  And that's why Donald Trump is now the 45th President of the United States.
[02:20:58.100 --> 02:21:03.361]  Not because of racism, but because of real issues that he has vowed to address.
[02:21:03.921 --> 02:21:05.222]  That he has promised to address.
[02:21:06.462 --> 02:21:09.402]  And which he hopefully will address, and that's another point that I want to get onto now.
[02:21:09.422 --> 02:21:13.703]  I'm going to take some of your calls in the second half of this hour, by the way.
[02:21:13.723 --> 02:21:15.884]  So get those rolling in.
[02:21:17.344 --> 02:21:17.544]  Again,
[02:21:18.467 --> 02:21:19.768]  We've promoted Donald Trump.
[02:21:19.808 --> 02:21:21.188]  We've not been shy about it.
[02:21:21.308 --> 02:21:23.410]  We've worn our bias on our sleeve.
[02:21:24.430 --> 02:21:26.871]  We don't pretend to be like the mainstream media.
[02:21:26.911 --> 02:21:30.033]  We don't pretend to be neutral and not have an agenda.
[02:21:30.313 --> 02:21:31.333]  We do have an agenda.
[02:21:31.614 --> 02:21:33.415]  We're open and honest about it.
[02:21:33.695 --> 02:21:34.255]  They're not.
[02:21:34.395 --> 02:21:35.496]  That's why they lost.
[02:21:35.936 --> 02:21:38.397]  That's why they were completely discredited.
[02:21:39.438 --> 02:21:42.119]  And again, our agenda was to promote Donald Trump because he stood up.
[02:21:42.159 --> 02:21:43.940]  He said, America first.
[02:21:45.265 --> 02:21:46.606]  We're getting rid of globalism.
[02:21:46.666 --> 02:21:48.107]  It's not working for the country.
[02:21:48.207 --> 02:21:49.768]  This is what our platform is about.
[02:21:49.788 --> 02:22:03.696]  Now, does that mean that we're now wedded to Donald Trump and that we will now defend everything he does or doesn't do after his inauguration in January and for the next four years or the next eight years?
[02:22:04.116 --> 02:22:05.257]  Well, no, it doesn't.
[02:22:05.477 --> 02:22:07.258]  In fact, it means the exact opposite.
[02:22:08.126 --> 02:22:16.589]  Myself, Alex Jones, has a proven track record of not being wedded to any individual politically or any political party.
[02:22:17.329 --> 02:22:18.850]  We're not wedded to Donald Trump.
[02:22:19.330 --> 02:22:21.530]  We're not wedded to the Republican Party.
[02:22:21.871 --> 02:22:23.651]  We're wedded to an ideology.
[02:22:24.431 --> 02:22:25.632]  So as long as Donald Trump
[02:22:26.837 --> 02:22:29.738]  If he embodies that ideology, then we will support him.
[02:22:30.159 --> 02:22:34.721]  If he deviates off from that, if he violates that, then we will criticise him.
[02:22:34.881 --> 02:22:41.604]  And you know that because you've been listening to this show, many of you, for, you know, 8, 10, 12, 14 years even.
[02:22:42.164 --> 02:22:44.786]  And that's what we've done all down the pike.
[02:22:44.846 --> 02:22:50.008]  We've never sided with any political party or any individual person.
[02:22:50.689 --> 02:22:52.650]  We've always sided with the ideology.
[02:22:53.690 --> 02:22:58.715]  So you had the media throughout this campaign complaining about demagoguery.
[02:22:59.456 --> 02:23:01.578]  You know, Donald Trump is just this demagogue.
[02:23:01.778 --> 02:23:02.699]  It's all about him.
[02:23:03.359 --> 02:23:04.821]  His supporters are cult-like.
[02:23:04.861 --> 02:23:07.063]  They're just throwing their support behind this demagogue.
[02:23:07.223 --> 02:23:08.304]  He's literally Hitler!
[02:23:09.405 --> 02:23:12.087]  You heard all that crap for months and months and months.
[02:23:12.901 --> 02:23:19.644]  Well that stops right here, right now, because obviously we're going to have fun for a couple of weeks with this victory.
[02:23:20.384 --> 02:23:27.287]  But, you know, just like with Brexit, which they're trying to seize back, they're trying to steal from us, the battle has only just begun.
[02:23:28.247 --> 02:23:34.470]  Now Trump has the Senate, he has the House, he has the Supreme Court pick, he's got basically a full mandate.
[02:23:35.731 --> 02:23:38.472]  But rest assured, we're going to hold his feet to the fire.
[02:23:39.366 --> 02:23:45.730]  We're going to ensure that his cabinet is not riddled with neocons, which is what they will probably attempt to do.
[02:23:46.750 --> 02:23:48.532]  You know, you've got people surrounding Trump.
[02:23:50.293 --> 02:23:51.794]  I mean, come on, Chris Christie.
[02:23:52.554 --> 02:23:59.118]  I wouldn't trust Chris Christie as far as I could throw him, which isn't very far given his ample size.
[02:23:59.798 --> 02:24:01.459]  But again, I don't trust Chris Christie.
[02:24:02.200 --> 02:24:05.242]  Rudy Giuliani, I remain to be convinced.
[02:24:06.055 --> 02:24:09.077]  And yeah, they've done great work for Trump over the past six months or so.
[02:24:09.818 --> 02:24:13.221]  But we're not going to just trust these people outright and everything they say.
[02:24:13.241 --> 02:24:16.363]  We're going to hold their feet to the fire, rest assured.
[02:24:17.404 --> 02:24:24.510]  Again, a Trump presidency, now that he's got this mandate, has to be about more than just a roadblock.
[02:24:25.631 --> 02:24:31.255]  You know, it has to be about more than just stopping what's happened so far under eight years of Obama.
[02:24:32.016 --> 02:24:35.299]  It has to be about reversing America's course.
[02:24:36.499 --> 02:24:47.729]  It has to be about leaving behind the European-style socialism that Obama embodied, leaving it in the dust, leaving it on the ash heap of history.
[02:24:48.710 --> 02:24:52.173]  And we're going to do that by holding Donald Trump to his word.
[02:24:53.374 --> 02:24:56.277]  We're not going to treat him as a demagogue.
[02:24:56.357 --> 02:24:58.999]  We're not going to trust everything he says, everything he does.
[02:24:59.740 --> 02:25:02.903]  We're going to call him out when he doesn't do what he said he was going to do.
[02:25:04.025 --> 02:25:06.346]  And you know that, the long-time listeners know that.
[02:25:06.987 --> 02:25:12.069]  We're not MSNBC, we're not Fox News, we don't get wedded to political parties.
[02:25:14.330 --> 02:25:24.415]  Now the other angle of this is, compare how Trump supporters are reacting right now compared to Obama supporters back in 2008.
[02:25:25.676 --> 02:25:29.058]  You remember the big hope and change, the big messianic figure Obama?
[02:25:30.003 --> 02:25:31.044]  Sweeping to victory.
[02:25:31.804 --> 02:25:34.766]  Look at how his supporters responded back in 2008.
[02:25:35.506 --> 02:25:36.207]  Do you remember?
[02:25:38.088 --> 02:25:39.329]  Now look at Trump supporters.
[02:25:40.049 --> 02:25:40.690]  Are they happy?
[02:25:40.930 --> 02:25:41.810]  Are they partying?
[02:25:42.771 --> 02:25:43.832]  After Trump's victory?
[02:25:43.952 --> 02:25:44.312]  Yes!
[02:25:45.453 --> 02:25:52.737]  But do they have this, you know, glazed over cult-like expression on their faces in adoration of Dear Leader?
[02:25:52.857 --> 02:25:55.799]  Which is what Obama supporters clearly had back in 2008.
[02:25:57.887 --> 02:25:58.067]  No.
[02:25:58.327 --> 02:26:00.569]  You see a very different reaction so far.
[02:26:01.349 --> 02:26:05.491]  That's the difference between Obama supporters and Trump supporters.
[02:26:07.533 --> 02:26:09.254]  I mean, we're going to hold his feet to the fire.
[02:26:09.314 --> 02:26:12.135]  He's going to be under a lot of pressure from his own people.
[02:26:12.856 --> 02:26:15.277]  Not to mention the media as we go forward.
[02:26:15.317 --> 02:26:16.798]  And of course that's a different argument.
[02:26:17.238 --> 02:26:18.499]  But a lot of people are saying,
[02:26:19.958 --> 02:26:23.299]  Oh no, he's going to be absolutely savaged by the media.
[02:26:23.359 --> 02:26:28.221]  He's not going to get the chance to go forward with his agenda because he's constantly going to be on the back foot.
[02:26:28.762 --> 02:26:32.603]  Well, he's been savaged by the media pretty much this entire campaign.
[02:26:33.043 --> 02:26:34.044]  And look what happened.
[02:26:34.064 --> 02:26:37.265]  So I don't think that's going to be a great worry for him going forward.
[02:26:38.610 --> 02:26:40.270]  After the break, we're going to get to your calls.
[02:26:40.811 --> 02:26:45.232]  And the call-in number is 877-789-ALEX.
[02:26:45.292 --> 02:26:46.232]  That's 877-789-ALEX.
[02:26:46.272 --> 02:26:52.234]  So we're going to go to a few of your calls after the break.
[02:26:53.374 --> 02:26:55.935]  Let's hit on a couple of news stories before we do that, though.
[02:26:56.775 --> 02:27:02.357]  We're going to get into the celebrities who have promised to leave America if Trump wins, which he did.
[02:27:02.637 --> 02:27:04.197]  So now they have to leave America.
[02:27:04.217 --> 02:27:07.098]  So we'll wait to see if that happens.
[02:27:08.134 --> 02:27:12.877]  But again, the Henny-Penny-Sky-Is-Falling-Frothing-Meltdown has already begun.
[02:27:13.457 --> 02:27:17.579]  Hillary supporters whining, rioting, threatening to kill Trump.
[02:27:18.300 --> 02:27:22.742]  Completely ungracious in defeat, even though Trump's been pretty gracious so far in victory.
[02:27:23.703 --> 02:27:28.546]  The Mirror is reporting French Ambassador to the USA says the world is collapsing.
[02:27:29.862 --> 02:27:30.603]  That's the quote.
[02:27:30.703 --> 02:27:34.486]  The world is collapsing as Donald Trump looks set to become president.
[02:27:34.867 --> 02:27:40.632]  Literally, the world is collapsing and burning up into a cinder because people voted for Donald Trump.
[02:27:41.092 --> 02:27:46.056]  The current French ambassador to the United States has tweeted that the world is collapsing before our eyes.
[02:27:47.421 --> 02:27:48.682]  That's an actual quote.
[02:27:49.663 --> 02:28:01.712]  As Donald Trump, that's even worse than literally Hitler, as Donald Trump looks set to become US President, Gerard Arraud, who is a serving ambassador, tweeted his remarks as forecasters predicted Trump would defeat Hillary Clinton.
[02:28:02.573 --> 02:28:07.577]  The 63-year-old said, after Brexit and this election, everything is now possible.
[02:28:08.117 --> 02:28:10.619]  A world is collapsing before our eyes.
[02:28:10.899 --> 02:28:11.460]  Dizziness.
[02:28:12.981 --> 02:28:16.565]  Well, the world is not collapsing.
[02:28:17.105 --> 02:28:19.088]  Your world is collapsing.
[02:28:19.668 --> 02:28:28.478]  Your world of globalism that doesn't represent the American people, that doesn't represent the citizens of Europe, that world is collapsing.
[02:28:28.798 --> 02:28:30.120]  It's a political collapse.
[02:28:30.740 --> 02:28:32.802]  It's not Armageddon, okay?
[02:28:33.463 --> 02:28:37.027]  Just take a back seat, take a deep breath, and calm down.
[02:28:37.628 --> 02:28:38.909]  The birds are still singing.
[02:28:39.530 --> 02:28:41.151]  You know, the grass is still growing.
[02:28:41.692 --> 02:28:43.534]  We haven't burned up into a cinder.
[02:28:44.295 --> 02:28:46.537]  Donald Trump hasn't adorned a Nazi uniform.
[02:28:46.557 --> 02:28:49.020]  He hasn't started putting anybody in concentration camps.
[02:28:49.501 --> 02:28:51.403]  Everything's going to be okay.
[02:28:52.654 --> 02:29:04.745]  But again, just one example of the frothing meltdown that we're already seeing in the very hours after the presidential election wound up last night, early this morning.
[02:29:04.765 --> 02:29:14.034]  We're going to go to a break now, but we will be back with your calls on the InfoWars Election Marathon Special 52-hour broadcast live.
[02:29:14.915 --> 02:29:16.016]  Your calls coming up.
[02:29:16.136 --> 02:29:16.717]  Stay tuned.
[02:29:29.485 --> 02:29:47.163]  My fellow Americans, my fellow humans on planet Earth, there is an epic, legendary awakening of nationalism and populism happening from the Brexit to the Donald Trump phenomenon to Russia pulling out of the New World Order and arresting the bankster oligarchs.
[02:29:47.884 --> 02:29:50.286]  Humanity's will for self-determination
[02:29:51.187 --> 02:29:53.029]  And freedom is expressing itself.
[02:29:53.509 --> 02:30:00.915]  The great classical liberalisms of Thomas Jefferson and Francis Bacon are reawakening right now.
[02:30:01.695 --> 02:30:10.882]  And it's because of the historical times we live in that InfoWars is going to embark on an unprecedented 52-hour broadcast.
[02:30:10.922 --> 02:30:16.447]  We've done 24-hour broadcasts before, but we've never gone 52 hours.
[02:30:16.987 --> 02:30:17.748]  This Monday,
[02:30:18.268 --> 02:30:19.669]  From 11 a.m.
[02:30:19.749 --> 02:30:25.411]  Central right through Tuesday right into Wednesday when the Wednesday show ends at 3 p.m.
[02:30:25.471 --> 02:30:38.918]  Central we will broadcast for an unprecedented legendary over-the-top 52 hours live the second great awakening is taking place we are in the dawn of a new
[02:30:39.818 --> 02:30:44.481]  The era of renaissance, of rediscovery, and human liberty.
[02:30:45.102 --> 02:30:58.211]  Donald Trump, the Brexit, Infowars, Matt Drudge, Breitbart, WorldNetDaily, and so many others are only one small manifestation in the fire of liberty that is now exploding across the globe.
[02:30:58.792 --> 02:31:00.413]  You can see it in the news.
[02:31:00.453 --> 02:31:01.353]  You can feel it.
[02:31:01.834 --> 02:31:03.015]  You can witness it on the street.
[02:31:03.675 --> 02:31:04.555]  History's happening.
[02:31:04.896 --> 02:31:09.058]  They always say this election is the most important in our lifetimes and we laugh it off.
[02:31:09.138 --> 02:31:12.639]  I wouldn't even get involved in past elections because they were so clearly frauds.
[02:31:13.300 --> 02:31:14.540]  This one's the big kahuna.
[02:31:15.341 --> 02:31:16.982]  A clear demarcation line.
[02:31:17.502 --> 02:31:20.964]  A crossroads between nationalism and tyranny.
[02:31:21.484 --> 02:31:23.645]  Between Americanism and globalism.
[02:31:24.345 --> 02:31:28.487]  That's why we're doing this one time and one time only, because history's happening.
[02:31:28.947 --> 02:31:37.111]  A 52-hour live transmission, kicking off Monday, November 7th, 2016 at 11am, running right through Election Day the 8th,
[02:31:40.632 --> 02:31:42.192]  End of the night at 3 p.m.
[02:31:42.232 --> 02:31:43.393]  and quite frankly beyond.
[02:31:43.753 --> 02:31:49.754]  It's historical and it's part of overthrowing the dinosaur media, not just overthrowing the two-party corrupt system.
[02:31:50.254 --> 02:31:55.955]  I want to see 10 million viewers tune in over the 50 plus hours and that's where you come in.
[02:31:56.395 --> 02:31:58.115]  You are the heart and blood of the InfoWar.
[02:31:58.435 --> 02:32:08.137]  If you spread the link to InfoWars.com forward slash show and point out that this is the alternative new media, this is the rebellion, this is the modern Paul Revere operation,
[02:32:08.737 --> 02:32:12.259]  Then all of you are riding right beside us, not behind us.
[02:32:12.620 --> 02:32:19.204]  So spread the word by Paul Revere's, no matter where you live in the world, to Information Warfare Arms.
[02:32:19.524 --> 02:32:22.666]  The globalists are coming and they will be met on the field.
[02:32:24.507 --> 02:32:25.788]  Infowars.com.
[02:32:26.149 --> 02:32:26.749]  Powered by 1776.
[02:32:47.145 --> 02:32:50.969]  We're back live on this InfoWars marathon election special.
[02:32:51.049 --> 02:32:54.073]  Hillary Clinton is about to give her concession speech.
[02:32:54.133 --> 02:32:55.254]  At least we hope she is.
[02:32:55.635 --> 02:32:56.776]  She didn't last night.
[02:32:56.956 --> 02:33:00.640]  God knows what she could say given the dirty tricks that they've pulled in the past.
[02:33:01.221 --> 02:33:03.003]  She's about to give her concession speech.
[02:33:03.043 --> 02:33:04.625]  They're playing hip-hop music.
[02:33:05.105 --> 02:33:07.908]  They're trying to keep the crowd energized for some reason.
[02:33:08.909 --> 02:33:14.492]  Even though, you know, it's going to be a huge letdown for them, there's going to be more whining and crying.
[02:33:14.892 --> 02:33:16.033]  So we're waiting on that.
[02:33:16.053 --> 02:33:17.874]  We'll cut to that as and when it takes place.
[02:33:18.194 --> 02:33:19.935]  Let's go to some of these calls first, though.
[02:33:20.515 --> 02:33:22.736]  Sebastian in Virginia.
[02:33:22.776 --> 02:33:23.957]  You're on the air, Sebastian.
[02:33:23.977 --> 02:33:24.377]  Go ahead.
[02:33:28.939 --> 02:33:29.540]  Love your show.
[02:33:29.760 --> 02:33:30.920]  Been following it for a long time.
[02:33:31.060 --> 02:33:31.721]  You guys are great.
[02:33:32.361 --> 02:33:33.281]  Keep doing what you're doing.
[02:33:33.301 --> 02:33:36.123]  Thanks.
[02:33:36.203 --> 02:33:36.763]  Appreciate it.
[02:33:36.823 --> 02:33:38.064]  What's in your mind today?
[02:33:38.928 --> 02:34:01.503]  So second off, from an outsider's perspective, because I'm originally, I'm Canadian, I'm in the States and I've sort of been witnessed from the outside of this whole thing unfolding, and I find it so interesting, especially coming from the perspective of my Canadian fellows, to see how
[02:34:03.727 --> 02:34:05.248]  There's a refusal of discussion?
[02:34:05.368 --> 02:34:09.209]  You know, I mean, I don't even think and I mean, I didn't side with anyone either.
[02:34:09.229 --> 02:34:12.930]  And I can't you know, I don't have a right to vote.
[02:34:12.990 --> 02:34:18.512]  But I mean, I think there's a there's a movement of people that want to change.
[02:34:18.892 --> 02:34:21.293]  And I think that they saw something different.
[02:34:21.453 --> 02:34:24.754]  And that is something that people have been trying to
[02:34:25.595 --> 02:34:32.700]  To grasp onto for a while, and finally you're somebody in a position where they could have that opportunity to be represented for.
[02:34:32.900 --> 02:34:37.863]  And sure, there's a lot of slander going around about Trump.
[02:34:38.223 --> 02:34:49.991]  And I think it's most surprising to me that, especially after the election was over, the negative, hateful, aggressive, and just violent comments, even on social media.
[02:34:50.191 --> 02:34:55.255]  And I found it so surprising, even coming from my friends in Canada.
[02:34:56.337 --> 02:35:19.664]  I mean it was just, you know, and it comes from, you know, I considered all my friends to be, and all the people and my colleagues that I know up there, to be open and respective and to, you know, accept views and have discussions and everybody just sort of went blinders up, violent, you know, swearing at people and I thought it was so interesting that there's so much violent discussion on the social media and as soon as somebody even points out
[02:35:20.672 --> 02:35:24.594]  An alternate view, not even supporting what happened, not even supporting the results.
[02:35:25.234 --> 02:35:30.737]  Just saying, well, maybe this is an indication that there was something wrong and something had to be done about it.
[02:35:31.277 --> 02:35:37.180]  They just shut down and swearing and you're a moron and I was just blown, I'm literally blown away by it.
[02:35:37.420 --> 02:35:40.562]  Like I'm just sort of here as a bystander and I'm just, I'm overwhelmed.
[02:35:41.215 --> 02:35:41.495]  Really?
[02:35:42.156 --> 02:35:44.057]  No, I mean, that's exactly the point.
[02:35:44.097 --> 02:35:46.099]  I mean, we saw it after Brexit.
[02:35:46.439 --> 02:35:49.021]  I know people that were almost disowned by their families.
[02:35:49.282 --> 02:35:58.689]  I know Brexit supporters that couldn't tell anyone that they had voted for Brexit, couldn't go into their workplace and actually talk about it for fear of reprisals.
