[00:00:00.029 --> 00:00:00.529]  Tip of the week.
[02:57:15.680 --> 02:57:16.540]  They won't be defeated.
[02:57:17.441 --> 02:57:26.726]  My only concern is, when they've dominated their domestic populations and have been found to be above the law, almost every case, they start wars with other people.
[02:57:28.007 --> 02:57:33.850]  And three times in the last 200 years, they've done it with Russia.
[02:57:35.231 --> 02:57:35.731]  Three times.
[02:57:37.892 --> 02:57:42.815]  Say which one about Russia, it hadn't been taken over yet, and it's just where empires go to start giant wars.
[02:57:43.135 --> 02:57:44.116]  Now there's nuclear weapons!
[02:57:45.649 --> 02:57:47.410]  Now our elite is allied with the Chinese.
[02:57:47.810 --> 02:57:48.831]  The Russians aren't stupid.
[02:57:48.851 --> 02:57:51.173]  They know there's a sneak attack plan with both countries to attack Russia.
[02:57:51.433 --> 02:57:52.594]  And I'm not lionizing Russia.
[02:57:52.654 --> 02:57:56.576]  I'm just saying it hasn't been taken over, except by the Communist Revolution, but still not completely.
[02:57:56.776 --> 02:57:57.657]  And then they overthrew that.
[02:57:57.797 --> 02:57:59.958]  So I'm really worried about Hillary, folks.
[02:58:00.399 --> 02:58:04.741]  Once she's got full control of the U.S., you watch, she's going to turn her eyes outward.
[02:58:05.302 --> 02:58:11.666]  And as much as I kind of want her to leave us alone and move on, it's going to come back on us, folks.
[02:58:12.046 --> 02:58:13.207]  You think Hitler was bad?
[02:58:14.804 --> 02:58:16.705]  Hillary is a complete lunatic.
[02:58:17.265 --> 02:58:21.626]  They've got nothing but women now running the State Department and most of the decisions of the Pentagon.
[02:58:22.086 --> 02:58:22.546]  And it's weird.
[02:58:22.606 --> 02:58:23.706]  None of them have been in combat.
[02:58:23.746 --> 02:58:25.107]  They all wear these fancy dresses.
[02:58:25.407 --> 02:58:28.028]  They get up there and make weird comments about how good they are at killing people.
[02:58:28.908 --> 02:58:30.408]  And then they just shoot their mouths off.
[02:58:30.528 --> 02:58:36.870]  I mean, it just reeks of nuclear war, reeks of defeat, reeks of hell.
[02:58:38.976 --> 02:58:43.297]  I mean, you've got a bunch of whacked out weirdos on a bunch of drugs and crap.
[02:58:43.917 --> 02:58:47.979]  I mean, I can look at Hillary and Samantha Powers and all of them and tell you, those women are on drugs if I've ever seen it.
[02:58:48.439 --> 02:58:50.860]  And they have got to be brought, they've got to be stopped, people.
[02:58:51.120 --> 02:58:52.080]  We've got to stop them!
[02:58:52.100 --> 02:58:54.461]  We're going to take a few more calls, hand the baton to Watson.
[02:58:54.481 --> 02:58:56.881]  I'm just telling you, we've got to stop these people.
[02:58:57.442 --> 02:58:58.382]  They're megalomaniacs.
[02:58:59.362 --> 02:59:02.103]  Before they stop themselves by blowing everything up.
[02:59:04.887 --> 02:59:07.829]  A clean, toxic-free body is the foundation of true health.
[02:59:08.130 --> 02:59:17.717]  Introducing Deep Cleanze by Infowarslife.com, a scientifically formulated blend of nanocolloidal zeolites and organic ingredients that aid the body in cleansing chemicals and toxic metals.
[02:59:18.018 --> 02:59:23.202]  Using our proprietary multi-step extraction technology, Deep Cleanze is our most affordable all-in-one cleanser.
[02:59:23.322 --> 02:59:32.149]  With concentrated organic compounds like cilantro, milk thistle, fulvic acid, orange peel, zeolites, and others, Deep Cleanze doesn't hold back.
[02:59:32.429 --> 02:59:41.011]  Instead of buying five, six, or even seven different cleansing products, we use decades-old scientific research to put together the Rolls-Royce of all-in-one cleansing.
[02:59:41.231 --> 02:59:48.153]  Look, there's a reason Deep Cleanse is the only product on the market that uses our proprietary Spigyrex herbal processing technique.
[02:59:48.293 --> 02:59:53.634]  We use only the highest quality organic herbs backed by serious research, and we still bring it to you the best price.
[02:59:53.994 --> 02:59:54.915]  The truth is a powerful thing.
[03:00:26.900 --> 03:00:32.023]  He aligns himself with the truth, and it's time for you to choose a side.
[03:00:32.563 --> 03:00:34.224]  You're listening to Alex Jones.
[03:00:34.444 --> 03:00:37.305]  All right, going right to your phone calls.
[03:00:37.765 --> 03:00:43.088]  I love how Trump's calling it a rigged system and it's all a fraud, because that's true.
[03:00:43.328 --> 03:00:47.030]  She had to overthrow the entire corrupt system that's come in and taken over our country.
[03:00:47.350 --> 03:00:49.771]  You don't just debate with it and play games with it.
[03:00:50.011 --> 03:00:51.972]  You admit it's rigged, but Bernie Sanders won't do that.
[03:00:52.392 --> 03:00:53.253]  She'll let Hillary rob him.
[03:00:55.742 --> 03:00:56.782]  Let's go to Shane in Oregon.
[03:00:56.842 --> 03:00:58.343]  Shane, thanks for holding her on the air worldwide.
[03:00:58.363 --> 03:01:01.423]  Thank you for taking the call, Alex.
[03:01:01.843 --> 03:01:02.183]  Thank you.
[03:01:02.403 --> 03:01:05.064]  I'm a fairly new listener.
[03:01:05.084 --> 03:01:09.545]  I just found you about a year and a half ago, but I thank the good Lord that I did.
[03:01:09.565 --> 03:01:11.905]  I listen to you religiously.
[03:01:12.085 --> 03:01:12.946]  I drive religiously.
[03:01:12.966 --> 03:01:18.167]  I listen to you all day while you're on live, and then I find you on YouTube and I've been watching you.
[03:01:18.207 --> 03:01:19.567]  Well, thanks for putting up with me, brother.
[03:01:21.436 --> 03:01:24.158]  First, I just want to say thank you again for everything you do.
[03:01:24.218 --> 03:01:26.499]  Your reporters are out of this world.
[03:01:26.519 --> 03:01:34.504]  Everything that you guys are putting out there is just... I mean, I can't even explain how urgent this information is to get it out to the people.
[03:01:34.524 --> 03:01:38.746]  And I'm a 13-year veteran of the United States Army.
[03:01:39.627 --> 03:01:44.669]  And I want to just say real quick... I had a lot of stuff I wanted to touch on.
[03:01:44.689 --> 03:01:45.210]  No, go ahead.
[03:01:45.250 --> 03:01:45.770]  Go ahead.
[03:01:45.950 --> 03:01:46.430]  Take your time.
[03:01:46.651 --> 03:01:48.211]  I think this is really important.
[03:01:49.420 --> 03:02:01.028]  We the people, we need to stand behind Mr. Trump and really, really support him because he's basically put his entire life and family on the line.
[03:02:01.068 --> 03:02:02.849]  I think there's a good chance they're going to kill him.
[03:02:02.949 --> 03:02:04.870]  I'd say it's about a 50% chance they're going to kill him.
[03:02:06.211 --> 03:02:09.393]  They're so arrogant, they'll blow his plane up in front of everybody.
[03:02:09.874 --> 03:02:11.235]  I'm telling you, they'll do anything.
[03:02:12.616 --> 03:02:15.177]  Yeah, and unfortunately I feel that same way.
[03:02:16.673 --> 03:02:23.275]  But, uh, you know, we the people just really need to stand up and support him because he is the only hope that we have for this country to become great again.
[03:02:23.315 --> 03:02:25.296]  By the way, it just hit me that I think they want a civil war.
[03:02:25.336 --> 03:02:26.516]  They might kill Trump to start it.
[03:02:26.656 --> 03:02:27.637]  Oh, there's no end to these people.
[03:02:28.977 --> 03:02:29.317]  Yeah.
[03:02:29.797 --> 03:02:43.242]  Um, and, uh, you know, I, I think that one of the callers touched on something earlier and I think, uh, Jakari also touched on it that, you know, that what we're being fed, basically spoon fed and being dumbed down through our, our
[03:02:43.737 --> 03:02:44.498]  We're good to go.
[03:03:05.338 --> 03:03:05.979]  Absolutely.
[03:03:06.039 --> 03:03:10.122]  And then as more tyranny comes in, unfortunately, down the road, they'll even wake up more.
[03:03:10.502 --> 03:03:11.703]  And baby steps are great.
[03:03:11.723 --> 03:03:13.264]  Sometimes the family, because they're hard to wake up.
[03:03:13.704 --> 03:03:21.369]  I hit people right in the face with the truth and just say, listen, you understand the globalists are taking this country over right now and they're trying to end our prosperity by design.
[03:03:21.789 --> 03:03:29.875]  We need to get involved to bring back just a basic system of Americana that produced the wealth and the success we had.
[03:03:29.935 --> 03:03:30.675]  God bless you, Shane.
[03:03:30.695 --> 03:03:31.416]  Good to hear from you.
[03:03:31.796 --> 03:03:32.877]  Let's take another call here.
[03:03:32.917 --> 03:03:34.278]  Let's talk to Justin X.
[03:03:35.559 --> 03:03:38.561]  In the live-free-or-die state of New Hampshire.
[03:03:40.623 --> 03:03:40.923]  Hello?
[03:03:41.183 --> 03:03:41.583]  Yes, sir.
[03:03:43.265 --> 03:03:46.987]  Yes, long-time listener, first-time caller.
[03:03:47.608 --> 03:03:55.494]  I felt compelled to call today because just like you, I have a powerful, sickening feeling in my gut.
[03:03:56.014 --> 03:03:58.376]  And I don't know, it's not good.
[03:03:58.416 --> 03:04:03.060]  Last time I had this feeling was I was out of the country during the Boston bombing.
[03:04:03.763 --> 03:04:11.787]  As I'm flying in, I'm looking at the Golden Gate Bridge, and I just get this sickening feeling in my gut.
[03:04:12.788 --> 03:04:18.231]  And come to find out, the people in Boston cheered the people that were dragging them out of their houses.
[03:04:18.311 --> 03:04:25.695]  So really, the only real solution is individual
[03:04:26.703 --> 03:04:32.305]  I mean, yes, because we can hope for Trump to change things for us, but just like you just said, I question if there's even going to be an election.
[03:04:49.962 --> 03:04:51.003]  They're moving quickly.
[03:04:53.743 --> 03:04:57.665]  I just have this feeling after seeing this, it's going to move exponentially.
[03:04:57.845 --> 03:04:58.085]  I agree.
[03:04:58.105 --> 03:04:59.225]  I mean, that's why I've said this.
[03:04:59.265 --> 03:05:01.946]  I've never said this in years of selling storable food.
[03:05:01.966 --> 03:05:04.267]  I've never said, now I believe you're going to actually need this for sure.
[03:05:04.667 --> 03:05:06.948]  I've never said, I'm getting a bunch extra from me.
[03:05:06.968 --> 03:05:08.048]  I mean, I really believe that.
[03:05:08.648 --> 03:05:09.909]  I just have a sickening feeling.
[03:05:10.529 --> 03:05:11.609]  My gut is, just get ready.
[03:05:11.789 --> 03:05:13.110]  Take care of your own family at this point.
[03:05:14.454 --> 03:05:17.975]  Let's face it, most of us are totally addicted to our cell phones.
[03:05:18.095 --> 03:05:22.576]  But recent studies link cell phone use to major health issues, including brain cancer.
[03:05:22.877 --> 03:05:26.338]  Experts say parents and expecting mothers need to be extra careful.
[03:05:26.618 --> 03:05:30.739]  Doctors say the infant brain, even while in the womb, is especially vulnerable.
[03:05:30.899 --> 03:05:35.022]  So keep the phone away from your abdomen, especially toward the end of pregnancy.
[03:05:35.202 --> 03:05:44.830]  And for men, using a cell phone for as little as an hour a day is literally cooking your sperm, lowering sperm count levels so much that conceiving a child could be difficult.
[03:05:45.350 --> 03:05:47.612]  This is one of those times you want to keep it out of your pants.
[03:05:47.992 --> 03:05:53.374]  And for those of us who use our cell phones before bed, know that the screen light is actually disrupting your sleep rhythms.
[03:05:53.434 --> 03:05:55.955]  This causes insomnia and slows the metabolism.
[03:05:56.095 --> 03:05:57.116]  Hello, weight gain!
[03:05:57.396 --> 03:06:02.378]  Generally speaking, when cell phones are on, they're constantly emitting radio frequency radiation.
[03:06:02.478 --> 03:06:04.578]  So keep your phone in airplane mode when you can.
[03:06:04.758 --> 03:06:07.119]  Keep the phone at least two feet away from your body.
[03:06:07.359 --> 03:06:08.080]  Use headphones.
[03:06:08.300 --> 03:06:11.601]  And when you're not on your phone, keep it as far away from you as possible.
[03:06:11.621 --> 03:06:13.702]  Leigh Ann McAdoo with your InfoWars Tip of the Week.
[03:06:14.822 --> 03:06:16.503]  I'm gonna lay it out short and sweet.
[03:06:18.297 --> 03:06:23.967]  I got so dedicated to fighting the globalists and their program for world government that I stopped working out.
[03:06:24.668 --> 03:06:28.535]  I was a total fitness nut 20 years ago.
[03:06:29.431 --> 03:06:31.732]  But about 15 years ago, I just stopped working out.
[03:06:31.812 --> 03:06:32.972]  I gained close to 100 pounds.
[03:06:33.712 --> 03:06:36.553]  And diet and exercise only helped me lose 20 or so.
[03:06:37.153 --> 03:06:55.278]  But when I started using the natural products that God gave us through Mother Nature, and when we developed super metal vitality and the good halogen X2 and things like Secret 12 that is true, organic, absorbable, bioavailable B12, it changed my life.
[03:06:56.431 --> 03:07:00.334]  I have lost 50, 60 pounds of fat, or more.
[03:07:00.394 --> 03:07:02.255]  I've gained 20 pounds of muscle.
[03:07:02.836 --> 03:07:07.779]  I'm stronger than I was when I was 22, when I could bench press close to 400 pounds and squat 600.
[03:07:07.879 --> 03:07:09.660]  It's actually scary.
[03:07:10.541 --> 03:07:15.725]  And it's because I take products that our researchers developed that block
[03:07:16.667 --> 03:07:20.550]  The estrogen mimickers that basically feminize men.
[03:07:21.551 --> 03:07:35.040]  We've produced these products with top scientists and researchers like Dr. Group to help you counteract the globalist onslaught and at the same time support InfoWars and our fight to promote human liberty and freedom worldwide.
[03:07:35.481 --> 03:07:39.404]  Start your journey towards normal human metabolic activity today.
[03:07:40.084 --> 03:07:41.525]  Counteract the globalist onslaught.
[03:07:41.985 --> 03:07:43.847]  It starts at InfoWarsLife.com.
[03:07:45.209 --> 03:07:48.510]  Special Forces selection, it's not like you could ever take the easy road.
[03:07:48.570 --> 03:07:52.491]  You can't take steroids to make, you know, being a Special Forces operator easier.
[03:07:52.691 --> 03:07:58.693]  I'm always looking for the best and natural way to get myself to the limit.
[03:07:58.713 --> 03:08:00.373]  I have to have the edge over my opponents.
[03:08:00.453 --> 03:08:04.234]  I believe that in Super Male Vitality, that gives me the edge.
[03:08:04.254 --> 03:08:08.355]  I've been taking it, and I'm still getting faster and stronger every day.
[03:08:09.076 --> 03:08:13.577]  Start your journey to Super Male Vitality today at InfoWarsLife.com
[03:08:17.805 --> 03:08:19.267]  We are on the march.
[03:08:19.648 --> 03:08:22.071]  The Empire is on the run.
[03:08:22.812 --> 03:08:26.497]  Alex Jones and the GCN Radio Network.
[03:08:30.879 --> 03:08:43.968]  We have global combines that have taken control of most of the planet, have successfully overthrown nation after nation, openly doing banker bail-ins in Europe, flooding the countries with 5 million foreigners, covering up their mass rapes, you name it.
[03:08:43.988 --> 03:08:51.213]  I've got articles here where in London, Islamicist Muslim cab driver says it's against his religion to take blind man with a guide dog.
[03:08:52.336 --> 03:08:55.638]  And, uh, the person tells him, well, it violates the Disabilities Act.
[03:08:55.658 --> 03:08:56.419]  He says, I don't care.
[03:08:56.759 --> 03:08:58.320]  And nothing will be done to him for that.
[03:08:58.340 --> 03:08:59.360]  They are above the law.
[03:08:59.380 --> 03:09:00.201]  They are gods.
[03:09:00.781 --> 03:09:04.384]  That's why they don't have to wear, they don't get searched by the TSA, you name it.
[03:09:04.844 --> 03:09:07.325]  And again, people say, well, you didn't used to be so Islamophobic.
[03:09:07.486 --> 03:09:09.887]  I didn't want to destabilize the Middle East and have a giant war.
[03:09:10.427 --> 03:09:17.452]  The point is they're bringing people in from the most backward third world hell pits where many women aren't even allowed out of the house.
[03:09:18.442 --> 03:09:29.167]  And then there's all these weird, sickening feminist groups out attacking me saying I'm Islamophobic with weirdo, like 18-year-old girls with their faces painted up saying I'm a feminist screaming to defend the Muslims.
[03:09:29.247 --> 03:09:33.769]  I mean, it is literal mental suicide they're engaged in.
[03:09:33.949 --> 03:09:36.910]  It is the opposite of logic.
[03:09:36.990 --> 03:09:40.432]  I don't understand how we manufactured such freak shows.
[03:09:41.223 --> 03:09:52.132]  And then we've got, I'm sure Paul's getting into this because it's his beat, you know, exposing it, you know, this leader in Sweden saying, well, when our men rape women, it's bad, even though they're like less than 10% of the rapes.
[03:09:52.393 --> 03:09:54.054]  But when the Muslims do it, it's just their culture.
[03:09:54.895 --> 03:09:56.356]  This is where we're going.
[03:09:56.376 --> 03:09:58.698]  Now, we've got some calls here that have been holding a while.
[03:09:58.718 --> 03:10:00.480]  That's why I held over so I could go to those.
[03:10:00.900 --> 03:10:02.942]  I was going to talk to Paul and Stormy and Lana.
[03:10:02.982 --> 03:10:04.103]  In fact, Lana's here in a moment.
[03:10:04.503 --> 03:10:05.084]  But briefly,
[03:10:07.099 --> 03:10:08.040]  It's time to get prepared.
[03:10:08.200 --> 03:10:15.924]  That's why we're running a special 20 to 40% off on this super high quality, super fresh, last 25 year, storable foods at InfowarsStore.com.
[03:10:17.164 --> 03:10:21.506]  We're going to extend the Independence Day sale through this week because it's about being independent.
[03:10:21.827 --> 03:10:27.670]  20% off on water filtration systems, on air filtration systems, and so much more at InfowarsStore.com.
[03:10:28.567 --> 03:10:30.588]  Or by calling toll-free 888-253-3139.
[03:10:31.089 --> 03:10:37.072]  Also, when you buy the Hillary for Prison shirts, we have a new limited edition out.
[03:10:37.893 --> 03:10:44.777]  That will go to pay for the airplanes that we're gonna have with big banners over the RNC and DNC with giant banners that say Hillary for Prison.
[03:10:46.038 --> 03:10:47.899]  And it doesn't mean InfoWars is going to save the world.
[03:10:47.979 --> 03:10:51.621]  You buying the shirt won't be the straw that breaks the camel's back of tyranny.
[03:10:52.082 --> 03:10:54.183]  But let me tell you, somebody will push us over the edge.
[03:10:54.823 --> 03:10:56.064]  And its resistance is victory.
[03:10:56.084 --> 03:10:58.466]  So InfoWarsStore.com or call toll-free 888-253-3139.
[03:10:59.106 --> 03:11:06.410]  I want to thank you all for your support, but even more important, send out the links to the podcast.
[03:11:06.450 --> 03:11:07.991]  Send out the video links to the live show.
[03:11:08.271 --> 03:11:10.713]  Tell people about that local AM or FM affiliate you listen to.
[03:11:10.753 --> 03:11:12.274]  Become a sponsor at a local station.
[03:11:12.574 --> 03:11:13.555]  Support the sponsors.
[03:11:13.975 --> 03:11:15.156]  Send $100 to the station.
[03:11:16.172 --> 03:11:19.815]  Send links to videos and articles and information to friends and family.
[03:11:21.055 --> 03:11:21.896]  It's an info war.
[03:11:22.396 --> 03:11:24.738]  They admit we're one of the most prominent groups hurting them.
[03:11:25.058 --> 03:11:28.100]  Those drudge, info wars, and down the line from there.
[03:11:28.801 --> 03:11:32.563]  We are now the symbol of independent, liberty-based, populist media worldwide.
[03:11:32.803 --> 03:11:34.044]  We're changing the world.
[03:11:34.544 --> 03:11:37.126]  Nigel Farage used to come on like 15 years ago.
[03:11:37.787 --> 03:11:41.389]  He came on just a few years ago as well and he admitted, wow, you're really big over here in England.
[03:11:41.409 --> 03:11:42.750]  You're getting us a lot of UKIP members.
[03:11:42.950 --> 03:11:43.891]  I'm proud of that.
[03:11:44.639 --> 03:11:45.540]  I'm proud of you.
[03:11:46.400 --> 03:11:48.261]  We're all in this together, so don't thank me.
[03:11:48.381 --> 03:11:49.202]  I want to thank you.
[03:11:49.542 --> 03:11:50.223]  We're in this together.
[03:11:50.463 --> 03:11:52.324]  Paul Watson, a lot going on.
[03:11:52.364 --> 03:11:53.405]  Tell us what's coming up today.
[03:11:53.445 --> 03:11:54.946]  Obviously, you're going to talk about Hillary.
[03:11:54.986 --> 03:12:03.011]  I mean, I see this as the elite breaking away from justice completely and a declaration of independence against the rule of law, a declaration of dictatorship, Paul.
[03:12:04.423 --> 03:12:06.303]  Well, it's completely brazen, Alex.
[03:12:06.344 --> 03:12:14.646]  And I mean, the meeting itself with Loretta Lynch and Bill Clinton, a lot of people speculated that Bill Clinton did that because he could.
[03:12:14.886 --> 03:12:16.926]  He didn't even care about the optics.
[03:12:16.966 --> 03:12:18.587]  He didn't care how bad it would look.
[03:12:19.067 --> 03:12:22.528]  And you know, this is what you talked about earlier, the brazenness of the elite.
[03:12:22.888 --> 03:12:25.788]  You know, there was a tweet from Hillary Clinton back in January.
[03:12:26.269 --> 03:12:31.290]  There should be no bank too big to fail and no individual too big to jail.
[03:12:32.170 --> 03:12:33.631]  Well that's been disproven today.
[03:12:33.991 --> 03:12:37.934]  You had Comey lay out for 15 minutes how she had broken the law.
[03:12:38.475 --> 03:12:42.998]  We've got numerous examples from past cases about how people did exactly this.
[03:12:43.539 --> 03:12:45.540]  Mishandling of classified information.
[03:12:45.921 --> 03:12:46.941]  They were punished for it.
[03:12:47.422 --> 03:12:52.446]  So he laid it out how she broke the law and then concluded that she was above the law.
[03:12:53.308 --> 03:13:05.337]  And I mean, this is scary, because people are already out saying, well, if the highest elected representatives in the country are immune from the law, or above the law, then why should I pay my taxes?
[03:13:05.738 --> 03:13:07.239]  Why should I follow the law?
[03:13:07.819 --> 03:13:12.503]  So it could lead, I mean, eventually down the line to some form of civil unrest.
[03:13:12.563 --> 03:13:16.706]  That's how Mexico had super low crime 50 years ago and degenerated.
[03:13:16.726 --> 03:13:18.488]  The public sees the government not following the law.
[03:13:18.848 --> 03:13:20.629]  That's what makes civilizations fall, Paul.
[03:13:20.649 --> 03:13:21.190]  That's a good point.
[03:13:22.557 --> 03:13:23.157]  No, exactly.
[03:13:23.217 --> 03:13:30.079]  They see that the highest elected representatives in the land have no appreciation for and are protected from the law.
[03:13:30.560 --> 03:13:31.980]  So how do they behave?
[03:13:32.040 --> 03:13:32.840]  How do they respond?
[03:13:32.880 --> 03:13:33.681]  We've already seen it.
[03:13:33.701 --> 03:13:40.383]  There's an article up on InfoWars where I collated some of the comments just off Twitter and some other websites of people responding to this.
[03:13:41.143 --> 03:13:46.605]  Absolute, unremitting fury from people saying that this is the end of the line for them.
[03:13:46.625 --> 03:13:49.806]  They've tolerated enough and this is just a step too far.
[03:13:50.566 --> 03:13:55.671]  But you know, I'm going to get into the previous cases when I get up and host the show in a little while.
[03:13:57.160 --> 03:14:03.483]  Numerous cases where people have done exactly this, mishandle classified information, not even deliberately.
[03:14:03.603 --> 03:14:06.144]  Remember, that's not the standard that she's being held to.
[03:14:06.464 --> 03:14:07.424]  Not deliberately.
[03:14:07.864 --> 03:14:10.285]  And yet we have Comey coming out with this quote.
[03:14:11.146 --> 03:14:18.089]  Again, quote, to be clear, this is not to suggest that in similar circumstances a person who engaged in this activity would face no consequences.
[03:14:18.469 --> 03:14:23.271]  To the contrary, those individuals are often subject to security or administrative sanctions.
[03:14:23.871 --> 03:14:27.835]  So again, they're subject to misdemeanor charges, fines, imprisonment.
[03:14:27.855 --> 03:14:28.515]  He warns them.
[03:14:28.555 --> 03:14:31.558]  He said, listen, just because she's not getting in trouble doesn't mean you won't.
[03:14:31.578 --> 03:14:36.483]  They're even telling the government she's above the law and that they aren't.
[03:14:36.503 --> 03:14:37.544]  That's crazy, man.
[03:14:38.933 --> 03:14:40.514]  It's completely out of control.
[03:14:40.534 --> 03:14:46.579]  I mean, even a lot of people on the left, from what I've seen, are just absolutely flabbergasted by this.
[03:14:47.200 --> 03:14:56.608]  The one crumb of comfort, I guess, for Trump, which some people have pointed out, is that, you know, 2016 is the year of complete rebellion against the status quo.
[03:14:57.128 --> 03:15:05.075]  This is not only going to fire up his base, but it's also going to enrage those independents who are leaning Republican to vote for Trump.
[03:15:05.715 --> 03:15:10.818]  It's going to influence the Bernie Sanders supporters, 50% of whom said they wouldn't vote for Hillary.
[03:15:10.838 --> 03:15:11.598]  Well, here's the good news.
[03:15:11.658 --> 03:15:13.580]  Trump doesn't even know what an email server is.
[03:15:13.700 --> 03:15:14.600]  That's kind of a good thing.
[03:15:14.620 --> 03:15:16.421]  He likes his emails handed to him, printed off.
[03:15:16.621 --> 03:15:17.562]  He knows how to use a Twitter.
[03:15:18.322 --> 03:15:22.305]  But don't worry, he won't have any secret servers because he's not a big tech guy.
[03:15:22.765 --> 03:15:24.186]  I tell you, Hillary is a true slimeball.
[03:15:24.206 --> 03:15:26.127]  I want to take a call or two and hand the baton to you, Paul.
[03:15:27.614 --> 03:15:29.416]  I think this just signifies the battle lines.
[03:15:29.436 --> 03:15:30.498]  They're going into overdrive.
[03:15:30.538 --> 03:15:31.399]  They have nothing to lose.
[03:15:31.459 --> 03:15:32.060]  They're cornered.
[03:15:32.400 --> 03:15:33.461]  Humanity's waking up.
[03:15:34.002 --> 03:15:35.644]  This is just an epic time to be alive.
[03:15:36.445 --> 03:15:39.188]  But what do you think Hillary's going to do if she actually gets in?
[03:15:39.889 --> 03:15:42.172]  My bigger concern isn't that she'll just persecute us.
[03:15:42.192 --> 03:15:42.813]  We know that's coming.
[03:15:42.833 --> 03:15:43.453]  That's already happened.
[03:15:43.834 --> 03:15:45.776]  I've already been under Bill and Hillary before.
[03:15:46.693 --> 03:15:47.794]  And enjoyed it, let me tell you.
[03:15:48.314 --> 03:15:52.816]  It's always fun to get knocked upside the head by a bunch of thugs attacking you so you don't talk about the Clintons if they punch you.
[03:15:53.797 --> 03:15:55.458]  But I punched back, that's what they found out.
[03:15:55.878 --> 03:15:57.019]  So I guess they didn't come back.
[03:15:58.599 --> 03:16:02.461]  But side issue, Paul, what do you think she's going to do when she gets in?
[03:16:03.182 --> 03:16:10.906]  I think she might start World War III because this instinct to dominate and rule everyone, this megalomania in her is so strong.
[03:16:10.946 --> 03:16:12.487]  I mean, the dark side is strong in this one.
[03:16:13.871 --> 03:16:18.094]  No, I mean, that is the fear that she could amp up this Cold War situation with Russia.
[03:16:18.114 --> 03:16:19.835]  By the way, the Russians say that.
[03:16:19.855 --> 03:16:21.476]  They say she may be the worst president ever.
[03:16:21.496 --> 03:16:25.218]  They absolutely, in their analysis, think Hillary is like the frickin' Antichrist.
[03:16:26.050 --> 03:16:34.612]  Oh no, I mean, Putin said words to that effect a couple of weeks ago, and he said he could probably get along with Trump, but Hillary is just a frightening prospect.
[03:16:35.053 --> 03:16:41.074]  You've got the South China Sea situation with, you know, China saying that it's not afraid of a military confrontation once again.
[03:16:41.654 --> 03:16:43.855]  So she could exploit that.
[03:16:43.875 --> 03:16:46.636]  The country's going to be massively divided if she gets in.
[03:16:47.096 --> 03:16:50.257]  She could rally everyone around by using the old excuse of
[03:16:50.837 --> 03:17:04.012]  How are the Chinese going to act when she's on their payroll, on record, and because Kenneth Starr was on the payroll of the same group, he never went after her for that, special prosecutor, how are they going to act knowing that she's been basically a communist Chinese agent for 20 years?
[03:17:06.035 --> 03:17:09.496]  Well, she's going to get protected by the media, so it's not even going to be a big issue.
[03:17:09.516 --> 03:17:16.459]  I mean, you've got the media flapping their gums about Trump tweeting a star in a Hillary Clinton meeting.
[03:17:16.479 --> 03:17:21.821]  By the way, that's one of the four or five stars they use when they say, like, discount on a box, a cereal box.
[03:17:23.928 --> 03:17:24.288]  Exactly.
[03:17:24.628 --> 03:17:27.951]  Well, it was seen on a white supremacist website.
[03:17:28.151 --> 03:17:35.435]  Well, you know, my videos are posted on white supremacist websites, but white supremacists and neo-Nazis are the prominent people who attack me.
[03:17:35.876 --> 03:17:41.659]  The point is, that symbol, the way they did it, orange like that or whatever, is the symbol that the police use, everybody else uses.
[03:17:41.839 --> 03:17:42.720]  It just means, look here.
[03:17:44.070 --> 03:17:46.072]  Yeah, totally, totally innocent.
[03:17:46.312 --> 03:17:55.302]  Meanwhile, Saudi Arabia, the country that executes gay people and throws them in prison, is funding 20% of Hillary Clinton's campaign.
[03:17:55.702 --> 03:17:57.424]  Nobody gives a damn about that.
[03:17:57.764 --> 03:17:58.846]  That's not offensive.
[03:17:58.906 --> 03:18:02.510]  What's offensive is a red star in a meme about Hillary Clinton.
[03:18:02.850 --> 03:18:04.592]  My God, I'm so offended.
[03:18:06.874 --> 03:18:07.895]  Well, it's amazing.
[03:18:07.975 --> 03:18:09.115]  It's absolutely amazing.
[03:18:09.136 --> 03:18:12.898]  And they're going to try these stunts over and over and over and over and over again.
[03:18:12.918 --> 03:18:16.080]  And, you know, the left gets mad at us putting out this Ben Garrison deal.
[03:18:16.120 --> 03:18:18.302]  He exposed Bush, by the way, with I'm with Herb.
[03:18:19.595 --> 03:18:25.116]  The grim reaper with Hillary showing Syria, Iraq, Afghanistan, Libya, and they say, oh, you didn't hear about Bush.
[03:18:25.176 --> 03:18:25.756]  Yes, we did.
[03:18:26.717 --> 03:18:27.857]  And we were against those wars.
[03:18:27.897 --> 03:18:36.939]  But even mainline historians say Hillary's far worse, and Obama launching a whole bunch of new wars, and they're financing anti-Christian groups that are killing hundreds of thousands of Christians!
[03:18:37.579 --> 03:18:38.799]  I mean, Bush didn't do that!
[03:18:39.800 --> 03:18:42.440]  Bush protected Christians in Iraq, as bad as he is!
[03:18:43.020 --> 03:18:45.261]  It's like, why do you think she's out to get Christians like this?
[03:18:45.341 --> 03:18:46.321]  I just can't figure it out.
[03:18:47.421 --> 03:18:51.825]  Well, I mean, it's the policy of the administration, the Syrian refugees they've brought in.
