[00:00:00.830 --> 00:00:12.742]  We've got to make sure that they know that we mean business.
[01:21:56.655 --> 01:21:57.495]  Very important man.
[01:21:58.236 --> 01:21:58.736]  Absolutely.
[01:21:59.156 --> 01:22:06.539]  So, you know, in order to not offend, I will say I feel at some points that he is obfuscating somewhat.
[01:22:07.680 --> 01:22:08.020]  There you go.
[01:22:10.423 --> 01:22:13.764]  I don't care if I've had, but I really don't.
[01:22:14.364 --> 01:22:25.028]  But I'll tell you, politically you guys know me, but I think we're seeing more being untruthful than we are seeing being truthful in these things.
[01:22:25.048 --> 01:22:31.371]  When the questions get hard, that's every time, not every time, most of the time, he's being deceptive it looks to me like.
[01:22:31.751 --> 01:22:36.193]  So I would chase, I think if you weighed it out, it's going to be deceptive is pretty heavy.
[01:22:41.457 --> 01:22:56.688]  As they also break down in their video, what is extraordinary is the degree to which they still come to the conclusion that this guy, Hunter Biden, is extraordinarily dishonest, extraordinarily deceptive, extraordinarily deceitful, as they put it, rarely truthful.
[01:22:57.268 --> 01:23:05.575]  Despite, as they detail in their analysis, the media's attempts to cover for him the extraordinary editing occurring that they can break down.
[01:23:06.015 --> 01:23:12.721]  In particular, Scott Rouse breaks down because he has an audio background and he's able to hear it's edit after edit after edit after edit.
[01:23:13.081 --> 01:23:23.350]  They couldn't even cover for the degree and the scale and the scope and the severity of Hunter Biden's just pathological prevarication.
[01:23:24.185 --> 01:23:28.268]  And not only that, throughout the interviews, the media is doing things like that.
[01:23:28.709 --> 01:23:32.131]  Trying to, you know, shake their head, no, you're supposed to answer no now, Hunter.
[01:23:32.431 --> 01:23:33.312]  So answer no.
[01:23:33.712 --> 01:23:37.455]  And then when they want Hunter to answer yes, they're like, make sure you say yes, Hunter.
[01:23:37.975 --> 01:23:39.817]  This is a 51-year-old man.
[01:23:40.257 --> 01:23:42.358]  And yet they're having to treat him like a hopeless, reprobate 3-year-old.
[01:23:44.958 --> 01:23:54.763]  That is the mentality and mindset, that's the degree to which the media will go to cover up the corruption that we have in the White House First Family.
[01:23:55.164 --> 01:24:02.187]  That is the embarrassment that our country currently faces, but it is compounded by the corruption of our criminal justice process.
[01:24:02.587 --> 01:24:10.812]  It is compounded by the self-destructive and implosive foreign policy we're engaging in, whether it's our lack of respect for the borders,
[01:24:11.312 --> 01:24:15.253]  And encouraging a surge of illegal immigration and child trafficking?
[01:24:15.914 --> 01:24:24.197]  Or it's trying to trigger a world war in Russia and Ukraine over political nonsense from George Soros-inspired ideologue?
[01:24:24.897 --> 01:24:30.639]  In that same context, however, there has been inadequate pushback from the institutional Republican Party.
[01:24:31.406 --> 01:24:45.412]  A friend and a long-standing public intellectual, Jeremy Carl, put up this video on Twitter reminding everybody of what happens when voters try to bail out the Republican Party and how the Republican Party tends to reward those voters.
[01:24:45.832 --> 01:24:47.593]  Let's play the sheep video.
[01:24:51.604 --> 01:24:58.553]  There you go, see, working hard, going to save the Republican Party and Mitch McConnell and Kevin McCarthy and all of them.
[01:24:58.573 --> 01:24:59.615]  All right, got it back out.
[01:24:59.975 --> 01:25:01.437]  And here goes the Republican Party.
[01:25:01.457 --> 01:25:02.038]  What do they do?
[01:25:02.418 --> 01:25:03.360]  Yeah, that's what they do.
[01:25:04.061 --> 01:25:06.424]  That's the Republican Party in a nutshell.
[01:25:07.317 --> 01:25:16.860]  And that's why we have the administration we currently have because too few smart populist activists and advocates are part of the process.
[01:25:16.900 --> 01:25:21.961]  We're still relying on the Kevin McCarthy's and the Mitch McConnell's of the world.
[01:25:22.981 --> 01:25:30.343]  But what is key is the efforts of ordinary people like you to continue to fight back smartly and intelligently.
[01:25:30.962 --> 01:25:35.925]  And you do so by helping to support independent media broadcasts like InfoWars.
[01:25:36.385 --> 01:25:40.547]  That's why I recommend and I use InfoWarsStore.com.
[01:25:40.987 --> 01:25:43.849]  See, I got the bone broth behind me, but I also got Brain Force.
[01:25:44.449 --> 01:25:46.290]  It's good for the brain.
[01:25:46.830 --> 01:25:51.092]  Also, I have Ultra 12 and Everyday Winter Sun.
[01:25:51.132 --> 01:25:52.653]  In fact, that's how I start every day.
[01:25:53.033 --> 01:25:55.815]  Start with a fresh orange juice, freshly made oranges, way to go.
[01:25:56.508 --> 01:25:57.048]  Combine it.
[01:25:57.228 --> 01:26:04.351]  I take two Rainforest pills and then I put the Winter Sun and the Ultra 12 and Tumeric.
[01:26:04.731 --> 01:26:08.432]  That's how I start every single day along with InfoWars coffee.
[01:26:08.672 --> 01:26:12.953]  Because even though I'm a coffee snob, it's because I'm a coffee snob.
[01:26:13.093 --> 01:26:14.894]  It's one of the best coffees I've ever tasted.
[01:26:15.592 --> 01:26:27.296]  On top of that, if you want to chat with me any further during the week, you can always go to VivaBarnesLaw.Locals.com and that's where you can find us and find me on a daily basis.
[01:26:28.256 --> 01:26:29.657]  Let me end.
[01:26:29.817 --> 01:26:36.439]  In the capacity of independent journalism, few have been better at it than the next Alex Jones and that would be Mr. Owen Schroer.
[01:26:36.900 --> 01:26:40.901]  Owen, we'll take you through where he's been recently and what's coming up next.
[01:26:42.210 --> 01:26:42.831]  That's right, Bob.
[01:26:42.871 --> 01:26:51.079]  We had quite an interesting week here at InfoWars, myself included, down at the southern border, mostly in McAllen, Texas.
[01:26:51.119 --> 01:26:52.221]  We learned an awful lot.
[01:26:52.281 --> 01:26:59.989]  I'm going to be breaking all of that down coming up on InfoWars Sunday Night Live here starting in just three minutes from 6 to 8 p.m.
[01:27:00.329 --> 01:27:02.872]  And I'm also going to be taking your calls on
[01:27:03.212 --> 01:27:09.439]  The border emergency that's now been declared by Joe Biden, perhaps because of our reporting that he gave out illegal no-bid contracts.
[01:27:09.479 --> 01:27:14.445]  So, your calls, your observations, your questions on the border crisis, and I'll be breaking it all down.
[01:27:14.946 --> 01:27:16.187]  Bob Barnes, great work.
[01:27:16.207 --> 01:27:17.729]  We'll let you close this one out.
[01:27:19.411 --> 01:27:24.656]  It's always a privilege and always a pleasure to be on InfoWars because it's one of the critical broadcasts that keeps freedom alive in America.
[01:27:25.037 --> 01:27:26.138]  And really, that's thanks to you.
[01:27:26.598 --> 01:27:27.219]  You, the audience.
[01:27:27.499 --> 01:27:29.881]  You are what keeps the flame of liberty lit.
[01:27:30.382 --> 01:27:33.425]  So that no matter what the politicians do, they can't snuff it out.
[01:27:33.685 --> 01:27:36.027]  You keep the Liberty Bell heard for the world to hear.
[01:27:36.428 --> 01:27:41.513]  Ladies and gentlemen, we fund ourselves selling you products that are absolutely essential for you and your body.
[01:27:41.653 --> 01:27:43.294]  Because I believe in a 360 win.
[01:27:43.414 --> 01:27:44.774]  I believe in a non-zero-sum game.
[01:27:44.955 --> 01:27:47.496]  I believe that the pie can be expanded for everybody.
[01:27:47.676 --> 01:27:49.537]  I want to sell you stuff that makes your life better.
[01:27:49.617 --> 01:27:50.537]  I want the good mojo.
[01:27:50.837 --> 01:27:51.878]  I want the good karma.
[01:27:51.958 --> 01:27:52.698]  You reap what you sow.
[01:27:52.718 --> 01:27:53.378]  Whatever you call it.
[01:27:53.518 --> 01:27:55.359]  We've only got until like Sunday.
[01:27:55.499 --> 01:27:56.620]  Two and a half days left.
[01:27:56.640 --> 01:27:58.641]  Because we're doing this live on air on Friday.
[01:27:59.301 --> 01:28:07.430]  To get our multivitamin mineral concoction that is top-of-the-line quality for adults and children, Vitamin Refusion at 40% off.
[01:28:07.850 --> 01:28:09.492]  Lung Cleanse is at 50% off.
[01:28:09.792 --> 01:28:15.439]  And our great Vitamin D3, taken under the tongue sublingually, Winter Sun Plus is 40% off.
[01:28:15.899 --> 01:28:19.002]  Get these two together, Winter Sun and Vitamin Refusion, for 50% off.
[01:28:20.524 --> 01:28:22.605]  I'm up here working on a Thursday night in mid-April 2021.
[01:28:40.799 --> 01:28:41.839]  And I just want to say something.
[01:28:41.899 --> 01:28:46.661]  I am so blessed and honored to work with this incredible crew that has come together over the years.
[01:28:46.681 --> 01:28:51.604]  It is truly an answer to prayer, and I am so blessed and thankful for all of you, the listeners of this show.
[01:28:51.624 --> 01:28:54.105]  I want you to know that I love you and I appreciate you.
[01:28:54.525 --> 01:28:57.846]  Whether you are old, whether you are Hispanic, white, black, it doesn't matter.
[01:28:57.866 --> 01:28:58.646]  You've got red blood.
[01:28:59.087 --> 01:29:05.069]  And if you love freedom and justice, and if you love our innocent children, we are brothers and sisters together.
[01:29:05.269 --> 01:29:08.871]  And it has just been an incredible experience to work with you over the years.
[01:29:09.551 --> 01:29:12.553]  And as crazy as things are, I want to keep working into the future.
[01:29:13.393 --> 01:29:15.715]  But again, that's really up to you and up to God.
[01:29:16.315 --> 01:29:21.138]  So please, I hope God works through you and puts a message in your heart to support us.
[01:29:21.858 --> 01:29:23.759]  But again, that's up to you and your relationship with God.
[01:29:23.779 --> 01:29:27.722]  I just want to thank you all for the years of support you've given us and what you've done.
[01:29:28.242 --> 01:29:31.844]  And just ask you again to pray to God and ask what God's vision is for you.
[01:29:32.345 --> 01:29:35.266]  And hopefully God will touch your heart to continue to support it for worse.
[01:29:35.306 --> 01:29:35.747]  God bless.
[01:29:36.887 --> 01:29:37.908]  Good evening, everyone.
[01:29:39.110 --> 01:29:40.431]  Thank you for joining us.
[01:29:40.712 --> 01:29:42.113]  I often note I'm going to circle back.
[01:29:42.313 --> 01:29:46.838]  I hate to disappoint conservative Twitter, but I am going to circle back on a number of things, as we often do directly.
[01:29:56.954 --> 01:29:59.416]  I will venture to circle back.
[01:29:59.456 --> 01:30:01.357]  This is such a good question.
[01:30:01.457 --> 01:30:03.858]  I have not had the opportunity to dig into that.
[01:30:03.918 --> 01:30:04.679]  I'll circle back.
[01:30:04.799 --> 01:30:05.940]  It was a massive dump to this day.
[01:30:05.960 --> 01:30:07.561]  Everyone's trying to figure out where did it come from?
[01:30:07.581 --> 01:30:10.442]  I'm not aware of anything, but we'll circle back.
[01:30:10.542 --> 01:30:14.985]  As a mom myself, I want to know all the details.
[01:30:15.005 --> 01:30:15.926]  I have to circle back.
[01:30:16.006 --> 01:30:17.927]  You know what I mean?
[01:30:17.947 --> 01:30:21.009]  I will venture to get you an answer on that and maybe we can talk about it and you'll circle back.
[01:30:22.188 --> 01:30:24.350]  I will have to circle back on that one.
[01:30:25.071 --> 01:30:26.533]  But, uh, we'll circle back.
[01:30:26.553 --> 01:30:29.396]  Alright, I will have to circle back with you.
[01:30:29.836 --> 01:30:31.538]  Let me give you a very specific example.
[01:30:40.708 --> 01:30:43.550]  We won't disappoint you, but we will venture to circle back.
[01:30:43.570 --> 01:30:44.932]  This president knew back in January.
[01:30:45.012 --> 01:30:45.652]  Why didn't he tell us?
[01:30:45.692 --> 01:30:46.173]  Why didn't he warn us?
[01:30:46.193 --> 01:30:48.495]  There are a number of ways to combat misinformation.
[01:30:48.535 --> 01:30:49.936]  One of them is circle back.
[01:30:49.956 --> 01:30:52.598]  You told us that Trump was invincible, but he was in a prison, right?
[01:30:52.618 --> 01:30:54.560]  I don't really have any predictions for you on that.
[01:30:54.580 --> 01:30:55.521]  I can circle back.
[01:30:57.062 --> 01:31:00.486]  Um, let me see if I can get more detail for you on that.
[01:31:00.506 --> 01:31:03.690]  I signed something saying that if I'm wrong, I can go to prison.
[01:31:03.710 --> 01:31:03.950]  Did you?
[01:31:03.970 --> 01:31:06.853]  We'll try to get to as many questions as possible.
[01:31:07.374 --> 01:31:09.876]  I don't have anything more for you.
[01:31:09.937 --> 01:31:11.658]  And that communication has been lacking.
[01:31:12.880 --> 01:31:16.724]  Well, as you know... Let me give you a very specific example.
[01:31:19.636 --> 01:31:20.057]  We're good.
