[00:00:00.572 --> 00:00:04.636]  Dr. Fauci, as you are aware, it is a crime to lie to Congress.
[02:10:13.263 --> 02:10:16.906]  I don't know anybody of any type of sexuality that had to be converted.
[02:10:16.946 --> 02:10:19.007]  I mean, we all grew up, we were all kids.
[02:10:19.508 --> 02:10:20.328]  You figured it out.
[02:10:20.489 --> 02:10:23.331]  It takes time to develop your personality.
[02:10:24.612 --> 02:10:28.875]  This whole war against our children is psychological.
[02:10:30.919 --> 02:10:41.541]  The rainbow, the bright colors, any teacher, any parent, any counselor, you know that children are attracted to bright colors.
[02:10:43.001 --> 02:10:47.662]  How many cartoons have they made to entertain children that use bright colors?
[02:10:48.663 --> 02:10:49.603]  How many videos?
[02:10:49.663 --> 02:10:50.603]  How many toys?
[02:10:51.563 --> 02:10:53.223]  How many educational seminars?
[02:10:53.424 --> 02:10:56.584]  Everything you see represents a rainbow.
[02:11:00.105 --> 02:11:00.605]  Look at this.
[02:11:03.066 --> 02:11:05.867]  This is happening right before our eyes.
[02:11:06.348 --> 02:11:12.811]  Why does a child need to know what an adult prefers sexually?
[02:11:15.392 --> 02:11:16.933]  How is that on the front line?
[02:11:19.054 --> 02:11:22.715]  When we were kids, we were just trying to figure out how do we spell our name?
[02:11:23.196 --> 02:11:26.077]  How do we color inside of a straight line?
[02:11:27.037 --> 02:11:29.098]  How do we finish a complete sentence?
[02:11:30.619 --> 02:11:31.980]  Let alone trying to figure out
[02:11:32.932 --> 02:11:37.254]  What we had in our pants or how to use it.
[02:11:40.135 --> 02:11:45.898]  Most of the drag queens that I see entertaining children, they look like cartoon characters.
[02:11:45.938 --> 02:11:51.181]  And another thing with this clip that's playing right here, has anybody paid attention to that?
[02:11:51.221 --> 02:11:57.584]  The front runners of this movement are always brown or black, even with the flag.
[02:11:59.161 --> 02:12:01.123]  They added the black and brown stripes.
[02:12:01.543 --> 02:12:05.907]  How did sexuality all of a sudden tie to a minority?
[02:12:08.189 --> 02:12:12.333]  Why are people being defined by their sexual preference?
[02:12:12.753 --> 02:12:15.435]  When I meet you, I don't need to know that you're gay.
[02:12:15.495 --> 02:12:17.017]  I don't even need to know that you're straight.
[02:12:17.237 --> 02:12:21.421]  Tell me your name, what type of business you're in, and how we can work together, and I'm good.
[02:12:21.781 --> 02:12:25.845]  What you do in your bedroom is not my concern.
[02:12:28.314 --> 02:12:30.397]  Let's get back to common sense, America.
[02:12:31.298 --> 02:12:32.860]  Let's go against censorship.
[02:12:33.401 --> 02:12:36.184]  Let's go against the sexual perversion of our children.
[02:12:36.525 --> 02:12:38.908]  And let's stop being blinded by fake news.
[02:12:39.068 --> 02:12:39.909]  I've enjoyed it today.
[02:12:40.450 --> 02:12:45.236]  Angela Stanton King, I mean, Angela Stanton, EPK.com, caught in a coup.
[02:12:50.447 --> 02:13:01.196]  Because a select few are addicted to the narcotic of power, like hopeless opium junkies, the new normal dictates that freedom must be relegated to the dustbin of history.
[02:13:01.376 --> 02:13:03.778]  But it isn't merely a temporary tyranny.
[02:13:04.018 --> 02:13:11.444]  These lunatics are driving humanity towards the endgame implementation of the biometric ID enslavement plan,
[02:13:11.764 --> 02:13:20.251]  Wargamed 11 years ago by the Rockefeller Foundation's Operation Lockstep, which has almost completely unfolded as it was written.
[02:13:20.531 --> 02:13:28.877]  The implementation of a full-blown biometric ID system won't merely address the fears and control of the COVID cult.
[02:13:29.218 --> 02:13:31.259]  How much control of information should there be?
[02:13:31.860 --> 02:13:32.440]  And by whom?
[02:13:33.281 --> 02:13:35.823]  And how can false information be effectively challenged?
[02:13:37.068 --> 02:13:41.049]  And what if that false information is coming from companies or from governments?
[02:13:41.650 --> 02:13:53.154]  We're at a moment where the social media platforms have to step forward and recognize the moment to assert that they're a technology platform and not a broadcaster is over.
[02:13:53.954 --> 02:14:01.697]  They in fact have to be a participant in broadcasting accurate information and partnering with the scientific and health communities to
[02:14:02.597 --> 02:14:06.619]  Counterweight, if not flood the zone, of accurate information.
[02:14:06.699 --> 02:14:12.262]  Because to try to put the genie back in the bottle of the misinformation and disinformation is nigh impossible.
[02:14:12.522 --> 02:14:22.328]  One thing we haven't spoken about, and I'm wondering whether it's time to talk about this, is a step up from the part of the government on enforcement actions against fake news.
[02:14:22.808 --> 02:14:24.469]  This is an enormous task.
[02:14:25.714 --> 02:14:32.713]  The fingerprints and eye scans of every Indian in the country are being taken and collated into an online database.
[02:14:34.454 --> 02:14:38.757]  When complete, everyone will have a unique 12-digit identity number.
[02:14:39.297 --> 02:14:43.660]  It'll enable them to access India's vast and unwieldy welfare state.
[02:14:44.020 --> 02:14:55.767]  It will enslave humanity in other levels of technocracy, including a functional MRI scanner at airports and public places to detect abnormal behavior and anti-social intent.
[02:14:56.008 --> 02:15:02.792]  A cheaper, lower-bandwidth telepresence technology that serves those who are under permanent lockdown.
[02:15:03.152 --> 02:15:11.468]  Eventually a China-style firewall will fracture the internet as it is driven by protectionism and national security concerns.
[02:15:12.552 --> 02:15:22.537]  Biometric systems can recognize a person's specific physical attributes, their fingerprints, facial features, iris, or retina.
[02:15:22.597 --> 02:15:34.384]  The technology is already used around the world, by the Somali army, Indian doctors, and for authenticating patients for important drugs, or for online banking on smartphones.
[02:15:36.192 --> 02:15:43.076]  There are even systems that look under your skin, so to speak, such as infrared scanners that are used in vein matching.
[02:15:43.596 --> 02:15:50.400]  Oxygen-poor blood in veins absorbs more infrared light than surrounding tissue so that vein patterns can be matched.
[02:15:51.220 --> 02:15:55.243]  You know, I was a lab technician myself.
[02:15:55.963 --> 02:15:58.885]  I'm immunologist and I have worked in the lab.
[02:15:59.964 --> 02:16:02.105]  And lab accidents happen.
[02:16:02.825 --> 02:16:03.445]  It's common.
[02:16:04.005 --> 02:16:27.632]  It is vital that we determine without question that the coronavirus is absolutely a biological weapon released by the communist Chinese government, who appear at the center of Operation Lockstep as the totalitarian heroes they were made out to be in 2020, just as they were depicted by the Rockefeller Foundation 11 years earlier in Operation Lockstep.
[02:16:28.052 --> 02:16:35.339]  Our government has become powerless at wielding justice against the corruption, tightening its grip on the levers of control.
[02:16:35.659 --> 02:16:43.747]  That we openly live in a system that if an individual plans a murder, they are charged with premeditated murder in the first degree.
[02:16:44.087 --> 02:16:50.013]  But if globalist think tanks in league with the United Nations and the communist Chinese government
[02:16:50.373 --> 02:17:00.336]  Literally print a document with the intent of the advancement of genocide and technocratic tyranny on a global scale that actually comes to pass.
[02:17:00.716 --> 02:17:03.597]  Well then, it's just business as usual.
[02:17:04.017 --> 02:17:05.257]  John Bowne reporting.
[02:17:05.457 --> 02:17:09.878]  You're watching the American Journal with Harrison Smith.
[02:17:09.918 --> 02:17:11.899]  The Alex Jones Show.
[02:17:12.239 --> 02:17:17.300]  This is the War Room with Owen Schroeder.
[02:17:17.360 --> 02:17:19.801]  The most banned network in the world.
[02:17:21.618 --> 02:17:43.028]  We are live, it is the Summit News Hour, and I'm going to cover a new story that just broke about an hour ago, probably in the next segment, where the top health official in Australia is now literally telling people in Australia that they can't have conversations with each other because they found one new COVID case in that area of Australia.
[02:17:43.872 --> 02:17:51.415]  In New South Wales, but I'm going to get into that later because of course we celebrated Freedom Day here in London, here in the UK, yesterday.
[02:17:51.835 --> 02:18:03.979]  When all coronavirus restrictions were supposed to be lifted, the Freedom Day protesters, the actual freedom protesters, went out onto the streets once again and they celebrated their freedom.
[02:18:04.039 --> 02:18:07.820]  They were able to respect, embrace, embody and communicate their freedom.
[02:18:08.596 --> 02:18:14.698]  By having seven shades of hell beaten out of them by the police because we're so free.
[02:18:16.538 --> 02:18:37.123]  Of course, we have a situation now whereby even though these restrictions have been lifted, I would say from personal experience, just from walking around today, despite the fact that there's no law that says you have to wear a mask in a shop, in most other places, I think only airports are the ones who actually can legally enforce it, but maybe not even them.
[02:18:39.163 --> 02:18:41.004]  80% of people are still wearing the masks.
[02:18:41.044 --> 02:18:44.585]  We had the hottest day so far this year in the UK yesterday.
[02:18:44.985 --> 02:18:46.666]  Today is almost as hot.
[02:18:47.146 --> 02:18:50.067]  People still wearing masks outside.
[02:18:50.467 --> 02:18:58.269]  People literally sat down outside with no one else around them, eating their lunch and then putting the mask back on in between bites.
[02:18:59.010 --> 02:19:06.552]  People queuing up, again with no one around them, two or three people in a queue, to eat at an outdoor restaurant
[02:19:07.327 --> 02:19:22.359]  Wearing their masks from the point where you meet the person at the front desk of the restaurant to where you sit down ten yards away, outside the entire time, but wearing their masks when they stand there to book their table.
[02:19:23.032 --> 02:19:25.134]  Why is everyone so petrified?
[02:19:25.214 --> 02:19:27.136]  Why is everyone so brainwashed?
[02:19:27.537 --> 02:19:29.378]  Why does this have a lasting effect?
[02:19:29.699 --> 02:19:31.000]  Well, it's not just a cliche.
[02:19:31.080 --> 02:19:34.564]  It was a deliberate military psyops operation.
[02:19:34.844 --> 02:19:36.045]  We have the documents on it.
[02:19:36.085 --> 02:19:36.906]  They've all come out.
[02:19:36.926 --> 02:19:43.613]  Of course, the vast majority of the British population don't know this, but we know why they're so cowed, why they're so
[02:19:44.814 --> 02:20:04.609]  Jellyfish-like in their complete subservience and total compliance to these mandates, which even though the government says they now don't have to comply with in a number of cases, they're doing so of their own accord because they've been so terrified because they were given a completely false picture of the lethality of this virus from the very beginning.
[02:20:04.629 --> 02:20:06.310]  There's a book called
[02:20:07.179 --> 02:20:11.562]  A State of Fear by Laura Doddsworth, which has made waves here in the UK.
[02:20:12.083 --> 02:20:32.678]  And she got the documents proving that at the start of the pandemic, the government made a conscious decision to shift from handling the outbreak of this pandemic via the textbook basis of how they would handle all historical pandemics before it, which is to protect the vulnerable and then allow everyone else to go about their lives in order to achieve herd immunity.
[02:20:32.978 --> 02:20:35.440]  That was how we dealt with every other major pandemic in the past.
[02:20:36.334 --> 02:20:55.929]  But they made a rapid decision to do a U-turn on that in the early days of the pandemic, right before the lockdown was announced here in the United Kingdom towards the end of March 2020, when they literally allowed behavioural scientists, not virologists, not medical scientists, behavioural scientists
[02:20:56.429 --> 02:21:07.297]  GCHQ and the British military to take over the task of informing the population of how they should respond to the pandemic.
[02:21:07.817 --> 02:21:12.300]  Of course, by informing they literally mean brainwashing and mind control.
[02:21:12.701 --> 02:21:22.908]  Totalitarian, unethical methods of brainwashing and mind control, which they themselves admitted to Laura Dodsworth, the author who published this book.
[02:21:23.897 --> 02:21:27.040]  This was the scientific pandemic influenza group on behaviors.
[02:21:27.580 --> 02:21:33.445]  Again, behavioral scientists weaponizing their trade to kowtow people into being terrified of the virus.
[02:21:34.366 --> 02:21:44.695]  And they did so because they thought that many people, quote, still do not feel sufficiently personally threatened, and that the perceived level of personal threat needs to be increased.
[02:21:45.236 --> 02:21:49.860]  Because that's the only way they thought people would comply with any of these mandates whatsoever.
[02:21:50.856 --> 02:22:03.349]  Which was completely wrong, by the way, because most people were complaining with the social distancing and the hand-washing for weeks and maybe even more than a month before the lockdown was brought into legal force.
[02:22:04.625 --> 02:22:19.076]  So we have the behavioral scientists on the SAGE committee, who again aren't medical scientists, telling the government that they need to use totalitarian unethical propaganda brainwashing methods, lie to the public in order to make them terrified, to make them more compliant.
[02:22:19.416 --> 02:22:20.637]  That's exactly what happened.
[02:22:21.918 --> 02:22:28.263]  She also writes, and this is covered in the article out of the Telegraph, Life Inside the Fear Factory Government Keeps Us on High Alert.
[02:22:29.424 --> 02:22:30.665]  She also writes about the RICU.
[02:22:32.443 --> 02:22:45.636]  Which is the Home Office, the British Government's research, information and communications unit, which attempts to covertly engineer the thoughts of people by providing to support to bodies seen by the public as grassroots organisations.
[02:22:46.196 --> 02:22:50.581]  So it's about all these committees that aren't actually officially government bodies.
[02:22:51.221 --> 02:23:02.904]  They're just liaising with the government and then they've got their fingers in the pie of all these other influencers, cultural groups, celebrities and people like that, who they then use to propagandize the public even more.
[02:23:04.085 --> 02:23:13.067]  She also writes of another group, the Rapid Response Unit, based in number 10 Downing Street, and the Counter Disinformation Cell,
[02:23:13.840 --> 02:23:16.744]  ...attached to the Department for Digital, Culture, Media and Sport.
[02:23:16.764 --> 02:23:23.713]  Again, it's attached, it's not explicitly government, which means they can get away with doing more things, but they're basically telling the government what to do.
[02:23:24.798 --> 02:23:41.125]  Both of which monitor social media and tackle fake news, including, Doddsworth claims, YouTube videos by doctors who contradict WHO guidance on COVID, despite the fact that the WHO itself, in its own advice, contradicted itself on COVID innumerable times.
[02:23:41.785 --> 02:23:49.549]  They said there was no human-to-human transmission of COVID on January 14th because the Communist Chinese government told them, and we can trust them, right?
[02:23:50.476 --> 02:24:17.397]  So again it's all these subgroups that aren't even government entities, slimy shadowy groups that have basically seized control of the government and you know that because of what came out yesterday from what the Prime Minister Boris Johnson was saying at the start of this lockdown, which was the quote, this was October that this came out, of course he said it back in March, but then it's just been released today publicly or yesterday,
[02:24:18.624 --> 02:24:23.367]  He says, I must say, remember this is Boris Johnson at the start of the pandemic, before lockdown.
[02:24:23.787 --> 02:24:27.669]  I must say I've been slightly rocked by some of the data on COVID fatalities.
[02:24:27.969 --> 02:24:34.033]  The median age of death is 82, 81 for men, 85 for women.
[02:24:34.073 --> 02:24:38.655]  That's above life expectancy, so get COVID and live longer.
[02:24:38.895 --> 02:24:45.539]  This is what Dominic Cummings, who was in number 10 Downing Street, says Boris Johnson said about the pandemic at its origin.
[02:24:46.522 --> 02:24:52.945]  He said hardly anyone under 60 goes into hospital 4% and all of those virtually all survive.
[02:24:53.545 --> 02:24:56.907]  And I no longer buy all this NHS overwhelmed stuff.
[02:24:57.407 --> 02:24:59.248]  I think we may need to recalibrate.
[02:24:59.268 --> 02:25:08.813]  That's Boris Johnson admitting that the lockdown strategy was a complete failure because the average age of death was 82 and above.
[02:25:09.173 --> 02:25:13.315]  And when somebody did a Freedom of Information Act request to the UK government,
[02:25:14.133 --> 02:25:24.666]  They asked them the question, how many of these deaths in the official COVID death toll figure of the UK are from COVID alone, with no comorbidities?
[02:25:25.126 --> 02:25:30.953]  And they got an answer, and it's still on the government official website, Office of National Statistics, I'm looking at it right now.
[02:25:32.139 --> 02:25:41.026]  The UK government admits 8.9% of the COVID death toll died solely of COVID with no other comorbidities.
[02:25:41.386 --> 02:25:47.952]  So the official true death toll figure is less than one tenth of what they're telling the public it is.
[02:25:48.392 --> 02:25:55.358]  So is it any surprise that people are still so terrified, they're still wearing masks even though they're not legally obliged to?
[02:25:55.378 --> 02:25:59.481]  Is it any surprise that we had a poll last year, last summer indeed,
[02:26:00.424 --> 02:26:06.328]  Which found that the average Brit thought coronavirus was 100 times more deadly than it actually is.
[02:26:06.368 --> 02:26:13.452]  They thought 6-7% of the population, this was a year ago, had died of COVID-19.
[02:26:14.232 --> 02:26:23.918]  Again, it was not only 100 times less, it was 1-10th the official figure they told us was actually those who had died of COVID without any comorbidities.
[02:26:24.861 --> 02:26:26.982]  That's why people are still wearing masks.
[02:26:27.062 --> 02:26:30.184]  That's why they're still walking around with terrified looks on their faces.
[02:26:30.565 --> 02:26:45.434]  And that's why they support vaccine passports, which are now going to expand into every area of society as we increasingly devolve into a communist Chinese style social credit score, biosecurity, police state.
[02:26:45.874 --> 02:26:47.835]  And that's what I'm going to get into on the other side.
[02:26:47.855 --> 02:26:54.059]  They're now saying people who attend football matches, people who want to go to nightclubs, people who want to go to crowded venues.
[02:26:54.459 --> 02:26:57.301]  It just keeps expanding further and further.
[02:26:57.341 --> 02:26:58.201]  This is Summit News.
[02:26:58.241 --> 02:26:59.502]  We'll be back after the break.
[02:26:59.922 --> 02:27:00.443]  Don't go away.
[02:27:01.343 --> 02:27:09.808]  So in her book, A State of Fear, Laura Doddsworth documents how there are behavioral insight teams operating within at least 10 government departments.
[02:27:09.868 --> 02:27:11.589]  Again, these aren't official government bodies.
[02:27:11.609 --> 02:27:14.171]  They're quasi-government, quasi-private bodies.
[02:27:15.205 --> 02:27:18.988]  We're tasked with manipulating and propagandizing the British public.
[02:27:19.888 --> 02:27:34.419]  We also literally have the UK Army, the British Army, which is only supposed to focus propaganda campaigns to foreign adversaries being turned inwards on the UK population at the start of this pandemic.
[02:27:35.200 --> 02:27:38.522]  Again, this is out the article inside the fear factory out of the Telegraph.
[02:27:39.483 --> 02:27:40.884]  She says some people believe
[02:27:41.835 --> 02:27:56.840]  And oh, you can believe it if you've seen the thread responses on Twitter where it's the announcement of a new lockdown policy, then below it, word for word, different bot accounts copying the same copy-paster thing where it says, oh, this isn't enough lockdown.
[02:27:56.880 --> 02:27:58.240]  We need more strict lockdowns.
[02:27:58.260 --> 02:27:59.381]  We need it for another year.
[02:27:59.961 --> 02:28:04.202]  Exactly the same text to flood the comments, to flood these Twitter threads.
[02:28:04.562 --> 02:28:05.602]  It's bots doing it.
[02:28:05.963 --> 02:28:07.983]  China's done that for over a decade.
[02:28:08.023 --> 02:28:10.124]  They literally hire millions of people
[02:28:10.859 --> 02:28:18.950]  To manipulate public opinion and to create fake consensus on social media by amplifying Chinese government propaganda narratives.
[02:28:19.891 --> 02:28:28.503]  And now because apparently China's great and we're aping and mimicking everything they do because authoritarian tyranny is so cool now, we get that done to us.
[02:28:29.480 --> 02:28:48.056]  And it was the British military and these other behavioral insight groups who have infested our government that literally took that fake Chinese propaganda of the video footage of people convulsing and collapsing on the street before the lockdowns in the West were implemented, again to terrify the public into going along with it.
[02:28:48.596 --> 02:28:56.221]  Despite the fact we know they were completely faked, convulsing and collapsing and falling down on the street has never been a symptom of COVID.
[02:28:56.241 --> 02:28:57.562]  It wasn't then, it isn't now.
[02:28:57.642 --> 02:28:58.882]  It was completely faked.
[02:28:58.942 --> 02:29:13.491]  It was a complete hoax, amplified by the media, amplified by the likes of this 77th Brigade, which is literally the British military propagandizing its own people when it's supposed to be focusing its direction out to foreign adversaries.
[02:29:13.992 --> 02:29:16.873]  So she says some people believe they've been targeted by the 77th Brigade.
[02:29:18.863 --> 02:29:29.026]  Part of the 6th Division of the Army, which according to the Ministry of Defense uses, quote, legitimate non-military levers as a means to adapt behaviors of the opposing forces and adversaries.
[02:29:29.727 --> 02:29:34.108]  When she inquired about the activities of some of these bodies, she says, I hit a brick wall.
[02:29:34.188 --> 02:29:39.390]  And I find that when someone puts up a brick wall, it's because that's where the real story lies.
[02:29:40.470 --> 02:29:48.193]  Now, another one of these behavioral insight weaponization of propaganda techniques was centered around the wearing of masks.
[02:29:49.056 --> 02:30:03.111]  As we know, at the start of the pandemic, the WHO, every major public health body in developed countries, said masks, non-surgical masks, which is the one that everyone's wearing still, don't do anything to stop COVID.
[02:30:03.996 --> 02:30:08.618]  We've had the best part of a year in the United Kingdom wearing these masks by law.
[02:30:09.598 --> 02:30:11.279]  The case numbers kept going up.
[02:30:11.799 --> 02:30:12.799]  Same thing in Spain.
[02:30:12.839 --> 02:30:20.542]  I was in Spain last summer right after they mandated masks everywhere, literally in 40 degree heat outside having to wear a mask.
[02:30:21.320 --> 02:30:27.101]  And the police in Spain aren't like the Benny Hill bobbies that we have here in the UK.
[02:30:27.441 --> 02:30:32.842]  They're big, butch, tough guys and they will literally pin you down and handcuff you.
[02:30:32.882 --> 02:30:36.543]  We've seen that on many occasions, literally people being beaten up for not wearing masks.
[02:30:37.863 --> 02:30:40.283]  Again, it was all complete baloney propaganda.
[02:30:40.403 --> 02:30:49.245]  Anthony Fauci, in his own emails right back at the start of the pandemic in February, said the masks are completely useless.
[02:30:50.089 --> 02:30:57.035]  Now we have another government advisor, one who actually speaks some sense, going public yesterday.
[02:30:57.055 --> 02:31:02.299]  The headline is Government Advisor Admits Masks Are Just Comfort Blankets That Do Virtually Nothing.
[02:31:03.320 --> 02:31:07.243]  Making the point, and this is Dr Colin Axon, a SAGE advisor for the government,
[02:31:08.417 --> 02:31:17.605]  One who actually wants to get back to normal and not implement these mandates forever, as the hardline communist Susan Michie has said over and over again.
[02:31:18.685 --> 02:31:32.096]  He told the London Telegraph that medics have given people a cartoonish view of how microscopic viruses travel through the air and the masks have gaps in them that are up to 5,000 times bigger than COVID particles.
[02:31:32.577 --> 02:31:37.741]  The particle is 5,000 times smaller than the holes in the fabric of that mask.
[02:31:38.161 --> 02:31:39.903]  They go straight through.
[02:31:39.923 --> 02:31:50.094]  This is why it's completely cartoonish pantomime nonsense that people wear a mask for the five foot walk to their dinner table.
[02:31:50.354 --> 02:31:54.638]  They've been doing that for the past, what, seven months here in the UK at least.
[02:31:55.039 --> 02:31:56.260]  Complete pantomime act.
[02:31:57.041 --> 02:31:58.122]  He made the analogy.
[02:31:58.877 --> 02:32:06.584]  He said the small sizes are not easily undisturbed, but an imperfect analogy would be to imagine marbles fired at a builder's scaffolding.
[02:32:07.065 --> 02:32:10.568]  Some might hit a pole and rebound, but obviously most will fly through.
[02:32:11.710 --> 02:32:15.132]  And these are the great protective devices that we've all been mandated to wear.
[02:32:15.672 --> 02:32:19.914]  These have been used to create yet more division, turmoil, confrontations in society.
[02:32:20.194 --> 02:32:21.575]  Completely useless!
[02:32:22.195 --> 02:32:23.716]  Fauci knew it from the start.
[02:32:24.196 --> 02:32:27.377]  All these behavioural insight manipulators knew it from the start.
[02:32:27.677 --> 02:32:29.178]  But the decision was made.
[02:32:30.419 --> 02:32:35.141]  Right when they introduced all these mask mandates after previously saying there was no point because they don't do anything.
[02:32:35.842 --> 02:32:40.307]  This isn't about a medical response that's going to stop the spread of the transmission of the virus.
[02:32:40.728 --> 02:32:46.395]  This is about enforcing compliance via coercion.
[02:32:46.475 --> 02:32:53.944]  And they literally said that in the same documents that I talked about previously in regard to the UK and these behavioral insight teams.
[02:32:55.666 --> 02:33:06.694]  Goes on to say, noting the mask debate is about the particle journey, Axon explained that masks can catch droplets and sputum from a cough, which is why people in hospitals wear them when they're doing medical procedures.
[02:33:07.535 --> 02:33:09.556]  But they're wearing different masks entirely.
[02:33:10.176 --> 02:33:14.860]  But what's important is that SARS-CoV-2 is predominantly distributed by tiny aerosols.
[02:33:15.729 --> 02:33:19.093]  It says a COVID viral particle is around 100 nanometers.
[02:33:19.173 --> 02:33:25.720]  Material gaps in blue surgical masks, which is what most people wear, are up to 1,000 times that size.
[02:33:26.320 --> 02:33:29.464]  Cloth mask gaps can be 500,000 times the size.
[02:33:32.304 --> 02:33:41.266]  So the holes in the masks of what a great majority of people are walking around wearing, thinking they're protecting themselves and others and being a good person.
[02:33:41.946 --> 02:33:43.106]  You idiot!
[02:33:43.346 --> 02:33:51.348]  The holes in that stupid face nappy that you're wearing are 500,000 times bigger than the virus particle.
[02:33:51.428 --> 02:33:52.668]  It's all pantomime.
[02:33:52.788 --> 02:33:54.348]  It's all nonsense.
[02:33:56.149 --> 02:33:58.329]  As Fauci admitted in his own emails.
[02:33:59.184 --> 02:34:03.468]  The professor noted that those aerosols escape masks and will render the mask ineffective.
[02:34:03.949 --> 02:34:05.951]  And yet, still, what do we have today?
[02:34:06.651 --> 02:34:13.098]  Zero Hedge reports, is this why a child doctor's group suddenly demanded all kids over 2 wear masks at school?
[02:34:13.838 --> 02:34:15.580]  Even though they're going to vaccinate them.
[02:34:16.941 --> 02:34:22.547]  Says, in case you wondered why the American Academy of Pediatricians would overrule the CDC's science, consider this.
[02:34:23.280 --> 02:34:27.344]  The American Academy of Pediatrics wants all kids masked until vaccinated.
[02:34:27.704 --> 02:34:30.467]  Let's go to their website and see who the biggest donor is.
[02:34:30.907 --> 02:34:32.168]  Oh look, it's Pfizer!
[02:34:32.528 --> 02:34:33.629]  Well, imagine my shock.
[02:34:34.410 --> 02:34:40.976]  So they're demanding kids over the age of two years old wear the masks, despite knowing that the masks are completely useless.
[02:34:41.296 --> 02:34:49.404]  The virus particle is, in the case of the cloth masks, 500,000 times smaller than the fabric, the hole in the fabric in the mask.
[02:34:50.319 --> 02:34:53.320]  It was never intended to stop the spread of COVID.
[02:34:53.720 --> 02:35:01.822]  The one peer-reviewed study, the one contemporary peer-reviewed study into the efficacy of masks was the Danmask trial study in Denmark.
[02:35:02.162 --> 02:35:04.122]  They took 6,000 participants.
[02:35:04.522 --> 02:35:14.305]  They found that those who wore the mask and those didn't, there was no statistical difference between those who got infected with COVID and those who didn't based on wearing a mask.
[02:35:14.625 --> 02:35:19.866]  And there's no study that exists that proves masks work to any great degree.
[02:35:20.246 --> 02:35:31.533]  It was an exercise in coercing compliance because they knew if they could get away with that, then they can get away with the next stage, which is vaccine passports, which I'll talk about in the next segment.
[02:35:32.794 --> 02:35:41.840]  So Australia, from the very beginning, was one of the most authoritarian, draconian countries in the developed world when it came to enforcing these lockdowns.
[02:35:41.920 --> 02:35:45.082]  In fact, I remember writing stories in the early months of the pandemic
[02:35:45.845 --> 02:35:57.548]  Where they would announce the lockdown on the news and then literally have police and security guards standing outside apartment blocks to prevent people from leaving their own apartments.
[02:35:57.588 --> 02:36:12.331]  We had an article and a video from Australia where a woman was arrested for the crime, the egregious crime of organizing an anti... in fact I don't even think she organized it, I think she just promoted it on Facebook.
[02:36:13.078 --> 02:36:21.461]  Pregnant woman, the police in Australia showed up to her house, burst into her house and arrested her in front of her husband and her kids.
[02:36:22.162 --> 02:36:33.246]  They passed laws in Australia which gave the government permission to seize, remove children from the custody of their parents to ensure compliance with coronavirus rules.
[02:36:34.488 --> 02:36:44.275]  They used surveillance drones to catch people who weren't wearing masks outside and to keep track of cars that travel further than five kilometers from home.
[02:36:45.175 --> 02:36:51.119]  They gave themselves the power to enter people's homes without a warrant and perform spot checks.
[02:36:52.420 --> 02:36:55.943]  We showcased another video, there you see the pregnant woman being arrested.
[02:36:57.162 --> 02:36:58.683]  It's always interesting, by the way.
[02:36:59.123 --> 02:37:05.106]  I go back and I remember writing these articles, this one from September last year, so it's about 10 months old.
[02:37:05.686 --> 02:37:12.529]  I always go back to these articles and notice that the videos that were originally there have all been deleted on Twitter.
[02:37:12.589 --> 02:37:13.570]  Well, what a surprise!
[02:37:14.090 --> 02:37:18.172]  Either because they've made them delete the tweet or they've just suspended the account.
[02:37:18.652 --> 02:37:20.413]  So, I mean, you can see the screenshot.
[02:37:20.713 --> 02:37:23.975]  You can't watch the actual videos in many cases because they get deleted.
[02:37:24.946 --> 02:37:30.855]  The point is though, Australia is the most draconian, most authoritarian country in the developed world to enforce these lockdowns.
[02:37:31.836 --> 02:37:33.619]  And they're going for this disastrous...
[02:37:35.023 --> 02:37:39.286]  Crazy, insane policy of trying to achieve zero COVID.
[02:37:39.326 --> 02:37:49.134]  The same as New Zealand, because they've got it better in terms of being able to close their borders, but they think that by doing this they can just eliminate the virus altogether.
[02:37:49.654 --> 02:37:57.460]  So whenever you get a single case of it, a single case, they all freak out and they put everyone under lockdown again.
[02:37:57.900 --> 02:38:01.223]  Everyone in an entire city under lockdown because of one case.
[02:38:02.303 --> 02:38:04.165]  In fact, we highlighted it last month.
[02:38:05.305 --> 02:38:15.408]  Alice Springs, a town in Australia 800 miles away from the nearest city, went into full lockdown after just a single new case of Covid was detected.
[02:38:15.928 --> 02:38:16.688]  One case!
[02:38:17.248 --> 02:38:23.630]  The city's 800 miles away from any nearest other city and the entire city goes under lockdown.
[02:38:24.050 --> 02:38:32.532]  Well now it's gotten even worse for Australians and this is really a new level of inhumanity because the top health official in New South Wales
[02:38:33.627 --> 02:38:35.868]  And we've got a clip which we'll roll here in a second.
[02:38:36.868 --> 02:38:41.870]  Now says that Australians shouldn't be having conversations with each other.
[02:38:41.890 --> 02:38:47.552]  They're not just preventing them from meeting in bars, restaurants, theatres, cinemas, etc.
[02:38:47.932 --> 02:38:51.293]  They're now literally telling people they can't talk to each other.
[02:38:51.413 --> 02:38:53.074]  This is the government in Australia.
[02:38:53.894 --> 02:38:55.935]  Chief Health Officer of New South Wales.
[02:38:56.638 --> 02:38:57.818]  They all look the same, by the way.
[02:38:57.838 --> 02:39:02.619]  This woman looks exactly the same as that communist hardliner, Susan Michie.
[02:39:03.040 --> 02:39:06.140]  They all look like middle-aged Karen women with their masks on.
