[00:00:19.286 --> 00:00:21.367]  It's Wednesday, August 25th.
[02:44:40.410 --> 02:44:42.111]  With you, we surge forward together.
[02:44:42.111 --> 02:44:44.152]  It's like the bulldozer without the diesel fuel.
[02:44:44.152 --> 02:44:46.774]  If we don't have your financial support, we will be defeated.
[02:44:46.774 --> 02:44:50.216]  You support us and get products you already need that literally fuel your body and your mind?
[02:44:50.216 --> 02:44:51.617]  It's a win-win.
[02:44:51.617 --> 02:44:52.298]  360 together.
[02:44:52.298 --> 02:44:53.758]  Infowarsstore.com or AAA253-3139.
[02:44:58.126 --> 02:45:02.469]  All of the experts agree that getting proper sleep is the cornerstone of good health.
[02:45:02.469 --> 02:45:13.077]  It has been proven that a poor sleep schedule is linked with numerous health problems, including weight gain, memory issues, mood changes, poor concentration, and even a weakened immune system.
[02:45:13.077 --> 02:45:19.282]  Introducing RocketRest, the new product from our Dr. Jones Naturals line at InfowarsStore.com.
[02:45:19.282 --> 02:45:27.388]  The new RocketRest formula is loaded with the best natural ingredients to help not only improve your quality of sleep, but help you wake up feeling refreshed.
[02:45:27.808 --> 02:45:37.916]  Many competitors sleep formulas focus only on getting you to sleep, but Rocket Rest was specifically formulated to help you feel rested and ready to take on the next day.
[02:45:37.916 --> 02:45:45.722]  It uses a unique quick-release capsule system to ensure fast delivery of deep sleep support ingredients like melatonin and magnesium.
[02:45:45.722 --> 02:45:50.426]  Rocket Rest helps you fall asleep fast, stay asleep, and wake up feeling rested.
[02:45:50.426 --> 02:45:56.111]  So get the new Rocket Rest formula from Dr. Jones Naturals right now at InfoLureStore.com.
[02:45:58.254 --> 02:46:02.015]  Not all vitamin and mineral supplements are equal.
[02:46:02.015 --> 02:46:03.116]  Many of them are synthetic.
[02:46:03.116 --> 02:46:05.077]  Many of them have fillers and additives.
[02:46:05.077 --> 02:46:08.098]  Many of them just pass right through the body and are not absorbed.
[02:46:08.098 --> 02:46:16.981]  Well, that's not the case with our incredibly popular, because it's so effective, product that has now been sold out for months, but it's finally back in stock.
[02:46:16.981 --> 02:46:19.462]  And that is Vitamin Mineral Fusion.
[02:46:19.462 --> 02:46:22.103]  All the essential vitamins, all the essential minerals,
[02:46:22.463 --> 02:46:26.586]  A bunch of key amino acids help it upload better into your body and your cells.
[02:46:26.586 --> 02:46:27.547]  It's in powder form.
[02:46:27.547 --> 02:46:28.728]  It's great for children.
[02:46:28.728 --> 02:46:29.648]  It's great for adults.
[02:46:29.648 --> 02:46:34.452]  It's really important for folks that are older because they don't absorb as well through their guts.
[02:46:34.452 --> 02:46:36.593]  This liquid formula really, really does.
[02:46:36.593 --> 02:46:41.597]  You can mix up a pitcher of it every couple days, put it in the refrigerator, or keep it out in the kitchen.
[02:46:42.157 --> 02:46:43.418]  You're listening to the Alex Jones Show!
[02:47:11.715 --> 02:47:15.297]  Welcome back to the Alex Jones Show.
[02:47:15.297 --> 02:47:19.258]  Mario Balaban of Project Veritas joins us here in one moment.
[02:47:19.258 --> 02:47:24.541]  And I really called this last night to my wife and to my lawyers.
[02:47:24.541 --> 02:47:33.224]  The FBI basically said they dropped charges on Owen Schroer for attacking the Capitol and going in and all the stuff he didn't do.
[02:47:33.224 --> 02:47:34.305]  They just want our phones!
[02:47:36.909 --> 02:47:40.051]  And I'm like, I even told my lawyers, I said, yeah, they drop it.
[02:47:40.051 --> 02:47:44.853]  I'll actually give them our phones because there's no coordination to attack the Capitol on them.
[02:47:44.853 --> 02:47:47.414]  But why don't they just get warrants?
[02:47:47.414 --> 02:47:48.895]  It's getting really weird.
[02:47:48.895 --> 02:47:52.517]  And then the judge comes out and says, you shouldn't be targeting journalists and all this.
[02:47:52.517 --> 02:47:55.098]  There's like literally 20 national news articles on that.
[02:47:55.098 --> 02:47:57.959]  I didn't even want to talk about ourselves today on air.
[02:47:57.959 --> 02:47:58.640]  I've just got them.
[02:47:58.640 --> 02:48:00.621]  And then I just got the news.
[02:48:00.621 --> 02:48:05.183]  Pelosi specifically is targeting me and wants me investigated.
[02:48:06.431 --> 02:48:10.953]  That's been released by her in some weird congressional subpoena.
[02:48:10.953 --> 02:48:12.413]  These people are nuts.
[02:48:12.413 --> 02:48:13.134]  I mean, look at her.
[02:48:13.134 --> 02:48:14.174]  My God.
[02:48:14.174 --> 02:48:16.115]  She had sex with King Tut.
[02:48:16.115 --> 02:48:21.277]  I mean, I'm sorry.
[02:48:21.277 --> 02:48:22.517]  Let's get to our big story right now.
[02:48:22.517 --> 02:48:24.418]  I'll cover this at the start of the next hour, then we have a guest host.
[02:48:25.438 --> 02:48:31.582]  DHS insider blows whistle on global child sex trafficking cartels exploiting immigration loophole.
[02:48:31.582 --> 02:48:37.965]  Mario Balaban of the great folks over Project Veritas joins us to break this down.
[02:48:37.965 --> 02:48:39.046]  Absolutely amazing.
[02:48:39.046 --> 02:48:42.208]  The full 70-minute report is obviously at projectveritas.com.
[02:48:42.208 --> 02:48:43.808]  It's on infowars.com.
[02:48:43.808 --> 02:48:46.110]  But just the magnitude of this and how
[02:48:46.710 --> 02:48:49.551]  Our government under Democrats uses NGOs.
[02:48:49.551 --> 02:48:51.252]  This isn't the first time Democrats have done this.
[02:48:51.252 --> 02:48:52.352]  They've done it in Haiti.
[02:48:52.352 --> 02:48:53.672]  They've done it in the Balkans.
[02:48:53.672 --> 02:48:55.553]  But this is a big coup.
[02:48:55.553 --> 02:48:59.835]  I mean, I don't know how you guys keep topping yourselves, but this is so historic and so important.
[02:48:59.835 --> 02:49:00.735]  Thanks for joining us, Mario.
[02:49:01.886 --> 02:49:03.267]  Alex, thank you so much for having me.
[02:49:03.267 --> 02:49:06.150]  Like you said, it is truly frightening what's going on.
[02:49:06.150 --> 02:49:17.241]  What we uncovered with this latest whistleblower is that criminal migrants that are coming through the border, they're using something that they call, it's a technical term, a government term, reasonable fear or credible fear.
[02:49:17.241 --> 02:49:19.023]  It's a loophole according to this insider.
[02:49:19.583 --> 02:49:20.825]  To avoid deportation.
[02:49:20.825 --> 02:49:26.792]  And these are the same people, according to the Insider, that are causing the violence at home and abroad.
[02:49:26.792 --> 02:49:38.986]  So basically, you know, by claiming that they're in danger, right, when they come through the border, you know, they are basically allowed to be removed from something called the Transnational Organized Crime Watch List.
[02:49:39.753 --> 02:49:57.999]  So, criminal migrants are even trained to tell these officials from the DHS and from the CBP that they're afraid to go home, they're trained to say that, because they know that they might be able to seek asylum and even be removed from the transnational criminal organization watch list.
[02:49:57.999 --> 02:50:07.823]  Wow, so the literal traffickers are being told by insiders how to cloak themselves and how to protect their identity and pierce the United States.
[02:50:08.900 --> 02:50:09.461]  Exactly.
[02:50:09.461 --> 02:50:10.602]  They're allowed to do that.
[02:50:10.602 --> 02:50:12.964]  And with this done, it gets worse.
[02:50:12.964 --> 02:50:21.253]  So while they're awaiting their asylum decision, they're allowed to file here for what's called an Employment Authorization Card.
[02:50:21.253 --> 02:50:27.259]  That grants them the right to not only stay in the United States, but to work in the United States.
[02:50:27.259 --> 02:50:28.540]  And they can stay in the U.S.
[02:50:28.540 --> 02:50:29.561]  and do that legally.
[02:50:29.981 --> 02:50:32.264]  So, we're not talking about just illegal immigrants crossing.
[02:50:32.264 --> 02:50:37.531]  We're talking about actual criminal migrants who are on the watch list, then are removed from the watch list.
[02:50:37.531 --> 02:50:37.912]  Oh, absolutely!
[02:50:37.912 --> 02:50:47.844]  I've been down there probably ten times in the last year, and you see men and women who are clearly not the parents, because you see them day after day with the groups of little kids by themselves.
[02:50:49.076 --> 02:50:49.796]  Right.
[02:50:49.796 --> 02:51:00.820]  And that gets to my other point, is that after getting all these benefits from the government, some of them are even attempting to sponsor under-company minors in the United States.
[02:51:00.820 --> 02:51:08.842]  And as our insider said, all of these transnational criminal organizations are directly or indirectly involved with sex trafficking, oftentimes of children.
[02:51:09.282 --> 02:51:20.436]  So, we have here on record, before the interview, eight of these criminal migrants applied for what's called, to sponsor Unaccompanied Alien Children, UAC.
[02:51:20.436 --> 02:51:25.142]  A ninth one came out after our release, after the interview took place.
[02:51:25.142 --> 02:51:27.746]  And what's most shocking is that one of these nine criminals
[02:51:28.773 --> 02:51:32.855]  Uh, actually has on record, uh, crimes against 27 children.
[02:51:32.855 --> 02:51:38.997]  I mean, 27 children, and this person was still allowed to stay in the country under the reasonable fear loophole.
[02:51:38.997 --> 02:51:39.558]  Wow.
[02:51:39.558 --> 02:51:43.999]  One, one, one person had 27 crimes against children and was allowed to stay.
[02:51:43.999 --> 02:51:44.940]  That's just insane.
[02:51:45.771 --> 02:51:46.732]  Yes, exactly.
[02:51:46.732 --> 02:51:49.374]  I mean, it's a very powerful story.
[02:51:49.374 --> 02:51:52.497]  We have more whistleblowers inside the DHS.
[02:51:52.497 --> 02:51:57.281]  And I wanted to bring up something you talked about with James O'Keefe when he was in studio with you.
[02:51:57.281 --> 02:52:00.884]  This video has gotten so much traction online and it's because of distribution by proxy.
[02:52:01.364 --> 02:52:06.089]  It's because people are tweeting out this video even though we're banned from Twitter.
[02:52:06.089 --> 02:52:14.698]  After, you know, you give a powerful endorsement to our, you know, cause of click-to-tweet, this video has across platforms about over a million views already.
[02:52:14.698 --> 02:52:17.321]  So, kudos to you for promoting that.
[02:52:17.321 --> 02:52:19.323]  Oh, beautiful job viewers and listeners.
[02:52:19.323 --> 02:52:21.705]  This is a war and the children are counting on us.
[02:52:22.566 --> 02:52:34.859]  And these are literal drug gangs, convicted drug criminals, smugglers, and as you know, DHS admits, many children are passed back and forth over the border and used as a football.
[02:52:35.839 --> 02:52:36.659]  Right.
[02:52:36.659 --> 02:52:40.921]  No, and it's especially frightening in this moment also as we look at what's happening abroad.
[02:52:40.921 --> 02:52:47.424]  For example, in Afghanistan, you know, think about how vulnerable just generally our border is in so many different ways.
[02:52:47.424 --> 02:53:03.252]  What is to say that, you know, not only, you know, these criminal organizations like MS-13 we know are coming through the border, but now that, you know, these terrorists have taken over an entire country, what's to say that they won't create, you know, further chaos and have more abilities to bring in their allies
[02:53:03.692 --> 02:53:06.054]  Through the border and this chaos and this crisis.
[02:53:19.693 --> 02:53:22.794]  There's certainly a lot of political interest here.
[02:53:22.794 --> 02:53:28.356]  I mean, we know that, you know, there's money involved, there's drugs, there's a lot of money.
[02:53:28.356 --> 02:53:31.456]  And, of course, there's the voting issue that many bring up.
[02:53:31.456 --> 02:53:47.061]  So, there's that concern that's ongoing, but another concern I think that with this vulnerable border is certainly the terror threat that this might, you know, incentivize or encourage foreign actors to come and actually, you know, easily access our country.
[02:53:50.226 --> 02:53:51.768]  What else is Project Veritas?
[02:53:51.768 --> 02:53:56.312]  I know you guys are working on a lot of stuff, but in this field, what else can we expect to be coming out?
[02:53:56.312 --> 02:54:03.118]  Well, I can tell you we have more whistleblowers inside the government, DHS, other institutions, so stay tuned for that.
[02:54:03.118 --> 02:54:05.440]  They'll be coming out very soon.
[02:54:05.440 --> 02:54:13.127]  And, you know, we're looking also for whistleblowers who are working in big pharma or whistleblowers working in health agencies, government health agencies.
[02:54:13.747 --> 02:54:20.631]  We're seeing, you know, this avalanche of mandates and unconstitutional orders taking place across the country.
[02:54:20.631 --> 02:54:23.373]  People are reaching out to us desperately asking for help.
[02:54:23.373 --> 02:54:25.794]  How can they, you know, keep their job?
[02:54:25.794 --> 02:54:33.419]  How can they, you know, avoid certain fines or all sorts of punishment if they don't want to take the vaccine, for example?
[02:54:34.499 --> 02:54:49.943]  The mask mandates, it's truly frightening and we encourage anyone with information in those institutions, be it health agencies or Big Pharma, to come forward to us and, you know, help save our country.
[02:54:49.943 --> 02:54:51.803]  I mean, clearly they've broken the border.
[02:54:51.803 --> 02:54:53.603]  Clearly this is treason.
[02:54:53.603 --> 02:55:00.505]  We have the leaked DHS head, what, two weeks ago saying, it's all broken, it's a failure, but wasn't that the plan to break the border to begin with?
[02:55:02.228 --> 02:55:03.889]  I mean, it certainly looks like it.
[02:55:03.889 --> 02:55:24.894]  I can't speak to what my administration wants to do, or what their intentions are, but it's clear that in the last six months, not only from what we've seen in the news, but from the insiders that have come to us directly, there's chaos at the border, there's instability, and people certainly are not sure, you know, who work at CBP and Border Patrol, are very upset about what's happening.
[02:55:27.625 --> 02:55:30.426]  They're trying to make America a failed state.
[02:55:30.426 --> 02:55:42.148]  And if we can't control our borders, and we can't control even exiting Afghanistan, I mean, it's really intentional to make us a failed state.
[02:55:42.148 --> 02:55:46.668]  Are you familiar with the Cloward and Piven strategy?
[02:55:46.668 --> 02:55:50.809]  I've heard of it, yeah, but I'm not too familiar with it.
[02:55:50.809 --> 02:55:55.530]  It's just a Democratic Party plan to implode economies, to collapse societies.
[02:55:56.331 --> 02:55:57.592]  It's a welfare state, correct?
[02:55:57.592 --> 02:56:03.554]  It's imploding the society to then make everybody dependent on a welfare state.
[02:56:03.554 --> 02:56:04.695]  Yes, sir.
[02:56:04.695 --> 02:56:06.075]  Okay, yes, I am familiar with it.
[02:56:06.075 --> 02:56:08.336]  Yes, absolutely.
[02:56:08.336 --> 02:56:21.182]  No, I was going to say, you know, not only is that happening in the United States with, you know, some American citizens, but they're also expanding that idea to what it looks like illegals that are coming to the country.
[02:56:22.398 --> 02:56:23.000]  Absolutely.
[02:56:23.000 --> 02:56:26.670]  They're trying to bring in a permanent underclass they control.
[02:56:26.670 --> 02:56:29.557]  In closing, Mario, how do you think we counter that?
[02:56:31.382 --> 02:56:35.706]  I mean, like James says, the only solution that Project Veritas sees is exposure.
[02:56:35.706 --> 02:56:56.301]  We need, you know, undercover footage of people saying things that they don't want to go public, and most importantly, we need whistleblowers in these powerful institutions that are willing to, you know, do the brave thing, to be brave, be courageous, and come forward with information, and know that we at Project Veritas will publish it, you know, given the severity of the situation.
[02:56:57.250 --> 02:57:00.422]  Mario Balaban from the great folks at Project Veritas.
[02:57:00.422 --> 02:57:01.024]  Godspeed.
[02:57:01.024 --> 02:57:01.586]  Great job.
[02:57:01.586 --> 02:57:03.032]  I can't wait to see what you guys break next.
[02:57:03.885 --> 02:57:04.506]  Thank you, Alex.
[02:57:04.506 --> 02:57:05.406]  Appreciate it.
[02:57:05.406 --> 02:57:06.427]  All right.
[02:57:06.427 --> 02:57:12.693]  We've got another medical doctor expert on the vaccine and on the psychological warfare.
[02:57:12.693 --> 02:57:15.856]  He's also a psychiatrist coming up to host the next hour.
[02:57:15.856 --> 02:57:18.018]  But I've got the big news.
[02:57:18.018 --> 02:57:20.280]  This is the next leg of the witch hunt.
[02:57:20.280 --> 02:57:22.182]  We'll put it on screen when we come back.
[02:57:22.182 --> 02:57:27.527]  It's from Gateway Pundit, but it's from the press release.
[02:57:27.527 --> 02:57:29.609]  The request of the
[02:57:30.896 --> 02:57:33.217]  Humanity is the main stakeholder on this planet.
[02:57:51.095 --> 02:57:51.676]  We're good to go.
[02:58:08.831 --> 02:58:09.211]  We're good.
[02:58:24.128 --> 02:58:24.609]  We're good.
[02:58:48.405 --> 02:59:00.162]  So, when I first started taking Survival Shield, basically I was 275 pounds, I was overweight, I had brain fog like you wouldn't believe, I was barely holding on to a job, and I heard Dr. Gurp on your show and I listened to it.
[02:59:00.162 --> 02:59:03.346]  So the first one I got was the original Survival Shield, the X1, and it worked
[02:59:04.087 --> 02:59:04.848]  We're good to go.
[02:59:20.728 --> 02:59:26.692]  For the course of the next couple of years, I got my health back, and I religiously take basically all of your supplements.
[02:59:26.692 --> 02:59:29.073]  They're all absolutely amazing supplements.
[02:59:29.073 --> 02:59:30.954]  The one I like recently is Knockout.
[02:59:30.954 --> 02:59:33.196]  It'll literally, like, if you want to sleep, just take it.
[02:59:33.196 --> 02:59:33.936]  It's amazing.
[02:59:33.936 --> 02:59:34.456]  It works.
[02:59:34.456 --> 02:59:36.998]  But anyway, so the point is, we have to get ourselves clean.
[02:59:36.998 --> 02:59:43.202]  We have to break free of the globalist system, and the only way to do that is to take our own health into our own hands.
[02:59:43.202 --> 02:59:44.463]  Beautifully said, brother.
[02:59:44.463 --> 02:59:46.384]  I thank you so much for your call, and Godspeed.
[02:59:51.027 --> 03:00:09.552]  You're listening to the Alex Jones Show.
[03:00:09.552 --> 03:00:14.714]  So, when they arrested Ellen Schreier, they wanted to know
[03:00:16.581 --> 03:00:17.001]  We're good to go.
[03:00:38.251 --> 03:00:52.240]  January 6th committee requests communications between Trump, White House officials, and top conservatives including reporter Jack Posobiec, Scott Pressler, Alex Jones, Brenda Strzoka, you name it.
[03:00:52.240 --> 03:00:54.922]  And Posobiec's got a great point here.
[03:00:54.922 --> 03:01:00.646]  Jack Posobiec responded, this is completely illegal and my lawyers will make short work of it.
[03:01:00.646 --> 03:01:05.649]  These ugly communists want to go full Stalin and Gestapo as they flail about
[03:01:06.732 --> 03:01:14.760]  To distract from the failures of the dementia patient they have as a president, who even Obama called a F-up.
[03:01:14.760 --> 03:01:16.081]  Be cautious.
[03:01:16.081 --> 03:01:23.528]  Yeah, so I'm sitting there to the FBI, through my lawyers, going, okay, you want my communications with Republican leaders?
[03:01:23.528 --> 03:01:25.010]  Drop your charges, because there are none.
[03:01:26.510 --> 03:01:28.472]  But at the same time, I guess Postelbic's right.
[03:01:28.472 --> 03:01:30.575]  We shouldn't be giving them that.
[03:01:30.575 --> 03:01:32.016]  We're journalists.
[03:01:32.016 --> 03:01:34.179]  And that's a big, huge thing now.
[03:01:34.179 --> 03:01:36.441]  Owen would not bullhorn once we got to the Capitol.
[03:01:36.441 --> 03:01:45.271]  He wanted to be a journalist when he was there, for a lot of reasons, but also he had that non-prosecution agreement that arrested him for saying something to Nadler in the Capitol.
[03:01:45.271 --> 03:01:46.212]  The left can do that all day.
[03:01:46.212 --> 03:01:46.632]  We can't.
[03:01:47.313 --> 03:01:50.216]  But he really was there as a journalist that day.
[03:01:50.216 --> 03:01:54.339]  So here's the big national Washington Post, New York Times, they all have headlines.
[03:01:54.339 --> 03:02:01.826]  Judge wants Justice Department to detail decision on charging InfoWars correspondent accused of January 6 riot.
[03:02:01.826 --> 03:02:06.951]  InfoWars host case judge calls out Biden DOJ for investigating media.
[03:02:06.951 --> 03:02:09.273]  That's Newsmax.
[03:02:09.273 --> 03:02:09.973]  This other one was
[03:02:11.493 --> 03:02:12.814]  Washington Post.
[03:02:12.814 --> 03:02:18.657]  Judge questions DOJ's media policy in case Capitol riot against InfoWars host.
[03:02:18.657 --> 03:02:19.637]  Wall Street Journal.
[03:02:19.637 --> 03:02:21.938]  I mean, are you getting how big this is, folks?
[03:02:21.938 --> 03:02:26.080]  InfoWars host Owen Schroer released after turning himself in to FBI.
[03:02:26.080 --> 03:02:28.782]  Political persecution is now happening on a mass scale.
[03:02:28.782 --> 03:02:31.483]  And it goes on and on.
[03:02:31.483 --> 03:02:35.385]  Here's one out of Raw Story calling for my wife's arrest.
[03:02:35.385 --> 03:02:37.686]  Because she was outside the Capitol.
[03:02:37.686 --> 03:02:38.787]  I mean, this is...
[03:02:40.325 --> 03:02:41.606]  You think that scares me?
[03:02:41.606 --> 03:02:43.788]  Like, now you want to arrest my wife?
[03:02:43.788 --> 03:02:45.830]  I mean, it's just, you guys are bad.
[03:02:45.830 --> 03:02:47.912]  You're bad people.
[03:02:47.912 --> 03:02:49.673]  You run a bunch of child molestation rings.
[03:02:49.673 --> 03:02:50.774]  You're devil worshippers.
[03:02:50.774 --> 03:02:52.716]  You ship fentanyl into the country.
[03:02:52.716 --> 03:02:54.077]  The government is bankrupt.
[03:02:54.077 --> 03:02:55.398]  It's out of control.
[03:02:55.398 --> 03:02:56.559]  I'm not at war with it.
[03:02:56.559 --> 03:02:59.362]  I want you to leave me alone.
[03:02:59.362 --> 03:02:59.842]  But you're not.
[03:02:59.842 --> 03:03:01.364]  You're going to collapse the border.
[03:03:01.364 --> 03:03:03.145]  You're going to bring in the kidnapped kids.
[03:03:03.145 --> 03:03:04.967]  You're going to devalue the dollar.
[03:03:04.967 --> 03:03:07.229]  You're not going to stop because you're crazy people.
[03:03:08.951 --> 03:03:12.752]  You're not going to stop until you've run us in the ground.
[03:03:12.752 --> 03:03:15.894]  So, there you go.
[03:03:15.894 --> 03:03:17.754]  They're talking about having us testify.
[03:03:17.754 --> 03:03:20.615]  You know, I've never testified to Congress.
[03:03:20.615 --> 03:03:26.438]  I get to sit there and watch them attack me in hearings when I'm in the room and I never get a chance.
[03:03:26.438 --> 03:03:31.820]  But their plan is to then say I lied to Congress and arrest me like Roger Stone, even though I wouldn't tell a lie.
[03:03:31.820 --> 03:03:33.040]  They would just misrepresent it.
[03:03:33.040 --> 03:03:35.861]  So, you can't polish a turd.
[03:03:35.861 --> 03:03:37.102]  You just get crap on you.
[03:03:38.178 --> 03:03:46.321]  But pray for Owen, pray for InfoWars, and keep us on the air, and realize they want us off air because we're exposing their criminal activities.
[03:03:46.321 --> 03:03:54.144]  So tell everybody to tune in if you're listening on a local radio station, or watching on a TV station, or watching us at band.video or freeworldnews.tv.
[03:03:54.144 --> 03:03:55.565]  Just realize you're everything.
[03:03:56.650 --> 03:04:09.057]  When you get excited and when you decide to take the links to whatever videos or articles or live feeds you think are the most informative, and when you decide to get excited and tell others, hey, here's the forbidden, verboten information,
[03:04:10.313 --> 03:04:20.500]  If you think it's interesting and deserves to be seen, you should share it and then tell others to share it, and then tell them to share it, and then tell them to share it, and then tell them to share it.
[03:04:20.500 --> 03:04:24.884]  And that's called a chain reaction.
[03:04:24.884 --> 03:04:34.531]  And that's what the tyrants don't want, is a human chain reaction of love and justice and renaissance and freedom and coming together against this
[03:04:35.251 --> 03:04:45.335]  Neo-fascist, neo-liberal, crazy town orgy of corporations using behavioral psychology on us and wrecking society in the process.
[03:04:45.335 --> 03:04:50.276]  Because they're like Hitler using nerve gas in World War I. He thinks he's invincible, it blows back on him.
[03:04:50.276 --> 03:04:52.757]  Nobody can do stuff like this and not have it destroy them.
[03:04:52.757 --> 03:04:54.658]  Alright, we have a special guest taking over straight away.
[03:04:54.658 --> 03:04:56.319]  There'll be big news in the War Room today.
[03:04:59.346 --> 03:05:03.088]  Not all vitamin and mineral supplements are equal.
[03:05:03.088 --> 03:05:04.189]  Many of them are synthetic.
[03:05:04.189 --> 03:05:06.150]  Many of them have fillers and additives.
[03:05:06.150 --> 03:05:09.151]  Many of them just pass right through the body and are not absorbed.
[03:05:09.151 --> 03:05:18.036]  Well, that's not the case with our incredibly popular, because it's so effective, product that has now been sold out for months, but it's finally back in stock.
[03:05:18.036 --> 03:05:20.537]  And that is Vitamin Mineral Fusion.
[03:05:20.537 --> 03:05:23.159]  All the essential vitamins, all the essential minerals,
[03:05:23.539 --> 03:05:27.641]  A bunch of key amino acids to help it upload better into your body and your cells.
[03:05:27.641 --> 03:05:28.602]  It's in powder form.
[03:05:28.602 --> 03:05:29.782]  It's great for children.
[03:05:29.782 --> 03:05:30.643]  It's great for adults.
[03:05:30.643 --> 03:05:35.505]  It's really important for folks that are older, because they don't absorb as well through their guts.
[03:05:35.505 --> 03:05:37.666]  This liquid formula really, really does.
[03:05:37.666 --> 03:05:45.451]  You can mix up a pitcher of it every couple days, put it in the refrigerator, or keep it out in the kitchen, and just remember to drink it in the morning and in the evening.
[03:05:45.451 --> 03:05:46.471]  It tastes great.
[03:05:46.471 --> 03:05:47.812]  It makes your body healthy.
[03:05:47.812 --> 03:05:50.093]  It boosts your immune system, and it
[03:05:50.273 --> 03:05:54.717]  Live from the Infowars.com studios, you're listening to The Alex Jones Show.
[03:06:20.489 --> 03:06:23.290]  Hello, and welcome to the Alex Jones Show.
[03:06:23.290 --> 03:06:34.776]  I'm your host of the fourth hour, Dr. Andrew Kaufman, and I have a very interesting show today and with an interesting guest, if we can get our technical challenges worked out.
[03:06:34.776 --> 03:06:42.761]  And as advertised today, I'm going to talk to you about the psychological aspects of what's been going on with the pandemic situation.
[03:06:42.761 --> 03:06:47.363]  And we've entitled the show COVID Gnosis, How Empire Has Brainwashed the World.
[03:06:48.607 --> 03:07:03.197]  And I want to bring up, first of all, that there are many names used to describe this process, including mass psychosis, mass hypnosis, mass formation, crowd formation, etc.
[03:07:03.197 --> 03:07:09.982]  But what I'm really talking about is how you can march a society towards a totalitarian state.
[03:07:09.982 --> 03:07:12.763]  And of course, we've seen many examples of this in the 20th century.
[03:07:14.033 --> 03:07:42.335]  So far to learn from and overall there are two main techniques that one can use and the first we've seen implemented in some of those totalitarian states over the 20th century and what I'm talking about is using brute force, threats, intimidation, silencing people, murdering people, preventing resources to essentially by force take control of a society.
[03:07:42.847 --> 03:07:52.772]  And then you have the countervening approach, which is to establish a situation to obtain consent over society.
[03:07:52.772 --> 03:07:56.775]  And this is what I think is going on right now in our current situation.
[03:07:56.775 --> 03:08:02.778]  And we can look at two famous literary examples to highlight this contrast in approach.
[03:08:03.550 --> 03:08:07.794]  The first example would be 1984 by George Orwell.
[03:08:07.794 --> 03:08:18.624]  And in this example, we see, you know, the famous quote about a boot being permanently on the face of the citizen who is the subject of this tyranny.
[03:08:18.624 --> 03:08:27.772]  So we can see that through the use of torture and force and endless war, you can achieve this type of control over the members of society.
[03:08:28.450 --> 03:08:35.637]  And then we have a very different type of dystopian future that's presented in Aldous Huxley's A Brave New World.
[03:08:35.637 --> 03:08:49.731]  And Aldous Huxley really is an important figure to look at in what is going on in the world today because he predicted that this would be occurring and kind of laid it out in advance for us.
[03:08:49.731 --> 03:08:51.953]  So there are many, many lessons to be learned.
[03:08:53.031 --> 03:09:19.857]  And warnings to be heated about what's going on, but essentially the dystopian society we see in a brave new world is one where people participate willingly and they use various methods of providing pleasure and distraction to the members of the society in order to keep them content and compliance without having any of the normal freedoms that they would have.
[03:09:20.473 --> 03:09:28.995]  And this plays out one through the use of a drug in the book called Soma, which essentially induces a happy, distracted state.
[03:09:28.995 --> 03:09:42.697]  So if you're experiencing the loss over a sense of identity or purpose in life or a feeling that something is stressful about the repetition, then taking that drug is encouraged.
[03:09:42.697 --> 03:09:50.079]  And this makes you essentially, you know, happy enough and satisfied enough that you don't question things further.
[03:09:50.774 --> 03:10:06.801]  And, of course, we see that that society also was stratified, as presented in that image, into different groups named after, interestingly, Greek letters, similar to the fake variants that we're seeing now paraded as signs of danger.
[03:10:06.801 --> 03:10:19.647]  And, of course, people were brainwashed from birth, and also in this depiction, children were not created through families or marriage, and, in fact, they totally separated that and taught
[03:10:20.367 --> 03:10:20.907]  Thank you.
[03:10:50.621 --> 03:11:17.062]  So what I'm going to talk about in the topic for today's show is about how can the governments of the world or the empirical organizations of the world actually manipulate the psyche of the people en masse towards this willingness to accept a totalitarian state and willingness to give up their freedoms.
[03:11:17.062 --> 03:11:20.145]  And there seems to be a universal exchange that goes on here
[03:11:20.632 --> 03:11:49.934]  Related to safety when and the emotion of fear and so when people are in a state of fear they're willing to trade their freedom for safety and we've seen this happen over and over again historically and this is exploited and known to be a very important technique so if we could pull up the first slide because I want to talk about in the UK government they've actually created a group that strategically
[03:11:51.870 --> 03:11:56.372]  Creates ways to increase and generate fear in the population.
[03:11:56.372 --> 03:12:06.016]  And what I'm talking about here is a group called the Scientific Pandemic Influenza Group on Behavior, or SPI-B.
[03:12:06.016 --> 03:12:11.399]  And they were reconvened on February 13th of 2020.
[03:12:11.399 --> 03:12:16.821]  As a group, they were previously in place during the swine flu pandemic of 2010, I believe.
[03:12:18.795 --> 03:12:22.236]  Which we know has been completely debunked at this time.
[03:12:22.236 --> 03:12:41.303]  But they reconvened in order to provide recommendations to the UK government how to increase compliance with various interventions and policies such as lockdown, social distancing, mask wearing, and ultimately toward the vaccine and the vaccine passports.
[03:12:41.303 --> 03:12:47.906]  And what we found is that several psychologists who are on this group decided to blow the whistle
[03:12:48.516 --> 03:12:58.918]  And that's what we see in that Telegraph article, where they essentially realized that what they were doing was unethical and immoral.
[03:12:58.918 --> 03:13:13.062]  And I want to quote one of the psychiatrists who not only came out to the newspaper and the Telegraph, but actually was interviewed for a very important book that describes this in detail.
