[00:00:12.657 --> 00:00:14.759]  It's Tuesday, March 23rd.
[02:58:44.060 --> 02:58:45.582]  The enemies said what they would do to you.
[02:58:45.582 --> 02:58:46.003]  We'll be right back.
[02:58:49.262 --> 02:58:52.886]  Humanity has been domesticated by and large.
[02:58:52.886 --> 02:58:57.430]  The population has been trained to submit, do what you're told, and it's all going to pass.
[02:58:57.430 --> 02:59:06.660]  But if you study authoritarians, if you study the globalists, you understand that they reach a point where all the training is just beta, and you go into the point of being culled, being totally enslaved.
[02:59:06.660 --> 02:59:10.784]  And because the globalists see us as weak and see us as stupid, they are now making that move.
[02:59:11.084 --> 02:59:28.636]  And they are collapsing the third world with their economic weapons to then flood us with a third world that the UN will use as a weapon to then have us under such a crisis, under such a load, capitulate to the UN, whatever agreements they want us to sign, hoping that they will stop the flood of tens of millions of refugees.
[02:59:29.216 --> 02:59:45.053]  Not fleeing COVID or climate change, as the UN and Klaus Schwab are saying, and Bill Gates is saying, but fleeing the year-long lockdowns that the UN and Bill Gates ordered them to institute or they wouldn't get more IMF and World Bank money.
[02:59:45.053 --> 02:59:48.457]  And that's why we have to really get educated about the globalists.
[02:59:52.586 --> 02:59:57.569]  Rallying patriots worldwide in defense of human liberty.
[02:59:57.569 --> 03:00:06.114]  It's Alex Jones.
[03:00:06.114 --> 03:00:07.235]  I mean, here's the good news.
[03:00:07.235 --> 03:00:08.315]  God's real.
[03:00:08.315 --> 03:00:09.636]  Here's the bad news.
[03:00:09.636 --> 03:00:11.477]  The New World Order is making its move on humanity.
[03:00:11.477 --> 03:00:13.478]  It's extremely predatory.
[03:00:13.478 --> 03:00:16.840]  They've got a good half the population not knowing what planet they're on.
[03:00:16.840 --> 03:00:18.341]  They can't find their butt with both hands.
[03:00:19.227 --> 03:00:24.090]  And you can join the globalists and feed on them for a while, but it's going to end up getting to you.
[03:00:24.090 --> 03:00:29.292]  This type of corruption does not just stop at one point.
[03:00:29.292 --> 03:00:33.854]  It spirals out of control, and we're already into the spiraling out of control part.
[03:00:33.854 --> 03:00:43.759]  And so, I'm just going to trust in God and try to be as truthful and honest and accurate as I can in this imperfect vessel that I am, and I know you're going to be the same.
[03:00:43.759 --> 03:00:45.680]  And I just want you to know I love you all.
[03:00:45.680 --> 03:00:46.601]  I love you if you're black.
[03:00:46.601 --> 03:00:47.381]  I love you if you're brown.
[03:00:47.381 --> 03:00:48.082]  I love you if you're white.
[03:00:48.082 --> 03:00:48.802]  I love you if you're pink.
[03:00:49.968 --> 03:00:58.170]  But I tell you, I really don't like you if you're anti-human and a liar and a scumbag and a control freak.
[03:00:58.170 --> 03:01:02.791]  And a lot of you that aren't predators, though, still play in the predator's hands.
[03:01:02.791 --> 03:01:05.511]  You're just like, oh, I'm a victim.
[03:01:05.511 --> 03:01:08.552]  Oh, oh, I need to protect myself.
[03:01:08.552 --> 03:01:10.092]  I'm going to wear a face mask.
[03:01:10.092 --> 03:01:14.293]  I'm going to buy into all these lies.
[03:01:14.293 --> 03:01:17.234]  Where you act like and behave like you're doing these silly things.
[03:01:18.189 --> 03:01:20.951]  Show that you all are seen as good people.
[03:01:20.951 --> 03:01:22.552]  It's beyond virtue signaling.
[03:01:22.552 --> 03:01:26.654]  It's a symbol that you are in a cult.
[03:01:26.654 --> 03:01:29.776]  That you have no common sense for yourself.
[03:01:29.776 --> 03:01:40.402]  If there was a real pathogen killing four percent of the population like they said, I would call for anybody that showed symptoms to be quarantined.
[03:01:40.402 --> 03:01:42.243]  But it wasn't one-tenth of one percent.
[03:01:43.061 --> 03:01:45.422]  And then that was all based on fake PCR tests.
[03:01:45.422 --> 03:01:50.285]  And it's a globalist power grab, and they now admit we want lockdowns for carbon!
[03:01:50.285 --> 03:01:58.029]  They're just teaching you to be locked in your frickin' house and have your app tell you when you can go somewhere and do something!
[03:01:58.029 --> 03:02:00.211]  They're building a prison planet.
[03:02:00.211 --> 03:02:01.191]  It's out in the open.
[03:02:01.191 --> 03:02:04.033]  It's not even my opinion anymore.
[03:02:04.033 --> 03:02:06.854]  And you know, there has been the weird effect for me personally.
[03:02:06.854 --> 03:02:08.155]  People ask me, what do you think is coming next?
[03:02:08.155 --> 03:02:10.716]  I mean, I've gotten to see what's coming next.
[03:02:10.716 --> 03:02:11.737]  All these prominent people.
[03:02:14.674 --> 03:02:17.375]  Even my enemies now say, where's the crystal ball?
[03:02:17.375 --> 03:02:18.175]  What's happening next?
[03:02:18.175 --> 03:02:19.496]  How do you know all this?
[03:02:19.496 --> 03:02:30.819]  Because most of them are either selfish or lazy or they only study certain specific places that make them money.
[03:02:30.819 --> 03:02:35.440]  They're an expert on dentistry or auto mechanic or teaching the class they teach.
[03:02:35.440 --> 03:02:38.381]  And while they're teaching that class, they want to go play golf.
[03:02:38.381 --> 03:02:40.002]  I'm not like that.
[03:02:40.002 --> 03:02:41.562]  Our audience isn't like that.
[03:02:41.562 --> 03:02:42.923]  And really, that's who the globalists hate.
[03:02:42.923 --> 03:02:43.383]  It's not me.
[03:02:44.068 --> 03:02:45.829]  I mean, they really hate me, but you know what I mean.
[03:02:45.829 --> 03:02:48.471]  They hate you.
[03:02:48.471 --> 03:02:50.612]  Because you're people that kick the tires.
[03:02:50.612 --> 03:02:51.753]  You look under the hood.
[03:02:51.753 --> 03:02:53.694]  You're figuring out what's going on here.
[03:02:53.694 --> 03:02:54.775]  They don't want that.
[03:02:54.775 --> 03:03:01.399]  You heard the NAACP head in New York say, do not ask questions.
[03:03:01.399 --> 03:03:02.500]  Take whatever they give you.
[03:03:02.500 --> 03:03:04.261]  Stick your arm out and take it.
[03:03:04.261 --> 03:03:05.902]  You're like, that sounds crazy.
[03:03:05.902 --> 03:03:08.644]  Because you're not under their control.
[03:03:08.644 --> 03:03:10.805]  You're not in the damn trance.
[03:03:10.805 --> 03:03:12.266]  And thank God you're not.
[03:03:14.815 --> 03:03:16.536]  Yeah, we'll play her in a minute and then go to calls.
[03:03:16.536 --> 03:03:19.659]  Imagine being one of those people.
[03:03:19.659 --> 03:03:24.623]  Now, you don't think that lady... You know who set up the NAACP.
[03:03:24.623 --> 03:03:28.306]  You know who set up... Margaret Sanger.
[03:03:28.306 --> 03:03:29.787]  They were all involved.
[03:03:29.787 --> 03:03:30.408]  W.D.D.
[03:03:30.408 --> 03:03:31.028]  Du Bois.
[03:03:31.028 --> 03:03:31.508]  Communists.
[03:03:31.508 --> 03:03:31.749]  All of them.
[03:03:31.749 --> 03:03:38.154]  And let me tell you, I've been around these leftist black leaders.
[03:03:38.154 --> 03:03:41.537]  And they'll pull you aside and start saying the most racist stuff about black people.
[03:03:41.537 --> 03:03:43.678]  And I'll be like, hey, this is some test to see if I'm racist.
[03:03:43.678 --> 03:03:44.559]  I'm not against black people.
[03:03:45.242 --> 03:03:48.224]  They'll be like, well, you don't know how bad they are!
[03:03:48.224 --> 03:03:53.026]  You don't know how we gotta get rid of the bad black people to raise up the good black people!
[03:03:53.026 --> 03:03:55.888]  I mean, these are sick freaks, man!
[03:03:55.888 --> 03:04:03.833]  Does that mean I like poisoned, dumbed down hordes of white people or black people or third world populations coming across?
[03:04:03.833 --> 03:04:04.293]  No!
[03:04:04.293 --> 03:04:05.614]  They're a weapon against me!
[03:04:05.614 --> 03:04:10.096]  But I don't dehumanize them, because they're not consciously trying to destroy me!
[03:04:10.096 --> 03:04:11.577]  It's the globalists playing
[03:04:13.192 --> 03:04:13.933]  Us all.
[03:04:13.933 --> 03:04:16.274]  They are the orchestra controllers.
[03:04:16.274 --> 03:04:17.815]  They are the conductors.
[03:04:17.815 --> 03:04:19.957]  And it's the conductors I blame.
[03:04:19.957 --> 03:04:28.702]  It's the people in charge I blame.
[03:04:28.702 --> 03:04:33.225]  You can turn the black community around in like five seconds.
[03:04:33.225 --> 03:04:35.447]  You can turn every community around in five seconds with real leadership.
[03:04:35.447 --> 03:04:39.529]  Humans do great things.
[03:04:39.529 --> 03:04:40.130]  But it's not there.
[03:04:41.010 --> 03:04:42.691]  Because the leadership got taken over.
[03:04:42.691 --> 03:04:50.695]  You go back 120 years ago, Margaret Sanger went to the Rockefeller Foundation, and she said, these blacks have got their own communities, their own wealth, and they're not in our system.
[03:04:50.695 --> 03:04:55.677]  They have the lowest crime rate in the U.S., lowest out-of-wedlock level.
[03:04:55.677 --> 03:04:58.339]  They had the most conservative communities in the U.S.
[03:04:58.339 --> 03:05:02.081]  were black people, because that which doesn't kill you makes you stronger.
[03:05:02.081 --> 03:05:04.882]  Frederick Nietzsche was right.
[03:05:04.882 --> 03:05:08.884]  But as soon as the oppression was taken off the blacks,
[03:05:10.307 --> 03:05:12.569]  Which was a bad thing, I'm not for the oppression.
[03:05:12.569 --> 03:05:14.470]  But they knew they were oppressed, you see.
[03:05:14.470 --> 03:05:19.134]  Those that the Bible says that do not know they're oppressed are the greatest slaves.
[03:05:19.134 --> 03:05:21.315]  Those that do not have eyes to see or ears to hear.
[03:05:21.315 --> 03:05:23.157]  Those who do not know they're oppressed.
[03:05:23.157 --> 03:05:27.600]  Well, the blacks knew they were oppressed, so they learned to buy from their own people and do their own thing.
[03:05:27.600 --> 03:05:30.522]  And not be a failure to show the system.
[03:05:30.522 --> 03:05:31.603]  And they were rising!
[03:05:35.074 --> 03:05:36.055]  And that couldn't be allowed.
[03:05:36.055 --> 03:05:43.100]  So Margaret Sanger waltzed in there and she bought off thousands of black leaders.
[03:05:43.100 --> 03:05:53.667]  And by 1960, she had them by the balls.
[03:05:53.667 --> 03:05:58.010]  And they're doing the same thing to everybody.
[03:05:58.010 --> 03:06:00.632]  So you look at what they've done to the blacks on average.
[03:06:00.632 --> 03:06:01.993]  A lot of people say, oh, look at those people.
[03:06:01.993 --> 03:06:03.054]  Look down your nose at them.
[03:06:03.054 --> 03:06:03.974]  They'll do that to you.
[03:06:03.974 --> 03:06:04.695]  They have done it to you.
[03:06:05.387 --> 03:06:07.328]  They're doing it to everybody.
[03:06:07.328 --> 03:06:13.630]  Same stuff going on in the black household 50 years ago, 60 years ago is going on in every household now.
[03:06:13.630 --> 03:06:17.791]  And when they're done, they're done.
[03:06:17.791 --> 03:06:21.552]  Black Lives Matter, what's their main mission?
[03:06:21.552 --> 03:06:25.674]  Destroy the nuclear family and teach black men to have their genitals cut off.
[03:06:25.674 --> 03:06:26.994]  That's their official policy.
[03:06:26.994 --> 03:06:29.095]  That's not a joke.
[03:06:29.095 --> 03:06:31.236]  Well, that's not what they want for black people.
[03:06:31.236 --> 03:06:32.616]  They want that for everybody.
[03:06:34.261 --> 03:06:49.650]  And as soon as people get that Hollywood doesn't love black people, and as soon as we figure out they hide their whole agenda behind it, I mean, let me tell you, you turn on any telecom ad, any beer ad, any ad, because I'm happy to see nothing but black people on ads.
[03:06:49.650 --> 03:06:52.572]  But I turn on any channel, it's like 90% black people.
[03:06:52.572 --> 03:06:55.214]  I turn on everything, because it's the whole globalist system.
[03:06:55.214 --> 03:06:56.334]  Oh, 5G's here!
[03:06:56.334 --> 03:06:58.416]  We got black people pushing it!
[03:06:58.416 --> 03:06:59.516]  Oh, we got a vaccine!
[03:06:59.516 --> 03:07:00.557]  Black people are pushing it!
[03:07:01.132 --> 03:07:03.553]  That's not black people behind 5G!
[03:07:03.553 --> 03:07:07.816]  That's not black people behind the vaccines!
[03:07:07.816 --> 03:07:17.481]  Because their first big target is Africa and black people and they want black people to think, man, I have really arrived.
[03:07:17.481 --> 03:07:22.023]  The system says I'm the best thing there is.
[03:07:22.023 --> 03:07:24.905]  And that's so you don't recognize what they're doing to you in their blue cities.
[03:07:24.905 --> 03:07:30.528]  It's disgusting and it's sick.
[03:07:32.159 --> 03:07:40.062]  And now you got all these weird-ass white people saying that they're black?
[03:07:40.062 --> 03:07:43.904]  Well, I can choose my identity and all this crap!
[03:07:43.904 --> 03:07:46.485]  You really think the system likes you black people?
[03:07:46.485 --> 03:07:48.926]  They don't like anybody, including themselves!
[03:07:48.926 --> 03:07:51.227]  They want a post-human world!
[03:07:51.227 --> 03:07:54.228]  And the sooner we figure that out, the sooner we can turn this around!
[03:07:54.884 --> 03:07:59.827]  Yeah, let's play the black NAACP leader, and then we'll show you one of the main rappers pushing the same crap.
[03:07:59.827 --> 03:08:02.969]  And it comes off like a joke if you're awake, but if you're not awake, you're buying it.
[03:08:02.969 --> 03:08:05.391]  Here she is.
[03:08:05.391 --> 03:08:10.454]  I'm not asking what's in the infusion.
[03:08:10.454 --> 03:08:15.737]  I'm not looking up all of the ingredients in the infusion.
[03:08:15.737 --> 03:08:19.880]  I am sticking out my arm, and I am taking the infusion.
[03:08:21.255 --> 03:08:24.517]  Now here's Run DMC, Mr. Anti-Establishment.
[03:08:24.517 --> 03:08:27.819]  Sounds like a joke ad, but he's reading the same script she's reading.
[03:08:27.819 --> 03:08:28.120]  Here it is.
[03:08:28.120 --> 03:08:34.384]  Can we play that Run DMC video?
[03:08:34.384 --> 03:08:35.765]  Oh, I'm sorry.
[03:08:35.765 --> 03:08:37.106]  I confused you guys.
[03:08:37.106 --> 03:08:38.467]  Well, let's play it when we come back.
[03:08:38.467 --> 03:08:39.868]  Let's pull it in.
[03:08:39.868 --> 03:08:40.468]  It's unbelievable.
[03:08:40.468 --> 03:08:40.788]  All right.
[03:08:40.788 --> 03:08:41.909]  I promise.
[03:08:41.909 --> 03:08:43.870]  Everybody's been holding here patiently.
[03:08:43.870 --> 03:08:46.592]  Camilo is up next.
[03:08:46.592 --> 03:08:49.934]  Then we've got Bill.
[03:08:49.934 --> 03:08:50.775]  Then we got Roger.
[03:08:51.607 --> 03:08:58.894]  We got David, we got C.D., and we got Tammy, and Gerald, and we got Forrest, and we got Debbie.
[03:08:58.894 --> 03:09:01.156]  I'll go to every one of you before this show's over.
[03:09:01.156 --> 03:09:04.059]  I really appreciate you holding, but I went off on a whole rant about this.
[03:09:04.059 --> 03:09:14.049]  I mean, Bill Gates says he wants to kill all the black people, and he went and hired Oprah Winfrey to run it!
[03:09:16.821 --> 03:09:19.983]  I mean, at a certain point, I just can't handle this anymore.
[03:09:19.983 --> 03:09:24.146]  Do you think God is going to forgive anybody that's involved in any of this?
[03:09:24.146 --> 03:09:25.467]  Because let me explain.
[03:09:25.467 --> 03:09:30.070]  I'm not sitting there defending black people because I'm some angel and I want to virtue signal them.
[03:09:30.070 --> 03:09:32.692]  I'm telling you, man, they're going to kill everybody.
[03:09:32.692 --> 03:09:34.133]  Nobody's safe from this.
[03:09:34.133 --> 03:09:38.976]  And all you out there better wake your asses up and say no to it right damn now.
[03:09:38.976 --> 03:09:40.557]  But don't say you weren't warned.
[03:09:40.557 --> 03:09:45.240]  Do not say you were not warned!
[03:09:45.240 --> 03:09:45.661]  Stay with us.
[03:09:47.623 --> 03:09:49.145]  The people are awakening.
[03:09:49.145 --> 03:09:51.869]  They're taking control of their own environment.
[03:09:51.869 --> 03:09:53.951]  Cell phones are an amazing tool.
[03:09:53.951 --> 03:09:56.294]  Really, they're a supercomputer that's handheld.
[03:09:56.294 --> 03:10:02.903]  But big tech, large corporations, hackers, governments, foreign governments, the Chai Coms especially, are using this.
[03:10:03.223 --> 03:10:14.510]  To steal your data, to share your data, to be able to rig markets when they're able to scoop up billions of people's data, they can actually predict on record what's going to happen in mass movements.
[03:10:14.510 --> 03:10:21.234]  Cutting them out of that data stream absolutely devastates their AI takeover.
[03:10:21.234 --> 03:10:22.655]  In their own words, they admit it.
[03:10:22.655 --> 03:10:27.078]  So, I've been selling privacy pouches and pocket pockets and things like that for more than a decade.
[03:10:27.558 --> 03:10:29.499]  And now the units have gotten really lightweight.
[03:10:29.499 --> 03:10:30.580]  They're Faraday cages.
[03:10:30.580 --> 03:10:32.300]  They just look like a cloth envelope.
[03:10:32.300 --> 03:10:34.281]  They work absolutely great.
[03:10:34.281 --> 03:10:43.166]  And it just gives you that security to have power over your data and power over your identity when you are traveling and don't want Big Brother to know what you're up to because it's none of their business.
[03:10:43.166 --> 03:10:45.827]  Get yours at InfoWarsTore.com today.
[03:10:47.185 --> 03:10:51.387]  Alex Jones here with the new InfoWars sale and it is a fantastic sale.
[03:10:51.387 --> 03:11:01.051]  It is many of our best-selling products that just so happen to also be selling out but despite that they're 50% off and free shipping on these select items.
[03:11:01.051 --> 03:11:02.212]  Again all these are selling out
[03:11:02.672 --> 03:11:05.856]  Except for Rainforest, it finally came back into stock.
[03:11:05.856 --> 03:11:06.617]  It's amazing.
[03:11:06.617 --> 03:11:08.559]  It's 50% off and free shipping.
[03:11:08.559 --> 03:11:13.064]  We've got the Toothpaste, the Mouthwash, the Cava Chill, the Vazo Beats, the Alpha Power.
[03:11:13.064 --> 03:11:14.706]  All of these are best sellers.
[03:11:14.706 --> 03:11:15.627]  50% off and free shipping.
[03:11:17.589 --> 03:11:24.614]  At InfoWarsStore.com, or 888-253-3139, and it funds our operation.
[03:11:24.614 --> 03:11:31.418]  Plus, all of the Emergence Essentials, essential oils, natural deodorants, shampoos, conditioners, a whole host of products.
[03:11:31.418 --> 03:11:34.260]  The entire Emergence Essentials line is close to selling out.
[03:11:34.260 --> 03:11:41.165]  We're coming in a few months, but despite that, right now, ladies and gentlemen, they're all 50% off as well, with free shipping.
[03:11:41.165 --> 03:11:45.347]  Just follow the banners at InfoWarsStore.com to huge savings, and it funds the InfoWar.
[03:11:45.347 --> 03:11:45.507]  A 360 win.
[03:11:50.473 --> 03:11:53.074]  You're listening to the Alex Jones Show.
[03:12:15.694 --> 03:12:18.815]  I'm not asking what's in the infusion.
[03:12:45.308 --> 03:12:50.589]  I'm not looking up all of the ingredients in the infusion.
[03:12:50.589 --> 03:12:54.630]  I am sticking out my arm, and I am taking the infusion.
[03:12:54.630 --> 03:13:03.192]  And then there's Cuomo that killed 16,000 old people, purposely sending COVID patients into the hospitals, behind her, looking like Count Dracula.
[03:13:03.192 --> 03:13:05.612]  There's Bill Gates giving little black kids polio.
[03:13:05.612 --> 03:13:07.833]  Show them Reuters!
[03:13:07.833 --> 03:13:08.933]  But see, that's too scary.
[03:13:08.933 --> 03:13:13.134]  The average person goes under Stockholm Syndrome, particularly women.
[03:13:13.134 --> 03:13:14.254]  So let me explain how this works.
[03:13:16.371 --> 03:13:35.861]  They collapse the third world, they flood us with Africans, military-age men, Europe particularly, and then, yeah, I mean, you're in a town of 500 Germans, they put 2,000 military-age men, black men from a poor country there with no jobs at refugee center, they start raping and robbing you, some of them, now you hate black people.
[03:13:35.861 --> 03:13:38.462]  Now you want to annihilate them.
[03:13:38.462 --> 03:13:43.544]  And see, that's how the globalists are going to make us join them in the extermination of the third world.
[03:13:43.544 --> 03:13:44.305]  That's coming next.
[03:13:45.003 --> 03:13:46.624]  And I told you that 20 years ago.
[03:13:46.624 --> 03:14:02.956]  They release a virus, do lockdowns phase one, a stronger virus, bigger lockdowns, flood us with a third world, use that crisis to make us submit to tyranny, and then we'll be so overwhelmed by foreign invasion, we'll all just quietly go along with the race-specific weapon that wipes everybody out.
[03:14:02.956 --> 03:14:06.639]  I've told you that probably 500 times in the last 20 years.
[03:14:06.639 --> 03:14:08.060]  And a lot of it wasn't in documents.
[03:14:08.060 --> 03:14:09.841]  I foresaw the enemy operation.
[03:14:09.841 --> 03:14:10.701]  Now it's in the documents.
[03:14:10.701 --> 03:14:12.403]  So I guess at a certain level I did.
[03:14:12.403 --> 03:14:13.924]  Because it's chess.
[03:14:15.649 --> 03:14:22.293]  You see, checkers would be... France wants to bring in alone 230 million Africans into France.
[03:14:22.293 --> 03:14:25.234]  France is only 80 million people.
[03:14:25.234 --> 03:14:25.995]  90 million people.
[03:14:25.995 --> 03:14:27.236]  I forget, what's the population of France?
[03:14:27.236 --> 03:14:29.657]  120, I forget.
[03:14:29.657 --> 03:14:31.038]  That's gonna cause a giant war!
[03:14:31.038 --> 03:14:32.599]  Those people are tribal-based, man!
[03:14:32.599 --> 03:14:34.420]  One African tribe's killing the next!
[03:14:34.420 --> 03:14:36.101]  Used to be the half-Cox and the McCoys!
[03:14:36.101 --> 03:14:37.862]  Two different groups would kill each other out West!
[03:14:37.862 --> 03:14:39.082]  White people killing each other!
[03:14:39.082 --> 03:14:41.624]  That's how people are!
[03:14:41.624 --> 03:14:43.885]  By the way, we're supposed to be territorial or we'll have nothing!
[03:14:47.972 --> 03:14:50.513]  But does that mean you really want to shoot blacks up and poison them and kill them?
[03:14:50.513 --> 03:14:51.213]  No.
[03:14:51.213 --> 03:14:55.775]  We've got to get at the chess level of this and realize the larger situation.
[03:14:55.775 --> 03:14:57.796]  Because this is 3-D chess we're playing.
[03:14:57.796 --> 03:14:59.237]  All right, I'm going to go to your calls.
[03:14:59.237 --> 03:15:00.357]  We've got three segments left.
[03:15:00.357 --> 03:15:03.179]  I appreciate you all holding patiently.
[03:15:03.179 --> 03:15:04.359]  Who has been holding along?
[03:15:04.359 --> 03:15:04.999]  Who is that?
[03:15:04.999 --> 03:15:11.382]  That would be Roger in FEMA Region 9, then Camilo.
[03:15:11.382 --> 03:15:12.042]  Go ahead, Roger.
[03:15:12.042 --> 03:15:13.843]  Thanks for holding.
[03:15:13.843 --> 03:15:15.444]  Good afternoon, Alex.
[03:15:15.444 --> 03:15:15.864]  Welcome, sir.
[03:15:16.917 --> 03:15:18.538]  First time caller, long time listener.
[03:15:18.538 --> 03:15:20.680]  So I'm going to get to the point.
[03:15:20.680 --> 03:15:25.224]  Just six hours ago, the Fox Business News, I know they're propaganda media.
[03:15:25.224 --> 03:15:27.806]  I got a couple topics.
[03:15:27.806 --> 03:15:32.991]  The governor down in Helipin just declared a state of emergency for his town.
[03:15:32.991 --> 03:15:34.032]  Now the reason why?
[03:15:34.032 --> 03:15:37.695]  The busloads of illegals are coming in.
[03:15:38.519 --> 03:15:40.200]  The migrant crisis has started.
[03:15:40.200 --> 03:15:41.501]  These are military-age men.
[03:15:41.501 --> 03:15:45.404]  I have a friend that was doing security.
[03:15:45.404 --> 03:15:54.631]  He was putting in cameras all down along the border this last year and as of 2019 as well, and he told me that there's a big old storm coming and it's not nice.
[03:15:54.631 --> 03:16:01.716]  These are, you described it before, military-age men, but they got women as well.
[03:16:03.172 --> 03:16:12.980]  As of lately, keeping an eye out and listening to you for a long time, spreading banned video everywhere I go, don't wear a mask, not taking the vaccine, I'm tired of the New World Order.
[03:16:12.980 --> 03:16:14.561]  So, they now have
[03:16:15.962 --> 03:16:24.687]  I guess they're operative sleeper cells, you'd call them, but they're using women and children as the disguise, saying they're out of gas, they need your help.
[03:16:24.687 --> 03:16:27.969]  And that's why Psaki said bring a 10-year-old.
[03:16:27.969 --> 03:16:35.374]  Now we just showed footage of Trump four years ago putting up barbed wire, stopping the flood, which stops the collapse and stops the crisis.
[03:16:35.374 --> 03:16:39.456]  Instead now it's all gone and Biden said you need to surge the border.
[03:16:39.456 --> 03:16:42.598]  Our president says surge the border to bring down America.
[03:16:42.598 --> 03:16:44.459]  If that isn't impeachable, I don't know what is, brother.
[03:16:45.552 --> 03:16:46.593]  He's not a president.
[03:16:46.593 --> 03:16:48.595]  He is a piece of garbage filth.
[03:16:48.595 --> 03:16:50.978]  Like you said, he is a puppet.
[03:16:50.978 --> 03:16:52.599]  I've seen this a long time.
[03:16:52.599 --> 03:16:53.840]  I've been awake.
[03:16:53.840 --> 03:16:54.461]  I love you.
[03:16:54.461 --> 03:16:55.702]  I love everything you do.
[03:16:55.702 --> 03:17:00.727]  Remember just four years ago, CNN was saying there was no surge?
[03:17:00.727 --> 03:17:01.548]  Remember that?
[03:17:01.548 --> 03:17:02.789]  Oh, there are no caravans.
[03:17:02.789 --> 03:17:03.170]  Remember that?
[03:17:05.131 --> 03:17:06.472]  And we don't need these walls.
[03:17:06.472 --> 03:17:09.754]  These walls are racist, but yet they're still doing it.
[03:17:09.754 --> 03:17:11.595]  They're still tearing them down.
[03:17:11.595 --> 03:17:16.058]  There's sections of the border like you covered earlier in the podcast.
[03:17:16.058 --> 03:17:17.959]  There's sections of the border that they only filled.
[03:17:17.959 --> 03:17:20.981]  They didn't fill the whole thing like Trump wanted it.
[03:17:20.981 --> 03:17:24.523]  It's logic, and that's what the left lack is logic.
[03:17:24.523 --> 03:17:25.223]  I'm tired of it.
[03:17:25.223 --> 03:17:27.344]  What do we do as far as beyond that?
[03:17:27.344 --> 03:17:28.345]  The left just doesn't.
[03:17:28.345 --> 03:17:29.065]  The left doesn't.
[03:17:29.065 --> 03:17:29.826]  It's spiritually
[03:17:31.044 --> 03:17:31.384]  Alex Jones, man.
[03:17:31.384 --> 03:17:31.825]  God bless you.
[03:17:31.825 --> 03:17:37.709]  I'm realizing that, you know, de Blasio talking about all these shootings that happened, and when he had the Asian vigil,
[03:17:56.733 --> 03:17:59.896]  And you know, they sympathize with the Asian victims in Atlanta.
[03:17:59.896 --> 03:18:05.441]  Kind of reminds me of Chris in Canada talking about BLM and how they're trying to, you know, do this globally.
[03:18:05.441 --> 03:18:07.763]  It's just more division, yeah.
[03:18:07.763 --> 03:18:11.726]  And then, you know, I just feel like eventually they're trying to push this
[03:18:12.661 --> 03:18:15.723]  Uh, Asian and anti-xenophobia, whatever it is.
[03:18:15.723 --> 03:18:19.564]  And it's like, when you try to warn people of the CCP, they just hear that.
[03:18:19.564 --> 03:18:20.125]  You know what I mean?
[03:18:20.125 --> 03:18:22.186]  They, like, CCP... I'm about to say that last week.
[03:18:22.186 --> 03:18:27.748]  Back when the Clintons were giving missile cigarettes to China, they would say, it's racist to not give missiles to China.
[03:18:27.748 --> 03:18:28.489]  You're absolutely right.
[03:18:28.489 --> 03:18:32.511]  They're trying to use this whole Asian thing to hype it up so we can't criticize China.
[03:18:32.511 --> 03:18:33.131]  You're dead right.
[03:18:34.036 --> 03:18:52.779]  They're connecting them with the BLM, you know, basically just silencing, not realizing, like you said before, where real slavery still exists in and where, like, you know, basically I have Asian friends and I try to tell them and I just feel like now it's just even more difficult because they're just looking at me like, you know, it's just some hate rhetoric.
[03:18:52.779 --> 03:18:55.780]  Which is going to create even more division and more fights.
[03:18:55.780 --> 03:18:56.580]  Exactly.
[03:18:56.580 --> 03:19:01.841]  And yeah, I've been realizing that as well as earlier you were mentioning
[03:19:02.805 --> 03:19:08.509]  On a side note, Yale, and a pretty good recommendation, I saw The Good Shepherd.
[03:19:08.509 --> 03:19:15.114]  And realizing all the rituals that they do, and it's crazy that Robert De Niro can make that movie and then criticize Trump.
[03:19:15.114 --> 03:19:20.858]  And I don't know how stuff gets so muddled up, you know, but if people are paying attention, you know, it's right there.
[03:19:20.858 --> 03:19:22.780]  You know, and the contradiction is right there.
[03:19:22.780 --> 03:19:23.861]  And like you said, it's all fake.
[03:19:23.861 --> 03:19:25.062]  They don't love black people.
[03:19:25.062 --> 03:19:26.042]  They don't love Asian people.
[03:19:26.042 --> 03:19:27.804]  They just using them, propping them up, you know?
[03:19:27.804 --> 03:19:28.284]  It's crazy.
[03:19:28.484 --> 03:19:34.130]  And at the end of the day, they want to get everybody, because again, they make some of the elite white people think, oh, you're going to be part of the club.
[03:19:34.130 --> 03:19:35.011]  No.
[03:19:35.011 --> 03:19:36.993]  Now they admit it's a post-human world.
[03:19:36.993 --> 03:19:41.358]  Whatever this is running things, and I believe the Bible, it's the devil, does not want any humans.
[03:19:41.358 --> 03:19:44.101]  The Bible tells us the devil comes to destroy God's creation.
[03:19:45.986 --> 03:19:50.190]  100% man, 100% is being shown every single day and I found God through this.
[03:19:50.190 --> 03:19:57.736]  Last year I found your show during the George Floyd thing and you brought a lot of clarity and it's crazy.
[03:19:57.736 --> 03:20:01.179]  Everything is lining up man and we're being woken up for our true purpose.
[03:20:01.179 --> 03:20:03.581]  Well God bless you sir and keep spreading the word.
[03:20:03.581 --> 03:20:05.162]  Camilo, thank you so much.
[03:20:05.162 --> 03:20:09.125]  And let me say this, I talk about this because this isn't BS.
