[00:00:00.000 --> 00:00:05.440]  [Sound Effects]
[01:08:01.427 --> 01:08:03.508]  I sell a lot of great things that are good for your immune system.
[01:08:03.868 --> 01:08:06.129]  I sell things that fund our operation.
[01:08:06.209 --> 01:08:12.473]  Books and films and t-shirts and highest quality water filtration, air filtration, at the lowest price you're going to find anywhere.
[01:08:12.853 --> 01:08:20.295]  I mean, Alexa Pure Breeze and Alexa Pure Pro water filters and air filters are highest rated out of dozens of top brands out there.
[01:08:20.335 --> 01:08:21.255]  There's hundreds of brands total.
[01:08:21.455 --> 01:08:28.517]  But there, people go, wow, this is actually half the price of stuff at Walmart, you know, water filters, and it's the highest rated.
[01:08:28.617 --> 01:08:29.097]  How is that?
[01:08:29.518 --> 01:08:30.818]  Because we're not ripping you off.
[01:08:32.580 --> 01:08:33.921]  I would get ready, I would get prepared.
[01:08:33.941 --> 01:08:37.924]  And yes, preparewithalex.com takes you right to the sub-page on infowarrestore.com.
[01:08:38.264 --> 01:08:41.787]  It's the full catalog of the great patriots at MyPatriotSupply.
[01:08:41.827 --> 01:08:45.630]  They're in our back end, they take the orders daily, and then it also helps fund our operation.
[01:08:45.670 --> 01:08:48.452]  The highest quality, storable food for the lowest price you're going to find.
[01:08:48.712 --> 01:08:51.654]  Can you pay three, four times more and get more gourmet that tastes better?
[01:08:51.694 --> 01:08:51.954]  Yeah.
[01:08:52.235 --> 01:09:00.260]  But for food that's good and nutritious and quality, and a lot of it tastes excellent, most of it tastes, you know, really good, some taste okay, but that's just dishes I don't like.
[01:09:01.001 --> 01:09:03.064]  You're not going to find anything near it for this price.
[01:09:03.105 --> 01:09:04.527]  This is what I have for my family.
[01:09:05.008 --> 01:09:06.390]  It's what I bought for friends and others.
[01:09:06.410 --> 01:09:10.537]  It's what we got stockpiled here at the office because I know how serious the world is.
[01:09:11.400 --> 01:09:15.481]  We finally got big generators, expensive, hooked into everything, and our own systems.
[01:09:15.881 --> 01:09:17.582]  I mean, we've done a lot of stuff.
[01:09:17.602 --> 01:09:18.502]  I'm going to leave it at that.
[01:09:18.522 --> 01:09:26.965]  I'm not going to tell you everything we've done to keep communications up and very expensive, because we need to be on air when they take everything down.
[01:09:27.145 --> 01:09:39.349]  And if that means, I mean, the enemy already knows what we got, but if that means radio and satellite relays, if that means our own power supplies, if that means our own microwave relays, I mean, you name it, we got it.
[01:09:39.949 --> 01:09:41.649]  Looks like the Rebel base here, folks.
[01:09:42.150 --> 01:09:44.190]  And the Imperial Walkers are marching towards us.
[01:09:44.210 --> 01:09:45.711]  And that means they're coming at you, too.
[01:09:46.131 --> 01:09:47.731]  So people ask, how are you taking all this?
[01:09:48.411 --> 01:09:50.132]  Man, I mean, I know what's going down.
[01:09:50.432 --> 01:09:51.692]  I'm ready for it.
[01:09:52.272 --> 01:09:53.033]  But understanding this.
[01:09:53.073 --> 01:09:54.093]  So, who knows?
[01:09:54.173 --> 01:09:56.994]  It could be your last chance any day to get Ultra 12.
[01:09:57.494 --> 01:09:58.954]  Or to get down and out sleep support.
[01:09:59.594 --> 01:10:01.375]  Or to get Endgame.
[01:10:01.435 --> 01:10:02.575]  Or the new film, Covidland.
[01:10:03.895 --> 01:10:05.216]  Or to get an M4 Wars t-shirt.
[01:10:05.316 --> 01:10:07.416]  I mean, until we turn this around and arrest the Globalists.
[01:10:07.436 --> 01:10:09.057]  Because they're not going to stop until we arrest them.
[01:10:10.103 --> 01:10:12.705]  And our own leaders don't even know what's going on, pretty much.
[01:10:12.885 --> 01:10:13.906]  They're starting to figure it out.
[01:10:13.986 --> 01:10:16.067]  So, this is such a dangerous time.
[01:10:16.107 --> 01:10:17.428]  It's so important we stay on air.
[01:10:17.988 --> 01:10:20.050]  It's so important we come together and realize what's happening.
[01:10:20.370 --> 01:10:22.451]  So get the products at infowarestore.com.
[01:10:22.972 --> 01:10:27.234]  Down and out's a great sleep aid with a whole bunch of different known herbs and compounds to give you deep, restful sleep.
[01:10:27.555 --> 01:10:30.897]  And that's really important for your immune system as well, to get deep, restful sleep.
[01:10:32.247 --> 01:10:35.728]  Research lack of sleep or lack of deep sleep and bad immune system.
[01:10:35.788 --> 01:10:36.448]  It's well known.
[01:10:36.548 --> 01:10:42.450]  So that's 50% off at InfoWarsTore.com and it makes this whole broadcast possible.
[01:10:42.530 --> 01:10:48.212]  So I just trust everything to God now, but the collapse has begun.
[01:10:48.232 --> 01:10:48.593]  All right.
[01:10:49.773 --> 01:10:51.153]  I'll be back tomorrow at 11 a.m.
[01:10:51.333 --> 01:10:53.634]  I'm going to go to break, come back with a special report, but let me hit these.
[01:10:54.014 --> 01:10:55.615]  And tomorrow I'm going to air some clips out of this.
[01:10:57.526 --> 01:11:03.232]  Black woman masquerading as KKK Klan member terrorized neighbors faces charges for months.
[01:11:03.272 --> 01:11:09.038]  For the last year, someone would put KKK signs on and dress as a KKK person and run around the night.
[01:11:09.618 --> 01:11:14.183]  And finally people recognized her handwriting versus notes they'd gotten before from her.
[01:11:14.603 --> 01:11:17.046]  And the police got a search warrant and went in and she was the one doing it.
[01:11:17.086 --> 01:11:18.267]  And it was all in her house.
[01:11:18.307 --> 01:11:21.110]  Just another example of how you're not supposed to question all these events.
[01:11:21.390 --> 01:11:23.390]  that happened, mass shootings, you name it.
[01:11:23.390 --> 01:11:25.890]  And then, of course, Jussie Smollett, you name it.
[01:11:25.890 --> 01:11:27.890]  You know, WMDs in Iraq, you name it.
[01:11:27.890 --> 01:11:29.189]  Gulf of Tonkin, you name it.
[01:11:29.189 --> 01:11:30.590]  Operation Northwoods, you name it.
[01:11:30.590 --> 01:11:32.890]  But here's another example of that.
[01:11:32.890 --> 01:11:33.890]  That's from Newsweek.
[01:11:33.890 --> 01:11:34.890]  Here's one from the Daily Mail.
[01:11:34.890 --> 01:11:35.890]  Here's another one.
[01:11:35.890 --> 01:11:40.190]   Baby in Roe v. Wade case was never aborted and just came out publicly.
[01:11:40.230 --> 01:11:41.571]  So has her mother.
[01:11:42.011 --> 01:11:42.671]  No one raped her.
[01:11:42.691 --> 01:11:43.372]  It was all made up.
[01:11:43.412 --> 01:11:44.793]  It was all a giant lie.
[01:11:44.833 --> 01:11:45.493]  And she's alive.
[01:11:45.954 --> 01:11:51.217]  All a giant false flag to then kill 65 million babies at least in America.
[01:11:51.718 --> 01:11:56.341]  And it pleases Hillary Clinton, that demonic witch, so much.
[01:11:56.501 --> 01:11:57.462]  But here's the facts.
[01:11:58.663 --> 01:11:59.603]  You can say kill babies.
[01:11:59.623 --> 01:12:00.224]  They don't have rights.
[01:12:00.284 --> 01:12:00.604]  Okay.
[01:12:01.325 --> 01:12:02.766]  How about all the adults dying?
[01:12:04.704 --> 01:12:13.228]  From the vaccines and the Pentagon confirming that their immune systems are disappearing until they get hit by another outside virus and then they get the syndrome that kills them.
[01:12:13.788 --> 01:12:15.328]  That report's on InfoWars.com.
[01:12:15.348 --> 01:12:20.411]  We spent the whole first hour and a half or hour and 15 minutes breaking that down.
[01:12:21.931 --> 01:12:22.652]  And then there's this.
[01:12:22.672 --> 01:12:23.972]  I've got to get to this tomorrow.
[01:12:23.992 --> 01:12:25.573]  There'll be so much news by then I probably won't.
[01:12:25.813 --> 01:12:27.834]  There's articles on InfoWars.com about it.
[01:12:28.094 --> 01:12:29.654]  There's articles on Gateway Pundit about it.
[01:12:29.915 --> 01:12:30.675]  It's so incredible.
[01:12:32.264 --> 01:12:34.305]  Biden went to a baseball game and got booed.
[01:12:34.786 --> 01:12:36.307]  And they said, F Joe Biden, like they do everywhere.
[01:12:37.127 --> 01:12:43.831]  And so the White House re-released the video with a dub tape saying, we love Joe Biden, and said it was real.
[01:12:44.772 --> 01:12:46.013]  And then released a bunch of other crap.
[01:12:46.073 --> 01:12:46.773]  I mean, folks.
[01:12:48.034 --> 01:12:49.355]  And it gets worse at NASCAR.
[01:12:50.933 --> 01:12:52.315]  They were saying F Joe Biden.
[01:12:52.896 --> 01:12:56.140]  And so the commentator changed it to the winner and said, oh, they're saying they love you.
[01:12:56.360 --> 01:12:58.683]  They're saying your name while they chant.
[01:12:58.723 --> 01:13:02.508]  I'm not going to play it here because we cut out the F. It just makes no sense.
[01:13:02.569 --> 01:13:04.812]  But you can see the videos online for yourself.
[01:13:05.913 --> 01:13:07.394]  We're not ABC News or CNN.
[01:13:07.414 --> 01:13:08.755]  We're not allowed to play cuss words here.
[01:13:09.075 --> 01:13:11.116]  We don't want to either, but we're nationalists.
[01:13:11.376 --> 01:13:11.956]  We're Christians.
[01:13:11.996 --> 01:13:12.497]  We're patriots.
[01:13:12.517 --> 01:13:13.117]  We're conservatives.
[01:13:13.397 --> 01:13:14.938]  If we do, we get FCC fines.
[01:13:15.358 --> 01:13:18.340]  Only Democrats are allowed to cuss on radio and TV.
[01:13:18.820 --> 01:13:22.822]  And so that means we can't even show you what's happening out there, but it's on InfoWars.com.
[01:13:22.842 --> 01:13:23.703]  But just think about that.
[01:13:25.363 --> 01:13:27.985]  He's at the big professional baseball game.
[01:13:30.137 --> 01:13:36.699]  And they're saying, F him, F him, until he has to leave, and they just dub over as if everyone didn't already know that that happened.
[01:13:36.899 --> 01:13:37.860]  They don't care!
[01:13:38.200 --> 01:13:42.261]  Everyone knows, it was all over TV, millions saw it, then they put out a fake tape that he was being cheered.
[01:13:43.161 --> 01:13:45.142]  They just aren't giving up, they aren't going away.
[01:13:45.342 --> 01:13:47.543]  I've got an article right here I didn't have time to get to, I'll play it tomorrow.
[01:13:48.291 --> 01:14:00.278]  Where the head congressional individual over the spending package says we can quote spend whatever amount of money we want, we're invincible, we're, I mean, he actually said we can spend unlimited amounts is the quote.
[01:14:01.038 --> 01:14:02.319]  Unlimited amounts is the quote.
[01:14:03.510 --> 01:14:05.492]  Yeah, and then it devalues everything.
[01:14:05.512 --> 01:14:07.374]  But see, they get the money first while it has value.
[01:14:07.414 --> 01:14:12.078]  They buy up real companies and infrastructure and farms and ranches and weapons and media.
[01:14:12.399 --> 01:14:15.802]  And then we all get handed the debt and the inflation and the hell.
[01:14:15.982 --> 01:14:18.404]  And then they say it's white men that are the problem.
[01:14:19.065 --> 01:14:22.087]  When it's just globalists screwing us all, it's totally wild.
[01:14:22.147 --> 01:14:23.988]  I mean, you're seeing modern war.
[01:14:24.388 --> 01:14:25.969]  The collapse has already begun.
[01:14:25.989 --> 01:14:27.450]  It's accelerating.
[01:14:27.490 --> 01:14:28.870]  You're in World War III.
[01:14:29.070 --> 01:14:31.332]  You're being hit with bioweapons in the vaccines.
[01:14:31.632 --> 01:14:34.753]  And then they blame those of us that are smart and don't take it as the ones that did it.
[01:14:34.813 --> 01:14:37.075]  And I told you a year and a half ago that would happen, and now it happened.
[01:14:37.355 --> 01:14:38.936]  We know what we're talking about!
[01:14:39.716 --> 01:14:42.157]  Please warn everyone there isn't much time left!
[01:14:42.457 --> 01:14:44.298]  They've already injected half the public!
[01:14:44.658 --> 01:14:45.699]  They're already dying!
[01:14:46.119 --> 01:14:49.341]  It's October 1st, 2021 and I've got good news for you.
[01:14:50.041 --> 01:14:51.122]  I've got good news for me.
[01:14:51.242 --> 01:14:55.564]  I've got good news for everybody alive in America and on this planet today.
[01:14:56.462 --> 01:15:03.029]  Now we spent years developing this, and it's probably one of the strongest, cleanest formulas in the world.
[01:15:03.049 --> 01:15:03.970]  There may be something better.
[01:15:04.411 --> 01:15:05.131]  We don't know about it.
[01:15:05.151 --> 01:15:12.119]  It's made by one of the top labs in the United States that we private label it from, because again, if we said their name, they'd get attacked by the left.
[01:15:12.728 --> 01:15:14.729]  This stuff is incredible.
[01:15:15.589 --> 01:15:18.230]  It is BrainForce Ultra.
[01:15:19.030 --> 01:15:22.731]  Exclusively available at InfoWarsTore.com.
[01:15:23.031 --> 01:15:28.393]  We got a limited run of this in a month ago and it sold out in three days.
[01:15:29.313 --> 01:15:31.754]  And we already had a larger batch getting developed.
[01:15:32.434 --> 01:15:33.855]  The ingredients came in.
[01:15:34.798 --> 01:15:50.990]  And the new batch is here, and I just took some today, and I think it's even stronger than the last batch, because this stuff, again, is done in a lab, but it's done organically, so each batch varies a little bit, but it does get all the testing done to show that it's at least up to a basic strength, and this is actually above that.
[01:15:51.331 --> 01:15:58.576]  So we got BrainForce Ultra back in stock, we got a big shipment in, but it's so popular, I think it's gonna sell out in probably a week.
[01:15:59.096 --> 01:16:05.802]   Despite that, we're gonna offer it at 50% off the introductory rate, For at least four or five days.
[01:16:06.122 --> 01:16:08.504]  That's why I'm saying it's October 1st.
[01:16:09.124 --> 01:16:10.685]  I'm gonna run this until October 5th.
[01:16:10.885 --> 01:16:11.666]  Hell, it may sell out.
[01:16:12.006 --> 01:16:23.815]  And that's good news for InfoWars because we desperately need funding in the face of the Democratic Party assault, their rig courts, their kangaroo systems, and their attempts to silence us and silence you.
[01:16:23.835 --> 01:16:25.076]  Because that's why they're coming after us.
[01:16:25.376 --> 01:16:25.976]  is to get to you.
[01:16:26.196 --> 01:16:30.938]  We are all in this together, as Benjamin Franklin said, and if we don't hang together, we're going to hang separate.
[01:16:31.198 --> 01:16:36.640]  You've been hanging with us, you've been keeping us on air, you've been spreading the word, and it's having an incredible effect.
[01:16:36.700 --> 01:16:39.261]  In fact, let me spend a minute or so on that before I get back into this.
[01:16:40.081 --> 01:16:42.642]  I had a chance to go up to Glenn Beck's The Blaze.
[01:16:43.462 --> 01:16:54.972]   I had a chance to hang out with Stephen Crowder at his offices outside The Blaze, and I had a chance to meet with a lot of other big reporters and other pundits and A lot of them thought I was full of it 10 years ago or even 5 years ago.
[01:16:55.012 --> 01:16:58.354]  They now see everything I predict to come true and we had a hero's welcome there.
[01:16:58.914 --> 01:17:00.815]  And it's happening all over the place.
[01:17:01.035 --> 01:17:02.476]  But that's because of your support.
[01:17:02.936 --> 01:17:05.757]  If you didn't keep us on air, the world wouldn't be waking up.
[01:17:06.118 --> 01:17:09.039]  When this tyranny launches attack, we would be losing.
[01:17:09.079 --> 01:17:09.859]  We'd be submitting.
[01:17:10.240 --> 01:17:15.802]  But instead, all over the world, from Australia to the United States, people are fighting back and waking up.
[01:17:16.443 --> 01:17:21.035]   And Infowars, at least half the time that we talk to people, is the catalyst that woke them up.
[01:17:21.115 --> 01:17:22.937]  That means you're the catalyst that woke them up.
[01:17:23.317 --> 01:17:25.679]  So again, Brain Force Ultra is back in stock.
[01:17:25.699 --> 01:17:27.640]  You've got to go see what is in this.
[01:17:27.680 --> 01:17:28.621]  Let me just read you some of the things.
[01:17:29.301 --> 01:17:30.102]  Guarana seed.
[01:17:30.462 --> 01:17:31.403]  Look at what that does.
[01:17:31.983 --> 01:17:33.004]  Alpha GPC.
[01:17:33.304 --> 01:17:33.585]  Woo!
[01:17:34.165 --> 01:17:35.326]  Green coffee bean.
[01:17:35.646 --> 01:17:36.427]  Alethro root.
[01:17:36.547 --> 01:17:37.668]  Yerba Mate leaf.
[01:17:38.008 --> 01:17:38.888]  Green tea leaves.
[01:17:39.209 --> 01:17:40.009]  Ginkgo leaf.
[01:17:40.650 --> 01:17:41.631]  Ashwagandha root.
[01:17:42.171 --> 01:17:42.871]  And more.
[01:17:42.972 --> 01:17:44.172]  And they are strong.
[01:17:44.493 --> 01:17:45.133]  Organic.
[01:17:45.473 --> 01:17:46.274]  Cold press.
[01:17:46.314 --> 01:17:47.515]  This isn't dry garbage.
[01:17:47.775 --> 01:17:48.756]  This isn't old trash.
[01:17:49.156 --> 01:17:50.557]  This is new.
[01:17:51.117 --> 01:17:58.501]  At one of the best labs, I don't want to say the best, because there might be one better, but it's the best we know of, and we are so proud to bring you this, and that it funds the M4.
[01:17:58.841 --> 01:18:04.544]  Clean, long, sustained, deep, focused energy, where you don't have the crash.
[01:18:04.884 --> 01:18:14.849]   If you love turbo force, if you love Brain Force Plus, that are both different formulas that are excellent, You're going to absolutely love BrainForce Ultra.
[01:18:15.510 --> 01:18:16.570]  All three are different formulas.
[01:18:17.071 --> 01:18:18.291]  All three do different things.
[01:18:18.672 --> 01:18:22.053]  But I've got to tell you, of the three, drop for drop, this is the strongest ever.
[01:18:23.074 --> 01:18:24.695]  50% off, InfoWorksStore.com.
[01:18:24.735 --> 01:18:29.277]  And while you're there, check out all the other great products like Ultra 12, Winter Sun, and so many others.
[01:18:29.577 --> 01:18:33.520]  But whatever you do, keep praying for a global awakening, and keep spreading the word about InfoWorks.
[01:18:33.900 --> 01:18:41.286]   Tomorrow's news, today, And remember that every person you reach out to now is one step closer to our victory.
[01:18:41.606 --> 01:18:42.887]  So thanks for keeping us in the fight.
[01:18:43.148 --> 01:18:44.189]  We're never going to back down.
[01:18:44.329 --> 01:18:59.168]  God bless and good luck.
[01:18:59.223 --> 01:19:01.325]  You better believe you've got one!
[01:19:03.275 --> 01:19:08.876]   From the front lines of the information war, it's Alex Jones.
[01:19:08.876 --> 01:19:22.876]  [Music]
[01:19:22.876 --> 01:19:26.635]  [Music]
[01:19:26.635 --> 01:19:30.876]  Add to that list the vaccination for COVID-19.
[01:19:31.074 --> 01:19:35.956]  California Governor Newsom has done the unthinkable, ignoring the research.
[01:19:36.497 --> 01:19:41.519]  Most, if not all, of the studies show robust immunity from getting the disease naturally.
[01:19:41.899 --> 01:19:46.121]  The CDC says if you've had measles and have immunity, you don't have to be vaccinated.
[01:19:46.481 --> 01:19:47.902]  The same was true of smallpox.
[01:19:48.422 --> 01:19:51.904]  You're selectively doing this because you want us to submit to your will.
[01:19:52.364 --> 01:19:55.506]  You have no scientific background, no scientific degrees.
[01:19:55.786 --> 01:19:58.207]  I can't go to my doctor and ask my doctor's opinion?
[01:19:58.227 --> 01:20:11.054]  I mean, this is incredibly arrogant, combined with this authoritarian nature that you think, well, we'll just tell all of America to do what I say, and they better, or we'll fine them, or put them in jail, or not let them go to school, or not let them travel.
[01:20:11.494 --> 01:20:12.594]  Ignoring the deaths.
[01:20:12.974 --> 01:20:23.398]  The CDC finding 16 to 24 year olds who receive the Pfizer or Moderna vaccine have experienced higher than normal cases of myocarditis, an inflammation of the heart muscle.
[01:20:23.598 --> 01:20:26.239]  Inflammation in teens explodes across the U.S.
[01:20:26.679 --> 01:20:28.339]  after FDA approves injections.
[01:20:28.379 --> 01:20:29.780]  Here's an article out of the U.K.
[01:20:29.820 --> 01:20:30.520]  out of the Sun.
[01:20:30.580 --> 01:20:36.742]  Side effect teenage boys are 14 times more likely to suffer heart complications from Pfizer-Jabs study finds.
[01:20:37.282 --> 01:20:40.083]  My son can receive the vaccine.
[01:20:41.413 --> 01:20:42.973]  And he died a few days later.
[01:20:42.993 --> 01:20:48.235]  The only explanation that was given to me was enlarged heart.
[01:20:48.555 --> 01:20:53.976]  I am in the hospital right now with heart complications from the COVID-19 vaccine.
[01:20:54.196 --> 01:20:55.496]  Karen Kingston joined us.
[01:20:56.177 --> 01:20:57.817]  She worked for Pfizer years ago.
[01:20:58.477 --> 01:21:05.902]   She's a biotech analyst and she said, If kids become injected, she just doesn't know how they will survive.
[01:21:05.942 --> 01:21:07.103]  Do you agree with that sentiment?
[01:21:08.203 --> 01:21:07.103]  100%.
[01:21:08.363 --> 01:21:11.584]  I agreed with it before and I agreed with it after.
[01:21:11.624 --> 01:21:20.727]  Now, on Tuesday, I went for a meeting in London, in Westminster, in Bird's Cage Walk, and we sat with a very eminent member of Parliament who's very influential.
[01:21:20.907 --> 01:21:41.146]   I was surrounded by a plethora of the brightest scientific and legal minds In the world, and they basically said that they foresee in October, November and December terrible death rate globally, exclusively in the vaccinated children that are injected will die.
[01:21:41.226 --> 01:21:44.510]  One of the main causes of this will be inflammation of the heart.
[01:21:44.930 --> 01:21:47.671]  And that's been well documented, but totally ignored constantly.
[01:21:48.851 --> 01:21:54.353]  Those deaths will be labelled swiftly as a new virulent strain of COVID.
[01:21:54.393 --> 01:21:56.373]  And they've been very clear on doing that, haven't they?
[01:21:56.413 --> 01:21:57.834]  Every few weeks you get a new strain.
[01:21:58.174 --> 01:21:59.494]  And then, oh, there's a new variant.
[01:21:59.514 --> 01:22:00.234]  There's a new variant.
[01:22:00.534 --> 01:22:04.395]  And this variant will be the one that is said to do the most damage.
[01:22:04.435 --> 01:22:09.977]  Now, there will be civil unrest as people slowly come to terms with the fact they've been lied to.
[01:22:10.657 --> 01:22:13.658]  And nobody loves anything more in their life than their kids, do they?
[01:22:13.718 --> 01:22:14.198]  Let's be honest.
[01:22:14.358 --> 01:22:20.807]  Ignoring the doctors and parents that will rise up like a firestorm in the next few days, weeks and months.
[01:22:21.147 --> 01:22:24.892]  We're just not going to follow in line with just a mandate.
[01:22:25.093 --> 01:22:30.560]  We want to go through a process and we want to be in the driver's seat on the decisions for our children.
[01:22:30.720 --> 01:22:40.122]  Newsom has mandated that public school children, kindergarten through 12th grade, must receive the ineffective and dangerous COVID vaccine.
[01:22:40.783 --> 01:22:53.426]  Once the FDA approves the vaccination in different cohorts starting with 12 and above, grades 7 to 12, we will begin to apply that requirement in the next term.
[01:22:54.423 --> 01:23:00.105]  Either January 1st or July 1st, whichever comes sooner.
[01:23:00.365 --> 01:23:08.269]  Newsom has set in motion a decree that will make disgraced Governor Cuomo's nursing home massacre look like a blip on the radar.
[01:23:08.529 --> 01:23:15.011]  Agnes Minicel died at age 93 in an Albany hospital just a couple days after her nursing home sent her there.
[01:23:15.411 --> 01:23:20.574]  Her son, a registered Democrat, same party as Cuomo, says this isn't about politics.
[01:23:21.234 --> 01:23:23.955]  I think there was an intentional cover-up because of the numbers.
[01:23:24.733 --> 01:23:31.195]  You know, he's bragging about the numbers in nursing homes, and, you know, and he wanted to lower the numbers.
[01:23:31.675 --> 01:23:34.516]  And I know what he's playing with here, and it's just not right.
[01:23:35.276 --> 01:23:36.176]  I want the truth.
[01:23:36.517 --> 01:23:37.337]  I want justice.
[01:23:37.737 --> 01:23:54.442]  Affecting 6.7 million children, currently 7th to 12th graders will have until next summer to get their vaccinations, while kindergartners through 6th graders are merely waiting on Fauci to get the approval for that age group.
[01:23:54.682 --> 01:24:04.785]  We're talking at a matter of weeks, possibly by the end of the month, the beginning of next month, because I know the FDA really wants to do it correctly, but they want to do it quickly.
[01:24:05.265 --> 01:24:11.567]  Many states will follow Newsom's moronic lead, as they did when he began the first stay-at-home orders.
[01:24:12.047 --> 01:24:21.290]  There's a recognition of our interdependence that requires of this moment that we direct a statewide order for people to stay at home.
[01:24:21.630 --> 01:24:24.813]  Leading America into tyranny and doom.
[01:24:25.253 --> 01:24:26.554]  John Bowne reporting.
[01:24:29.376 --> 01:24:31.118]  The latest by John Bowne.
[01:24:31.138 --> 01:24:34.220]  You can find it now at Banned.Video and InfoWars.com.
[01:24:34.260 --> 01:24:35.802]  I suggest you go and share it.
[01:24:35.822 --> 01:24:36.562]  Click the share button.
[01:24:36.582 --> 01:24:44.529]  It'll give you a disguised URL which means you can publish it on Big Tech despite their ongoing and indeed increasing censorship campaigns.
[01:24:44.889 --> 01:24:45.730]  Banned.Video.
[01:24:45.770 --> 01:24:46.730]  Then just hit the share button.
[01:24:48.672 --> 01:24:49.132]  Welcome back.
[01:24:49.212 --> 01:24:49.993]  My name is Harrison Smith.
[01:24:50.033 --> 01:24:51.874]  I'm sitting in here for Alex Jones.
[01:24:51.914 --> 01:24:58.277]  I'll be here well into the evening, but we have some very special videos to show you, some exclusive interviews to get to.
[01:24:58.357 --> 01:25:08.862]  And of course, Alex didn't get to it, but I will be showing this video and covering this story that again, it's just, they just keep pushing and they just keep pushing and they just keep pushing.
[01:25:09.042 --> 01:25:11.404]  And at a certain point, it seems like it's parody.
[01:25:12.184 --> 01:25:13.184]  But it's not.
[01:25:13.184 --> 01:25:14.684]  Because it's really not funny.
[01:25:14.684 --> 01:25:15.684]  It's your future they're talking about.
[01:25:15.684 --> 01:25:19.443]   Of course, I'm talking about the House Budget Committee Chairman saying the federal government
[01:25:19.443 --> 01:25:21.244]  can afford anything.
[01:25:21.244 --> 01:25:22.244]  Anything at all.
[01:25:22.244 --> 01:25:27.324]   He's like, "You fools that think we're bounded by logic and common sense.
[01:25:27.324 --> 01:25:32.604]   No, we can do whatever we want because we have the guns and the power to do it."
[01:25:32.604 --> 01:25:33.604]  Really incredible stuff.
[01:25:33.604 --> 01:25:34.882]  A lot of incredible stuff to talk about.
[01:25:34.882 --> 01:25:37.244]  And I'm going to try to do a weekend review.
[01:25:37.244 --> 01:25:40.684]   And I say I'm going to try to do a weekend review because if you ever watch American
[01:25:40.684 --> 01:25:44.123]   Journal, the show that I host in the morning, I always do a daily dispatch.
[01:25:44.123 --> 01:25:46.923]   I always talk about how I'm going to try to keep it as short as possible.
[01:25:47.501 --> 01:25:55.643]  But, with just the sheer volume of news we deal with on a daily basis, it always stretches to like two or three segments, and that's just for a single day.
[01:25:55.703 --> 01:26:07.206]  So, I thought I'd go through and just grab the top stories that really, you know, illustrate where we are as a civilization, and where the information war stands, and five pages of links.
[01:26:07.405 --> 01:26:11.206]   five pages of links, like a link, like one line on a document,
[01:26:11.206 --> 01:26:13.704]  five pages of those for a single week.
[01:26:13.704 --> 01:26:17.164]  So will I be able to get to any of them or all of them?
[01:26:17.164 --> 01:26:20.805]   Stay tuned and find out, because really that's the best way to understand
[01:26:20.805 --> 01:26:25.185]   what's going on in this world, is not take things just one at a time
[01:26:25.185 --> 01:26:30.885]   where it's forgotten the very next day, but to look back and see the totality of what is occurring
[01:26:30.885 --> 01:26:34.405]   at this point in time and what has happened over the last week, and boy, oh boy,
[01:26:34.405 --> 01:26:37.125]  is it a cavalcade of absurdity.
[01:26:37.125 --> 01:26:38.885]  I think that's a good way to describe it.
[01:26:38.885 --> 01:26:41.046]  In fact, Alex was telling you about the...
[01:26:41.348 --> 01:26:46.272]  The black woman masquerading as a Ku Klux Klan member terrorizing neighbors and facing charges.
[01:26:46.292 --> 01:26:53.017]  That was just one of three fake hate crime hoaxes that were either perpetrated or uncovered this week.
[01:26:53.077 --> 01:26:54.658]  Three in a single week.
[01:26:55.519 --> 01:26:56.560]  Amazing, isn't it?
[01:26:58.075 --> 01:26:58.455]  Amazing.
[01:26:58.595 --> 01:27:15.382]  You'd think there wouldn't have to be any hate hoaxes with the amount we hear about white supremacist terror, domestic terror on a daily basis, but it seems like the demand for hate crimes outstrips the supply, so they're false flagging us into division, desperation, and chaos.
[01:27:15.402 --> 01:27:17.183]  We'll get to all of that and more.
[01:27:17.243 --> 01:27:26.227]   I do want to remind you, everything we do here is funded by InfoWarsTore.com, and this weekend personally was kind of a A white-pilling weekend for me.
[01:27:27.028 --> 01:27:28.949]  An uplifting weekend for me.
[01:27:29.429 --> 01:27:35.052]  I was at a wedding yesterday evening and, you know, they tell you where to sit, so we go find our name tags and sit down.
[01:27:35.072 --> 01:27:41.256]  And sitting right next to me is a young man, very respectful-looking young man.
[01:27:41.276 --> 01:27:44.657]  He's reading a book titled The Pearl Harbor Conspiracy.
[01:27:45.598 --> 01:27:50.141]  And so, of course, my wife and I sort of laughed at that and his parents were like, oh yeah, he's really into that sort of stuff.
[01:27:50.161 --> 01:27:51.966]   And I'm like, It's fine.
[01:27:51.986 --> 01:27:55.830]  We're going to have a very good conversation for this wedding.
[01:27:56.411 --> 01:28:02.898]  And then his mom's like, yeah, you know, I kind of get embarrassed because he's always going around telling people like total strangers.
[01:28:02.959 --> 01:28:07.123]  I'll just go up to him and tell him like the government's trying to control you and they're out to destroy you.
[01:28:07.143 --> 01:28:09.907]  And I'm like, this kid's going places.
[01:28:09.927 --> 01:28:11.088]  This is the future.
[01:28:11.108 --> 01:28:11.148]  So.
[01:28:12.697 --> 01:28:13.798]  Don't lose hope, folks.
[01:28:14.438 --> 01:28:16.039]  Don't think it's all hopeless.
[01:28:16.199 --> 01:28:25.264]  The young are waking up, and the more the globalists push, the more the pushback happens, and the more the young people are opening up their eyes and really pushing back against this.
