[00:00:00.000 --> 00:00:16.719]  [Thunder]
[01:11:27.061 --> 01:11:28.562]  I believe they'll rally against you.
[01:11:29.583 --> 01:11:32.726]  And since that happened, now they want me shut down because they see I'm right.
[01:11:34.016 --> 01:11:40.160]  So I don't tell you these negative things here on air so you get depressed and you get despondent.
[01:11:40.620 --> 01:11:44.122]  I believe when you know your neighbor's house is on fire, you're going to go try to help them.
[01:11:44.522 --> 01:11:50.405]  I believe when you know your daughter or son or whoever is being abused, you're going to go do something about it.
[01:11:50.485 --> 01:11:53.847]  Or if you're being cheated or screwed over, you want to know about that.
[01:11:54.368 --> 01:11:57.670]  I'm not one of these guys that wants to hear about a problem after it's too late.
[01:11:58.030 --> 01:11:59.551]  We're telling you the solutions.
[01:12:00.731 --> 01:12:02.492]  That you have in your hands that God gave you.
[01:12:03.052 --> 01:12:03.932]  We're not your boss.
[01:12:04.012 --> 01:12:11.856]  We're just pointing out that you've got, if your tire blows out, you've got a spare and you've got a way to change the tire in the back of your car right now, folks.
[01:12:12.496 --> 01:12:14.457]  And that's all we're saying is don't be a victim.
[01:12:15.077 --> 01:12:21.159]  Overcome this system and then help others overcome it because that's what you're meant to do.
[01:12:21.199 --> 01:12:22.140]  You're meant to be a teacher.
[01:12:22.180 --> 01:12:23.020]  You're meant to be a leader.
[01:12:23.300 --> 01:12:24.181]  You're meant to help others.
[01:12:24.281 --> 01:12:26.321]  That's the real fulfilling animated contest.
[01:12:28.091 --> 01:12:29.591]  That's what it's all about.
[01:12:29.591 --> 01:12:32.550]  And so I just hope you'll all go to ResetWars.com.
[01:12:32.550 --> 01:12:34.411]  I hope you will get the course.
[01:12:34.411 --> 01:12:37.010]   I hope that you will share the knowledge that's in the course.
[01:12:37.010 --> 01:12:39.091]  And I hope to be here with you in future courses.
[01:12:39.091 --> 01:12:42.110]   We're going to start a monthly thing and then a weekly thing
[01:12:42.110 --> 01:12:44.610]  for people that have been involved in the course.
[01:12:44.610 --> 01:12:47.051]  We're going to have just a lot of other stuff we're doing.
[01:12:47.051 --> 01:12:50.171]  This is just the beginning.
[01:12:48.980 --> 01:12:52.823]  But beginnings, as they say, are very, very important times.
[01:12:52.883 --> 01:12:54.423]  And this is a big deal.
[01:12:54.463 --> 01:12:55.104]  This isn't hype.
[01:12:55.524 --> 01:12:57.545]  This is ResetWars.com.
[01:12:57.565 --> 01:12:58.406]  Closing comment, Jake.
[01:12:59.126 --> 01:13:00.787]  I want to thank you for having me on today.
[01:13:01.067 --> 01:13:06.790]  I'm honored to have been able to watch this whole course being filmed live.
[01:13:06.850 --> 01:13:10.452]  But also, like I said, I've been able to watch this a half dozen times.
[01:13:10.532 --> 01:13:20.215]   And as someone myself, maybe like you listening, I've been a fan of Alex for forever and I have to say I've seen all so many of the
[01:13:20.215 --> 01:13:25.454]   films the shows This is by far the greatest thing he's ever created and I
[01:13:25.454 --> 01:13:30.673]   can tell you just from one Alex Jones and one InfoWars fan to another
[01:13:30.673 --> 01:13:34.755]   You're gonna want to sign up for this right now This is very important.
[01:13:34.835 --> 01:13:42.680]  It's very important because this is going to be life-changing stuff, but it's also very important because of the attacks that are happening to InfoWars.
[01:13:43.261 --> 01:13:53.208]  And this is the next iteration, whether it's supply chain disruptions or whatever it might be, to continue to fund this operation and continue to push the needle forward.
[01:13:53.608 --> 01:13:56.250]  Alex has a big vision and a lot of things planned.
[01:13:56.570 --> 01:14:01.315]  Think of this like Infowars University, Alex Jones University, breaking it all down.
[01:14:01.355 --> 01:14:05.398]  So go right now, and I encourage you to sign up for this course right now.
[01:14:05.458 --> 01:14:09.662]  Do it for yourself, do it for your friends, do it for your family, and it's going to be beautiful.
[01:14:09.682 --> 01:14:11.664]  We never told the Joe Rogan story!
[01:14:11.684 --> 01:14:15.208]  Well, I got a flight that I have to catch, so...
[01:14:16.536 --> 01:14:18.639]  No, no, we gotta go into the course.
[01:14:19.440 --> 01:14:21.622]  I mean, Joe just texted me.
[01:14:21.682 --> 01:14:25.647]  So the point is, is that Joe is full on awake now.
[01:14:25.747 --> 01:14:28.271]  And he was projecting his own goodness onto the globalists.
[01:14:28.911 --> 01:14:32.155]  But now he's realized it, but he's also realizing his power.
[01:14:32.856 --> 01:14:34.738]  He's using it and it's getting very exciting.
[01:14:35.379 --> 01:14:36.440]  We're living an amazing life.
[01:14:36.641 --> 01:14:43.528]  All of us go through this and we find out how to switch those knobs in our mind and step into that type of power.
[01:14:43.869 --> 01:14:47.453]  Whether it's Joe, whether it's you, we can all do this together.
[01:14:48.874 --> 01:14:52.478]  Like Alex says in the course, first they come for your mind, then they come for your soul.
[01:14:52.518 --> 01:14:53.660]  So sign up right now.
[01:14:54.060 --> 01:14:56.302]   ResetWars.com That's right.
[01:14:56.342 --> 01:14:56.623]  All right.
[01:14:56.763 --> 01:14:57.624]  You go get your flight.
[01:14:57.804 --> 01:15:01.607]  And then I saw you when you were here a while back on with Harrison Smith.
[01:15:02.007 --> 01:15:04.089]  I thought that was a powerful interview where you laid this out.
[01:15:04.109 --> 01:15:05.691]  We're going to air that, too, in the emergency broadcast.
[01:15:05.951 --> 01:15:06.331]  Absolutely.
[01:15:06.351 --> 01:15:07.152]  Thank you for having me on.
[01:15:07.192 --> 01:15:09.274]  Anything else you've got, any other ideas, let us know, all right?
[01:15:09.534 --> 01:15:10.035]  Absolutely.
[01:15:10.055 --> 01:15:10.395]  All right.
[01:15:10.455 --> 01:15:12.737]  ResetWars.com, ladies and gentlemen.
[01:15:13.097 --> 01:15:14.719]  Thank you all so much for joining us.
[01:15:14.759 --> 01:15:17.061]  We'll go to break and we'll be right back.
[01:15:17.401 --> 01:15:19.402]  Why should you order Reset Wars today?
[01:15:20.223 --> 01:15:24.106]  It will help you prepare yourself and protect your family from the Great Reset.
[01:15:24.586 --> 01:15:27.188]  The globalists are about to attack like never before.
[01:15:28.008 --> 01:15:30.710]  They're ramping up for total collapse of society.
[01:15:31.651 --> 01:15:38.295]  With this course, you'll finally know how to prepare mentally, spiritually, and financially for the coming hard times.
[01:15:38.795 --> 01:15:47.041]  This course will give you the mental and spiritual strength to defeat the Great Reset and how to protect yourself, your friends, and your family.
[01:15:47.462 --> 01:15:50.832]  Head to ResetWars.com right now and join today!
