[00:00:00.765 --> 00:00:02.506]  To inject everyone's children.
[03:11:12.068 --> 03:11:14.049]  But then it all changed.
[03:11:14.049 --> 03:11:15.230]  And, of course, we had a lockdown.
[03:11:15.230 --> 03:11:18.692]  We had to keep children out of school, even though that they were immune from the disease altogether.
[03:11:18.692 --> 03:11:25.417]  You had to stay inside of your home unless you were protesting for racial injustice, in which case not staying at home was essential.
[03:11:27.122 --> 03:11:30.466]  And now we have this deadly shot that nobody will acknowledge.
[03:11:30.466 --> 03:11:40.076]  I have yet to see one reporter in the White House press room ask this Jen Psaki, who by the way tested positive for COVID despite she's had like, I don't know, 35 or 40 injections now.
[03:11:41.693 --> 03:11:45.855]  Not one person has asked, why are there 18,000 people dead and nobody's saying anything about it?
[03:11:45.855 --> 03:11:47.896]  So you know that this is an information war, obviously.
[03:11:47.896 --> 03:11:56.060]  So we're going to get down to business with Dr. Jane Ruby, because over the weekend, an historic speech was given by Dr. David Martin, and Dr. Ruby joins us now.
[03:11:56.060 --> 03:11:59.982]  So, Dr. Ruby, David Martin laid out specific felonies
[03:12:01.138 --> 03:12:12.158]  And our do-nothing Congress can act right now to stop the emergency use authorization and to halt this vaccine thing altogether, do what Peter McCullough says, and just end the whole thing.
[03:12:12.158 --> 03:12:12.599]  What do you have?
[03:12:14.269 --> 03:12:18.373]  Well, first of all, let me just emphasize so people really understand.
[03:12:18.373 --> 03:12:21.917]  Five to eleven-year-olds right now are being mass murdered.
[03:12:21.917 --> 03:12:22.938]  It's really that simple.
[03:12:22.938 --> 03:12:25.660]  I know it sounds hyperbolic, but too bad.
[03:12:25.660 --> 03:12:27.082]  It's really what's happening.
[03:12:27.082 --> 03:12:32.307]  And in fact, over the weekend, over a million five-year-olds were injected by CVS alone.
[03:12:32.307 --> 03:12:34.769]  And also, there were over 125 reported errors.
[03:12:37.592 --> 03:12:41.055]  Because these places got this new vial for children.
[03:12:41.055 --> 03:12:42.436]  Who knows what's in it, Stu?
[03:12:42.436 --> 03:12:45.018]  Who knows how much of anything is in there?
[03:12:45.018 --> 03:12:48.580]  But the reports came in that some of them got a higher dose.
[03:12:48.580 --> 03:12:49.962]  They got more of an adult dose.
[03:12:49.962 --> 03:12:52.383]  It wasn't reconstituted properly.
[03:12:52.383 --> 03:12:53.885]  And others didn't get enough.
[03:12:53.885 --> 03:13:01.030]  And instead of shutting it down and shutting those sites down, they're actually telling them to go ahead with the second dose in three weeks.
[03:13:01.030 --> 03:13:02.651]  I mean, this insanity.
[03:13:03.892 --> 03:13:06.933]  Let's get back to what Dr. David Martin has been exposing.
[03:13:06.933 --> 03:13:23.557]  This is going to be huge and you can help make it huge because what he's done here is put together the connections and the evidence that this is a criminal conspiracy to commit an act of terror on the people of the United States and obviously of the world as well.
[03:13:23.557 --> 03:13:24.857]  Here's the basic premise.
[03:13:24.857 --> 03:13:26.497]  Let's start with that, okay?
[03:13:26.497 --> 03:13:32.459]  That if you can pierce the veil of legal immunity, all the emergency use authorizations go away.
[03:13:32.979 --> 03:13:41.866]  And the PrEP Act, as you all know, is what gives these pharmaceutical companies complete immunity from any legal liability.
[03:13:41.866 --> 03:13:50.013]  Except, and it's something I've been saying, I've said it on Alex's show, I've said it on a number of shows, premeditated murder is never protected.
[03:13:50.013 --> 03:13:50.553]  Okay?
[03:13:50.553 --> 03:13:52.555]  There's no statute of limitations on it.
[03:13:52.555 --> 03:13:54.797]  You don't get legal liability protection from it.
[03:13:55.297 --> 03:13:57.298]  And so that's where we're going with this.
[03:13:57.298 --> 03:13:59.399]  The PrEP Act gave them that shield.
[03:13:59.399 --> 03:14:12.025]  But if you can show that there's been even one felony conviction, and he shows us five of them, you would see the veil pierced of immunity, and you would also see these emergency use authorizations stop.
[03:14:12.025 --> 03:14:14.606]  That stops everything.
[03:14:14.606 --> 03:14:19.168]  We're going to get into the five felonies.
[03:14:19.168 --> 03:14:23.130]  But before we do, because I want you to be able to take your time
[03:14:24.537 --> 03:14:26.779]  You said that this sounds hyperbolic, and it does.
[03:14:26.779 --> 03:14:30.723]  Is it also hyperbolic to say that the Congress is going to do something?
[03:14:30.723 --> 03:14:32.304]  That the U.S.
[03:14:32.304 --> 03:14:33.545]  Senate is going to do something?
[03:14:33.545 --> 03:14:40.151]  I mean, Rand Paul does a lot of grandstanding, a lot of fundraising, donate here buttons, and all of this kind of nonsense.
[03:14:40.151 --> 03:14:48.119]  Viral videos all over the place of his scathing rant, and we've got a lot of mean letters, strongly worded letters, and mean tweets that are getting sent around all over the place.
[03:14:49.096 --> 03:14:49.856]  He's a criminal.
[03:14:49.856 --> 03:14:52.477]  He's committed the five felonies that we're going to get into.
[03:14:52.477 --> 03:15:02.119]  Do you think that there's an actual mechanism that we will get to today on this program where people can actually spur action that's going to end this?
[03:15:02.119 --> 03:15:03.759]  People are tired of this.
[03:15:03.759 --> 03:15:07.800]  We're looking at a transhuman event, an extinction event, all of these things.
[03:15:07.800 --> 03:15:09.600]  Are we going to be able to affect change?
[03:15:09.600 --> 03:15:11.640]  Yes or no?
[03:15:11.640 --> 03:15:12.681]  Yes, absolutely.
[03:15:12.681 --> 03:15:14.381]  Here's the pathway.
[03:15:14.381 --> 03:15:14.541]  Sure.
[03:15:15.737 --> 03:15:19.179]  Here's the pathway forward, and I think it's brilliant.
[03:15:19.179 --> 03:15:28.923]  Dr. Martin suggested that each of you, as many as possible in your respective states, send by certified mail the PowerPoint that he went through.
[03:15:28.923 --> 03:15:30.544]  It's only about 13 slides.
[03:15:30.544 --> 03:15:31.224]  Not a big deal.
[03:15:31.224 --> 03:15:32.125]  Print it out.
[03:15:32.125 --> 03:15:36.007]  Send it by certified mail to your state's Attorney General.
[03:15:36.007 --> 03:15:37.047]  Okay?
[03:15:37.047 --> 03:15:40.088]  And by doing so, you're making them aware of it.
[03:15:40.088 --> 03:15:43.170]  Stu, if they don't act on it by either starting an investigation,
[03:15:44.269 --> 03:15:47.311]  Yeah, we're going to see this this presentation here.
[03:15:47.311 --> 03:15:58.419]  We've got about five seconds and we're going to come back and go through all of these felonies and this PowerPoint and exactly what you can do at Band That Video.
[03:15:58.419 --> 03:16:00.080]  This is a great sponsor.
[03:16:00.080 --> 03:16:05.564]  We have one of the best deals you're going to find out there on a high quality, high rated satellite phone.
[03:16:05.564 --> 03:16:07.406]  You can't be tracked, you can't be traced.
[03:16:07.406 --> 03:16:10.248]  It'll work anywhere in the world where you can see the sky.
[03:16:10.248 --> 03:16:13.330]  You can also buy cheap antennas and things for in your car, in your house that
[03:16:13.430 --> 03:16:16.413]  Also, we're on the site, InfoWarsPhone.com.
[03:16:16.413 --> 03:16:17.915]  That's just a site that takes you to these folks.
[03:16:17.915 --> 03:16:20.677]  They supply the border patrol, everybody, with their systems as well.
[03:16:20.677 --> 03:16:28.986]  They're amazing folks, and you get a free phone at $650 value, absolutely free, at InfoWarsPhone.com.
[03:16:28.986 --> 03:16:31.168]  Smartphones are always tracking everything you do.
[03:16:31.168 --> 03:16:31.629]  These aren't.
[03:16:31.629 --> 03:16:33.611]  And the calls are free when folks call you.
[03:16:33.611 --> 03:16:35.272]  You just pay $99.95 a month for your minutes.
[03:16:37.435 --> 03:16:38.656]  150 minutes.
[03:16:38.656 --> 03:16:39.496]  The calls to you are free.
[03:16:39.496 --> 03:16:40.698]  It works like a regular cell phone.
[03:16:40.698 --> 03:16:42.019]  You're not being tracked or traced.
[03:16:42.019 --> 03:16:43.300]  And I keep one in my car.
[03:16:43.300 --> 03:16:44.982]  I've given them to my parents as gifts.
[03:16:44.982 --> 03:16:47.544]  Way out in the middle of nowhere where regular phones don't work, they work.
[03:16:47.544 --> 03:16:48.365]  Infoworksphone.com or 941-955-1020.
[03:16:48.365 --> 03:16:49.666]  941-955-1020 and ask the Alex Jones Special.
[03:16:56.346 --> 03:17:00.551]  I never compromised the quality of ingredients we put in Imphal Wars live products.
[03:17:00.551 --> 03:17:04.096]  And that's why for more than two years we've been sold out of Ultimate Bone Broth.
[03:17:04.096 --> 03:17:06.719]  And we could never get the ingredients again.
[03:17:06.719 --> 03:17:07.660]  Until now.
[03:17:07.660 --> 03:17:13.387]  And we have reformulated and not just used the same ingredients, we've boosted it and made them even stronger.
[03:17:13.727 --> 03:17:17.510]  So, out of all the bone broths out there, I'm telling you, this is next level.
[03:17:17.510 --> 03:17:18.751]  Listen to what it's got in it.
[03:17:18.751 --> 03:17:23.935]  Cutting-edge chicken bone broth protein isolate powder for better flavor and dissolvability.
[03:17:23.935 --> 03:17:33.443]  It's got turmeric root, chaga mushroom, bee pollen, goji berry, alfalfa herb powder, and a bunch of other amazing known berries that turbocharge your body with antioxidants.
[03:17:33.443 --> 03:17:37.607]  And then it's got a bunch of other incredible things like magnesium, potassium, and sodium added.
[03:17:37.607 --> 03:17:40.069]  I mean, this sucker has got everything for your electrolytes.
[03:17:40.069 --> 03:17:40.329]  It's got
[03:17:40.609 --> 03:17:40.849]  I think so.
[03:17:56.536 --> 03:18:04.778]  The CEO of Pfizer just came out and said that people talking bad about the vaccines are working for, quote, dark forces.
[03:18:04.778 --> 03:18:12.279]  That the FBI and CIA have been advising him on who these evil groups are.
[03:18:12.279 --> 03:18:17.121]  They know that all over the world, their poison shot is being banned by major governments.
[03:18:17.121 --> 03:18:19.401]  And Moderna's in trouble as well.
[03:18:19.401 --> 03:18:23.402]  They know that the people are starting to get wise to the depopulation agenda.
[03:18:24.304 --> 03:18:36.047]  In fact, evidence is starting to mount that the shots were supposed to be soft kill weapons, but they're so deadly, they're killing a higher percentage up front, and so people are waking up.
[03:18:36.047 --> 03:18:39.268]  The weapons work a little too good.
[03:18:39.268 --> 03:18:44.050]  They're supposed to be silent weapons for quiet wars, but instead, they're making too big of a noise!
[03:18:44.790 --> 03:18:46.932]  But it's too late for them to turn back now.
[03:18:46.932 --> 03:18:48.694]  They're coming after our children.
[03:18:48.694 --> 03:18:53.799]  So it's up to us to protect our little children, or God will not look favorably on us.
[03:18:53.799 --> 03:18:56.201]  Remember, God is watching.
[03:18:56.201 --> 03:19:00.125]  I am cutting this announcement on the afternoon of Thursday, November 4th, 2021.
[03:19:00.125 --> 03:19:08.253]  That means you've only got 10 days as of taping this to get storewide free shipping, double Patriot points, and up to 60% off on our best-selling items.
[03:19:08.393 --> 03:19:10.114]  We have Winter Sun at 50% off.
[03:19:10.114 --> 03:19:10.935]  So good for your body.
[03:19:10.935 --> 03:19:12.256]  So good for your immune system.
[03:19:12.256 --> 03:19:12.736]  50% off.
[03:19:12.736 --> 03:19:15.258]  We have Ultra 12 at 60% off.
[03:19:15.258 --> 03:19:16.880]  That is the lowest we've ever gone.
[03:19:16.880 --> 03:19:21.623]  It is so good for your libido, your stamina, your immune system, your whole body taken out of the tongue.
[03:19:21.623 --> 03:19:22.164]  60% off.
[03:19:22.164 --> 03:19:25.947]  We've got a bunch of products sold out for a long time like Brain Force Plus back in stock.
[03:19:26.707 --> 03:19:31.351]  50% off and we have Ultimate Bone Broth back in stock at InfoWarStore.com.
[03:19:31.351 --> 03:19:33.192]  It's now Bone Broth Plus.
[03:19:33.192 --> 03:19:39.057]  So it's Ultimate Bone Broth Plus, 20% off and it's even stronger than the last formula we had.
[03:19:39.057 --> 03:19:47.964]  It is amazing for your whole body, amazing for your joints, amazing for inflammation, and it funds the Info War, which is so important in the fight against the New World Order.
[03:19:47.964 --> 03:19:49.525]  So thank you all for your support.
[03:19:49.525 --> 03:19:52.988]  With supply chain breakdowns, I recommend you get your Christmas shopping done now.
[03:19:52.988 --> 03:19:55.710]  Have it done and support the Info War at InfoWarStore.com.
[03:19:58.576 --> 03:20:01.239]  You're listening to The Alex Jones Show!
[03:20:11.463 --> 03:20:14.185]  Alright, so just a little public service announcement here.
[03:20:14.185 --> 03:20:19.750]  The so-called free speech alternative to YouTube, Rumble, is down.
[03:20:19.750 --> 03:20:21.792]  Right now they're not a free speech alternative, by the way.
[03:20:21.792 --> 03:20:23.874]  They censor the hell out of me over there.
[03:20:23.874 --> 03:20:24.755]  And that's a fact.
[03:20:24.755 --> 03:20:26.576]  They can argue that all they want.
[03:20:26.576 --> 03:20:37.245]  So, the people that are exempt from the poison, the CDC, the FDA, Pfizer, Johnson & Johnson, Moderna, politicians and their staff, along with the United States Postal Service, but your 5 to 11 year old kids are more than likely going to have to take it.
[03:20:37.245 --> 03:20:38.747]  If they don't, they won't be allowed in school.
[03:20:39.328 --> 03:20:41.213]  You'll lose custody of them.
[03:20:41.213 --> 03:20:44.802]  The CPS people will show up at your house to investigate that.
[03:20:45.336 --> 03:20:53.382]  But they won't show up to investigate things like Allie Carter, who, by the way, was trafficked and claims to have been raped by Barack Obama and by Joe Biden.
[03:20:53.382 --> 03:20:57.365]  That riveting interview happened at StuPeters.TV and you can go find that there as well.
[03:20:57.365 --> 03:20:59.887]  Dr. Jane Ruby is joining us right now.
[03:20:59.887 --> 03:21:13.156]  Five specific felonies that we're going to discuss that have been committed by Tony Fauci that can end this emergency use authorization and action that you can take as exposed by Dr. David Martin in an historic speech over the weekend.
[03:21:13.156 --> 03:21:14.157]  All right, specifics, let's go.
[03:21:15.976 --> 03:21:16.336]  Sure.
[03:21:16.336 --> 03:21:19.658]  First of all, everybody's got to stop calling this thing a vaccine.
[03:21:19.658 --> 03:21:24.020]  I'm going to call everybody out when they do that because it is not a vaccine.
[03:21:24.020 --> 03:21:25.481]  It does not confer protection.
[03:21:25.481 --> 03:21:27.081]  It is a bioweapon.
[03:21:27.081 --> 03:21:29.022]  There's no SARS-CoV-2 virus.
[03:21:29.022 --> 03:21:34.165]  This is a bioweapon that was paid for by Anthony Fauci in 1999.
[03:21:34.165 --> 03:21:36.606]  This is all laid out in Dr. Martin's speech.
[03:21:37.146 --> 03:21:39.967]  Look, the other thing is, there's no COVID-19.
[03:21:39.967 --> 03:21:48.790]  There's an influenza-like virus, or illness rather, and it's the first illness in the United States history that is without diagnostics, okay?
[03:21:48.790 --> 03:21:51.631]  It's diagnosed by committee and by symptoms.
[03:21:51.631 --> 03:21:57.433]  And lastly, the other lie is that there is no such thing as an asymptomatic carrier.
[03:21:57.433 --> 03:21:58.714]  It doesn't exist.
[03:21:58.714 --> 03:22:00.714]  We have to stop using the criminal's language.
[03:22:00.714 --> 03:22:01.395]  So here's the deal.
[03:22:01.395 --> 03:22:02.635]  In 2002, UNC Chapel Hill
[03:22:05.998 --> 03:22:19.445]  was awarded a patent by NIAID for a recombinant coronavirus, and this is their words, infectious replication defective clone of a coronavirus.
[03:22:19.445 --> 03:22:31.612]  And so this is in spite of the fact that there was a moratorium in the United States on gain-of-function research, but Anthony Fauci gave UNC a break and said they could go ahead and do this.
[03:22:32.675 --> 03:22:33.837]  Here's the other piece, Stu.
[03:22:33.837 --> 03:22:39.864]  In 2015, and this is what, I've got a picture that I've provided to the producers.
[03:22:39.864 --> 03:22:43.729]  This is the, it's titled, The Mandatory Injection Was Planned.
[03:22:43.729 --> 03:22:48.735]  And it's really a statement, which is really admission of the criminal conspiracy.
[03:22:48.735 --> 03:22:49.777]  It's by Peter Daschuk.
[03:22:50.297 --> 03:22:58.184]  And he basically says here, until an infectious disease crisis is very real, present, and at an emergency threshold, it's going to be basically ignored.
[03:22:58.184 --> 03:23:00.366]  And so he says, we need the funding.
[03:23:00.366 --> 03:23:03.449]  And here are the key phrases.
[03:23:03.449 --> 03:23:07.353]  A key driver is the media, and the economics will follow the hype.
[03:23:07.353 --> 03:23:09.395]  We need to use that hype to our advantage.
[03:23:09.995 --> 03:23:13.799]  So this is the admission, the beginning of the admission.
[03:23:13.799 --> 03:23:15.400]  They also published it.
[03:23:15.400 --> 03:23:20.185]  The National Academy of the Sciences published it on page 73.
[03:23:20.185 --> 03:23:21.866]  You can read it there yourself.
[03:23:21.866 --> 03:23:26.230]  These are the admissions of the violations of United States codes.
[03:23:26.230 --> 03:23:28.612]  There are actually six felonies.
[03:23:28.612 --> 03:23:33.437]  I want to share with you also in the third picture, or sorry, the second picture,
[03:23:34.230 --> 03:23:38.213]  Is actually something very interesting that nobody else is talking about.
[03:23:38.213 --> 03:23:45.518]  This is the executive order, now watch this, that President Trump signed on September 19th, 2019.
[03:23:45.518 --> 03:24:00.608]  The day before that, here's the point, the World Health Organization had a meeting where they announced that a global simulation releasing a respiratory pathogen and disease would affect, would be released in the United States and affect
[03:24:01.068 --> 03:24:04.914]  The public from September 2019 to September 2020.
[03:24:04.914 --> 03:24:09.039]  This was also a part of, you know who else is part of this?
[03:24:09.039 --> 03:24:11.282]  The Gates Foundation, the NIH.
[03:24:11.282 --> 03:24:12.304]  There's your collusion.
[03:24:12.304 --> 03:24:14.587]  There's your criminal conspiracy, right?
[03:24:15.514 --> 03:24:16.996]  And so here's the deal.
[03:24:16.996 --> 03:24:19.378]  President Trump signed this executive order.
[03:24:19.378 --> 03:24:29.367]  But after an executive order like that is signed, there's an obligation to then go before Congress on the part of Fauci, which he did on December 4th.
[03:24:29.367 --> 03:24:31.809]  And that's what you see here in red.
[03:24:31.809 --> 03:24:33.471]  And I want to read this to you.
[03:24:33.471 --> 03:24:34.732]  This is critically important.
[03:24:35.620 --> 03:24:41.621]  This was not in the EO, but this is essentially what Fauci explained to Congress two months later.
[03:24:41.621 --> 03:24:42.422]  Here it goes.
[03:24:42.422 --> 03:24:56.185]  These platform technologies that President Trump just signed into order includes DNA, messenger RNA, virus-like S-particles, that's your spike protein, which we know is a pathogenic bioweapon,
[03:24:56.895 --> 03:24:58.016]  Vector-based.
[03:24:58.016 --> 03:25:00.718]  That's your AstraZeneca and your J&J.
[03:25:00.718 --> 03:25:02.039]  And listen to this.
[03:25:02.039 --> 03:25:04.941]  Self-assembling nanoparticle vaccines.
[03:25:04.941 --> 03:25:07.062]  Gee, where have we heard that before?
[03:25:07.062 --> 03:25:13.546]  Maybe hundreds of doctors who have looked at these vials under the microscope that some people are trying to disparage and discredit.
[03:25:13.546 --> 03:25:15.328]  They've actually seen it with their own eyes.
[03:25:15.328 --> 03:25:23.553]  Here it is verified as part of what Fauci explained was going to be covered under President Trump's executive order.
[03:25:23.553 --> 03:25:24.694]  So here's the deal, Stu.
[03:25:25.632 --> 03:25:35.060]  President Trump was tricked into mandating the release of the Fauci bioweapon, this toxin, to be released on the American public.
[03:25:35.060 --> 03:25:35.880]  Okay?
[03:25:35.880 --> 03:25:40.064]  And that's what leads us to these crimes.
[03:25:40.064 --> 03:25:48.791]  When you look at the crimes on the COVID treasonous acts that Dr. Martin has laid out, this is absolutely insane.
[03:25:48.791 --> 03:25:52.954]  The first one is funding and conspiring acts of terror.
[03:25:53.686 --> 03:26:08.003]  The American people need to understand that since he took his position in the NIH, Fauci has had $191 billion of your money to fund this act of terror on the American people.
[03:26:08.937 --> 03:26:15.984]  Uh, the other, the next, the next one is acts of domestic terrorism resulting in the deaths of American citizens.
[03:26:15.984 --> 03:26:23.992]  Well, I don't know about you, but we've got at least VAERS at 20,000 now Americans dead from these injections, and it's probably closer
[03:26:24.532 --> 03:26:32.934]  I'm just going to say this again, and I know that USA Today and Newsweek want to come after me for saying that I'm calling for Tony Fauci's execution, but I'm just going to say this.
[03:26:32.934 --> 03:26:34.614]  We hanged Saddam Hussein for less.
[03:26:34.614 --> 03:26:34.874]  Period.
[03:26:53.698 --> 03:26:56.260]  Crimes against humanity is what's happening here.
[03:26:56.260 --> 03:27:07.752]  We're talking about upwards of 2 million people possibly dead and that's reported to the Vaccine Adverse Events Reporting System and applied to the Harvard study that says that less than 1% of vaccine injuries are reported there.
[03:27:07.752 --> 03:27:09.174]  I'm sorry, I had to say that.
[03:27:09.174 --> 03:27:12.197]  I mean, we hanged Saddam Hussein for less!
[03:27:13.954 --> 03:27:17.377]  I do want to get in that Fauci has lied to Congress three times, Stu.
[03:27:17.377 --> 03:27:19.718]  That is a felony.
[03:27:19.718 --> 03:27:20.259]  That is a felony.
[03:27:20.259 --> 03:27:35.030]  And the reason Dr. Martin comes down and ran Paul, and we just have another minute here before we go to the next segment, is that Martin himself has sent by certified post to Senator Paul three times this evidence, this information.
[03:27:35.530 --> 03:27:43.833]  And what he's frustrated with is that Senator Paul is using it for fundraising, which is essentially monetizing an act of terror.
[03:27:43.833 --> 03:27:46.333]  And he wants him to pay attention to this.
[03:27:46.333 --> 03:28:02.138]  And Fauci also lied to Congress, Stu, when he submitted what was required, his NIH paperwork, where he failed to disclose all 4,000 patents that, by the way, you the American public paid for with your tax dollars, that were part of the NIH making money for everybody over there.
[03:28:03.258 --> 03:28:06.539]  And we'll go through the other two or three of the other felonies.
[03:28:06.539 --> 03:28:13.261]  This is a felony criminal conspiracy to commit mass murder on the people of the United States.
[03:28:13.261 --> 03:28:15.422]  I don't know how much more clearly we can say it.
[03:28:15.422 --> 03:28:20.303]  And the proof is in the words of the criminals as well as in the paperwork of the criminals.
[03:28:21.195 --> 03:28:30.341]  You have people, so-called elected representatives, standing in front of you saying, there's nothing more that I can do to fix 2020, but we're going to fix 2020.
[03:28:30.341 --> 03:28:33.763]  President Biden is a fraudulent and fake president, but let's impeach him.
[03:28:33.763 --> 03:28:42.009]  You can't have one and have the other, but either way, whether it's you that believes this or you that believes this, I've got a big donate here button and all of you can contribute to that.
[03:28:42.009 --> 03:28:46.272]  The same exact thing is going on with this dog and pony show with Anthony Fauci before everybody.
[03:28:46.272 --> 03:28:49.334]  These crimes are right out there in the wide open for everybody to see.
[03:28:49.334 --> 03:28:51.115]  My question is, where's the military?
[03:28:51.675 --> 03:28:53.796]  If the Congress people aren't going to do it, where's the military?
[03:28:53.796 --> 03:28:54.457]  We'll be right back.
[03:29:09.205 --> 03:29:14.668]  It's not just concentrated chicken broth in there that's so good for your joints, your bones, and your whole body.
[03:29:14.668 --> 03:29:30.915]  It's got really strong, high-end turmeric root, chaga mushroom, bee pollen, goji berry, alfalfa herb powder, and a bunch of other stuff in it, like real organic cocoa, bean powder with natural chocolate flavor, and a touch of sea salt, and just on and on and on.
[03:29:30.915 --> 03:29:32.836]  Magnesium, potassium's added.
[03:29:33.396 --> 03:29:37.919]  This is so good for inflammation, for your immune system, for your whole body.
[03:29:37.919 --> 03:29:40.781]  Grandma always gave you chicken soup when you were sick, remember?
[03:29:40.781 --> 03:29:47.206]  That's a tiny amount of the same stuff that's in there that is now in here in a very large amount.
[03:29:47.206 --> 03:29:55.291]  So again, get the power of Grandma's chicken soup with the power of turmeric and everything else with the new and improved bone broth at InfoWarsTore.com.
[03:29:56.229 --> 03:30:04.452]  The CEO of Pfizer just came out and said that people talking bad about the vaccines are working for, quote, dark forces.
[03:30:04.452 --> 03:30:11.974]  That the FBI and CIA have been advising him on who these evil groups are.
[03:30:11.974 --> 03:30:16.816]  They know that all over the world their poison shot is being banned by major governments.
[03:30:16.816 --> 03:30:19.097]  And Moderna's in trouble as well.
[03:30:19.097 --> 03:30:23.078]  They know that the people are starting to get wise to the depopulation agenda.
[03:30:23.996 --> 03:30:35.728]  In fact, evidence is starting to mount that the shots were supposed to be soft kill weapons, but they're so deadly, they're killing a higher percentage up front, and so people are waking up.
[03:30:35.728 --> 03:30:38.971]  The weapons work a little too good.
[03:30:38.971 --> 03:30:43.756]  They're supposed to be silent weapons for quiet wars, but instead, they're making too big of a noise!
[03:30:44.477 --> 03:30:46.618]  But it's too late for them to turn back now.
[03:30:46.618 --> 03:30:48.379]  They're coming after our children.
[03:30:48.379 --> 03:30:53.480]  So it's up to us to protect our little children, or God will not look favorably on us.
[03:30:53.480 --> 03:30:55.881]  Remember, God is watching.
[03:30:55.881 --> 03:31:00.923]  I am cutting this announcement on the afternoon of Thursday, November 4th, 2021.
[03:31:00.923 --> 03:31:07.906]  That means you've only got 10 days as of taping this to get storewide free shipping, double Patriot points, and up to 60% off on our best-selling items.
[03:31:08.086 --> 03:31:09.786]  We have Winter Sun at 50% off.
[03:31:09.786 --> 03:31:10.627]  So good for your body.
[03:31:10.627 --> 03:31:11.507]  So good for your immune system.
[03:31:11.507 --> 03:31:12.407]  50% off.
[03:31:12.407 --> 03:31:14.928]  We have Ultra 12 at 60% off.
[03:31:14.928 --> 03:31:16.628]  That is the lowest we've ever gone.
[03:31:16.628 --> 03:31:21.650]  It is so good for your libido, your stamina, your immune system, your whole body taken out of the tongue.
[03:31:21.650 --> 03:31:21.850]  60% off.
[03:31:21.850 --> 03:31:25.631]  We've got a bunch of products sold out for a long time like Brain Force Plus back in stock.
[03:31:26.391 --> 03:31:31.032]  50% off and we have Ultimate Bone Broth back in stock at InfoWareStore.com.
[03:31:31.032 --> 03:31:32.852]  It's now Bone Broth Plus.
[03:31:32.852 --> 03:31:38.733]  So it's Ultimate Bone Broth Plus, 20% off and it's even stronger than the last formula we had.
[03:31:38.733 --> 03:31:47.635]  It is amazing for your whole body, amazing for your joints, amazing for inflammation and it funds the InfoWare, which is so important in the fight against the New World Order.
[03:31:47.635 --> 03:31:50.595]  So thank you all for your support with Supply Chain Breakdowns.
[03:31:50.595 --> 03:31:55.516]  I recommend you get your Christmas shopping done now and have it done and support the InfoWare at InfoWareStore.com.
[03:31:55.936 --> 03:32:07.739]  It's Thursday, November 11th, 2021, and that means there's only a few days left until November 15th for you to take advantage of the biggest sale of the year at InfoWareStore.com.
[03:32:07.739 --> 03:32:12.000]  Black Friday comes early, ends on this coming Tuesday.
[03:32:12.000 --> 03:32:17.361]  You get store-wide free shipping, double Patreon points up to 60% off on best-selling items.
[03:32:17.361 --> 03:32:19.402]  Now, I'm not going to list them all here, but 60% off on Ultra 12,
[03:32:20.922 --> 03:32:22.403]  With free shipping, double pantry at points.
[03:32:22.403 --> 03:32:24.584]  That's the best deal we've offered in years.
[03:32:24.584 --> 03:32:25.265]  Back in stock.
[03:32:25.265 --> 03:32:26.446]  Brain Force Plus.
[03:32:26.446 --> 03:32:29.207]  50% off the amazing Nootropic.
[03:32:29.207 --> 03:32:30.748]  Sold out for more than two years.
[03:32:30.748 --> 03:32:33.290]  Now back in stock and improved and even stronger.
[03:32:33.290 --> 03:32:39.294]  Ultimate Bone Broth Paleo Formula with Chaga Mushroom, with Turmeric, with Beet Pollen and so much more.
[03:32:39.294 --> 03:32:40.895]  It's discounted as well with free shipping.
[03:32:41.095 --> 03:32:42.636]  You're listening to the Alex Jones Show!
[03:33:15.067 --> 03:33:15.817]  Come and find me if you...
[03:33:17.856 --> 03:33:19.536]  Shane, everybody, coming over and checking it out.
[03:33:19.536 --> 03:33:30.099]  We do our best to make sure that you're armed with the best information that you can as we battle a decades-long psychological propaganda mission and operation that has lulled people to sleep.
[03:33:30.099 --> 03:33:38.300]  Did you guys see, speaking of which, Gavin Newsom, the governor there of California, the tyrant that wants to put needles in the arms of everything living and breathing, including young infants there.
[03:33:38.300 --> 03:33:40.221]  He appeared a little bit pale today.
[03:33:40.221 --> 03:33:42.461]  I'm just watching this press conference.
[03:33:42.461 --> 03:33:44.962]  He looked a little tired, seemed a little defensive and nervous.
[03:33:45.522 --> 03:34:02.077]  In that bizarre comeback press conference, and I'm sure in other headlines, you saw the 52-year-old prominent New Brunswick cardiologist who shamed the unvaxxed, said he wanted to punch anti-vaxxers in the face, and he died suddenly after his COVID booster shot.
[03:34:02.077 --> 03:34:05.400]  They're coming at your kids with these things, these bioweapons.
[03:34:05.400 --> 03:34:06.561]  They are not vaccines.
[03:34:06.561 --> 03:34:11.546]  Dr. Jane Ruby is with us right now and said she's going to mock anybody who does call them vaccines, or at least
[03:34:12.205 --> 03:34:13.467]  Correct them.
[03:34:13.467 --> 03:34:16.491]  We're talking here more about these five felonies.
[03:34:16.491 --> 03:34:18.313]  Where is the military, Dr. Jane Ruby?
[03:34:18.313 --> 03:34:20.135]  Where are the lawmakers on this?
[03:34:20.135 --> 03:34:22.318]  When are people going to start taking action?
[03:34:22.318 --> 03:34:26.003]  And if the people in our government are not going to do it, how can we?
