[00:00:10.478 --> 00:00:12.300]  They're all alike.
[02:55:30.601 --> 02:55:37.805]  I think in a busy regulatory cycle where there's briefing booklets, where there are applications, a lot of data.
[02:55:37.805 --> 02:55:38.905]  Listen, I do this.
[02:55:38.905 --> 02:55:40.906]  I've testified for the FDA.
[02:55:40.906 --> 02:55:42.887]  I've been on day safety monitoring boards.
[02:55:42.887 --> 02:55:45.148]  I've been the lead consultant for companies.
[02:55:45.148 --> 02:55:51.912]  I can tell you in a big regulatory cycle like this, the last thing you need is people leaving.
[02:55:51.912 --> 02:55:54.453]  And when they do, it's a sign of things going bad.
[02:55:55.552 --> 02:55:56.953]  That's right.
[02:55:56.953 --> 02:56:02.556]  They said that we were not consulted, and it shouldn't be politicians making this decision.
[02:56:02.556 --> 02:56:05.137]  They also said, why is the CDC making the decisions?
[02:56:05.137 --> 02:56:07.459]  We are the cabinet level agency, which is true.
[02:56:07.459 --> 02:56:16.384]  There's going to be a lot of shame and a lot of guilt on people's shoulders when they look back in history, and I think that's what these regulators are thinking of.
[02:56:16.384 --> 02:56:17.904]  We're going to do 30 more minutes in the next hour.
[02:56:17.904 --> 02:56:19.345]  You're so gracious to be here, Doctor.
[02:56:19.345 --> 02:56:20.446]  What are we going to cover next hour?
[02:56:21.164 --> 02:56:24.385]  We're going to pick up on the issue of how to move forward in the pandemic.
[02:56:24.385 --> 02:56:30.948]  I think it's really important because this has to end at some point in time, and I can help you guide things forward.
[02:56:30.948 --> 02:56:31.208]  All right.
[02:56:31.208 --> 02:56:32.889]  Tell people the best place to find your show.
[02:56:33.775 --> 02:56:37.558]  Go to America Out Loud Talk Radio and look for the McCullough Report.
[02:56:37.558 --> 02:56:40.820]  I put out a weekly podcast with a write-up.
[02:56:40.820 --> 02:56:45.884]  And importantly, I'm going outside the United States to talk to experts all over the world regarding the pandemic.
[02:56:45.884 --> 02:56:51.648]  Because one thing you'll never see on mainstream media is no window to the outside world on how they're handling COVID-19.
[02:56:52.916 --> 02:56:53.898]  All right, amazing.
[02:56:53.898 --> 02:56:54.820]  We'll be right back.
[02:56:54.820 --> 02:57:00.609]  Remember, Infowars.com and our hundreds of radio stations and all of this cannot be on air without your support.
[02:57:00.609 --> 02:57:06.620]  We also pay for satellites to hit a lot of the world for free, even though people aren't buying stuff in Asia and Africa and Eastern Europe.
[02:57:07.296 --> 02:57:07.637]  That's fine.
[02:57:07.637 --> 02:57:08.277]  We do it as a service.
[02:57:08.277 --> 02:57:09.418]  That costs a lot of money.
[02:57:09.418 --> 02:57:11.180]  Go to InfoWarsStore.com.
[02:57:11.180 --> 02:57:13.983]  They're also paid for Global Shortwave 100,000 watts, WWCR.
[02:57:13.983 --> 02:57:17.226]  Go there and help keep us on air and help us have this global outreach and save lives.
[02:57:17.226 --> 02:57:21.930]  Get your Vitamin Mineral Fusion and so many other products discounted right now at InfoWarsStore.com.
[02:57:21.930 --> 02:57:23.051]  You'll keep us on air.
[02:57:23.051 --> 02:57:24.072]  You are the InfoWars.
[02:57:24.072 --> 02:57:24.433]  Stay with us.
[02:57:29.958 --> 02:57:31.220]  Jacob in Ohio.
[02:57:31.220 --> 02:57:31.600]  Welcome.
[02:57:31.600 --> 02:57:32.041]  Go ahead.
[02:57:32.041 --> 02:57:33.903]  Hey, how's it going, Alex?
[02:57:33.903 --> 02:57:35.004]  Great last caller.
[02:57:35.004 --> 02:57:38.048]  I just wanted to start with plugging your sleep supplement.
[02:57:38.048 --> 02:57:43.695]  It's basically the only way I get sleep anymore with all the gaslighting, demoralization, and absurdity.
[02:57:43.695 --> 02:57:45.858]  It's like we're living at a twilight zone, man.
[02:57:45.858 --> 02:57:47.500]  Alright, Eric in New Hampshire.
[02:57:47.500 --> 02:57:48.381]  Eric, thanks for calling.
[02:57:48.381 --> 02:57:48.541]  Go ahead.
[02:57:48.781 --> 02:57:50.323]  Hey Alex, thanks for taking my call.
[02:57:50.323 --> 02:57:53.345]  If I could, I just want to throw a quick plug out for the point of the product.
[02:57:53.345 --> 02:57:55.027]  The X-Tune does wonders.
[02:57:55.027 --> 02:57:56.168]  I recommend it to everybody.
[02:57:56.168 --> 02:57:57.349]  You're on the fence about it.
[02:57:57.349 --> 02:57:58.130]  Get off the fence.
[02:57:58.130 --> 02:57:59.011]  Get the product.
[02:57:59.011 --> 02:58:00.192]  Support the info war.
[02:58:00.192 --> 02:58:01.513]  Tyler in Maine.
[02:58:01.513 --> 02:58:02.174]  You're on the air.
[02:58:02.174 --> 02:58:02.714]  Thanks for rolling.
[02:58:02.714 --> 02:58:03.095]  Go ahead.
[02:58:03.095 --> 02:58:04.776]  Hey Alex, it's great to be on with you.
[02:58:04.776 --> 02:58:05.537]  It's an honor.
[02:58:05.537 --> 02:58:05.797]  Honor.
[02:58:05.797 --> 02:58:06.338]  Talk to you.
[02:58:06.338 --> 02:58:06.698]  Awesome.
[02:58:07.259 --> 02:58:13.144]  Um, so first thing I wanted to do is to say I love the product, Alpha Power, even at 29.
[02:58:13.144 --> 02:58:16.948]  If you ask my better half, she loves it, and it helps in the bedroom.
[02:58:16.948 --> 02:58:18.670]  So, just number one for a few reasons.
[02:58:18.670 --> 02:58:19.571]  Well, it definitely works.
[02:58:19.571 --> 02:58:21.213]  It's not a joke.
[02:58:21.213 --> 02:58:21.833]  Absolutely.
[02:58:27.697 --> 02:58:32.521]  I've been fighting as hard as I can for almost 28 years against the globalists.
[02:58:32.521 --> 02:58:34.583]  I wanted to stop their agenda.
[02:58:34.583 --> 02:58:40.067]  I wanted to wake up the world and stop them dead in their tracks before they went operational.
[02:58:40.067 --> 02:58:41.168]  But we failed.
[02:58:41.168 --> 02:58:42.810]  Yes, a lot of people are awake.
[02:58:42.810 --> 02:58:44.671]  Yes, we're not getting caught flat-footed.
[02:58:44.671 --> 02:58:49.635]  But they are going ahead with their full operational deindustrialization great reset.
[02:58:50.596 --> 02:58:59.483]  And that's why it's more important than ever that all viewers and all listeners tell everybody they know about the show, because people are ready to wake up and ready to hear the truth.
[02:58:59.483 --> 02:59:04.987]  So we've got to information warfare the enemy and try to stop their agenda, but we've also got to get personally prepared.
[02:59:04.987 --> 02:59:07.549]  And one of the number one things to do is high-quality, storable food.
[02:59:07.549 --> 02:59:12.312]  We've got the best food ready to ship at very affordable prices at infowarestore.com.
[02:59:12.312 --> 02:59:17.476]  So whether it's a month or a six-month or a year supply or specialty diets, it's ready to ship right now.
[02:59:17.856 --> 02:59:22.739]  Lock your orders in before food prices go up and before there are long lines in wait.
[02:59:22.739 --> 02:59:25.060]  Because believe me, serious times are coming.
[02:59:25.060 --> 02:59:30.302]  Get ready at InfoWarsTore.com.
[02:59:30.302 --> 02:59:32.904]  You're listening to the Alex Jones Show!
[02:59:45.561 --> 02:59:47.282]  All right, Dr. Peter McCullough is here.
[02:59:47.282 --> 02:59:54.648]  He helped write the first big protocol that's saved millions of lives around the world, and he's here with us right now.
[02:59:54.648 --> 02:59:59.492]  americaoutwell.com forward slash d dash McCullough dash report forward slash.
[02:59:59.492 --> 03:00:05.417]  You wanted to finish up with what it means, I guess, when the captain abandons ship, the U.S.
[03:00:05.417 --> 03:00:11.822]  regulators to head people over the vaccine program, number one and number two, 40 plus years, 45 years together, leaving and saying,
[03:00:12.995 --> 03:00:18.057]  We disagree with the boosters, we don't want to give it to under-16s, and you overrode us, and we're out of here.
[03:00:18.057 --> 03:00:21.399]  I mean, that is a sign the wheels came off, right?
[03:00:21.399 --> 03:00:29.623]  Yeah, the wheels definitely came off at the FDA Division of Virology and Vaccine Products Division.
[03:00:29.623 --> 03:00:31.984]  But importantly, I think it's really a telltale of
[03:00:32.424 --> 03:00:45.491]  Well, what's going on there in terms of regulatory malfeasance, and what I mean by that is that even the conditional approval for the Pfizer-BioNTech, the 30-microgram shot of messenger RNA, was all based on legacy data.
[03:00:45.491 --> 03:00:52.954]  Meaning the old variants, the original Wuhan variant, the Alpha, Beta, and Gamma variant, there was no Delta variant data.
[03:00:52.954 --> 03:00:54.515]  And I told you, we are at 99.1% Delta
[03:00:56.496 --> 03:01:01.819]  Which Pfizer and the new Camaradi vaccine don't cover or certainly don't cover adequately enough.
[03:01:01.819 --> 03:01:04.761]  So how in the world can they possibly approve boosters?
[03:01:04.761 --> 03:01:11.765]  And that probably was the reason why they're walking off is they had a legacy data approval, which is really no longer applicable.
[03:01:11.765 --> 03:01:16.248]  It's just a conditional approval for BioNTech, which doesn't exist in the United States.
[03:01:16.248 --> 03:01:20.110]  And now boosters, which are just at this point in time, not feasible.
[03:01:20.410 --> 03:01:22.451]  Doctor, what do you expect to come out of this scandal?
[03:01:22.451 --> 03:01:27.774]  I mean, we think OxyContin's big, we think FinFin's big, we think Bayer and the blood scandal's big.
[03:01:27.774 --> 03:01:30.235]  This looks like a hundred times bigger than all those combined to me.
[03:01:30.235 --> 03:01:36.758]  Well, I'm told that a blockbuster drug is a billion dollars a year in its first year of revenue.
[03:01:36.758 --> 03:01:41.561]  Pfizer right now is at, I think, from Fortune and another major business magazine, $33 billion.
[03:01:43.402 --> 03:01:45.143]  This is the biggest blockbuster ever.
[03:01:45.143 --> 03:01:50.765]  This is the biggest one ever, and it's really been on the backs of Americans and people around the world.
[03:01:50.765 --> 03:01:54.387]  You know, we've had over 600,000 Americans lose their lives.
[03:01:54.387 --> 03:02:00.589]  We know that those who have been admitted to the hospital and those who died, the majority died in the hospital, they received no early treatment.
[03:02:00.589 --> 03:02:02.690]  And there's been a suppression of early treatment.
[03:02:03.210 --> 03:02:10.177]  That I think has been very intentional by a whole variety of stakeholders in order to prepare the population to receive the vaccine.
[03:02:10.177 --> 03:02:12.078]  In a sense, to be saved by the vaccine.
[03:02:12.078 --> 03:02:18.905]  And what they're learning now is the vaccine doesn't work well enough in everyone to prevent hospitalization or death.
[03:02:18.905 --> 03:02:21.487]  And everything you've been saying for a year and a half has been vindicated.
[03:02:21.487 --> 03:02:22.128]  It's been proven.
[03:02:22.128 --> 03:02:22.768]  It's come true.
[03:02:22.768 --> 03:02:24.750]  And I know you don't want to talk about it.
[03:02:24.750 --> 03:02:25.951]  You said that's the condition of the interview.
[03:02:25.951 --> 03:02:27.333]  And I'm not going to break comments on that.
[03:02:28.254 --> 03:02:34.678]  You work for a major healthcare provider and they're suing you because in your own private life you're speaking up and going on Tucker Carlson?
[03:02:34.678 --> 03:02:35.579]  That's preposterous!
[03:02:36.351 --> 03:02:43.596]  You know, Tucker Carlson and Laura Ingram, you and others, reach out to me for my opinions.
[03:02:43.596 --> 03:02:44.156]  And the U.S.
[03:02:44.156 --> 03:02:45.077]  Senate did.
[03:02:45.077 --> 03:02:48.239]  Multiple individuals, both in the House and the Senate.
[03:02:48.239 --> 03:02:52.502]  I can tell you stakeholders all over the world reach out to me and people in my circles.
[03:02:52.502 --> 03:02:53.202]  Why?
[03:02:53.202 --> 03:02:55.504]  Because they want a second opinion.
[03:02:55.504 --> 03:02:56.865]  What goes on in medicine?
[03:02:56.865 --> 03:02:58.546]  We get second opinions all the time.
[03:02:58.546 --> 03:03:00.567]  Doctors work in teams.
[03:03:00.567 --> 03:03:06.151]  What we're not seeing on national TV and we're not seeing from our agencies is we're not seeing teamwork.
[03:03:06.752 --> 03:03:10.395]  You're supposed to have a science question, question, debate, and that's how you get better answers.
[03:03:10.395 --> 03:03:11.116]  That's right.
[03:03:11.116 --> 03:03:21.888]  In fact, in one of the newspapers after this lawsuit was levered at me, one of the local newspapers in Dallas, they accused me of being a vaccine skeptic.
[03:03:22.521 --> 03:03:23.381]  A vaccine skeptic.
[03:03:23.381 --> 03:03:27.903]  Well, I gotta tell you, as a scientist and a doctor, I'm a skeptic on everything.
[03:03:27.903 --> 03:03:32.764]  And I think it's good to be a skeptic on... Well, if I was going to have heart surgery, I'm going to talk to people and go get ratings.
[03:03:32.764 --> 03:03:35.185]  And I'm going to go to the top guy like you or somebody.
[03:03:35.185 --> 03:03:37.186]  I mean, that's being skeptical is normal.
[03:03:37.186 --> 03:03:38.366]  Being skeptical is normal.
[03:03:38.366 --> 03:03:42.968]  I'm not going to go down to, you know, South America and, you know, do it in the back of a van.
[03:03:42.968 --> 03:03:45.549]  And it's very important to be fair balance.
[03:03:45.549 --> 03:03:49.430]  And what I said in the most recent post on the McCullough Report is this.
[03:03:50.353 --> 03:03:57.016]  The vaccine program has been out for eight months and the report card on the vaccines is overdue.
[03:03:57.016 --> 03:04:02.939]  And what I mean by that is, come on, we've had half of America take one of these vaccines.
[03:04:02.939 --> 03:04:05.520]  Our agencies have not told us which vaccine is the
[03:04:05.520 --> 03:04:06.241]  Which one's the winner?
[03:04:06.241 --> 03:04:07.402]  Which one's the loser?
[03:04:07.402 --> 03:04:08.923]  Which one's holding up the best?
[03:04:08.923 --> 03:04:10.124]  Which one's the safest?
[03:04:10.124 --> 03:04:13.247]  How can we actually give a vaccine and have a good outcome?
[03:04:13.247 --> 03:04:16.790]  In fact, now they've got articles everywhere, like this one out of Yahoo News.
[03:04:16.790 --> 03:04:20.373]  For scientists, paths to COVID endgame remains uncertain.
[03:04:20.373 --> 03:04:21.794]  They're just not telling us anything.
[03:04:21.794 --> 03:04:23.316]  It's all just a big mess.
[03:04:23.316 --> 03:04:25.017]  They're saying, just give us more power.
[03:04:25.017 --> 03:04:25.938]  Give us more control.
[03:04:25.938 --> 03:04:27.059]  Have a vaccine passport.
[03:04:27.059 --> 03:04:28.240]  Let us control you.
[03:04:28.240 --> 03:04:31.343]  We'll be back with two more segments with our amazing guests.
[03:04:31.343 --> 03:04:31.703]  Stay with us.
[03:04:36.551 --> 03:04:41.173]  Just a week ago, we got a new shipment of vitamin and mineral fusion back in stock.
[03:04:41.173 --> 03:04:43.813]  And it was only half of the order we wanted to get.
[03:04:43.813 --> 03:04:49.555]  But because we won't cut corners on the quality of what goes into it, the factory can only get limited supplies.
[03:04:49.555 --> 03:04:51.496]  So again, it was half the order we wanted.
[03:04:51.716 --> 03:04:57.179]  But despite that, I'm still offering it for 33% off, so everybody on the fence will get it.
[03:04:57.179 --> 03:04:59.541]  It's critical for your immune system and your whole body.
[03:04:59.541 --> 03:05:04.724]  All the essential vitamins, all the essential minerals, and a bunch of key amino acids at infowarestore.com.
[03:05:04.724 --> 03:05:11.608]  So while supplies last until it runs out, we're selling it for 33% off, and it'll be months until more comes in.
[03:05:11.988 --> 03:05:16.612]  So get yours today at InfoWarsTore.com because it's not just a great product.
[03:05:16.612 --> 03:05:18.734]  We need those funds to keep operating as well.
[03:05:18.734 --> 03:05:20.136]  We're all in a catch-22.
[03:05:20.136 --> 03:05:28.644]  But we have another great product, Hair and Beard Formula, that's really a great multivitamin mineral system that's one of the best multivitamin mineral systems out there.
[03:05:28.644 --> 03:05:30.606]  It's just called Hair and Beard.
[03:05:30.606 --> 03:05:32.387]  So get that as well for your immune system.
[03:05:32.387 --> 03:05:35.210]  It's great for women, great for children, but it's designed for men.
[03:05:35.210 --> 03:05:36.071]  InfoWarsTore.com.
[03:05:38.889 --> 03:05:40.191]  I don't know.
[03:06:00.482 --> 03:06:07.228]  All right, we have Dr. Peter McCullough in studio with us, one of the main leaders in the last year and a half, exposing this whole fraud, completely vindicated.
[03:06:07.228 --> 03:06:14.974]  And you wanted to get into boosting our body's natural defenses, but also early treatment with this situation.
[03:06:14.974 --> 03:06:16.416]  And I want to get your predictions.
[03:06:16.416 --> 03:06:18.938]  We've already seen mutations and escaped mutants.
[03:06:18.938 --> 03:06:20.019]  The media makes jokes.
[03:06:20.019 --> 03:06:21.940]  Jones says it's going to turn us into mutants.
[03:06:21.940 --> 03:06:22.561]  No.
[03:06:22.561 --> 03:06:26.244]  Mutant viruses, mutant stuff being released by these vaccines.
[03:06:27.776 --> 03:06:28.476]  I just read the science.
[03:06:28.476 --> 03:06:29.716]  You can explain it to us.
[03:06:29.716 --> 03:06:32.338]  What can we expect of new variants or what's coming next?
[03:06:32.338 --> 03:06:37.860]  And what can we expect from the studies I've seen of the Pfizer shot particularly lowering immunity?
[03:06:37.860 --> 03:06:40.442]  Is it true that it's turning off killer Ts?
[03:06:40.442 --> 03:06:43.543]  And then we have this spin that the hospitals are full of unvaccinated.
[03:06:43.543 --> 03:06:45.944]  But when I go look at the real numbers, that's not what's happening.
[03:06:45.944 --> 03:06:47.785]  There's a new article on InfoWars.com.
[03:06:47.785 --> 03:06:51.767]  Whistleblower nurses expose media's false pandemic of the unvaccinated.
[03:06:51.767 --> 03:06:55.229]  They say, no, we're seeing the hospitals filled with the vaccinated.
[03:06:55.789 --> 03:06:57.309]  Like we see in Israel, that's true.
[03:06:57.309 --> 03:06:59.150]  What's causing it, Doctor?
[03:06:59.150 --> 03:07:07.992]  Yeah, well, on the way down here, you know, driving from Dallas to Austin, there was a billboard saying 91% of hospitalized patients are unvaccinated.
[03:07:07.992 --> 03:07:11.853]  Now, why in the world would hospitals blow money on a billboard for that?
[03:07:11.853 --> 03:07:14.214]  Don't they have better things to spend their money on?
[03:07:14.214 --> 03:07:18.495]  I can tell you the CDC, in its own data from June by Havers and colleagues,
[03:07:18.935 --> 03:07:26.437]  Have shown that 23.4% of those hospitalized have been partially or fully vaccinated by CDC data in June.
[03:07:26.437 --> 03:07:33.458]  I can tell you in July and August, it's going to be more, a greater proportion of those in the hospital are vaccinated.
[03:07:33.458 --> 03:07:39.599]  And again, you're saying in India, I know they've admitted that, that Delta came from a group of vaccinated people.
[03:07:39.599 --> 03:07:40.979]  Explain the mechanism.
[03:07:40.979 --> 03:07:42.520]  So we always have variants.
[03:07:42.520 --> 03:07:43.580]  I want people to understand this.
[03:07:43.580 --> 03:07:46.781]  So Delta has always been there as well as Eta and Alpha Beta.
[03:07:46.781 --> 03:07:48.361]  And they basically picked the Greek alphabet.
[03:07:48.781 --> 03:08:01.804]  So, they've always been there, but when we apply a non-lethal pressure, an evolutionary pressure, the virus that can best survive in the vaccinated people is going to move forward, and that's Delta.
[03:08:01.804 --> 03:08:18.447]  And what we know now from two studies, one from Chow, and then one from Liu, from Guizhou, Chow was from Ho Chi Minh City, Liu was from Guizhou, China, and then also from Fahrenheit in Houston, they've all showed that fully vaccinated individuals can carry in their nose and mouth
[03:08:18.967 --> 03:08:28.756]  About 251 to a thousand fold increased viral load of Delta compared to other variants in the pre-vaccination era.
[03:08:28.756 --> 03:08:35.322]  So what I'm telling you is that vaccinated are super spreaders, if you will, of the Delta variant.
[03:08:35.322 --> 03:08:37.104]  Wow, that is so amazing.
[03:08:37.104 --> 03:08:38.405]  People are going to know more about this.
[03:08:38.405 --> 03:08:41.708]  You explained it, but just a little bit more how that works because
[03:08:43.508 --> 03:08:56.140]  Again, I'm not a doctor, but bottom line, I was reading about this Marek's disease in chickens where they give them vaccines for the bird flu that's very similar to SARS and COVID, according to what they're saying.
[03:08:56.140 --> 03:08:56.761]  Correct me if I'm wrong.
[03:08:58.380 --> 03:09:13.269]  Over time, when they get vaccinated four or five times, suddenly it creates a virus that's super and kills 95 to 100 percent, then they've got to give them a super vaccine that stops that, but then the bird always has it and it's, quote, leaking, and then you have to just kill the whole flock.
[03:09:13.869 --> 03:09:16.711]  Now, is that apples and oranges or is that kind of what you're talking about?
[03:09:16.711 --> 03:09:19.832]  Well, it's partly interwoven and supportive.
[03:09:19.832 --> 03:09:24.675]  You know, I did a seminar with Dr. Geert Vanden Bosch on Covexit on the platform.
[03:09:24.675 --> 03:09:26.295]  You can go find it.
[03:09:26.295 --> 03:09:27.916]  And, you know, he used to work for Gates Foundation.
[03:09:27.916 --> 03:09:28.757]  He warned of this.
[03:09:28.757 --> 03:09:30.337]  This is before the vaccines.
[03:09:30.337 --> 03:09:35.420]  He said, listen, the vaccines are going to, in a sense, promote a little mini Petri plate.
[03:09:35.920 --> 03:09:46.830]  And that the antibodies, the weak antibodies that are raised by the vaccines are going to allow a resistant virus to be held in the nose and mouth and then have a vaccinated person become a spreader.
[03:09:46.830 --> 03:09:48.792]  And that's exactly what we're seeing with Delta.
[03:09:48.792 --> 03:09:51.174]  It's interesting that Delta is hitting the younger people.
[03:09:51.174 --> 03:09:55.178]  All the seniors, you know, we have 75% of people over 65 in America took the vaccine.
[03:09:55.598 --> 03:09:59.999]  So it's the seniors who, in a sense, are passing Delta to the younger individuals.
[03:09:59.999 --> 03:10:01.659]  We have, you know, several studies now.
[03:10:01.659 --> 03:10:06.681]  So when Mitt Romney says it's the unvaccinated or hurting him and assaulting him, that's not what the science shows.
[03:10:06.681 --> 03:10:07.901]  It's Mitt Romney.
[03:10:07.901 --> 03:10:09.501]  In fact, it was just the opposite.
[03:10:09.501 --> 03:10:15.523]  I mentioned a paper from Keener and colleagues from UC California and San Diego.
[03:10:15.523 --> 03:10:18.583]  In the health system, you're better off being unvaccinated.
[03:10:18.583 --> 03:10:25.065]  If you were a patient and you look at that New England Journal of Medicine paper, you'd rather have an unvaccinated nurse than a vaccinated nurse.
[03:10:26.542 --> 03:10:27.283]  All right.
[03:10:27.283 --> 03:10:27.843]  I asked you this.
[03:10:27.843 --> 03:10:28.464]  You got a little bit into it.
[03:10:28.464 --> 03:10:32.668]  I want to get into solutions and immunity and early treatment right now.
[03:10:32.668 --> 03:10:35.871]  But before you go, I heard about 15 minutes.
[03:10:35.871 --> 03:10:39.235]  Again, where do you expect this to go now that it's clearly failed?
[03:10:39.235 --> 03:10:39.955]  It's falling apart.
[03:10:39.955 --> 03:10:41.237]  They're trying to cover it up.
[03:10:41.237 --> 03:10:44.340]  They're saying three shots, four shots, five shots, seven shots.
[03:10:44.340 --> 03:10:48.444]  I mean, it's crazy how this is falling apart in front of our eyes.
[03:10:48.444 --> 03:10:50.306]  And their answer is just keep doubling down.
[03:10:50.876 --> 03:10:52.617]  We have to follow leading organizations.
[03:10:52.617 --> 03:11:03.685]  You know, Cleveland Clinic published a paper, Shretha and colleagues, that looked at unvaccinated, naturally immune people, people who had COVID-19 and recovered, and they went back into the workplace.
[03:11:03.685 --> 03:11:09.409]  They had plenty of COVID ambiently in the Cleveland Clinic, 2,500 or so workers, zero infections.
[03:11:09.409 --> 03:11:10.110]  You can't get
[03:11:10.851 --> 03:11:11.972]  COVID-19 twice.
[03:11:11.972 --> 03:11:18.920]  There hasn't been a bona fide case of someone who had PCR, antigen, and sequencing to kind of prove two separate illnesses.
[03:11:18.920 --> 03:11:23.325]  Now people get COVID-19, they can test intermittently positive afterwards for months.
[03:11:23.325 --> 03:11:27.490]  Most health care systems, including mine, do not test somebody to come back to work.
[03:11:27.490 --> 03:11:27.670]  Why?
[03:11:27.670 --> 03:11:30.153]  Because the tests are always positive for months afterwards.
[03:11:30.493 --> 03:11:33.975]  So there's a myth out there that you can get COVID over and over again.
[03:11:33.975 --> 03:11:38.397]  The bottom line is just like SARS-CoV-1 or chickenpox, it's one and done.
[03:11:38.397 --> 03:11:41.439]  Natural immunity is robust, complete, and durable.
[03:11:41.439 --> 03:11:48.783]  And the path forward is to recognize the naturally immune, like they're doing in the city-state of Monaco and probably elsewhere, like the Cleveland Clinic.
[03:11:48.783 --> 03:11:51.985]  The Cleveland Clinic is not having vaccine mandates.
[03:11:51.985 --> 03:11:52.705]  That's my next question.
[03:11:53.205 --> 03:12:02.070]  How crazy is it to have the Surgeon General, sure you've seen the clip, say natural immunity is not as good as the vaccine immunity when all the studies show the opposite.
[03:12:02.070 --> 03:12:03.471]  I mean he knows that's not true.
[03:12:03.471 --> 03:12:09.294]  He must know it's not true and also our head of the National Allergy Immunology Division has said that.
[03:12:09.294 --> 03:12:15.978]  So Surgeon General, we've had two high-ranking officials who probably have never seen a COVID-19 patient themselves.
[03:12:15.978 --> 03:12:19.380]  They're not probably licensed and capable of taking care of a COVID-19 patient.
[03:12:20.100 --> 03:12:22.142]  But having said that, they should be looking at the data.
[03:12:22.142 --> 03:12:30.188]  There's 15 studies showing natural immunity is robust, complete and durable, far superior, infinitely superior to vaccine immunity.
[03:12:30.188 --> 03:12:36.473]  If the CDC has thousands of vaccine failures on the website, they don't have a single failure of natural immunity.
[03:12:36.473 --> 03:12:43.618]  Any American is going to know that the vaccine immunity is simply not durable.
[03:12:43.618 --> 03:12:44.239]  Well, I knew
[03:12:45.754 --> 03:12:51.482]  By biology class in seventh grade that natural immunity is better than vaccine immunity.
[03:12:51.482 --> 03:12:53.145]  I don't know how they get up on TV and say that.
[03:12:53.894 --> 03:12:56.955]  You know, I think they're going to be embarrassed when historians look back on this.
[03:12:56.955 --> 03:12:59.576]  And there's going to be plenty of documentaries on it.
[03:12:59.576 --> 03:13:01.717]  There's going to be a load of embarrassment.
[03:13:01.717 --> 03:13:12.260]  One of the reasons why I'm so careful when I come on TV with you, Alex, and others, is I cite the literature because I don't want historians to go back and say McCullough said something that was absolutely crazy.
[03:13:12.260 --> 03:13:14.941]  Everything I'm saying is grounded in the science.
[03:13:14.941 --> 03:13:16.962]  I'm personally COVID recovered, OK?
[03:13:16.962 --> 03:13:18.202]  I had the alpha variant.
[03:13:18.202 --> 03:13:20.383]  I was in an FDA approved research protocol.
[03:13:20.383 --> 03:13:23.164]  I took hydroxychloroquine as part of FDA approved research.
[03:13:23.684 --> 03:13:24.966]  I got through COVID-19.
[03:13:24.966 --> 03:13:26.488]  I had pulmonary involvement.
[03:13:26.488 --> 03:13:27.268]  I recovered.
[03:13:27.268 --> 03:13:28.410]  That was back in October.
[03:13:28.410 --> 03:13:33.896]  I can tell you now in the Delta pandemic, I have come face-to-face with red-hot Delta patients.
[03:13:33.896 --> 03:13:35.618]  No mask or personal protective equipment.
[03:13:35.618 --> 03:13:37.941]  I'm at the point I'm doing house calls, okay?
[03:13:37.941 --> 03:13:38.582]  And I can tell you,
[03:13:39.162 --> 03:13:40.303]  I didn't get Delta.
[03:13:40.303 --> 03:13:44.547]  So the good news is, people telling me that you can keep getting reinfected, you think that's wrong?
[03:13:44.547 --> 03:13:45.008]  You can't.
[03:13:45.008 --> 03:13:50.373]  In fact, I helped the Sri Lankans organize... So that shoots down their move to make us take new vaccines for everybody?
[03:13:50.373 --> 03:13:51.594]  Yeah, well, absolutely not.
[03:13:51.594 --> 03:13:55.598]  Once somebody gets through COVID-19, the vaccine has no role.
[03:13:55.598 --> 03:13:59.021]  And I've told America, I've been on with Laura Ingram on Ingram Angle saying, listen,
[03:13:59.582 --> 03:14:05.969]  There's three studies showing if you've already had COVID-19 and you take the vaccine, all you do is get side effects at a higher rate.
[03:14:05.969 --> 03:14:11.115]  So the vaccine is absolutely contraindicated in someone who is COVID-recovered.
[03:14:11.115 --> 03:14:12.977]  It can only harm them and can't help them.
[03:14:13.664 --> 03:14:20.325]  And obviously the scientists and Bill Gates and Fauci know all this, so why are they up there saying the opposite?
[03:14:20.325 --> 03:14:21.505]  And the FDA knew it.
[03:14:21.505 --> 03:14:30.047]  The FDA excluded COVID-recovered, even suspected COVID-recovered, even people who actually missed the original infection, who are antibody or T-detect positive.
[03:14:30.047 --> 03:14:32.207]  They should not get the COVID-19 vaccine.
[03:14:32.207 --> 03:14:36.168]  And according to state and federal law, there's no way they can be considered a public health threat.
[03:14:36.168 --> 03:14:39.828]  The vaccine mandates cannot apply to a COVID-recovered patient.
[03:14:39.828 --> 03:14:41.489]  Dr. Peter McCullough is our guest.
[03:14:41.489 --> 03:14:42.809]  Final segment with him, American.
[03:14:43.769 --> 03:14:51.035]  AmericaOutloud.com forward slash D dash McCullough dash report or just search host of the McCullough Report and you will find that.
[03:14:51.035 --> 03:14:52.697]  And everybody should get that weekly show.
[03:14:52.697 --> 03:14:53.377]  They should share it.
[03:14:53.377 --> 03:14:55.499]  Everybody should take this interview after it's archived.
[03:14:55.499 --> 03:15:03.466]  We're live right now, but this afternoon when it's banned on video and freeworldnews.tv and share it like people's lives depend on it because it does.
[03:15:03.466 --> 03:15:07.169]  That's why they're putting out fake news that thousands are in the hospitals and gunshot wounds.
