[00:00:09.856 --> 00:00:12.277]  Oh, got my bag.
[02:38:30.235 --> 02:38:33.696]  And that itself is what God teaches us is worship.
[02:38:34.296 --> 02:38:42.659]  So don't worship the globalists, don't worship the NFL, don't worship all the things of the system, but worship the things of God, because we're made by God.
[02:38:42.659 --> 02:38:47.000]  And appreciate your consciousness, and appreciate free speech, while you still have it.
[02:38:47.000 --> 02:38:51.481]  While you still have it.
[02:38:51.481 --> 02:38:54.122]  You're listening to the Alex Jones Show.
[02:39:03.283 --> 02:39:05.004]  Monday through Friday from 11 a.m.
[02:39:05.004 --> 02:39:05.584]  to 3 p.m.
[02:39:05.584 --> 02:39:06.824]  I'm here live.
[02:39:06.824 --> 02:39:10.585]  Weekday mornings, Harrison Smith does a great job with American Journal.
[02:39:10.585 --> 02:39:16.147]  It's a call-in show, like six-pan Washington Journal, and we're doing a great job taking a lot of calls on the show.
[02:39:16.147 --> 02:39:16.967]  Be sure and check that out.
[02:39:16.967 --> 02:39:18.447]  A lot of stations starting to pick that up.
[02:39:18.447 --> 02:39:19.928]  Radio and TV.
[02:39:19.928 --> 02:39:24.029]  His wife is having a baby in a couple days, so he has taken a few weeks, he wanted a week off.
[02:39:24.029 --> 02:39:25.989]  I said, dude, take a month off.
[02:39:25.989 --> 02:39:28.530]  And so the great Tom Papert is hosting that.
[02:39:28.530 --> 02:39:31.071]  I'm going to be hosting some this week, probably Friday.
[02:39:31.929 --> 02:39:37.872]  And then I'm also going to be hosting some of that show, taking phone calls coming up next week as well.
[02:39:37.872 --> 02:39:44.135]  I think Owen Schroer is going to step to the plate and do some of that on top of that.
[02:39:44.135 --> 02:39:47.516]  So that is what we have here on the lineup.
[02:39:47.516 --> 02:39:50.758]  And of course, Owen Schroer and the War Room.
[02:39:50.758 --> 02:39:55.520]  That is 3 to 6 p.m.
[02:39:55.520 --> 02:39:59.802]  Central Standard Time right here on the Intel Wars Network.
[02:39:59.802 --> 02:39:59.962]  Now,
[02:40:02.097 --> 02:40:07.119]  I saw this article three days ago, What Are the Sperm Telling Us?
[02:40:07.119 --> 02:40:22.385]  Because my wife was at the coffee table on her laptop and I walked over and I saw the article so I pulled it up and I read it and I meant to cover it, but I got busy and never did.
[02:40:22.385 --> 02:40:24.526]  It's really amazing.
[02:40:24.526 --> 02:40:30.548]  It says scientists are concerned by falling sperm counts
[02:40:31.363 --> 02:40:32.904]  Declining egg quality.
[02:40:32.904 --> 02:40:36.407]  Why is there declining egg quality, too?
[02:40:36.407 --> 02:40:40.069]  Endocrine-disrupting chemicals may be the problem.
[02:40:40.069 --> 02:40:40.770]  Atrazine.
[02:40:40.770 --> 02:40:51.197]  One of the main things I was banned for was covering mainline science reports about how that was happening.
[02:40:51.197 --> 02:40:52.378]  And people got really concerned.
[02:40:52.378 --> 02:40:53.499]  So they had Jimmy Kimmel.
[02:40:53.499 --> 02:40:54.860]  They had Colbert.
[02:40:54.860 --> 02:40:56.441]  All of them attacked me and said I was a liar.
[02:40:58.013 --> 02:40:59.334]  And they said it was racist.
[02:40:59.334 --> 02:41:08.018]  They said, you know, the KKK leader, and that was all written for him by The Globalist, he says that the frogs are gay and that they're putting chemicals in things to make us gay.
[02:41:08.018 --> 02:41:19.244]  No, what I said is it makes you infertile and then whatever it does with amphibians and fish is they start trying to fertilize males for whatever reason, particularly in frogs.
[02:41:19.244 --> 02:41:25.927]  So whole frog species are becoming extinct because of this in South Africa, in areas of Europe, and in Houston.
[02:41:27.503 --> 02:41:33.768]  The media thought it was a joke, but I saw an article that half the frogs in the Houston Channel are homosexual.
[02:41:33.768 --> 02:41:35.189]  I mean, they want to have sex with a male.
[02:41:35.189 --> 02:41:36.450]  There is no sex.
[02:41:36.450 --> 02:41:42.374]  A male frog sits on the female frog or toads back, and then they put eggs out, and then the male just fertilizes that.
[02:41:42.374 --> 02:41:44.295]  There's no copulation going on.
[02:41:44.295 --> 02:41:45.636]  There's no penetration.
[02:41:45.636 --> 02:41:49.659]  Not to get into the frog sex here, but frog reproduction.
[02:41:49.659 --> 02:41:52.081]  But, you know, if the frogs are going extinct,
[02:41:52.955 --> 02:41:54.696]  Well, you know these chemicals are the same thing.
[02:41:54.696 --> 02:42:00.960]  They, in utero, make you have a smaller penis and genitals and hurt your development.
[02:42:00.960 --> 02:42:01.961]  Here's an example.
[02:42:01.961 --> 02:42:06.464]  My dad's got a small lake on our East Texas farm ranch.
[02:42:06.464 --> 02:42:10.566]  It's full of hydrilla and a bunch of duckweed.
[02:42:10.566 --> 02:42:18.951]  And so there's a state program where you get these fish that have had a chemical put on them, these carp, where they're sterile.
[02:42:18.951 --> 02:42:21.373]  And they just put chemicals on the eggs.
[02:42:22.296 --> 02:42:26.658]  And the eggs still hatch and still make little carp, but then when they grow up, they're sterile.
[02:42:26.658 --> 02:42:35.061]  So that's just one chemical that's similar to Atrazine that they put in and just sterilize the fish.
[02:42:35.061 --> 02:42:43.584]  And you just put a few drops in a whole big, you know, container with these little baby fish, or the eggs, and it's bye-bye!
[02:42:43.584 --> 02:42:44.904]  You're never going to have babies again.
[02:42:44.904 --> 02:42:47.445]  So, this is science, ladies and gentlemen.
[02:42:48.673 --> 02:42:49.634]  My dad has the literature.
[02:42:49.634 --> 02:42:52.595]  I meant to come in here and do a whole show on it sometime and show you.
[02:42:52.595 --> 02:42:55.636]  These are like 30-pound carp in the lake.
[02:42:55.636 --> 02:43:00.458]  But, you know, that's how this operates, ladies and gentlemen.
[02:43:00.458 --> 02:43:03.899]  And so, you can find out about it or you can die.
[02:43:03.899 --> 02:43:07.961]  But see, they see us as animals, like free-range humans is what we're called.
[02:43:07.961 --> 02:43:09.602]  And we're out here doing all of this.
[02:43:09.602 --> 02:43:11.623]  We're out here just going along.
[02:43:11.623 --> 02:43:12.443]  Oh, I'm going to the movies.
[02:43:12.443 --> 02:43:13.203]  I'm going to the bar.
[02:43:13.203 --> 02:43:14.424]  I'm going to go see, you know.
[02:43:14.424 --> 02:43:17.525]  And it's all designed to make you be distracted, not know how stuff works.
[02:43:19.218 --> 02:43:23.315]  But behind the scenes, folks, they are hitting you and they are hitting you and your family hard.
[02:43:24.460 --> 02:43:38.824]  On the global scope, there are all these regimens of eating only organic, and if you look at the Rockefellers and the Gateses and others, they'll normally live by jet helicopter, private jet, in the middle of nowhere, no 5G, no GMO, all filtered water.
[02:43:38.824 --> 02:43:50.687]  They have all these regimens to detoxify themselves while they hit us with 5G, while they hit us with fluoride, while they hit us with GMO, while they hit us with the deadly mRNA mutagenic
[02:43:51.347 --> 02:43:57.009]  Uh, bioweapons, and it's very serious, and to them, it is a holy action they're carrying out to save the Earth.
[02:43:57.009 --> 02:44:12.275]  Well, you look at Gates when he talks about people are starving, and America's never coming back, he starts... We gotta kill the old lady and then we can... He just really gets excited.
[02:44:12.275 --> 02:44:16.396]  And that's the type of people these folks are.
[02:44:16.396 --> 02:44:19.958]  Again, I was talking to a family member who worked at
[02:44:22.668 --> 02:44:47.831]  In the Anderson Cancer Research Facility, back in the 60s, for a couple years, I was with my dad, and I used to tell some of these stories when I was a kid, I would hear all this stuff, and he said, yeah, he said there'd be like whole wards of people missing lower mandibles, who'd had their jaw taken off from tobacco or cigarettes or whatever, and they'd have other areas, they'd have the children's wards, they'd have all of it, because, you know, you think scientists are all good until
[02:44:49.295 --> 02:44:56.797]  He would see, like, scientists get off on injecting somebody with something really poisonous that they'd signed off on.
[02:44:56.797 --> 02:45:06.599]  He said, like, these scientists would get rats and would just stick them with a needle of cancer and just go, like, would get sexually excited.
[02:45:06.599 --> 02:45:07.579]  And I'm, like, 10 years old.
[02:45:07.579 --> 02:45:08.820]  My dad's telling me all this.
[02:45:08.820 --> 02:45:09.840]  And it's all true!
[02:45:10.695 --> 02:45:12.996]  It's all true, and that's who Bill Gates is, folks.
[02:45:12.996 --> 02:45:16.078]  He got brought into all that stuff like my dad did in high school.
[02:45:16.078 --> 02:45:18.399]  That's the way they take the smartest kids and put them in this.
[02:45:18.399 --> 02:45:21.221]  And he was like, what the hell is this?
[02:45:21.221 --> 02:45:22.822]  I gotta get him on the show sometime.
[02:45:22.822 --> 02:45:28.885]  He's very private, though, but... Yeah, nobody's ever seen my dad.
[02:45:28.885 --> 02:45:30.846]  I ought to make him get on air with us sometime.
[02:45:30.846 --> 02:45:36.549]  He's pretty... He used to be an outgoing guy, and he's pretty reserved these days.
[02:45:36.549 --> 02:45:39.831]  But I just remember all the stuff he told me, and it's just...
[02:45:40.672 --> 02:45:52.061]  You watch Bill Gates when he's with Fareed Zakaria, or when he's on with Colbert, like, terrorists are going to release a weapon a hundred times worse, and billions are going to die!
[02:45:52.061 --> 02:45:56.465]  Colbert is laughing, and it's so much fun, because they're part of the elite.
[02:45:56.465 --> 02:45:58.346]  And Colbert is really scared, actually.
[02:45:58.346 --> 02:46:01.088]  He's just like, holy hell, I signed on with psychopaths.
[02:46:01.088 --> 02:46:02.870]  I'm going to work with these people to try to get out of this.
[02:46:02.870 --> 02:46:04.851]  Because here's the deal.
[02:46:04.851 --> 02:46:06.252]  I'm not bragging when I tell you this.
[02:46:06.252 --> 02:46:08.034]  I'm giving you the good news.
[02:46:08.034 --> 02:46:09.575]  Whenever Mancow was on,
[02:46:10.774 --> 02:46:13.635]  He said on air in the name of three or four famous people that text him they were listening.
[02:46:13.635 --> 02:46:15.176]  He said he got dozens more after that.
[02:46:15.176 --> 02:46:17.377]  He said that doesn't happen when he had a Fox News show.
[02:46:17.377 --> 02:46:18.757]  And again, it's not about Alex Jones.
[02:46:18.757 --> 02:46:22.179]  It's about, do you know who's listening?
[02:46:22.179 --> 02:46:23.279]  Rush Limbaugh's dead now.
[02:46:23.279 --> 02:46:24.239]  He's not listening or he is.
[02:46:24.239 --> 02:46:25.300]  He's in heaven.
[02:46:25.300 --> 02:46:26.180]  Who else do you think listens?
[02:46:26.180 --> 02:46:27.441]  They all do, folks.
[02:46:27.441 --> 02:46:29.322]  They all listen.
[02:46:29.322 --> 02:46:33.063]  And because they all know it's the truth and they can't go as far as I do.
[02:46:33.063 --> 02:46:38.445]  Tedder Carlson's doing it and they're trying to take him off the air and he's not gonna, he's not gonna back down, I can tell you that.
[02:46:38.445 --> 02:46:40.326]  But nobody else can get away with this, okay?
[02:46:40.959 --> 02:46:42.701]  So we're under total attack.
[02:46:42.701 --> 02:46:46.784]  They're trying to put me in prison right now because of this, but I don't care.
[02:46:46.784 --> 02:46:52.369]  Because those FBI agents are going to have children with shriveled testicles that can't have kids either.
[02:46:52.369 --> 02:46:53.349]  Okay?
[02:46:53.349 --> 02:46:53.950]  And I don't care.
[02:46:53.950 --> 02:46:54.691]  They've got the studies.
[02:46:54.691 --> 02:46:57.113]  I don't care if you're black or white or who you are.
[02:46:57.113 --> 02:47:03.378]  The genital sizes are all going... And the testicles are shriveling up in utero.
[02:47:04.139 --> 02:47:13.205]  You are being put in chemicals that are in the food and water that do that and then afterwards you're hit with it and it attacks your IQ, it attacks your... and it's the women's eggs are fried!
[02:47:13.205 --> 02:47:20.210]  Read this article in the New York Times and then ask them, well why'd you say Alex Jones is bad?
[02:47:20.210 --> 02:47:25.454]  Because it tells you the frogs are dying, the fish are dying, they're sterile, they're gay.
[02:47:26.351 --> 02:47:28.994]  And that's why they go, oh, it's your transgender now.
[02:47:28.994 --> 02:47:30.956]  Like, oh, you grew a tumor.
[02:47:30.956 --> 02:47:32.197]  You grew a tumor on your brain.
[02:47:32.197 --> 02:47:32.877]  You're dying.
[02:47:32.877 --> 02:47:35.100]  You're going to trans into death.
[02:47:35.100 --> 02:47:38.923]  You're going to trans into, uh, toss.
[02:47:38.923 --> 02:47:42.607]  You're going to, you're going to, you're going to go over to the Gothic now.
[02:47:42.607 --> 02:47:45.369]  You're, you're transitioning from living to dead.
[02:47:45.369 --> 02:47:46.751]  Oh, you've got an,
[02:47:47.378 --> 02:47:58.603]  And I've got, oh, I've got arms on, let me tell you, there's women that take the vaccine can't get mammograms for six months or sonograms because they say it looks like you have cancer because your body has a cancer effect.
[02:47:58.603 --> 02:48:00.044]  Of course, you'll get cancer later.
[02:48:00.044 --> 02:48:01.864]  Don't worry.
[02:48:01.864 --> 02:48:07.327]  That's why they said Biden, after COVID, he will, quote, tackle cancer.
[02:48:07.327 --> 02:48:09.488]  And he means you're going to get cancer.
[02:48:09.488 --> 02:48:12.049]  So high prevalence of micropenis.
[02:48:12.848 --> 02:48:20.074]  In 2710, male newborns from an intensive use of pesticide area of northeastern Brazil.
[02:48:20.074 --> 02:48:22.416]  This is all fact!
[02:48:22.416 --> 02:48:23.556]  And what is in that?
[02:48:23.556 --> 02:48:25.158]  Atrazine.
[02:48:25.158 --> 02:48:26.278]  Endocrine disrupting chemicals.
[02:48:26.278 --> 02:48:27.559]  It's all mainline science.
[02:48:27.559 --> 02:48:30.822]  But see, oh, Colbert doesn't want you to know that.
[02:48:30.822 --> 02:48:37.747]  Jimmy Kimmel has been ordered, they said, to write these pieces and make jokes because they're using the pesticide on you.
[02:48:37.747 --> 02:48:38.908]  We are the virus.
[02:48:38.908 --> 02:48:39.649]  We are the disease.
[02:48:40.916 --> 02:48:53.656]  By the way, if you don't want your phone to microwave you when you're not using it, because it's always on, if you don't want them tracking you and controlling you and want to kind of isolate your phone to only use it when you want to take a photo or you want to know where you're going or you want to call somebody, we have them back.
[02:48:53.656 --> 02:48:54.337]  They've been sold out.
[02:48:55.347 --> 02:48:56.468]  For months, we have them at $19.95.
[02:48:56.468 --> 02:49:03.776]  They're a high-quality system, Faraday cage, privacy pocket, at InfowarsStore.com.
[02:49:03.776 --> 02:49:06.298]  You're not going to beat this deal, and it funds our operation.
[02:49:06.298 --> 02:49:09.902]  So, we've got them in black, we've got them in red and blue.
[02:49:09.902 --> 02:49:12.645]  The green is not the most popular, but we can't get it right now.
[02:49:12.645 --> 02:49:17.630]  So, those are at InfowarsStore.com, and your purchase funds our operation.
[02:49:17.930 --> 02:49:21.093]  Thank you all for your support.
[02:49:21.093 --> 02:49:23.755]  Infowarstore.com or 888-253-3139.
[02:49:23.755 --> 02:49:27.818]  And also Winter Sun that helps repair your cells and give you a good immune system.
[02:49:27.818 --> 02:49:30.921]  It's got the highest quality D3 and K. It's 25% off.
[02:49:30.921 --> 02:49:34.064]  Selling out quick at Infowarstore.com.
[02:49:34.064 --> 02:49:35.145]  We'll be right back.
[02:49:35.145 --> 02:49:35.865]  I'll go to the closet.
[02:49:38.036 --> 02:49:49.319]  Ladies and gentlemen, Owen Schroyer here, the host of the InfoWars War Room, and I have had a major wake-up call living in Texas this last week about how important storable food is.
[02:49:49.319 --> 02:50:02.242]  Now, I have plenty of storable food in my house, but my notion has always been this is last case scenario, worst case scenario, like end of America, apocalyptic type scenario, but I'm realizing now that's not the case.
[02:50:02.242 --> 02:50:06.023]  Folks, they can shut off the power, they can shut off the water at any given moment.
[02:50:06.383 --> 02:50:12.351]  Now, I was lucky I had plenty of food in my fridge and in my pantry that I didn't have to dig into my storable food.
[02:50:12.351 --> 02:50:14.534]  But many people in Texas didn't.
[02:50:14.534 --> 02:50:15.856]  Don't be in that situation.
[02:50:15.856 --> 02:50:17.859]  Don't have that major wake-up call.
[02:50:17.859 --> 02:50:21.424]  When they come to shut down your power, and they shut down the stores and the food supply,
[02:50:22.296 --> 02:50:39.194]  Have the backup, have the insurance, and be ready to feed yourself, your family, your friends, and your neighbors with the storable food, best quality, best price, 10% off right now at InfowarsStore.com.
[02:50:39.194 --> 02:50:43.739]  In the early 1990s, there was a really funny movie that came out called Wayne's World.
[02:50:48.007 --> 02:50:53.672]  Even before I had an actual TV show in the mid-1990s, I went and saw that movie and thought, man, that was fun!
[02:50:53.672 --> 02:50:59.696]  In fact, you speak out and have your own ideas, and even if you're a nerd, you're still entertaining because you're real.
[02:50:59.696 --> 02:51:01.498]  Well, what do they say in Wayne's World?
[02:51:03.295 --> 02:51:04.636]  We're not worthy!
[02:51:04.636 --> 02:51:05.456]  We're not worthy!
[02:51:05.456 --> 02:51:09.439]  Every day when I cover these huge topics, I don't feel worthy to talk to you.
[02:51:09.439 --> 02:51:11.420]  Because these topics are so huge, they're so real.
[02:51:11.420 --> 02:51:12.821]  But I'm trying to tell you the truth.
[02:51:12.821 --> 02:51:14.862]  I'm trying to get it right, and most of the time we do.
[02:51:14.862 --> 02:51:16.523]  The globalists love lying to you.
[02:51:16.523 --> 02:51:17.864]  They love manipulating you.
[02:51:17.864 --> 02:51:20.506]  They enjoy destroying humanity.
[02:51:20.506 --> 02:51:25.188]  They enjoy manipulating ideas and using people's ignorance against them.
[02:51:25.188 --> 02:51:28.550]  That for me is really satanic and disgusting.
[02:51:28.550 --> 02:51:30.912]  So you've got to pledge for myself and the whole InfoWars crew
[02:51:32.509 --> 02:51:34.430]  We will never join the Globals.
[02:51:34.430 --> 02:51:36.451]  We will never knowingly manipulate you.
[02:51:36.451 --> 02:51:42.553]  Because we know we're all in this together.
[02:51:42.553 --> 02:51:53.218]  You're listening to the Alex Jones Show.
[02:51:53.218 --> 02:51:53.918]  Welcome back.
[02:51:53.918 --> 02:52:00.401]  I'm gonna do five more minutes and then Paul Joseph Watson from her Britannic majesty.
[02:52:00.401 --> 02:52:01.782]  Your majesty.
[02:52:02.732 --> 02:52:07.380]  We'll be taking over and always doing a great job.
[02:52:07.380 --> 02:52:08.362]  In the War Room, 3 p.m.
[02:52:08.362 --> 02:52:09.724]  Central, with Owen Schroer.
[02:52:09.724 --> 02:52:11.487]  And I know you're awesome folks, but remember...
[02:52:12.156 --> 02:52:15.377]  You spread the word about the shows, you share the articles, you share the videos.
[02:52:15.377 --> 02:52:16.677]  That's how we affect the world.
[02:52:16.677 --> 02:52:18.058]  That's how we change things.
[02:52:18.058 --> 02:52:24.580]  And boy, we've been proving right on the gay frogs, and the new world order, and world government, forced inoculations, and permanent lockdowns.
[02:52:24.580 --> 02:52:27.221]  We've proven we really are doing a great job.
[02:52:27.221 --> 02:52:30.081]  And they're trying to put my ass in prison, as you see all over the news.
[02:52:30.081 --> 02:52:34.743]  So, I think we've proven that we really are for the people, by the people, of the people.
[02:52:34.743 --> 02:52:37.824]  And we're certainly flawed, but we use God as our North Star.
[02:52:38.624 --> 02:52:41.367]  Thanks for your prayers, thanks for your support, thanks for everything.
[02:52:41.367 --> 02:52:46.051]  I'm going to cut an ad right now live we can run during the show tomorrow because we need to make some money.
[02:52:46.051 --> 02:52:51.457]  Listeners, you are the reason that InfoWars is on the air.
[02:52:51.457 --> 02:52:54.960]  And I really want to thank you all for over the years keeping us on air.
[02:52:55.936 --> 02:53:08.025]  And I think InfoWars has gotten stronger and gotten truer as the time's gone on, because we've learned more, and more of the New World Order has unfolded, so we've been able to dial in exactly where they're going.
[02:53:08.025 --> 02:53:10.707]  And boy, were we 97% right.
[02:53:10.707 --> 02:53:15.970]  The 3% we were wrong about was, it was way worse than we actually thought.
[02:53:15.970 --> 02:53:16.851]  And that's the bad news.
[02:53:16.851 --> 02:53:20.053]  The good news is that humanity is starting to awaken.
[02:53:20.053 --> 02:53:24.817]  But I cannot stress enough to you, in this economy, in this world, how hard it is
[02:53:25.586 --> 02:53:35.993]  To fund this operation, to have our own encoders, our own crew, our own satellite uplinks, our own websites, our own legal, our own licensing, our own everything.
[02:53:35.993 --> 02:53:41.457]  It is expensive and it is hard to run our own warehouse and run our own crew and just all of it.
[02:53:41.457 --> 02:53:46.881]  So thank you for doing some of your shopping at InfoWareStore.com.
[02:53:46.881 --> 02:53:49.783]  And we've got a lot of things that have been sold out that are back in.
[02:53:49.783 --> 02:53:54.647]  Winter Sun, we got a limited supply because the COVID lockdowns have really hurt the supply chain with vitamin D3 and
[02:53:56.354 --> 02:53:59.615]  Vitamin K that are essential to your immune system and your body's cells.
[02:53:59.615 --> 02:54:00.775]  Great for adults, great for children.
[02:54:00.775 --> 02:54:01.896]  It's back in stock.
[02:54:01.896 --> 02:54:03.796]  Selling out very soon.
[02:54:03.796 --> 02:54:06.557]  25% off.
[02:54:06.557 --> 02:54:16.280]  Also sold out for over a month is the InfoWars Privacy Pockets that have little Faraday cages that keep the globals from being able to track you.
[02:54:16.280 --> 02:54:20.741]  It doesn't send out radiation from the phone that you're able to be hit by.
[02:54:20.741 --> 02:54:24.402]  When you have the phone in it, it's really a healthy thing to do to put your phone in it.
[02:54:25.089 --> 02:54:29.632]  Remember how much screen time you're doing, how it's dominating your life, and the fact that it is surveilling you.
[02:54:29.632 --> 02:54:34.875]  It's actually a good weaning tool to get you in control of the phone and the phone not in control of you.
[02:54:34.875 --> 02:54:41.859]  We've got it in black, blue, and red at infowarestore.com.
[02:54:41.859 --> 02:54:49.123]  And then we've also got activated charcoal toothpaste that we already had in the pipeline a year and a half ago, finally got in six months ago.
[02:54:50.040 --> 02:54:59.968]  But my dad developed, retired dentist, oral surgeon, concentrated, doesn't have the additives, fluoride free, doesn't have the aspartame, doesn't have the toxins, it's really strong toothpaste.
[02:54:59.968 --> 02:55:03.751]  I researched the fact that this is one of the fastest growing toothpastes, acrylate charcoal.
[02:55:03.751 --> 02:55:06.413]  Had my dad come up with a top firm with a superior one.
[02:55:07.549 --> 02:55:09.510]  We're very, very, very proud of it.
[02:55:09.510 --> 02:55:14.074]  It's available at InfoWarsStore.com as well.
[02:55:14.074 --> 02:55:15.595]  Again, discounted.
[02:55:15.595 --> 02:55:26.243]  So whether it is the Privacy Pockets, whether it's the Activated Charcoal Toothpaste, or whether it is the Winter Sun Vitamin D3 and Vitamin K that's so essential year-round, particularly in the winter, and particularly for black folks.
[02:55:26.243 --> 02:55:26.783]  Black folks are
[02:55:27.023 --> 02:55:41.278]  Twice as likely because black folks in the northern hemisphere live in cities, live in these urban canyons and don't get the sun, and black folks need about three times the sun that a Caucasian gets.
[02:55:41.278 --> 02:55:45.022]  A Hispanic probably needs about twice as much depending on how much melanin you have as a white person.
[02:55:45.582 --> 02:55:50.023]  White people are designed to live away from the sun, so we get less of it to be able to live.
[02:55:50.023 --> 02:55:52.064]  Folks who live near the equator are blocking out the sun.
[02:55:52.064 --> 02:55:58.766]  So, if you're not living near the equator, and you're living in northern Klein, but you're genetically designed to live at the equator, you need vitamin D3.
[02:55:58.766 --> 02:56:01.426]  That's a fact, and they don't want you to know that.
[02:56:01.426 --> 02:56:04.327]  So, particularly if you have dark skin, you need high quality vitamin D3.
[02:56:04.327 --> 02:56:08.668]  There's a lot of folks who don't absorb it well in the gut, so you absorb it under the tongue.
[02:56:08.668 --> 02:56:09.649]  It's taken sublingually.
[02:56:09.649 --> 02:56:10.609]  Infowarstore.com.
[02:56:11.522 --> 02:56:13.084]  We also have Wake Up America Coffee.
[02:56:13.084 --> 02:56:14.486]  It's the best coffee I've ever had.
[02:56:14.486 --> 02:56:16.328]  People get it and go, man, this really is incredible.
[02:56:16.328 --> 02:56:18.992]  It's from the Chiapas area in Mexico, right by Guatemala.
[02:56:19.679 --> 02:56:21.180]  You cannot hide a grand assault.
[02:56:50.652 --> 02:56:57.695]  America is about to have its energy cut off, its borders destroyed, its dollar brought down to nothing.
[02:56:57.695 --> 02:57:02.677]  All of you that have served Satan believe that you are on the right team.
[02:57:02.677 --> 02:57:05.639]  You're about to find out how pathetic you are.
[02:57:05.639 --> 02:57:12.902]  So I ask all of you who are awake and who love God, stop living in fear.
[02:57:12.902 --> 02:57:15.723]  The enemy is about to expose itself.
[02:57:15.723 --> 02:57:17.004]  The enemy can't help itself.
[02:57:18.024 --> 02:57:22.065]  The enemy comes to kill, steal, and destroy.
[02:57:22.065 --> 02:57:26.105]  We sit here as good people and get upset about that and try to stop it.
[02:57:26.105 --> 02:57:37.527]  We should, but once it comes through, once it hits us, once it's dominating us and raping us and attacking us, we just have to point out we tried to stop it.
[02:57:37.527 --> 02:57:39.688]  So prepare yourselves, America.
[02:57:39.688 --> 02:57:43.288]  You're going under judgement just like all the children that were aborted.
[02:57:43.288 --> 02:57:44.969]  This is the truth.
[02:57:44.969 --> 02:57:46.329]  This is the Infowar.
[02:57:50.914 --> 02:58:00.502]  Transmitting worldwide from the Summit.News studios in the United Kingdom, you're listening to Paul Joseph Watson.
[02:58:20.985 --> 02:58:23.686]  And we are live with the Summit News Hour.
[02:58:23.686 --> 02:58:25.367]  You'll notice I'm wearing the hat tonight.
[02:58:25.367 --> 02:58:30.670]  That's because the hairstyle, the haircut, is not fit for public consumption.
[02:58:30.670 --> 02:58:43.817]  And that's because I haven't had a haircut in about four or five months because, of course, under the lockdown restrictions here in the UK, barbers, hairdressers have been closed for the past several months.
[02:58:43.817 --> 02:58:49.780]  But thankfully, by the gracious enlightenment of our ever-wise government,
[02:58:50.532 --> 02:58:58.575]  They're telling us that now we will be able to sit on a park bench with another person in about three weeks' time.
[02:58:58.575 --> 02:59:15.840]  Yes, I can't describe how excited, how grateful I truly am that they're lifting these coronavirus lockdown measures so quickly, to the point where in three months' time, maybe, just maybe, we'll be allowed to go to the pub.
[02:59:15.840 --> 02:59:17.781]  Maybe in three months' time.
[02:59:18.846 --> 02:59:20.247]  That's what we're going to talk about today.
[02:59:20.247 --> 02:59:25.150]  Headline here out of the Daily Mail, which just came up a couple of hours ago.
[02:59:25.150 --> 02:59:33.234]  Britain's coronavirus lockdown is one of the toughest in the world, with Ireland the only stricter Western nation, study reveals.
[02:59:33.234 --> 02:59:42.239]  Britons are living under the sixth strictest lockdown in the world and the second harshest in Europe, according to an analysis by the University of Oxford.
[02:59:42.239 --> 02:59:45.441]  Researchers have ranked the pandemic responses of 180 countries on a stringency map.
[02:59:47.887 --> 02:59:54.691]  By looking at how Covid restrictions have affected schools, offices, social gatherings, international travel and freedom to leave home.
[02:59:54.691 --> 02:59:57.313]  Each country was scored on a scale of 1 to 100.
[02:59:57.313 --> 03:00:04.037]  And they're saying that Britain is the second strictest in Europe.
[03:00:04.037 --> 03:00:12.903]  We've got France, we've got Germany, we've got Italy opening up their schools, their restaurants, their bars, their social events way faster.
[03:00:12.903 --> 03:00:14.484]  And yet, as I said in the introduction,
[03:00:15.327 --> 03:00:20.051]  Three months time we'll be allowed to go to the pub, maybe.
[03:00:20.051 --> 03:00:31.242]  And then in three and a half months, in fact it's closer to four months, they say that these restrictions will be lifted and that it's irreversible and that we won't have another lockdown.
[03:00:31.242 --> 03:00:38.969]  Of course, many of the health experts that form part of SAGE, which is advising the government, say that that's complete baloney.
[03:00:39.995 --> 03:00:54.107]  And basically indicating that these lockdown restrictions, these measures in some form will continue indefinitely and will definitely continue indefinitely for those who don't take the vaccine.
[03:00:54.107 --> 03:00:55.789]  Headline out of Summit News.
[03:00:55.789 --> 03:01:01.313]  Vaccine passports to enter pubs, venues being considered by British Government.
[03:01:01.313 --> 03:01:06.398]  To make it clear, these are domestic passports, basically domestic ID cards,
[03:01:07.256 --> 03:01:14.459]  Which, by the way, Winston Churchill banned back after the Second World War and said they were fundamentally anti-British.
[03:01:14.459 --> 03:01:23.944]  Now our great libertarian leader, Boris Johnson, is saying that the government will consider vaccine passports to enter pubs, restaurants and other venues.
[03:01:25.365 --> 03:01:29.790]  And this has been part of his roadmap to lifting lockdown.
[03:01:29.790 --> 03:01:41.223]  Despite other European countries such as France, Germany and Italy easing restrictions far sooner, initial changes will see Brits only being allowed to sit on a bench with another person from next month.
[03:01:41.223 --> 03:01:42.845]  That's right.
[03:01:42.845 --> 03:01:45.608]  From March the 8th, I believe the date is, they're saying,
[03:01:46.547 --> 03:01:54.272]  We may, we may allow you to meet another person from outside your household and sit on a park bench with them.
[03:01:54.272 --> 03:01:58.055]  Because nobody's been doing that over the past two months.
[03:01:58.055 --> 03:02:03.138]  Nobody at all has been flouting any of these lockdown restrictions.
[03:02:03.138 --> 03:02:08.362]  They're saying that outdoor dining will not reopen until April the 12th.
[03:02:08.362 --> 03:02:11.284]  That's about seven weeks time from now.
