[00:00:13.634 --> 00:00:22.982]  Yeah, we're in Chevy.
[03:05:34.264 --> 03:05:41.668]  The great classical liberalisms of Thomas Jefferson and Francis Bacon are reawakening right now.
[03:05:42.428 --> 03:05:51.633]  And it's because of the historical times we live in that InfoWars is going to embark on an unprecedented 52-hour broadcast.
[03:05:51.673 --> 03:05:57.175]  We've done 24-hour broadcasts before, but we've never gone 52 hours.
[03:05:57.735 --> 03:05:58.476]  This Monday,
[03:05:59.016 --> 03:06:00.437]  from 11 a.m.
[03:06:00.497 --> 03:06:06.160]  Central right through Tuesday right into Wednesday when the Wednesday show ends at 3 p.m.
[03:06:06.220 --> 03:06:19.669]  Central we will broadcast for an unprecedented legendary over-the-top 52 hours live the second great awakening is taking place we are in the dawn of a new
[03:06:20.569 --> 03:06:25.232]  The era of renaissance, of rediscovery, and human liberty.
[03:06:25.853 --> 03:06:38.962]  Donald Trump, the Brexit, Infowars, Matt Drudge, Breitbart, WorldNetDaily, and so many others are only one small manifestation in the fire of liberty that is now exploding across the globe.
[03:06:39.543 --> 03:06:43.766]  You can see it in the news, you can feel it, you can witness it on the street.
[03:06:44.426 --> 03:06:45.307]  History's happening.
[03:06:45.647 --> 03:06:49.812]  They always say this election is the most important in our lifetimes and we laugh it off.
[03:06:49.892 --> 03:06:53.376]  I wouldn't even get involved in past elections because they were so clearly frauds.
[03:06:54.057 --> 03:06:55.298]  This one's the big kahuna.
[03:06:56.099 --> 03:06:57.741]  A clear demarcation line.
[03:06:58.262 --> 03:07:01.725]  A crossroads between nationalism and tyranny.
[03:07:02.246 --> 03:07:04.408]  Between Americanism and globalism.
[03:07:05.109 --> 03:07:09.254]  That's why we're doing this one time and one time only, because history's happening.
[03:07:09.694 --> 03:07:17.822]  A 52-hour live transmission, kicking off Monday, November 7th, 2016 at 11am, running right through Election Day the 8th,
[03:07:21.366 --> 03:07:22.927]  End of the night at 3 p.m.
[03:07:22.967 --> 03:07:24.128]  and quite frankly beyond.
[03:07:24.489 --> 03:07:30.513]  It's historical and it's part of overthrowing the dinosaur media, not just overthrowing the two-party corrupt system.
[03:07:31.014 --> 03:07:36.718]  I want to see 10 million viewers tune in over the 50 plus hours and that's where you come in.
[03:07:37.158 --> 03:07:38.860]  You are the heart and blood of the InfoWar.
[03:07:39.200 --> 03:07:48.908]  If you spread the link to InfoWars.com forward slash show and point out that this is the alternative new media, this is the rebellion, this is the modern Paul Revere operation,
[03:07:49.488 --> 03:07:53.010]  Then all of you are riding right beside us, not behind us.
[03:07:53.370 --> 03:07:56.792]  So spread the word, my Paul Reveres, no matter where you live in the world.
[03:07:58.152 --> 03:08:03.435]  To Information Warfare Arms, the globalists are coming and they will be met on the field.
[03:08:05.256 --> 03:08:06.497]  Infowars.com.
[03:08:06.897 --> 03:08:07.517]  Powered by 1776.
[03:08:07.757 --> 03:08:12.780]  Mr. Trump, I'm not going to lay things out here that you don't already know.
[03:08:13.715 --> 03:08:26.642]  But I am going to ask you to seriously think about making the issue of Hillary's election fraud in the primaries one of the central issues to defeating her in November.
[03:08:26.982 --> 03:08:31.004]  And I'm telling you, November 8th, we better be careful because that election's gonna be rigged.
[03:08:31.164 --> 03:08:31.924]  First of all, it's rigged.
[03:08:32.484 --> 03:08:35.006]  And I'm afraid the election's gonna be rigged, I have to be honest.
[03:08:35.666 --> 03:08:39.468]  And I hope the Republicans are watching closely or it's going to be taken away from us.
[03:08:39.628 --> 03:08:43.069]  America teaches everybody how to live in, quote, democracy.
[03:08:43.609 --> 03:08:44.069]  But what?
[03:08:44.469 --> 03:08:47.411]  You actually believe that they have democratic elections there?
[03:08:47.791 --> 03:08:56.014]  If Hillary steals the nomination and then she openly is engaged in chicanery and things don't add up with Trump, you have to say it must be thrown out.
[03:08:56.514 --> 03:09:05.218]  Hillary Clinton has had every advantage, every break given to her from the very beginning by this Democratic Party.
[03:09:05.318 --> 03:09:06.178]  It has been rigged.
[03:09:06.218 --> 03:09:09.899]  The political parties choose their nominee, not the general public.
[03:09:10.039 --> 03:09:11.500]  Contrary to popular belief.
[03:09:11.820 --> 03:09:13.481]  Then why bother holding the primaries?
[03:09:14.441 --> 03:09:15.643]  That's a very good question.
[03:09:15.803 --> 03:09:30.058]  It is clearly the case that when given truth serum, Debbie Wasserman Schultz vastly prefers Hillary Clinton to be the nominee, obviously, and to the extent there are things that can be done institutionally and largely to facilitate that outcome, they are being done.
[03:09:30.178 --> 03:09:35.124]  When did the press see it as their role to protect the prerogative of the powerful?
[03:09:35.184 --> 03:09:36.165]  Actually, I think that's part of it.
[03:09:36.405 --> 03:09:40.129]  And we're not gonna recognize Queen Hillary if there's evidence of fraud.
[03:09:40.429 --> 03:09:41.290]  And guess what there is?
[03:09:41.570 --> 03:09:43.452]  She stole the nomination!
[03:09:43.693 --> 03:09:45.875]  Of course the elections will not be rigged.
[03:09:45.955 --> 03:09:46.676]  What does that mean?
[03:09:47.443 --> 03:09:49.264]  How would the party pick a new nominee?
[03:09:49.505 --> 03:09:50.445]  Today is the day!
[03:09:50.485 --> 03:09:54.028]  They're really thinking about maybe getting him off the top of the ticket.
[03:09:54.228 --> 03:09:56.931]  He now looks increasingly like the Kamikaze candidate.
[03:09:57.531 --> 03:10:00.433]  An implosion the likes of which I have never seen.
[03:10:00.453 --> 03:10:03.576]  The biggest problem we have is we have a very dishonest media.
[03:10:04.256 --> 03:10:14.945]  If Mr. Trump is suggesting that there is a conspiracy theory that is being propagated across the country,
[03:10:16.727 --> 03:10:19.031]  Including in places like Texas.
[03:10:21.315 --> 03:10:21.936]  That's ridiculous.
[03:10:22.036 --> 03:10:23.038]  That doesn't make any sense.
[03:10:23.118 --> 03:10:25.021]  And I don't think anybody would take that seriously.
[03:10:26.223 --> 03:10:29.008]  Texas, the world, stands up against a globalist.
[03:10:29.709 --> 03:10:30.370]  Roger Stone!
[03:10:31.516 --> 03:10:43.563]  He's been sued by the Democratic Party, he's been sued by other activist groups, so has Donald Trump, for having exit polls that is a part and parcel of the State Department's own global program to ensure elections are accurate.
[03:10:43.583 --> 03:10:46.404]  If it's 5% off, they call the election a fraud.
[03:10:46.424 --> 03:10:48.805]  Hillary Clinton was the Secretary of State.
[03:10:49.566 --> 03:10:53.088]  We sent Owen Schroer out to one of the biggest polling places.
[03:10:53.148 --> 03:10:55.149]  He's 200 feet away, they even had cones out.
[03:10:56.189 --> 03:10:57.171]  I mean this is unprecedented.
[03:11:13.069 --> 03:11:19.355]  And the polls now, even though they're sampling 9, 12, 15, 20 points for Hillary, Trump is now 6 points ahead nationally.
[03:11:19.375 --> 03:11:20.556]  That's RogerReport.com.
[03:11:21.057 --> 03:11:24.520]  Roger Stone joining us to talk about this and other things that are happening.
[03:11:25.060 --> 03:11:34.309]  I've been talking, Roger, to my intelligence sources and others, and they say that it's Lolita Express stuff with Weiner and a router shunting stuff, the Saudi Arabians.
[03:11:34.790 --> 03:11:36.551]  They say it's so open and shut that
[03:11:38.103 --> 03:11:39.664]  Hillary should step down right now.
[03:11:39.704 --> 03:11:41.766]  My problem is that might put the whole election into jeopardy.
[03:11:41.786 --> 03:11:42.747]  This is a crazy time.
[03:11:43.167 --> 03:11:46.790]  What do you want to cover first, former head of the Trump campaign, Roger Stone?
[03:11:48.011 --> 03:12:06.407]  Well, it is clear, Alex, that the Clinton campaign response to all of the recent revelations, including the existence of 650,000 emails that Huma Abedin seems to have forwarded to herself to create a database
[03:12:07.739 --> 03:12:07.899]  Yes.
[03:12:22.668 --> 03:12:33.410]  That Paul Manafort, my ex-partner, former chairman of the Trump campaign, is under investigation for his ties to the Russians, as he told NBC, completely false.
[03:12:33.991 --> 03:12:37.611]  They've got some ledger, as you said six months ago, with something scribbled in it.
[03:12:37.971 --> 03:12:40.392]  I mean, this is their proof, like something on a bathroom stall.
[03:12:40.732 --> 03:12:44.413]  Even the New York Times had to admit, FBI investigation, no Trump connections.
[03:12:45.763 --> 03:12:49.306]  Yeah, so I mean, I just don't think the American people are buying this.
[03:12:49.426 --> 03:13:00.076]  If this was their October surprise, if this is what they were hoping to would knock Trump out of the box in the final week, I don't think... No one's buying it.
[03:13:00.196 --> 03:13:01.157]  Everyone's laughing at it.
[03:13:02.459 --> 03:13:03.901]  I think that is the case.
[03:13:04.622 --> 03:13:12.709]  I mean, my sources tell me that the ramifications of ULMA's emails are multiple.
[03:13:13.290 --> 03:13:22.319]  Not only is there, I'm told, the strong possibility, and we're on top of this, that they were selling access to some of the documents
[03:13:23.147 --> 03:13:28.229]  That were in this database that was created to foreign powers.
[03:13:29.610 --> 03:13:43.955]  But additionally, I am told that there may be blackmail material there that was sent to Hillary by Jeffrey Epstein as a sample of what would happen if he were fully prosecuted.
[03:13:45.576 --> 03:13:48.497]  There are, however, reports out there that
[03:13:49.409 --> 03:13:57.233]  That Bill and Hillary and Huma and Anthony Wiener were on Epstein's plane based on my research that is false.
[03:13:58.014 --> 03:14:04.097]  That's based on the FAA Bill was, but none of the others.
[03:14:04.137 --> 03:14:06.819]  What is interesting is, of course, that whenever Bill was there
[03:14:07.774 --> 03:14:11.235]  His right-hand man, Doug Band, was with him.
[03:14:11.295 --> 03:14:13.956]  Perhaps this is why Band is not expendable.
[03:14:14.056 --> 03:14:17.198]  Sure, he also dumped his Secret Service details.
[03:14:17.258 --> 03:14:18.658]  So, this is a big deal.
[03:14:18.698 --> 03:14:19.839]  What do you make of Steve Pchenik?
[03:14:20.339 --> 03:14:26.101]  Obviously a major heavy hitter, not just with the State Department, but in black ops, you name it, overthrowing countries.
[03:14:26.201 --> 03:14:31.003]  He says, and he's never showed his face in 25 years, they're making their move right now in a countercoup.
[03:14:32.738 --> 03:14:40.884]  Yeah, I think that there are elements inside the government who aren't going to stand for the Clintons' shenanigans.
[03:14:41.484 --> 03:14:44.586]  And it appears to me like Obama is backing off the Clintons.
[03:14:45.687 --> 03:14:51.050]  I mean, it really appears to me like they have figured out that she's going down.
[03:14:51.270 --> 03:14:53.312]  It is amazing the extent to which
[03:14:54.338 --> 03:14:58.861]  This is not yet dawned on some in the mainstream media.
[03:14:58.901 --> 03:15:03.243]  What do you make of their still childlike arrogance and false bravado?
[03:15:04.724 --> 03:15:07.286]  Listen, she would not be campaigning in Detroit.
[03:15:08.175 --> 03:15:09.576]  If she were confident.
[03:15:09.656 --> 03:15:14.339]  She would not be dumping more money into Colorado if she were confident.
[03:15:14.939 --> 03:15:16.660]  They admit things have tightened.
[03:15:16.740 --> 03:15:26.866]  Even Nate Silver with the New York Times, who I try to take with a little bit of a grain of salt, points out that for every point that Trump gains nationally, he's gaining in the swing state.
[03:15:27.627 --> 03:15:30.128]  Trump has a little flagger in his step.
[03:15:30.168 --> 03:15:32.910]  He is increasingly confident as he feels
[03:15:33.730 --> 03:15:34.490]  The momentum.
[03:15:34.590 --> 03:15:41.733]  I can tell you, having been through nine presidential campaigns, it's not the numbers that are as important right now as the direction.
[03:15:42.453 --> 03:15:44.894]  And the momentum is with Trump in the final week.
[03:15:44.954 --> 03:15:46.595]  This is where you prefer to be.
[03:15:46.615 --> 03:15:53.197]  The worst place to be in American politics is trying to hold a lead, trying to ride out a lead, because when you're sitting still,
[03:15:53.837 --> 03:15:54.717]  You're losing votes.
[03:16:11.761 --> 03:16:13.383]  I mean, this is not a game, folks.
[03:16:13.423 --> 03:16:16.645]  This is not talking to some journalist or some other normal person.
[03:16:17.146 --> 03:16:27.535]  They say they've got stuff they don't want to bring out because it's so damaging to the whole country, but they're going to do the hydro-nuclear, you know, thermal-nuclear hydrogen bomb option if they try to sneak Hillary in.
[03:16:27.575 --> 03:16:32.820]  There's going to be press conferences, stuff coming out that is just, just total devastation.
[03:16:33.120 --> 03:16:36.563]  So if Hillary wants to keep pushing it, I'm told they're loaded double-locked buck.
[03:16:38.071 --> 03:16:52.259]  Well, but the other point that is clear is that as they begin to look into the abyss, stare into the abyss at defeat, the chances of them trying to steal this to save themselves increase exponentially.
[03:16:52.279 --> 03:16:54.840]  Sure, their only hope, according to Ratz, is to steal it.
[03:16:54.860 --> 03:16:58.502]  So looking into your crystal ball, Roger, one of the top crystal balls out there, what do you see?
[03:17:00.279 --> 03:17:05.554]  We have to have a very effective election day operation to monitor for voter fraud.
[03:17:05.614 --> 03:17:06.998]  Which brings into the lawsuit.
[03:17:07.038 --> 03:17:07.700]  Let's talk about that.
[03:17:08.487 --> 03:17:09.007]  Yeah, I know.
[03:17:09.027 --> 03:17:10.528]  Look, I have been sued in federal court.
[03:17:10.588 --> 03:17:27.940]  Donald Trump and I have been sued, along with the Trump campaign and the Republican National Committee, claiming that we are going to use exit polls somehow to intimidate voters, which isn't even logical because in an exit poll, you don't even address the voters until after they have voted.
[03:17:27.960 --> 03:17:31.062]  We did it and had Democrats flipping out yesterday.
[03:17:31.857 --> 03:17:33.438]  Yeah, because they don't want to be watched.
[03:17:33.758 --> 03:17:38.362]  They absolutely don't want to be watched, because this is where the shenanigans have to take place.
[03:17:39.042 --> 03:17:43.506]  And they take place traditionally in those places where you have one party rule.
[03:17:44.086 --> 03:17:47.429]  This idea that this is racially based is just not true.
[03:17:47.469 --> 03:17:48.450]  No, they're doing it in Austin.
[03:17:48.470 --> 03:17:49.911]  That's the only Democratic county.
[03:17:49.951 --> 03:17:51.092]  They are doing it wall-to-wall.
[03:17:52.253 --> 03:17:57.837]  And Politico today, a piece by Ben Schreckinger, lumps me with neo-Nazis
[03:17:59.428 --> 03:18:02.330]  And white supremacists.
[03:18:02.590 --> 03:18:04.231]  I really resent that.
[03:18:04.271 --> 03:18:06.052]  Well let me just add this since you bring it up.
[03:18:06.273 --> 03:18:08.474]  I said there isn't a Jewish mafia running things.
[03:18:08.774 --> 03:18:11.316]  They shouldn't say that Trump's saying that when he talks about TPP.
[03:18:11.716 --> 03:18:13.157]  But that the Emanuels are mafia.
[03:18:13.397 --> 03:18:14.538]  They turn into headlines.
[03:18:14.838 --> 03:18:15.899]  Jews run the world.
[03:18:16.319 --> 03:18:17.820]  I mean they're so deceptive.
[03:18:19.059 --> 03:18:24.224]  Yeah, I actually had to complain to an editor at Politico because this crossed a line.
[03:18:25.145 --> 03:18:37.999]  Look, I'm a Trump partisan, I'm a conservative, I'm a libertarian-oriented conservative, but to lump me with repugnant folks like David Duke is really beyond the pale.
[03:18:38.199 --> 03:18:39.120]  Just beyond the pale.
[03:18:39.360 --> 03:18:40.000]  You know what makes me mad?
[03:18:40.020 --> 03:18:40.460]  The same deal.
[03:18:40.721 --> 03:18:47.323]  For whatever reason, those are the people that attack me more than anybody, and make stuff up about me, and send people to my house.
[03:18:47.443 --> 03:18:48.924]  I mean, I'm not saying Duke did it, but other ones.
[03:18:49.264 --> 03:18:54.586]  The damn white supremacists are the most crazy, piranha-like nuts, and I don't get why.
[03:18:54.986 --> 03:18:55.867]  Really, I agree.
[03:18:55.947 --> 03:18:58.588]  It's like, how dare you lump me in with those people?
[03:19:00.027 --> 03:19:05.750]  So, anyway, you slice it here, you have guilt by association going both ways.
[03:19:05.890 --> 03:19:10.533]  If you're not for thermonuclear war with Russia, you must be a Russian agent.
[03:19:11.493 --> 03:19:13.314]  And this is the new McCarthyism.
[03:19:13.374 --> 03:19:22.239]  If you are for detente, if you're for, you know, hard-headed negotiations in some coexistence with the Russians, then you must be working for the Russians.
[03:19:22.279 --> 03:19:24.280]  And if you're against Hillary, you're a KKK Grand Dragon.
[03:19:25.003 --> 03:19:28.526]  Yeah, so it's like, which is it, guys?
[03:19:28.546 --> 03:19:36.412]  I mean, it's kind of like Obama saying, there is no voter fraud, it doesn't exist, but we're going to have the UN come in and monitor for voter fraud.
[03:19:36.952 --> 03:19:40.175]  The Russians are hacking elections, but the elections can't be hacked.
[03:19:40.595 --> 03:19:41.115]  Which is it?
[03:19:41.196 --> 03:19:42.877]  They can't even get their storyline straight.
[03:19:44.312 --> 03:19:45.853]  We're four and a half days out, my friend.
[03:19:45.953 --> 03:19:47.934]  I guess five days if you count the election day.
[03:19:47.954 --> 03:19:54.259]  I mean, clearly, Trump, I know you want to be always pessimistic to be safe, but even with these oversamples, he's six points ahead.
[03:19:54.299 --> 03:19:55.700]  I mean, they've got to be panicking right now.
[03:19:56.800 --> 03:19:58.762]  I think that there is a real panic.
[03:19:59.262 --> 03:20:08.928]  And if you look at their schedules, if you look at the Clinton schedules of where they're going in the final days, that is really telling.
[03:20:08.968 --> 03:20:13.311]  Let's talk about that, because it dovetails with where they're suing you and Trump, these key battlegrounds.
[03:20:13.331 --> 03:20:13.952]  Let's talk about that.
[03:20:15.179 --> 03:20:29.244]  It appears to me like Bill is going to Colorado because we shipped out an enormous box of whistles today from a group of activists who want to greet the former president with their official Bill Clinton rape whistles.
[03:20:29.284 --> 03:20:32.285]  Oh yeah, did you see Hillary flip out yesterday when somebody did Bill Clinton's a rapist?
[03:20:32.646 --> 03:20:33.486]  She was totally tragic?
[03:20:34.206 --> 03:20:36.227]  Yes, we've got to find that guy and give him an award.
[03:20:37.596 --> 03:20:41.458]  Uh, yeah, no, look, they can dish it, but they can't take it.
[03:20:42.058 --> 03:20:51.383]  The Media Matters for America bullies, you know, call me every name in the book, but when you turn the tables on them, they whine like a bunch of children.
[03:20:51.403 --> 03:20:52.144]  They crap their pants.
[03:20:52.824 --> 03:20:54.285]  Yeah, yeah, agreed.
[03:20:54.845 --> 03:20:56.446]  Is this not the most epic election ever?
[03:20:57.990 --> 03:21:01.431]  Yeah, because I think we are about to grab our country back from the globalists.
[03:21:02.292 --> 03:21:03.612]  This is a sea change.
[03:21:03.832 --> 03:21:09.955]  Every other election I've been involved in at the presidential level has been Republicans versus Democrats.
[03:21:10.415 --> 03:21:19.118]  This election is the elite of the Republican Party and the Democratic Party versus Donald Trump and the outsiders.
[03:21:19.558 --> 03:21:25.001]  I mean, there's a piece by the well-known Ghanif John Weaver about why
[03:21:26.301 --> 03:21:32.263]  John Kasich's refusal to support the National Ticket is somehow heroic.
[03:21:32.804 --> 03:21:35.325]  John, look up Rockefeller, Nelson.
[03:21:35.665 --> 03:21:36.965]  Your man is doomed.
[03:21:37.286 --> 03:21:37.926]  He's finished.
[03:21:37.986 --> 03:21:39.686]  He is on the wrong side of history.
[03:21:39.967 --> 03:21:40.947]  Let's talk about that.
[03:21:41.147 --> 03:21:41.947]  Let's talk about that.
[03:21:42.047 --> 03:21:43.508]  What happens if they do steal it?
[03:21:44.428 --> 03:21:49.951]  What happens if we're, you know, next Wednesday and Hillary's won by three points and we've got election fraud evidence everywhere?
[03:21:50.011 --> 03:21:50.351]  What do we do?
[03:21:51.335 --> 03:21:54.197]  Well, I mean, that's going to be up to one person, Donald J. Trump.
[03:21:54.277 --> 03:21:56.158]  But if the evidence... We know he's going to fight.
[03:21:56.198 --> 03:21:56.878]  We know he's going to fight.
[03:21:57.439 --> 03:22:02.082]  He's a fighter, but that's why the exit poll we're doing to stop this deal is so important.
[03:22:02.102 --> 03:22:06.524]  You can't just claim this was stolen without solid admissible evidence.
[03:22:06.544 --> 03:22:08.886]  And they want to block you and claim it's election disruption.
[03:22:09.733 --> 03:22:12.015]  Yeah, look, we're going to publish the results of our exit poll.
[03:22:12.035 --> 03:22:14.477]  If it shows no fraud, that's what we will show.
[03:22:14.977 --> 03:22:16.558]  Everything will be sworn under oath.
[03:22:17.059 --> 03:22:23.924]  This is a democratic exercise, but we are using the exact same methodology that the networks are using.
[03:22:30.626 --> 03:22:36.389]  Look, I've been using sophisticated survey research for 30 years in a political career.
[03:22:36.449 --> 03:22:38.389]  I actually know more about it than... No, I know.
[03:22:38.429 --> 03:22:50.134]  There's this perpetual arrogance, though, where they act like we can't even wipe our own, you know, what's, I mean... Well, I didn't go to Yale, I didn't go to Harvard, and, you know, my father was a well digger, so I couldn't possibly know anything.
[03:22:50.154 --> 03:22:53.996]  I mean, yeah, it's elitism is what it is.
[03:22:54.076 --> 03:22:56.137]  I mean, I saw this piece yesterday by
[03:22:57.208 --> 03:23:14.654]  Dana Milbank of the Washington Post calling the idea that Danny Williams is Bill Clinton's son, which I believe he is based on the research I did for my book, Clinton's War on Women, which you can get at InfoWars.com, you know, calling it a conspiracy theory.
[03:23:14.994 --> 03:23:21.716]  This little elitist turd is perhaps the single most repugnant member of the press corps.
[03:23:22.136 --> 03:23:26.278]  I mean, he's wrong about everything, but he has an arrogance about him that is, I
[03:23:26.978 --> 03:23:27.839]  Really annoying.
[03:23:27.859 --> 03:23:31.602]  I know, the bigger the loser, the more they worship them and hold them up.
[03:23:31.682 --> 03:23:34.985]  It's like a club of ugly ducklings or something.
[03:23:35.785 --> 03:23:38.387]  Roger Stone, other points we need to impart to folks.
[03:23:38.748 --> 03:23:40.189]  Now just four and a half, five days out.
[03:23:41.946 --> 03:23:44.628]  Just, uh, we need the support at Stop the Steal.
[03:23:44.668 --> 03:23:45.768]  We need more people.
[03:23:46.049 --> 03:23:48.490]  We need, uh, obviously we need more money.
[03:23:48.610 --> 03:23:51.052]  Our training video is about to be released.
[03:23:51.152 --> 03:23:54.894]  We do have a concern, of course, now about infiltrators.
[03:23:54.974 --> 03:24:02.239]  All we need is one person who volunteers to work at the polls and goes through the training and then goes out there and acts like a jackass.
[03:24:03.379 --> 03:24:09.403]  And, you know, we can be blamed, so we're trying as best as we can to... But folks have to know that's going to happen.
[03:24:09.423 --> 03:24:14.026]  We've already had people dress up in our Hiller for Prison shirts and scream stuff they should, and then we tracked it back.
[03:24:14.086 --> 03:24:15.907]  So, listeners are sophisticated.
[03:24:15.947 --> 03:24:16.787]  They understand that, Roger.
[03:24:17.428 --> 03:24:22.231]  Well, remember that we know now, and I predicted it right here months and months ago.
[03:24:22.251 --> 03:24:23.751]  Not predicted, but I called it.
[03:24:24.352 --> 03:24:26.293]  In Ferris, you did have a good force.
[03:24:26.793 --> 03:24:31.296]  You said they were sending people dressed as Sanders to attack Trump, to demonize Sanders and Trump.
[03:24:32.199 --> 03:24:33.219]  Yeah, exactly.
[03:24:33.359 --> 03:24:36.821]  And it turned out, thanks to the WikiLeaks, that this all checks out.
[03:24:36.981 --> 03:24:40.242]  And to the terrific work done by James O'Keefe at Veritas.
[03:24:40.362 --> 03:24:43.784]  Have you seen his latest where you've got this Democrat hiding black people?
[03:24:44.644 --> 03:24:44.904]  Yes.
[03:24:45.304 --> 03:24:46.265]  It's extraordinary.
[03:24:46.405 --> 03:24:48.926]  It is everything we suspected and worse.
[03:24:49.716 --> 03:24:52.399]  What's amazing is the mainstream media blackout.
[03:24:52.419 --> 03:25:03.569]  Let me ask you this because I grew up as a Republican but I mean the only racism I ever heard was around Democrats and I thought it was some test to see if I was racist and they went no we really hate Mexicans and black people.
[03:25:04.090 --> 03:25:09.555]  I don't understand like if you experience this where the racism is always by them but they're the ones that claim they're fighting it?
[03:25:10.798 --> 03:25:12.279]  We're the ones in the party of Lincoln.
[03:25:12.879 --> 03:25:18.082]  They're the ones in the traditional party of the Klan and anti-Catholicism for that matter.
[03:25:18.623 --> 03:25:27.328]  So, this is, you know, as I think you pointed out yesterday, everything they have done, they turn around and accuse us of.
[03:25:28.337 --> 03:25:40.683]  Everything, whether it is running errands for the clique around Putin in return for huge dollars or engaging in instigating violence, it's a mirror image.
[03:25:40.863 --> 03:25:43.784]  Everything that they have done, they turn around and accuse us of.
[03:25:44.425 --> 03:25:47.166]  The chutzpah is just extraordinary.
[03:25:47.762 --> 03:25:49.183]  Well, it's clearly coming to a head.
[03:25:49.203 --> 03:25:50.424]  This is a very dangerous time.
[03:25:50.464 --> 03:25:52.265]  The nuclear forces in Russia and the U.S.
[03:25:52.325 --> 03:25:53.766]  and China are all on alert.
[03:25:53.846 --> 03:25:55.587]  Roger, thanks for joining us seven days a week.
[03:25:55.888 --> 03:25:56.528]  We're back tomorrow.
[03:25:56.548 --> 03:25:57.429]  I know you're a busy man.
[03:25:57.569 --> 03:25:58.650]  Stonecoldtruth.com.
[03:25:58.970 --> 03:25:59.650]  Thanks for all the time.
[03:26:00.571 --> 03:26:01.011]  Many thanks.
[03:26:01.952 --> 03:26:05.995]  Well, sued with Trump in four states for daring to have exit pollers.
[03:26:06.115 --> 03:26:08.256]  And the video's coming up after the break.
[03:26:08.597 --> 03:26:13.340]  Rob New is going to play it of Owen Schroyer, totally polite, following all the rules.
[03:26:13.460 --> 03:26:16.202]  And this guy flips out on him.
[03:26:17.563 --> 03:26:18.364]  I would have been more rude.
[03:26:18.384 --> 03:26:19.405]  I'm very proud of Ellen.
[03:26:19.425 --> 03:26:20.626]  Ellen is the future.
[03:26:20.786 --> 03:26:23.669]  People like Ellen and our crew are just amazing people.
[03:26:24.190 --> 03:26:28.454]  Before we go to break and come back, just a few of the sponsors that make this global transmission.
[03:26:29.656 --> 03:26:30.116]  Possible.
[03:26:30.657 --> 03:26:32.018]  I want to tell you about Harvest Rite.
[03:26:32.038 --> 03:26:35.841]  They have these great systems that dehydrate food across the board.
[03:26:36.282 --> 03:26:40.545]  Harvest Rite created the most amazing home appliance, a home freeze dryer, that helps you be prepared.
[03:26:40.585 --> 03:26:42.707]  The appliance allows you to freeze dry in a bunch of different units.
[03:26:43.027 --> 03:26:50.414]  Your own food at home, freeze drying locks in 100% of food nutrients, so even 25 years of food is just as healthy and tasty as the day it was made.
[03:26:50.874 --> 03:26:56.116]  You can freeze-dry food such as garden produce, proteins, and even whole meals like lasagna and beef stew.
[03:26:56.176 --> 03:26:56.697]  It's incredible.
[03:26:57.097 --> 03:27:01.999]  Harvest Right sent us some of their freeze-dried food, and I couldn't believe how fresh it was, but I own one anyway, so I believe in it.
[03:27:02.279 --> 03:27:03.880]  Visit HarvestRight.com or 800-594-4635 today.
[03:27:03.900 --> 03:27:04.240]  800-594-4635.
[03:27:04.260 --> 03:27:04.600]  HarvestRight.com.
[03:27:04.620 --> 03:27:06.841]  And finally, we've got Revelations, the dawn of global government film.
[03:27:06.921 --> 03:27:07.221]  I meant it.
[03:27:19.394 --> 03:27:25.006]  Of course it's narrated and hosted by Charlie Daniels and General Boykin, former head of special forces and other patriots.
[03:27:26.127 --> 03:27:26.787]  And so many others.
[03:27:27.287 --> 03:27:28.268]  You need to get this film.
[03:27:28.328 --> 03:27:28.848]  Show it to people.
[03:27:29.128 --> 03:27:30.428]  It's a great tool to wake people up.
[03:27:30.909 --> 03:27:33.789]  And you can find it at RevelationTheMovie.info.
[03:27:33.890 --> 03:27:34.990]  Revelation, one word.
[03:27:35.370 --> 03:27:36.790]  RevelationTheMovie.info.
[03:27:37.151 --> 03:27:39.931]  To purchase the DVD, and they put everything they've got into it.
[03:27:39.971 --> 03:27:42.272]  A retired army colonel put everything he had into this.
[03:27:42.632 --> 03:27:43.233]  Everything, folks.
[03:27:43.953 --> 03:27:46.053]  Or you can host it in a local theater in your area.
[03:27:46.554 --> 03:27:49.114]  Again, RevelationTheMovie.info.
[03:27:49.154 --> 03:27:50.355]  RevelationTheMovie.info.
[03:27:50.795 --> 03:27:52.936]  Check it out or find out how to host it in a theater near you.
[03:27:52.976 --> 03:27:53.676]  And then in closing,
[03:27:55.421 --> 03:28:04.808]  We've extended it 42 hours because I twisted their arm, and that is on high-quality, storable foods made right here in America, fresh, last 25 years.
[03:28:05.408 --> 03:28:09.311]  We're extending that until Friday afternoon, and then it's gotta be over contractually.
[03:28:09.331 --> 03:28:10.232]  I've really twisted arms.
[03:28:10.912 --> 03:28:19.478]  And you can get super high-quality, full-spectrum, whether it's a month's supply, year's supply, two-year supply, special diets, hundreds of different options, InfoWarsStore.com.
[03:28:20.079 --> 03:28:21.240]  It's InfoWars Select.
[03:28:21.540 --> 03:28:22.461]  It's private-labeled.
[03:28:23.041 --> 03:28:24.962]  MyPatriotSupply, one of the best companies out there.
[03:28:24.982 --> 03:28:26.223]  Lowest price for the highest quality.
[03:28:26.703 --> 03:28:28.504]  Selling 42 hours, 34% off.
