[00:00:10.973 --> 00:00:11.673]  And they are panicking.
[02:56:14.117 --> 02:56:19.402]  So, we made excuses for not going, but he had that kind of access every week.
[02:56:19.482 --> 02:56:20.242]  We have proven it.
[02:56:20.583 --> 02:56:28.469]  He's the ringleader of the stock money cabal in the Democratic Party that was violating the campaign finance laws.
[02:56:29.910 --> 02:56:49.041]  Recent ones at the Citizens United where the Super PAC was coordinating with the campaign, and the original 1976 laws where this non-profit group, Americans United for Change, was taking money and spending it to promote Hillary's campaign in coordination with the campaign.
[02:56:49.521 --> 02:56:53.584]  And that's been illegal for corporations to do that for a time immemorial.
[02:56:54.885 --> 02:56:56.926]  There's plenty of evidence out there.
[02:56:56.946 --> 02:57:14.097]  We've got a few more that we'll be releasing over the next few weeks as we try to unwind all of the information that we have in hundreds of hours of video here and put together a coherent story in each of our videos for your listeners and the people around the country.
[02:57:14.177 --> 02:57:17.319]  Well, Russ Verney, you guys have ice water in your veins, I've known.
[02:57:18.140 --> 02:57:21.664]  You know, Project Veritas since it started, you know, right when Obama got in or even before.
[02:57:22.244 --> 02:57:25.208]  But I've never seen you guys have some of the security concerns and things.
[02:57:25.568 --> 02:57:27.790]  And I'm told behind the scenes it's gotten pretty hairy.
[02:57:27.850 --> 02:57:31.775]  So, they're definitely really worried about you with Trump bringing you up in the debate, you name it.
[02:57:32.495 --> 02:57:34.398]  Wow, I tell you, you are definitely in the gun sights.
[02:57:35.419 --> 02:57:40.922]  Well, it's the Pathfinders that take the arrows, and James O'Keefe is intrepid.
[02:57:41.242 --> 02:57:45.164]  He's going to keep right on going and exposing anything and everything he can.
[02:57:45.785 --> 02:58:04.495]  Yes, folks, he has an agenda, just as Michael Moore has his leaning agenda, but we're going to keep right on exposing the nefarious acts that are going on out there, and ultimately the voter fraud that's going on, because that diminishes our most precious right, our First Amendment right to choose our leaders.
[02:58:04.995 --> 02:58:06.476]  Well, I'm very proud of my agenda.
[02:58:06.516 --> 02:58:11.657]  Tell the truth, promote freedom, and never betray my family or betray fellow people.
[02:58:11.717 --> 02:58:13.038]  I mean, that's what you guys stand for.
[02:58:13.098 --> 02:58:16.239]  And Michael Moore has six bodyguards, doesn't want us to be able to defend ourselves.
[02:58:16.839 --> 02:58:19.760]  So, Russ Verney, thank you so much for sharing the exclusive with us.
[02:58:19.840 --> 02:58:22.741]  It's at ProjectVeritas.com and InfoWars.com.
[02:58:23.201 --> 02:58:24.861]  And we'll continue to fight together, sir.
[02:58:24.901 --> 02:58:25.381]  God bless you.
[02:58:26.042 --> 02:58:26.442]  Thank you.
[02:58:27.219 --> 02:58:29.882]  Alright, we're gonna come right back, and I'm gonna get into the other news.
[02:58:29.942 --> 02:58:31.183]  There's a bunch I haven't gotten to.
[02:58:31.203 --> 02:58:34.987]  I mean, it's just, how could anybody say life is boring right now?
[02:58:36.389 --> 02:58:38.331]  I mean, I jump out of bed at 6 a.m.
[02:58:39.031 --> 02:58:42.675]  I mean, I'm out of that shower, I'm in there cooking breakfast for my kids, and I'm off to work.
[02:58:42.735 --> 02:58:45.098]  I mean, wild horses couldn't drag me away.
[02:58:45.118 --> 02:58:46.539]  We'll be back, fourth hour.
[02:58:46.559 --> 02:58:49.883]  This is ACN, the Genesis Communications Radio Network.
[02:58:53.280 --> 02:58:54.640]  Clean, pure drinking water.
[02:58:54.921 --> 02:58:56.221]  You can't survive without it.
[02:58:56.421 --> 02:58:57.321]  But where do you get it?
[02:58:57.621 --> 02:59:03.383]  Alexa Pure Pro is a brand new, groundbreaking, gravity-fed water filtration system that is like no other.
[02:59:03.603 --> 02:59:09.325]  The Alexa Pure Pro transforms water from virtually any fresh source into clean, healthy drinking water.
[02:59:09.505 --> 02:59:26.373]  Pairing the unprecedented superfiltration power of an all-new Gravity Block Core with a hybrid chromatic shell, it removes up to 99.999% of impurities, including bacteria, viruses, fluoride, disinfectants, volatile organic contaminants, and hormones.
[02:59:26.753 --> 02:59:28.894]  Filter capacity up to 5,000 gallons.
[02:59:29.254 --> 02:59:30.454]  Stainless steel construction.
[02:59:30.734 --> 02:59:31.474]  Easy assembly.
[02:59:31.755 --> 02:59:32.395]  Low maintenance.
[02:59:32.675 --> 02:59:34.495]  Replacement filters are simple to install.
[02:59:34.775 --> 02:59:41.878]  And now, as part of an exclusive limited time introductory offer, you can save $20 off a retail price and get free shipping.
[02:59:42.038 --> 02:59:46.759]  This is a limited time offer, so order your unit today and receive free shipping and $20 off.
[02:59:46.779 --> 02:59:49.820]  Go to InfowarsStore.com or call 888-253-3139.
[02:59:55.629 --> 02:59:59.791]  You're listening to the Alex Jones Show.
[03:00:07.356 --> 03:00:17.542]  From the front lines of the information war... From the front lines of the information war, it's Alex Jones.
[03:00:17.702 --> 03:00:19.483]  We are 12 days out!
[03:00:20.993 --> 03:00:23.974]  If we don't turn things back now, the fight's gonna get even harder.
[03:00:24.674 --> 03:00:25.894]  But you won't have a choice.
[03:00:26.594 --> 03:00:32.296]  As it becomes obvious, this enemy is not of this world, and it's not gonna give us quarter!
[03:00:33.056 --> 03:00:35.777]  So all we can do is commit now!
[03:00:36.577 --> 03:00:38.577]  That's the only hope our families have!
[03:00:39.857 --> 03:00:47.519]  All the goodwill our ancestors built up, our Christian ancestors, has been lost into space like a bulkhead door blown on a space station.
[03:00:48.840 --> 03:00:50.060]  Evil is flooding in!
[03:00:51.195 --> 03:00:53.036]  Cancer rates are skyrocketing.
[03:00:53.797 --> 03:00:56.238]  Our health and infant mortality is imploding.
[03:00:56.939 --> 03:00:57.940]  We are cursed.
[03:00:58.820 --> 03:01:01.202]  And the plagues have just begun.
[03:01:04.364 --> 03:01:06.205]  The promises are unlimited.
[03:01:06.925 --> 03:01:08.326]  We have almost attained.
[03:01:09.907 --> 03:01:11.789]  But the eye has not seen or ear has not heard.
[03:01:12.549 --> 03:01:16.052]  But before we take that bridge,
[03:01:17.372 --> 03:01:26.039]  That jump, the enemy stands in the door to block the promise to keep us from crossing the river.
[03:01:27.600 --> 03:01:28.261]  It will fail.
[03:01:31.563 --> 03:01:34.906]  I've always known in my gut and also historically that we're dealing with evil people.
[03:01:34.966 --> 03:01:36.347]  That's why they do what they do.
[03:01:36.487 --> 03:01:41.551]  They'll go out of their way to do something bad instead of do something good.
[03:01:43.433 --> 03:01:44.754]  And they create artificiality
[03:01:46.806 --> 03:01:51.608]  And weak people because they need armies of dumbasses to carry out their program.
[03:01:52.888 --> 03:01:56.570]  The enemy's problem has always been good, strong men and women.
[03:01:56.590 --> 03:02:04.473]  I don't want to say are too arrogant, but they're not even too prideful.
[03:02:05.273 --> 03:02:07.774]  They just don't want to hurt other people.
[03:02:09.534 --> 03:02:12.195]  It's twisted bullies that do.
[03:02:15.037 --> 03:02:15.897]  And the problem is
[03:02:19.022 --> 03:02:22.584]  Those of us that are not totally given over to evil, we're all fallen.
[03:02:24.605 --> 03:02:31.708]  Think that it's arrogant to stand up and dominate the enemy, when in truth it is our duty to do so.
[03:02:35.430 --> 03:02:36.431]  Providence is real.
[03:02:37.672 --> 03:02:38.532]  Spirit is real.
[03:02:39.472 --> 03:02:40.373]  This world is real.
[03:02:40.893 --> 03:02:41.754]  Not a simulation.
[03:02:43.054 --> 03:02:46.196]  Notice the mainstream media now tells you there is a God and that God is evil.
[03:02:47.626 --> 03:02:58.242]  That God has created an artificial reality to imprison us, when in truth God has created a real dimension to give us free will to reach for the stars.
[03:02:59.827 --> 03:03:17.262]  And the enemy is openly creating false realities, false silicon systems, and trying to induct us into them while claiming their creation is the real world and that God is the devil!
[03:03:22.366 --> 03:03:27.891]  They wouldn't be pushing that in every major publication if they weren't scared.
[03:03:29.679 --> 03:03:42.906]  Because as this gets closer, and as decision time narrows, many people that have served the God of this world are going to figure out they bet on the wrong team.
[03:03:44.187 --> 03:03:46.609]  They bought a ticket on the wrong horse.
[03:03:50.791 --> 03:03:52.052]  And they did it out of cowardice.
[03:03:54.393 --> 03:03:57.775]  And now, as eternity grabs them by the shirt,
[03:03:59.332 --> 03:04:00.773]  As they try to run to the hills.
[03:04:01.974 --> 03:04:14.542]  And as the Grim Reaper begins to drag back, not their life, not their little earth suit, but their soul, they realize something's got a hold of them they wish never had a hold of them.
[03:04:16.164 --> 03:04:25.330]  And like Faust, who believed he couldn't get out of the bargain, he could have gotten out of it any time he wanted.
[03:04:26.851 --> 03:04:27.411]  Just like that.
[03:04:27.491 --> 03:04:28.432]  But here's the big secret.
[03:04:29.994 --> 03:04:42.484]  Many of these people, in an orgy of satanic spiritualism, have decided that they know they're always free to go with God, but that they love the devil.
[03:04:43.264 --> 03:04:49.930]  And they consciously know they have the choice, and choose evil not out of fear or circumstance, but out of conscious will.
[03:04:50.070 --> 03:04:53.152]  And that is the ultimate sin!
[03:04:56.274 --> 03:04:59.277]  A love affair with the unholy spirit.
[03:05:00.240 --> 03:05:00.826]  We'll be back!
[03:05:04.172 --> 03:05:05.873]  Electrify your day with Secret 12.
[03:05:06.473 --> 03:05:07.793]  It's like lightning in a bottle.
[03:05:08.033 --> 03:05:11.574]  We all have days in which we just can't seem to perform at the level we'd like to.
[03:05:11.935 --> 03:05:19.657]  InfoWars Live Secret 12 is designed to naturally energize your body and mind with two great tasting and super high quality forms of vitamin B12.
[03:05:19.857 --> 03:05:24.678]  Proper vitamin and nutrient intake is essential to keep your body functioning at optimum levels.
[03:05:24.838 --> 03:05:30.300]  The reality is it's hard to take in the proper amount of vitamins we need each day with our modern diets.
[03:05:30.640 --> 03:05:38.186]  Secret 12 by Infowars Life is an easy way to naturally upgrade your vitamin B12 intake and support your body's natural systems.
[03:05:38.426 --> 03:05:42.889]  It pairs two forms of vitamin B12 into one explosive formula.
[03:05:43.149 --> 03:05:51.956]  Vitamin B12 supports healthy energy levels through red blood cell formation and aiding in the body's natural processes, but it also assists with many other functions of the body.
[03:05:52.156 --> 03:05:55.477]  Electrify your mind and body and take your health to the next level.
[03:05:55.717 --> 03:05:59.438]  Experience the power of Secret 12 at Infowarslife.com.
[03:05:59.618 --> 03:06:01.699]  That's Infowarslife.com.
[03:06:03.520 --> 03:06:14.063]  If you ever wanted to live off the grid and produce your own clean energy in a silent, reliable way, this is a message you want to pay very close attention to.
[03:06:14.383 --> 03:06:20.645]  Thanks to a new development in solar generator technology, it's now possible for my listeners and viewers
[03:06:20.965 --> 03:06:25.008]  ...to produce their own source of emergency backup electricity.
[03:06:25.429 --> 03:06:28.411]  And even more importantly, it's now extremely affordable.
[03:06:28.811 --> 03:06:36.157]  Thanks to the guys at Solutions for Science, you can get one of these $6,000 solar generators for less than $1,500.
[03:06:37.198 --> 03:06:39.559]  We have these units at the office and at my home.
[03:06:39.900 --> 03:06:45.284]  I can run my sump pumps, my shortwave radios, all of my devices, and even keep our food from spoiling.
[03:06:45.684 --> 03:06:50.488]  Go to powergridchaos.com and get 70% off for a limited time.
[03:06:50.868 --> 03:06:54.590]  Folks, there has never been a better time to get off the grid.
[03:06:54.950 --> 03:06:59.252]  It's going to be crucial in 2017, maybe even life-saving.
[03:06:59.552 --> 03:07:02.914]  Powergridchaos.com for 70% off.
[03:07:03.534 --> 03:07:07.896]  Get Brain Force at 25% off for a limited time at Infowarslife.com.
[03:07:08.036 --> 03:07:10.218]  Ladies and gentlemen, I've been on this the last few months.
[03:07:10.318 --> 03:07:17.121]  You probably noticed I've been more crazed, more focused, less brain fog, more energy, more special reports, and it's because of Brain Force.
[03:07:17.341 --> 03:07:20.625]  One of the worst things with most energy products is it's not sustainable, right?
[03:07:20.645 --> 03:07:21.806]  You're going to crash afterwards.
[03:07:22.126 --> 03:07:28.533]  And the cool thing about this is it's not just a bunch of energy compounds that are going to fire your brain up to a higher RPM or whatever, which it does do.
[03:07:28.773 --> 03:07:29.594]  This is sustainable.
[03:07:29.694 --> 03:07:33.678]  This isn't going to spike and you're going to collapse and you're going to feel really bad afterwards.
[03:07:33.898 --> 03:07:37.082]  This has a bunch of different antioxidants and compounds and polyphenols.
[03:07:37.122 --> 03:07:40.145]  Everybody's on these drugs to knock their brain out because the brain's so fried.
[03:07:40.265 --> 03:07:41.666]  We're looking at the television screen.
[03:07:41.706 --> 03:07:47.410]  For research purposes, whatever we're even doing, trying to learn something, or staring at the computer all day, working, doing good, you're still damaging your brain.
[03:07:47.450 --> 03:07:52.594]  You will find BrainForce and other game-changing products at Infowarslife.com.
[03:07:52.814 --> 03:07:53.414]  Or call 888-253-3139.
[03:07:53.474 --> 03:07:56.176]  Get BrainForce at 25% off for a limited time at Infowarslife.com.
[03:07:56.196 --> 03:07:57.277]  And we thank you for your support.
[03:08:07.831 --> 03:08:11.333]  Resistance to tyrants is obedience to God.
[03:08:11.353 --> 03:08:14.155]  Resistance to tyrants is obedience to God.
[03:08:14.675 --> 03:08:16.456]  It's Alex Jones.
[03:08:17.276 --> 03:08:19.157]  Poets tell how poncho fell.
[03:08:20.778 --> 03:08:22.339]  Merle Haggard died in 2016.
[03:08:22.439 --> 03:08:23.119]  Desert's quiet.
[03:08:23.239 --> 03:08:24.260]  Cleveland's cold.
[03:08:33.100 --> 03:08:38.143]  Thank God we're not on the side of the globalists.
[03:08:38.183 --> 03:08:42.045]  Thank God we don't support keeping babies alive and splicing them with animals.
[03:08:43.125 --> 03:08:47.167]  Thank God we're repulsed by chimeras and GMO.
[03:08:48.048 --> 03:08:50.669]  Thank God we're not with the God of this world.
[03:08:52.070 --> 03:08:55.532]  David Knight's about to take over.
[03:08:56.052 --> 03:08:57.953]  I had a few other news articles I wanted to hit on.
[03:08:58.553 --> 03:09:00.054]  He'll have a ton to cover, obviously.
[03:09:00.774 --> 03:09:01.735]  I'm really sad.
[03:09:03.263 --> 03:09:05.724]  That we've seen a lot of indicators are planning to steal Texas.
[03:09:05.784 --> 03:09:09.705]  A lot of little tells, a lot of little activities, a lot of little statements.
[03:09:09.945 --> 03:09:12.406]  And now all over the state, they're flipping votes for Hillary.
[03:09:13.266 --> 03:09:19.288]  And even state, uh, counties are having to say, okay, we're suspending electronic machines, something's going on, which is the right move to make.
[03:09:20.896 --> 03:09:21.837]  And we've got other news here.
[03:09:22.037 --> 03:09:25.659]  Top spy, Friday internet outage, likely not caused by foreign power.
[03:09:26.040 --> 03:09:33.866]  What I was told over the weekend actually was that hackers were so pissed at the announcement to attack Russia that US hackers hit.
[03:09:34.566 --> 03:09:37.548]  And I've got sources that are so good, I just can't believe how good our sources are.
[03:09:37.568 --> 03:09:41.651]  I mean, I'll be honest, we've never been given bad info by the Feds.
[03:09:42.372 --> 03:09:45.314]  I'm not lionizing the Feds, the top of the Feds are run by horrible people.
[03:09:45.754 --> 03:09:48.937]  I'm just saying, I have sources that are impeccable that
[03:09:50.086 --> 03:09:57.749]  I've been getting some stuff from one particular Fed for 10 years, and everything they've told me is dead on.
[03:10:00.130 --> 03:10:08.754]  But to get around giving me specifics, it's always just a general piece of info like, this isn't the Russians, this is pissed off American hackers.
[03:10:12.215 --> 03:10:15.357]  Or similar things along those lines.
[03:10:17.150 --> 03:10:17.830]  And over again.
[03:10:17.890 --> 03:10:21.572]  I mean, you know, Roger Stone came on last hour and he goes, wasn't it incredible?
[03:10:21.652 --> 03:10:24.733]  I predicted that in Chicago and other cities, Hillary had funded it.
[03:10:24.833 --> 03:10:26.494]  He had it from the Chicago police.
[03:10:27.154 --> 03:10:28.255]  And I had it too.
[03:10:29.135 --> 03:10:35.297]  But the point is, is that no one listens to you until it's later proven right.
[03:10:35.438 --> 03:10:37.038]  I knew it was in WikiLeaks before it was released.
[03:10:37.979 --> 03:10:38.619]  And imagine
[03:10:40.236 --> 03:10:46.418]  What's happening to mid-level people at the NSA who believe they were doing this job to stop terrorists, they're ordered not to even investigate Islamic terror.
[03:10:46.838 --> 03:10:49.359]  They get in trouble if they flag stuff at a mosque calling for terror.
[03:10:49.620 --> 03:11:00.184]  They get told to stand down like San Bernardino, and then they're told to go in and watch patriots, watch members of Congress, and they're sitting there going, okay, let's go ahead and look at what they're doing.
[03:11:00.224 --> 03:11:02.384]  And it's like, they're looking at what Hillary's doing, they're like, my God.
[03:11:03.985 --> 03:11:06.126]  So the information gets released, and what did William Binning tell us?
[03:11:06.980 --> 03:11:08.060]  He said it five months ago.
[03:11:08.101 --> 03:11:09.321]  He said it on my show a few months ago.
[03:11:10.081 --> 03:11:12.362]  He went from, I believe, to yes, it's known.
[03:11:12.542 --> 03:11:21.566]  He doesn't want to start with SWAT teamed, but he has sources that it's the 15 intelligence agencies that are leaking the info.
[03:11:22.026 --> 03:11:24.548]  The Russians aren't getting into the NSA database.
[03:11:25.708 --> 03:11:30.230]  It's people in the NSA database that are using it against the globalists.
[03:11:30.290 --> 03:11:32.391]  And I'm not defending this NSA database.
[03:11:33.945 --> 03:11:37.969]  I just know for a fact they've crawled up my butt and found nothing there.
[03:11:38.009 --> 03:11:39.070]  Of course I'm an American.
[03:11:39.351 --> 03:11:40.752]  Of course I do what I say I'm doing.
[03:11:40.772 --> 03:11:41.673]  Of course we're for real.
[03:11:43.755 --> 03:11:46.157]  I know we've been penetrated by major famous hackers.
[03:11:46.991 --> 03:11:48.371]  They call up and say, here's problems you have.
[03:11:48.431 --> 03:11:49.732]  By the way, I saw what was in your bank account.
[03:11:49.752 --> 03:11:50.052]  Blah, blah, blah.
[03:11:50.072 --> 03:11:51.152]  I saw you give to charity.
[03:11:51.732 --> 03:11:52.833]  You're talking to a famous hacker.
[03:11:52.873 --> 03:11:54.673]  Okay, well, please put the holes up.
[03:11:55.153 --> 03:11:55.633]  You want money?
[03:11:55.693 --> 03:11:56.614]  No, I don't want money.
[03:11:56.654 --> 03:11:57.814]  I want to defend InfoWars now.
[03:11:57.854 --> 03:11:59.775]  And then they just have all these hackers around to protect us.
[03:12:00.335 --> 03:12:02.135]  So now we have all these big attacks and nothing stops us.
[03:12:02.695 --> 03:12:04.056]  I mean, it's really crazy.
[03:12:04.096 --> 03:12:05.176]  It's like Fight Club, folks.
[03:12:05.756 --> 03:12:06.516]  It's like Fight Club.
[03:12:07.337 --> 03:12:09.617]  And people just don't get it if they're not in it.
[03:12:11.438 --> 03:12:15.439]  There's stuff they got on Hillary, I've been told by high-level sources, that's so horrible.
[03:12:16.460 --> 03:12:18.542]  They don't want to bring it out because it'll bring down the whole government.
[03:12:18.782 --> 03:12:20.043]  They'll say, good, bring down the government.
[03:12:20.503 --> 03:12:22.064]  They want that chaos, folks.
[03:12:22.564 --> 03:12:23.905]  We want to reform the government.
[03:12:24.326 --> 03:12:24.766]  Shrink it.
[03:12:24.806 --> 03:12:26.567]  We don't want to have a damn civil war.
[03:12:27.688 --> 03:12:32.391]  And they're getting the communist gribs and the George Soros Black Lives Matter and the Ford Foundation gribs wound up.
[03:12:32.871 --> 03:12:40.177]  They got the poor illegals that have been filled with victim cosmology out there blocking bridges and attacking Trump hotels and all the rest of it.
[03:12:40.497 --> 03:12:41.918]  They got big stuff cooked up.
[03:12:43.115 --> 03:12:51.999]  And all I'm saying is we've got to have cooler minds prevail on all of this, but it's definitely an amazing time to be alive.
[03:12:52.019 --> 03:12:53.860]  You know, I'll tell you why I'm fighting so hard.
[03:12:55.461 --> 03:12:59.143]  Look at this story by Fiona Miller and Kit Daniels.
[03:12:59.383 --> 03:13:02.904]  Australian anti-vax nurses face severe consequences.
[03:13:02.984 --> 03:13:03.865]  Could Americans be next?
[03:13:04.325 --> 03:13:05.766]  Being fired, being fined.
[03:13:06.846 --> 03:13:08.687]  They make the medical workers take the vaccines.
[03:13:08.747 --> 03:13:09.828]  It's for all of us.
[03:13:09.888 --> 03:13:10.248]  And by the way,
[03:13:11.226 --> 03:13:17.389]  They claim if you take a vaccine you're protected, but then they claim I'm not taking it so I get your kids sick.
[03:13:17.749 --> 03:13:22.911]  If you and your kid have had this and it's a cure or a protection, how then if I don't take it am I bad?
[03:13:24.571 --> 03:13:27.053]  And again, I'm not against the science of inoculation.
[03:13:27.093 --> 03:13:29.375]  It's been around for 500 years with smallpox.
[03:13:29.895 --> 03:13:31.897]  If you want to argue about it, at least be informed.
[03:13:32.738 --> 03:13:34.759]  They're engaged in social engineering through it.
[03:13:34.819 --> 03:13:40.084]  They've been caught thousands of times adding sterilant compounds to the tetanus shots, you name it.
[03:13:40.764 --> 03:13:47.970]  Live cancer viruses that the CDC admits gave over 100 million Americans cancer.
[03:13:49.051 --> 03:13:51.073]  My grandmother at 91 is still alive.
[03:13:51.093 --> 03:13:52.234]  She's almost all there.
[03:13:53.939 --> 03:13:56.642]  She was given a polio vaccine, the first strain.
[03:13:57.503 --> 03:13:59.466]  Three months later, they said, you need to take a second strain.
[03:13:59.486 --> 03:14:00.147]  They gave it to her.
[03:14:00.187 --> 03:14:00.928]  She got polio.
[03:14:00.948 --> 03:14:05.273]  Two weeks later, the strain she was inoculated for, it ate the nerves and half her muscles.
[03:14:05.793 --> 03:14:08.256]  She's tougher than a box of nails.
[03:14:11.180 --> 03:14:13.403]  She's been on crutches since my mother was five years old.
[03:14:16.380 --> 03:14:18.740]  My dad's brother was in the hospital for a month.
[03:14:19.541 --> 03:14:26.222]  They had him in high school with already the National Scouts for him to be out of high school in the Major League Baseball, okay?
[03:14:27.422 --> 03:14:30.843]  He took a tetanus shot after he stepped on a nail and almost died.
[03:14:30.863 --> 03:14:35.283]  And had all sorts of neurological problems after that.
[03:14:35.623 --> 03:14:41.624]  And the reason I get to this is, my mother was a triathlete winning national level gold and silver medals.
[03:14:41.644 --> 03:14:42.825]  She didn't get into swimming until she was 30.
[03:14:43.305 --> 03:14:44.845]  She was beating former Olympic swimmers.
[03:14:46.141 --> 03:14:50.044]  The team told her at UT, take the flu shot.
[03:14:50.325 --> 03:14:55.149]  She was in bed for two months, 15 years ago, and almost died.
[03:14:56.250 --> 03:14:57.050]  Lost 30 pounds.
[03:14:58.332 --> 03:15:00.153]  Was never able to compete at that level again.
[03:15:00.453 --> 03:15:04.917]  She could do five mile open swims and beat Olympic swimmers, okay?
[03:15:05.578 --> 03:15:06.018]  No more!
[03:15:06.639 --> 03:15:07.740]  After she took that damn shot.
[03:15:08.559 --> 03:15:12.844]  I'm not a rocket scientist, but I can tell you this stuff is dangerous.
[03:15:13.264 --> 03:15:20.512]  And a corrupt government involved in all this secret testing and all this crap, you're going to trust them to put this in you?
[03:15:21.053 --> 03:15:22.835]  What planet are you living on?
[03:15:24.496 --> 03:15:25.437]  That's what I'm getting at here.
[03:15:26.218 --> 03:15:27.860]  We're going to David Knight here in just a moment.
[03:15:28.661 --> 03:15:30.223]  I want to thank the listeners for all their support.
[03:15:31.670 --> 03:15:33.431]  One of our great sponsors is based right here in Texas.
[03:15:33.492 --> 03:15:35.653]  They have a lot of different specials, a lot of different products.
[03:15:35.974 --> 03:15:39.176]  Be sure and check it out when you call them.
[03:15:39.196 --> 03:15:39.957]  844-321-ALEX is the number.
[03:15:40.017 --> 03:15:41.078]  It's United States Gold Vault.
[03:15:41.518 --> 03:15:45.041]  You and your family will be protected when you have another economic meltdown.
[03:15:45.381 --> 03:15:48.244]  I believe an economic crash is coming and you should protect yourself and your money.
[03:15:48.684 --> 03:15:50.445]  Do you want to be a victim or do you want to be prepared?
[03:15:50.505 --> 03:15:53.307]  Take action with the company I trust, United States Gold Vault.
[03:15:53.367 --> 03:15:55.409]  Call today 844-321-ALEX.
[03:15:55.869 --> 03:16:05.015]  They've been creating game-changing gold and silver survival packs filled with physical gold and silver coins that could help safeguard you when you need most in financial crisis.
[03:16:05.055 --> 03:16:05.896]  Real money, not paper.
[03:16:06.356 --> 03:16:08.537]  I've secured my retirement with gold and silver personally.
[03:16:08.818 --> 03:16:09.818]  Don't wait till it's too late.
[03:16:09.898 --> 03:16:16.262]  Call United States Gold Vault now at 844-321-ALEX and you'll get a rugged double locking bank bag securely.
[03:16:16.323 --> 03:16:17.944]  Store your gold and silver absolutely free.
[03:16:18.764 --> 03:16:20.385]  That is 844-321-ALEX.
[03:16:21.066 --> 03:16:31.033]  And then just finally, we've got 30 to 40% off on super high-quality, swearable foods, privately labeled from MyPatriotSupplies, so I can discount it, below what their contracts even allow, at infowarestore.com.
[03:16:31.473 --> 03:16:35.136]  We have 25% off the nootropic brain force, and a lot more.
[03:16:36.127 --> 03:16:37.488]  Uh, so please take advantage of that.
[03:16:37.549 --> 03:16:39.530]  And no, I mean, look, I can just say give us donations.
[03:16:39.911 --> 03:16:44.415]  I like to sell stuff that's high quality so that people get something back in return.
[03:16:44.455 --> 03:16:49.640]  But I mean, look, who can argue InfoWars is like the war hammer against the New World Order?
[03:16:51.882 --> 03:16:54.905]  I mean, you can say like, Drudge's Thor, InfoWars is the hammer.
[03:16:56.337 --> 03:16:56.937]  And the Spear.
[03:16:57.698 --> 03:17:02.041]  And I just want to now go to, we have this clip, maybe you can play it later, we're almost out of time.
[03:17:02.081 --> 03:17:02.741]  We have the clip, right?
[03:17:03.121 --> 03:17:05.002]  Gruber on, we're going to skip this break so we have more time.
[03:17:05.303 --> 03:17:08.985]  Gruber on rising premiums, Obamacare working as designed.
[03:17:09.045 --> 03:17:10.626]  I have the WikiLeaks and Hillary saying it.
[03:17:11.026 --> 03:17:14.688]  I have Ezekiel Emanuel saying it's meant to bankrupt it.
[03:17:14.748 --> 03:17:23.334]  I mean, we always knew it was to get rid of the doctors, bankrupt it, and then bring in some horrible government run system with three big insurance companies, Goldman Sachs, J.P.
[03:17:23.354 --> 03:17:24.454]  Morgan owned, running it.
[03:17:24.654 --> 03:17:25.355]  Do we have that clip?
[03:17:27.048 --> 03:17:27.208]  Good.
[03:17:27.228 --> 03:17:27.528]  Well, we do.
[03:17:27.548 --> 03:17:27.728]  Thank you.
[03:17:27.748 --> 03:17:28.349]  I didn't hear it earlier.
[03:17:28.629 --> 03:17:29.609]  Let's play that clip.
[03:17:30.070 --> 03:17:32.191]  Gruber, the guy that says, thank God you're so stupid.
[03:17:32.431 --> 03:17:33.472]  Thank God you're so dumb.
[03:17:33.692 --> 03:17:35.193]  He was hired to double and triple prices.
[03:17:35.453 --> 03:17:35.853]  Here he is.
[03:17:36.253 --> 03:17:39.695]  I just need you to be specific because I think people really want answers.
[03:17:39.775 --> 03:17:42.477]  So Hillary Clinton says she can fix Obamacare.
[03:17:42.517 --> 03:17:47.800]  So what would be one fix that would drive premiums down?
[03:17:49.580 --> 03:17:52.283]  Look, once again, there's no sense in which this has to be fixed.
[03:17:52.323 --> 03:17:54.225]  The law's working as designed.
[03:17:54.585 --> 03:17:56.046]  However, it could work better.
[03:17:56.427 --> 03:18:01.532]  And I think probably the most important thing experts would agree on is that we need a larger mandate penalty.
[03:18:01.572 --> 03:18:04.214]  We have individuals who are essentially free-riding on the system.
[03:18:04.595 --> 03:18:07.177]  They're essentially waiting until they get sick and they're getting health insurance.
[03:18:07.718 --> 03:18:10.721]  The whole idea of this plan, which was pioneered in Massachusetts,
[03:18:11.241 --> 03:18:15.282]  Was it the individual mandate penalty to bring those people into the system and have them participate?
[03:18:15.702 --> 03:18:19.783]  The penalty right now is probably too low and that's something I think ideally we would fix.
[03:18:21.504 --> 03:18:24.545]  So there were no penalties, he told you and Obama told you.
[03:18:24.565 --> 03:18:26.225]  And everything was going to be free.
[03:18:26.445 --> 03:18:27.726]  Now you're a freeloader.
[03:18:28.246 --> 03:18:30.226]  You've got to buy something from foreign corporations.
[03:18:30.907 --> 03:18:32.787]  When you have to buy it, the price only goes up.
[03:18:32.827 --> 03:18:35.288]  That's why healthcare prices in the last three years
[03:18:36.820 --> 03:18:39.162]  Since this began to be implemented, we're up over 45%.
[03:18:39.662 --> 03:18:40.803]  And the sky's the limit!
[03:18:41.663 --> 03:18:44.105]  But see, now it's the liberals about freeloaders.
[03:18:44.765 --> 03:18:49.448]  See, freeloaders could always go, because a third of a doctor's work was supposed to be for the poor.
[03:18:50.969 --> 03:18:51.390]  Charity care.
