[00:00:12.389 --> 00:00:14.530]  He said in October I'd be dead in six months.
[01:28:39.614 --> 01:28:43.416]  And I was trying to get there because I wanted to know if that went towards her intent.
[01:28:43.476 --> 01:28:47.498]  However, these are the kind of pressures Hillary Clinton can endure.
[01:28:47.738 --> 01:28:52.460]  Because after decades of lying to Congress, it all begins to run together.
[01:28:52.640 --> 01:29:00.924]  In the very near future, once the smoke clears, Hillary Clinton's race to the halls of the hijacked, corpocratic throne of the United States
[01:29:01.164 --> 01:29:06.025]  ...will go down in history as the most bizarre political act of the 21st century.
[01:29:06.105 --> 01:29:11.286]  Who else will ever be able to match the amount of minor corruption that was used as cover?
[01:29:12.046 --> 01:29:17.607]  This is the answer for your children to totally absorb the multivitamins, the minerals, the amino acids, everything at once.
[01:29:18.027 --> 01:29:18.547]  Unveiled!
[01:29:18.947 --> 01:29:22.008]  Vitamin Mineral Fusion Advanced Multi-Vitamin Formula.
[01:29:22.688 --> 01:29:25.949]  30 servings, fruit, punch, flavor, dietary supplement.
[01:29:26.249 --> 01:29:27.309]  It is simply amazing.
[01:29:27.369 --> 01:29:28.309]  Infowarslife.com.
[01:29:28.709 --> 01:29:33.130]  There's a million different products like this out there, but they're, you know, they're good in different ways.
[01:29:33.650 --> 01:29:46.753]  But this takes all of the vitamins, all the essential amino acids, all the essential compounds and minerals that you need, puts it into something that's great tasting as opposed to like clumpy, gross stuff.
[01:29:47.133 --> 01:29:48.334]  And you can put it in your drink every morning.
[01:29:48.374 --> 01:29:49.554]  I put it in my protein shake.
[01:29:50.174 --> 01:29:55.678]  It is the platinum standard, in my view, of multivitamins in terms of an advanced multidrink vitamin.
[01:29:55.698 --> 01:29:58.720]  The cleanest, the purest, new stuff had to be invented.
[01:29:58.740 --> 01:30:00.981]  That's why it took this long to even bring us something that's good.
[01:30:01.582 --> 01:30:07.746]  Some companies are gonna take a small amount of vitamins and make it, you know, so there's so much filler, it looks like there's a lot.
[01:30:07.946 --> 01:30:10.308]  This is ultra-concentrated, we're not playing games here.
[01:30:10.668 --> 01:30:12.549]  Okay, this- Well, that's my philosophy, that's your philosophy.
[01:30:12.569 --> 01:30:14.871]  Yeah, this- I wanna- but again, there's some great stuff out there.
[01:30:15.091 --> 01:30:15.271]  Yeah.
[01:30:15.471 --> 01:30:16.992]  And there's other, you know- No, of course.
[01:30:17.252 --> 01:30:19.874]  There's other powders I promote at infomercials.com that are excellent.
[01:30:20.214 --> 01:30:21.454]  I mean, there's some good stuff out there.
[01:30:21.595 --> 01:30:24.275]  This is just the very best we can bring you.
[01:30:24.295 --> 01:30:28.677]  And when you buy it, you support Infowars, you support the reporters, you support yourself.
[01:30:29.877 --> 01:30:37.980]  Tell folks about some of these other things that are in this, and why this is just this total, complete package for your body.
[01:30:38.020 --> 01:30:49.444]  Because, again, we didn't put the synthetic amino acids, we didn't put the synthetic vitamins, we put the plant-based, high-quality, clean, natural ingredients into this.
[01:30:49.984 --> 01:30:50.565]  Yeah, exactly.
[01:30:50.605 --> 01:30:53.767]  So you've got your standard vitamins, vitamin C, vitamin E, the list goes on.
[01:30:53.847 --> 01:30:55.108]  A huge amount of vitamin C, by the way.
[01:30:55.128 --> 01:30:55.948]  Tell folks about that.
[01:30:55.968 --> 01:30:58.610]  Yeah, a thousand plus percent of your daily value, which is what you need.
[01:30:59.351 --> 01:31:02.113]  Because the, you know, FDA guidelines, we all know about those.
[01:31:02.693 --> 01:31:09.038]  Zinc, magnesium, selenium, L-glutamine, each one of these you could go on for about ten minutes about the benefits of these things.
[01:31:09.478 --> 01:31:12.680]  Alpha lipoic acid, folic acid, calcium, and the list goes on.
[01:31:12.940 --> 01:31:14.220]  34 other ones you can check out.
[01:31:14.421 --> 01:31:16.261]  Go to InfoWarsLife.com, the label's up there.
[01:31:16.762 --> 01:31:21.404]  You've got the entire ingredients list that you can neurotically examine for yourself.
[01:31:22.445 --> 01:31:26.907]  By the way, look on the other side, too, because we're showing people the minerals and things.
[01:31:26.927 --> 01:31:28.788]  Let's look at the vitamins right there, all it's got in there.
[01:31:28.808 --> 01:31:29.688]  I mean, it's amazing.
[01:31:29.848 --> 01:31:33.390]  Again, if you're radio listeners, InfoWars.com forward slash show.
[01:31:33.770 --> 01:31:34.511]  Vitamin A has 4,333%.
[01:31:37.613 --> 01:31:40.182]  From Beta Carotene and what's that other source?
[01:31:40.202 --> 01:31:41.266]  I just know that's all the best sources.
[01:31:41.949 --> 01:31:42.369]  Retinol.
[01:31:42.389 --> 01:31:46.850]  So you've also got your vitamin D at a thousand IU, which is a large dose, actually.
[01:31:47.191 --> 01:31:47.571]  And you know what?
[01:31:47.671 --> 01:31:49.831]  Some people could say, well, isn't this competing with the other products?
[01:31:50.051 --> 01:31:50.652]  Well, yeah, you know what?
[01:31:50.672 --> 01:31:57.694]  We could be like some people and just take all the stuff that we sell also at Infowarslife.com and not put any of it, but then it wouldn't be a balanced formula and we're not going to do that.
[01:31:58.014 --> 01:32:03.575]  And it might actually hurt us in the long run to put all the best stuff in here, but that's just the way we got to do it, because we can't start thinking like that.
[01:32:04.055 --> 01:32:04.896]  So get them today.
[01:32:04.996 --> 01:32:07.036]  Infowarslife.com or call toll free 888-253-3139.
[01:32:11.587 --> 01:32:15.952]  We have the new product at Infowarsandlife.com, BioTrue Selenium.
[01:32:16.072 --> 01:32:27.005]  We've had so many requests over the years for selenium, and just recently, we were able to source a certified organic, bioavailable selenium from mustard seed extract.
[01:32:27.165 --> 01:32:32.087]  When you take selenium in the body, it actually benefits the detoxification systems in your body.
[01:32:32.207 --> 01:32:34.728]  It helps balance the thyroid gland.
[01:32:34.788 --> 01:32:36.289]  It helps detoxify.
[01:32:36.489 --> 01:32:39.330]  Selenium is another one of those absolute must-haves.
[01:32:39.390 --> 01:32:44.132]  The highest concentration of selenium is in the thyroid gland, but it's actually used all over the body.
[01:32:44.152 --> 01:32:50.374]  As a matter of fact, there's 25 genes in the body that are directly dependent upon selenium.
[01:32:50.394 --> 01:32:55.737]  So it really is an all-around nutrient that everybody really needs.
[01:32:55.757 --> 01:32:56.537]  I'm taking it now.
[01:32:56.997 --> 01:32:58.977]  You're listening to the Alex Jones Show!
[01:33:29.508 --> 01:33:30.829]  The answer to 1984 is 1776.
[01:33:31.149 --> 01:33:46.755]  You're listening to the Alex Jones Show.
[01:33:49.276 --> 01:33:51.497]  It's called augmented reality.
[01:33:52.850 --> 01:34:02.538]  I thought humans interfacing with this incredible third dimension, having sight, having smell, having taste, having touch, having emotions and feelings inside our hearts.
[01:34:03.039 --> 01:34:05.140]  I thought that was augmented reality.
[01:34:05.181 --> 01:34:07.122]  I thought that was consciousness.
[01:34:07.923 --> 01:34:10.305]  But now we're told it's the number one search.
[01:34:10.705 --> 01:34:11.826]  Five, six days running.
[01:34:12.267 --> 01:34:13.287]  Hockey mon go.
[01:34:13.888 --> 01:34:17.131]  In fact, some of the amazing crew members and our own officer playing it.
[01:34:18.109 --> 01:34:21.112]  And I'm not judging them for checking out something new and interesting.
[01:34:21.513 --> 01:34:24.596]  My kids have played Pokemon, you know, the card game, years ago.
[01:34:24.836 --> 01:34:27.138]  You have these little monsters that you play against each other.
[01:34:27.158 --> 01:34:31.082]  You've got to go find the monsters, capture them, train them, all the rest of it.
[01:34:31.183 --> 01:34:31.503]  Whatever.
[01:34:31.543 --> 01:34:32.824]  Board games have been around.
[01:34:33.305 --> 01:34:35.167]  Chess games have been around 3-4 thousand years.
[01:34:35.207 --> 01:34:35.607]  That's great.
[01:34:36.808 --> 01:34:42.252]  The problem is, is that we see more and more people living in second life.
[01:34:42.452 --> 01:34:45.655]  Buying Ferraris with real money that don't really exist.
[01:34:46.315 --> 01:34:52.480]  Forming fake relationships in cyberspace and becoming very unsuccessful in the real world.
[01:34:53.280 --> 01:34:55.202]  And we see the social engineers pushing
[01:34:55.962 --> 01:35:08.230]  As hard as they can to get people to tune out of the real world, this incredible planet hurtling through space, and our amazing moon, and all the other things that are happening on our planet.
[01:35:09.875 --> 01:35:19.398]  And dial into artificial systems created by Nintendo, or by Microsoft, or by Google, or by Apple.
[01:35:20.178 --> 01:35:32.963]  They are creating the universes in which we interface, instead of humans living in the real universe and being creative, sentient beings yourself.
[01:35:34.003 --> 01:35:41.189]  They are building false realities into which they want to induct you so they can play God.
[01:35:42.030 --> 01:35:50.457]  So I'm not saying anybody's bad who wants to play video games or who wants to be involved in World of Warcraft or any of that.
[01:35:51.017 --> 01:35:53.339]  All I'm saying is the metrics are there.
[01:35:53.359 --> 01:35:55.160]  Our IQs are dropping.
[01:35:56.121 --> 01:35:58.325]  The screen time is lowering our IQs.
[01:35:58.946 --> 01:36:01.130]  Our synapses are collapsing.
[01:36:01.891 --> 01:36:03.795]  Humanity is in crisis.
[01:36:04.296 --> 01:36:06.780]  And Pokemon Go is illustrating my own fact.
[01:36:07.893 --> 01:36:28.400]  Ambulance drivers, EMTs, across not just the U.S., but the world, are saying that suddenly, because there's augmented reality, kids that have never been outside their house, that spend less time on average than prisoners do outside, are suddenly out in the real world looking for these mythical monsters so they can show off for their friends and collect more.
[01:36:29.040 --> 01:36:34.622]  So in a way, the Matrix is actually backfiring on itself as it attempts to go out and take over reality.
[01:36:35.759 --> 01:36:44.862]  That's what Microsoft and others have said they want for decades is to have every real area of the world with this whole data list, this whole information cube around it to track what you do.
[01:36:45.823 --> 01:36:52.865]  But in a way it's actually backfiring as people go out into the real world themselves looking for the false reality.
[01:36:53.746 --> 01:37:02.089]  But I can't get over the image of brain-dead zombies that we see on TV walking, looking at their phones, going into traffic.
[01:37:03.357 --> 01:37:18.094]  I can't help but think about the images of people that walk into fountains at malls or that drive off cliffs while they're watching their GPFs or drive into raging rivers because they're making this their entire consciousness.
[01:37:19.076 --> 01:37:20.758]  I mean, I'm out here supposedly
[01:37:21.824 --> 01:37:25.406]  At a nearby golf course, looking for one of these Pokemons.
[01:37:25.446 --> 01:37:29.629]  And I'm told that it's magically laid some eggs about a hundred yards over there.
[01:37:30.089 --> 01:37:33.652]  And that I can go over there and watch it hatch and capture it for myself.
[01:37:34.152 --> 01:37:35.593]  But in truth, it's not really there.
[01:37:35.953 --> 01:37:37.314]  It's being geo-located.
[01:37:38.034 --> 01:37:40.196]  I'm being tracked, everything I'm doing, by the way, by this app.
[01:37:40.216 --> 01:37:42.797]  It admits it's been hacking millions of people's phones.
[01:37:43.498 --> 01:37:49.882]  And I'm now feeding this data to the matrix of where I am and what I'm doing to find some mythical projection
[01:37:50.422 --> 01:37:51.963]  That it's shooting onto my phone.
[01:37:53.064 --> 01:38:02.930]  Again, this is giving all of my personal privacy, all of my personal power over to Nintendo to sell my habits, to sell my behaviors, to sell my data to whoever they want.
[01:38:04.131 --> 01:38:05.512]  The studies don't lie.
[01:38:06.132 --> 01:38:07.433]  This dehumanizes you.
[01:38:08.053 --> 01:38:11.635]  This ends up destroying your humanity in the final equation.
[01:38:12.616 --> 01:38:14.057]  If you use it in limited amounts,
[01:38:15.643 --> 01:38:16.523]  Sure, it's interesting.
[01:38:16.583 --> 01:38:18.264]  You can meet like-minded people that are into it.
[01:38:18.624 --> 01:38:19.744]  I'm not judging anybody.
[01:38:19.804 --> 01:38:20.404]  Lord knows.
[01:38:20.965 --> 01:38:29.567]  I'm just simply pointing out we should ask ourselves why Pokémon has been more popular the last five, six days than porn.
[01:38:30.567 --> 01:38:38.070]  When I heard that the British exit from the Euro was more popular than porn, the only thing in years to beat that, I was proud of the people.
[01:38:38.450 --> 01:38:39.910]  Anti-globalism is number one.
[01:38:40.350 --> 01:38:43.031]  Even above simulated procreation.
[01:38:44.226 --> 01:38:46.708]  But the truth is, porn is just like this.
[01:38:47.529 --> 01:38:48.629]  It's simulated.
[01:38:49.170 --> 01:38:49.970]  It isn't real.
[01:38:50.271 --> 01:39:02.680]  You're living through somebody else's template, somebody else's intercourse, somebody else's activities that are then edited and presented and sold to you so while they live, you sleep.
[01:39:03.621 --> 01:39:04.742]  And that's all I'm saying.
[01:39:05.758 --> 01:39:22.349]  Every study, every piece of research shows that forest bathing and getting outdoors and being in the open air and looking up at the sky raises your awareness, raises your IQ, getting in the wind, feeling the reality, seeing the birds fly around in the air.
[01:39:23.209 --> 01:39:32.694]  But I tell you, it gives sacrilege to the gamers and sacrilege to the TV heads who you get around and they don't talk about what's happening in the world.
[01:39:32.954 --> 01:39:34.815]  They don't talk about what they're doing with men or women.
[01:39:35.135 --> 01:39:36.656]  They don't talk about what they're doing with art.
[01:39:36.956 --> 01:39:39.637]  They don't talk about hiking or camping trips they're going on.
[01:39:39.977 --> 01:39:41.278]  They don't care about their work.
[01:39:41.798 --> 01:39:43.399]  They don't care about the world.
[01:39:43.719 --> 01:39:46.761]  They're cynical and don't care about the New World Order on average.
[01:39:47.721 --> 01:40:03.637]  All they want to do is live in their fantasy land, and I for one am sick and tired of that, and I'm reaching into those people that are living in false worlds built by other people, built by these gaming companies that make billions of dollars off of you, that this is the ultimate form of slavery.
[01:40:03.837 --> 01:40:04.438]  And let me be clear,
[01:40:05.546 --> 01:40:07.627]  A lot of the big game companies are patriots.
[01:40:07.767 --> 01:40:09.927]  A lot of the big game companies are listeners of mine.
[01:40:10.288 --> 01:40:13.789]  My God, I've been like eight or nine big video games over the years.
[01:40:13.849 --> 01:40:16.289]  I've signed contracts and let them use my voice or image.
[01:40:16.309 --> 01:40:18.470]  And there's a lot of good messages in video games.
[01:40:18.750 --> 01:40:20.351]  Just like movies, just like TV.
[01:40:20.711 --> 01:40:22.011]  But there's some bad messages.
[01:40:22.311 --> 01:40:29.213]  And the globalists are basically pushing this because they don't want you to be involved in the real world.
[01:40:30.574 --> 01:40:32.354]  Look, it is kind of fun.
[01:40:33.155 --> 01:40:33.915]  I'm gonna admit it.
[01:40:35.319 --> 01:40:42.304]  To just not look at the sunset over there and not look at the sky or the moon and just start looking at this.
[01:40:42.324 --> 01:40:43.885]  It's so much fun.
[01:40:43.925 --> 01:40:44.465]  It's so neat.
[01:40:44.485 --> 01:40:45.506]  Wait a minute, there's eggs over there.
[01:40:46.206 --> 01:40:47.067]  There's something.
[01:40:47.527 --> 01:40:48.047]  There's something.
[01:40:49.148 --> 01:40:49.948]  There's something hatching.
[01:40:50.028 --> 01:40:51.349]  Actually, this is pretty cool, guys.
[01:40:51.569 --> 01:40:52.070]  I'm into this.
[01:40:53.191 --> 01:40:54.651]  Over there, it's... Oh, my God.
[01:40:55.292 --> 01:40:55.712]  Oh, my God.
[01:40:55.772 --> 01:40:58.974]  I just found a new... Can't you see it over there?
[01:40:58.994 --> 01:41:00.775]  It's right there and now I can see it for myself.
[01:41:01.356 --> 01:41:02.957]  Ladies and gentlemen, right there.
[01:41:04.082 --> 01:41:07.145]  Trigglypuff is the newest Pokemon, it's given birth!
[01:41:08.026 --> 01:41:09.247]  Trigglypuff is giving birth!
[01:41:10.489 --> 01:41:12.431]  Trigglypuff is giving birth to a baby!
[01:41:12.451 --> 01:41:15.033]  To a baby Darth Vader!
[01:41:16.134 --> 01:41:19.097]  It's my own fantasy land, I don't have to actually affect change in the real world!
[01:41:19.758 --> 01:41:21.760]  I can just believe whatever I want and be a star!
[01:41:22.121 --> 01:41:22.421]  Here!
[01:41:23.162 --> 01:41:23.982]  Oh my god, oh!
[01:41:24.022 --> 01:41:25.604]  Bieber Hastings off as Death Star!
[01:41:25.644 --> 01:41:27.186]  Bieber Hastings off as Death Star!
[01:41:28.854 --> 01:41:32.417]  I've actually changed my mind now that I'm in the Matrix.
[01:41:33.297 --> 01:41:37.540]  Don't look outside the television or the internet or the computer.
[01:41:38.661 --> 01:41:40.542]  Only look into this world that's real.
[01:41:41.323 --> 01:41:41.823]  This world.
[01:41:42.864 --> 01:41:46.767]  This world where you could actually create something isn't real.
[01:41:48.928 --> 01:41:56.494]  The only world that's real is the world where Hillary Clinton and Barack Obama and your trusted local professors
[01:41:57.682 --> 01:41:59.843]  Tell you what words you're allowed to use.
[01:42:00.963 --> 01:42:04.365]  So go back to your dorms and play Pokemon Go.
[01:42:05.746 --> 01:42:09.867]  And whatever you do, don't hack into Pokemon and actually create your own characters.
[01:42:10.608 --> 01:42:15.830]  Whatever you do, don't use their own memes and their own systems to wait people up.
[01:42:17.191 --> 01:42:18.011]  Just conform.
[01:42:19.085 --> 01:42:23.028]  And pretend you were never conscious and you were never alive.
[01:42:23.449 --> 01:42:25.691]  And whatever you do, never visit.
[01:42:26.391 --> 01:42:27.992]  While the internet is still somewhat free.
[01:42:29.213 --> 01:42:30.254]  InfoWars.com
[01:42:59.921 --> 01:43:11.283]  You're listening to the Alex Jones Show!
[01:43:11.303 --> 01:43:13.604]  More than two- Clean, pure drinking water.
[01:43:13.864 --> 01:43:15.164]  You can't survive without it.
[01:43:15.364 --> 01:43:16.284]  But where do you get it?
[01:43:16.565 --> 01:43:22.346]  Alexa Pure Pro is a brand new groundbreaking gravity-fed water filtration system that is like no other.
[01:43:22.566 --> 01:43:28.287]  The Alexa Pure Pro transforms water from virtually any fresh source into clean, healthy drinking water.
[01:43:28.467 --> 01:43:45.315]  Pairing the unprecedented superfiltration power of an all-new Gravity Block Core with a hybrid chromatic shell, it removes up to 99.999% of impurities, including bacteria, viruses, fluoride, disinfectants, volatile organic contaminants, and hormones.
[01:43:45.735 --> 01:43:47.856]  Filter capacity up to 5,000 gallons.
[01:43:48.216 --> 01:43:49.396]  Stainless steel construction.
[01:43:49.676 --> 01:43:50.457]  Easy assembly.
[01:43:50.717 --> 01:43:51.337]  Low maintenance.
[01:43:51.637 --> 01:43:53.458]  Replacement filters are simple to install.
[01:43:53.718 --> 01:44:00.840]  And now, as part of an exclusive limited-time introductory offer, you can save $20 off the retail price and get free shipping.
[01:44:01.000 --> 01:44:05.322]  This is a limited-time offer, so order your unit today and receive free shipping and $20 off.
[01:44:05.342 --> 01:44:06.502]  Go to infowarsstore.com or call 888-253-3139.
[01:44:06.562 --> 01:44:08.503]  I'm gonna lay it out short and sweet.
[01:44:15.775 --> 01:44:21.423]  I got so dedicated to fighting the globalists and their program for world government that I stopped working out.
[01:44:22.144 --> 01:44:26.029]  I was a total fitness nut 20 years ago.
[01:44:27.006 --> 01:44:30.468]  About 15 years ago, I just stopped working out and I gained close to 100 pounds.
[01:44:31.229 --> 01:44:34.091]  And diet and exercise only helped me lose 20 or so.
[01:44:34.651 --> 01:44:52.802]  But when I started using the natural products that God gave us through Mother Nature, and when we developed super metal vitality and the good halogen X2 and things like Secret 12 that is true, organic, absorbable, bioavailable B12, it changed my life.
[01:44:53.963 --> 01:44:56.544]  I have lost 50, 60 pounds of fat.
[01:44:57.504 --> 01:44:57.844]  Or more.
[01:44:57.944 --> 01:44:59.865]  I've gained 20 pounds of muscle.
[01:45:00.345 --> 01:45:01.826]  I'm stronger than I was when I was 22.
[01:45:01.946 --> 01:45:05.307]  When I could bench press close to 400 pounds and squat 600.
[01:45:05.387 --> 01:45:07.207]  It's actually scary.
[01:45:08.048 --> 01:45:18.071]  And it's because I take products that are researchers developed that block the estrogen mimickers that basically feminize men.
[01:45:19.111 --> 01:45:32.981]  We've produced these products with top scientists and researchers like Dr. Group to help you counteract the globalist onslaught and at the same time support InfoWars and our fight to promote human liberty and freedom worldwide.
[01:45:33.041 --> 01:45:37.044]  Start your journey towards normal human metabolic activity today.
[01:45:37.644 --> 01:45:39.085]  Counteract the globalist onslaught.
[01:45:39.546 --> 01:45:41.407]  It starts at InfoWarsLife.com
[01:45:42.575 --> 01:45:45.897]  Special Forces selection, it's not like you could ever take the easy road.
[01:45:45.957 --> 01:45:49.719]  You can't take steroids to make, you know, being a Special Forces operator easy.
[01:45:49.779 --> 01:45:56.083]  I'm always looking for the best and natural way to get myself to the limit.
[01:45:56.103 --> 01:45:57.744]  I have to have the edge over my opponents.
[01:45:57.844 --> 01:46:01.606]  I believe that in Super Male Vitality, that gives you the edge.
[01:46:01.646 --> 01:46:05.869]  I've been taking it, and I'm still getting faster and stronger every day.
[01:46:06.489 --> 01:46:10.971]  Start your journey to Super Male Vitality today at InfoWarsLife.com
[01:46:12.012 --> 01:46:17.916]  Nonononononononononononononononononononononononononononononononononononononononononononononononononononononononono
[01:46:32.765 --> 01:46:35.627]  And 2016 will likely be warmer still.
[01:46:35.827 --> 01:46:40.770]  This is leading to ever more severe droughts, floods, fires, and extreme weather events.
[01:46:41.090 --> 01:46:51.816]  Climate change is also contributing to the heart-rendering refugee crisis, and the reason the radical Islamists run around beheading gays, and cutting women's heads off, and mutilating their genitalia.
[01:46:52.136 --> 01:46:52.857]  Damn that heat.
[01:46:52.977 --> 01:46:54.178]  That's so bad.
[01:46:54.418 --> 01:47:01.804]  The world's poor, though least responsible for climate change, are most vulnerable and already suffering its impact, he wrote today.
[01:47:02.005 --> 01:47:06.148]  Thank God that na-na-na-na-na-na-na crazy Pope is there to save the day.
[01:47:06.448 --> 01:47:09.071]  You can find more reports like this at InfoWars.com.
[01:47:15.876 --> 01:47:18.519]  You're listening to The Alex Jones Show.
[01:47:33.336 --> 01:47:34.838]  This is our land.
[01:47:34.938 --> 01:47:41.245]  These are our people.
[01:47:41.285 --> 01:47:42.026]  The workers.
[01:47:43.188 --> 01:47:48.210]  The answer to 1984 is 1776.
[01:48:13.075 --> 01:48:15.756]  You're listening to the Alex Jones Show.
[01:48:17.637 --> 01:48:26.060]  I really just want everybody to take a deep breath and relax and just, you know, sit back because here they come again.
[01:48:26.080 --> 01:48:40.145]  Live from the InfoWars.com studios, it's Alex Jones.
[01:48:45.772 --> 01:48:46.813]  I'm running for president.
[01:48:47.133 --> 01:48:50.295]  Everyday Americans need a champion, and I want to be that champion.
[01:48:50.355 --> 01:48:52.776]  I don't feel no ways tired.
[01:48:52.796 --> 01:48:54.838]  I've come too far!
[01:48:54.858 --> 01:48:57.900]  I ain't no ways tired!
[01:48:58.100 --> 01:48:58.840]  Meow!
[01:48:58.860 --> 01:49:00.161]  What was that?
[01:49:00.321 --> 01:49:01.302]  Is that a dog?
[01:49:01.682 --> 01:49:01.822]  Uh-uh.
[01:49:07.068 --> 01:49:10.590]  It has been reported you've made five million making speeches.
[01:49:10.650 --> 01:49:13.791]  The president made more than a hundred million dollars.
[01:49:13.911 --> 01:49:16.353]  What difference at this point does it make?
[01:49:16.373 --> 01:49:18.754]  What does that make Hillary Clinton to the Bush family?
[01:49:19.374 --> 01:49:20.094]  My sister-in-law.
[01:49:27.279 --> 01:49:28.660]  You are a liar!
[01:49:29.000 --> 01:49:30.501]  Another conspiracy theory.
[01:49:30.701 --> 01:49:32.743]  Have you always told the truth?
[01:49:33.043 --> 01:49:33.863]  I've always tried to.
[01:49:34.564 --> 01:49:34.784]  Always.
[01:49:35.445 --> 01:49:35.685]  Always.
[01:49:36.225 --> 01:49:38.747]  I will fight to reign in Wall Street, and you know what?
[01:49:39.487 --> 01:49:41.368]  I know how to do it!
[01:49:42.089 --> 01:49:45.071]  We came out of the White House not only dead broke, but in debt.
[01:49:45.251 --> 01:49:47.212]  I remember landing under sniper fire.
[01:49:47.753 --> 01:49:54.277]  There was supposed to be some kind of a greeting ceremony at the airport, but instead we just ran with our heads down to get into the vehicles.
[01:49:59.805 --> 01:50:00.248]  A little sick.
[01:50:00.853 --> 01:50:01.196]  Open up.
[01:50:01.478 --> 01:50:02.325]  Come on, take it.
[01:50:17.675 --> 01:50:28.798]  It's also what happens when you listen to the radio host Alex Jones, who claims that 9-11 and the Oklahoma City bombings were inside jobs.
[01:50:28.878 --> 01:50:33.539]  He even said the victims of the Sandy Hook massacre were child actors.
[01:50:36.920 --> 01:50:42.722]  Live from Austin, Texas, broadcasting worldwide, it's Alex Jones.
[01:50:51.477 --> 01:50:54.402]  This really just is so disgusting.
[01:50:56.104 --> 01:50:57.566]  They've created ISIS.
[01:50:57.887 --> 01:51:00.450]  Hillary Clinton created ISIS with Obama.
[01:51:01.892 --> 01:51:04.894]  He is becoming ISIS's best recruiter.
[01:51:05.334 --> 01:51:14.740]  They are going to people showing videos of Donald Trump insulting Islam and Muslims in order to recruit more radical jihadists.
[01:51:14.920 --> 01:51:29.909]  Hillary Clinton would have us all forget about the failed regime changes she oversaw in Egypt and Libya that led up to the staged rollout of Benghazi, as an actual Marine sergeant pointed out to Bill Clinton on the campaign trail back in February.
[01:51:30.209 --> 01:51:32.790]  Eight years active duty service, two tours direct.
[01:51:33.350 --> 01:51:37.192]  Between the 31, I had seven that were killed, six wouldn't be on return.
[01:51:37.852 --> 01:51:41.054]  And I have met with many of these Gold Star parents and families, so I've seen them.
[01:51:41.074 --> 01:51:43.655]  What do you think you've done with them?
[01:51:43.955 --> 01:51:44.836]  I've seen them mourn.
[01:51:44.956 --> 01:51:49.958]  And the thing is that we had four lives in Benghazi that were killed, and your wife tried to cover it up.
[01:51:51.420 --> 01:52:02.028]  Benghazi, now commonly known as a bungled covert operation, nothing less than a CIA arms transfer of Qaddafi's pilfered arsenal to ISIS.
[01:52:02.208 --> 01:52:09.193]  Hillary's accusations of Trump now being somehow responsible for ISIS are on their face laughable.
[01:52:09.754 --> 01:52:18.981]  The way Donald Trump talks about terrorism and his, you know, very insulting language toward Muslims is making him the recruiting sergeant.
[01:52:20.102 --> 01:52:25.907]  In January of this year Soros dropped $8 million to boost Hillary's sluggish campaign.
[01:52:26.147 --> 01:52:35.596]  While we are all overwhelmed and diverted by the ISIS chaos, the New World Order bankers extend their tentacles into their customers' bank accounts worldwide.
[01:52:35.896 --> 01:52:51.104]  As Zero Hedge reports, Wikileaks has now verified what former head of the Bank of England, Mervyn King, admitted one month ago when he said that Europe's economic depression is the result of deliberate policy choices made by EU elites.
[01:52:51.424 --> 01:52:58.788]  It is also what AIG bank strategist Bernard Connolly said back in 2008 when laying out what Europe wants.
[01:52:59.008 --> 01:53:19.964]  The evidence is staggering, as WikiLeaks published the transcript of a teleconference that took place on March 19, 2016, between the top two IMF officials in charge of managing the Greek debt crisis, Paul Thompson, the head of IMF's European Department, and Delia Velkulescu, the IMF mission chief for Greece.
[01:53:20.524 --> 01:53:42.256]  The IMF officials say that a threat of an imminent financial catastrophe, as the Guardian puts it, is needed to force other players into accepting its measures, such as cutting Greek pensions and working conditions, or as Bloomberg puts it, considering a plan to cause a credit event in Greece and destabilize Europe.
[01:53:42.536 --> 01:53:44.697]  Under the banner of the globalist soft war,
[01:53:44.997 --> 01:53:55.326]  Through the terror of ISIS, Europe is gradually being forced into total submission, while many Americans bitterly cling to their blind ignorance in the face of an upcoming storm.
[01:53:55.346 --> 01:53:57.408]  Oh, I see nothing!
[01:53:57.548 --> 01:53:58.709]  I was not here!
[01:53:58.929 --> 01:54:01.471]  I did not even get up this morning!
[01:54:03.490 --> 01:54:07.034]  With all due respect, the fact is we had four dead Americans.
[01:54:07.074 --> 01:54:12.300]  Was it because of a protest or was it because of guys out for a walk one night who decided they'd go kill some Americans?
[01:54:12.881 --> 01:54:15.404]  What difference at this point does it make?
[01:54:15.764 --> 01:54:22.152]  It is our job to figure out what happened and do everything we can to prevent it from ever happening again, Senator.
[01:54:22.372 --> 01:54:32.015]  As ISIS Brigadier General Hillary Clinton lectures the home of the brave and the land of the free, the average American citizen is genuinely insulted.
[01:54:32.335 --> 01:54:34.395]  John Bowne for Infowars.com.
[01:54:44.418 --> 01:54:46.859]  They said in October I'd be dead in six months.
[01:54:48.797 --> 01:54:53.159]  It's also what happens when you listen to the radio host Alex Jones.
[01:54:53.879 --> 01:55:03.243]  I don't know what happens in somebody's mind or how dark their heart must be to say things like that.
[01:55:03.383 --> 01:55:05.985]  We came, we saw, he died.
[01:55:07.725 --> 01:55:12.567]  The intervention led by NATO to topple Gaddafi has led to a failed state.
[01:55:17.330 --> 01:55:22.834]  Maybe Libya was not perfect under Gaddafi, but it had, even if to some extent, a functioning government.
[01:55:23.314 --> 01:55:24.355]  One unified country.
