[00:00:12.901 --> 00:00:14.126]  Ladies and gentlemen, we're live.
[03:18:42.645 --> 03:18:52.007]  Virtually blaming the women for what happened to them and ludicrously suggesting that that could be a solution to the problem, which is sweeping Europe.
[03:18:52.547 --> 03:18:56.468]  Which the primary victims of this are children,
[03:18:57.458 --> 03:19:00.159]  Muslim migrant children in migrant camps.
[03:19:01.199 --> 03:19:02.239]  Do we care about them?
[03:19:02.299 --> 03:19:05.720]  We obviously don't care about the German people, the Swedish women.
[03:19:06.220 --> 03:19:16.383]  They had a report out of Norway last week which blamed the large-scale spike in sexual assaults on Nordic drinking culture.
[03:19:17.383 --> 03:19:20.684]  Because Nordic drinking culture is a completely new phenomenon.
[03:19:21.204 --> 03:19:22.885]  We've never had that before, have we?
[03:19:22.945 --> 03:19:23.165]  No.
[03:19:24.065 --> 03:19:26.066]  They refuse to even identify the fact that
[03:19:27.529 --> 03:19:39.403]  Most of the problem is arising out of bringing in people who treat women as second-class citizens, who think that they're liable to be groped, to be sexually assaulted, because they're not wearing a frigging hijab.
[03:19:40.104 --> 03:19:41.646]  Because they're not covered up.
[03:19:43.843 --> 03:19:47.846]  So now again, another case of this in Germany.
[03:19:48.206 --> 03:20:01.316]  How many more cases of this before feminists and so-called women's rights activists actually stand up and identify the real aggressive patriarchal culture that is causing this?
[03:20:02.597 --> 03:20:06.600]  We'll be back with more news on the fourth hour overdrive of the Alex Jones Show.
[03:20:06.920 --> 03:20:07.561]  Don't go away.
[03:20:09.414 --> 03:20:22.101]  This message is not just addressed to my fellow Americans, but addressed to people across the world of every race, color, and creed who believe in free speech, enshrined here in our republic as the First Amendment.
[03:20:22.801 --> 03:20:26.203]  It's the First Amendment to the Bill of Rights because it is the most important.
[03:20:26.223 --> 03:20:31.626]  The right to speak, the right to publish, the right to assemble, the right to petition, the right to practice
[03:20:31.986 --> 03:20:32.846]  We're good to go.
[03:20:56.952 --> 03:20:58.332]  Facebook's over a third of the internet.
[03:20:58.352 --> 03:20:59.133]  Did you think about that?
[03:20:59.633 --> 03:21:01.093]  Of the traffic and people visiting things.
[03:21:01.493 --> 03:21:02.113]  And then it's over.
[03:21:02.413 --> 03:21:06.714]  You think it's bad that communist China with a billion, 300 million people is censoring?
[03:21:07.535 --> 03:21:14.796]  Zuckerberg, who calls his users dumb effers, has been meeting with the Chinese censorship leadership, openly trying to tweak it.
[03:21:14.916 --> 03:21:17.337]  He met with Merkel, and openly in a hot mic.
[03:21:17.717 --> 03:21:19.779]  Don't worry, I'm going to start suppressing and censoring people.
[03:21:33.029 --> 03:21:34.230]  Well, that's your free speech.
[03:21:34.530 --> 03:21:36.972]  It's not hate propaganda, as they call it.
[03:21:37.292 --> 03:21:43.877]  If they set the precedent on these issues, they will basically ban any other type of speech that the globalists don't want.
[03:21:43.958 --> 03:21:46.079]  This is the ultimate threat to humanity.
[03:21:46.499 --> 03:21:48.641]  This is worse than what we saw in the Soviet Union.
[03:21:49.081 --> 03:21:52.864]  This is right out of Nazi Germany or right out of Maoist China.
[03:21:53.265 --> 03:21:54.586]  So we're fighting for free speech.
[03:21:54.946 --> 03:21:58.289]  When you spread the word about InfoWars.com, our videos, our stories, our reports,
[03:21:58.769 --> 03:22:04.995]  And when you post it on different platforms, that circumvents their AI systems that are trying to restrict the flow of information.
[03:22:05.135 --> 03:22:07.077]  We stand together or we hang separate.
[03:22:07.278 --> 03:22:12.142]  Another thing we're doing is not just battling to stop the censorship, we're also building other platforms.
[03:22:12.563 --> 03:22:20.311]  Getting on as many third party systems as there are out there and spreading the word of basic free market liberty and human empowerment and the new renaissance.
[03:22:20.871 --> 03:22:24.132]  But also the experts I've talked to said, Alex, you missed the boat.
[03:22:24.152 --> 03:22:27.634]  You've been a pioneer in many ways, but you haven't promoted email.
[03:22:27.774 --> 03:22:29.814]  And I said, yeah, I don't ever really market on email.
[03:22:29.934 --> 03:22:31.755]  I just, I just, it's low tech.
[03:22:31.915 --> 03:22:32.716]  And they're like, no, no, no.
[03:22:32.776 --> 03:22:34.236]  That's what's going to be hard to censor.
[03:22:34.296 --> 03:22:47.441]  Even if the internet kill switch comes into place, there are systems and there are developments that make it very hard still to stop email and to stop that information being sent over networks, you name it.
[03:22:47.501 --> 03:22:48.922]  So it's essential.
[03:22:49.882 --> 03:23:01.137]  That everybody go to InfoWars.com forward slash newsletter to get exclusive articles, videos, promo codes, sometimes the shopping cart like we had a few weeks ago with Hillary for prison, 50% off.
[03:23:01.437 --> 03:23:06.284]  I mean there are some big discounts we send to incentivize people and plus you're some of the most hardcore patriots.
[03:23:06.564 --> 03:23:10.908]  You can send the email and the newsletter on with exclusive videos and articles many days.
[03:23:11.568 --> 03:23:12.509]  So that's another great reason.
[03:23:12.549 --> 03:23:18.855]  But overall, it's so that we have direct contact with fellow patriots out there around the world.
[03:23:19.375 --> 03:23:28.083]  And if they try to start shutting our websites down and other things, which they've tried to do, and kick us off Facebook, Twitter, YouTube, you name it, we'll be able to send you direct videos
[03:23:28.763 --> 03:23:30.664]  That you can then send on to others.
[03:23:30.684 --> 03:23:50.610]  We've all got to start thinking about censorship and actively fighting it, getting more active and not taking independent liberty-based media for granted, which I know you don't do, but really having a sense of urgency and getting the info out more while building new avenues on cutting-edge tech and cutting-edge platforms, but also old tech like email.
[03:23:50.870 --> 03:23:51.931]  So please join
[03:23:52.811 --> 03:23:58.255]  Hundreds of thousands of others that have been signing up every few months at InfoWars.com forward slash newsletter.
[03:23:58.595 --> 03:24:07.721]  And you can also spread the word about our free feeds and more podcasts, Android apps, iPhone apps, it's all free at InfoWars.com forward slash show.
[03:24:31.878 --> 03:24:39.843]  We are live, this is the fourth hour overdrive of the Alex Jones Show with me, your host Paul Joseph Watson.
[03:24:40.503 --> 03:24:50.369]  Now, the narrative which we saw back a couple of months ago put out by the mainstream media and never retracted even in the face of overwhelming evidence of the contrary...
[03:24:51.328 --> 03:25:13.439]  That Donald Trump was to blame for the violence being staged at his rallies, almost exclusively being staged by Bernie Sanders supporters, that narrative is now finally being overturned in light of these videos which we put out almost every single day, multiple times, over and over again.
[03:25:14.219 --> 03:25:28.651]  Irate, unhinged, crazy, demented leftists spitting at people, punching people, punching police horses, harassing anyone who dares disagree with their views.
[03:25:29.392 --> 03:25:40.919]  And of course those videos were made possible by being able to fund and send our reporters out to those locations and catch that social justice warrior meltdown on tape.
[03:25:41.380 --> 03:25:47.984]  And of course that is all funded by your support by getting the products at infowarsstore.com
[03:25:49.110 --> 03:25:51.991]  We've extended the Memorial Day Special another day.
[03:25:53.152 --> 03:25:57.134]  Again, outstanding discounts at InfoWarsStore.com.
[03:25:57.174 --> 03:26:10.180]  You can get 30% off Super Male Vitality, 30% off Liver Shield, 30% off Mineral Fusion, 20% off Survival Shield X2, and 20% off all InfoWars apparel.
[03:26:10.360 --> 03:26:13.561]  So, Hillary for prison t-shirts, everything 20% off.
[03:26:15.447 --> 03:26:25.640]  Again, that special has been extended, and not only do you get great products, you can go and read the independent reviews, very highly rated indeed.
[03:26:26.241 --> 03:26:32.409]  We don't make those reviews ourselves, they're from people who have actually got the products, have gone on the website and taken the trouble.
[03:26:33.490 --> 03:26:35.891]  To say how well they're working for them, how great they are.
[03:26:36.571 --> 03:26:48.296]  And of course it helps support our broadcast, it helps support our expansion and our ability to actually act like a news organisation which takes a hell of a lot of money.
[03:26:48.656 --> 03:26:53.778]  And it takes a constant overturn, a constant supply of money to be able to do that.
[03:26:54.318 --> 03:27:06.688]  We've been able to send our reporters out to these locations again over the last few months to document the violent leftists and their war on free speech which, as I will talk about in the next segment,
[03:27:07.819 --> 03:27:09.139]  Really means that we're now winning.
[03:27:09.900 --> 03:27:15.741]  We've actually turned the corner in terms of beating the social justice warriors.
[03:27:16.321 --> 03:27:25.564]  We're winning the war for free speech, which is why Twitter, Facebook and now the unelected dictatorial EU is coming down hard once again with the censorship.
[03:27:25.584 --> 03:27:33.926]  We'll get back into that in the next segment, but again, go to infowarsstore.com to take advantage of those great specials.
[03:27:34.066 --> 03:27:34.386]  Again, 30% off.
[03:27:37.302 --> 03:27:42.529]  Some of the nutritional products and 20% off all InfoWars clothing.
[03:27:42.969 --> 03:27:46.373]  The Hillary for Prison t-shirt, all at InfoWarsStore.com.
[03:27:47.334 --> 03:27:54.803]  Now the College Fix reports, despite drop in donations and enrolment, Mizzou finds over $1 million for diversity audit.
[03:27:55.484 --> 03:28:03.689]  Despite plunging donations and enrollment figures, the University of Missouri has begun an independent audit of its diversity and inclusion policies.
[03:28:04.309 --> 03:28:05.230]  The cost?
[03:28:06.150 --> 03:28:07.391]  1.1 million dollars.
[03:28:08.372 --> 03:28:13.895]  And again, this gets to the point which I'm going to make, and I'm going to get more into depth after the break, which is this.
[03:28:15.336 --> 03:28:15.957]  We're winning.
[03:28:16.678 --> 03:28:26.528]  Okay, we had this huge social justice warrior tantrum last year, the freaking out over the Halloween costumes, the cultural appropriation.
[03:28:27.449 --> 03:28:31.834]  Again, the University of Missouri, all these ridiculous lists of demands.
[03:28:33.015 --> 03:28:47.386]  From permanently triggered safe spaces who are basically trying to completely overturn every existing system, every social moray, every political construct, whether it's good or bad, because they're flagrant communists.
[03:28:48.106 --> 03:29:01.956]  You can read the Communist Manifesto, in fact Kurt Nimmo quoted from it in an article today, one of the very final passages where it says, that's their plan, is to overturn absolutely everything and remould society in their own image.
[03:29:02.867 --> 03:29:15.676]  And given that their image is punching and spitting people, spitting at people in the face who disagree with them because they have no argument, that's probably not an image which we want society to reflect.
[03:29:16.977 --> 03:29:21.980]  So you saw at the University of Missouri the consequences of that tantrum.
[03:29:22.641 --> 03:29:26.964]  Their new freshman class is down 1,400 students smaller than last year.
[03:29:27.324 --> 03:29:28.284]  They've got a 24% drop in donations
[03:29:31.212 --> 03:29:33.112]  To the football team that went on strike.
[03:29:33.152 --> 03:29:37.053]  They've got a six million dollar decline in donations for the month of December.
[03:29:37.653 --> 03:29:38.314]  They're losing.
[03:29:39.334 --> 03:29:47.656]  No one wants to go there because smart, successful people don't want to be educated at an insane asylum.
[03:29:48.156 --> 03:29:53.157]  Which is what a lot of these universities are now being turned into, with the inmates running the asylum.
[03:29:53.557 --> 03:29:55.497]  We'll be back with this and more news after the break.
[03:29:55.537 --> 03:29:57.418]  This is the Alex Jones Show Live.
[03:29:58.055 --> 03:29:58.937]  We're on the march.
[03:29:59.438 --> 03:30:01.022]  The Empire's on the run.
[03:30:01.042 --> 03:30:04.650]  Alex Jones and the GCN Radio Network.
[03:30:10.447 --> 03:30:16.790]  I got so busy fighting the Globals for 15 years, I turned into a giant fat slob when I was an exercise fanatic before.
[03:30:17.170 --> 03:30:20.252]  Now in the last five years, I set out to try to get back in shape.
[03:30:20.692 --> 03:30:32.538]  And to help turbocharge that, I talked to top scientists and nutraceutical developers and said, I want something that blocks these estrogen mimickers, something that helps me get back to what a real male was like instead of this Globals bombardment.
[03:30:33.118 --> 03:30:35.899]  We developed Super Male and Super Female Vitality.
[03:30:36.079 --> 03:30:36.939]  They're best sellers.
[03:30:37.139 --> 03:30:38.480]  They're loved across the industry.
[03:30:38.640 --> 03:30:39.260]  They're amazing.
[03:30:39.520 --> 03:30:43.902]  You owe it to yourself to get a bottle of Super Male Vitality today at InfoWareStore.com.
[03:30:44.282 --> 03:30:47.343]  Folks, it's so amazing what Mother Nature gave us.
[03:30:47.623 --> 03:30:50.844]  You're crazy if you don't at least try a bottle of this, because you can't lose.
[03:30:51.084 --> 03:30:59.547]  You're fighting the InfoWare and the fight for freedom worldwide, while at the same time getting a game-changing supplement at InfoWareStore.com.
[03:30:59.707 --> 03:31:01.908]  Super Metal Vitality is now back in stock.
[03:31:02.148 --> 03:31:03.668]  It's been sold out for several months.
[03:31:03.948 --> 03:31:08.870]  It's available at m4warsstore.com or by calling toll-free, 888-253-3139.
[03:31:09.370 --> 03:31:10.390]  Brain Force is here.
[03:31:10.911 --> 03:31:13.191]  Ladies and gentlemen, I've been on this the last few months.
[03:31:13.451 --> 03:31:21.274]  You probably noticed I've been more crazed, more focused, less brain fog, more energy, more special reports, and it's because of Brain Force.
[03:31:22.068 --> 03:31:25.631]  One of the worst things with most energy products is it's not sustainable, right?
[03:31:25.651 --> 03:31:27.992]  You're gonna crash and gonna feel really bad afterwards.
[03:31:28.352 --> 03:31:31.875]  This has a bunch of different antioxidants and compounds and polyphenols.
[03:31:31.915 --> 03:31:35.057]  Everybody's on these drugs to knock their brain out because the brain's so fried.
[03:31:35.558 --> 03:31:40.361]  We kept changing this formula over and over and over again until it became sort of a grand puzzle.
[03:31:40.901 --> 03:31:42.723]  For example, the L-theanine inside of it.
[03:31:43.083 --> 03:31:47.526]  That is activated by the different compounds in the Yerba Mate that we put inside of it as well.
[03:31:47.666 --> 03:31:49.667]  This just increases the compounds you already have.
[03:31:50.308 --> 03:31:51.769]  This is what you're actually designed to run on.
[03:31:51.909 --> 03:31:52.049]  Exactly.
[03:31:52.069 --> 03:31:55.953]  It's kind of like a car will run on one form of junky gas, but it runs really good on what it's designed for.
[03:31:56.473 --> 03:32:04.461]  You will find Brain Force, Survival Shield X2, and other game-changing products at InfoWarsLife.com or call 888-253-3139.
[03:32:09.199 --> 03:32:18.208]  Alex Jones here to tell you about how you can help spread liberty worldwide while also enjoying what I have found to be the best tasting 100% organic coffee on the planet.
[03:32:18.288 --> 03:32:26.376]  For more than a decade, my favorite coffee has come from the high mountains of southern Mexico, where the Chiapas farmers grow their unique shade-grown Arabica beans.
[03:32:26.676 --> 03:32:31.377]  We have now managed to secure the sought-after beans in a highly customized blend.
[03:32:31.557 --> 03:32:38.279]  Discover and try a bag of the Patriot Blend 100% Organic Coffee at Infowarslife.com.
[03:32:38.339 --> 03:32:45.421]  This coffee gives you a long, smooth pick-me-up for hours without the headaches and heartburn that so many other coffees give me personally.
[03:32:45.521 --> 03:32:52.383]  Hands down, this is my favorite coffee, and it's taken us years to secure connections directly to the Chiapas Mexican farmers.
[03:32:52.543 --> 03:32:56.906]  Drop by the site today, order a bag or two, and I don't think you're going to be disappointed.
[03:32:57.026 --> 03:33:00.289]  Available in original or with our immune support infusion blend.
[03:33:00.429 --> 03:33:06.553]  You will be supporting a free press, all the while enjoying a truly great tasting cup of my favorite coffee.
[03:33:06.733 --> 03:33:08.394]  Available at Infowarslife.com
[03:33:20.402 --> 03:33:22.564]  Waging war on corruption.
[03:33:23.024 --> 03:33:28.289]  It's Alex Jones, coming to you live from the front lines of the InfoWar.
[03:33:28.709 --> 03:33:36.536]  We are back in the fourth hour overdrive of the Alex Jones Show with me, your host, Paul Joseph Watson.
[03:33:37.987 --> 03:33:57.457]  So the University of Missouri's response to the fact that it's been hemorrhaging money from every orifice since last year's social justice warrior meltdown tantrum is to waste another 1 million dollars on a diversity audit.
[03:33:58.277 --> 03:34:03.520]  Again, completely pointless exercise simply to satiate triggered
[03:34:05.202 --> 03:34:07.864]  Demented left-wing idiots.
[03:34:08.844 --> 03:34:09.805]  Look at these numbers.
[03:34:09.905 --> 03:34:15.929]  Their new freshman class is 1,470 students smaller than last year.
[03:34:17.070 --> 03:34:24.875]  They've experienced a 24% drop in donations in the three months that followed the football player strike.
[03:34:25.676 --> 03:34:31.240]  They experienced a $6 million decline in donations for the month of December.
[03:34:32.369 --> 03:34:33.550]  So how have they responded?
[03:34:33.590 --> 03:34:35.831]  Well, they've doubled down on their idiocy.
[03:34:37.691 --> 03:34:41.013]  I mean, look, compare the reactions of these universities.
[03:34:41.933 --> 03:34:44.194]  I talked about the inmates running the asylum.
[03:34:44.875 --> 03:34:46.395]  DePaul University.
[03:34:47.016 --> 03:34:48.716]  We saw the footage last week.
[03:34:49.217 --> 03:34:52.298]  Again, Milo Yiannopoulos tries to give a speech at an event.
[03:34:52.918 --> 03:34:58.281]  It's crashed by unhinged Black Lives Matter demonstrators.
[03:34:59.298 --> 03:35:05.561]  who almost provoke violence, the university demanded that Breitbart pay the security cost.
[03:35:05.901 --> 03:35:10.443]  They paid the bill, and the security did absolutely nothing.
[03:35:11.443 --> 03:35:14.184]  Because they were ordered to do nothing by the university.
[03:35:14.704 --> 03:35:27.310]  The police were told by the university not to get involved, even though if it was the other way around, if so-called evil right-wingers had crashed the safe space of these whiny crybabies,
[03:35:28.624 --> 03:35:30.345]  It would have been complete bedlam.
[03:35:31.206 --> 03:35:32.767]  There would have been arrests.
[03:35:33.648 --> 03:35:36.710]  There would have been horrified newspaper headlines the next day.
[03:35:37.311 --> 03:35:39.753]  But DePaul University did nothing.
[03:35:40.453 --> 03:35:45.217]  Their president offered a mealy-mouthed apology which meant absolutely nothing.
[03:35:45.537 --> 03:35:46.458]  And what's the result?
[03:35:47.859 --> 03:35:52.663]  Well, a 1.1 rating out of 5 on their official Facebook page.
[03:35:53.823 --> 03:36:00.469]  Again, the marketplace of free ideas has completely trashed their reputation, and rightly so.
[03:36:01.369 --> 03:36:03.832]  Who would want to go to an institution?
[03:36:04.932 --> 03:36:05.893]  A university!
[03:36:05.953 --> 03:36:12.839]  The whole frigging point of a university is to share ideas, is to have your own beliefs challenged.
[03:36:13.280 --> 03:36:17.803]  They stand diametrically opposed to that, and now they're going to suffer
[03:36:18.686 --> 03:36:21.488]  In the free marketplace of ideas, and rightly so.
[03:36:22.229 --> 03:36:25.992]  The University of Missouri is suffering in terms of funding.
[03:36:26.032 --> 03:36:28.815]  They're hemorrhaging money from left, right and centre.
[03:36:30.396 --> 03:36:33.279]  Because again, they've allowed the inmates to run the asylum.
[03:36:33.799 --> 03:36:39.404]  And smart, successful people don't want to be educated at an insane asylum.
[03:36:40.385 --> 03:36:43.668]  But then you can look at other examples, better examples.
[03:36:44.744 --> 03:36:45.984]  Rutgers University.
[03:36:46.084 --> 03:36:50.126]  Again, you had a Milo event which was crashed by social justice worries.
[03:36:50.166 --> 03:36:58.149]  The president came out afterwards, defended, quote, controversial ideas as fundamental to the intellectual life of the university.
[03:36:59.129 --> 03:37:00.589]  Basically stated the fact.
[03:37:01.790 --> 03:37:13.554]  Oberlin College rejected the egregious, absurd list of demands from their triggered safe space students, calling it deeply troubling.
[03:37:14.912 --> 03:37:24.390]  You saw Melissa Click, again, back during that Missouri Mass Tantrum last year, calling for muscle to silence the First Amendment.
[03:37:26.095 --> 03:37:28.697]  She was fired by the university, and rightly so.
[03:37:29.538 --> 03:37:34.281]  And again, I'm getting messages every single day from college students who are on our side.
[03:37:35.142 --> 03:37:46.551]  So when we lambast these triggered safe spaces at these universities across America and the United Kingdom, let's just realize that a lot of those students are no longer going along with it.
[03:37:47.892 --> 03:37:48.612]  So we're winning.
[03:37:49.553 --> 03:37:54.017]  We're really starting to convince some of these universities to actually stand up
[03:37:55.063 --> 03:38:00.406]  For the very foundation, the very purpose of what a university is supposed to be.
[03:38:02.087 --> 03:38:04.909]  But over in the UK we have this headline out of the Daily Mail.
[03:38:05.989 --> 03:38:08.290]  Students call for prisons to be banned.
[03:38:09.271 --> 03:38:15.174]  NUS group headed by Union's anti-Semitic new president says all criminals should be freed.
[03:38:15.915 --> 03:38:21.058]  This is the new social justice warrior cause, freeing all violent criminals.
[03:38:21.880 --> 03:38:35.006]  This is no surprise given that the head of the NUS, a woman called Malia Bouatta, came out recently and basically said that she refused to denounce ISIS.
[03:38:35.326 --> 03:38:41.628]  She refused to condemn ISIS, saying that doing so would be an act of Islamophobia.
[03:38:42.769 --> 03:38:47.371]  How many times have I talked about the alliance between Islamists and leftists?
[03:38:48.308 --> 03:38:50.189]  That alliance is moving closer.
[03:38:50.909 --> 03:38:53.730]  Because a lot of these leftists are anti-Semites.
[03:38:54.191 --> 03:38:54.991]  They hate Jews.
[03:38:55.211 --> 03:38:55.951]  They're racists.
[03:38:57.572 --> 03:39:03.535]  So now, an influential students group has called for prisons to be abolished because they are sexist and racist.
[03:39:04.215 --> 03:39:08.317]  In the latest in a series of far-left interventions by the student movement.
[03:39:09.057 --> 03:39:15.620]  The National Union of Students Black Students Conference also voted to step up its fight against the government's anti-extremism agenda.
[03:39:16.400 --> 03:39:18.261]  In other words, refusing to condemn ISIS.
[03:39:19.162 --> 03:39:26.746]  The controversial votes at the conference in Bradford came after Malia Bouattia was elected President of the Union, defeating the more moderate incumbent.
[03:39:26.786 --> 03:39:36.471]  She has previously argued that it's Islamophobic to oppose ISIS, and described one university as a Zionist outpost because it has a large Jewish society.
[03:39:37.532 --> 03:39:42.475]  So now they're actually calling for prisons to be abolished.
[03:39:43.345 --> 03:39:46.826]  No one's debating that the prison industrial complex isn't a problem.
[03:39:47.866 --> 03:39:53.848]  That locking up people, you know, for possessing an ounce of marijuana isn't completely ridiculous.
[03:39:54.668 --> 03:39:55.528]  That's not the argument.
[03:39:55.548 --> 03:40:03.091]  They're actually arguing to release all the prisoners, because disproportionately, many of them are black.
[03:40:04.031 --> 03:40:11.773]  Of course, that's nothing to do with the fact that black people commit disproportionately more crimes, but again, we can't talk about that, because facts are racist!
[03:40:14.102 --> 03:40:22.647]  So we're having victories on, at some level, at universities in the US, but in the UK, again, a long way to go.
[03:40:23.907 --> 03:40:33.553]  Now over in France, Paris tourism hit by attacks, protests, this is AFP, already suffering from the impact of last year's jihadist attacks.
[03:40:34.213 --> 03:40:40.837]  Tourism in Paris faces a fresh challenge from the recent wave of violent strikes and protests tourism bosses warned on Monday.
[03:40:42.057 --> 03:40:42.918]  Listen to these figures.
[03:40:43.919 --> 03:40:48.241]  Paris' tourism industry is basically collapsing at this point.
[03:40:48.961 --> 03:40:53.683]  Japanese visitors down 50%, 56% in the first quarter of the year.
[03:40:54.584 --> 03:40:57.285]  Russian visitors down 35%.
[03:40:58.906 --> 03:41:01.547]  Again, similar numbers with Chinese tourists.
[03:41:02.808 --> 03:41:05.269]  People don't want to visit Paris.
[03:41:06.349 --> 03:41:09.451]  And it's not just because, you know, Hug a Muslim didn't work.
[03:41:10.643 --> 03:41:14.605]  They got attacked, Charlie Hebdo, they got attacked again last November.
[03:41:15.185 --> 03:41:32.355]  It's not just down to that, it's because the leftists now in Paris and other major cities in France are actually protesting against these new labour reforms which the government is desperately trying to pass because they've got a 10% unemployment rate.
[03:41:33.595 --> 03:41:39.899]  Basically these labour reforms say that governments have the right to hire and fire people
[03:41:41.573 --> 03:41:44.354]  If they're performing poorly as a company.
[03:41:45.174 --> 03:41:47.675]  I mean, God forbid they would want to do that, right?
[03:41:48.155 --> 03:41:55.398]  They also say they have the right to ask employees in France to work more than 35 hours a week.
[03:41:57.219 --> 03:42:02.001]  Again, God forbid that you would be asked to work more than 35 hours a week.
[03:42:03.905 --> 03:42:08.408]  And of course, this goes back to the stereotype, which I'm afraid is true in many cases.
[03:42:08.968 --> 03:42:10.109]  And you know, I love France.
[03:42:10.209 --> 03:42:11.590]  I visit France regularly.
[03:42:11.670 --> 03:42:12.811]  My parents live there.
[03:42:13.471 --> 03:42:14.472]  The culture's good.
[03:42:14.492 --> 03:42:15.413]  The food's great.
[03:42:16.474 --> 03:42:18.535]  But French people are really lazy.
[03:42:19.616 --> 03:42:21.577]  I'm sorry, but the stereotype is true.
[03:42:22.378 --> 03:42:29.682]  They've got this huge leftist union movement, which is a hangover from basically communists from the 60s.
[03:42:31.263 --> 03:42:48.731]  And every single time they try to stimulate the economy by giving businesses more freedom to excel, to hire people who actually do the job, do a good job, and to not be beholden to employees like it's some kind of welfare, they riot in the streets!
[03:42:50.292 --> 03:42:58.376]  You know, their three-hour lunch breaks aren't long enough apparently, and now they're also protesting against this law in France which they've just passed.
[03:42:59.997 --> 03:43:12.369]  They made it a law that a company with over 50 employees in France, if it sends out a work email to an employee outside of work hours, then that's a crime!
[03:43:12.990 --> 03:43:15.252]  They actually passed that as a law in France.
[03:43:16.112 --> 03:43:42.320]  So if you leave work as one of these, you know, bed-wetting Labour Union members who has a tantrum if he's asked to work over 35 hours a week, if you leave work at 5 o'clock and you get a work email at 5.30, whether you read it or not, whether you respond to it or not, that is a crime by the company that sent out that email.
[03:43:42.380 --> 03:43:43.440]  Is it really any wonder
[03:43:45.097 --> 03:43:49.899]  That France's economy is in the toilet right now, that they've got a 10% unemployment rate.
[03:43:50.399 --> 03:43:56.801]  The combination of kowtowing to Islamists, to these ghettos, inviting more attacks.
[03:43:57.561 --> 03:44:05.023]  And then again, kowtowing to these leftists, who are now rioting in the streets, just like the Islamists are, attacking police.
[03:44:08.204 --> 03:44:10.045]  And basically causing absolute bedlam.
[03:44:12.042 --> 03:44:16.183]  And it goes back to that stereotype, which I'm afraid is, in most cases, very true.
[03:44:16.243 --> 03:44:37.371]  French people are very lazy, it's a hangover from this Communist-Labour-Union movement, and it's causing all kinds of problems for their, quote, economic recovery, which has never happened, because they're so deeply entrenched in the EU's anemic economic growth that they can't get out of it, and the government's desperately trying to pass these laws
[03:44:38.956 --> 03:44:44.498]  to reinvigorate the business market and they're basically rioting in the streets because of it.
[03:44:45.579 --> 03:44:50.501]  Because it's this communist labor movement hangover and they're stereotypically very lazy people.
[03:44:50.561 --> 03:44:50.961]  Sorry!
[03:44:52.641 --> 03:44:55.623]  Which brings me on to this article out the College Fix.
[03:44:56.143 --> 03:45:00.264]  Social science professor defends stereotypes, says many are accurate.
[03:45:01.325 --> 03:45:02.425]  My God!
[03:45:02.745 --> 03:45:06.267]  Could it be that logic and facts are actually true once again?
[03:45:07.577 --> 03:45:25.360]  A Rutgers University social science professor set out to research how stereotypes are inaccurate, so he went, he set out to prove that they're inaccurate and they're just down to racial and gender prejudices, so he could proclaim and promote that to the world with hard scientific data, but eventually...
[03:45:26.121 --> 03:45:27.502]  Made a startling discovery.
[03:45:28.243 --> 03:45:31.065]  Most stereotypes are accurate.
[03:45:31.125 --> 03:45:32.246]  Well, what do you know?
[03:45:32.986 --> 03:45:36.069]  Scholarly claims of stereotype inaccuracy are baseless.
[03:45:36.649 --> 03:45:39.491]  Dr. Lee Justsim told The College Fix in an interview.
[03:45:40.372 --> 03:45:48.258]  He says, quote, When I first began my research, I had assumed all those social scientists declaring stereotypes to be inaccurate were right, so I wanted to know the basis for those claims.
[03:45:49.929 --> 03:46:01.867]  So he basically dug down into the basis for all these studies, all these claims that stereotypes about race, about gender, about whatever, are based on inaccurate prejudices.
[03:46:02.287 --> 03:46:03.729]  Turns out that's not true.
[03:46:05.618 --> 03:46:15.865]  Many researchers cite social psychologist Gordon Alport's classic book, The Nature of Prejudice, in support of the claim that stereotypes are inaccurate, or at least exaggerations of real differences.
[03:46:16.245 --> 03:46:20.728]  But Alport relied on a few anecdotes, hardly scientific evidence, just him said.
[03:46:22.089 --> 03:46:33.277]  So this researcher basically found that these stereotypes about race and gender, and politics as well, were generally, not always, but generally found to be true.
[03:46:34.423 --> 03:47:01.297]  So once again, expect this guy to be viciously attacked by social justice warriors for daring to point out the fact that whether due to biological differences, race differences, IQ differences, gender behavior differences, that all humans are not the same and they tend to engage in stereotypical behavior.
[03:47:02.298 --> 03:47:16.229]  God forbid he's had an objective, reality-based perspective on that, and he's revealed himself as a hate criminal to the College Fix, so expect him to be viciously attacked by social justice warriors over the coming days.
[03:47:16.249 --> 03:47:19.731]  Now, Alex talked about this in the show, of course.
[03:47:20.892 --> 03:47:24.415]  The EU is linked up with Twitter and tech firms to combat hate speech.
[03:47:25.076 --> 03:47:29.119]  Again, this is the EU Commission, which is an unelected body.
[03:47:30.336 --> 03:47:35.739]  Which acts as both the legislative and the executive of Europe.
[03:47:36.179 --> 03:47:40.382]  There's no separation of powers and these people aren't elected in the first place.
[03:47:40.442 --> 03:47:41.643]  This is a dictatorship.
[03:47:42.303 --> 03:47:48.547]  So it's no surprise that they're now teaming up with Facebook and Twitter to censor, quote, hate speech.
[03:47:49.387 --> 03:47:55.851]  Hate speech about the amazing Muslim migrants who are bringing so much cultural enrichment to the continent of Europe.
[03:47:56.431 --> 03:47:57.131]  Now, of course, we know
