[00:00:00.149 --> 00:00:00.969]  What is a globalist?
[02:10:27.842 --> 02:10:29.883]  But X2 is still 50% off.
[02:10:30.183 --> 02:10:32.784]  The Deep Earth Crystal Iodine, you need to experience it yourself.
[02:10:33.104 --> 02:10:35.565]  Electrochemically, everything in your cells, your immune system.
[02:10:35.725 --> 02:10:43.245]   is a thing. Adults, children, everybody needs it. Infowarsstore.com and it keeps us on the air and a bunch of new sales will
[02:10:43.245 --> 02:10:44.225]  launch tomorrow.
[02:10:44.225 --> 02:10:48.725]   But the New Year's sale ends today and some of the stuff's already sold out, so it's been taken off the list.
[02:10:48.725 --> 02:10:53.725]   But Ultimate Bone Broth, Ultimate Liquid Turmeric and so much more, massively discounted.
[02:10:53.725 --> 02:11:00.725]   Well, I started the broadcast today talking about how Russia and China have broken with the globalists and said,
[02:11:00.725 --> 02:11:03.725]  "We are not going to depopulate our people."
[02:11:03.431 --> 02:11:04.792]  We're not going along with the Great Reset.
[02:11:04.812 --> 02:11:07.034]  We can put that headline back on screen if we can.
[02:11:08.395 --> 02:11:14.561]  And I didn't know that right as we were going live and posting that, Elon Musk had also put out a tweet.
[02:11:15.662 --> 02:11:18.425]  We should be much more worried about population collapse.
[02:11:19.585 --> 02:11:21.145]  Let me explain the equation.
[02:11:21.646 --> 02:11:30.268]  Prager University, about a decade ago, did the best little video, four minute, we gotta find that, Prager University on, maybe eight years ago, Prager University on population collapse.
[02:11:31.508 --> 02:11:52.428]   But if you've got a father and a mother, okay, and they only have, on average, 1.3 children in the Western world, The way civilization's set up in all the actuaries, you get a collapse.
[02:11:52.609 --> 02:11:53.009]  You need...
[02:11:57.575 --> 02:12:01.916]  2.1 or 2.2 depending on the study, just to keep civilization going.
[02:12:02.316 --> 02:12:03.856]  They need to have 2.1 children.
[02:12:03.876 --> 02:12:05.457]  People go, well how do you have 2.1?
[02:12:06.597 --> 02:12:08.798]  That's on average out of the mass of millions of people.
[02:12:09.418 --> 02:12:15.220]  Or say 350 million in America, they've got to have 2.1, 2.2 children to not have society collapse.
[02:12:15.720 --> 02:12:20.181]  But instead we have COVID-19 and the death panels and we just, what do we do?
[02:12:20.841 --> 02:12:23.722]  We just euthanize them at retirement age.
[02:12:26.977 --> 02:12:33.740]  And then we also just have robots take over because we don't have enough human population to continue with the infrastructure.
[02:12:34.440 --> 02:12:38.862]  Plus the humans aren't being trained how to work things or build things or grow things anymore.
[02:12:39.282 --> 02:12:47.026]  And so we're being made obsolete through the educational system, which the Carnegie and Rockefeller endowments said is and was their plan.
[02:12:48.971 --> 02:12:52.776]  So that's really where we are, and that's why everything that's done, I call it alien.
[02:12:52.796 --> 02:12:53.757]  I don't know if aliens run it.
[02:12:54.518 --> 02:13:02.347]  I'm just saying, everything is done to hurt our genetics, to hurt our bodies, to hurt our minds, to hurt our intellects.
[02:13:02.367 --> 02:13:03.168]  I mean, look at this article.
[02:13:03.188 --> 02:13:08.335]  I should have led the show with this because it's such... In fact, I will tomorrow, unless there's a war started or something, but...
[02:13:10.166 --> 02:13:13.088]  It's not just a Newsweek or Newsmax article, it's all over the news.
[02:13:13.908 --> 02:13:14.629]  Major U.S.
[02:13:14.709 --> 02:13:19.592]  airline CEOs warn 5G could ground some planes, wreak havoc.
[02:13:20.292 --> 02:13:23.554]  5G is so powerful it just knocks off all the gauges.
[02:13:24.514 --> 02:13:27.076]  You see those gauges, they pick up that powerful beam.
[02:13:27.516 --> 02:13:34.800]  And they say on landing, they've already studied it, it's so strong it'll just black out the planes when they're at 3,000, 4,000 feet coming in.
[02:13:37.932 --> 02:13:40.015]  And the answer of the system is, so what?
[02:13:41.176 --> 02:13:47.425]  So even though it's going to crash the planes and shut down society, the system doesn't care because it's a weapon.
[02:13:49.244 --> 02:13:53.125]  And they can turn up the 5G and totally block the transmissions and totally block the planes.
[02:13:53.845 --> 02:13:59.527]  And the 5G, you can't see it because your eyeball isn't designed to see it, but it's the most powerful transmitters on Earth.
[02:13:59.567 --> 02:14:03.248]  Doesn't go too far, but where it goes, it blocks out everything.
[02:14:03.808 --> 02:14:17.092]  So you've got avionics and you've got other radar and systems trying to send out and get data back, but the 5G bathes the aircraft in so much radiation that it's a jammer.
[02:14:19.775 --> 02:14:27.938]  But remember, you complain about 5G, oh, you're a kook, it's no problem, even though four years ago, Wired Magazine said, major study, 5G causes cancer.
[02:14:27.958 --> 02:14:31.819]  But you don't see them reporting that now, because the 5G companies come in and just buy things up.
[02:14:32.479 --> 02:14:33.539]  This is a post-human world.
[02:14:33.559 --> 02:14:35.900]  They're putting all these different systems in to kill us.
[02:14:36.740 --> 02:14:44.002]  And because we're being killed by so many different things at the same time, it's hard to go put your finger on what did it, and that's called a cocktail system.
[02:14:44.443 --> 02:14:47.604]  It's beyond a binary weapon where they give you one poison and they eat you with another later.
[02:14:51.584 --> 02:15:00.211]  Where my knowledge ends is past the documents and research, but as someone that can easily put two plus two together, it's not a human force running this rodeo.
[02:15:01.593 --> 02:15:08.218]  And there are people that comply with it because then they can conform to the matrix of it, but they're just pretending.
[02:15:08.258 --> 02:15:13.463]  I mean, Klaus Schwab sitting around like the James Bond villain and pretending like he runs everything is a joke.
[02:15:15.054 --> 02:15:18.576]  All right, Jay Dyer is a great author and researcher and expert on the New World Order.
[02:15:18.736 --> 02:15:19.596]  Always informative.
[02:15:20.036 --> 02:15:21.437]  He's doing Paul's slot today.
[02:15:21.497 --> 02:15:24.518]  Paul Watson will be hosting Friday in the fourth hour.
[02:15:24.618 --> 02:15:34.483]  And then, in 55 minutes, Owen, the Cut Destroyer Shoyer, takes over from our embattled compound in Austin, Texas.
[02:15:35.083 --> 02:15:38.325]  Jay Dyer takes over in T-minus 60 seconds.
[02:15:38.825 --> 02:15:40.466]  Freeworldnews.tv.
[02:15:40.886 --> 02:15:42.367]  Futurenews.news.
[02:15:43.473 --> 02:15:46.574]  Three very important life-saving words.
[02:15:47.594 --> 02:15:50.895]  Vitamins, minerals, amino acids.
[02:15:51.375 --> 02:15:55.016]  And you find them all in Vitamin Mineral Fusion.
[02:15:55.616 --> 02:16:10.619]  All the essential vitamins, all the essential minerals from really good, high-quality, absorbable sources, and a bunch of key compounds, amino acids, known to help get the nutrients into your tissues, into your cells.
[02:16:11.239 --> 02:16:19.743]  And despite the fact that the product is going to sell out in the next week or so, we are going to keep it on sale at 50% off for another seven days.
[02:16:20.244 --> 02:16:23.625]  So again, I am cutting this announcement on the afternoon of January 6, 2022.
[02:16:24.005 --> 02:16:29.808]  We're going to run this for a week and then we are going to be selling out of this product.
[02:16:29.848 --> 02:16:35.891]  Hopefully more comes in in the next month or so because it's a bestseller and it's something everybody needs for their immune system and their body.
[02:16:36.311 --> 02:16:39.433]  Get your Vitamin Mineral Fusion now and support the InfoWar.
[02:16:43.394 --> 02:16:45.155]  Welcome back to the Alex Jones Show.
[02:16:45.375 --> 02:16:47.496]  I'm your guest host, Jay Dyer of Jay's Analysis.
[02:16:47.536 --> 02:16:54.118]  Today, I'm going to be covering a text, as you know, that is one of the global elite texts.
[02:16:54.159 --> 02:17:03.122]  We always cover in this final hour some key document that is 100% absolute proof of everything that you hear on this network.
[02:17:03.997 --> 02:17:09.562]  On a routine basis, and we do that because it's not just something that we try to prove to people.
[02:17:10.043 --> 02:17:23.935]  It's also something that helps us understand how long these plans have been in the work and exactly how intricate and detailed this plan for a global technocratic government is, which is now coming into play.
[02:17:26.064 --> 02:17:29.887]  I want to look at the 1940 book, which is not very long.
[02:17:30.348 --> 02:17:35.412]  It's a relatively short book, but it's put out by one of the most famous authors of all time.
[02:17:35.672 --> 02:17:41.057]  You've probably not heard of this book, although I guarantee you you've heard of most of his other texts.
[02:17:41.738 --> 02:17:44.080]  That is the book, The New World Order, by H.G.
[02:17:45.020 --> 02:17:45.321]  Wells.
[02:17:45.341 --> 02:17:47.563]  If you don't know, of course, H.G.
[02:17:47.583 --> 02:17:51.626]  Wells is one of the most famous propagandists in history.
[02:17:51.886 --> 02:17:53.768]  Wells was a war propagandist.
[02:17:54.933 --> 02:18:09.766]  He drew up posters for World War I and he basically provided all kinds of propaganda to the Royal Society in his day for the British Imperial, his British Imperial masters to run their Imperial propaganda.
[02:18:10.538 --> 02:18:14.421]  And so he was kind of the father of this, even before somebody like Bernays.
[02:18:14.542 --> 02:18:17.764]  Really, it was in the modern world, it was really H.G.
[02:18:17.784 --> 02:18:19.486]  Wells that pioneered propaganda.
[02:18:19.606 --> 02:18:25.571]  And I think you guys know what he did most famously was science fiction.
[02:18:26.312 --> 02:18:28.533]  And so everybody has probably seen War of the Worlds.
[02:18:28.553 --> 02:18:29.374]  You might have even read it.
[02:18:30.035 --> 02:18:41.105]   You've probably heard of his books, The Time Machine, The Island of Dr. Moreau, War in the Air, Shape of things to come, which predicted World War II, for example.
[02:18:41.125 --> 02:18:45.091]  It was only a couple years off, which shows, by the way, that World War II was planned.
[02:18:45.914 --> 02:18:48.715]  The point is that what we have with H.G.
[02:18:48.755 --> 02:18:56.116]  Wells is somebody who was amazingly candid in his non-fiction and also a master propagandist in his fiction.
[02:18:56.136 --> 02:18:57.796]  And I don't think that H.G.
[02:18:57.836 --> 02:18:58.756]  Wells was a good guy.
[02:18:58.776 --> 02:18:59.377]  H.G.
[02:18:59.417 --> 02:19:11.939]  Wells was a high-level Freemason, an avowed Marxist, and a man who wanted to, in his own words, completely end the family and to bring in a global socialist technocratic world order.
[02:19:12.799 --> 02:19:14.080]  But one thing that's interesting about H.G.
[02:19:14.120 --> 02:19:17.804]  Wells is that he wasn't, strictly speaking, your average kind of Marxist.
[02:19:18.264 --> 02:19:25.631]  He didn't believe that classical Marxism would be the means by which the technocratic global order would come into reality.
[02:19:26.211 --> 02:19:47.549]   Wells believed that it would require the infrastructure and engine and power of monopoly capitalism that would build the infrastructure And then the technocratic corporate elite would use that infrastructure that was built by global capitalism, monopoly capitalism, to hijack it and then make it the technocratic top-down order.
[02:19:47.609 --> 02:20:00.275]  So it would be run by a technocratic scientific elite and then everything else would be a top-down collectivism with the people on the top basically immune to any of the laws and rules underneath it.
[02:20:01.701 --> 02:20:04.462]  And so, in the truest sense, you could say that H.G.
[02:20:04.502 --> 02:20:05.942]  Wells was an Illuminist.
[02:20:06.002 --> 02:20:16.606]  He really did believe in the Illuminati plan in the truest sense of a communistic, socialistic, technocratic order that was not anti-fascist or anti-capitalist.
[02:20:16.886 --> 02:20:19.647]  You might say, but every Marxist is anti-capitalist, isn't he?
[02:20:20.666 --> 02:20:21.726]  Actually, that's not the case.
[02:20:21.746 --> 02:20:26.567]  Do you know that Marx himself did not believe that capitalism was inherently evil?
[02:20:26.787 --> 02:20:33.688]  He thought it was a necessary stage on the phase of world history to the final utopia.
[02:20:34.568 --> 02:20:37.569]  Marx's end goal of history is actually libertarian.
[02:20:37.609 --> 02:20:49.811]  He believes that the state will wither away, and then you will have this basically scientific, you know, utopian world, the Star Trek world, run by computers and technocratic elite.
[02:20:50.740 --> 02:21:00.218]  And HG Wells had the exact same vision, because in my view, really, the British Empire was kind of headed by these forward-seeking, forward-thinking technocrats.
[02:21:00.876 --> 02:21:12.019]  And so the British Empire had a big role in fostering both socialism, communism, democracy, fascism, all of these different 20th century systems that played into those wars.
[02:21:12.559 --> 02:21:16.680]  You can read Royal Society thinkers that talk about all those systems as experiments.
[02:21:16.900 --> 02:21:21.341]  Bertrand Russell calls Bolshevism a grand, amazing experiment.
[02:21:22.061 --> 02:21:24.642]  Initially early on he said Stalin is a great thing.
[02:21:24.682 --> 02:21:25.962]  This is great to have Stalinism.
[02:21:26.002 --> 02:21:34.805]  We need this top-down technocratic control and really what we find in HG Wells is the same type of language and the same type of approbation.
[02:21:34.845 --> 02:21:37.926]  Now they might have disagreed with certain elements of National Socialism.
[02:21:37.945 --> 02:21:43.386]   They might disagree with certain elements of Stalinism and critical theory Marxism and
[02:21:43.386 --> 02:21:44.386]  so forth.
[02:21:44.386 --> 02:21:48.545]   But ultimately, remember, the end game of every New World Order proponent, and that's
[02:21:48.545 --> 02:21:53.885]   the title of this book, The New World Order, that's where it comes from, written in 1940.
[02:21:53.885 --> 02:21:55.745]  And this is not his first book, okay?
[02:21:55.745 --> 02:22:01.905]   He had another book that he wrote very similar to this many years earlier, 1928, called The
[02:22:01.905 --> 02:22:02.905]  Open Conspiracy.
[02:22:02.905 --> 02:22:07.345]   What are we to do with our lives now that we are in the technocratic age?
[02:22:07.389 --> 02:22:17.605]  But I wanted to go to this one because it's just so obvious that this is an open admission of international technocratic elites bringing in a global government.
[02:22:19.239 --> 02:22:19.379]  H.G.
[02:22:19.399 --> 02:22:34.226]  Wells begins the book by saying that, you know, when we look at World War II, when we look at what the National Socialists are up to, and this was written right in 1940, so this is prior to World War II, he says that it's really not a problem in terms of top-down control systems.
[02:22:34.806 --> 02:22:46.791]  He says if we think about a dictator like Hitler, he says it's not Hitler himself that is the problem, it is the nation-state, firewalls to global governments, and individuals that are the problem.
[02:22:47.529 --> 02:22:48.129]  And so H.G.
[02:22:48.149 --> 02:22:52.051]  Wells was very much a proponent of the idea that there is no individual right.
[02:22:52.151 --> 02:22:59.635]  You don't have a right as an individual unless it is given to you, it is doled out to you by the state.
[02:23:00.775 --> 02:23:03.777]  So he did not believe, obviously, as a kind of an atheist.
[02:23:03.817 --> 02:23:14.304]   I wouldn't say he was an outright atheist because he has another lesser-known book about religion that he Speaks of God, the Invisible King, whom he says is a Luciferian type of character.
[02:23:14.344 --> 02:23:16.004]  He believes in a Luciferian God.
[02:23:16.064 --> 02:23:17.405]  Literally, that's what he says in the book.
[02:23:18.125 --> 02:23:24.168]  So I think he was a Luciferian, and in his sense, he either believed in an absolute satanic view of Lucifer.
[02:23:24.188 --> 02:23:28.030]  I mean, ultimately, I think Lucifer is a satanic thing, but what would H.G.
[02:23:28.070 --> 02:23:28.571]  Wells say?
[02:23:28.591 --> 02:23:37.115]  Well, he would probably say, oh, it just represents science and Promethean man, you know, overthrowing, you know, any kind of God or tyranny outside of his own mind.
[02:23:38.519 --> 02:23:54.632]  And then he goes on to say that really the reason the world is in crisis, the Global Elite writers always talk about the crisis, the reason that we're going into this global world, war at this time, which is right before World War II, is that we still have nation states and we still have individual rights.
[02:23:54.652 --> 02:24:11.575]   So he's pinning the blame for World War II and World War I on the idea of there being nations Of there being firewalls and protective structures against global government on the liberties of individuals, the liberties and rights of people themselves directly from God.
[02:24:13.587 --> 02:24:20.489]  He says it's time to have a debate because a new age is coming in as a result of the crises of the global wars.
[02:24:20.549 --> 02:24:44.940]   And remember when we read through Dr. Carol Quigley's massive tome, Tragedy and Hope, 1,300 pages I've lectured through and eight lectures the entire work, we saw that Quigley admits as an apologist of the system, as a defender of the system, That the two World Wars and the Cold War of the last century were essentially engineered by the power elite, the Anglo-American establishment he calls it, to bring in the world government.
[02:24:46.041 --> 02:24:46.381]  Literally.
[02:24:46.661 --> 02:24:51.165]  It was planned out, it was strategized, and a lot of people think, nah, it's just hard to believe that.
[02:24:51.205 --> 02:24:53.006]  I can't believe that this is planned out.
[02:24:54.172 --> 02:24:55.073]  100, 200 years ago.
[02:24:55.173 --> 02:24:56.334]  It's just hard for me to believe.
[02:24:56.354 --> 02:25:00.197]  Well, that's why we're looking back at these books from 1940, from 1928, right?
[02:25:00.417 --> 02:25:09.764]  To see that what's coming about right now, what you read in Klaus, was written in 1928, in 1940, by these people.
[02:25:10.044 --> 02:25:17.010]  There's a perfect continuity of ideology, of praxis, between H.G.
[02:25:17.050 --> 02:25:18.651]  Wells and Klaus Schwab.
[02:25:20.505 --> 02:25:22.727]  And I don't even know if Klaus Schwab has read these books.
[02:25:22.868 --> 02:25:24.189]  Perhaps he's read these books.
[02:25:24.749 --> 02:25:43.806]   But does it even matter if the plan is exactly the same, if they're working for the same structures that are admittedly for over 100 plus years in the Western publications and academic journals and whatnot, admitting to this plan to bring in This government.
[02:25:43.846 --> 02:25:57.712]  Now, one of the things you might not have known that Marxists and especially HG Wells pioneered was the idea of the Green Movement, the idea that humans are the problem and that we are wasting the planet and its resources through having too many people, having offspring.
[02:25:57.772 --> 02:26:09.237]  This is something that the Royal Society and the Malthusians and especially HG Wells was a big fan of enacting these mass reductions in population, which we'll look at here in a minute.
[02:26:10.518 --> 02:26:11.658]  That's what he says right away.
[02:26:11.678 --> 02:26:15.640]  The very first thing that we have to deal with is massive reduction of population.
[02:26:15.760 --> 02:26:19.541]  Now there you go, you see, and soiled green is made from people!
[02:26:20.281 --> 02:26:28.403]  There is Charlton Heston telling you right there in that HG Wells dystopian type worldview, in all this fiction, telling you what's going on.
[02:26:28.723 --> 02:26:29.904]  Welcome back to the Alex Jones Show.
[02:26:29.924 --> 02:26:32.084]  I'm your guest host, Jay Dyer of Jay's Analysis.
[02:26:32.104 --> 02:26:37.906]  We were talking about how HG Wells was the early proponent of the green movement.
[02:26:38.426 --> 02:26:48.968]  And how this would be the means by which we could bring in this technocratic global government that even decades before the Club of Rome had put out their book, The First Global Revolution, H.G.
[02:26:49.728 --> 02:27:01.310]  Wells was writing books saying, as the mouthpiece of the Royal Society and the elite power, Malthusian power structure of the Anglo-American establishment, that most of the planet would have to go away.
[02:27:01.370 --> 02:27:04.371]  There's no other way to save the planet than to kill everybody.
[02:27:05.208 --> 02:27:08.649]  He says that we will have to have complete control of biology.
[02:27:08.689 --> 02:27:10.690]  This is what he says on page 24 of the book.
[02:27:11.251 --> 02:27:18.834]  Complete collective control of economic and biological life is absolutely necessary to bring in this global government.
[02:27:19.674 --> 02:27:24.596]  He says if we don't do that, then what we're going to have is a perpetual war, perpetual chaos.
[02:27:25.236 --> 02:27:27.237]  And so, in other words, in classic sort of H.G.
[02:27:27.757 --> 02:27:34.240]  Wells, excuse me, in classic 1984 fashion, in order to save everybody, we must kill everybody.
[02:27:35.140 --> 02:27:42.467]  Wells says that politics and political federation as we've known so far in Western civilization is basically worthless.
[02:27:42.967 --> 02:27:50.014]  It will not bring global peace apart from a real profound social revolution.
[02:27:51.135 --> 02:27:57.557]   He says that the communists in Russia, that is the Bolshevik Russian Revolution, We're very much extremist.
[02:27:57.777 --> 02:28:03.741]  But get this, he says that their revolution towards world collectivism was not extreme enough.
[02:28:03.822 --> 02:28:05.423]  It did not go far enough.
[02:28:06.303 --> 02:28:15.571]  The future final revolution, he says, must go way farther and become much more heroic in its designs to massively depopulate the world.
[02:28:16.764 --> 02:28:34.877]  He says that it is important to promote class warfare in the next chapter, although class warfare isn't really the end goal, because ultimately this is going to be the destruction of the wealth, or new wealth, to put it into this technocratic system where there is no upward mobility and no wealth at all.
[02:28:35.862 --> 02:29:01.508]  There will be, he says, the movement from class hate into a rise of police state because the dialectical structure, the tensions that are engineered on the basis of class hate back in his day, now of course it's identity, politics, racial division, which is fostered by these technocrats on purpose to actually bring in this police state and ultimately this technocratic state.
[02:29:02.028 --> 02:29:10.278]   He goes on to say that On page 33, that Lenin and Stalin were great revolutionaries.
[02:29:10.498 --> 02:29:12.280]  The work that they did was phenomenal.
[02:29:12.380 --> 02:29:14.622]  However, none of these people went far enough.
[02:29:14.962 --> 02:29:23.308]  He says that he got to meet with Lenin back in the day, in the 1920s, and he said he seemed very nice and he seemed very pleasant.
[02:29:24.329 --> 02:29:27.251]  And he, like Bertrand Russell, supports that revolution.
[02:29:28.032 --> 02:29:31.254]  But class warfare is just simply not enough.
[02:29:31.866 --> 02:29:40.130]  A lot of the Marxists, the classical Marxists, the revolutionaries of that day, he says, they totally miss and understand the long-term goal of technocracy.
[02:29:40.190 --> 02:29:46.473]  They totally miss the fact that this is not about you bettering, supposedly, your paycheck, right?
[02:29:46.513 --> 02:29:48.254]  A revolution of the workers or whatever.
[02:29:48.294 --> 02:29:54.337]  He says this is a revolution that's about technocracy and complete control of biology.
[02:29:54.989 --> 02:29:56.970]  What did Klaus Schwab say multiple times?
[02:29:57.030 --> 02:29:58.151]  We will get inside your body.
[02:29:58.211 --> 02:30:00.673]  We will control and change your biology.
[02:30:00.793 --> 02:30:12.961]  I covered last week the technocratic document, the transhumanist Ministry of Defense human augmentation document, which says synthetic biology will mean the changing of your biology to make you into a human platform.
[02:30:12.981 --> 02:30:15.183]  You're going to be a walking router, a walking modem.
[02:30:15.223 --> 02:30:15.863]  That's all you are.
[02:30:16.223 --> 02:30:19.766]  You're going to receive the signals of the system and emit the signals of the system.
[02:30:21.215 --> 02:30:23.797]  Welles goes on to say that there's nothing wrong with Stalin.
[02:30:23.817 --> 02:30:24.718]  Stalin's a great guy.
[02:30:24.778 --> 02:30:30.743]  He says that really the way to understand the world is to understand it as a zoo.
[02:30:31.744 --> 02:30:33.466]  The world is like a human zoo.
[02:30:34.487 --> 02:30:37.609]  Nation states, these are like different sections of the zoo.
[02:30:38.790 --> 02:30:39.711]  There's nations over here.
[02:30:39.771 --> 02:30:41.853]  Oh, that's the elephant exhibit, right?
[02:30:41.873 --> 02:30:47.238]  When you keep them in their cages, you keep them in their little animal farm or in their zoo or in their lab.
[02:30:48.191 --> 02:30:52.592]  He says these are all fine analogies for actually understanding the technocratic view of the world order.
[02:30:52.652 --> 02:31:12.298]  The technocrat looks at the world and says, I am elite and special because I have my lab coat and because I got my magical science juice beakers bubbling behind me and that makes me great and special because I went to the university and was brainwashed and I have a actually midway level IQ so actually I'm part of the elite and because I'm a psychopath and I want to kill everybody, I'm elite.
[02:31:13.403 --> 02:31:13.904]  And H.G.
[02:31:13.924 --> 02:31:21.090]  Wells says that's who runs the New World Order, scientific technocrats, and they view the world like a farm, like a zoo, and like a lab.
[02:31:22.531 --> 02:31:23.191]  Yeah, exactly.
[02:31:24.453 --> 02:31:24.973]  Exactly.
[02:31:26.714 --> 02:31:27.835]  Mr. Fauci, exactly.
[02:31:27.855 --> 02:31:33.340]  He says that the first thing that we're going to have to do is indoctrinate the youth.
[02:31:33.540 --> 02:31:33.881]  Interesting.
[02:31:34.501 --> 02:31:37.784]  These technocratic individuals always know to corrupt the youth.
[02:31:38.542 --> 02:31:58.814]  Because they, again, are themselves essentially control freaks, and they know that the best way to do this is to infect the youth with toxic ideologies, infect them with the idea that population is itself the problem, don't have kids, don't have offspring, live in your pod, etc.
[02:31:58.874 --> 02:32:00.915]  All of that is what was said a hundred years ago.
[02:32:01.667 --> 02:32:08.773]  And he even says that we're going to have to divide people into generations and give them different attitudes to set them off against other generations, right?
[02:32:09.073 --> 02:32:11.114]  Millennials, Zennials, all this kind of stuff.
[02:32:12.215 --> 02:32:15.057]  He says that this will lead to the decline of the West.
[02:32:15.197 --> 02:32:15.658]  Wait a minute.
[02:32:15.738 --> 02:32:17.679]  Why would the elite want the decline of the West?
[02:32:17.739 --> 02:32:19.100]  Because they don't care about the West.
[02:32:19.361 --> 02:32:20.762]  They don't care about prosperity.
[02:32:20.782 --> 02:32:21.963]  They don't want prosperity.
[02:32:21.983 --> 02:32:22.563]  I don't understand.
[02:32:22.603 --> 02:32:30.485]   People can't understand that there's a class of individuals at the top, the technocratic elite, They do not want to simply make money.
[02:32:30.545 --> 02:32:31.926]  They don't care about making money.
[02:32:32.326 --> 02:32:35.169]  They have the control of the Fed printing press.
[02:32:35.189 --> 02:32:36.209]  They don't need money.
[02:32:37.030 --> 02:32:41.173]  They want something much grander than that, which is control of all life.
[02:32:42.995 --> 02:32:44.296]  Control of biology.
[02:32:44.676 --> 02:32:45.257]  That's what H.G.
[02:32:45.277 --> 02:32:48.099]  Wells just said in this book, almost a hundred years ago, eighty years ago.
[02:32:50.821 --> 02:33:13.896]   Wells says that once we capture the minds of the youth, like the Maoist youth revolutions, We can just steer the youth as we want and who can fail to see that that is what has happened at a much more sophisticated scientific level today, that the youth are steered and controlled into adopting basically the most self-destructive and nihilistic philosophies and beliefs.
[02:33:15.777 --> 02:33:32.826]   Wells says that whether you look at FDR in the US or whether you look at Stalin in Russia, in that day he says that the creation of the welfare state, the creation of the Stalinist state, All of these things, he says, are perfectly in line with what I want to see as a technocrat.
[02:33:33.387 --> 02:33:37.769]  Now, that doesn't mean everything in those systems went perfectly according to what H.G.
[02:33:37.809 --> 02:33:48.356]  Wells wanted, but he says that these are experiments and models that are perfectly enacting the kinds of things that I want to see on the way towards the final revolution.
[02:33:48.876 --> 02:33:50.157]  What is the final revolution?
[02:33:50.197 --> 02:33:55.500]  We know that this is talked about in Aldous Huxley's essay, which is the introduction to Brave New World.
[02:33:57.071 --> 02:33:59.852]  We know that this is talked about in Bertrand Russell's writings.
[02:34:02.192 --> 02:34:19.955]  Well, he says that the real meaning of this is that all of the revolutions of the last several centuries, we think about the French Revolution, we think about the Republican and Democratic revolutions of the 1800s that overthrew the monarchies, we think about even the American Revolution, according to H.G.
[02:34:19.995 --> 02:34:20.575]  Wells, right?
[02:34:20.695 --> 02:34:22.516]  Even the Bolshevik Revolution.
[02:34:22.556 --> 02:34:25.196]  All the revolutions, he says, are one revolution.
[02:34:25.965 --> 02:34:30.968]  Now, I'm not saying they're literally identical, but they're one revolution towards the same goal.
[02:34:32.209 --> 02:34:37.672]  And he says that that one goal is the technocratic, internationalist, global, elite world order.
[02:34:37.692 --> 02:34:46.838]  And he says that, again, the Bolsheviks didn't do enough, they didn't kill enough people, because to bring this in is going to require killing everybody, almost.
[02:34:47.459 --> 02:34:49.780]  Literally, he says, most people are going to have to die.
[02:34:51.301 --> 02:34:53.002]  And all of his compatriots said the same thing.
[02:34:53.022 --> 02:34:54.223]  Bertrand Russell says the same thing.
[02:34:55.177 --> 02:34:56.137]  Huxley says the same thing.
[02:34:56.558 --> 02:34:58.879]  All the Huxleys, all the brothers, they all said this.
[02:35:00.239 --> 02:35:05.542]  And most people are going to have to die because most people are not fit to go into the scientific future order.
[02:35:07.299 --> 02:35:10.142]  When we come back, we're going to see what he says is the number one thing in the way.
[02:35:10.182 --> 02:35:10.762]  Don't go anywhere.
[02:35:10.802 --> 02:35:11.463]  This is InfoWars.
[02:35:11.703 --> 02:35:12.784]  Welcome back to the Alex Jones Show.
[02:35:12.804 --> 02:35:14.285]  I'm your guest host, Jay Dyer.
[02:35:14.305 --> 02:35:18.129]  I'm Jason Alstis, and we're working our way through the New World Order by H.G.
[02:35:18.589 --> 02:35:18.969]  Wells.
[02:35:19.570 --> 02:35:45.586]   And we were talking about the technocracy being planned a long time ago, and Wells noting that a couple of the things that were standing in the way are The notions of liberties, the notion of individual rights that don't become essentially malleable or created by the state, something that you have inherently by divine right, by being made in the image of God, Wells says that that needs to go away.
[02:35:46.207 --> 02:36:01.674]   And he talks about the fact that it doesn't really matter whether the collectivism that we bring in is something from a Bolshevik, socialist, or communist model because ultimately says these all can
[02:36:01.674 --> 02:36:06.333]   give way to The end goal of technocracy and he says whatever works is
[02:36:06.333 --> 02:36:10.464]   really the best system Whatever works to bring in technocracy to bring in the top-down
[02:36:10.464 --> 02:36:13.783]   control So this is why we can begin to see that things like the
[02:36:13.783 --> 02:36:17.193]   Cold War While they were definitely real on the ground with
[02:36:17.193 --> 02:36:21.824]   different Eastern Western spies and doing all this kind of stuff people like hg
[02:36:21.851 --> 02:36:25.753]  Wells at the top were cheering on the Communist Marxist Revolution.
[02:36:26.153 --> 02:36:32.912]   People who are the most famous proponents of the ideas of the elite Western establishment
[02:36:32.912 --> 02:36:35.592]  have always supported communism and Marxism.
[02:36:35.592 --> 02:36:40.512]   The wealthiest people in the West funded, supported, and fostered communism and Marxism
[02:36:40.512 --> 02:36:43.753]  pretty consistently in the 20th century.
[02:36:43.753 --> 02:36:49.711]   So the point is that it doesn't matter whether it's monopoly capitalism or whether it's socialist
[02:36:50.710 --> 02:36:56.672]  Both of those systems are atheistic, materialistic systems fostered and funded by these people.
[02:36:57.153 --> 02:36:57.673]  And H.G.
[02:36:57.693 --> 02:37:03.775]  Wells is the mouthpiece of the wealthiest, most powerful people in the West of the 20th century.
