[00:00:00.149 --> 00:00:04.870]  Ted Cruz coming out and saying that the people that attacked the Capitol were terrorists.
[02:16:36.947 --> 02:16:42.951]  I don't know if you want to begin with how Marjorie Taylor Greene and Matt Gaetz are Republicans on an island today?
[02:16:43.691 --> 02:16:48.455]  Only two Republicans at a press conference while the Democrats have political prisoners being tortured?
[02:16:48.795 --> 02:16:50.036]  Two Republicans show up?
[02:16:50.376 --> 02:16:52.638]  Ted Cruz even shows us his pussy with this?
[02:16:53.358 --> 02:17:05.134]  Or the element of the federal agents that are still not being held accountable for encouraging people to go into the building, and then people like Jaden X literally breaking into the building and smashing windows.
[02:17:05.454 --> 02:17:08.358]  Where do you want to begin today, Jaren Beatty from Revolver News?
[02:17:09.994 --> 02:17:12.576]  Well, first of all, thank you so much for having me.
[02:17:12.636 --> 02:17:17.540]  It's a delight to be on here on this special day and be able to talk to you and your audience.
[02:17:18.160 --> 02:17:25.566]  And I would say, let's begin with the mainstream media coverage, because this speaks to the broader context of why all of this is relevant.
[02:17:26.427 --> 02:17:38.816]  The mainstream media is propounding this ridiculous notion that the events of January 6th can be uttered in the same breath as Pearl Harbor.
[02:17:39.836 --> 02:17:42.799]  As 9-11 and so forth.
[02:17:43.019 --> 02:17:48.184]  And that was literally Kamala Harris and Biden both said that publicly during press conferences today.
[02:17:49.765 --> 02:17:49.985]  Right.
[02:17:50.546 --> 02:18:14.093]   So beyond how ludicrous it is and how hyperbolic and really how disrespectful it is to the victims of those previous events, I think it's important to note that what they're also saying is That the people who are the criminals of January 6th, which in their view is not the FBI types who orchestrated it.
[02:18:14.573 --> 02:18:15.814]  It's the American people.
[02:18:15.954 --> 02:18:17.055]  It's the Trump supporters.
[02:18:17.095 --> 02:18:23.621]  Not only the Trump supporters who were at the rally, but it's the 70 plus million people who support Trump across the country.
[02:18:23.681 --> 02:18:27.884]   Those are the villains in this False morality play.
[02:18:28.164 --> 02:18:39.929]  And what they're saying when they compare January 6th to 9-11 is they're saying we're gonna shove another Patriot Act down your throat, but this time we're going after actual patriots.
[02:18:40.568 --> 02:18:43.967]   What they're saying that this is another Pearl Harbor is say,
[02:18:43.967 --> 02:18:52.568]   we're going to drop a Hiroshima-sized nuke on American domestic citizens.
[02:18:52.568 --> 02:18:57.668]   We are going to marshal the full weight and force of the American national security
[02:18:57.668 --> 02:19:05.968]   state to silence, suppress, and utterly destroy our political opposition.
[02:19:05.968 --> 02:19:12.918]   Because to oppose the regime politically is now tantamount to a national security threat in their
[02:19:12.918 --> 02:19:14.287]  eyes.
[02:19:13.302 --> 02:19:14.723]  That's what this is all about.
[02:19:15.063 --> 02:19:16.785]  That's what the false flag is about.
[02:19:17.225 --> 02:19:19.527]  It's all about promoting the agenda.
[02:19:19.607 --> 02:19:25.051]  And the agenda is the national security state is now coming after all of us.
[02:19:25.671 --> 02:19:27.493]  We are the domestic terrorists.
[02:19:29.298 --> 02:19:30.599]  And they're coming for us.
[02:19:30.720 --> 02:19:32.982]  That is the agenda being promoted.
[02:19:33.322 --> 02:19:45.035]  And that is the darker side to the otherwise absolutely ridiculous comparisons that we're seeing floated around today by the media and by their masters in the Biden White House.
[02:19:45.655 --> 02:19:50.718]  Well, and let me just take that one step further than the Patriot Act or what they plan to do politically.
[02:19:51.318 --> 02:19:54.980]  What happened after the events of 9-11 in Pearl Harbor?
[02:19:55.121 --> 02:19:57.862]  Those were events that led us to wars.
[02:19:58.402 --> 02:20:01.344]  Those were events that were the catalysts to wars.
[02:20:01.864 --> 02:20:08.888]  So I see it as they want to have that same comparison because this is them planning to launch a war against American citizens.
[02:20:08.929 --> 02:20:16.314]   So it's crazy to sit here and realize that because Oh, we're not having a land invasion by China or Russia or Muslims or whoever else.
[02:20:16.654 --> 02:20:20.017]  No, we're being attacked by our own people!
[02:20:20.377 --> 02:20:33.295]   The Democrat Party has launched a war in America and then they write all their headlines about How Republicans want to start a civil war as they're actively engaged in a civil war, because that's what this is.
[02:20:33.495 --> 02:20:35.036]  I don't know how you can say it as anything else.
[02:20:35.297 --> 02:20:43.322]  They clearly are wanting to compare January 6th to 9-11 in Pearl Harbor because they plan on launching a war against American citizens.
[02:20:43.342 --> 02:20:44.102]  Do you agree with that?
[02:20:46.184 --> 02:20:47.264]  Yes, in effect, yes.
[02:20:47.364 --> 02:20:49.106]  And they've already been doing this.
[02:20:49.226 --> 02:21:15.067]   And we've heard from the mouthpieces, from the leaders of the respective National security organizations, for instance, the Department of Homeland Security, the head of the DHS, months ago, in fact, I think over a year ago, first started gesturing toward this new imprimatur of the DHS, reflecting that the number one national security threat is white supremacy, whatever that means.
[02:21:15.507 --> 02:21:30.159]   And so as the original war on terror grift has sort of run its course, These big bureaucratic apparatuses, the national security apparatus, it needs a new justification for its insane budget.
[02:21:30.916 --> 02:21:48.069]  And what better justification than to help all of the existing institutions in this country that are already actuated against the American people fully consolidate their power with this new domestic war on terror against citizens for their political beliefs.
[02:21:48.649 --> 02:22:12.095]   That plus, I think, a new Cold War with China, those are going to be the two basic Um, justifications for the national security bureaucracies, the two fixations, Cold War with China plus domestic war against the American people against anyone who would dare criticize the direction of our corrupt regime.
[02:22:12.970 --> 02:22:25.359]  I just had a doctor on with me for the last hour talking about mass mental illness and mass psychotic delusion that this country is experiencing and we were discussing that in regards to COVID.
[02:22:25.760 --> 02:22:28.522]  I believe though the same thing can be applied to January 6th.
[02:22:29.442 --> 02:22:48.849]   Anybody that believes the mainstream media lies and the Democrat lies about January 6th has either a not done any research into those events themselves and are ignorant on that day's events or they fall into this category of mass mental illness and mass delusional psychosis And they actually believe this stuff.
[02:22:49.069 --> 02:22:54.452]  I mean, I've got Jim Acosta who's criticizing Trump's tweet where he says, stay peaceful.
[02:22:54.653 --> 02:22:57.815]  Trump says, stay peaceful in his tweet on January 6th.
[02:22:58.135 --> 02:23:04.859]  And Acosta puts out a tweet, a tweet thread saying, well, even though he said stay peaceful, he didn't want to.
[02:23:05.579 --> 02:23:06.660]  What are you talking about?
[02:23:06.720 --> 02:23:07.860]  He said stay peaceful.
[02:23:07.880 --> 02:23:08.821]  What do you mean he didn't want to?
[02:23:09.041 --> 02:23:10.201]  They cannot drop it.
[02:23:10.221 --> 02:23:11.302]  They know they're liars.
[02:23:11.342 --> 02:23:17.885]  I mean, so talk about the mass mental illness, the mass delusion that people are under now, believing the lies of January 6th.
[02:23:19.864 --> 02:23:20.084]  Right.
[02:23:20.264 --> 02:23:23.285]  Well, I mean, look, there's a reason for a mask solution.
[02:23:23.326 --> 02:23:37.051]  The same business with COVID is that this is the narrative that people have been bombarded with by the media, which, whether we like it or not, the mainstream media plays a decisive role in creating the reality for most people in this country.
[02:23:37.532 --> 02:23:50.597]   And what they've been doing is they've been banging over people's heads this notion that January 6 was this dangerous insurrection Conducted by dangerous domestic terrorist Trump supporters.
[02:23:51.078 --> 02:24:02.967]  And that's why Revolver.News has been hit so hard for decisively reshaping the national conversation about OneSix, including on the right.
[02:24:03.348 --> 02:24:13.896]  Because before our reporting, most people on the right were saying either this is just a harmless event with people taking selfies, and there is substantial truth to that.
[02:24:14.423 --> 02:24:18.165]  And they were saying, oh, this is, you know, Antifa infiltrators.
[02:24:18.205 --> 02:24:19.025]  These are leftists.
[02:24:19.466 --> 02:24:20.926]  And there's some truth to that, too.
[02:24:21.487 --> 02:24:34.082]   But the deepest, most essential, most subversive and most accurate narrative about this, that Just like many, many cases before in our nation's history,
[02:24:34.082 --> 02:24:38.961]   this was a federal government operation on the part of the national security state.
[02:24:38.961 --> 02:24:47.922]   And that key players in this so-called insurrection, very likely by the weight of overwhelming evidence,
[02:24:47.922 --> 02:24:51.882]   are either informants of the government or agents of the government.
[02:24:51.882 --> 02:24:56.961]   That was the one narrative that the regime did not want people to seize upon.
[02:24:56.961 --> 02:25:02.162]   And that's why they went absolutely insane the day after we ran our first report.
[02:25:02.162 --> 02:25:09.362]   And since then, we've run several bombshell reports, all of which only serve to dramatically
[02:25:09.362 --> 02:25:16.801]   and incontrovertibly reinforce this original thesis, to the point that now I don't think any reasonable person
[02:25:16.801 --> 02:25:24.362]   can go to revolver.news, read the reports on Ray Epps, watch the video, which speaks for itself.
[02:25:24.341 --> 02:25:36.505]  And come to any other conclusion that the most parsimonious, powerful, and likely explanation for the events and the evidence that we see is that the federal government played a decisive role.
[02:25:37.045 --> 02:25:38.265]  It is the Alex Jones Show.
[02:25:38.385 --> 02:25:40.446]  Owen Schroer sitting in studio for Alex today.
[02:25:40.506 --> 02:25:44.567]  Darren Beattie from Revolver.News, our guest.
[02:25:44.826 --> 02:25:50.426]   And Darren, before we get into the element of the federal government being involved and
[02:25:50.426 --> 02:25:55.105]   the elements of Ray Epps and some of the other people that were boots on the ground encouraging
[02:25:55.105 --> 02:26:00.345]   the violence that day that we're very suspicious of to say the least, I want to kind of cap
[02:26:00.345 --> 02:26:06.106]   it off with the media coverage of this with one of the wildest things I've ever seen.
[02:26:06.106 --> 02:26:10.986]   And I'd like to get your take on this, where the January 6th committee gets text message
[02:26:10.986 --> 02:26:16.426]   communications between media members and Trump and Jim Jordan and others, and they publish
[02:26:16.426 --> 02:26:23.426]   these text messages, and all the text message, all of them pretty much read the same.
[02:26:23.451 --> 02:26:27.413]  It's Laura Ingraham, it's Sean Hannity, it's others, and they're all saying, this is bad.
[02:26:27.473 --> 02:26:28.974]  What's happening at the Capitol is bad.
[02:26:29.034 --> 02:26:29.955]  We need to stop it.
[02:26:30.015 --> 02:26:31.135]  Trump, you need to stop this.
[02:26:31.195 --> 02:26:32.076]  This is not good.
[02:26:32.316 --> 02:26:33.376]  Hey, we need peaceful.
[02:26:33.416 --> 02:26:34.857]  Hey, this is not good for America.
[02:26:35.337 --> 02:26:52.110]  Every single one of the messages that they revealed was conservatives in media and Republicans in Congress saying how bad the events were, which not just proves they had nothing to do with it and there was no pre-determination that that was going to happen, but it also shows that they wanted peace.
[02:26:52.691 --> 02:27:03.404]   And then the media takes those texts that they publish and they say in the headlines, Damning texts revealed Trump's involvement in January 6.
[02:27:03.464 --> 02:27:06.566]  Texts reveal Republicans wanted January 6 to happen.
[02:27:06.826 --> 02:27:11.068]  And then they put the text in the story, and it's the exact opposite of what they're claiming.
[02:27:11.088 --> 02:27:20.592]  I mean, I don't think I've ever seen a more clear-cut case of bold-faced lying in my life, in media, in regards to what we've seen about January 6.
[02:27:20.772 --> 02:27:24.174]  I mean, what are your observations and comments on that phenomenon?
[02:27:26.485 --> 02:27:30.148]  Yeah, I mean, this is the narrative that they're trying to propose.
[02:27:30.188 --> 02:27:39.834]  They're trying to use January 6th principally to cast 70 plus million Americans who align with or sympathize with Trump as domestic terrorists.
[02:27:39.974 --> 02:28:03.308]   But in a more targeted fashion, they're trying to paint Trump and various members of his inner circle as Conspirators of this so-called insurrection and they're also trying to smear some of the most effective and prominent voices in the media who have had a consistent track record of exposing the lies and corruption of the regime.
[02:28:03.828 --> 02:28:17.276]   And so it all just goes to show that this event is being exploited for political purposes and the regime is using the false narrative of this event in order to target It's just unbelievable.
[02:28:17.336 --> 02:28:20.517]  I mean, the left has become such brainwashed patsies of the New World Order.
[02:28:20.537 --> 02:28:22.618]  They're literally praising Dick Cheney today.
[02:28:22.438 --> 02:28:28.156]   or whether it be ordinary citizens who would dare to question the direction
[02:28:28.156 --> 02:28:31.317]  that Biden and his regime have taken our country.
[02:28:31.317 --> 02:28:33.558]  It's just unbelievable.
[02:28:33.558 --> 02:28:37.438]   I mean, the left has become such brainwashed patsies of the new world order.
[02:28:37.438 --> 02:28:40.397]  They're literally praising Dick Cheney today.
[02:28:40.397 --> 02:28:46.477]   Dick Cheney, who was like enemy number one of the left for all the Bush years.
[02:28:46.538 --> 02:28:51.761]  Dick Cheney is now a hero to the left because he called January 6th an insurrection at the Capitol today.
[02:28:52.742 --> 02:28:56.083]  Really just, it's just incredible stuff the lives of these people.
[02:28:56.624 --> 02:28:57.224]  Such evil.
[02:28:57.644 --> 02:29:07.527]   Now, let's get into what is now being called the Fed-surrection and that's the federal involvement potential federal agents' involvement in provocateuring the
[02:29:07.527 --> 02:29:11.765]   violence that day or doing the violence themselves. Ray Epps, one of the big
[02:29:11.765 --> 02:29:18.286]   names that has been covered in your stories. What else do we know today, a year
[02:29:18.286 --> 02:29:24.536]   later, about federal involvement and provocateuring of that event that is being
[02:29:24.536 --> 02:29:25.646]  blamed on Donald Trump?
[02:29:25.646 --> 02:29:31.166]  Well, we know a lot.
[02:29:29.323 --> 02:29:30.945]  The question is where to begin.
[02:29:30.965 --> 02:29:40.237]  I'd say there's, for your viewers who are not familiar with our extensive narrative shaping reporting, go to revolver.news.
[02:29:40.277 --> 02:29:44.362]  We've published a recent piece, a compilation of all our classics.
[02:29:44.782 --> 02:29:48.204]  So if you want to get up to date, if you want to get informed, read it.
[02:29:48.364 --> 02:29:54.448]  If you're already informed, share it with everyone you know, because the truth really does need to get out there.
[02:29:54.488 --> 02:29:57.790]  This narrative war is crucially important.
[02:29:57.871 --> 02:30:00.973]  So please go to revolver.news and share that piece.
[02:30:01.453 --> 02:30:09.126]   I think for now, what I think we should cover For those who haven't heard about Ray Epps, it's such an egregious case.
[02:30:09.466 --> 02:30:18.671]  Here we have the only person caught on video making an explicit call to go into the Capitol in advance.
[02:30:18.791 --> 02:30:20.412]  This is his stated mission.
[02:30:21.653 --> 02:30:28.820]   He states this on January 5th, the day before The so-called insurrection.
[02:30:29.180 --> 02:30:30.520]  And it's not just a one-off.
[02:30:30.580 --> 02:30:35.763]  This isn't just some drunk on the street with a crazy idea, and we don't hear from him again.
[02:30:36.903 --> 02:30:38.904]  He follows through with his stated mission.
[02:30:39.557 --> 02:30:42.358]  On the 6th, he's literally everywhere.
[02:30:42.598 --> 02:30:44.178]  He's a Where's Waldo figure.
[02:30:44.538 --> 02:30:55.381]  And in the Revolver.News piece, you can see the extensive video documentation of how he was everywhere, telling rally goers, after the rally, go to the Capitol.
[02:30:55.461 --> 02:30:56.961]  That's where our problems are.
[02:30:57.441 --> 02:31:05.203]  And sure enough, the same individual is standing right at that critical initial breach site by the metal barricades.
[02:31:05.743 --> 02:31:13.846]   He whispers in someone's ear, Then two seconds later, that person leads the charge breaking down the barricades.
[02:31:13.866 --> 02:31:15.027]  There's the video right there.
[02:31:15.067 --> 02:31:16.767]  He's whispering in his ear right now.
[02:31:16.787 --> 02:31:22.910]  Count one, two, break down the barricades.
[02:31:22.950 --> 02:31:23.510]  There we go.
[02:31:25.191 --> 02:31:34.334]  And of course, at the front of that, it's the four or five people that are fully clad in black with their masks and their hoods on that do it after Ray Epps makes the call.
[02:31:35.390 --> 02:31:35.610]  Right.
[02:31:35.670 --> 02:31:42.275]  And I think it's really important to point out that that initial decisive breach takes place at 1253 p.m.
[02:31:42.876 --> 02:31:46.478]  So that's well before Trump finished giving his speech.
[02:31:47.199 --> 02:31:51.242]  And so we have an individual, Ray Epps, who's from Arizona.
[02:31:51.642 --> 02:31:54.064]  He flew from Arizona to D.C.
[02:31:54.304 --> 02:31:58.127]  practically across the entire country with his Trump hat on.
[02:31:58.883 --> 02:32:13.693]  And yet he flew across the country with a Trump hat, and he's an alleged Trump supporter, and he skips Trump's entire speech in order to carry through with his bizarre mission to go into the Capitol.
[02:32:14.053 --> 02:32:21.458]  And instead of being at the Trump rally, he's there at the barricades, seeming to orchestrate the initial breach of the Capitol.
[02:32:22.236 --> 02:32:25.938]  And right after this, the Feds pretend to be interested in him.
[02:32:25.998 --> 02:32:28.340]  They say they put him on the most wanted list.
[02:32:28.380 --> 02:32:31.402]  He's one of the top 20 people they claim to be interested in.
[02:32:31.822 --> 02:32:34.444]  The Feds say, please help us identify this man.
[02:32:34.884 --> 02:32:36.825]  The Internet identifies him.
[02:32:37.205 --> 02:32:38.246]  The Feds don't care.
[02:32:38.266 --> 02:32:46.872]   And in fact, the next action that the Feds take is the day after Revolver.News publishes a damning report Suggesting FBI involvement in 1.6.
[02:32:47.232 --> 02:32:53.597]  The day after that report comes out, the Feds quietly scrub Ray Epps' name and face from their public database.
[02:32:53.917 --> 02:33:08.888]  And since then, the only pronouncement whatsoever by an FBI agent on Ray Epps has been a FBI Phoenix field office agent denying any acknowledgement that Ray Epps even exists.
[02:33:09.628 --> 02:33:10.889]  Which is incredible.
[02:33:10.989 --> 02:33:12.931]  And that's basically where we are right now.
[02:33:13.838 --> 02:33:14.178]  I see.
[02:33:14.239 --> 02:33:16.620]  Yes, Ray Epps doesn't exist.
[02:33:16.921 --> 02:33:17.381]  Okay.
[02:33:17.781 --> 02:33:26.228]  It's just a figment of our imagination that he was out there 24 hours before it and during it encouraging people to go into the building.
[02:33:26.428 --> 02:33:31.212]  I mean, if this doesn't just prove that something else is at play here, I don't know what else does.
[02:33:31.512 --> 02:33:36.576]  And the reporting that you've done at Revolver.News has been so key in understanding this.
[02:33:36.636 --> 02:33:45.619]   Now, when we come back from this break, I want to get into the Michigan case that's ongoing right now where you had federal agents and provocateurs set up
[02:33:46.653 --> 02:33:49.614]  A group of individuals in Michigan to kidnap the governor.
[02:33:49.734 --> 02:33:50.674]  Federal agents did it.
[02:33:50.754 --> 02:33:51.515]  They got caught.
[02:33:51.895 --> 02:33:53.895]  That case is ongoing right now.
[02:33:53.955 --> 02:33:54.575]  It's important.
[02:33:54.876 --> 02:33:55.936]  We'll discuss that.
[02:33:55.976 --> 02:34:08.620]  And then I'm going to ask Darren the big question, which is, did the Democrats and the federal government and the American regime expect January 6th to actually be a lot worse than it was?
[02:34:09.160 --> 02:34:15.642]  And that's why you see all the lies about it, because they just continued the script, expecting the actual to be major violence.
[02:34:16.784 --> 02:34:21.005]  And it's Darren Beattie with us from Revolver.News doing incredible work.
[02:34:21.045 --> 02:34:23.846]  Thank God for Revolver.News.
[02:34:24.506 --> 02:34:44.570]  Darren, I want to discuss the importance of what happened in Michigan because that case is ongoing and in fact, I have a feeling that the result of that case in Michigan is going to be very important to set a precedent for what we've seen or what we believe we've seen now with January 6th federal agents' involvement.
[02:34:45.110 --> 02:34:55.017]  And so the defendants in that case are arguing that because it was federal agents that provocateured and set up the whole event, which is not an arguable thing, that's on record now.
[02:34:55.117 --> 02:34:58.760]  Federal agents in Michigan set up a group of people to kidnap the governor.
[02:34:59.060 --> 02:35:00.421]  The text, everything had been revealed.
[02:35:00.681 --> 02:35:05.845]  The one lead fed agent of it later abused his wife, beat his wife.
[02:35:06.265 --> 02:35:07.186]  No jail time for him though.
[02:35:07.930 --> 02:35:15.042]  And so the defendants are arguing that that case should be tossed out because it was federal agents that provocateur-ed the whole thing.
[02:35:15.263 --> 02:35:18.709]  So if anything, the federal agents should be going to jail, but somehow they're above the law.
[02:35:19.590 --> 02:35:19.751]  Now...
[02:35:20.928 --> 02:35:24.330]  I think that the Democrats and the federal government in D.C.
[02:35:24.510 --> 02:35:43.279]  is scared because if that case gets tossed out because the federal government orchestrated the whole thing, well now all of a sudden you have a precedent on January 6th with all the January 6th defendants that, oh, if the federal government was in there provocateuring, then all these cases should be tossed out because the federal agents provocateured the whole thing.
[02:35:43.659 --> 02:35:45.380]  Your thoughts on these developments?
[02:35:46.986 --> 02:35:51.970]  Yes, well, the Michigan case is crucial for the American public to understand.
[02:35:52.510 --> 02:36:01.577]  In the very first Revolver News piece that shaped the whole narrative about Fed involvement, we began with the Michigan case, and we did that for a reason.
[02:36:02.197 --> 02:36:15.127]  The Michigan case, even though to the public it's generally referred to as the Michigan kidnapping plot, it also involves a plot to storm the Michigan state capitol.
[02:36:15.825 --> 02:36:22.130]  It involved one of the three main militia groups imputed to 1.6, namely the three percenters.
[02:36:22.810 --> 02:36:37.241]  And as you point out, we now know that this plot was so deeply infested with feds and agents, in fact, the exact number is 12 out of the 26 plotters were either federal informants or agents.
[02:36:37.741 --> 02:36:40.083]  Now that's a hell of an infiltration ratio.
[02:36:40.844 --> 02:36:53.221]   And just as the cherry on top, The head of the Detroit field office who oversaw this infiltration operation, this dry run, if you will, for January 6, his name is Steven DeAntuono.
[02:36:53.942 --> 02:37:19.656]   The day after the plotters were arrested, many of whom were actually feds, as I've stated, the day after the plotters were arrested, FBI Director Wray promotes So in other words, he ran a successful coup against American people in Michigan.
[02:37:19.716 --> 02:37:22.518]  He set up citizens successfully in Michigan.
[02:37:22.538 --> 02:37:23.639]  So they said, hey, good job.
[02:37:23.979 --> 02:37:25.860]  Now let's see you set up people in D.C.
[02:37:25.900 --> 02:37:26.561]  in a bigger event.
[02:37:28.226 --> 02:37:31.667]  Well, not only was it just the same coup, it was the same plot.
[02:37:32.168 --> 02:37:36.069]  The Michigan plot was a plot to storm the Michigan State Capitol.
[02:37:37.250 --> 02:37:38.270]  That's what it was.
[02:37:38.730 --> 02:37:44.493]  It involved one of the three main militia groups imputed to January 6.
[02:37:45.633 --> 02:37:47.814]  It involved the same FBI agents.
[02:37:48.834 --> 02:37:59.849]   And so the fact that we now know incontrovertibly that 12 out of the 26 in Michigan case were feds And their role was not a passive one.
[02:38:00.229 --> 02:38:02.270]  The Feds' role was so active.
[02:38:02.830 --> 02:38:08.873]  One of the federal informants who's now being charged with gun charges and fraud, his name is Steve Robeson.
[02:38:09.153 --> 02:38:12.334]  He's a longtime informant, multiple decades informant.
[02:38:13.655 --> 02:38:19.918]  He was the one constantly prodding, constantly making suggestions, constantly offering to pay for things.
[02:38:20.318 --> 02:38:25.520]  If you look at the details of this case, there's no clear case of entrapment whatsoever.
[02:38:25.942 --> 02:38:35.327]  And that's why the Defense Council wisely has taken up the entrapment defense saying, look, you can't charge my clients with kidnapping and so forth.
[02:38:35.347 --> 02:38:45.092]  This never would have happened had it not been for the persistent, continuous, and proactive involvement on the part of all these feds who have infiltrated these groups.
[02:38:45.872 --> 02:38:56.907]   And what I'm most encouraged about about this is that Attorneys in the January 6 cases are now taking a cue from the Michigan case.
[02:38:57.547 --> 02:39:10.538]  And just recently, an attorney for Kelly Meggs, who is an Oathkeeper defendant, has, on the basis of Revolver News' investigative reporting, used his legal authority to push for a subpoena.
[02:39:12.233 --> 02:39:17.036]  Ray Epps and a number of other individuals with deeply suspicious histories.
[02:39:17.496 --> 02:39:40.791]  And so I find it very encouraging that if the January 6th Committee refuses to do its job, and it's just an exercise in false political theater, that the defense counsels and the attorneys in the January 6th cases will use their legal authority to get to the bottom of these people who seem to be protected inexplicably by the federal government.
[02:39:41.624 --> 02:39:51.821]   Which of course, I don't expect anything more than the political Leanings of the January 6th committee to just politicize the event.
[02:39:51.861 --> 02:39:53.022]  They don't want to find out the truth.
[02:39:53.062 --> 02:39:53.863]  They're not interested in that.
[02:39:53.903 --> 02:39:55.484]  They're just interested in destroying America.
[02:39:55.984 --> 02:39:57.125]  In fact, the committee is illegal.
[02:39:57.265 --> 02:39:59.207]  They don't have the proper number of Republicans on it.
[02:39:59.307 --> 02:40:00.848]  It didn't go through the proper protocols.
[02:40:01.188 --> 02:40:08.273]  Now they're calling up Dick Cheney to speak today, and the liberals praise Dick Cheney, the guy that they hated for destroying the Middle East.
[02:40:08.313 --> 02:40:08.914]  Now they love him.
[02:40:09.314 --> 02:40:10.075]  Incredible stuff.
[02:40:10.575 --> 02:40:20.946]   Now, my final question for you is this, because a neutral observer that Watch the events of January 6th and now are watching the media response, the Democrat response.
[02:40:21.066 --> 02:40:23.447]  A fair neutral observer would say this is insane.
[02:40:23.887 --> 02:40:27.628]  The Democrats and the media's response and lies about this event are insane.
[02:40:28.409 --> 02:40:32.990]  And particularly if you compare and contrast that to the Democrat riots of the summer of 2020.
[02:40:33.470 --> 02:40:37.972]  Not to mention the Ferguson riots and everything else that we've seen Democrats riots and destroy for years.
[02:40:38.032 --> 02:40:51.796]   But specifically Summer riots of 2020, 2 billion plus property damage, thousands of police officers hospitalized, dozens of people dead, many businesses never will be back again, many communities just completely destroyed thanks to the Democrat riots.
[02:40:52.236 --> 02:40:57.157]  And then they say that the January 6th riots were the worst thing they've ever seen, worse than Pearl Harbor, worse than 9-11.
[02:40:57.417 --> 02:41:00.238]  They clearly say that's a lie, but why?
[02:41:00.438 --> 02:41:02.539]  Why would they be such blatant liars?
[02:41:02.639 --> 02:41:05.560]  Why would they be going with such a narrative that's clearly inaccurate?
[02:41:05.880 --> 02:41:08.701]  Why would they be going off such a script that's clearly false?
[02:41:09.401 --> 02:41:18.106]  Do you believe that they had true plans that were much worse than what we saw on January 6th?
[02:41:18.146 --> 02:41:25.791]  Do you think that the federal provocateurs that may have been there actually wanted to see that building burn and actually wanted to see a terrorist attack on January 6th?
[02:41:25.851 --> 02:41:32.815]  That's what they were trying to do, which didn't happen, but now they're just rolling out the narrative and the script anyway because that was the plan?
[02:41:33.135 --> 02:41:35.497]  I don't know how else I could explain that.
[02:41:37.748 --> 02:41:41.412]  That's a very interesting thesis, and I think it could very well be correct.
[02:41:41.532 --> 02:41:58.552]  I mean, once they set the events into motion, once these individuals that I mentioned who are covered extensively in the Revolver News Report, once they create the conditions for this rally to become a riot, the riot takes on a life of its own, and who knows what happens?
[02:41:59.358 --> 02:42:09.221]  And it's just remarkable in the face of all this instigation, all this manipulation, that the Trump crowd is actually just remarkably docile.
[02:42:09.301 --> 02:42:43.563]   From the very beginning, when they just completely rebuff Ray Epps' call to go into the Capitol, and to eventually, some Trump supporters who go into the Capitol just, you know, walking through and taking a picture and leaving, I would say all things considered, It was a remarkably docile experience on the part of your average Trump supporter, and that it's very reasonable to expect that the entities that may have been involved in orchestrating this event, this riot,
[02:42:44.216 --> 02:42:47.399]  Expected there to be far more carnage than there actually was.
[02:42:47.439 --> 02:42:55.746]  Because by the way, there were more, I mean you've seen this too, on video there were more Trump supporters that did more to stop people from breaking into the Capitol than police actually did.
[02:42:55.766 --> 02:43:04.674]  And by the way, I've talked to liberals and leftists that go out to Black Lives Matter riots or Antifa riots who say, hey, there were federal agents out there provocateuring our stuff too!
[02:43:04.714 --> 02:43:05.775]  We didn't want it to get violent.
[02:43:07.277 --> 02:43:07.437]  Right.
[02:43:08.487 --> 02:43:08.687]  Right.
[02:43:08.767 --> 02:43:14.531]  No, and I have no reason to question that, you know, that this is what the Feds do.
[02:43:15.051 --> 02:43:18.553]  And it's one thing for the Feds to infiltrate and quietly observe.
[02:43:18.874 --> 02:43:24.037]  The question is, if they were observing and they knew something would happen, why didn't they stop it?
[02:43:24.457 --> 02:43:29.400]  But unfortunately, I think the overwhelming weight of evidence points to something far more sinister.
[02:43:29.440 --> 02:43:42.358]   And that is, I think, Several of the key players who played proactive roles in orchestrating this event, I believe the overwhelming weight of evidence points to them having some relationship with the federal government.
[02:43:42.658 --> 02:43:43.859]  And that's simply the way it is.
[02:43:44.200 --> 02:43:49.544]  And as shocking and as offensive as it is, this isn't the first rodeo.
[02:43:49.564 --> 02:43:51.986]  Darren J. Beattie, Revolver.News.
[02:43:52.226 --> 02:44:14.193]   You know, I gotta say, today has been a depressing day, not because of what happened a year ago, That was child's play compared to the Democrat riots of 2020 that was responsible for thousands of hospitalizations, dozens of deaths, and billions of dollars in property damage, the most violent riots in U.S.
[02:44:14.213 --> 02:44:15.313]  history, the Democrat riots of 2020.
[02:44:15.954 --> 02:44:21.678]  So I'm not even discussing what took place on January 6th when I talk about how depressing today is.
[02:44:22.299 --> 02:44:26.762]  What's depressing is you see how big of liars our mainstream media is.
[02:44:26.802 --> 02:44:43.491]   You're reminded how How big of liars we have in the media, how big of liars we have in our government, and how brainwashed the general population is that they've reached levels of mental illness that I just, I can't even fathom.
[02:44:45.892 --> 02:44:46.413]  But I see it.
[02:44:46.593 --> 02:44:47.053]  I witness it.
[02:44:47.153 --> 02:44:48.353]  I see the lives of the mainstream media.
[02:44:48.393 --> 02:44:49.654]  I see the lives of our politicians.
[02:44:49.994 --> 02:44:52.896]  I see the mass mental illness of the far left.
