[00:00:00.290 --> 00:00:00.791]  It's here.
[02:19:49.585 --> 02:19:53.406]  You are really missing out if you don't experience what Alpha Power does.
[02:19:53.766 --> 02:19:57.487]  It has improved my life and so many others, just to incredible levels.
[02:19:58.223 --> 02:20:02.589]  All right, ladies and gentlemen, the great Wayne Allen Root is set to take over here in just a few minutes.
[02:20:03.170 --> 02:20:04.812]  I want to thank you all for tuning in today.
[02:20:04.832 --> 02:20:10.280]  Owen Schroer is coming up in T-minus 54 minutes with The War Room.
[02:20:10.920 --> 02:20:14.605]   And I just want to thank all the listeners for their support and tell you, We're up against Soros.
[02:20:14.645 --> 02:20:16.046]  We're up against the Democratic Party.
[02:20:16.346 --> 02:20:25.993]  We're fighting every level we can to get new listeners into the show so they can complete the chain reaction and tell others to tune in so people know about the WEF.
[02:20:26.253 --> 02:20:27.654]  They know about the gun confiscation.
[02:20:27.854 --> 02:20:29.455]  They know about the plans for new lockdowns.
[02:20:29.495 --> 02:20:34.339]  We are fighting hard, as hard as we can, to reach out to people.
[02:20:34.359 --> 02:20:39.763]  And we're asking you, the listeners, to just take these archives, take these live shows, and share the hell out of them.
[02:20:40.945 --> 02:20:46.831]  Also, it's the third coin in the series of the founding member coins.
[02:20:47.312 --> 02:20:54.799]  Everybody that gets this coin and gives us your email will get special discounts, free documentary films, so much stuff we're launching.
[02:20:54.859 --> 02:20:56.541]  You are helping us build the next infrastructure.
[02:20:57.061 --> 02:21:02.061]  infowarestore.com or triple A 253 3139.
[02:21:02.061 --> 02:21:06.900]   There's a big banner on the front page of infowarestore.com, but the URL that takes you
[02:21:06.900 --> 02:21:14.021]   directly there to get it and selling out quick, it'll be sold out very, very soon, is 1776coin.com.
[02:21:14.021 --> 02:21:19.481]  One, seven, seven, six, coin.com or patriotcollectibles.com.
[02:21:19.481 --> 02:21:28.301]   And also we have the big Memorial Day sale running this week, up to 60% off, double patriot points
[02:21:28.301 --> 02:21:31.861]   on so many of the best selling products at infowarestore.com.
[02:21:31.861 --> 02:21:33.421]  So I wanna encourage you all to go there.
[02:21:33.421 --> 02:21:35.582]  And again, thank you for all your support.
[02:21:35.582 --> 02:21:41.582]   You can also make donations at infowares.com/crypto or right there on the front page of infowarestore.com
[02:21:41.582 --> 02:21:44.021]  where it says support free speech, donate today.
[02:21:44.021 --> 02:21:45.140]  Thank you all so much.
[02:21:45.928 --> 02:21:53.445]  Wayne Allen Root of RootForAmerica.com, best-selling author, syndicated columnist, talk show host, you name it, takes over right now!
[02:21:56.405 --> 02:21:57.586]  All right, thank you, Alex.
[02:21:57.626 --> 02:21:59.467]  Wayne Allyn Root, RootForAmerica.com.
[02:21:59.868 --> 02:22:02.529]  And you can always email me, wayneroot at gmail.com.
[02:22:02.549 --> 02:22:03.150]  Love to hear from you.
[02:22:03.170 --> 02:22:06.052]  I get all my best information from my fans.
[02:22:06.092 --> 02:22:17.420]  I get so many great ideas for what I'm going to talk about on my national radio show, on TV shows like this one with Alex Jones, on my social media, on my nationally syndicated newspaper columns.
[02:22:18.001 --> 02:22:33.352]   Moments ago, literally in the last 30 minutes or so, We found out that Hillary Clinton lawyer Michael Sussman, the first person brought to trial by Durham, the prosecutor, John Durham, is acquitted of lying to the FBI.
[02:22:34.113 --> 02:22:37.276]  And you know, I get asked this every day, Wayne, is Durham our savior?
[02:22:37.696 --> 02:22:38.797]  Is Durham the answer?
[02:22:38.817 --> 02:22:40.718]  And I didn't know this was going to happen.
[02:22:40.758 --> 02:22:42.319]  It was pretty clear this guy was guilty.
[02:22:42.940 --> 02:22:43.621]  Pretty clear.
[02:22:43.761 --> 02:22:50.446]  Anyone could see, if you weren't blind, that Michael Sussman was guilty of a massive crime here, fraud and cover up.
[02:22:51.061 --> 02:22:52.102]  But he got found innocent!
[02:22:52.862 --> 02:22:59.928]  And I didn't know that at the time, when I'm asked this question over the last two weeks and I keep saying, No, Durham is not our savior.
[02:23:00.388 --> 02:23:01.849]  No, this is not the answer.
[02:23:02.329 --> 02:23:04.171]  Because the system is corrupt!
[02:23:04.873 --> 02:23:09.835]  The judges are corrupt, the prosecutors are corrupt, and the juries are corrupt.
[02:23:09.855 --> 02:23:12.575]  These trials go on in Washington, D.C.
[02:23:13.076 --> 02:23:18.237]  where 90, something like 97% of voters are registered Democrat.
[02:23:18.737 --> 02:23:21.938]  You can't get a fair jury in Washington, D.C.
[02:23:21.958 --> 02:23:30.361]  to ever prosecute Hillary, Obama, Biden, Kamala, John Kerry, all the criminals out there, or any of their people.
[02:23:30.821 --> 02:23:35.889]   You can't get a fair trial, a fair hearing, So, proof is in now.
[02:23:36.349 --> 02:23:36.789]  You can't.
[02:23:37.710 --> 02:23:40.271]  And then I wanted to read you something very funny here.
[02:23:42.172 --> 02:23:51.576]  FDA official in charge of evaluating new drugs for the FDA, Food and Drug Administration, is hospitalized for a mental disorder.
[02:23:52.536 --> 02:23:54.237]  I could tell you they're all insane.
[02:23:54.938 --> 02:24:09.439]   Basically, the entire Democrat Party is a mixture of radical communist nutjob, mentally ill nutjob, And people who hate America, and people who are just bizarre with bizarre lifestyles.
[02:24:09.860 --> 02:24:16.543]  You know, like Rachel Levine, one of the most important people in healthcare in the United States, is not quite sure, and I'm certainly not sure.
[02:24:16.563 --> 02:24:17.764]  Is it a man?
[02:24:17.784 --> 02:24:18.944]  Is it a woman?
[02:24:19.344 --> 02:24:21.205]  Did they keep their penis and their vagina?
[02:24:21.565 --> 02:24:22.326]  I don't really know!
[02:24:22.826 --> 02:24:24.787]  It's so confusing what Rachel Levine is.
[02:24:25.167 --> 02:24:27.949]  And she's the number two person at Health and Human Services.
[02:24:28.409 --> 02:24:29.409]  That's the left!
[02:24:29.870 --> 02:24:31.130]  They're all crazy!
[02:24:31.490 --> 02:24:32.451]  They're nut jobs!
[02:24:32.951 --> 02:24:39.094]  And mix all that in with their, uh, literally, like, mesmerized, hypnotized by the devil.
[02:24:39.735 --> 02:24:40.655]  There's Rachel Levine.
[02:24:41.255 --> 02:24:42.496]  Is that a man or is that a woman?
[02:24:42.896 --> 02:24:44.517]  To me, that's a man with a wig.
[02:24:45.017 --> 02:24:47.899]  That is an incredibly unattractive man with a wig.
[02:24:48.279 --> 02:24:50.020]  That is the ugliest thing I've ever seen in my life.
[02:24:50.620 --> 02:24:56.103]  That's the number two person in healthcare in the United States who isn't quite sure what's going on down there.
[02:24:56.623 --> 02:24:57.824]  It's so bizarre.
[02:24:58.084 --> 02:24:59.805]  I don't know what to say.
[02:25:00.185 --> 02:25:00.866]  It's bizarre.
[02:25:00.886 --> 02:25:02.467]  I've never been in my life anti-gay.
[02:25:02.827 --> 02:25:03.467]  You want to be gay?
[02:25:03.527 --> 02:25:04.008]  I love you.
[02:25:04.048 --> 02:25:04.728]  Go be gay.
[02:25:05.088 --> 02:25:06.269]  In the privacy of your own home.
[02:25:06.589 --> 02:25:07.550]  Be as gay as you want.
[02:25:07.570 --> 02:25:08.491]  Be as lesbian as you want.
[02:25:08.811 --> 02:25:09.991]  Be as transsexual as you want.
[02:25:10.332 --> 02:25:10.932]  I don't care.
[02:25:11.392 --> 02:25:13.173]  But stop shoving it in our faces.
[02:25:13.554 --> 02:25:16.195]  Stop trying to teach kindergartners that it's okay.
[02:25:16.736 --> 02:25:17.416]  It's all weird.
[02:25:18.497 --> 02:25:22.019]  This whole new obsession with transgenderism is weird.
[02:25:22.685 --> 02:25:36.014]  But there's so many mentally ill people and so many people owned by the devil in the Democrat Party now, and the top official at the FDA in charge of evaluating new drugs is hospitalized for a mental disorder.
[02:25:36.594 --> 02:25:37.615]  Isn't that perfect?
[02:25:38.135 --> 02:25:38.996]  Par for the course.
[02:25:39.436 --> 02:25:44.480]  It backs up everything I've said about the people who have been saying the vaccine is great.
[02:25:44.880 --> 02:25:46.862]  The vaccine is fine for pregnant women.
[02:25:47.222 --> 02:25:49.324]  Well, all the pregnant women have miscarriages.
[02:25:49.644 --> 02:25:51.265]  The vaccine's fine for children.
[02:25:51.645 --> 02:26:00.292]  Well, children that are breastfed are dying and are getting diseases we never imagined possible because their mom that they're breastfeeding from is vaccinated.
[02:26:00.832 --> 02:26:08.432]   It's all lies, corruption, mental illness, and an evil, obviously an evil mass murder plot,
[02:26:08.432 --> 02:26:11.771]   but that's put together by the devil or people who worship the devil,
[02:26:11.771 --> 02:26:16.971]   because I've never seen normal humans who'd be willing to kill little babies like this.
[02:26:16.971 --> 02:26:21.952]   They've gone from abortion murder, you know, during the pregnancy in the womb,
[02:26:21.952 --> 02:26:26.092]   to abortion murder after a baby's born, at the moment of birth,
[02:26:26.092 --> 02:26:30.832]   to abortion murder a week after birth, I'm sure it'll be a month after birth,
[02:26:30.832 --> 02:26:36.371]   but they're also using the vaccines to kill babies in breastfeeding mothers.
[02:26:36.551 --> 02:26:40.534]  And to give the vaccine to babies that will kill them or maim them for life?
[02:26:40.955 --> 02:26:46.699]  Then there's the baby formula shortage that was purposely concocted by the government.
[02:26:47.039 --> 02:26:49.762]  Biden knew about it and did nothing and announced nothing.
[02:26:50.122 --> 02:26:59.990]  Now there's mile-long lines over the weekend in Michigan, and I'm sure all over the United States, but I saw the mile-long line in Michigan of parents waiting in line to get baby formula so their kids don't die.
[02:27:01.151 --> 02:27:11.017]  The Democrat Party must stay up at night late thinking of new ways to murder babies and to kill off the population and to make all of us sick!
[02:27:12.236 --> 02:27:13.377]  It'll cripple disabled.
[02:27:13.837 --> 02:27:16.780]  It's just sick and the numbers are coming out.
[02:27:17.220 --> 02:27:23.966]  This vaccine is not just death for the average person, death for the working age person who is mandated to take it.
[02:27:24.366 --> 02:27:26.328]  It's death for babies.
[02:27:26.808 --> 02:27:31.672]  The amount of miscarriages, my gosh, and the amount of children are getting sick.
[02:27:32.112 --> 02:27:33.473]  The new hepatitis outbreak!
[02:27:33.813 --> 02:27:42.919]  I'd be willing to bet you any amount of money the new hepatitis outbreak is tied to all women who are breastfeeding and they've been vaccinated and the vaccine is coming to the babies.
[02:27:43.339 --> 02:27:57.348]  I just saw proof over the weekend in the Pfizer pre-trials, which were filled with fraud by the way, and they covered up all the deaths and all the injuries, but they tried to say that pregnant women it's okay and breastfeeding moms it's okay.
[02:27:57.749 --> 02:28:01.211]  Well, they showed in the pre-trials that the babies all died!
[02:28:02.395 --> 02:28:03.657]  Miscarriage is left and right.
[02:28:03.937 --> 02:28:05.499]  I think it was 82% miscarriage.
[02:28:05.940 --> 02:28:08.103]  And then they showed one woman, one.
[02:28:08.704 --> 02:28:10.166]  I'm sure they'll say that's a freak stat.
[02:28:10.767 --> 02:28:16.014]  One woman who was vaccinated in the trial, who was breastfeeding, her breast milk came out blue.
[02:28:16.534 --> 02:28:17.315]  And the baby died.
[02:28:18.704 --> 02:28:21.066]  I wonder if there's a tie between those two things.
[02:28:21.767 --> 02:28:22.268]  You think?
[02:28:22.728 --> 02:28:23.149]  Maybe?
[02:28:23.649 --> 02:28:27.514]  You think maybe we're in a period of mass murder by the medical establishment?
[02:28:28.034 --> 02:28:29.276]  This is crazy!
[02:28:29.676 --> 02:28:35.303]  I'm the guy who wrote the column that's been out there and has gone viral all over the country about, I finally figured out COVID.
[02:28:35.703 --> 02:28:41.688]  And it's all about greed, and they've convinced all the doctors, and they've convinced all the medical professionals, and all the scientists.
[02:28:41.948 --> 02:28:45.290]  They convinced them all the vaccine was fine, based on the trials.
[02:28:45.751 --> 02:28:47.052]  The trials were all fraud.
[02:28:47.452 --> 02:28:50.314]  The trials were all covered up, and the doctors didn't know it.
[02:28:50.334 --> 02:28:54.797]  Now that they found out, the doctors don't want to say anything, because they're afraid they'll get sued.
[02:28:55.138 --> 02:28:56.739]  So everybody's covering it up.
[02:28:57.279 --> 02:29:01.127]  Wayne Allyn Root will be right back more with War on the Alex Jones Show.
[02:29:01.167 --> 02:29:02.129]  Always an honor to be with you.
[02:29:02.470 --> 02:29:03.612]  Rootforamerica.com.
[02:29:03.973 --> 02:29:04.955]  Wayne Root at gmail.com.
[02:29:05.275 --> 02:29:06.458]  See you in a sec.
[02:29:07.372 --> 02:29:08.874]  All right, Wayne Allyn Root, welcome back.
[02:29:08.894 --> 02:29:10.756]  This is what you call Instant City or Pants.
[02:29:11.257 --> 02:29:12.298]  Television in the break.
[02:29:12.358 --> 02:29:21.990]  I was letting all my fans know at my Getter page and at my MeWe page, my Gab page, and my Parlor page that I'm on New Full Wars Live right now.
[02:29:22.050 --> 02:29:26.816]  I did not let anyone know on my two Facebook pages, my personal and my fan page.
[02:29:27.436 --> 02:29:32.159]  Because they'll probably ban me the minute they hear the word InfoWars for Alex Jones.
[02:29:32.699 --> 02:29:34.280]  I mean, Twitter's banned me for life.
[02:29:34.741 --> 02:29:39.904]  Facebook is shadow banning the F out of me so that almost no one can see me on Facebook.
[02:29:40.244 --> 02:29:43.926]  But anytime I mention anything about Alex Jones, that's it.
[02:29:43.986 --> 02:29:44.207]  Boom.
[02:29:44.507 --> 02:29:45.367]  Suspended for a week.
[02:29:45.467 --> 02:29:46.908]  I mean, it's a joke.
[02:29:47.389 --> 02:29:49.270]  The amount of censorship out there, it's a joke.
[02:29:50.071 --> 02:29:52.858]  And it's sad, and it's depressing, and it's a reality.
[02:29:53.360 --> 02:29:57.390]  As a matter of fact, I'm sure I've mentioned this on the Alex Jones Show, but I want to mention it again.
[02:29:58.268 --> 02:30:10.135]  How many of you remember that a few months back it became a fact that Newsmax TV and Fox News took millions of dollars from the federal government as bribes, literally.
[02:30:10.455 --> 02:30:12.717]  I'm sure they couched them as advertising deals.
[02:30:13.137 --> 02:30:23.023]  But the government said, if we give you $5 million to advertise the vaccine, will you get rid of all anti-vaccine hosts and all anti-vaccine guests and make sure you vaccinate the whole staff?
[02:30:24.472 --> 02:30:28.897]  This has really gone on in America at Fox News and at Newsmax TV.
[02:30:29.377 --> 02:30:36.864]  So there's nobody left but people like Wayne Root and Alex Jones and a rare few others to tell you the truth.
[02:30:37.425 --> 02:30:38.186]  It's incredible.
[02:30:38.946 --> 02:30:52.648]   And by the way, soon there literally will be no one left because you can guess that most of the hosts of Fox News and Newsmax will be dead or maimed for you know, for the rest of their lives, very soon, very soon
[02:30:52.648 --> 02:30:56.299]   could mean tomorrow, it could mean a month from now, it could mean a year from now. We don't
[02:30:56.299 --> 02:31:03.170]   know and I don't know, because there were no vaccine trials. They ended all semblance of a real trial.
[02:31:03.170 --> 02:31:05.509]  There was no control group.
[02:31:05.509 --> 02:31:10.869]   We have no idea whether everybody dies, some people die, some people never die,
[02:31:10.869 --> 02:31:16.229]   or eventually everybody's crippled, maimed, disabled, or die from these vaccines.
[02:31:16.382 --> 02:31:20.444]  But we know there's a mass die-off very quickly after you get vaccinated.
[02:31:20.844 --> 02:31:25.586]  We know there's a mass die-off a day later, two days later, a week later, two weeks later.
[02:31:26.026 --> 02:31:30.088]  And then some people die slowly but surely over time, but it's only been a year now.
[02:31:31.288 --> 02:31:37.971]  And so we don't even know when the mass die-off, the mass, mass die-offs could happen, but the numbers are staggering.
[02:31:38.885 --> 02:31:51.699]  Today we found out numbers released by Alabama, the state of Alabama, show that people under the age of 65 are dying right now much faster at a higher rate than people over the age of 65.
[02:31:52.861 --> 02:31:55.724]  When has this ever happened in the history of America?
[02:31:55.764 --> 02:31:59.308]  And wait a minute, hold on, I gotta show you the seventh card.
[02:31:59.932 --> 02:32:05.635]  And it's only happened since 2021 when the COVID vaccine came into effect.
[02:32:05.715 --> 02:32:06.435]  It was mandated.
[02:32:06.856 --> 02:32:13.859]  The year 2021 on, people under the age of 65 have died in higher numbers than people over the age of 65.
[02:32:14.700 --> 02:32:20.143]  When in history have young people died in higher numbers faster than old people?
[02:32:20.203 --> 02:32:20.463]  When?
[02:32:20.623 --> 02:32:20.923]  Never!
[02:32:21.583 --> 02:32:22.764]  Except with this vaccine.
[02:32:24.145 --> 02:32:24.605]  Incredible.
[02:32:25.026 --> 02:32:25.826]  So I want to finish up.
[02:32:25.986 --> 02:32:30.449]  FDA official in charge of evaluating new drugs hospitalized for mental disorder.
[02:32:30.489 --> 02:32:31.690]  I started this in the last segment.
[02:32:32.190 --> 02:32:44.798]  Dr. Jeffrey Siegel, I had to give you his name, Director of the FDA's Office of Drug Evaluation Sciences, was transported from his home to a hospital for mental disorder at 3 a.m.
[02:32:44.998 --> 02:32:52.163]  on May 9th, according to Montgomery County, Maryland, police dispatch logs reviewed by the Daily Wire.
[02:32:53.436 --> 02:32:55.098]  So this is not me making up.
[02:32:55.398 --> 02:32:56.399]  This is not hearsay.
[02:32:56.419 --> 02:32:57.320]  This is not rumor.
[02:32:57.340 --> 02:33:01.223]  This is from police logs from Montgomery County, Maryland.
[02:33:01.844 --> 02:33:02.885]  The guy is nuts.
[02:33:03.605 --> 02:33:04.947]  But let's say I'm an opinion host.
[02:33:05.427 --> 02:33:07.249]  This is an opinion show and it's my opinion.
[02:33:07.669 --> 02:33:09.170]  The guy is freaking loony.
[02:33:09.631 --> 02:33:09.931]  Nuts.
[02:33:11.673 --> 02:33:13.995]  And he's in charge of evaluating new drugs for the FDA.
[02:33:14.702 --> 02:33:17.303]  I'm sure he was the head guy to evaluate vaccines for the FDA.
[02:33:17.983 --> 02:33:19.324]  Oh, this vaccine is perfect!
[02:33:19.684 --> 02:33:22.025]  Excuse me while I go back to my medical institution.
[02:33:22.525 --> 02:33:25.006]  This is what you're dealing with!
[02:33:25.646 --> 02:33:29.308]  I know this is all funny, it's like a Saturday Night Live routine, but it's the truth!
[02:33:30.034 --> 02:33:30.814]  They're nuts!
[02:33:31.915 --> 02:33:33.736]  And they're obviously suicidal.
[02:33:33.936 --> 02:33:37.717]  Or, maybe they're not so nuts, and they're not so suicidal.
[02:33:37.737 --> 02:33:38.538]  I mean, this guy is.
[02:33:39.158 --> 02:33:48.702]  Dr. Jeffrey Siegel may be nuts and suicidal, but obviously the ones who run the COVID vaccine manufacturing companies at Big Pharma may not be that nuts.
[02:33:49.183 --> 02:33:52.964]  Because this was the big story this weekend that I had to bring up right now.
[02:33:54.285 --> 02:33:58.907]  Big Pharma boss caught faking his COVID vaccine.
[02:33:59.620 --> 02:34:03.442]  Injected himself with salt water, now facing criminal charges.
[02:34:04.283 --> 02:34:20.711]  So, according to police, they've charged Jose Maria Fernandez Sousa Farah, the president of European pharmaceutical giant PharmaMar, with being falsely vaccinated against COVID-19.
[02:34:21.432 --> 02:34:28.936]  He paid somebody in a position to give him a fake vaccine so he'd have a vaccine card so he could tell everyone he's vaccinated.
[02:34:30.305 --> 02:34:45.454]  And it turns out he's one of 2,200 celebrities, athletes and European big shots who were not vaccinated but claimed they were and got fake vaccine cards, according to a list compiled by the National Police.
[02:34:46.194 --> 02:34:47.335]  This is in Spain.
[02:34:48.835 --> 02:34:52.137]  And he's president of a company that makes the vaccine.
[02:34:53.098 --> 02:34:54.959]  So why didn't he want the vaccine?
[02:34:55.819 --> 02:35:03.185]  There's got to be a reason that the president of a big pharma company, a billion dollar giant, doesn't want the vaccine.
[02:35:03.725 --> 02:35:04.766]  Something's up here, right?
[02:35:04.866 --> 02:35:05.346]  Duh.
[02:35:05.867 --> 02:35:07.048]  It's not too hard to figure out.
[02:35:07.708 --> 02:35:16.415]  I've been telling you for a year and a half now, 18 months, vaccine was available in December 2020 and then in mass in the first quarter of 2021.
[02:35:16.795 --> 02:35:21.553]   And I've been telling you from the moment it came out, Don't take it, don't take it, don't take it.
[02:35:21.573 --> 02:35:24.856]  But unlike government, you can't sue me for saying don't take it.
[02:35:24.876 --> 02:35:26.698]  I'm not forcing you at gunpoint.
[02:35:27.078 --> 02:35:30.701]  I'm giving you my opinions and you can take them or leave them.
[02:35:31.142 --> 02:35:40.930]  Government, on the other hand, puts their boot on your neck like a bunch of Nazis or Gestapo or KGB or East German Stasi and they lie to you.
[02:35:41.010 --> 02:35:42.091]  They commit fraud.
[02:35:42.852 --> 02:35:45.394]  They withhold information you need to know.
[02:35:46.553 --> 02:35:49.498]  They cover up real deaths and real injuries?
[02:35:49.998 --> 02:35:54.866]  They intimidate doctors so doctors cannot tell you anything's wrong and they'll lose their license?
[02:35:55.346 --> 02:35:57.590]  You know, here's something I'm gonna inform you about most people don't know.
[02:35:58.385 --> 02:36:01.006]  Doctors are human beings just like you and me.
[02:36:01.567 --> 02:36:04.548]  And just like you and me, they need their income.
[02:36:04.588 --> 02:36:05.709]  Most doctors are broke.
[02:36:05.749 --> 02:36:06.309]  Did you know that?
[02:36:06.810 --> 02:36:11.092]  Almost every doctor makes like now, used to be like a million dollars a year, half a million a year.
[02:36:11.592 --> 02:36:13.573]  Now because of Obamacare, they've been cut in half.
[02:36:13.974 --> 02:36:17.275]  So doctors now make about $150 to $250 a year.
[02:36:17.315 --> 02:36:20.397]  Do you know what a PA makes, a physician's assistant?
[02:36:20.417 --> 02:36:22.798]  $150 a year for not going to medical school.
[02:36:23.199 --> 02:36:27.081]  Most doctors barely or don't at all make as much money as a PA.
[02:36:27.682 --> 02:36:36.925]  But even if they make more and they make $250,000 or $500,000, they live on that money each year, spend it, and then with kids in college, next year they've got to make it again!
[02:36:37.549 --> 02:36:47.658]  You take a doctor living in a nice house or even a mansion with a fancy car or two in the driveway and two kids in college, he needs his $250,000 income to keep doing that.
[02:36:48.019 --> 02:36:51.902]  So if he loses his license, his family's ruined, his kids have to drop out of college.
[02:36:52.243 --> 02:36:59.970]  Instead of driving a Mercedes or a Porsche, he'll be driving a Yugo pretty soon and he'll be collecting unemployment insurance and he won't be able to eat.
[02:37:00.709 --> 02:37:03.893]  So of course doctors are scared of losing their medical license.
[02:37:04.434 --> 02:37:09.540]  If you say anything about the vaccine killing people, you'll be up on charges and lose your license.
[02:37:10.020 --> 02:37:18.651]  If you say anything or dare to prescribe ivermectin or hydroxychloroquine or mention vitamins, you'll be up on charges and lose your license.
[02:37:19.311 --> 02:37:22.734]  All of those are the only things that work against COVID.
[02:37:23.095 --> 02:37:32.423]  All the experts tell me, all the holistic experts, vitamins work, vitamin D works dramatically, vitamin C works, zinc works, quercetin works, ivermectin, hydroxychloroquine work.
[02:37:32.784 --> 02:37:34.886]  If you mention them, you lose your medical license.
[02:37:35.506 --> 02:37:36.947]  Incredible times we live in.
[02:37:36.967 --> 02:37:38.549]  All right, we're headed to a break.
[02:37:39.341 --> 02:37:41.082]  Rootforamerica.com is my website.
[02:37:41.403 --> 02:37:43.484]  Waynerootatgmail.com is my email.
[02:37:44.024 --> 02:37:46.506]  And my book, The Great Patriot Protest, a boycott book.
[02:37:46.786 --> 02:37:47.407]  We'll be right back.
[02:37:47.447 --> 02:37:48.788]  Wayne Eller Root, Alex Jones Show.
[02:37:50.080 --> 02:37:53.002]  There's my book, The Great Patriot Protest and Boycott Book.
[02:37:53.062 --> 02:37:55.883]  It's not just a book, it's a resource guide.
[02:37:56.223 --> 02:38:01.786]  It's got all the information on the 116 most woke liberal companies in America that you need to boycott.
[02:38:02.166 --> 02:38:06.588]  Stop buying their products and contact them and let them know why you're not buying their products anymore.
[02:38:06.828 --> 02:38:10.810]  Because they're liberal, they're woke, they're stupid, they're ignorant, and they're destroying America.
[02:38:11.131 --> 02:38:12.291]  And you need to put them out of business.
[02:38:12.611 --> 02:38:13.972]  But you need to tell them why.
[02:38:14.392 --> 02:38:16.253]  In other words, you can't just stop buying Disney.
[02:38:16.533 --> 02:38:16.993]  That's good.
[02:38:17.013 --> 02:38:22.234]  I mean, I can't wait for the next quarterly report by Disney that shows their business is down by 25 percent.
[02:38:22.534 --> 02:38:23.155]  That'll be great.
[02:38:23.995 --> 02:38:25.295]  15 percent, 40 percent.
[02:38:25.335 --> 02:38:25.675]  I don't know.
[02:38:26.015 --> 02:38:27.536]  It'll range, but it'll be good.
[02:38:27.556 --> 02:38:28.196]  It'll be down.
[02:38:28.616 --> 02:38:31.517]  But you need to send them a note to let them know why.
[02:38:31.957 --> 02:38:33.177]  You're not buying for them anymore.
[02:38:33.477 --> 02:38:36.358]  And that will make sure the CEO gets in the back of his mind.
[02:38:36.758 --> 02:38:44.140]  And I give you the CEO's name, the board of directors name, all the information you need to contact them, phone number, email, social media, etc.
[02:38:44.441 --> 02:38:46.101]  Great Patriot Protest, the boycott book.
[02:38:46.441 --> 02:38:46.641]  All right.
[02:38:46.981 --> 02:38:50.762]  So I wrote a column that was my nationally syndicated newspaper column.
[02:38:50.782 --> 02:38:53.483]  You find things like this on my website, Root for America.
[02:38:53.923 --> 02:38:54.763]  And I want to read it to you.
[02:38:54.803 --> 02:38:58.244]  It came out this weekend as syndicated around the country by Creator Syndicate.
[02:38:58.685 --> 02:39:04.969]   The 14 lessons Every conservative patriot learned from the tragic Texas school shooting.
[02:39:05.669 --> 02:39:11.073]  Hint, Democrats will be shocked and horrified by the things we believe in.
[02:39:12.895 --> 02:39:15.497]  Everyone has heard about the terrible tragic Texas school shooting.
[02:39:15.997 --> 02:39:20.781]  As usual, Democrats see this as an opportunity to blame guns and Republicans.
[02:39:21.494 --> 02:39:25.495]  They will demand gun ban, strict gun control, and gun confiscation.
[02:39:26.016 --> 02:39:26.776]  So what else is new?
[02:39:27.116 --> 02:39:29.977]  And I didn't add this to the article, but I could add it right now on TV.
[02:39:30.477 --> 02:39:40.821]  Thank goodness he wasn't white, because if the killer was white instead of Hispanic, this would be an anti-white rage by Democrats, in addition to guns and Republicans.
[02:39:41.941 --> 02:39:45.603]  Like, Democrats pray all day and night that every killer will be white.
[02:39:46.083 --> 02:39:47.464]  Every mass shooter will be white.
[02:39:47.904 --> 02:39:54.667]  Never mentioning that in every big city in America, almost every murder is of an innocent black person by a black criminal.
[02:39:55.007 --> 02:39:58.048]  Never mentioning that, you know, 19 dead kids is horrible!
[02:39:58.548 --> 02:39:59.069]  Horrible!
[02:39:59.169 --> 02:40:00.509]  It's unthinkable!
[02:40:00.929 --> 02:40:02.610]  There's no one that could condone it.
[02:40:02.650 --> 02:40:04.711]  There's no one that could say it's not a big deal.
[02:40:04.731 --> 02:40:06.912]  There's no one that could say, ah, we'll move past it.
[02:40:08.072 --> 02:40:08.813]  19 dead kids!
[02:40:09.253 --> 02:40:11.794]  So let me say, that's horrendous!
[02:40:13.495 --> 02:40:15.216]  It's mind-blowing how horrible it is.
[02:40:15.836 --> 02:40:21.619]  But, every single weekend in Chicago, 75 people get shot and 19 of them are dead!
[02:40:21.959 --> 02:40:22.680]  And they're all black!
[02:40:23.140 --> 02:40:24.541]  Is that maybe an issue?
[02:40:24.921 --> 02:40:26.081]  Is that not mass murder?
[02:40:26.422 --> 02:40:33.085]  It's just by 75 separate shooters, and the 19 dead are 19 separate shooters, instead of one mass shooting by one shooter.
[02:40:33.715 --> 02:40:42.662]  So this goes on every weekend in every big city in America, and there's no Black Lives Matter protest, no liberal protest, no President Biden says nothing about it.
[02:40:43.442 --> 02:40:44.943]  No Democrat says anything about it.
[02:40:45.283 --> 02:40:47.285]  The Democrats in the district say nothing about it.
[02:40:47.605 --> 02:40:48.846]  No one does anything about it.
[02:40:49.506 --> 02:40:53.990]  It's far worse when you add it up in every city across 365 days each year.
[02:40:54.510 --> 02:40:59.334]  Far worse than the few, thank God, mass murders in America.
[02:40:59.354 --> 02:40:59.754]  What are they like?
[02:41:00.274 --> 02:41:03.478]  Fifteen a year that make the news that really are mass murders.
[02:41:03.818 --> 02:41:07.442]  They consider liberals anything like two or more is a mass murder.
[02:41:07.742 --> 02:41:09.084]  But I'm saying what makes the news?
[02:41:09.164 --> 02:41:09.944]  Ten people shot.
[02:41:10.265 --> 02:41:10.986]  Fifteen shot.
[02:41:11.426 --> 02:41:11.967]  Ten dead.
[02:41:12.047 --> 02:41:12.587]  Twenty dead.
[02:41:13.188 --> 02:41:14.609]  There's a few of those each year.
[02:41:15.050 --> 02:41:15.650]  Horrible!
[02:41:16.171 --> 02:41:16.712]  Horrible!
