[00:00:00.149 --> 00:00:00.549]  It's on.
[02:21:02.384 --> 02:21:19.624]   Whether the vaccines have any additional impact in terms of Crippling their immune systems is certainly up for debate, but there's no debate that lockdown has weakened children's immune systems and made them more prone to all these other viruses.
[02:21:20.224 --> 02:21:32.329]  The professor went on to say, quote, this means they could be more at risk of developing hepatitis because their immune response is weaker to the virus because of this absolute hysterical panic.
[02:21:33.018 --> 02:21:52.736]  About keeping kids away from each other, despite the fact, for example, in the UK, even during the height of the coronavirus pandemic, children under the age of 15 were more likely to be killed by falling over putting their pants on than from COVID-19 virus itself.
[02:21:53.537 --> 02:21:57.621]  But now they are at risk for all these other horrible viruses.
[02:21:58.231 --> 02:22:14.418]  Now in this CNBC article, which completely failed to mention that health experts in the UK have already explained this, it's due to lockdowns that they supported, they said the CDC is still conducting lab tests to see if the COVID virus might also be a possible cause.
[02:22:14.878 --> 02:22:22.761]  Every time there's a new outbreak of some weird virus that they can't explain, they always blame it on COVID itself.
[02:22:23.556 --> 02:22:32.280]  Despite the fact that the children impacted in the initial cluster of cases in Alabama in this hepatitis outbreak did not have COVID-19.
[02:22:32.340 --> 02:22:34.101]  So they're studying the wrong thing.
[02:22:34.521 --> 02:22:38.823]  They should be studying the drastic consequences of lockdown.
[02:22:39.843 --> 02:22:42.885]  And again, it's not just physical health, it's mental health.
[02:22:43.545 --> 02:23:01.602]   We had an article last week where the Royal Society Open Science Journal Found that lockdowns in the UK caused around 60,000 children to suffer clinical depression, and of course those are only the numbers who are being vocal about it, who are going to doctors, therapists, getting treatment for it.
[02:23:02.083 --> 02:23:05.005]  The actual number is probably far higher.
[02:23:06.186 --> 02:23:22.442]   We featured before a prominent study by Johns Hopkins University Concluding that global lockdowns have had a much more detrimental impact on society than they have produced any benefit, with researchers urging they are ill-founded and should be rejected as a pandemic policy instrument.
[02:23:22.883 --> 02:23:25.747]  Yet, what is the WHO out doing today?
[02:23:26.454 --> 02:23:30.776]  Making lockdowns part of official pandemic guidance.
[02:23:31.496 --> 02:23:44.961]  Again, despite the fact that Sweden did not impose any strict lockdown measures or mask mandates at any step of the way and their mortality rate per capita was one of the lowest in Europe.
[02:23:45.401 --> 02:23:50.603]  What they did worked and everyone ignored it because the technocrats need that power.
[02:23:50.903 --> 02:23:53.224]  They need that precedent to lock us down again.
[02:23:54.045 --> 02:23:56.406]  Who knows what they're going to do with this monkeypox thing?
[02:23:57.286 --> 02:24:12.491]  Again, despite the fact that it's not very infectious at all, the media's slowly building up that drumbeat of panic around monkey virus to probably try and get the mask mandates back in place, despite the fact that that doesn't even stop it from being transmitted.
[02:24:13.636 --> 02:24:16.998]  WHO to make lockdowns part of official pandemic guidance.
[02:24:17.098 --> 02:24:26.725]  Daily Skeptic reports the World Health Organization is to make lockdowns and other non-pharmaceutical interventions intended to curb viral spread of the official pandemic guidance.
[02:24:27.465 --> 02:24:43.296]  So again, they're taking what didn't work, what caused disastrous consequences in terms of mental health, physical health, the economy, poverty, and they just said we're going to apply it once again when the next pandemic comes along, which Bill Gates has obviously promised.
[02:24:44.399 --> 02:24:46.203]  Now I made a video about this yesterday.
[02:24:47.326 --> 02:25:11.585]   I'm still seeing parents with baby strollers with prams Either the parents are still wearing masks, literally four months after all legal mask mandates ended in England, and in some cases the kids are still wearing masks too, despite the known cognitive disorders that they're causing for a generation of babies and toddlers.
[02:25:11.625 --> 02:25:14.687]  This video is called, They Just Won't Stop.
[02:25:14.887 --> 02:25:15.328]  Here it is.
[02:25:16.223 --> 02:25:23.085]  More evidence emerging of the tremendous damage that lockdowns and other restrictions have had on the cognitive development of infants.
[02:25:23.125 --> 02:25:27.847]  This time it's the Royal College of Speech and Language Therapists sounding the alarm bell.
[02:25:27.907 --> 02:25:36.389]  The Telegraph reports, Experts said that repeated lockdowns had left young children without the chance to play and learn how to communicate, setting back their development.
[02:25:36.469 --> 02:25:44.852]  Assessments show that one in five children are not meeting expected standards by age two and a half, with thousands likely to need help such as speech and language therapy.
[02:25:44.952 --> 02:25:47.714]  A recent report by Ofsted came to a similar conclusion.
[02:25:47.754 --> 02:25:57.201]  Investigators found that infants who were surrounded by adults wearing face masks for much of the past two years has damaged their learning and communication abilities.
[02:25:57.321 --> 02:26:05.727]  Those turning two, quote, will have been surrounded by adults wearing masks for their whole lives and have therefore been unable to see lip movements or mouth shapes as regular.
[02:26:05.767 --> 02:26:08.969]  The restrictions also left toddlers struggling with crawling.
[02:26:09.489 --> 02:26:12.391]  Using the toilet independently and making friends.
[02:26:12.451 --> 02:26:15.532]  Therapists are unable to keep up with the demand.
[02:26:15.572 --> 02:26:24.517]  They're being flooded with one speech therapist reporting a 364% increase in patient referrals of babies and toddlers.
[02:26:24.557 --> 02:26:31.061]  Jacqueline Teague says during this pandemic her speech therapy clinic has seen an enormous shift in the ages of their patients.
[02:26:31.661 --> 02:26:35.386]  Before the pandemic, only 5% of patients were babies and toddlers.
[02:26:35.746 --> 02:26:37.268]  Today, it has soared to 20%.
[02:26:38.871 --> 02:26:41.314]  Many parents calling it COVID-delayed.
[02:26:41.714 --> 02:26:48.884]  We've seen a 364% increase in patient referrals of babies and toddlers from pediatricians and parents.
[02:26:49.921 --> 02:26:53.025]  And they are children that are having a difficult time speaking.
[02:26:53.226 --> 02:26:53.886]  Speech delayed.
[02:26:54.327 --> 02:26:57.752]  Babies start learning how to speak by reading lips as young as eight months.
[02:26:58.352 --> 02:27:01.877]  So what happens when lips and faces are covered up by masks?
[02:27:02.017 --> 02:27:04.180]  We're seeing a lot of things that look just like...
[02:27:04.921 --> 02:27:05.361]  Autism.
[02:27:05.602 --> 02:27:11.166]  They're not making any word attempts and not communicating at all with their family.
[02:27:11.206 --> 02:27:19.892]  Another study out of Germany found that the reading ability of children has plummeted compared to pre-corona times thanks to lockdown policies that led to the closure of schools.
[02:27:19.992 --> 02:27:28.698]   And even here in England where there haven't been any face mask restrictions in place for months, I still see masked And we have yet more research out on this today.
[02:27:28.758 --> 02:27:30.299]  Again, this is out the Daily Skeptic.
[02:27:30.179 --> 02:27:34.898]   parents would have at least questioned what impact constantly covering their face has
[02:27:34.898 --> 02:27:42.139]   had on their own children. But apparently not. And they just won't stop.
[02:27:42.139 --> 02:27:47.419]   And we have yet more research out on this today. Again, this is out the Daily Skeptic.
[02:27:47.419 --> 02:27:51.119]  Youngest children most harmed by lockdowns research finds.
[02:27:51.119 --> 02:27:54.639]   The youngest children have been most affected by lockdowns and school closures during
[02:27:54.639 --> 02:27:58.779]   the COVID pandemic, with new research finding the educational progress and social
[02:27:58.779 --> 02:28:04.779]   development of four and five year olds suffered severely during their first year at school.
[02:28:04.794 --> 02:28:06.336]  Aggressive behaviour!
[02:28:06.836 --> 02:28:12.580]  Such as biting and hitting feelings of struggling in class, of being overwhelmed, are now commonplace.
[02:28:12.660 --> 02:28:15.601]  They've wrecked an entire generation of children.
[02:28:15.921 --> 02:28:17.783]  Who's going to take responsibility for it?
[02:28:18.103 --> 02:28:23.226]  And who's going to stand up to the WHO and say, no, we're not going to lock down again.
[02:28:23.506 --> 02:28:24.587]  It was a disaster.
[02:28:24.927 --> 02:28:26.308]  It's not happening again.
[02:28:26.388 --> 02:28:26.808]  We'll be back.
[02:28:27.816 --> 02:28:49.710]  Well, the Deep State suffered a big blow yesterday when it was forced to suspend its creepy Ministry of Truth disinformation board, and they said they did so on the premise that the right wing, the conservative media, had engaged in a coordinated campaign of disinformation to mischaracterize the true intention of this body.
[02:28:50.411 --> 02:28:57.115]  Which, again, is quite ironic given it was headed up, or planned to be headed up, by Nina Jankowicz.
[02:28:57.927 --> 02:29:00.808]  Dubbed the Mary Poppins of disinformation.
[02:29:01.248 --> 02:29:08.970]  Somebody who has a history replete with pushing the most egregious disinformation you could ever imagine.
[02:29:09.010 --> 02:29:10.970]  We have a headline here up on summit.news.
[02:29:11.490 --> 02:29:15.171]  Government claims DHS disinfo board is shut down because of disinfo.
[02:29:15.552 --> 02:29:17.232]  Again, that's incredibly ironic.
[02:29:17.782 --> 02:29:24.225]  Because they cite the reason for shutting it down being disinfo, but that narrative is literally disinfo.
[02:29:24.265 --> 02:29:26.706]  It wasn't a coordinated smear campaign.
[02:29:27.006 --> 02:29:29.928]  It's called legitimate criticism.
[02:29:30.308 --> 02:29:32.229]  And I made a video about this earlier today.
[02:29:32.669 --> 02:29:34.450]  Big Sis is big mad.
[02:29:34.569 --> 02:29:36.569]  Here it is.
[02:29:36.569 --> 02:29:44.569]  Big sis is big sad.
[02:29:44.443 --> 02:29:51.726]  The Department of Homeland Security has been forced to suspend its creepy disinformation board before it even got off the ground.
[02:29:51.786 --> 02:29:56.188]  And its would-be leader, Nina Jankiewicz, isn't taking it too well.
[02:29:56.248 --> 02:30:01.289]  So every characterization of the board that you've heard up until now has been incorrect.
[02:30:01.850 --> 02:30:07.432]  And frankly, it's kind of ironic that the board itself was taken over by disinformation when it was meant to fight it.
[02:30:07.572 --> 02:30:07.752]  Yeah.
[02:30:07.932 --> 02:30:09.994]  You know what's also kind of ironic?
[02:30:10.094 --> 02:30:15.479]  A unit to fight disinformation being headed up by you, the Queen of Disinformation.
[02:30:15.539 --> 02:30:17.821]  You claimed the Deep State doesn't exist.
[02:30:18.101 --> 02:30:30.192]  I'm talking about the Deep State and things like that, which is a thread among conspiracy communities here in the United States, that there is this secret cabal here in Washington working to undermine the American people.
[02:30:30.553 --> 02:30:31.894]  It couldn't be farther from the truth.
[02:30:31.954 --> 02:30:33.055]  That's disinformation.
[02:30:33.115 --> 02:30:37.239]  You promoted the claim that the Hunter Biden laptop story was Russian propaganda.
[02:30:37.279 --> 02:30:38.400]  That's disinformation.
[02:30:38.420 --> 02:30:46.949]  You cited Christopher Steele as an expert on disinformation, the author of the infamous Trump Peagate dossier, which was wholly a product...
[02:30:47.489 --> 02:30:48.550]  Move disinformation!
[02:30:48.590 --> 02:30:56.937]  You defended and excused the behavior of Ukrainian paramilitary groups, including the Azov Battalion, while they were literally committing war crimes.
[02:30:57.017 --> 02:30:58.118]  That's disinformation.
[02:30:58.179 --> 02:31:05.385]  You falsely characterized parents' legitimate concerns about critical race theory being taught in schools as disinformation.
[02:31:05.445 --> 02:31:06.746]  That's disinformation!
[02:31:06.766 --> 02:31:07.627]  Disinformation.
[02:31:07.787 --> 02:31:08.928]  It's okay when we do it.
[02:31:08.948 --> 02:31:09.829]  It's kind of ironic.
[02:31:09.869 --> 02:31:13.592]  Then the disinformation board is being shut down because of disinformation.
[02:31:13.752 --> 02:31:22.958]  Isn't it interesting how there's almost a total Venn diagram overlap between disinformation and information that embarrasses the regime?
[02:31:23.038 --> 02:31:23.819]  Funny that, isn't it?
[02:31:23.999 --> 02:31:31.524]  Almost like the entire contrived moral panic over disinformation is just an excuse to shut down legitimate dissent.
[02:31:31.684 --> 02:31:32.525]  It's kind of ironic.
[02:31:32.585 --> 02:31:47.621]  As journalist Glenn Greenwald notes, she complains about right-wing disinformation scuppering the DHS disinfo board when the most devastating indictment of the whole operation and her was published by The Nation, a left-wing news outlet.
[02:31:47.701 --> 02:31:48.562]  It's kind of ironic.
[02:31:48.622 --> 02:31:49.163]  Newsflash.
[02:31:49.463 --> 02:31:55.669]  Large numbers of people being rightly concerned about the government literally launching a ministry of truth.
[02:31:55.769 --> 02:31:57.791]  It isn't a coordinated attack.
[02:31:58.011 --> 02:32:00.213]  It isn't right-wing disinformation.
[02:32:00.573 --> 02:32:02.615]  It's speaking truth to power.
[02:32:02.755 --> 02:32:08.340]  All these sensationalist narratives about what the board was, what people thought the board was going to do, are completely wrong.
[02:32:08.440 --> 02:32:10.062]  It was a coordinating mechanism.
[02:32:10.142 --> 02:32:11.163]  Oh, don't worry, everyone.
[02:32:11.443 --> 02:32:14.566]  It was just a coordinating mechanism.
[02:32:14.946 --> 02:32:16.047]  This isn't happening!
[02:32:16.187 --> 02:32:17.748]  Everyone look away please!
[02:32:17.788 --> 02:32:18.908]  Nothing to see here!
[02:32:18.948 --> 02:32:24.031]  ...that just happened to be led by someone who literally said free speech makes her shudder.
[02:32:24.091 --> 02:32:30.134]  By someone who said free speech was like, quote, fairy dust, suggesting it doesn't even exist.
[02:32:30.214 --> 02:32:37.818]  By somebody who demanded the power for trustworthy regime propagandists like her to edit your tweets.
[02:32:38.078 --> 02:32:40.760]  Um, and I am eligible for it because I'm verified.
[02:32:41.420 --> 02:32:46.241]  But there are a lot of people who shouldn't be verified who aren't, you know, legit, in my opinion.
[02:32:46.281 --> 02:32:49.141]  I mean, they are real people, but they're not trustworthy.
[02:32:49.201 --> 02:33:00.764]  Anyway, so verified people can essentially start to edit Twitter the same sort of way that Wikipedia is, so they can add context to certain tweets.
[02:33:00.804 --> 02:33:06.265]  This initiative wasn't involved in policing speech, and neither was I. No, they're not policing your speech.
[02:33:06.605 --> 02:33:07.025]  They're just...
[02:33:07.925 --> 02:33:08.846]  Editing your tweets.
[02:33:08.986 --> 02:33:15.712]  By someone who wrote a book replete with bizarre hypothetical scenarios about men being sexist to her on the street.
[02:33:15.812 --> 02:33:18.494]  Deploying the same words they use on social media.
[02:33:18.614 --> 02:33:22.997]  One example being, TikTok, that's the sound of your biological clock ticking.
[02:33:23.338 --> 02:33:26.801]  Better go home and try to make a baby before it's too late, sweetheart.
[02:33:30.885 --> 02:33:36.286]  By someone who wrote in said book that such misogynists should be arrested by the police.
[02:33:36.426 --> 02:33:39.907]  By someone who called Elon Musk a quote online abuser.
[02:33:39.987 --> 02:33:43.027]  By someone who said America was too free spirited.
[02:33:43.127 --> 02:33:46.188]  By someone who said the lockdowns weren't draconian enough.
[02:33:46.428 --> 02:33:51.369]  By someone who literally tweeted quote force away lockers down.
[02:33:51.629 --> 02:33:55.750]  And by someone who sang with zealous glee about wanting to step on our enemies.
[02:33:55.569 --> 02:34:03.569]   I wanna be rich, famous and powerful, step on all my enemies and never do a thing.
[02:34:03.569 --> 02:34:08.569]   But according to Janka Wipps, she's a nuanced, reasonable person.
[02:34:08.662 --> 02:34:13.946]  I have prided myself over my career of being a really nuanced, reasonable person.
[02:34:13.986 --> 02:34:15.287]  Hold up, Scary Poppins.
[02:34:15.327 --> 02:34:16.528]  Let's do a quick recap.
[02:34:16.568 --> 02:34:20.651]  Free speech is sinister, shudder-inducing, and shouldn't exist.
[02:34:20.891 --> 02:34:25.355]  Approved regime apparatchiks should have the power to edit and censor your tweets.
[02:34:25.576 --> 02:34:30.620]  The government, run by her, gets to decide what's free speech and what's disinformation.
[02:34:30.740 --> 02:34:33.984]  Men should be thrown in prison for online misogyny.
[02:34:34.184 --> 02:34:36.186]  And lock me down harder, daddy.
[02:34:36.346 --> 02:34:37.247]  So reasonable.
[02:34:37.307 --> 02:34:38.268]  Reasonable person.
[02:34:38.308 --> 02:34:43.813]  None of that sounds nuanced or reasonable, but it does totally sound like a narcissistic control freak.
[02:34:43.933 --> 02:34:48.436]  And someone who shouldn't be in charge of anything remotely related to free speech.
[02:34:48.656 --> 02:34:52.159]  She also ludicrously claims that she was non-partisan.
[02:34:52.239 --> 02:34:55.581]  To say that I'm just a partisan actor was wildly out of context.
[02:34:55.601 --> 02:35:03.166]  You amplified the Peagate dossier, a piece of actual disinformation that the regime pushed to try to stop Trump winning the election.
[02:35:03.366 --> 02:35:12.049]  You ceaselessly raged against Trump before the election, then amplified the actual disinformation that Russia interfered in it to help him win.
[02:35:12.089 --> 02:35:19.991]  You called on people to vote for Hillary Clinton, literally tweeting hashtag I'm with her, while claiming a Trump win would embolden ISIS.
[02:35:20.091 --> 02:35:21.491]  Trump actually destroyed ISIS.
[02:35:21.551 --> 02:35:25.953]  You were recruited by a left-wing anti-Trump resistance group in 2017.
[02:35:27.093 --> 02:35:34.320]  Well BFF is Taylor Lorenz, a hyper-partisan shit-lipped journo who made a career out of doxxing conservatives.
[02:35:34.420 --> 02:35:43.389]  The same left-wing activist who said you should be quote, off-limits from criticism and you've got the nerve to claim you're non-partisan.
[02:35:43.469 --> 02:35:46.031]  I'm just a partisan actor was was wildly out of contact.
[02:35:46.051 --> 02:35:47.393]  Do you think we're stupid?
[02:35:47.573 --> 02:35:49.495]  Evidently the answer is yes.
[02:35:52.797 --> 02:35:58.459]  Now there was an excellent article written by John Nolte out of Breitbart on this very subject.
[02:35:58.539 --> 02:36:14.185]  Washington Post debases itself in eulogy to Biden's fascist disinformation board and he lists or goes through a list of the fact that these same deep state regime entities that get to decide what's in disinformation and what's not, this is what they were responsible for.
[02:36:15.066 --> 02:36:22.248]   That telling us that Trump was a Russian spy, the coronavirus vaccine would stop the spread Global warming is real.
[02:36:22.348 --> 02:36:22.728]  It's not.
[02:36:23.108 --> 02:36:25.809]  Black Lives Matter rioters are immune to the virus.
[02:36:26.029 --> 02:36:26.650]  Remember that.
[02:36:27.070 --> 02:36:28.751]  Inflation is transitory.
[02:36:29.191 --> 02:36:31.272]  Raising taxes lowers inflation.
[02:36:31.292 --> 02:36:33.873]  Hunter Biden's laptop is Russian disinformation.
[02:36:34.153 --> 02:36:37.755]  The Capitol Hill police officers was beaten to death by Trump supporters.
[02:36:38.579 --> 02:36:53.446]  All that was, of course, completely false, yet the same regime that came out with all that weaponised, harmful disinformation thinks it gets the right to set itself up as the ultimate arbiter of the definition of disinformation.
[02:36:53.486 --> 02:36:58.348]  They don't, and at least for the time being, this programme is rightly suspended.
[02:36:58.408 --> 02:37:00.109]  Summit.News will be back, don't go away.
[02:37:01.570 --> 02:37:03.511]  So Big Sis is big sad.
[02:37:03.771 --> 02:37:08.133]  The Ministry of Truth has at least temporarily been disbanded.
[02:37:08.817 --> 02:37:17.962]  And now the legacy media is out pushing more disinformation than it was because of a coordinated right-wing disinformation campaign.
[02:37:18.002 --> 02:37:21.083]  That claim within and of itself is disinformation.
[02:37:21.463 --> 02:37:23.844]  It wasn't a coordinated smear campaign.
[02:37:24.205 --> 02:37:27.646]  It was legitimate criticism speaking truth to power.
[02:37:27.946 --> 02:37:38.136]   The genuine expression of concern about handing Power to the government to decide what's free speech, what's dangerous disinformation that gets banned.
[02:37:38.596 --> 02:37:43.762]  As we know, governments working hand-in-hand with social media to that very agenda.
[02:37:44.343 --> 02:37:46.966]  I mentioned this John Nolte article in Breitbart.
[02:37:47.887 --> 02:37:52.152]  Washington Post debases itself in eulogy to Biden's fascist disinformation board.
[02:37:52.788 --> 02:38:09.780]  He talks about the Washington Post article by Taylor Lorenz, who, as I mentioned in the video, literally made a career out of harassing and doxing conservatives and then cry bullies and claims that people are harassing her by providing her with legitimate criticism.
[02:38:10.321 --> 02:38:14.464]  He lists a few other things that I didn't even get the chance to mention in the video.
[02:38:15.396 --> 02:38:25.280]  From Nina Jankowicz, who of course pit-postures herself as a nuanced, reasonable person during that MSNBC interview with Chris Hayes.
[02:38:26.200 --> 02:38:42.066]  But he makes the point in this article that nowhere does the Washington Post tell its emotionally unstable subscribers that Jankowicz declared it a national security threat to ridicule her, Vice President Fraudulency Kamala Harris.
[02:38:42.754 --> 02:38:56.496]  So she literally thinks it's a national security threat to ridicule the Vice President of the United States, while the person writing the article, Taylor Lorenz, says that she should be beyond criticism.
[02:38:57.076 --> 02:39:09.419]  I notice a common pattern emerging here, which is these ruthless technocrats, these control freaks, thinking that your free speech doesn't include the right to criticize government officials.
[02:39:10.199 --> 02:39:11.279]  Oh, Russia does that?
[02:39:11.319 --> 02:39:11.859]  They're bad.
[02:39:12.515 --> 02:39:16.697]  They ban dissidents, they imprison dissidents, they kidnap dissidents, that's terrible.
[02:39:17.017 --> 02:39:18.737]  But we want the power to do it too!
[02:39:18.757 --> 02:39:20.238]  It's okay when we do it.
[02:39:21.438 --> 02:39:21.899]  He adds.
[02:39:23.059 --> 02:39:26.961]  Jankiewicz wanted to give approved elites the power to edit everyone else's tweets.
[02:39:27.001 --> 02:39:28.061]  I mentioned that in the video.
[02:39:28.901 --> 02:39:35.024]  She stated her fear of free speech absolutists, which in her mind means people who criticize those in power.
[02:39:35.144 --> 02:39:35.904]  Oh my god, the horror.
[02:39:37.279 --> 02:39:45.841]  She spread the audacious lie that social media censors leftists and marginalized communities more than conservatives, which on the face of it is absolutely insane.
[02:39:46.841 --> 02:39:55.323]  Go through a list of prominent right-wingers conservatives banned on Twitter over the past five years, compare that to prominent leftists.
[02:39:56.383 --> 02:39:57.463]  Bit of a difference there.
[02:39:59.424 --> 02:40:06.025]  Social media censors leftists, now she spread the Alpha Bank hoax or her propaganda about how men can give birth.
[02:40:06.630 --> 02:40:12.912]  And yes, she also said that parents who complain about CRT are basically pushing disinformation themselves.
[02:40:13.372 --> 02:40:15.452]  That common theme that it doesn't exist.
[02:40:15.512 --> 02:40:25.595]  Again, anything embarrassing, harmful to the narrative of the regime, it doesn't exist apart from when they talk about it and then it's a good thing, like the Great Replacement Theory.
[02:40:26.836 --> 02:40:33.657]  Or, he goes on to mention her fantasizing about having ghost sex with an underage Harry Potter.
[02:40:33.918 --> 02:40:35.278]  Absolutely disgusting.
[02:40:36.189 --> 02:40:50.576]  Very weird woman if you look into her background and her history, and very positive for Americans that she's not in charge of a board that could regulate free speech, could punish people for literally just criticising government officials.
[02:40:51.733 --> 02:40:57.057]  And on that subject, Twitter introduces policy to prevent spreading of misinformation during crises.
[02:40:57.097 --> 02:41:00.039]  Again, what is a crisis to a hysterical mob?
[02:41:00.459 --> 02:41:01.600]  Literally everything!
[02:41:02.181 --> 02:41:08.745]  Twitter announced on Thursday that it has introduced a new global policy to address the spread of misinformation during crisis situations.
[02:41:09.846 --> 02:41:15.771]  And again, this is so they can control the narrative the same with everything that happens on social media.
[02:41:16.551 --> 02:41:18.833]  Another thing happened this morning in the same vein.
[02:41:19.810 --> 02:41:44.021]  Occasionally you'll find on Twitter that, for whatever reason, an organic trending hashtag slips through the net, slips through the brick wall of censorship, and they immediately call upon their much vaunted fact-checkers, who of course we know are just propagandists again for the regime, literally working hand-in-hand with government, to denounce said topic, whatever it may be.
[02:41:45.023 --> 02:41:47.003]  This morning it happened to be chemtrails.
[02:41:47.684 --> 02:41:51.845]  People in the United Kingdom posting all these chemtrails over their houses.
[02:41:51.885 --> 02:41:56.145]  Whether you believe that's a legitimate issue or not, there are arguments on both sides.
[02:41:56.706 --> 02:42:11.649]  Within about an hour, they changed it from just an organic trending topic, chemtrails, to an official fact check of chemtrails and that it's all BS and that people who push it are all insane conspiracy theorists and they do that on a regular basis.
[02:42:12.574 --> 02:42:26.746]  Well now they announced today we're introducing our Crisis Misinformation Policy, a global policy that will guide our efforts to elevate credible, authoritative information, and will help to ensure viral misinformation isn't amplified or recommended by us during crises.
[02:42:26.806 --> 02:42:30.089]  Again, another attempt to control the narrative.
[02:42:30.569 --> 02:42:33.592]  Talking about controlling the narrative, let's go to this UFO video.
[02:42:34.052 --> 02:42:41.809]   Because back in the 90s, as I explained, UFOs, alien abductions was seen as a crank, fringe, extremist theory.
[02:42:42.249 --> 02:42:44.472]  Now it's endorsed by the establishment.
[02:42:44.852 --> 02:42:47.074]  Now they're having congressional hearings about it.
[02:42:47.395 --> 02:42:50.779]  And now the deep state is literally legitimizing it.
[02:42:50.919 --> 02:42:53.442]  Why could that possibly be?
[02:42:53.802 --> 02:42:54.583]  Here's the video.
[02:42:54.623 --> 02:42:56.565]  Pentagon confirms UFOs are real.
[02:42:56.605 --> 02:42:57.166]  Let's roll it.
[02:42:57.726 --> 02:43:03.494]  The Pentagon has confirmed that at least some UFOs are real and are unexplainable.
[02:43:03.534 --> 02:43:09.303]  The admission was made during the first congressional hearing into the subject of UFOs for 50 years.
[02:43:09.503 --> 02:43:20.397]   Top military officials spoke about how some of these unexplained aerial phenomena UAPs, the military term for UFOs, had no discernible means of propulsion.
[02:43:20.236 --> 02:43:28.176]   These include 11 UFO near-misses with US aircraft, including this newly released video captured by a pilot in
[02:43:28.176 --> 02:43:30.316]  the cockpit of a Navy fighter jet.
[02:43:30.316 --> 02:43:48.156]   There are a small handful of events in which there are flight characteristics or signature
[02:43:48.156 --> 02:43:51.676]   management that we can't explain with the data we have available,
[02:43:51.676 --> 02:43:54.635]  said Scott Bray, the Deputy Director of Naval Intelligence.
[02:43:54.829 --> 02:43:57.491]  Those are obviously the ones that are of most interest to us.
[02:43:57.711 --> 02:44:00.733]  My question is, why is all this coming out now?
[02:44:00.893 --> 02:44:05.356]  I grew up in the 90s, completely obsessed with the subject of UFOs.
[02:44:05.436 --> 02:44:11.760]  But back then, governments and the legacy media treated the entire issue with nothing but scorn and derision.
[02:44:11.920 --> 02:44:14.382]  Ufologists were seen as fringe cranks.
[02:44:14.702 --> 02:44:17.645]  And people who reported sightings were ridiculed.
[02:44:17.726 --> 02:44:29.198]  And all this was after decades of popular culture in terms of television and blockbuster movies, satiating the public with the social engineering that it was actually all real and all being covered up.
[02:44:29.358 --> 02:44:30.159]  What changed?
[02:44:30.339 --> 02:44:39.188]   Why, around 10 to 15 years ago, did the establishment suddenly do a 180 And start treating the subject with so much seriousness.
[02:44:39.288 --> 02:44:47.355]  It's widely accepted that the Deep State has exploited the obsession around UFOs as a camouflage for top-secret military technology.
[02:44:47.415 --> 02:44:56.702]   It's always helpful to push the idea that people witnessing tests of cutting-edge propulsion systems and exotic aircraft We're actually seeing alien spaceships.
[02:44:56.722 --> 02:44:58.843]  And what about alien abductions?
[02:44:58.963 --> 02:45:00.424]  Cattle mutilations?
[02:45:00.484 --> 02:45:08.928]  Could the explanation be something far more sinister than benevolent alien visitation, and something far closer to home?
[02:45:09.048 --> 02:45:22.915]   If you thought the last two years proved how easy it was to manipulate the public into mass compliance, just think what the legitimization of alien visitation, or the prospect of off-planetary threats, Would accomplish.
[02:45:23.035 --> 02:45:30.082]  Just ponder what technocratic control freak hell could be unleashed if the public is convinced that E.T.
[02:45:30.142 --> 02:45:31.464]  is about to invade.
[02:45:31.524 --> 02:45:39.892]  Why do you think the subject of UFOs and aliens is now being endorsed by the Pentagon, the legacy media, and the establishment in general?
[02:45:39.993 --> 02:45:41.114]  Let me know in the comments below.
[02:45:43.618 --> 02:45:44.359]  So there you have it.
[02:45:44.459 --> 02:46:05.241]   Again, the establishment having flipped from about 15 years ago from deriding the entire UFO alien abduction subject as fringe crank conspiracy theorist material, now literally having congressional hearings where top military brass Say that in, at least in some cases, it's real, they can't explain it.
[02:46:05.701 --> 02:46:17.494]  Used to be the case that they were supposedly terrified about revealing the existence of aliens to the public because they'd panic or some Wales War of the Worlds style, but now they've completely flipped.
[02:46:17.614 --> 02:46:18.274]  Why is that?
[02:46:18.375 --> 02:46:19.356]  Very interesting.
[02:46:19.376 --> 02:46:19.876]  We'll be back.
[02:46:19.996 --> 02:46:20.497]  Don't go away.
[02:46:21.983 --> 02:46:35.608]  Now I'm going to come back in the final five minutes and cover some of this remaining news, including now they're adding new colours to the LGBT plus QI whatever, however many letters they've added to it.
[02:46:36.288 --> 02:46:39.889]  Almost as many colours are now being added to the flag.
[02:46:40.049 --> 02:46:41.790]  It's beyond parody.
[02:46:42.410 --> 02:46:44.351]  I'm going to get into that, but we have this story.
[02:46:45.484 --> 02:47:14.530]   Back in May last year, Patrice Khan-Cullors, the co-founder of Black Lives Matter, constantly whinging about, quote, white supremacy in the housing market, then going on to spend 3.2 million dollars, that's a good grift if you can get it, on four homes, including a 1.4 million property in LA's rustic and semi-remote Topanga Canyon, which has a black population, Of just 1.6%.
[02:47:14.890 --> 02:47:18.673]  Seems to be quite eager to get away from other black people, who knows why?
[02:47:19.571 --> 02:47:30.835]  But of course, the Ponzi scheme that is Black Lives Matter, the scandal surrounding that has deepened to an infinite degree in the year since this article was published.
[02:47:31.375 --> 02:47:42.759]  And here's Nigel Farage talking about the latest scandal involving Black Lives Matter and the Ponzi scheme of this establishment-controlled organisation.
[02:47:42.839 --> 02:47:44.280]  Here is Nigel Farage.
[02:47:44.620 --> 02:47:45.920]  Black Lives Matter.
