[00:00:00.309 --> 00:00:04.113]  The COVID crisis was the beginning of the collapse of civilization by design.
[02:13:58.716 --> 02:14:06.635]   planet thanks everybody for joining
[02:14:06.635 --> 02:14:13.896]   we are now living in the void sliding towards collapse in the strange space between what
[02:14:13.896 --> 02:14:15.555]   we've known and what's to come
[02:14:16.113 --> 02:14:20.917]  And right now, the most important thing to remember is, don't panic.
[02:14:21.378 --> 02:14:28.564]  Stay calm, because now is the time that we must get our bearings and steer the ship onto a safe, sound course.
[02:14:28.904 --> 02:14:32.948]  There is nothing stopping we the people from making our own rules.
[02:14:33.568 --> 02:14:35.390]  And building our own society.
[02:14:35.810 --> 02:14:38.032]  All we got to do is survive the crash.
[02:14:38.432 --> 02:14:41.014]  And right now, we still have time to prepare.
[02:14:41.414 --> 02:14:45.217]  The world fiat currency system is racing towards zero.
[02:14:45.617 --> 02:14:48.439]  It's time to convert it into hard assets now.
[02:14:48.900 --> 02:14:51.802]  Including food, water, and survival gear.
[02:14:52.002 --> 02:14:53.904]  To keep us strong and at the ready.
[02:14:54.224 --> 02:15:02.103]   Go to preparetoday.com for the essentials, storable foods, water filtration, first aid,
[02:15:02.103 --> 02:15:06.364]  power, and more at preparetoday.com.
[02:15:06.364 --> 02:15:09.304]  Hi, welcome back to the Alex Jones Show.
[02:15:08.972 --> 02:15:12.154]  I'm Kate Dally, your guest host from katedallyradio.com.
[02:15:12.194 --> 02:15:15.255]  I'm so glad to be with you today and I hope you're having a good summer.
[02:15:15.315 --> 02:15:17.577]  When I say that, I know that there's a lot of stress.
[02:15:17.957 --> 02:15:27.281]  I know there's a lot of things that we're all thinking about or watching the country implode and seeing things that are, well, hard to see.
[02:15:28.925 --> 02:15:31.007]  Just know that I always have a lot of hope.
[02:15:31.207 --> 02:15:31.527]  I do.
[02:15:31.547 --> 02:15:32.868]  I have a lot of hope in people.
[02:15:33.248 --> 02:15:39.273]  When you travel the United States, especially if you're doing that this summer, you're going to find that people are good everywhere you go.
[02:15:39.293 --> 02:15:47.319]  When was the last time, when I was on C-SPAN, I said, when was, somebody had said we are a racist country, and I said, how can we be?
[02:15:47.339 --> 02:15:49.501]  How can we be a racist country?
[02:15:50.802 --> 02:15:51.723]  That's not possible.
[02:15:53.004 --> 02:15:57.715]  There might be a few people that are hardcore racists, but it's a hard word, right?
[02:15:58.216 --> 02:16:01.123]  And a strange word because it's so extreme.
[02:16:02.358 --> 02:16:09.581]  And so when you go around and you're traveling this summer, and I hope that you notice this, there's no brawls, you know, happening in the airports.
[02:16:09.621 --> 02:16:10.701]  There's no over color.
[02:16:11.061 --> 02:16:15.063]  There's no, there's nothing, there's nothing going on that they say is going on.
[02:16:15.663 --> 02:16:21.425]  And I just want you to enjoy your summer because we'll look back on these days and say, these are the good old days.
[02:16:21.785 --> 02:16:22.486]  We always will.
[02:16:22.886 --> 02:16:25.927]  And no matter where you are in your life, it'll always be the good old days.
[02:16:26.267 --> 02:16:30.929]  And I hope this summer proves that it's a wonderful holiday for you.
[02:16:31.994 --> 02:16:33.695]  Think about that while you're traveling around.
[02:16:33.795 --> 02:16:39.016]  See the country for who it is and what it is, and identify the fact that we're being lied to a lot.
[02:16:39.616 --> 02:16:47.419]  My very, very special guest I'm bringing on for this hour, and I'm so excited to do this because I just absolutely am one of her biggest fans.
[02:16:47.759 --> 02:16:50.980]  I've had her on my show several times, and I've had her here on InfoWars.
[02:16:51.400 --> 02:16:53.281]  Dr. Judy Majkovic joins me.
[02:16:53.481 --> 02:17:03.288]   She is my special guest, and from her doctoral thesis, Which changed the treatment of HIV-AIDS, by the way, saving millions of lives, including Magic Johnson.
[02:17:04.209 --> 02:17:07.352]  Her discovery of a new family of human retroviruses.
[02:17:07.833 --> 02:17:15.941]  Dr. Majkovic has always been on the leading edge of science and her investigations questioned the use of animal tissue in medical research.
[02:17:16.222 --> 02:17:17.643]  Rightfully so, think about that.
[02:17:17.963 --> 02:17:20.346]  Why do we have animal tissue in medical research?
[02:17:21.347 --> 02:17:29.815]  And is that unleashing devastating plagues of chronic disease such as autism and chronic fatigue syndrome, all of those kinds of things.
[02:17:30.395 --> 02:17:32.357]  And she saw it at its worst.
[02:17:32.417 --> 02:17:33.919]  She saw science at its worst.
[02:17:34.079 --> 02:17:37.262]  She started her career at the National Cancer Institute in 1988.
[02:17:37.943 --> 02:17:44.349]  She became a scientist, obtained a PhD in biochemistry and molecular biology from George Washington University in 1991.
[02:17:45.874 --> 02:17:50.840]  Also, she accuses Anthony Fauci, rightfully so, head of the U.S.
[02:17:50.940 --> 02:17:56.686]  National Institute of Allergy and Infectious Diseases, a prominent member of the White House, right?
[02:17:57.046 --> 02:18:00.971]  They want to always say he's a prominent member of the White House Corona Task Force.
[02:18:02.051 --> 02:18:06.794]  He is responsible for deaths occurring during those early years of HIV.
[02:18:07.134 --> 02:18:09.155]  You'll also remember her from the Plandemic movie.
[02:18:09.195 --> 02:18:13.337]  She gave brilliant testimony to the lies of COVID, and one of the first to speak out.
[02:18:13.457 --> 02:18:17.539]  And also her book, Plague of Corruption, Restoring Faith in the Promise of Science.
[02:18:18.060 --> 02:18:19.961]  Also, well, so many books.
[02:18:20.081 --> 02:18:26.404]  Plague, One Scientist, Intrepid Search for the Truth about Human Retroviruses, and Truth About Masks.
[02:18:26.824 --> 02:18:29.405]  Her amazing books, I could not put them down.
[02:18:29.526 --> 02:18:30.326]  Please get them.
[02:18:30.786 --> 02:18:32.347]  My guest, Dr. Judy Mikevitz.
[02:18:32.387 --> 02:18:33.187]  Welcome to the program.
[02:18:33.207 --> 02:18:33.648]  How are you?
[02:18:35.188 --> 02:18:37.229]  Nice to be with you again, Kate.
[02:18:37.550 --> 02:18:42.492]  Importantly, your audio isn't so good for me.
[02:18:42.512 --> 02:18:47.935]  I'm getting a feedback and in case the audience is getting a feedback.
[02:18:48.513 --> 02:18:50.513]  Yeah, it's a little too loud, I think.
[02:18:51.054 --> 02:18:56.235]  And so, secondly, I did not start my career at the National Cancer Institute in 1988.
[02:18:56.375 --> 02:19:08.577]  Interestingly, they've literally rewritten my bio in order to eliminate the kind of work I really did.
[02:19:08.698 --> 02:19:14.959]  Because what's most important is I'm a natural products chemist.
[02:19:16.079 --> 02:19:17.820]  Out of the University of Virginia.
[02:19:18.460 --> 02:19:22.862]  And they didn't have a degree in biochemistry.
[02:19:22.902 --> 02:19:25.042]  That's how old I am.
[02:19:25.483 --> 02:19:29.684]  When I started at University of Virginia in 1976.
[02:19:30.324 --> 02:19:36.326]  So it's really important because, so I had to get a degree in chemistry, a BA.
[02:19:36.386 --> 02:19:38.247]  I couldn't get a Bachelor of Science.
[02:19:38.587 --> 02:19:42.489]  And so somehow you see them twist everything around.
[02:19:45.029 --> 02:19:46.411]  Let me stop you here, Judy.
[02:19:46.451 --> 02:19:47.693]  We're going to come right back.
[02:19:47.754 --> 02:19:48.755]  Hopefully we'll fix the audio.
[02:19:48.775 --> 02:19:51.379]  We'll be right back on the Alex Jones Show.
[02:19:51.480 --> 02:19:53.823]  I'm so glad she corrected that because she's right.
[02:19:53.883 --> 02:19:55.005]  They keep changing her bio.
[02:19:55.286 --> 02:19:57.449]  Be right back on the Kate Daly Show.
[02:19:57.529 --> 02:19:59.192]  I'm sorry, on the Alex Jones Show with Kate.
[02:19:59.904 --> 02:20:01.245]  Welcome back to the Alex Jones Show.
[02:20:01.265 --> 02:20:03.166]  I'm Kate Daly, your guest host for the hour.
[02:20:03.186 --> 02:20:06.048]  And a big thank you to Alex for having me come on.
[02:20:06.248 --> 02:20:11.752]  And by the way, my guest, the great, the fantastic Dr. Judy Mikovits.
[02:20:12.352 --> 02:20:14.694]  In fact, I know you saw her in the movie, Plandemic.
[02:20:14.874 --> 02:20:25.501]  Her books, truly, you cannot put them down because she really goes through exactly what happened, what she discovered in some of her medical discoveries that were so amazing.
[02:20:25.801 --> 02:20:34.268]   I'm so glad you corrected that, Judy, because there is such an onslaught Of rewriting on the internet going on and trying to diminish those that speak out.
[02:20:34.509 --> 02:20:36.491]  Thank you so much for doing that, actually.
[02:20:37.752 --> 02:20:40.735]  And it's actually more important than diminishing me.
[02:20:41.455 --> 02:20:46.721]  It's taking things like type one interferon out of the equation.
[02:20:47.121 --> 02:20:51.846]  Because when I was a technician, my job, so I started June 10, 1980.
[02:20:53.527 --> 02:20:56.249]  And my job was fermentation chemistry.
[02:20:56.629 --> 02:21:09.980]  And as we tell the story in my book, the interferon was on the cover of Time Magazine as the big if, was this the magic bullet for cancer, was the whole idea.
[02:21:10.320 --> 02:21:12.101]  That was March 31st, 1980.
[02:21:13.542 --> 02:21:27.729]   So I didn't appreciate then, but I'm like at the time I wasn't going to medical school I didn't fit the listen to you and memorize stuff and not think persona of an MD.
[02:21:27.809 --> 02:21:29.790]  So I wasn't going to go to medical school.
[02:21:30.250 --> 02:21:35.511]  So I'm here thinking I didn't even know there was such a thing as a PhD, another kind of doctor.
[02:21:35.531 --> 02:21:39.164]   So I I basically didn't.
[02:21:39.624 --> 02:21:45.609]  Some of my grades weren't so good because of, you'll see it in the book, Ending Plague.
[02:21:45.649 --> 02:21:53.416]  So our last book, our latest book, is called Ending Plague, A Scholar's Obligation in an Age of Corruption.
[02:21:54.176 --> 02:21:58.220]  And that's Frank Rossetti's story.
[02:21:58.300 --> 02:22:15.028]   So when I started June 10, 1980, I was in fermentation chemistry and I was fermenting biological response modifiers, natural products like plant things, red things, methylene blue things.
[02:22:15.509 --> 02:22:18.850]  I was making drugs from plants.
[02:22:18.990 --> 02:22:20.071]  That was my job.
[02:22:20.111 --> 02:22:23.292]  We didn't have molecular biology at the time.
[02:22:23.972 --> 02:22:32.885]   And I couldn't call myself a biochemist because I was All chemistry with a specialization in biology because we didn't have biochemistry.
[02:22:33.245 --> 02:22:36.692]  And it's important for what they want you to think.
[02:22:37.538 --> 02:22:41.100]  Because they said started in 1988 and then got a PhD.
[02:22:41.580 --> 02:22:50.864]  And so even in some of the articles that came out after the pandemic came out, one was really fun and AIDS research in human retroviruses.
[02:22:51.264 --> 02:22:58.628]  It said something like XMRV COVID and the toxic legacy of Dr. Judy Mikevitz.
[02:22:59.489 --> 02:23:04.576]  And I mean, Frank was horrified and I'm like, Frank, it's the blueprint.
[02:23:04.596 --> 02:23:05.918]  It tells you everything.
[02:23:06.238 --> 02:23:12.928]  So when you don't care what they say about you and you try to figure out why they said it.
[02:23:13.718 --> 02:23:19.683]  Then you start to understand what they don't want the rest of the world to know.
[02:23:19.703 --> 02:23:45.128]   And so what they've done with people like Dr. McCullough and Dr. Malone and the MDs is they spin out these drugs like Paxlovid and other things and they demonize vitamins, minerals, natural products, things low, low, low, low dose. That's where I hold my
[02:23:45.128 --> 02:23:50.998]   patents in nutritional biochemistry and how to use medical drugs because I make
[02:23:50.998 --> 02:23:57.417]   those drugs as efficiently as you can in the patient population while you
[02:23:57.417 --> 02:24:02.818]   support the side effect with nutrition.
[02:24:01.336 --> 02:24:03.018]  And they don't want you to know that.
[02:24:03.178 --> 02:24:03.658]  Why?
[02:24:04.098 --> 02:24:05.780]  Because you would cure cancer.
[02:24:05.800 --> 02:24:14.366]  The magic bullet, type 1 interferon, your own biological response modifier right there.
[02:24:14.967 --> 02:24:20.491]  We can purify it from cows and that's how it's made as a purified protein.
[02:24:21.251 --> 02:24:25.936]  And so the FDA won't let us label that a vaccine.
[02:24:26.436 --> 02:24:27.918]  And in fact, it is.
[02:24:28.438 --> 02:24:31.120]  And so you go all the way back to 1992.
[02:24:31.201 --> 02:24:41.690]  And on the Stu Peters show last week, he asked me about that when they were experimenting on children in a text message to see if I would go on the show.
[02:24:41.750 --> 02:24:44.453]  And I said, sure, but how about look at this?
[02:24:45.569 --> 02:25:07.056]  And the look at this was how ABC News in a like 7 or 10 minute clip in 1992 when I got my PhD, November 14, 1991, Magic Johnson was seropositive, meaning he made an antibody to HIV in November 7, 1991.
[02:25:07.856 --> 02:25:14.618]  I defended my PhD thesis at the molecular level and biochemistry level a week later.
[02:25:15.018 --> 02:25:24.383]  And all my thesis committee said is, based on your thesis, will she or will he or will he not get AIDS?
[02:25:24.863 --> 02:25:35.990]   And what I said was, I drew on the little chalkboard as I always do, my little CPG and methylation and on-off switch, I said, but he has to change Everything.
[02:25:36.631 --> 02:25:42.697]  He has to literally change everything because they had scared everybody and this is what Mickey Willis told me.
[02:25:43.018 --> 02:25:55.271]  So you see, I didn't even understand when we wrote the first book, in one scientist's intrepid search for the truth about human disease causing retroviruses.
[02:25:55.951 --> 02:26:02.216]  It's not human retroviruses, it's disease associated or disease causing.
[02:26:02.536 --> 02:26:08.441]  And so in that third book and you start to see, oh no, because Mickey Willis said, my brother died of AZT.
[02:26:08.681 --> 02:26:09.882]  And I said, don't you mean AIDS?
[02:26:10.322 --> 02:26:11.423]  And this is 19.
[02:26:11.663 --> 02:26:16.207]  I sat down with him in March or April, our book Plague of Corruption was done.
[02:26:16.567 --> 02:26:27.673]   This was supposed to be a 20 minute promotional video because nobody bought Plague because it's hard to read and nobody really cared.
[02:26:28.213 --> 02:26:34.636]  So, you know, about retroviruses, most people don't know what they are and all they know is HIV.
[02:26:35.137 --> 02:26:38.858]  So what we now know, I said, wait a minute, don't you mean AIDS?
[02:26:39.819 --> 02:26:42.940]  And he said, no, AZT, because he was antibody positive.
[02:26:43.380 --> 02:26:48.183]  So now we've tweaked in the fraudulent PCR test and we're saying tested positive.
[02:26:48.483 --> 02:26:53.767]  And we wouldn't let anybody in COVID see if they already had antibodies.
[02:26:54.127 --> 02:26:57.049]  Well what happened in the XMRV story?
[02:26:57.369 --> 02:26:58.650]  Well what they said was...
[02:26:59.548 --> 02:27:09.039]  They didn't isolate natural XMRBs from people with disease and show they could be transmitted to other people and they would get disease.
[02:27:09.480 --> 02:27:12.944]  That's satisfying, if you will, Koch's postulates.
[02:27:13.424 --> 02:27:14.906]  So they flipped.
[02:27:15.406 --> 02:27:20.149]  XMRV and said I sprinkled recombinant fairy dust.
[02:27:20.509 --> 02:27:23.150]  Oh, that would be a PCR product.
[02:27:23.430 --> 02:27:24.551]  The spike protein.
[02:27:24.771 --> 02:27:27.312]  So you've amplified and contaminated.
[02:27:27.332 --> 02:27:31.114]  They said our PCR was contaminated with mouse DNA.
[02:27:31.334 --> 02:27:35.036]  There's no such thing as xenotropic foreign.
[02:27:37.560 --> 02:27:38.941]  That's what the mouse stands for.
[02:27:39.441 --> 02:27:42.162]  Murine, mouse leukemia virus.
[02:27:42.282 --> 02:27:49.785]  It causes cancer if you put that one peptide of the spike protein called syncytin.
[02:27:50.205 --> 02:27:53.527]  Oh, wait a minute, that would be a component of snake venom.
[02:27:54.187 --> 02:27:58.689]  And so you start to see, and it's like, do they have an antidote?
[02:27:58.729 --> 02:27:59.950]  Well, of course they do.
[02:28:00.270 --> 02:28:01.350]  They're not going to inject.
[02:28:01.430 --> 02:28:04.031]  Why can't you inject animal viruses?
[02:28:05.132 --> 02:28:05.412]  Why?
[02:28:06.359 --> 02:28:10.123]  Because all animals have syncytin.
[02:28:10.463 --> 02:28:12.986]  They have their own God-given virome.
[02:28:13.246 --> 02:28:14.827]  Whole bunches of viruses.
[02:28:15.148 --> 02:28:19.852]  When you read Plague of Corruption, Bobby's forward, he talks a lot about SV40.
[02:28:21.093 --> 02:28:23.155]  Simeon, monkey, virus, 40.
[02:28:24.155 --> 02:28:36.063]  It's the 40th virus they isolated and that variant caused, associated, not caused, with mesothelioma, a cancer of the lining of the lung.
[02:28:36.484 --> 02:28:42.788]   So you see, when you break this all down and you trust God and you You asked the question.
[02:28:42.828 --> 02:28:43.709]  It's not about me.
[02:28:44.049 --> 02:28:45.530]  So I didn't read that toxic leg.
[02:28:45.550 --> 02:28:47.031]  At least I said, wait a minute, Frank.
[02:28:47.291 --> 02:28:58.979]  So two weeks after Plague, a pandemic came out, they went to the premier retrovirology meeting in the world, which is called Cold Spring Harbor.
[02:28:59.059 --> 02:29:00.100]  Oh, that would be that place.
[02:29:00.140 --> 02:29:06.345]  They did eugenics up there with Watson and Crick and where the Lyme disease came from.
[02:29:06.565 --> 02:29:07.626]  Would you start to see?
[02:29:07.706 --> 02:29:09.387]  And I was only there once.
[02:29:10.391 --> 02:29:11.572]  In 1992.
[02:29:12.252 --> 02:29:17.355]  And what was my work that I showed there from after my PhD thesis?
[02:29:17.695 --> 02:29:29.261]  That you don't need infectious virus to cause the damage, to cause the dominoes to all fall down and cause AIDS.
[02:29:29.721 --> 02:29:32.863]  Because it doesn't cause AIDS unless you do that.
[02:29:33.383 --> 02:29:36.988]  It's not the presence of the virus, it's the expression of the virus.
[02:29:37.369 --> 02:29:44.278]  And so if you express another animal syncytin or in aborted fetal cells, that's another human syncytin.
[02:29:44.318 --> 02:29:49.085]  We're going to come right back more with Dr. Judy Mikevitz on the Alex Jones Show.
[02:29:49.245 --> 02:29:49.766]  Be right back.
[02:29:53.832 --> 02:30:04.294]  I gotta tell you, this book, The Great Reset and The War for the World, the left and the mainstream media are going to have to sit there, and we've got to force them to respond to this book.
[02:30:05.094 --> 02:30:06.794]  This book is that important.
[02:30:06.834 --> 02:30:08.735]  Alex Jones cuts to the heart of the matter.
[02:30:09.115 --> 02:30:22.738]   If you compare the finest, and I'm telling you, you take MIT Technology Review, you take Science, take all these magazines and journals, add the electronic part of it, and, you know, NPR, PBS, all of it, I'll take it.
[02:30:22.858 --> 02:30:29.882]  I'll match up and I will go through and we'll do what Alex Jones put out there versus what your collective body has put out there.
[02:30:30.103 --> 02:30:34.205]  And if you're a sentient human being and just watching it, you say, well, God, Alex Jones was ahead of this.
[02:30:34.245 --> 02:30:35.446]  Not only that, he kind of explained it.
[02:30:35.526 --> 02:30:37.748]  They're just in this huge revolution.
[02:30:38.347 --> 02:30:45.147]   against choice and free will and normal technological development and adoption of technology that empowers
[02:30:45.147 --> 02:30:45.847]  humanity.
[02:30:45.847 --> 02:30:53.347]   Instead, they want adoption of technology, forced adoption, world IDs, global social credit scores, carbon taxes,
[02:30:53.347 --> 02:30:56.347]  that dominate and monitor every facet of our lives.
[02:30:56.347 --> 02:31:00.847]   You make the case of what the not just the new world order is,
[02:31:00.847 --> 02:31:07.347]   but using this great reset to really take up their whole idea of control and authoritarianism.
[02:31:07.603 --> 02:31:16.845]  They have decided to trigger a controlled collapse and then bring in a new dark age to control the general public where they will be in their Elysium fields.
[02:31:17.105 --> 02:31:20.206]  There is no new technology coming and they're blocking that.
[02:31:20.806 --> 02:31:26.829]  And so really, they're just imploding things under the cloud and pivot model to show that they can get that control over us.
[02:31:27.209 --> 02:31:29.150]  Alex Jones cuts to the heart of the matter.
[02:31:29.210 --> 02:31:42.096]  He has presented tons of valid evidence and facts that I think have been really, really important to raising consciousness to what this sort of technocratic global elite really want to do.
[02:31:42.536 --> 02:31:51.560]   The true thing that you've done, which is stunning, If you look at the evidence of that and the facts, you are one of the great thinkers of this.
[02:31:52.141 --> 02:31:53.001]  That is very rare.
[02:31:53.081 --> 02:31:56.703]  You've got to go back almost to the revolutionary generation and see that.
[02:31:57.523 --> 02:32:04.186]  This book, The Great Reset and the War for the World, I'm telling you, everybody in America, the people that hate Alex Jones the most have to read this book.
[02:32:04.746 --> 02:32:05.727]  This is no beach read.
[02:32:06.387 --> 02:32:07.568]  You're not going to be flipping pages here.
[02:32:07.588 --> 02:32:09.908]  You're going to be having a pen out and you're going to be underlining stuff.
[02:32:10.028 --> 02:32:10.809]  It's amazing.
[02:32:11.309 --> 02:32:15.390]  The Great Reset and the War for the World by Alex Jones.
[02:32:15.549 --> 02:32:20.188]  Available now on Amazon or inforstore.com.
[02:32:20.188 --> 02:32:27.908]  Welcome back to the Alex Jones Show.
[02:32:27.954 --> 02:32:30.835]  I'm Kate Dally, your guest host from katedallyradio.com.
[02:32:30.855 --> 02:32:32.656]  My guest is Dr. Judy Mikevitz.
[02:32:33.120 --> 02:32:35.221]  He talks about The Great Reset a lot.
[02:32:35.281 --> 02:32:41.002]  In fact, it sounds like a fantastic book that I must read immediately, Alex's book.
[02:32:41.543 --> 02:32:42.323]  Let me tell you this.
[02:32:42.343 --> 02:32:52.346]  You came out and said, I need to educate people on the effects of the mRNA COVID shots containing the poisonous peptide mimetic of snake venom.
[02:32:52.990 --> 02:33:01.397]  Since sitting and also this is in every single vaccine on the CDC schedule.
[02:33:01.498 --> 02:33:07.123]  In fact, you told me, you know, from 2017 on, you should not be taking any of their shots.
[02:33:07.603 --> 02:33:18.433]  And most importantly, well, also besides for all of the ailments and heart conditions, everything else, death that it's causing, it also poses danger to fertility.
[02:33:18.753 --> 02:33:19.934]  Do you want to talk about that, Judy?
[02:33:21.292 --> 02:33:21.753]  Oh, sure.
[02:33:21.773 --> 02:33:31.141]  Yeah, that's why I'm so excited about it, because that syncytin or syncytin protein, S-Y-N means synthesis.
[02:33:31.181 --> 02:33:33.443]  You synthesize cells together.
[02:33:33.703 --> 02:33:39.789]  Then cytin, C-Y-T-I-N or C-Y-T-O means cytocell.
[02:33:40.382 --> 02:33:49.169]  So, syncytin or syncytin, I always call it syncytin just because it's like mycobits with an I or mycobits, it's the same thing depending on what country you come from.
[02:33:49.489 --> 02:34:01.439]  Anyway, syncytin is going to fuse cells together and that in our God-given genome is a virus.
[02:34:01.679 --> 02:34:06.503]  Our own God-given human retrovirus genome is 8% of our genome.
[02:34:09.955 --> 02:34:14.617]  That is a God-given endogenous retroviruses.
[02:34:14.877 --> 02:34:24.501]  One of them is called human endogenous retrovirus W. And so that goes on the expression that on-off switch I was talking to you about.
[02:34:24.901 --> 02:34:27.142]  DNA methylation from latency.
[02:34:27.202 --> 02:34:28.882]  That was my PhD thesis.
[02:34:29.203 --> 02:34:32.844]  You keep HIV quiet and you're just fine.
[02:34:33.284 --> 02:34:34.445]  And you'll never get AIDS.
[02:34:34.545 --> 02:34:34.965]  Why?
[02:34:35.145 --> 02:34:37.365]  You don't get the cytokine storm.
[02:34:37.766 --> 02:34:41.887]  That very particular cytokine storm was NF-kB.
[02:34:42.547 --> 02:34:46.469]  And NF-kB is the on-off switch, the transcription factor.
[02:34:46.849 --> 02:34:49.570]  NF-kB controls antibody production.
[02:34:50.070 --> 02:35:02.060]   NF-kB's inflammatory cytokine storm is a TH1 inflammatory response with gamma interferon, TGF-beta
[02:35:02.060 --> 02:35:08.940]   IL-6, interleukin 6, is that cytokine and then chemokines to send fire trucks to
[02:35:08.940 --> 02:35:11.610]  the fire, trafficking molecules.
[02:35:11.610 --> 02:35:17.130]   So it turns on and it tells the blood stem cell what kind of fire it is.
[02:35:17.130 --> 02:35:18.730]  Is it a gasoline fire?
[02:35:18.730 --> 02:35:19.730]  Where is it in the body?
[02:35:19.730 --> 02:35:21.730]  Is it in the brain?
[02:35:21.730 --> 02:35:26.449]  So syncytin or syncytin is your God-given gene.
[02:35:26.449 --> 02:35:34.331]   When that goes on, you're waiting to implant the fertilized embryo into the uterine cell
[02:35:34.331 --> 02:35:35.331]  wall.
[02:35:35.331 --> 02:35:41.449]   So when the egg is fertilized with the sperm, that gene goes on and it's hormone-driven,
[02:35:41.449 --> 02:35:46.890]   which is why a woman with in vitro fertilization who can't have babies
[02:35:47.323 --> 02:35:53.883]   has to have hormone treatment first, because she has to make sure that gene is on,
[02:35:53.883 --> 02:35:58.563]   'cause once you take the test tube where you've done the fertilization,
[02:35:58.563 --> 02:36:02.223]   'cause their bodies can't, probably because they've been poisoned
[02:36:02.223 --> 02:36:10.123]   so many decades or generations by big pharma, they can't fertilize.
[02:36:09.995 --> 02:36:14.698]  So you fertilize it in the lab and then you implant it, but it has to stick.
[02:36:15.018 --> 02:36:20.541]  That's the Velcro that holds the fertilized embryo into the uterine cell wall.
[02:36:21.042 --> 02:36:29.847]  And then when the baby is too big and too much RNA and DNA is going into mom, half of that is non-self.
[02:36:30.607 --> 02:36:34.570]  So she'll have an autoimmune reaction and she'll get disease.
[02:36:34.610 --> 02:36:40.475]  That's our age factor when with mom and dad because half of it is a foreign person.
[02:36:40.515 --> 02:36:43.237]  So you'll have an autoimmune autoinflammatory.
[02:36:43.478 --> 02:36:50.203]  So then that gene goes off when the baby's that big and the baby's born and the various contractions go on.
[02:36:50.243 --> 02:36:52.445]  I mean, it's beautiful when you see how God works.
[02:36:52.925 --> 02:36:54.926]  But they don't want you to know.
[02:36:55.187 --> 02:36:59.229]  So if you put another human syncytin, that's aborted fetal cell lines.
[02:36:59.590 --> 02:37:22.038]   If you put cow, if you put pig, if you put monkey, if you put mouse, if you put lizard syncytin, That's how our body knows that those are all mammals that carry their young so a snake doesn't eat the egg or whatever in the environment.
[02:37:22.418 --> 02:37:33.321]  So again, if you inject another animal syncytin and every shot does this, but the worst is they engineered it into the COVID bioweapon.
[02:37:34.039 --> 02:37:40.029]  Notice how the COVID bioweapon doesn't say vaccine for SARS-CoV-2?
[02:37:40.049 --> 02:37:44.696]  Because SARS-CoV-2 is the monkey virus.
[02:37:45.177 --> 02:37:49.143]  And the COVID-19 shot is humanized.
[02:37:49.563 --> 02:37:55.049]  The monkey's been injected for decades and it only hurt the most vulnerable and they knew it.
[02:37:55.089 --> 02:37:58.874]  They were experimenting on the blacks who have great vitamin D receptors.
[02:37:59.174 --> 02:38:04.400]  So it's the sensors on the surface of the cell they've been deliberately messing with.
[02:38:04.740 --> 02:38:05.861]  And I'll tell you how to fix it.
[02:38:05.901 --> 02:38:12.001]   And Alex Jones is saying Buy it!
[02:38:12.682 --> 02:38:28.559]  I mean, we've got Get Healthy Store and I'm going to find out how to get his book in the Get Healthy Store and how to get his products linked on our website because we're selling similar minerals, but there's so many things out there that people can do.
[02:38:28.579 --> 02:38:33.364]  We'll be right back with Dr. Judy Mikevitz on the Alex Jones Show.
[02:38:34.597 --> 02:38:36.318]  I'm back here with you on the Alex Jones Show.
[02:38:36.378 --> 02:38:39.340]  I'm Kate Dally, your guest host from katedallyradio.com.
[02:38:39.881 --> 02:38:51.409]  About six months ago, Attorney Tom Rents and Senator Ron Johnson had their COVID panel for the very corrupt government that we have, presented the findings, and the findings were insane.
[02:38:52.029 --> 02:38:53.030]  487 spike in breast cancer.
[02:38:53.050 --> 02:38:54.311]  279% spike in miscarriages.
[02:38:54.331 --> 02:38:55.632]  1000% spike in nervous system problems.
[02:38:55.652 --> 02:38:57.074]  I mean 350% spike in male infertility.
[02:38:57.094 --> 02:38:58.375]  369% spike in testicular cancer.
[02:38:58.194 --> 02:39:07.554]   spike in nervous system problems. I mean 350% spike in male infertility, 369%
[02:39:07.554 --> 02:39:11.834]   spike in testicular cancer and I could go on and on for all of the problems
[02:39:11.834 --> 02:39:15.954]   we're having with heart and everything else. And so my guest is Dr. Judy
[02:39:15.954 --> 02:39:20.514]  Mijkovic answering some of these questions.
[02:39:18.932 --> 02:39:20.594]  And we just talked about fertility.
[02:39:20.954 --> 02:39:22.535]  We're going to see fertility problems.
[02:39:22.976 --> 02:39:31.543]  The other thing people want to know, Dr. Mikovits, is whether or not somebody would test positive for AIDS having these shots.
[02:39:32.443 --> 02:39:36.005]  Specifically the boosters and of course the first shot.
[02:39:36.425 --> 02:39:37.845]  But would it take the boosters?
[02:39:38.225 --> 02:39:41.867]  And I would love for you to answer this because I've been asked this many many times.
[02:39:42.127 --> 02:39:44.688]  Will you test positive for HIV?
[02:39:48.009 --> 02:39:48.469]  Correct.
[02:39:48.509 --> 02:40:00.912]  You will test positive for HIV, and we're not sure which shots, but as we know from our book, Ending Plague, they engineered into that spike protein, there are three parts to it.
[02:40:01.032 --> 02:40:02.032]  It's a little tulip.
[02:40:02.432 --> 02:40:09.334]  And this is a paper they actually published in 2004, simian immune deficiency, SARS-CoV-2.
[02:40:10.496 --> 02:40:29.214]   Is part SIV, part XMRV from the monkey, the monkey syncytin, and the SARS-CoV-2, sorry, the coronavirus The SARS receptor binding domain from the ACE2 receptor.
