[00:00:00.029 --> 00:00:01.270]  That's who these people are.
[02:12:19.271 --> 02:12:20.351]  What do you think is going on with Russia?
[02:12:20.371 --> 02:12:22.272]  Just big picture, gut level.
[02:12:23.552 --> 02:12:24.652]  What are you most concerned about?
[02:12:24.672 --> 02:12:26.613]  Because obviously, I think the globalists are in big trouble.
[02:12:26.973 --> 02:12:28.113]  Their system's falling apart.
[02:12:28.213 --> 02:12:31.654]  But we know biblically, that's why they try to take over is to stay in power.
[02:12:31.934 --> 02:12:33.375]  So it's this constant process.
[02:12:33.755 --> 02:12:36.135]  And then they get their Antichrist for just a short period.
[02:12:36.476 --> 02:12:38.116]  It's collapsing even as they build it.
[02:12:38.476 --> 02:12:40.636]  I mean, you can see it manifesting.
[02:12:40.636 --> 02:12:42.935]  Mark of the Beast, world government, it's all happening.
[02:12:42.935 --> 02:12:44.395]  I think you went back to Christians.
[02:12:44.395 --> 02:12:45.716]  Where are the churches?
[02:12:45.716 --> 02:12:46.636]  I go to a lot of churches.
[02:12:46.636 --> 02:12:50.155]   They're nice preachers, whatever, but they're too scared to tell their flock anything scary.
[02:12:50.155 --> 02:12:51.556]  Well, we're not trying to scare people.
[02:12:51.556 --> 02:12:55.315]   We're trying to tell them that, hey, this is going on so we can stop it.
[02:12:55.315 --> 02:13:00.355]  Well, I think the great mechanism is fear right now.
[02:13:00.355 --> 02:13:06.236]   You don't have enough power as a citizen or as an individual to really make a dent
[02:13:06.236 --> 02:13:07.835]  in what we have planned.
[02:13:08.164 --> 02:13:21.511]  And that's why, you know, I think you will see more and more institutions, more and more people who have credentials, you know, people who are doctors such as Dr. Robert Malone, and they will sound the alarms that will wake up smaller groups of people.
[02:13:22.012 --> 02:13:25.173]  But ultimately, the globalist agenda is arrogant.
[02:13:25.414 --> 02:13:33.713]   It's it's Motivated, and it will move forward through these checkpoints, and as it gets resistance, it will become more tyrannical.
[02:13:33.733 --> 02:13:36.814]  It will double down on tyranny, and the actions will become more drastic.
[02:13:36.854 --> 02:13:39.655]  That's already what really happened in these last... You just said it.
[02:13:39.695 --> 02:13:42.395]  It's setting up the checkpoints of total enslavement right now.
[02:13:42.655 --> 02:13:44.056]  It's putting us in the cage right now.
[02:13:44.416 --> 02:13:46.916]  And folks, they're not just putting us in a cage to be nice to us.
[02:13:47.256 --> 02:13:48.657]  They're going to hurt us once we're in the cage.
[02:13:50.917 --> 02:13:55.238]  Absolutely, and that's why I want to go back and address one thing and make it very clear.
[02:13:55.851 --> 02:14:06.216]  I don't necessarily believe that those who may have been involved in a Black Lives Matter agenda, that the right or that the populist movement can reconcile the ideological gaps.
[02:14:06.716 --> 02:14:21.263]  What I do know to be a fact is that there are many people who have been voting Democrat for a long time, many people who were out there protesting for George Floyd, who don't even know what the Uyghurs are, who don't even know what the Federal Reserve is and how it functions.
[02:14:21.583 --> 02:14:31.541]   Now, do they have a spirit of That leans towards sin and in that they are more prone to gravitate towards leftist ideologues?
[02:14:31.961 --> 02:14:32.562]  Absolutely.
[02:14:32.842 --> 02:14:41.410]  But there are some on that side that can come into the fold and expand what is needed as a real genuine populist revolution in this country.
[02:14:41.751 --> 02:14:49.229]   And I'm there and I was there to go in and get whatever voices that were left in that Absolutely.
[02:14:49.750 --> 02:14:51.090]  I'm very disappointed.
[02:14:50.909 --> 02:14:55.389]   them into a broader truth about what's going on in this country. And I think our churches
[02:14:55.389 --> 02:14:59.869]   need to do more of that. They need to do more genuine pilgrimage out in the community that
[02:14:59.869 --> 02:15:04.029]   is risky, dangerous, and in the direct firing line of the enemy.
[02:15:04.029 --> 02:15:08.909]   Well, that's right. We got to get the prodigal sons. We got to get everybody.
[02:15:08.909 --> 02:15:13.710]   Absolutely. I'm very disappointed. I have a friend of the family that's an NBA ref,
[02:15:13.710 --> 02:15:19.069]   and he asked for a religious exemption for the vaccine mandate for the referees there in the NBA.
[02:15:19.316 --> 02:15:24.097]  And he was told by the NBA that, hey, the Pope says the vaccine is good.
[02:15:24.798 --> 02:15:31.100]  So even the Pope now has been weaponized in his centrism, I'll say, to put it nicely.
[02:15:31.160 --> 02:15:38.222]  In his centrism, his words have been weaponized to force citizens to get vaccinated.
[02:15:38.997 --> 02:15:45.643]  And that shows you just how high up and how widespread the lack of courage is.
[02:15:45.663 --> 02:15:46.403]  Well, exactly.
[02:15:46.443 --> 02:15:47.404]  It's the new sacrament.
[02:15:47.484 --> 02:15:51.988]  It's GMO secret concoctions into our bodies to be able to buy and sell.
[02:15:52.428 --> 02:15:54.670]  It is literally revelation coming true.
[02:15:54.690 --> 02:15:55.831]  And I say we've got to stop it, folks.
[02:15:55.891 --> 02:15:56.572]  We're in a fight.
[02:15:56.592 --> 02:15:58.974]  You have the biggest awakening ever during this period.
[02:15:59.655 --> 02:16:01.656]  And then God comes in and wins at the end.
[02:16:01.676 --> 02:16:02.897]  But we're in that fight.
[02:16:03.318 --> 02:16:04.278]  We're on the team.
[02:16:04.739 --> 02:16:07.141]  And we've got to stand up because this is all a big test.
[02:16:07.541 --> 02:16:09.042]  I want to thank you so much for joining us.
[02:16:09.062 --> 02:16:11.462]  The website, RoyceWhite.substack.com.
[02:16:11.482 --> 02:16:12.143]  Thank you so much.
[02:16:13.423 --> 02:16:14.343]  Thank you, brother, for having me.
[02:16:14.383 --> 02:16:14.963]  I appreciate it.
[02:16:15.003 --> 02:16:15.464]  Huge fan.
[02:16:15.484 --> 02:16:16.144]  Keep going, brother.
[02:16:16.284 --> 02:16:16.944]  God bless you, brother.
[02:16:16.984 --> 02:16:17.604]  We appreciate you.
[02:16:17.984 --> 02:16:19.205]  Please come back anytime you want.
[02:16:19.245 --> 02:16:20.865]  Wow, that was a powerful hour!
[02:16:21.986 --> 02:16:24.747]  Another powerful 55 minutes is coming up with Paul Joseph Watson.
[02:16:25.127 --> 02:16:26.967]  Don't forget, we're only on air because of your funding.
[02:16:26.987 --> 02:16:27.928]  Thank you for all your support.
[02:16:28.308 --> 02:16:29.788]  ResetWars.com.
[02:16:30.368 --> 02:16:33.389]  50% off on the course until tomorrow night.
[02:16:33.288 --> 02:16:47.288]   ResetWars.com It's hard to believe January 2022 is almost over.
[02:16:47.499 --> 02:16:50.922]  And that means our big New Year's special is about to end.
[02:16:51.362 --> 02:17:09.579]   The highest quality, whole food based, multi-vitamin and our best-selling vitamin C with zinc and rose hips formula that absolutely turbo charges your immune system are both on sale for just a few more days We're 40% off at InfoWarsTore.com.
[02:17:09.819 --> 02:17:15.302]  There's a lot of other great products as well where the sale is about to end on this coming Monday.
[02:17:15.682 --> 02:17:32.491]  So that means as of the time I cut this on Thursday evening, you've just got three days to save 40% off on high quality products at InfoWarsTore.com like our Vitamin C, Zinc, Rosehips formula that is again amazing for your immune system and so much more.
[02:17:32.991 --> 02:17:39.734]  And of course our whole food multivitamin meaning it comes from organic sources and is again the highest quality for your body.
[02:17:39.954 --> 02:17:42.375]  It's all available at mfulworthstore.com right now.
[02:17:42.535 --> 02:17:47.877]  We are live, it is the Summit News Hour and we've got a lot of news to cover this hour as ever.
[02:17:48.709 --> 02:17:52.574]  First though, I'm going to get into what should be the biggest story in the world right now.
[02:17:52.634 --> 02:17:53.115]  It isn't.
[02:17:53.195 --> 02:17:56.099]  There's basically no mainstream media coverage whatsoever.
[02:17:56.539 --> 02:18:27.664]   The day after this came out, the day after it proved us right in everything that we've been saying about this pandemic, about this lockdown for the past two years, The kind of stuff that goes viral, the kind of stuff that gets fact-checked by the esteemed information authorities, the Ministry of Truth, is never this kind of information because they can't fact-check it, they can't debunk it, they can only distract from it and that's precisely what's happened in the media landscape over the past two days.
[02:18:28.185 --> 02:18:44.147]   And I'm talking about not just one study, But a major meta-analysis of 24 different studies proving that lockdown had no impact whatsoever on preventing death, on stopping the spread of the pandemic.
[02:18:44.687 --> 02:18:47.048]  This is Johns Hopkins University study.
[02:18:47.829 --> 02:18:49.129]  This is up on summit.news.
[02:18:49.209 --> 02:18:56.233]  Lockdowns have had little to no public health effects and, quote, imposed enormous economic and social costs.
[02:18:57.245 --> 02:18:59.487]  Again, this came out two, three days ago.
[02:18:59.607 --> 02:19:04.751]  It's received nowhere near the coverage, the traction that it fundamentally deserves.
[02:19:05.972 --> 02:19:10.155]  And I'm going to get into it in depth because we can't let them just brush over this.
[02:19:10.215 --> 02:19:13.338]  This proves everything we've said right in triplicate.
[02:19:13.658 --> 02:19:18.082]  They can't dismiss it as the rantings of fake news conspiracy theorists.
[02:19:18.122 --> 02:19:19.443]  They can't fact check it.
[02:19:20.043 --> 02:19:21.484]  Again, they can only distract from it.
[02:19:21.524 --> 02:19:35.671]   A new study out of the renowned John Hopkins University has concluded That global lockdowns have had a much more detrimental impact on society than they have produced any benefit, with researchers urging that they are ill-founded and should be rejected.
[02:19:35.711 --> 02:19:36.492]  That's a quote.
[02:19:37.192 --> 02:19:46.235]  Lockdowns from Johns Hopkins University are quote, ill-founded and should be rejected as a pandemic policy instrument.
[02:19:46.576 --> 02:19:49.797]  This is what we were saying before the first lockdown.
[02:19:50.237 --> 02:19:51.959]  Why are we locking down the healthy?
[02:19:52.019 --> 02:19:53.920]  Why are we not just protecting the vulnerable?
[02:19:54.181 --> 02:19:56.623]  That's what we've done in every instance previously.
[02:19:57.323 --> 02:20:00.826]  Why are we following China's draconian communist restrictions?
[02:20:01.647 --> 02:20:06.731]  Only now, as the World Economic Forum moves towards its Great Reset Agenda.
[02:20:07.212 --> 02:20:10.875]  Well, we know why, but this proves it in triplicate and that's why it's being ignored.
[02:20:11.795 --> 02:20:34.364]  The study was authored by Jonas Herby, Special Advisor at the Centre for Political Studies in Copenhagen, Denmark, and a bunch of other experts which we list in this article, which by the way is the master article of all the top experts who we've been desperately trying to showcase, to amplify, telling the public, warning the public, that lockdowns are causing more harm than good.
[02:20:34.784 --> 02:20:45.227]   Esteemed experts Not expert enough for the mainstream media, the kind of experts that get deplatformed and silenced even though their credibility is beyond question.
[02:20:46.908 --> 02:20:54.350]  The authors wrote, quote, well it's meta-analysis and again it's 24 different studies across the world that they're looking at.
[02:20:54.870 --> 02:20:57.571]  Includes that lockdowns have had little to no public health effects.
[02:20:57.971 --> 02:21:02.732]  They have imposed enormous economic and social costs where they have been adopted.
[02:21:03.649 --> 02:21:19.119]  That's getting into poverty, that's getting into hunger, and it's not even getting into the vast number of people who have missed treatments, been denied cancer treatments, treatments for all these other horrible illnesses, as the entire health industry went 100% COVID.
[02:21:20.080 --> 02:21:21.140]  COVID obsession!
[02:21:22.061 --> 02:21:30.206]  The focus of the study, according to the authors, was to quote, determine whether there is empirical evidence to support the belief that lockdowns reduce COVID-19 mortality.
[02:21:31.889 --> 02:21:40.952]  They define lockdowns as any government mandate that directly restricts people's possibilities, such as politics that limit internal movement, close schools and businesses, and ban international travel.
[02:21:41.952 --> 02:21:54.056]  They further noted that, quote, To answer our question, we focused on studies that examine the actual impact of lockdowns on COVID-19 mortality rates based on a number of different factors.
[02:21:54.736 --> 02:21:56.917]  Did lockdowns reduce COVID deaths?
[02:21:56.957 --> 02:22:02.003]   The conclusion of this esteemed study of 24 different studies Is no.
[02:22:02.744 --> 02:22:08.392]  Quote, lockdowns have had little to no effect on COVID-19 mortality.
[02:22:08.813 --> 02:22:09.434]  That's it.
[02:22:09.474 --> 02:22:10.796]  That's your narrative gone.
[02:22:11.236 --> 02:22:13.500]  Rubber stamped, thrown out in the bin.
[02:22:14.724 --> 02:22:24.328]  More specifically, index studies find that lockdowns in Europe and the United States only reduce COVID-19 mortality by 0.2% on average.
[02:22:26.629 --> 02:22:24.328]  0.2%!
[02:22:27.049 --> 02:22:47.690]   And then when you factor in all the missed cancer screenings, appointments, people not being able to see specialists for their myriad of health morbidities, Which pre-existed COVID, existed during the lockdowns and will exist at an exacerbated level far, far into the future, thanks to lockdown, doesn't even include the impact of that.
[02:22:48.050 --> 02:22:59.197]  And even absent all that, 0.2% impact on COVID-19 mortality, without all the attendant devastation that lockdowns have caused.
[02:23:00.555 --> 02:23:07.439]  It adds shelter-in-place orders were also ineffective, only reducing COVID-19 mortality by 2.9% on average.
[02:23:08.340 --> 02:23:16.024]  Further noting specific non-pharmaceutical intervention studies also find no broad-based evidence of noticeable effects on COVID-19 mortality.
[02:23:16.344 --> 02:23:19.226]  And what do they mean by non-pharmaceutical intervention?
[02:23:19.606 --> 02:23:20.186]  Masks!
[02:23:20.707 --> 02:23:22.408]  Specifically, masks.
[02:23:22.528 --> 02:23:33.354]   Mandates which are still in place in numerous states across the United States, across Europe, across the world, They've now had no effect whatsoever, yet they still claim that masks work.
[02:23:33.394 --> 02:23:37.875]  There's literally no study that says they have any meaningful impact.
[02:23:38.275 --> 02:23:41.376]  Never has been for the entire two years of the pandemic.
[02:23:42.395 --> 02:23:48.234]   The authors conclude that "our meta-analysis fails to confirm that lockdowns have had a large
[02:23:48.234 --> 02:23:55.515]   significant effect on mortality rates. They analyzed lockdown versus no lockdown, face masks,
[02:23:55.515 --> 02:23:59.434]   closing non-essential businesses, border closures, school closures and limiting gatherings,
[02:23:59.434 --> 02:24:06.395]   and also found 'no broad-based evidence of noticeable effects on COVID-19 mortality'.
[02:24:06.395 --> 02:24:16.395]  [BLANK_AUDIO]
[02:24:07.788 --> 02:24:08.329]  That's it!
[02:24:08.609 --> 02:24:28.651]  Bottom line, 24 different global studies, esteemed experts looking at it from a perspective, a meta-analysis of all those studies, and they found no evidence that lockdowns prevent the spread of the virus, and in fact the psychological, the catastrophic health impacts that lockdowns have had on the population.
[02:24:29.634 --> 02:24:39.239]  As we've quoted top experts as saying, we'll kill more people than the lives saved by lockdown, which according to this, at best, was 0.2%.
[02:24:39.760 --> 02:25:03.440]   And again, I say this is the master article for this because We've quoted numerous other experts who we've been amplifying for the past two years, including Professor Carol Socorro, an NHS consultant oncologist, who said there would be 50,000 excess deaths from cancer as a result of the first lockdown, not even including the ones after it.
[02:25:04.280 --> 02:25:08.202]  Professor Richard Sullivan, his title is literally Professor of Cancer.
[02:25:09.517 --> 02:25:09.877]  Okay.
[02:25:10.418 --> 02:25:11.258]  He's an expert.
[02:25:11.278 --> 02:25:13.320]  He's one of your vaunted esteemed experts.
[02:25:13.400 --> 02:25:23.848]  Also warned there'll be more excess cancer deaths in the UK than total coronavirus deaths due to people's access to screenings and treatment being restricted as a result of lockdown.
[02:25:24.509 --> 02:25:38.139]  Peter Nielsen, Swedish Professor of Internal Medicine and Epidemiology, said it's so important to understand that the deaths of COVID-19 will be far less than the deaths caused by societal lockdown when the economy is ruined.
[02:25:39.164 --> 02:25:49.668]  We also flashed back to a major study by German scientists at Munich University who found that lockdowns had no effect on reducing Germany's coronavirus infection rate.
[02:25:50.608 --> 02:25:56.651]  Quote, no direct connection between the German lockdown and falling infection rates in the country.
[02:25:56.991 --> 02:26:01.933]  No correlation whatsoever, yet they did it again, again, again, and again.
[02:26:03.035 --> 02:26:13.077]  He previously reported on academics from Duke, Harvard and Johns Hopkins, concluding there could be around a million excess deaths over the next two decades as a result of lockdowns.
[02:26:14.217 --> 02:26:16.438]  This should be the biggest story in the world.
[02:26:16.478 --> 02:26:18.778]  It should be the biggest story for weeks on end.
[02:26:19.218 --> 02:26:23.119]  It's received barely a whimper of coverage from the media.
[02:26:24.699 --> 02:26:32.121]  Headline, John Hopkins professor slams media, own institution, for hiding bombshell study that found lockdowns are ineffective.
[02:26:33.539 --> 02:26:39.184]  He went on Tucker Carlson to state John Hopkins itself did not even put out a press release about this study.
[02:26:39.665 --> 02:26:45.170]  If you look at the media coverage, it's one of the biggest stories in the world today, yet certain media outlets have not even covered it.
[02:26:46.149 --> 02:26:52.334]  He said they haven't covered it because quote people may already have written their own narrative about the effectiveness of lockdowns.
[02:26:52.795 --> 02:26:55.057]  They are desperate not to be proven wrong.
[02:26:55.077 --> 02:27:25.238]   There's an entire cottage industry that sprung up of experts who constantly amplify and recycle fear-mongering hand-in-hand with State bureaucracies, governments, media elites who want the clicks, the clickbait, they want people inside, sat on their backsides, watching television, they love the reviews, the views, they love the audience figures, they love the giant checks from pharmaceutical companies like Pfizer, and it's all for nothing, it's all one big grift.
[02:27:25.519 --> 02:27:50.047]   Well it's quite ironic that before the first lockdown, right at the start of the pandemic back in January, February 2020, We saw the proliferation, the amplification of videos of people on the streets of China in different cities collapsing suddenly, convulsing on the ground, being forced to have medical treatment on the spot, in some cases apparently dying.
[02:27:51.215 --> 02:27:52.757]  Because they caught COVID.
[02:27:53.337 --> 02:27:55.239]  We now know that that was complete BS.
[02:27:55.280 --> 02:28:05.531]  It was likely part of psychological operations to convince people that this was a disease, a pandemic, that was far more deadly than it in reality was.
[02:28:06.320 --> 02:28:24.576]  We know that governments orchestrated entire propaganda campaigns based on that premise, weaponizing behavioral psychology to make people more terrified of the virus than they needed to be so they would comply, so they would submit, so they would be obedient in vast numbers without questioning what was happening.
[02:28:25.337 --> 02:28:27.819]  Turns out that that was all, again, propaganda.
[02:28:28.240 --> 02:28:33.902]   A side effect of catching COVID isn't suddenly Collapsing in the street and convulsing.
[02:28:34.222 --> 02:28:49.051]  But what we have seen over the past several months is people in peak physical condition suddenly collapsing and convulsing for real, in some cases surviving thankfully, but in others tragically dying.
[02:28:49.271 --> 02:28:56.936]  And these cases, unlike the ones that happened in China as part of psychological operations, are very real indeed.
[02:28:57.739 --> 02:29:08.963]  And particularly affected by this have been footballers, soccer players, as our American audience would refer to them, throughout Europe and indeed other sportsmen throughout the world.
[02:29:09.724 --> 02:29:14.105]  And there's been yet another example of this that has come to light today.
[02:29:15.106 --> 02:29:27.798]   Bear in mind that last weekend alone, we have three different incidents in football stadiums in England alone, where spectators in the crowd Collapse suddenly had to be taken away by paramedics.
[02:29:28.258 --> 02:29:30.260]  Now that happens on rare occasions.
[02:29:30.581 --> 02:29:37.988]  It doesn't happen in three different football stadiums on one afternoon without something seriously going on.
[02:29:38.648 --> 02:29:45.035]  And it's also happening to young professional soccer players, another of whom has tragically died.
[02:29:45.055 --> 02:29:48.358]  His name is Alexandros Lampis.
[02:29:49.369 --> 02:29:57.376]  He is a Greek footballer, and he suffered a sudden cardiac arrest just five minutes into a game before subsequently dying.
[02:29:57.396 --> 02:30:03.062]  Again, headline, 21-year-old Greek footballer suffers sudden cardiac arrest during game.
[02:30:04.983 --> 02:30:06.925]  This was at the First Municipal Stadium.
[02:30:07.386 --> 02:30:10.228]  Yesterday, he was playing for a third division team.
[02:30:10.709 --> 02:30:15.153]  Just five minutes into the game, he collapsed.
[02:30:15.839 --> 02:30:24.947]  With heart problems, there was no defibrillator at the stadium, the ambulance took 20 minutes to arrive, they couldn't resuscitate him, and he tragically died.
[02:30:24.987 --> 02:30:32.193]  You see clips here of other sports professionals in different tournaments, different sports, suffering the exact same fate.
[02:30:33.674 --> 02:30:39.019]  Now, the Daily Mail reports that, quote, football has been rocked by a series of high-profile incidents among players.
[02:30:40.100 --> 02:30:41.341]  And boy, you can say that again.
[02:30:42.014 --> 02:30:49.780]  But again, the Daily Mail is the same publication that carried an article saying, Experts have dismissed it as just a coincidence.
[02:30:50.200 --> 02:30:51.862]  They list some of the names here.
[02:30:52.402 --> 02:30:58.867]  Sergio Aguero, who had just completed a major transfer to Barcelona Football Club.
[02:30:58.887 --> 02:31:05.972]  He was one of the world's most well-renowned players, forced to retire after experiencing chest pains playing for Barcelona.
[02:31:06.513 --> 02:31:14.543]   There were also scares for Victor Lindelof, Pierre-Emerick Aubameyang, This season, Wigan striker Charlie Wick collapsed in training.
[02:31:15.103 --> 02:31:21.129]  Sheffield United's John Fleck, again, 28 years old, 30 years old, collapsed on the pitch at Reading.
[02:31:21.229 --> 02:31:26.233]  Adama Traore, 25 years old, went down clutching his chest while playing in the Champions League.
[02:31:26.934 --> 02:31:35.522]  A Sheriff Tirispol, Icelandic midfielder Emil Pausen, also required resuscitation after a cardiac arrest in October.
[02:31:36.317 --> 02:31:44.703]  These are all fit, healthy young men whose entire career is dedicated to maintaining peak physical health for peak physical performance.
[02:31:45.483 --> 02:31:54.690]  Early 20s, mid 20s, late 20s, early 30s, suffering cardiac arrests, breathing difficulties, collapsing, in some cases tragically dying.
[02:31:55.571 --> 02:32:01.295]  We showcased another example a few weeks ago, 25 year old Guatemalan soccer star Marcus Manaldo.
[02:32:01.955 --> 02:32:05.918]  Again, collapsed during training, tragically died shortly after being rushed to hospital.
[02:32:07.330 --> 02:32:20.502]  Now, German newspaper Berliner Zeitung published a report that last November, a few months ago now, seeking to answer why, quote, an unusually large number of professional and amateur soccer players have collapsed recently.
[02:32:21.063 --> 02:32:30.932]  Somebody did a statistical analysis and found that there was about a 4,000% increase in this happening amongst professional soccer players over the course of the last year.
[02:32:32.071 --> 02:32:45.277]   And again, I go back to the example of Fabrice Muemba, who, I think it was 2011 or 2012, While playing again, I think it was for Bolton Wanderers, collapsed, clutching his heart, required resuscitation.
[02:32:45.597 --> 02:32:46.917]  Many people thought he would die.
[02:32:46.977 --> 02:32:49.778]  He was down on the pitch for a good 20-30 minutes.
[02:32:49.838 --> 02:33:00.683]  It was a massive, huge story at the time because it was so rare that a young, fit, healthy professional athlete would suddenly collapse on the pitch with heart problems.
[02:33:01.143 --> 02:33:03.184]  At the time, there was a big outcry.
[02:33:04.019 --> 02:33:10.361]  There was a big call for a massive investigation into why this had happened, because again, it was so rare.
[02:33:10.821 --> 02:33:16.763]  Now it happens several times a week, but the experts assure us that it's just a coincidence.
[02:33:17.323 --> 02:33:35.308]   Now, when anyone tries to talk about it on national radio stations, for example, like ex-England footballer Trevor Sinclair, and we featured this video before, when it's reported that, yeah, another professional has collapsed and died or has been taken to hospital, He brought up the question of vaccines.
[02:33:35.828 --> 02:33:46.894]  Somebody on the big red button, the big delay button there at Talk Sport radio station didn't press it in time and he just got the word vaccine out and then he was cut off and then the screen faded to black.
[02:33:48.375 --> 02:33:49.435]  Interesting that, isn't it?
[02:33:49.475 --> 02:34:06.341]   Of course, Dr Peter McCulloch, who was responsible partly for the massive targeting of Joe Rogan and the attempt to de-platform him by the regime, Pointed out that myocarditis has become at least 50% more common than predicted by US public health experts.
[02:34:07.302 --> 02:34:13.424]  And he said that could be one of the links, that could be one of the explanations why these top athletes are suddenly collapsing.
[02:34:14.385 --> 02:34:29.936]   Matthew Letizia, another ex-England footballer, came out and called for an investigation, because there's no call amongst the establishment for one, despite the fact, again, that there was a massive uproar when one football player had this condition ten years ago.
[02:34:30.296 --> 02:34:33.078]  There was a massive outcry, demand for investigation.
[02:34:33.618 --> 02:34:37.581]  Now it's multiple times weekly, and everybody's strangely silent.
[02:34:38.741 --> 02:34:51.554]   Letizia said, quote, it's been very concerning for me watching the sport I love, and I played for 17 years, In all that time that I played, I never once saw any footballer leave the pitch because of heart issues.
[02:34:52.434 --> 02:35:02.001]  You went on to say, and I'm sorry, but if anybody can look at what's happening now in the world of sport and say it's normal for all these players to be having heart issues in football matches, cricket matches, basketball matches.
[02:35:02.688 --> 02:35:17.710]  Any sport you wish, these people, the amount of people that are suffering is going through the roof and we have yet another example of that today with the tragic death of 21-year-old Greek footballer Alexandros Lampis.
[02:35:18.359 --> 02:35:30.386]  Thoughts and prayers go out to his family, but unfortunately he's become another victim of this mysterious sudden collapse illness which just happened to come about six months ago when everybody started getting double-dosed.
[02:35:30.786 --> 02:35:32.627]  Gee, I wonder if there's any connection.
[02:35:33.502 --> 02:35:35.043]  Summit.News, we'll be back.
[02:35:35.423 --> 02:35:35.944]  No, go away.
[02:35:36.344 --> 02:35:40.827]  Well, as the COVID narrative collapses, the rebellion continues to grow.
[02:35:41.027 --> 02:35:46.150]  We're going to talk about the mask mandate protests sweeping American schools in a moment.
[02:35:46.651 --> 02:35:49.192]  But on that subject, we had this headline yesterday.
[02:35:49.212 --> 02:35:54.736]  70% of Americans say it's time to accept COVID and get on with our lives.
[02:35:54.896 --> 02:35:56.757]  Oh, no, you can't say that!
[02:35:57.618 --> 02:36:00.539]  The technocrats need their prestige.
[02:36:00.619 --> 02:36:02.781]  They need their television appearances.
[02:36:03.328 --> 02:36:04.849]  They need their great reset.
[02:36:05.429 --> 02:36:11.093]  But a new Monmouth poll finds that 70% of Americans think it's time to live with Covid and get on with their lives.
[02:36:12.614 --> 02:36:22.761]  And rather interestingly, as I point out in this article, those who have been infected with Covid are more likely to want society to move on from it than those who haven't.
[02:36:22.981 --> 02:36:27.624]  Again, proving that those who haven't think it's this deadly killer that's going to wipe them out.
[02:36:28.328 --> 02:36:31.010]  Not turned out to be the case with the vast majority of people.
[02:36:31.030 --> 02:36:39.075]  Of course we've featured the statistics before where even for the over 70s the survival rate of Covid is over 97 percent.
[02:36:39.255 --> 02:36:43.317]  Increasingly greater numbers when you go down through the age groups.
[02:36:44.438 --> 02:36:52.243]  Now fully 7 in 10 Americans agree with the sentiment that, quote, it's time we accept Covid is here to stay and we just have to get on with our lives.
[02:36:52.887 --> 02:36:59.328]  Including 78% of those who report having gotten Covid and 65% of those who say they've not been infected.
[02:36:59.368 --> 02:37:04.429]  So again, if you've had it, you're more likely to say, not a big deal, let's move on.
[02:37:05.450 --> 02:37:10.491]  The main difference, predictably, was between Republicans and Democrats.
[02:37:10.891 --> 02:37:28.994]   47% of Democrats say we should move on, so you've still got a slight majority who are absolutely predicated on maintaining this Covid pandemic religion and imposing it on everyone else, even as The fever for it, the anticipation, the drive for it fails amongst the American public.
[02:37:30.475 --> 02:37:39.939]  The poll numbers will make problematic reading for those who have turned taking multiple vaccines and vehemently spotting lockdown mandates and mask rules into a high status symbol religion.
[02:37:41.098 --> 02:37:57.606]  The one downside of this poll was the number of Americans who think the pandemic will be under control by the end of the year is only 34%, which again suggests that they know the technocrats will try to prolong it for as long as possible before the next promised pandemic that Bill Gates says we've got waiting for us.
[02:37:58.526 --> 02:38:12.529]   But 28% think a return to normal life will never happen ever again, entrenching this idea that these COVID rules are going to become like the post 9-11 rules Not being allowed to take liquids on carry-on luggage.
[02:38:13.569 --> 02:38:17.732]  Akin to being forced to wear masks everywhere, but on the subject of masks.
[02:38:18.973 --> 02:38:25.257]  Post-millennial reports, LA Mayor defends going maskless in photo with Magic Johnson, because he held his breath!
[02:38:26.077 --> 02:38:36.344]  I guess mask man, I guess if I just go through the airport, or go into a shop, or go into a library, or a sports stadium, or wherever, and just say, well, I held my breath.
[02:38:37.133 --> 02:38:38.514]  Then you don't need to wear a mask.
[02:38:38.574 --> 02:38:41.616]  It's good enough for Los Angeles Mayor Eric Garcetti.
[02:38:42.357 --> 02:38:46.419]  It's good enough for Governor Gavin Newsom to not wear a mask.
[02:38:46.960 --> 02:38:50.122]  Well, that has rankled some parents throughout California.
[02:38:50.962 --> 02:38:55.606]  Headline, hundreds of students segregated in gyms after protesting school mask mandates.
[02:38:55.646 --> 02:39:00.189]  And in fact, let's first go to this clip, not from California, but from Washington State.
[02:39:00.809 --> 02:39:06.413]  Same activist cause though, students walking into school, refusing to wear masks.
[02:39:06.892 --> 02:39:13.297]  There was one student who gave an eloquent speech about why they were doing this and why optics were so important in doing this.
[02:39:14.458 --> 02:39:15.999]  And this was posted on Twitter.
[02:39:16.059 --> 02:39:17.520]  It got over a million views.
[02:39:17.580 --> 02:39:18.401]  It went viral.
[02:39:18.541 --> 02:39:23.865]  Let's play this speech by the student outside the school in Washington State.
[02:39:23.965 --> 02:39:24.465]  Here it is.
[02:39:27.247 --> 02:39:27.928]  Everybody shut up!
[02:39:31.536 --> 02:39:36.197]  This is not an excuse for any of you freshmen and sophomores to disrespect your teachers.
[02:39:36.857 --> 02:39:43.859]  If I hear of anybody disrespecting teachers or staff tomorrow, that makes us look bad.
[02:39:45.359 --> 02:39:48.140]  We want this to be a peaceful, respectful movement.
[02:39:48.180 --> 02:39:51.221]  We are just trying to gain back our rights as citizens.
[02:39:52.981 --> 02:39:57.423]  We do not care about... The teachers in the end are just doing their jobs.
