[00:00:00.269 --> 00:00:02.130]  The power structure is not completely unified.
[02:16:48.677 --> 02:16:50.218]  These people are coming for your birthright.
[02:16:50.538 --> 02:16:51.698]  They're coming for your First Amendment.
[02:16:51.718 --> 02:16:54.459]  They admit, once they've silenced us, they're coming for you.
[02:16:55.159 --> 02:16:57.620]  I am in your hands, and I'm asking for your support now.
[02:16:57.960 --> 02:17:01.822]  You have my commitment to never give up or back down, but I could give out without your support.
[02:17:02.262 --> 02:17:12.666]  Thank you for all your past support, and I'm encouraging you now to redouble your efforts at InfoWarsTore.com with promo code 1776 for an additional 10% off on the already big sales and huge discounts.
[02:17:13.211 --> 02:17:14.252]  All right, thank you for joining me.
[02:17:14.292 --> 02:17:21.095]  Mike Adams here, taking over for the fourth hour of the Alex Jones Show here today, Election Day 2022.
[02:17:21.515 --> 02:17:27.177]  Be sure to spread the link, tell people to tune in at band.video and also infowars.com.
[02:17:27.577 --> 02:17:37.162]  I'm going to be joined at the bottom of this hour by special guest James White from Northwest Liberty News with political analysis and what we know so far about what's happening across the country.
[02:17:37.722 --> 02:17:51.330]  But just to bring you up to speed here, there are voting machine failures being reported across many states and many precincts, but they appear to be experiencing failures in Republican-dominated regions, especially in Arizona.
[02:17:51.350 --> 02:17:58.095]  We just saw a clip from Carrie Lake there, who looks like she's going to win if the election is allowed to take place.
[02:17:58.555 --> 02:18:02.875]   So what it looks like right now, even though this is preliminary information, a lot more
[02:18:02.875 --> 02:18:09.635]   data will be coming in, is that voting machine failures are taking place in strong Republican
[02:18:09.635 --> 02:18:13.574]  districts in order to halt Republican votes.
[02:18:13.574 --> 02:18:15.434]  So that's the current scenario.
[02:18:15.434 --> 02:18:21.635]   And we urge all observers, we urge all attorneys and lawyers with the GOP to start digging
[02:18:21.635 --> 02:18:25.954]  into this immediately because it looks like the steel is on.
[02:18:25.954 --> 02:18:30.274]   A lot of these races are extremely tight, just a couple of points.
[02:18:30.291 --> 02:18:37.055]  For example, Blake Masters versus Mark Kelly in Arizona, or even look at the Oz Fetterman race in Pennsylvania.
[02:18:37.636 --> 02:18:52.185]  They are pretty tight, and if they steal, or I should say, if the Democrats manage to suppress just even 5% of the Republican votes, then they will be able to steal those elections and steal those positions in the United States Senate.
[02:18:52.705 --> 02:18:55.928]  So we will keep you posted here on InfoWars.com.
[02:18:56.408 --> 02:18:58.931]  And remember, there's election night coverage this evening.
[02:18:58.971 --> 02:18:59.651]  It's live.
[02:19:00.632 --> 02:19:02.594]  And InfoWars is covering it.
[02:19:02.634 --> 02:19:03.435]  I know War Room.
[02:19:03.455 --> 02:19:05.737]  I know Brandon Howes is doing coverage.
[02:19:06.257 --> 02:19:07.358]  A bunch of people I know.
[02:19:07.578 --> 02:19:08.900]  We're doing coverage as well.
[02:19:08.980 --> 02:19:12.283]  So the independent media is doing massive coverage of this.
[02:19:12.823 --> 02:19:15.185]  I may even be popping in later here on InfoWars.com.
[02:19:16.486 --> 02:19:21.328]  This evening, schedule permitting, I'm going to be manning the studio all night long and providing commentary.
[02:19:22.008 --> 02:19:31.811]  Let me bring in something different that you haven't heard about these elections, probably, and there's a new factor in this that has never been present before in previous elections.
[02:19:32.491 --> 02:19:38.994]  It is the fact that the Democrat Party committed, to some degree, vaccine suicide.
[02:19:39.754 --> 02:19:45.196]  This is the first election in America that has been held following a vaccine genocide event.
[02:19:46.036 --> 02:19:57.869]  Where hundreds of millions of people were injected with a biological weapon system that was designed to cause infertility, stillbirths, spontaneous abortions, and in some cases, fatalities.
[02:19:58.900 --> 02:20:04.746]  And Democrats took this vaccine, compared to conservatives, at about a 2 to 1 ratio.
[02:20:04.806 --> 02:20:07.188]  That's a rough ratio, not exact, but it's pretty close.
[02:20:07.929 --> 02:20:19.840]  And what that means is that the Democrats have to work overtime to try to steal this election for the simple reason that many of their own people are dead because they took these injections that killed them.
[02:20:20.501 --> 02:20:21.682]  They died from the clots.
[02:20:22.062 --> 02:20:24.184]  They died from the neurological problems.
[02:20:24.244 --> 02:20:26.465]  They died from heart attacks and myocarditis.
[02:20:27.126 --> 02:20:30.608]  And so the Democrats have killed off many of their own people.
[02:20:31.089 --> 02:20:44.598]  And the actual number is difficult to ascertain, but there are rigorous estimates that say that right now in America, well over 1 million people have been killed by these so-called vaccine injections since they began.
[02:20:45.399 --> 02:20:54.489]  Now, I know the mainstream media is going to argue with that number, but we'll say it's 1.5 million just as a round number here to demonstrate something really important.
[02:20:54.529 --> 02:20:59.275]  Now, the actual number might be 800,000, might be 1.2 million, might be more than 1.5.
[02:21:00.456 --> 02:21:22.053]   But if it's roughly two to one Democrats versus Republicans who took the vaccine, Then, if there are a total of about 1.5 million people who died from this, and not considering independence just for this simple thought experiment, you could say that potentially as many as 1 million Democrats were killed by this vaccine, and about half a million Republicans were killed by this vaccine.
[02:21:22.493 --> 02:21:28.717]  Again, these are just rough numbers, this is a thought experiment, but it reaches a very important point.
[02:21:29.497 --> 02:21:35.341]  The Democrats have to then rig elections to overcome the missing people that are literally dead.
[02:21:35.982 --> 02:21:36.462]  And why?
[02:21:36.802 --> 02:21:45.388]  Because the Democrats censored those of us who were trying to save everybody's lives from these injections, including the lives of Democrats.
[02:21:46.008 --> 02:21:50.632]  So understand, folks, that Alex Jones tried to save the lives of Democrats.
[02:21:51.334 --> 02:21:55.277]  And so did I. And not just Democrats, but we tried to save the lives of everyone.
[02:21:55.738 --> 02:22:00.041]  Independents, and Libertarians, and Conservatives, Republicans, Democrats, everybody.
[02:22:00.922 --> 02:22:03.945]  Even, you know, political agnostic people who don't vote.
[02:22:04.145 --> 02:22:05.266]  We want you to live.
[02:22:05.986 --> 02:22:07.428]  And so, we were censored.
[02:22:07.868 --> 02:22:18.036]  And we found out that that censorship was carried out via collusion between the White House and Big Tech in a rampant and illegal slash unconstitutional manner.
[02:22:18.817 --> 02:22:28.840]  So, it was in fact the censorship by Big Tech, run by leftists, that caused voices that would save Democrats' lives to be suppressed.
[02:22:29.580 --> 02:22:41.683]  Which is why more Democrats are dead today and not voting, although you might argue that that never stopped Democrats from voting before, just being dead, but it's harder when there are more of them dead, but we tried to save their lives.
[02:22:41.943 --> 02:22:47.366]   Again, Alex Jones tried to save their lives, I tried to save their lives, Dr. Peter McCullough tried to save their lives.
[02:22:47.386 --> 02:22:55.115]  There's so many other people who have appeared on this program, such as Pete Chambers and just many other amazing people.
[02:22:55.175 --> 02:22:56.897]  Dr. Joseph McCullough and many others.
[02:22:57.517 --> 02:23:04.185]   So, if the Democrats lose this election, For that reason and many more, they only have themselves to blame.
[02:23:04.865 --> 02:23:18.701]  If they find themselves in a position where they can't out-cheat the number that they're missing, and also the growing backlash against the Democrat agenda that is punishing America through what we can only call acts of terrorism against the infrastructure.
[02:23:19.301 --> 02:23:20.903]  Shutting down oil and coal.
[02:23:21.363 --> 02:23:24.687]  Shutting down, effectively, transportation because of fuel scarcity.
[02:23:25.287 --> 02:23:26.549]  Shutting down the food system.
[02:23:27.069 --> 02:23:30.593]  And causing the dollar to lose value because of endless money printing.
[02:23:30.933 --> 02:23:33.256]  Causing food inflation, fuel inflation.
[02:23:33.937 --> 02:23:36.960]  And then also now, housing price collapse.
[02:23:37.500 --> 02:23:40.303]  And also land prices are collapsing in some areas.
[02:23:41.284 --> 02:23:44.547]  And the stock market is down substantially from the beginning of the year.
[02:23:44.888 --> 02:23:48.691]  So while costs are going up, prices are going up, people's assets are falling.
[02:23:49.352 --> 02:23:51.454]  And this is due to Democrat policies.
[02:23:52.054 --> 02:23:55.197]  So the backlash against the Democrats is going to be absolutely enormous.
[02:23:55.718 --> 02:23:58.620]  It may be beyond the threshold of Democrat cheating.
[02:23:59.321 --> 02:24:03.322]  That's yet to be seen, but it shows why the cheating is so desperate.
[02:24:03.902 --> 02:24:07.303]  Now, there's a possible silver lining in all of this that I want to mention.
[02:24:07.963 --> 02:24:28.609]  Because the cheating has to be so blatant and just so desperate, it's far more likely today, in 2022, that Democrats are going to get caught cheating, compared to the way they pulled it off in 2020, which was basically a surprise attack through a rapid expansion of a cheating mechanism that was not widely anticipated by conservatives.
[02:24:29.289 --> 02:24:41.359]  But since that time, if you think about it, people like Steve Bannon at the War Room and here, Infowars.com, all the amazing hosts, Owen Schroyer and Harrison and Alex and so many others have been able to sound the alarm.
[02:24:41.799 --> 02:24:45.162]  So the GOP is awake and aware of what might be attempted here.
[02:24:45.722 --> 02:24:52.728]  So the fact, I should say, the likelihood that Democrats are going to get caught this time is extremely high.
[02:24:53.448 --> 02:25:00.735]  In fact, if you go on to the Gateway Pundit right now, look at Jim Hoft and his coverage in real time, looking at what's happening across the country.
[02:25:01.175 --> 02:25:03.197]  He's got a tips email that's going there.
[02:25:03.237 --> 02:25:11.645]  People are reporting tips from all over America of some of the machine failures and some of what appears to be cheating taking place all across this country.
[02:25:12.245 --> 02:25:19.986]  In other words, conservatives now have an infrastructure to spot the cheating, to publicize it, to cover it, and to fight back against it.
[02:25:20.347 --> 02:25:23.427]  Now in 22, more than in any election previous to this.
[02:25:24.267 --> 02:25:33.249]  In addition, something like 24 states have passed additional election integrity laws that have been put in place, making it more difficult for Democrats to cheat.
[02:25:33.789 --> 02:25:38.530]  Of course, they can still cheat in their Dem-controlled areas, but even then, there's going to be a lot more scrutiny.
[02:25:39.170 --> 02:26:03.705]  So I would say that right now, where we stand, even with the cheating, the massive outpouring backlash against the Democrats' agenda, which includes child grooming and pedophilia and genital mutilations and food inflation, fuel inflation, scarcity of falling asset values and all of this, the backlash is so massive that we may yet pull this thing off despite the cheating.
[02:26:04.365 --> 02:26:05.606]  And that's what we are praying for.
[02:26:06.306 --> 02:26:15.950]   And by the way, we should also thank God And thank you for all your prayers out there that we made it to this day without a massive false flag event cancelling the election.
[02:26:16.310 --> 02:26:18.130]  Because that was always a possibility.
[02:26:18.771 --> 02:26:24.032]  And I've been told from sources that those efforts were underway and they were shut down internally.
[02:26:24.432 --> 02:26:27.473]  Because there is a kind of civil war behind the scenes.
[02:26:28.073 --> 02:26:31.174]  And there are a lot of people in the system that are fed up with the corruption.
[02:26:31.514 --> 02:26:34.895]  And they too want to take America back, just like you and I do.
[02:26:35.575 --> 02:26:42.641]  So this could be an amazing historic day for America, and we're going to cover it all right here live on InfoWars.com.
[02:26:43.061 --> 02:26:50.166]  I'll be back with more commentary, and remember there's evening coverage all this evening right here on Band.Video and InfoWars.com.
[02:26:50.587 --> 02:26:51.167]  I'm Mike Adams.
[02:26:51.207 --> 02:26:53.349]  I'll be back after this short break with much more.
[02:26:54.733 --> 02:27:02.779]  So, one of the strategies to out-game the cheating mechanism by the Democrats is to vote on Election Day.
[02:27:02.799 --> 02:27:14.146]   And because of a great many people who were sharing that strategy on the War Room and even on InfoWars and other broadcasts, It turns out that a lot of conservatives waited.
[02:27:14.206 --> 02:27:25.752]  They did not participate in early voting or mail-in voting because they knew that that actually provides the Democrat algorithms with the data points that they need to rig the cheat in advance.
[02:27:26.232 --> 02:27:28.593]  So instead they're voting today, on election day.
[02:27:29.353 --> 02:27:30.994]  And I have yet to vote today.
[02:27:31.054 --> 02:27:31.994]  I'm going to do that.
[02:27:32.895 --> 02:27:34.956]  Nothing's going to stop me from voting, that's for sure.
[02:27:35.876 --> 02:27:38.538]  But millions of people all across the country are doing the same thing.
[02:27:39.058 --> 02:27:49.763]  As a result, the turnout that's happening today, and we're getting early numbers out of Florida and other areas, show that the Republican turnout is off the charts.
[02:27:50.463 --> 02:28:00.623]   And as an example of that, even in Miami-Dade County, which of course is a traditionally blue Democrat-leaning county in Florida, The Republican turnout...
[02:28:01.756 --> 02:28:08.100]  Is more than 10,000 ahead in terms of total votes cast compared to Democrats, and that's in a blue county.
[02:28:08.881 --> 02:28:16.025]  Now, on top of that, I can assure you that there are hardly any Republicans that are not voting Republican.
[02:28:16.305 --> 02:28:19.788]  I mean, almost every Republican is going to vote against the Democrats.
[02:28:20.268 --> 02:28:25.591]  And yet, at the same time, there's no question that there are many registered Democrats who will vote Republican.
[02:28:26.071 --> 02:28:26.292]  Why?
[02:28:26.832 --> 02:28:29.534]  Because, well, there's a kind of civil war in the Democrat Party.
[02:28:30.512 --> 02:28:44.526]  And a lot of what you might call mainstream Democrats or classical liberals are fed up with how radical the Democrat Party has become, especially with kind of the AOC camp and the push for transgenderism on children.
[02:28:45.127 --> 02:28:51.153]  Chemical castrations and genitalia mutilations and drag queen story time in schools and things like that.
[02:28:51.793 --> 02:29:16.785]  It is really offensive to common sense people, whether they are Democrats or Republicans, to exploit and abuse children in that manner, and to end up having children having their reproductive organs surgically cut off, effectively maiming children for life, in order to achieve some kind of progressive, inclusive agenda that's nothing... it's not inclusive, it's abusive!
[02:29:17.265 --> 02:29:27.390]  So, the point is, oh, and by the way, I should mention there are a lot of gays who are walking away from the Democrat Party as well, for a lot of the same reasons.
[02:29:27.910 --> 02:29:30.672]  There's a group called Gays Against Groomers, for example.
[02:29:31.587 --> 02:29:53.265]  And I think their slogan is LGB without the T. And, you know, they used to be embraced and accepted just being gay as part of the Democrat Party, but now if they're gay and white, then they can even be ostracized by the Democrats, and they're not on board with all the transgenderism and grooming and so on, and they are walking away from the Democrat Party.
[02:29:54.265 --> 02:30:02.194]  So, we're also seeing Hispanics moving strongly against the Democrats, because Hispanics, by the way, have very strong family values.
[02:30:02.895 --> 02:30:11.565]  And most of them are Catholic, in terms of their religious affiliation, and they want strong families, and they want to protect their children from predators.
[02:30:12.225 --> 02:30:17.812]  Because many of them are very much aware of how the southern border is used to traffic children.
[02:30:17.852 --> 02:30:21.036]  They don't want their children to be subjected to those kinds of risks.
[02:30:21.416 --> 02:30:26.342]  And they don't want their children to be turned into transgenders and have their genitalia mutilated.
[02:30:26.382 --> 02:30:29.226]  So Hispanics are rejecting the Democrat Party as well.
[02:30:29.626 --> 02:30:30.928]  And then there are black Americans.
[02:30:31.468 --> 02:30:36.131]  And black Americans, my sense is that many of them feel abandoned by the Democrats.
[02:30:36.591 --> 02:30:38.012]  They were promised many things.
[02:30:38.072 --> 02:30:41.234]  The Democrats always make promises during election season.
[02:30:41.634 --> 02:30:43.195]  Oh, you know, we'll take care of you.
[02:30:43.235 --> 02:30:43.995]  We'll remember you.
[02:30:44.055 --> 02:30:45.896]  We'll clean up your neighborhoods.
[02:30:46.337 --> 02:30:52.480]  And then the Democrats betray black Americans by being soft on crime, defunding police.
[02:30:52.880 --> 02:31:02.207]   And by the way, most black Americans want A reasonable police presence in their communities to push back against the violent crime that is rising like never before.
[02:31:02.887 --> 02:31:06.810]  And then you've got the crazies like Kathy Hochul, current governor of New York.
[02:31:06.910 --> 02:31:09.352]  She may very well lose to Lee Zeldin.
[02:31:09.932 --> 02:31:16.637]  She, just the other day, called any talk of violent crime rising in New York, she said it was a conspiracy theory.
[02:31:17.137 --> 02:31:21.881]  So yeah, if you get stabbed in New York, that's a conspiracy theory now, according to Hochul.
[02:31:22.301 --> 02:31:29.307]  Or if you get shot or mugged or raped on the streets of New York City, oh, you're a conspiracy theorist, even though you were the victim of the crime.
[02:31:29.827 --> 02:31:30.868]  That's how insane it is.
[02:31:31.209 --> 02:31:35.612]  So that's why so many people are walking away, moving away, rejecting the Democrat Party.
[02:31:36.112 --> 02:31:40.416]  And this explains why there will be so many Democrats voting Republican.
[02:31:40.976 --> 02:32:07.205]   So in other words, what I'm saying, Is that even if you look at the aggregate number of votes cast by the two political parties in all the elections across the country, that alone, even though it's already strongly favoring Republicans compared to the turnout, you know, two years ago, that doesn't even capture the level of frustration with the Biden regime and the level of rejection of the Democrats, including by Democrats themselves.
[02:32:07.965 --> 02:32:18.476]   And when this is all said and done, You're going to see a kind of civil war in America, but a civil war inside the Democrat Party, as the blame game begins.
[02:32:18.976 --> 02:32:36.330]  And you have the Nancy Pelosi camp, kind of the old-school Democrats, at a kind of war, you know, behind-the-scenes political war, with the AOC camp, which is, we might call them the Green Taliban, you know, the greeny climate cultists, the radicals in the Democrat Party.
[02:32:37.239 --> 02:32:40.402]  That war is going to be a sight to behold.
[02:32:41.203 --> 02:32:50.851]  Of course, that assumes that Republicans actually sweep victories today and take both the House and the Senate, which I still think is likely, despite the cheating.
[02:32:51.532 --> 02:33:17.798]   But this civil war inside the Democrat Party Is going to be fireworks, because you're going to see whether the Democrats will choose a future that is in line with the American people and reasonable common sense values, such as protecting families and children, or whether they go all full-blown Marxists and Communists and just say they want to power their way through this and demand obedience and punish anybody who disagrees.
[02:33:18.398 --> 02:33:23.140]  That has been the path of the Democrats for the last two years or so, if not longer.
[02:33:23.860 --> 02:33:29.442]  But they're about to get slapped hard by the American voter with a message that says, we reject this.
[02:33:29.622 --> 02:33:38.805]  We reject you, the Biden regime, the Democrats, and your insanity, your insane policies against children, and your controlled demolition of the economy.
[02:33:39.645 --> 02:33:49.448]  And where Democrats really went wrong in this, although you might say it's too early, you know, for a post-election analysis, but let me tell you where I think they went way wrong in all of this.
[02:33:50.389 --> 02:33:53.970]  They tried to take down the food system and the energy system.
[02:33:54.870 --> 02:33:57.633]  And they didn't realize the repercussions that it would have.
[02:33:58.234 --> 02:34:04.600]  They had no idea that the barges would get stuck in the Mississippi River because of geoengineering and weather control systems.
[02:34:05.200 --> 02:34:15.150]  They didn't think through the fact that if there's not enough diesel, then people don't get food on a timely basis, and then food prices go sky high because diesel is used in farming and agriculture.
[02:34:16.204 --> 02:34:19.826]  And it's typical of Democrats to not think about the repercussions of their actions.
[02:34:20.267 --> 02:34:29.213]  After all, they lash out emotionally and irrationally, and they lack any real understanding of economics, politics, history, or humanity as a whole.
[02:34:29.853 --> 02:34:32.695]  So, this is the way they behave, like petulant children.
[02:34:33.375 --> 02:34:36.978]  And those children are about to get slapped hard today by the American voter.
[02:34:37.598 --> 02:34:48.102]  So the number one thing that you can do today is make sure you go out and vote, and encourage everyone around you to vote, and then tune in here at InfoWars.com as we provide live coverage.
[02:34:48.122 --> 02:34:51.383]  It's going to be O. S. Schroyer, Harrison Smith, and others, and Alex throughout the evening.
[02:34:51.443 --> 02:34:52.183]  I may pop in.
[02:34:53.004 --> 02:34:53.364]  We'll see.
[02:34:53.384 --> 02:34:56.585]  We'll see what the schedule looks like and what openings are available.
[02:34:57.285 --> 02:34:59.266]  But we're going to cover this all throughout the evening.
[02:35:00.257 --> 02:35:00.597]  Stay with us.
[02:35:00.617 --> 02:35:03.119]  We're going to be joined by James White following this break.
[02:35:03.500 --> 02:35:06.922]  He's from Northwest Liberty News with more election analysis.
[02:35:07.303 --> 02:35:12.847]  But I just want to tell you, I have real hope that we can win this thing and we can overcome the cheating.
[02:35:12.947 --> 02:35:13.647]  So stay tuned.
[02:35:13.848 --> 02:35:18.031]  Much more straight ahead here on Band.Video and InfoWars.com.
[02:35:18.877 --> 02:35:19.598]  All right, welcome back.
[02:35:19.638 --> 02:35:27.242]  A couple of things real quick here and then we're going to jump in with James White from Northwest Liberty News with additional election analysis based on what's happening right now in real time.
[02:35:28.343 --> 02:35:29.644]  Two things worth mentioning.
[02:35:29.704 --> 02:35:40.431]  Number one, there is a kind of a crypto Bitcoin meltdown of sorts or mini meltdown taking place right now that is completely unrelated to the election.
[02:35:40.991 --> 02:35:42.372]  So there's nothing election related.
[02:35:42.392 --> 02:35:46.273]  There's something happening between, I think, Binance and another coin.
[02:35:46.293 --> 02:35:47.813]  I don't know if it's FTT or who it is.
[02:35:48.554 --> 02:35:50.074]  There was a liquidity question.
[02:35:50.134 --> 02:35:51.515]  There's been a little bit of concern there.
[02:35:51.575 --> 02:35:55.456]  But Bitcoin is down to very close to 18,000 right now.
[02:35:56.376 --> 02:36:00.838]  And there's a lot of, you know, a lot of people watching, a lot of people concerned about that situation.
[02:36:00.858 --> 02:36:07.512]   I just encourage you, you know, Look at it closely, you know, before you make any decisions.
[02:36:07.792 --> 02:36:10.514]  Obviously, I'm not advising you to do anything one way or another.
[02:36:11.255 --> 02:36:18.260]  And I do think that everybody needs a safe place to get out of the fiat currency dollars.
[02:36:19.421 --> 02:36:25.866]  Dollars, in my opinion, because of what's happening with Saudi Arabia now choosing China as its priority trading partner.
[02:36:26.426 --> 02:36:31.008]  You have the BRICS Nations, you have the Belt and Road Initiative that we've covered on other episodes.
[02:36:31.568 --> 02:36:35.589]  But the dollar, ultimately, not today, but the dollar is doomed.
[02:36:36.149 --> 02:36:37.350]  The dollar is going to vanish.
[02:36:38.170 --> 02:36:42.231]  It could be months away, it could be a couple of years away, it could be real soon.
[02:36:42.491 --> 02:36:43.372]  We don't know for sure.
[02:36:45.305 --> 02:37:18.921]   You gotta have a safe place for your assets outside the dollar, but do your own research, do your own homework, talk to your own financial advisors, get informed, because the reason I even mention this today is because depending on how this election goes and whether the radical leftists and the Biden regime are going to try to carry out some kind of false flag operation after this, there could be violence that they set into motion There could be a lot of instability following this and I've even predicted there could be attacks against America's infrastructure, such as false flag cyber attacks on the banking and financial system following this election.
[02:37:19.361 --> 02:37:33.954]   Remember, as I said, when Americans reject the regime, The regime will punish Americans in the same way that America punished Germany by destroying the Nord Stream pipelines, which provide energy to Germany and Western Europe.
[02:37:34.494 --> 02:37:42.143]  The same regime is willing to carry out acts of terrorism against the domestic infrastructure in America that keeps this country running.
[02:37:43.044 --> 02:37:44.685]  Keep those things in mind.
[02:37:45.186 --> 02:37:55.615]  All right, now we're going to bring in James White from Northwest Liberty News, and he is a host on my platform as well, and I just know that he's a really well-informed guy.
[02:37:56.175 --> 02:37:56.816]  Welcome, James.
[02:37:56.836 --> 02:37:57.597]  It's great to have you on.
[02:37:57.617 --> 02:38:00.139]  Mike, thanks for having me on the broadcast.
[02:38:00.159 --> 02:38:03.181]  I appreciate you and I appreciate the folks over at InfoWars.
[02:38:03.221 --> 02:38:03.642]  Thanks so much.
[02:38:04.730 --> 02:38:05.771]  Yeah, absolutely.
[02:38:06.091 --> 02:38:09.093]  You're online here with the best of the best.
[02:38:09.133 --> 02:38:13.636]  I mean, InfoWars has been leading this charge for two years to take America back.
[02:38:13.676 --> 02:38:19.681]  But give us your estimate right now, James, of where you think we stand based on the news that you've heard this morning.
[02:38:20.061 --> 02:38:22.723]  I think you already broadcast your own show just about an hour ago.
[02:38:22.803 --> 02:38:24.204]  So what can you tell us?
[02:38:25.685 --> 02:38:27.066]  So here's what I think is going on, Mike.
[02:38:27.166 --> 02:38:31.529]  I think that the 2020 election, I think they tried to do the steal.
[02:38:32.132 --> 02:38:35.173]  sort of in secret if you will without people finding out.
[02:38:35.173 --> 02:38:38.391]  I think now they're doing it just the opposite.
[02:38:38.391 --> 02:38:42.811]   My thought is what's the only, what are the only institutions that they have left that
[02:38:42.811 --> 02:38:45.492]  they can go to and that's the court systems.
[02:38:45.492 --> 02:38:48.971]   I think what they're going to do is they're going to try to make it so haywire and so
[02:38:48.971 --> 02:38:54.253]   people are going to be so, they're not going to have any confidence at all in the vote
[02:38:54.253 --> 02:38:56.172]  that they're going to try to get into the courts.
[02:38:56.199 --> 02:38:59.380]  I think that's really one of the only things they have left, is to try to get it to the courts.
[02:38:59.420 --> 02:39:02.001]  And you saw this Fetterman guy that's going against Oz.
[02:39:02.381 --> 02:39:07.623]  He said that before the ballot boxes were even open.
[02:39:08.044 --> 02:39:10.725]  He's already talking about bringing up lawsuits.
[02:39:10.905 --> 02:39:11.885]  I think that's what they're going to do.
[02:39:11.905 --> 02:39:14.086]  I think they're going to use lawfare, which is what they do a lot.
[02:39:15.140 --> 02:39:23.285]  Yeah, Fetterman said that he thought he was going to have some miraculous comeback today, which is, I think, just code words for incredible cheating.
[02:39:23.305 --> 02:39:30.250]  I mean, after that debate between Fetterman and Oz, how could any rational person vote for Fetterman at all?
[02:39:30.290 --> 02:39:32.692]  I mean, I feel sorry for the guy.
[02:39:32.712 --> 02:39:34.313]  He needs medical assistance.
[02:39:34.333 --> 02:39:43.336]   He needs time to recover and heal from his stroke, but he is not Of the state of mind with proper cognition to be able to represent the American people in the United States Senate.
[02:39:43.916 --> 02:39:49.138]  Clearly, Dr. Oz is the straightforward choice in that role.
[02:39:49.178 --> 02:39:51.018]  Now, Oz is leading in the polls, though.
[02:39:51.378 --> 02:39:54.399]  Do you think, James, that they can cheat enough to overcome that lead?
[02:39:56.879 --> 02:39:57.820]  But yeah, I think they can.
[02:39:58.440 --> 02:40:00.780]  I mean, I think they're going to try.
[02:40:00.860 --> 02:40:09.266]   That is, again, Mike, I don't believe that For years and years, I don't believe that some of these people that are in power now would have got in power unless they cheated.
[02:40:09.786 --> 02:40:11.987]  I think they've been doing it for a long time, maybe 20 years.
[02:40:12.047 --> 02:40:13.208]  I think they've become very good at it.
[02:40:13.768 --> 02:40:23.392]  I think now, I think people are becoming wise, and I think the whole con is about to crumble, because the people being conned realize now that they're being conned, and the con can continue.
[02:40:23.891 --> 02:40:27.572]   When the people wake up, so yeah, I think they're gonna try to steal it in several places
[02:40:27.572 --> 02:40:35.592]   I'm we're getting reports and I think in Texas and Arizona I heard in New Jersey and maybe even Pennsylvania that they're
[02:40:35.592 --> 02:40:40.811]   having trouble with the machines. I think So we had some huge trouble
[02:40:41.297 --> 02:40:49.122]  As many as 20% of the machines in some districts are being reported as not scanning some ballots, and guess whose ballots they won't scan properly, right?
[02:40:50.222 --> 02:40:52.222]  It's not hard to figure that out.
[02:40:52.222 --> 02:40:53.222]  But...
[02:40:53.222 --> 02:40:54.222]  We've got other news here that...
[02:40:54.222 --> 02:40:55.222]  Go ahead.
[02:40:55.222 --> 02:40:56.222]  Go ahead, Mike.
[02:40:56.222 --> 02:40:57.222]  No, no, you got it.
[02:40:57.222 --> 02:41:02.942]   I didn't realize I had Roger Roots on earlier on my second hour and he has ran under the
[02:41:02.942 --> 02:41:05.542]  Libertarian Party here in Montana several times.
[02:41:05.538 --> 02:41:08.460]  He usually gets about three or four percent of the vote when he runs.
[02:41:09.060 --> 02:41:13.583]  We have a candidate here, John Lamb, here in Montana running for the U.S.
[02:41:13.623 --> 02:41:13.923]  Congress.
[02:41:14.603 --> 02:41:19.104]  In polling, he is getting 21% of the vote with the youth.
[02:41:19.384 --> 02:41:21.725]  They did a youth poll in the schools.
[02:41:23.085 --> 02:41:21.725]  21%.
[02:41:23.325 --> 02:41:26.046]  I talked to Roger, who is again a constitutional lawyer.
[02:41:26.466 --> 02:41:32.548]  He said that no libertarian candidate has ever got over 12% ever in any election, any state.
[02:41:32.728 --> 02:41:41.990]  This could be literally nationwide national news here in Montana if this libertarian candidate gets more than 12% and it looks like he's going to.
[02:41:42.938 --> 02:41:49.301]  So is it understood that most of those youth votes would otherwise be Democrat votes, if not for this Libertarian candidate?
[02:41:50.522 --> 02:41:52.082]  Well, there were Democrats.
[02:41:52.122 --> 02:41:54.624]  There was Ryan Zinke is one of the other guys running.
[02:41:54.844 --> 02:41:56.625]  He's running, and there's also a Democrat running.
[02:41:56.645 --> 02:41:59.286]  They had all three of those folks on the list.
[02:41:59.346 --> 02:42:02.767]  And the Democrat did get quite a few votes among the younger children.
[02:42:03.188 --> 02:42:09.643]   But it's really notable that the Libertarian got 21.8% amongst the high schoolers.
[02:42:09.643 --> 02:42:11.003]  That's just unheard of.
[02:42:11.003 --> 02:42:16.123]   I don't think anybody's ever heard of Libertarians getting that kind of coverage.
[02:42:16.123 --> 02:42:21.203]  Well, now that can work for or against the GOP, by the way.
[02:42:21.207 --> 02:42:24.810]  Libertarians can often take votes away from the GOP in other races.
[02:42:25.731 --> 02:42:30.436]  And, you know, we just have to watch this very carefully for the rigging.
[02:42:30.476 --> 02:42:52.273]   Now, I believe your theory is that then the Democrats are going to be able to rig this at such a large level that they force court cases over this, which will drag out The certification of the results, potentially from days or weeks, but then the courts themselves are often rigged by partisan left-wing Democrats who will not follow the law.
[02:42:52.673 --> 02:42:54.234]  Is that your contention?
