[00:00:00.000 --> 00:00:16.000]  (outtro music)
[01:26:14.435 --> 01:26:16.376]  That would be the basis for all of the arrests.
[01:26:16.796 --> 01:26:17.216]  Problem?
[01:26:17.557 --> 01:26:18.717]  Trump never took the bait.
[01:26:18.777 --> 01:26:21.739]  He took the advice of some of us who told him not to take that bait.
[01:26:22.419 --> 01:26:23.120]  Second problem?
[01:26:23.340 --> 01:26:27.162]  They had to exaggerate all the January 6th charges because PatCon never developed.
[01:26:27.482 --> 01:26:29.603]  Nobody went in there and took guns and tried to harm people.
[01:26:29.903 --> 01:26:41.970]  In fact, the limited violence that occurred was often in response to Capitol Police violence or Capitol Police eargassing or Capitol Police attack, not, in fact, initiated or instigated or originated by them.
[01:26:42.490 --> 01:26:52.835]  And the very few that did take place have unusual ties in many of those cases to informants, infiltrators, instigators, agitators, FBI participants.
[01:26:53.096 --> 01:26:55.157]  They're on the payroll one way, shape, or form.
[01:26:55.637 --> 01:26:58.018]  So that tells us where they wanted the script to go.
[01:26:58.058 --> 01:26:58.839]  It hasn't worked out.
[01:26:59.319 --> 01:27:00.720]  They thought they could lock up Trump.
[01:27:00.760 --> 01:27:02.721]  They thought they could lock up Trump's key supporters.
[01:27:02.761 --> 01:27:05.022]  They thought they could lock up Trump's most active allies.
[01:27:05.482 --> 01:27:08.103]  They thought the QAnon election strategies would work.
[01:27:08.323 --> 01:27:08.724]  They didn't.
[01:27:09.524 --> 01:27:11.245]  Now they're stuck with backup plans.
[01:27:12.122 --> 01:27:12.783]  Desperation.
[01:27:13.243 --> 01:27:15.505]  That's why they're searching and seeking for anything.
[01:27:15.625 --> 01:27:20.088]  And even worse for them, Trump clearly took with him documents that embarrass them.
[01:27:20.408 --> 01:27:25.532]  Now, legally, as President of the United States, he is the only elected person with constitutional executive power.
[01:27:25.812 --> 01:27:32.237]  He has a complete right to declassify anything he wants, anytime he wants, without going through any formality or protocol, period.
[01:27:32.618 --> 01:27:35.159]  He can declare anything he wants a personal record.
[01:27:35.199 --> 01:27:37.061]  This has been adjudicated by federal courts.
[01:27:37.781 --> 01:27:41.302]  So that is not a presidential record, can't be considered governmental record, period.
[01:27:41.703 --> 01:27:42.343]  End of story.
[01:27:42.603 --> 01:27:43.623]  He can do with it what he wants.
[01:27:44.003 --> 01:27:47.765]  But it's clear he took documents and information that implicate the deep state.
[01:27:48.065 --> 01:27:51.126]  And the goal of the deep state was, we're not going to go after Trump, clearly.
[01:27:51.406 --> 01:27:54.047]  This was their strategic thinking until we got those documents back.
[01:27:54.567 --> 01:27:58.048]  But when they did the raid at Mar-a-Lago, the safe was empty.
[01:27:58.428 --> 01:27:59.629]  It turned out that wasn't all.
[01:28:00.169 --> 01:28:05.486]   All those folders they were showing photos of, of classified information, All ended up being empty as well.
[01:28:05.986 --> 01:28:08.187]  They still don't have whatever Trump had.
[01:28:08.607 --> 01:28:12.108]  And in the game against Trump, they got deep state, got Trump once again.
[01:28:12.968 --> 01:28:13.649]  Thanks, everybody.
[01:28:13.769 --> 01:28:18.010]  And remember, InfoWarsStore.com where you can get healthier, wealthier, wiser today.
[01:28:18.571 --> 01:28:21.872]  Just look at these headlines from Reuters.
[01:28:22.552 --> 01:28:27.614]  World faces unprecedented global hunger crisis, UN chief says, going into 2023.
[01:28:28.574 --> 01:28:32.239]   World Food Program warns of global Food catastrophe.
[01:28:32.439 --> 01:28:33.680]  Looming global catastrophe.
[01:28:34.000 --> 01:28:37.143]  The world could run out of food by 2023, major studies say.
[01:28:37.563 --> 01:28:39.185]  And the reports go on and on.
[01:28:39.725 --> 01:28:42.888]  We told you this was a designed program by the globalists two and a half years ago.
[01:28:43.248 --> 01:28:47.292]  We told you energy and food prices would explode, and now they're up more than 40% in the U.S.
[01:28:47.332 --> 01:28:47.652]  alone.
[01:28:48.012 --> 01:28:49.233]  Some areas of the world are up over 100%.
[01:28:49.273 --> 01:28:55.379]  The only way you beat inflation and protect yourself and your family is with high-quality, affordable food ready to ship right now.
[01:28:55.559 --> 01:29:01.559]   at preparetoday.com and a very rare sale of 10% off site-wide, not just on
[01:29:01.559 --> 01:29:05.838]   throwable food, but survival preparedness items is happening right now. 10% off at
[01:29:05.838 --> 01:29:11.757]   preparetoday.com and on top of it any order above $99 gets free shipping. That
[01:29:11.757 --> 01:29:15.719]   is a huge part of the cost with throwable food. So go to preparetoday.com
[01:29:15.719 --> 01:29:18.128]  and protect yourself and your family while you still can.
[01:29:18.128 --> 01:29:22.048]   With the attacks on our bodies, on our immune systems, on our health, it's more
[01:29:22.048 --> 01:29:28.689]   important than ever to boost our immune systems and our body's natural defenses in
[01:29:28.689 --> 01:29:29.958]  a natural way.
[01:29:28.771 --> 01:29:33.176]  And the three products here on my broadcast desk are absolutely central to that.
[01:29:33.656 --> 01:29:37.140]  Vitamin Mineral Fusion, sold out for a long time, finally back in stock.
[01:29:38.001 --> 01:29:39.082]  Very close to selling out.
[01:29:39.642 --> 01:29:43.504]  Despite that, it is 40% off at infowarestore.com.
[01:29:43.984 --> 01:29:45.384]  Body's ultimate turmeric formula.
[01:29:45.424 --> 01:29:46.665]  Highest level of curcuminoids.
[01:29:47.125 --> 01:29:51.407]  Incredible, not just for your immune system, but for inflammation, for your cells, for everything.
[01:29:51.766 --> 01:29:56.726]   This is the strongest turmeric on the market at a very, very affordable price, infowarestore.com.
[01:29:56.726 --> 01:29:59.806]   And then finally, sold out for months, Ultimate Fish Oil.
[01:29:59.806 --> 01:30:04.766]   It's the highest quality fish oils and krill oil known to boost your cardiovascular system,
[01:30:04.766 --> 01:30:06.206]  your brain, your lungs.
[01:30:06.206 --> 01:30:11.766]   I mean, if you don't know what high-end fish oil and krill oil do, you need to research this for yourself.
[01:30:11.766 --> 01:30:17.926]   All three of these products are back in stock, discounted at infowarestore.com.
[01:30:18.005 --> 01:30:22.771]  In fact, Ultimate Fish Oil is 50% off at InfoWarStore.com.
[01:30:23.051 --> 01:30:28.858]  So these are great products that you and your family need, they enrich your life, and they keep the broadcast on the air.
[01:30:29.298 --> 01:30:31.920]  Very powerful forces are trying to shut us down.
[01:30:32.500 --> 01:30:34.781]  But we have the powerful force of we the people.
[01:30:35.122 --> 01:30:36.622]  We have you out there backing us.
[01:30:36.642 --> 01:30:39.164]  So thank you for keeping InfoWars in the fight.
[01:30:39.204 --> 01:30:41.205]  But InfoWars has been vindicated.
[01:30:41.545 --> 01:30:43.847]  Everything we've talked about has now come true, unfortunately.
[01:30:44.287 --> 01:30:48.950]  But because of the work we've done and because of your support, humanity has a fighting chance.
[01:30:49.290 --> 01:30:56.114]  And more and more people and more and more leaders around the world, not just here in the U.S., are standing up and speaking out against the globalists.
[01:30:56.354 --> 01:30:57.915]  Ultimate fish oil is back in stock at Infowarstore.com.
[01:30:58.015 --> 01:31:03.814]   that seeks to make us sick, to isolate us, to poison us, to absolutely drive us into submission.
[01:31:03.814 --> 01:31:09.614]   But one way to counter that is the high quality supplements exclusively available at infowarestore.com.
[01:31:09.614 --> 01:31:17.815]   Vitamin Refusion, Bodies, Ultimate Fish Oil, all of them 40 to 50% off at infowarestore.com.
[01:31:17.815 --> 01:31:22.315]  Ultimate Fish Oil is back in stock at infowarestore.com.
[01:31:22.315 --> 01:31:24.115]  What does ultimate mean?
[01:31:24.115 --> 01:31:28.515]  That's just our name for the best, the highest grade.
[01:31:28.687 --> 01:31:44.207]   What this concentrated anchovy oil, pure arctic krill oil, and high quality wild caught salmon oil does for your brain, your heart, Your cardiovascular system and for your entire body's functions is insane.
[01:31:44.767 --> 01:31:49.489]  Regular low-grade fish oil in all the studies does outstanding things.
[01:31:50.090 --> 01:31:57.293]  This is the highest grade and it's not been pasteurized, it's not been boiled, so it has its original effects intact.
[01:31:57.833 --> 01:32:06.380]  Ladies and gentlemen, everybody should visit InfoWorksStore.com today and get Ultimate Fish Oil finally back in stock for 50% off.
[01:32:06.721 --> 01:32:08.942]  For our regular fans and our big supporters, you're going to love it.
[01:32:08.963 --> 01:32:09.923]  You already know how great it is.
[01:32:09.943 --> 01:32:14.267]  But for folks who have been on the fence, experience Ultimate Fish Oil for yourself.
[01:32:14.787 --> 01:32:17.470]  Try taking some before bedtime and see what happens with your dreams.
