[00:00:00.333 --> 00:00:01.674]  So it's all official.
[02:23:23.671 --> 02:23:24.672]  I mean, we're now there.
[02:23:24.712 --> 02:23:25.833]  It ain't coming now, brother.
[02:23:26.113 --> 02:23:26.694]  We're here.
[02:23:26.734 --> 02:23:27.575]  Can you believe this?
[02:23:28.256 --> 02:23:34.662]   But like, Jeff, I mean, like Franklin said, instead of cursing the darkness, We have to light a candle.
[02:23:35.003 --> 02:23:37.664]  And the way we do it, you get an obstacle in front of you.
[02:23:37.684 --> 02:23:39.304]  You've got to learn to go around it.
[02:23:39.444 --> 02:23:47.427]  And just like that last caller said, we have got to learn to transact with one another in gold and silver.
[02:23:47.707 --> 02:23:50.288]  We've got to get back... I agree.
[02:23:50.328 --> 02:23:51.128]  And exactly.
[02:23:51.168 --> 02:23:52.869]  I think this is going to be our greatest moment here.
[02:23:52.889 --> 02:23:54.750]  I mean, I agree with you.
[02:23:54.770 --> 02:23:55.350]  It's going to be rough.
[02:23:55.370 --> 02:23:55.930]  It's going to be hard.
[02:23:55.970 --> 02:23:57.871]  But we're about to find out who we are again.
[02:23:58.331 --> 02:24:07.615]  If you have two brain cells left to rub together, I would go out and buy as much gold and silver as I could get my hands on, while it's still affordable.
[02:24:08.055 --> 02:24:11.957]  Because once all this comes and they... No, I totally agree with you.
[02:24:11.997 --> 02:24:14.358]  I had to sell all my silver and gold in my divorce.
[02:24:14.958 --> 02:24:15.619]  Eight years ago.
[02:24:15.639 --> 02:24:17.623]  I mean, gosh, I had a half million of it.
[02:24:17.663 --> 02:24:19.305]  I bought it was like worth two millions of divorce.
[02:24:19.686 --> 02:24:21.048]  That's what paid for the divorce and everything.
[02:24:21.068 --> 02:24:22.631]  And I basically have none of it now.
[02:24:22.651 --> 02:24:24.755]  A little bit of silver, a little bit of gold, almost nothing.
[02:24:25.235 --> 02:24:26.057]  And you're right.
[02:24:26.097 --> 02:24:28.361]  I wish that is damn right, brother, what you're saying.
[02:24:28.619 --> 02:24:36.619]   would be happening if we allowed, if traders in DC had not, you know, I mean, it was Christmas
[02:24:36.619 --> 02:24:40.939]   Eve night, you know, it was just a handful of congressmen, you know, past that because,
[02:24:40.939 --> 02:24:45.818]   you know, you know the story. But anyway, we have got to go around this. We've got to
[02:24:45.818 --> 02:24:51.579]   come together and start trading with one another in gold and silver and barter.
[02:24:51.579 --> 02:24:58.539]   That's right. We had a banker coup on Christmas Eve 1913 and it's now 109 years into it.
[02:24:58.539 --> 02:25:02.539]   And now they're getting rid of us, moving to the next level with China.
[02:25:02.733 --> 02:25:03.554]  We've got to say no.
[02:25:03.594 --> 02:25:06.135]  We recognize you, we know who you are, and we say no.
[02:25:06.195 --> 02:25:06.996]  Thank you so much, Mike.
[02:25:08.357 --> 02:25:09.617]  All right, David Sinclair.
[02:25:09.637 --> 02:25:11.439]  I'm going to tell you who he is on the other side.
[02:25:12.423 --> 02:25:20.287]  I had this checked out by engineers, by scientists, by telecommunications experts, and they say this is basically what the CIA uses.
[02:25:21.748 --> 02:25:32.174]  And we're going to talk about this in real secure communications, next level, beyond dumb phones, beyond satellite phones, on the other side when we come back.
[02:25:32.194 --> 02:25:35.996]   But I wanted to play a clip here of The Santas.
[02:25:36.136 --> 02:25:37.697]  Because this is the most important thing.
[02:25:38.177 --> 02:25:39.738]  I don't care what Hollywood says.
[02:25:40.158 --> 02:25:41.758]  I don't care what the politicians say.
[02:25:42.178 --> 02:25:43.599]  I don't care what the globalists say.
[02:25:44.059 --> 02:25:44.759]  I'm done.
[02:25:44.939 --> 02:25:46.120]  I'm going to do what's right.
[02:25:46.840 --> 02:25:47.900]  Heaven may fall.
[02:25:48.020 --> 02:25:49.221]  Justice is going to be done.
[02:25:51.121 --> 02:25:52.242]  And that's what we need to see.
[02:25:53.968 --> 02:25:57.111]  With the bill saying, don't teach five-year-olds how to have sex with each other.
[02:25:57.652 --> 02:26:00.375]  And even Bill Maher says, yeah, leave kids alone.
[02:26:00.595 --> 02:26:04.639]  Yes, you dirty leftist pedos wrapped in a rainbow flag.
[02:26:04.659 --> 02:26:06.782]  The rainbow flag is now a pedophile flag.
[02:26:07.542 --> 02:26:12.087]  Ladies and gentlemen, here is Governor, hopefully President DeSantis.
[02:26:12.568 --> 02:26:14.450]  We'll be right back with special guests in studio.
[02:26:16.587 --> 02:26:27.797]  And so we will continue to recognize that in the state of Florida, parents have a fundamental role in the education, health care, and well-being of their children.
[02:26:28.117 --> 02:26:29.698]  We will not move from that.
[02:26:30.099 --> 02:26:33.221]  I don't care what corporate media outlets say.
[02:26:33.242 --> 02:26:35.043]  I don't care what Hollywood says.
[02:26:35.063 --> 02:26:37.966]  I don't care what big corporations say.
[02:26:38.706 --> 02:26:39.687]  Here I stand.
[02:26:40.087 --> 02:26:41.448]  I'm not backing down.
[02:26:41.448 --> 02:26:45.448]  [Applause]
[02:26:45.448 --> 02:26:55.447]  [BLANK_AUDIO]
[02:26:49.884 --> 02:26:53.884]  Before I do, I'll show it off officially.
[02:26:53.884 --> 02:26:56.884]  [APPLAUSE]
[02:26:56.884 --> 02:27:05.884]  You want one?
[02:27:05.884 --> 02:27:07.884]  You want one?
[02:27:07.295 --> 02:27:08.196]  Do you want one?
[02:27:11.383 --> 02:27:11.643]  Thank you.
[02:27:11.663 --> 02:27:12.703]  I'm Professor Mark Dice.
[02:27:12.803 --> 02:27:21.465]  I teach gender studies at California State University, and my colleagues and I across the country have been making tremendous progress in shattering the gender binary.
[02:27:21.825 --> 02:27:26.426]  We've introduced, as you know, a growing list of over 57 different gender identities.
[02:27:26.966 --> 02:27:29.467]  Many people don't know which gender they want to be.
[02:27:29.567 --> 02:27:31.727]  It's an extremely creative process.
[02:27:32.307 --> 02:27:38.591]   The reason I'm here is obviously the college students Young adults, their minds still fairly malleable.
[02:27:39.231 --> 02:27:42.575]  But we've seen the Don't Say Gay Bill being passed in Florida.
[02:27:42.895 --> 02:27:49.202]  And if we're going to truly succeed in the New World Order, we're going to have to reach the younger children.
[02:27:49.462 --> 02:27:58.108]   And maybe on a local level, we could start with Introducing ordinances to ban even identifying anyone as a gender at all.
[02:27:58.448 --> 02:28:11.154]   And if we can stop referring to the children as just boys, girls, he's or she's, until they're old enough to decide, perhaps then we can complete the I mean, let's just be honest here.
[02:28:11.194 --> 02:28:19.379]  The Marxist revolution, we can get to the point where a lot of us can shed the label of a Democrat and just openly admit that we are Marxists.
[02:28:19.639 --> 02:28:27.484]  Repealing the First Amendment on a national level may be a little bit difficult, but we've seen surveys conducted on the Oceanside Pier that there are a lot of people that are willing to accept that.
[02:28:27.624 --> 02:28:39.829]   So, we're just recommending the Bilderberg Group, Think Tank, some of our associates, World Economic Forum are recommending that on local levels we prevent the gendering of children at all.
[02:28:39.869 --> 02:28:43.251]  As you know, children will believe virtually anything at a young age.
[02:28:43.271 --> 02:28:48.032]  They believe that a man in a red suit flies around and brings presents to them every Christmas.
[02:28:48.092 --> 02:29:11.201]   And if we can convince them that there is no such thing as gender, that boys can be girls, girls can be boys, that men can get pregnant, that If women can have external genitals, penises, then I think that we'll be able to really succeed in what it is that we're trying to do here.
[02:29:11.221 --> 02:29:14.242]  We're going to have to start reaching the children on a younger level.
[02:29:14.262 --> 02:29:18.824]  And again, by the time a lot of these students reach college, many of them are setting their ways.
[02:29:19.364 --> 02:29:22.005]  Some of them are watching Tucker Carlson, other YouTubers.
[02:29:22.045 --> 02:29:23.086]  Thank you very much, sir.
[02:29:23.366 --> 02:29:23.646]  Thank you.
[02:29:23.686 --> 02:29:25.487]  For more, subscribe to the Mark Dice YouTube channel.
[02:29:25.507 --> 02:29:26.007]  That's it.
[02:29:26.047 --> 02:29:26.367]  Thank you.
[02:29:26.727 --> 02:29:36.070]  Boy, you gotta love Mark Dice with green hair, and everybody doing this comedy thing where you just repeat what leftists actually say at city councils is the new art form.
[02:29:36.530 --> 02:29:41.852]  I mean, I don't even track YouTube, and I see it every day, like, 5 million views, million views, 500,000 views, 10 million views.
[02:29:42.273 --> 02:29:43.973]  I mean, people are nailing it.
[02:29:44.373 --> 02:29:48.195]  So I'm gonna go to the city council soon and do my own leftist character.
[02:29:48.235 --> 02:29:52.396]  We gotta decide what leftist character I'm gonna have, and not much hair left, but we gotta make it green or purple.
[02:29:52.996 --> 02:29:58.821]   Now, David Sinclair I learned about this guy from Roger Stone months ago, when they sponsored CPAC.
[02:29:59.381 --> 02:30:03.666]  And then I did research, and I talked to IT people, and I talked to folks involved in security communications.
[02:30:03.686 --> 02:30:07.029]  They said, yeah, this is what everybody's been saying should be done.
[02:30:07.429 --> 02:30:12.895]  This isn't like some proxy thing, and it's not like, you know, some system that's super complex.
[02:30:14.023 --> 02:30:19.123]   Simply what's put into your phone and we're going to explain all of this
[02:30:19.123 --> 02:30:24.673]   So we hear all this talk about dumb phones with dumb phones are great. Everybody's going to those so they don't have
[02:30:24.673 --> 02:30:26.942]   apps They're not as easy to track. That's great
[02:30:26.942 --> 02:30:33.683]   But but what about your smartphone under your control not tracking you not tracing you and giving you triple
[02:30:33.683 --> 02:30:39.751]   layer encryption that actually works So David Sinclair is here and he's becoming a big sponsor with us.
[02:30:40.211 --> 02:30:43.073]  I'm fully endorsing this and I'm getting set up with it right now as well.
[02:30:43.934 --> 02:30:55.962]  And it's VoltaWireless.com, V-O-L-T-A, Volta, V-O-L-T-A, VoltaWireless.com, promo code Alex to get a big discount on signing up.
[02:30:56.062 --> 02:31:06.094]   And they're coming out with Secure phones at a very low price, but right now they're ready with the SIM cards, but also with other systems very easily, because I'm not a very technical guy.
[02:31:06.114 --> 02:31:08.918]  I can research technicals, but I'm not good at the actual nuts and bolts.
[02:31:09.358 --> 02:31:14.245]  I was able to do this in like five minutes myself, so that's why I am very excited.
[02:31:14.265 --> 02:31:17.462]   You're not trusting some Outside system.
[02:31:17.502 --> 02:31:26.589]  You've got hardware on your phone that's designed to communicate point-to-point seamlessly with wireless systems worldwide and protect your identity and more so.
[02:31:26.909 --> 02:31:28.210]  I appreciate David Sinclair.
[02:31:28.630 --> 02:31:34.395]  He is a former telecommunications and tech industry executive and is now the founder and CEO of Volta Wireless.
[02:31:34.915 --> 02:31:37.717]  And I'm just fascinated talking to you for hours on the phone.
[02:31:37.737 --> 02:31:39.318]  The limited time we have here.
[02:31:39.338 --> 02:31:54.344]   I'm going to try to give you the floor to talk about All the stuff you've done with industrial machines and pipelines and everything and what you're bringing people and you know I guessed it you wouldn't tell me it's all secret but obviously this is gonna be stuff the CIA wants because this is real secure communication.
[02:31:55.204 --> 02:32:09.269]   Absolutely this is definitely secure communications and you know as we've seen everybody last year was talking about how signal was the biggest thing for Secure communications, you need to get an encrypted message or you go get signal.
[02:32:10.089 --> 02:32:11.209]  And what do we see this year?
[02:32:11.510 --> 02:32:21.674]  Lots of criminal suits filed by the FBI, where they have messaging from Signal included as some of the core pieces of evidence in those cases.
[02:32:21.834 --> 02:32:24.336]  You know, it's not true security.
[02:32:24.376 --> 02:32:26.016]  It's not truly secure like it's supposed to be.
[02:32:26.477 --> 02:32:34.681]   You know, what we see happening every single day is mobile companies and tech companies are using our mobile phones to track Everything we do.
[02:32:35.102 --> 02:32:37.304]  You know, they know what time we wake up in the morning.
[02:32:37.464 --> 02:32:38.946]  Because what do most people do when they get up in the morning?
[02:32:38.966 --> 02:32:40.768]  One of the first things they do is pick up their mobile phone.
[02:32:41.249 --> 02:32:41.849]  You know, they know...
[02:32:43.419 --> 02:32:55.508]  Every phone call we make, every text message you send or receive, you know, we're required, they're required by law, the mobile operators are, to keep a record of every text message and every call for five years.
[02:32:56.169 --> 02:32:59.091]  They know who you talk to, when you talk to them, how often you talk to them.
[02:32:59.311 --> 02:33:02.033]  They have literally... I just learned about that with January 6th.
[02:33:02.093 --> 02:33:04.015]  And it's nothing to hide, but they've literally got everything.
[02:33:04.235 --> 02:33:05.235]  Oh yeah, absolutely.
[02:33:05.275 --> 02:33:06.756]  They know every internet search that you do.
[02:33:07.356 --> 02:33:08.616]  They know everything, right?
[02:33:08.836 --> 02:33:09.856]  That's just the mobile companies.
[02:33:09.876 --> 02:33:22.339]  Then you've got all the tech companies with all their apps on your phone that are, you know, calling to mama every two minutes telling Facebook and Amazon and everybody else, this is where you are, this is what you're doing, this is what you're looking at on the internet, you know.
[02:33:22.659 --> 02:33:27.880]  I wonder why even your new Apple phone or Droid suddenly won't work for a minute but does later.
[02:33:27.900 --> 02:33:29.060]  It's downloading then.
[02:33:30.748 --> 02:33:31.969]  Yeah, it's pretty bad.
[02:33:32.009 --> 02:33:35.070]  I'm not an engineer like you, but I've been told that by really smart engineers like you.
[02:33:35.130 --> 02:33:36.351]  No, absolutely.
[02:33:36.371 --> 02:33:48.097]  So the FTC ran tests on Apple phones and Android phones, and they discovered that on average, an Apple phone sends information about you back to Apple 52 times a day.
[02:33:49.994 --> 02:33:54.577]  The average Android phone sends information back to Google 14 times an hour.
[02:33:54.997 --> 02:33:55.197]  Wow.
[02:33:55.258 --> 02:34:00.721]  That's more than 350 times a day that Google is getting information from an Android phone about you.
[02:34:01.261 --> 02:34:02.261]  It's insane.
[02:34:02.261 --> 02:34:05.980]   And you're going to, in fact if you can stay tomorrow I'll have you on for like two hours
[02:34:05.980 --> 02:34:07.781]  because I'd love talking on the phone.
[02:34:07.781 --> 02:34:11.761]   I talked to all these engineers, they say what you're doing is dead on the answer.
[02:34:11.761 --> 02:34:16.461]   We want people to understand this is a simple way to take power back in your life from hackers,
[02:34:16.461 --> 02:34:19.501]   governments, corporations, you name it, with this volt of phone.
[02:34:19.501 --> 02:34:20.501]  This is exciting.
[02:34:20.501 --> 02:34:26.300]   Yeah, this is a great opportunity to finally take back your privacy, right?
[02:34:26.343 --> 02:34:29.066]  To finally stop everybody tracking everything that you do.
[02:34:29.547 --> 02:34:32.831]  So Volta Wireless, at its heart, is a software company.
[02:34:33.452 --> 02:34:38.031]   We began with the idea that We want everyone to have freedom.
[02:34:38.532 --> 02:34:43.533]  Free speech, be able to say what you want to do, freedom of association, be able to talk with the people you want to talk to.
[02:34:44.553 --> 02:34:46.494]  These are rights that are guaranteed by the Bill of Rights.
[02:34:46.874 --> 02:34:50.715]  And all the political scientists I know agree, privacy is the first right.
[02:34:50.755 --> 02:34:52.055]  If you don't have that, you have nothing.
[02:34:52.655 --> 02:34:53.135]  Exactly.
[02:34:53.596 --> 02:35:02.218]  Back in the revolutionary times, when they wrote the Constitution originally, and they did the Bill of Rights, the Fourth Amendment is about the privacy of your personal effects.
[02:35:03.058 --> 02:35:04.800]  Back then, we didn't have digital effects.
[02:35:04.860 --> 02:35:05.681]  Everything was on paper.
[02:35:05.721 --> 02:35:08.583]  So it was the privacy of your papers and your personal effects in your own home.
[02:35:09.064 --> 02:35:10.525]  You couldn't be searched without a warrant.
[02:35:11.326 --> 02:35:18.013]  Today, unfortunately, you know, the Supreme Court has never ruled that digital things are considered to be personal effects.
[02:35:18.613 --> 02:35:27.339]  If you send an email, that goes through multiple servers on the way to its destination, and because you're using other people's servers, it's no longer considered to be your personal communications.
[02:35:27.739 --> 02:35:34.743]  Even though there's really no difference between a personal letter that you send that the post office carries for you, and an email that you send that some email provider carries for you.
[02:35:34.763 --> 02:35:38.025]  Let's talk about it when we come back, because I talk to you all the time, it's amazing what you know.
[02:35:39.786 --> 02:35:44.810]  This is a way to just ignore that, legally protect yourself, and how important it is, and it's just...
[02:35:45.871 --> 02:35:47.132]  The SIM card and you're done.
[02:35:47.332 --> 02:35:50.355]  You don't have to mess with it like all these other systems that don't work.
[02:35:50.676 --> 02:35:56.141]  I've had folks, 30 plus companies come to us and say, do this, do that, sell this phone, do that.
[02:35:56.201 --> 02:35:57.482]  I looked at it, it didn't really work.
[02:35:57.902 --> 02:35:59.043]  This is the first one that works.
[02:36:00.097 --> 02:36:05.860]  So you may have nothing to hide, but the system and all these corrupt influences want your data.
[02:36:06.461 --> 02:36:09.082]  Protecting your most valuable asset is key.
[02:36:09.142 --> 02:36:20.128]  David Sinclair of Volta Wireless is here with us, voltawireless.com, and they've launched months ago with CPAC as a big sponsor, and more, gotten rave reviews.
[02:36:20.668 --> 02:36:28.050]   Systems where you have these simulated SIM cards, we want to be clear, that so many people have talked about versus real ones.
[02:36:28.050 --> 02:36:29.511]  If you want a physical one, they've got it.
[02:36:29.511 --> 02:36:30.730]  They've got virtual ones.
[02:36:30.730 --> 02:36:31.650]  It's so easy.
[02:36:31.650 --> 02:36:32.890]  It's one click.
[02:36:32.890 --> 02:36:34.890]  And this is a real solution.
[02:36:34.890 --> 02:36:35.930]  I'm so excited about it.
[02:36:35.930 --> 02:36:41.170]   So please give viewers and listeners, Mr. Sinclair, the same presentation you've given me.
[02:36:41.170 --> 02:36:44.370]   I don't know if I can give you the exact same one, but here's the background.
[02:36:44.423 --> 02:36:50.689]  Volta Wireless began with the idea of we want people to be able to be free, and so we want them to be able to have their privacy back.
[02:36:51.030 --> 02:36:53.772]  And so the first thing we looked at is what's the most important thing in free speech?
[02:36:53.812 --> 02:36:56.975]  Well, it's free communication, the ability to share information with one another.
[02:36:57.416 --> 02:36:59.658]  And so the first thing we did was we worked on an encrypted messenger.
[02:36:59.898 --> 02:37:01.779]  And everybody's, you know, we talked about Signal a moment ago.
[02:37:01.840 --> 02:37:04.361]  Signal uses basic end-to-end encryption.
[02:37:04.401 --> 02:37:06.083]  They're using an open source piece of code.
[02:37:06.743 --> 02:37:12.767]  And lo and behold, you know, we discovered, of course, that the FBI and, frankly, other government agencies have figured out how to hack that code.
[02:37:13.248 --> 02:37:13.428]  Right?
[02:37:13.628 --> 02:37:15.289]  There's a company in Israel called NSO.
[02:37:15.309 --> 02:37:16.570]  They have a software called Pegasus.
[02:37:16.590 --> 02:37:18.131]  They sell it to governments around the world.
[02:37:18.432 --> 02:37:21.314]  They specialize in hacking encrypted communications.
[02:37:22.068 --> 02:37:33.536]  So, when you look at the FBI cases that were filed in January, about a lot of the January 6th events that happened, what you find is a lot of signal communications are used as evidence in those cases, because the FBI's figured out how to get to them.
[02:37:33.916 --> 02:37:36.978]  You know, the next step then is, okay, well, how do you improve upon that?
[02:37:36.997 --> 02:37:43.438]   Well, we developed our own encrypted messenger, which allows you to do calls, messaging,
[02:37:43.438 --> 02:37:51.356]   file transfer, and also voice and video calls both, with up to 1,000 people at the same time.
[02:37:51.356 --> 02:37:54.516]  And it uses three layers of 256-bit encryption.
[02:37:54.516 --> 02:37:55.877]  That's huge, I'm told.
[02:37:55.877 --> 02:37:57.037]  Oh yeah. - Three layers.
[02:37:57.037 --> 02:38:03.438]   So three layers, 256-bit encryption is what the NSA uses to communicate top-secret materials.
[02:38:03.438 --> 02:38:09.356]   Three layers of 256-bit encryption, it takes every supercomputer in the world
[02:38:09.356 --> 02:38:13.917]   more than a million years to break through three layers of 256-bit encryption.
[02:38:13.915 --> 02:38:17.657]  Essentially, the computing power does not exist in the world today to hack through that.
[02:38:17.897 --> 02:38:18.137]  Wow.
[02:38:18.277 --> 02:38:20.779]  Okay, so there's no way somebody's going to be able to root through that.
[02:38:20.839 --> 02:38:22.019]  And that's what Volta Wireless does.
[02:38:22.059 --> 02:38:24.100]  That's built into our messaging software, absolutely.
[02:38:24.120 --> 02:38:24.800]  That was the starting point.
[02:38:24.820 --> 02:38:27.182]  You know, like I said, over 30 groups have approached us.
[02:38:27.702 --> 02:38:29.823]  I've shown my people they're not that good.
[02:38:29.843 --> 02:38:31.884]  People are like, well, this is it, what you've done.
[02:38:32.324 --> 02:38:33.344]  So how are you so different?
[02:38:33.384 --> 02:38:33.945]  How'd you do this?
[02:38:34.665 --> 02:38:41.166]  Well, you know, a lot of this comes from, I spent the last 30 years working in the tech industry and telecommunications.
[02:38:42.006 --> 02:38:52.348]  I was doing big systems integration outsourcing projects around the world, most of the time in emerging markets where I was constantly being tracked by the local secret police because they thought, oh, is this a guy, a spy?
[02:38:52.368 --> 02:38:54.289]  He's employing some government IT system.
[02:38:54.309 --> 02:39:01.530]  You know, and so I was used to constantly having my communications monitored, having people trying to trail me, see where I'm going, who I'm meeting with, that kind of thing.
[02:39:02.210 --> 02:39:03.131]  I came back to the States in 2000.
[02:39:03.191 --> 02:39:06.435]  You were telling me you were like Kazakhstan putting in like pipelines.
[02:39:06.615 --> 02:39:07.416]  Wireless.
[02:39:09.461 --> 02:39:13.744]  So I was living in, I've lived in Russia, Ukraine, Kazakhstan, Georgia.
[02:39:13.764 --> 02:39:14.364]  Kazakhstan!
[02:39:14.384 --> 02:39:14.865]  Sorry, I got it wrong.
[02:39:14.885 --> 02:39:15.305]  That's okay.
[02:39:15.565 --> 02:39:17.086]  I've worked in Tajikistan as well.
[02:39:17.386 --> 02:39:19.047]  So I've been all over the stands.
[02:39:19.688 --> 02:39:25.251]  But, you know, what I was doing there, though, in my last business over there, I was doing industrial automation projects.
[02:39:25.271 --> 02:39:31.495]  So we were implementing pipeline management systems, railway traffic management systems, utility management systems, those sort of things.
[02:39:31.776 --> 02:39:37.997]   And what we discovered is that all of them use this certain kind of SIM card to do their wireless
[02:39:37.997 --> 02:39:38.737]  communications.
[02:39:38.737 --> 02:39:40.938]  It's what's called a machine-to-machine SIM card.
[02:39:40.938 --> 02:39:43.537]   It's designed just for transmitting data from one machine to another.
[02:39:43.537 --> 02:39:45.037]  M-to-M SIM cards.
[02:39:45.037 --> 02:39:47.938]   And what we figured out is, you know, you can encrypt that data.
[02:39:47.938 --> 02:39:52.018]   You know, that's why you use data instead of voice and SMS, because it's easy to encrypt and there's no server in the
[02:39:52.018 --> 02:39:52.337]  middle.
[02:39:52.337 --> 02:39:54.737]   And you basically have those machines communicating to each other
[02:39:54.737 --> 02:39:57.537]   without any server in the middle, without anyone being able to monitor it.
[02:39:57.687 --> 02:40:01.991]  And so when you look at our messenger, it's designed for peer-to-peer communications just like that.
[02:40:02.371 --> 02:40:10.298]  Then on top of that, we're using these M-to-M SIM cards to provide everybody with access to 800 mobile networks in 200 countries around the world.
[02:40:10.618 --> 02:40:16.723]  So here in the US, with our SIM card, or our eSIM, you get access both to the T-Mobile and AT&T networks.
[02:40:17.103 --> 02:40:19.405]  You get unlimited talk text and high-speed data on them.
[02:40:19.986 --> 02:40:21.047]  And it's all encrypted.
[02:40:21.767 --> 02:40:28.549]  You know, you don't have to worry about somebody monitoring your internet activity or monitoring your communications because they can't.
[02:40:28.769 --> 02:40:29.529]  It's all encrypted.
[02:40:30.350 --> 02:40:31.110]  It's all secure.
[02:40:31.770 --> 02:40:37.672]  Then on top of that, at the same time that we launched the mobile platform last year, we also launched the Volta private payment system.
[02:40:37.992 --> 02:40:47.761]  And what this is, and you're familiar with Venmo, Cash App, what the multi-private payment system really is all about is you being able to do financial transactions without somebody collecting and selling your data.
[02:40:48.061 --> 02:40:53.346]  So Venmo and Cash App, the big part of their business is collecting your financial transactions and selling them to third parties.
[02:40:53.386 --> 02:40:55.528]  They sell them to banks, they sell them to insurance companies.
[02:40:56.249 --> 02:40:57.569]  Credit people, everything.
[02:40:57.909 --> 02:41:01.410]  So it's not just your financial transactions, by the way, that they're selling.
[02:41:01.790 --> 02:41:03.171]  They're figuring out, what did you buy?
[02:41:03.711 --> 02:41:04.451]  Where did you buy it?
[02:41:04.991 --> 02:41:10.512]  And because that app is always communicating your location, they're also figuring out who was with you when you bought it.
[02:41:10.532 --> 02:41:17.314]  When you went to the dinner at that restaurant and you guys split up the bill, they know exactly who everybody was at that meal.
[02:41:17.394 --> 02:41:17.934]  Databases.
[02:41:18.294 --> 02:41:19.455]  Exactly, and they sell all that information.
[02:41:19.475 --> 02:41:22.458]  Again, you've done nothing wrong, but they're using it against you.
[02:41:22.858 --> 02:41:27.122]  That's why I'm so impressed with what you guys have done, David, because I've talked to a lot of really smart people.
[02:41:27.142 --> 02:41:28.663]  They go, man, this is the system.
[02:41:29.204 --> 02:41:32.627]  This is what should have been done, and you've finally done it, and it's so easy.
[02:41:32.687 --> 02:41:35.269]  How do people call, or how do people go online?
[02:41:35.349 --> 02:41:37.531]  How do they download this?
[02:41:37.571 --> 02:41:38.472]  How do they get it on their phone?
[02:41:38.977 --> 02:41:40.258]  Yeah, so it's actually very simple.
[02:41:40.658 --> 02:41:49.365]  You go out to VoltaWireless.com, you sign up for a subscription, once you get your subscription, you pay for it, you get issued what's called a Volta Private Number.
[02:41:49.545 --> 02:41:53.609]  This is a new anonymous phone number that has no association with you.
[02:41:54.529 --> 02:41:58.613]  You use that to log in with your password into the app, and you set up the app.
[02:41:58.633 --> 02:42:03.757]  You're going to download an eSIM to your phone, or you can actually order a SIM card if you prefer to have a SIM card.
[02:42:04.938 --> 02:42:09.483]  And once you do that, you have access to unlimited talk, text, and high-speed data.
[02:42:10.083 --> 02:42:13.247]  And I was able to do this very quickly the other day, in like five minutes.
[02:42:13.607 --> 02:42:16.971]  And I know how stuff works, but I'm not good at actually doing it myself.
[02:42:17.472 --> 02:42:18.593]  And it was very easy.
[02:42:18.613 --> 02:42:19.915]  Yeah, absolutely.
[02:42:19.935 --> 02:42:26.723]  You know, what we found when we did research on this subject, we figured out that the vast majority of people are concerned about their privacy.
[02:42:27.153 --> 02:42:28.514]  They know their data's getting collected.
[02:42:28.534 --> 02:42:29.135]  They hate it.
[02:42:29.275 --> 02:42:30.496]  They don't want it to be collected.
[02:42:30.536 --> 02:42:31.536]  They feel like it's theirs.
[02:42:31.897 --> 02:42:32.377]  And they're right.
[02:42:32.957 --> 02:42:37.641]  And the problem is, everybody feels like you have to have a PhD in cybersecurity to know what the heck to do.
[02:42:38.302 --> 02:42:40.043]  So our big focus was, okay, you know what?
[02:42:40.523 --> 02:42:47.228]  There's thousands of companies out there offering thousands of niche solutions, and all of them solve some small part of the problem.
[02:42:47.549 --> 02:42:49.070]  Maybe they encrypt your internet activity.
[02:42:49.470 --> 02:42:51.171]  Maybe they give you communications.
[02:42:51.311 --> 02:42:53.133]  Maybe they help you with your financial transactions.
[02:42:53.493 --> 02:42:55.655]  Really not too many people doing anything around the mobile coverage.
[02:42:56.595 --> 02:43:03.198]  We want to give it all to everyone in one simple-to-use package, one subscription, everything you need.
[02:43:03.859 --> 02:43:04.739]  And so that's what we did.
[02:43:04.899 --> 02:43:06.260]  And it's lower than most phone bills.
[02:43:06.280 --> 02:43:07.600]  That's why, David, this is insane.
[02:43:08.140 --> 02:43:09.941]  Every listener should go and do this right now.
[02:43:10.562 --> 02:43:11.082]  Absolutely.
[02:43:11.282 --> 02:43:17.745]   For $39.99 a month, you're going to get unlimited talk decks and high-speed data, plus Why is nobody else doing this like you are?
[02:43:17.564 --> 02:43:20.443]   that know that nobody's using your mobile phone to track you everywhere you
[02:43:20.443 --> 02:43:24.283]   go anymore. You know it'll hide your location, your identity, your
[02:43:24.283 --> 02:43:28.684]   communications, your internet activity, your financial transactions, and we've
[02:43:28.684 --> 02:43:32.204]   got more features coming down the road. Why is nobody else doing
[02:43:32.204 --> 02:43:37.204]   this like you are? A) And then B) How have you not gotten in trouble with a
[02:43:37.204 --> 02:43:40.243]  disruptive technology?
[02:43:38.350 --> 02:43:41.751]  Because I know they come after people that even try to launch something close to this.
[02:43:42.271 --> 02:43:44.531]  Yeah, well, why is nobody doing this?
[02:43:44.691 --> 02:43:45.171]  I don't know.
[02:43:45.631 --> 02:43:48.772]  Honestly, when I did the research and discovered this wasn't going on, I was shocked.
[02:43:48.792 --> 02:43:55.254]  Because again, you're using a totally different system that's on the phones already that they're using to report back.
[02:43:55.294 --> 02:43:55.934]  You're using that.
[02:43:56.764 --> 02:44:01.427]  I mean, you know, it's just the exact same thing that's been used for 10 years in industrial automation.
[02:44:01.748 --> 02:44:07.772]  You know, all of these devices that you've got around your home, they're communicating back to the mothership using machine-to-machine data.
[02:44:07.792 --> 02:44:10.514]  Your washing machine, your computer, you're just using that?
