[00:00:00.409 --> 00:00:01.650]  So I am in anguish.
[02:27:06.862 --> 02:27:17.106]  When we come back, we're going to be discussing more vaccine deaths that keep happening or appear to be vaccine deaths for superstars and celebrities around the world.
[02:27:18.735 --> 02:27:20.416]  Welcome back to the Alex Jones Show!
[02:27:20.456 --> 02:27:23.199]  This is Robert Barnes, guest hosting here in the fourth hour.
[02:27:24.239 --> 02:27:40.052]  What is fascinating to me in watching aspects of the trial, and it's part of been a broad-based conversation over the years, is the way in which InfoWars is demonized for providing its own independent products rather than hawking other people's products or whoring for Big Pharma and Corporate America.
[02:27:40.902 --> 02:27:42.622]  I've always found that fascinating.
[02:27:43.162 --> 02:28:04.987]  Almost every other media network and content creator out there that gets any form of advertising in order to be able to stay on the air, to do the time and to have the investment capital necessary to produce quality content for people to witness and see, and to be involved in on a participatory level, involves, requires, at some level, money from something.
[02:28:05.227 --> 02:28:13.046]   And the most common sources, like Fox News, CNN, mainstream media, the New York Times, comes from corporate advertisers.
[02:28:13.046 --> 02:28:18.247]   So your average content creator, your average so-called respectable journalist,
[02:28:18.247 --> 02:28:25.287]   is out there promoting a product that they've never vetted, that they can't conscientiously vouch for,
[02:28:25.287 --> 02:28:28.887]  that they have no idea if it's better for people.
[02:28:28.887 --> 02:28:31.527]   They don't know if it makes the world a better place or a worse place.
[02:28:31.761 --> 02:28:33.802]  They don't know if it's good for people or bad for people.
[02:28:34.082 --> 02:28:41.784]  They are often caught marketing, promoting, pitching, being sponsored by companies that are not promoting good products.
[02:28:41.804 --> 02:28:47.006]  They're products that either cost too much, are part of a scam, cause injury, cause harm, etc.
[02:28:47.506 --> 02:28:56.209]  One could think no further than the COVID-19 vaccines, as a product that has turned out that way, and they've hawked that directly and personally on the air, almost across the media spectrum.
[02:28:56.849 --> 02:29:18.715]  By contrast, what Alex Jones chose to do is to promote only products that he can personally vet, that he can personally and conscientiously vouch for, and that he has every reason to believe from his own lived experience will be better for the people who consume it, making people healthier, wealthier, and wiser in the process.
[02:29:19.215 --> 02:29:31.039]  That has struck me as always a much more rational and just means of supporting an independent content creator than cowering to Big Pharma and Big Corporate America.
[02:29:31.599 --> 02:29:39.622]  The other big, big, big difference, of course, and the real reason it drives them nuts, they're not really concerned about independent natural health.
[02:29:39.942 --> 02:29:48.285]  Though there was an implication in the courtroom yesterday that supplements are inherently bad, that they're untrustworthy, because those are not FDA-licensed products.
[02:29:48.945 --> 02:29:50.746]  And by the way, the FDA's history?
[02:29:50.886 --> 02:29:53.648]  The FDA started out as a marketing organization.
[02:29:54.048 --> 02:29:56.790]  They were not supposed to be a medicine organization.
[02:29:57.090 --> 02:30:00.012]  They were not supposed to be a scientific organization.
[02:30:00.373 --> 02:30:06.557]  They were supposed to make sure that the labels on the product match what is actually in the product.
[02:30:07.037 --> 02:30:13.082]  In other words, that if you bought kidney beans, you got kidney beans, not pinto beans, and so on and so forth.
[02:30:13.442 --> 02:30:20.848]  Because in the late 1800s, there were people committing overt fraud, putting something inside the can that ain't what they said on the outside of the can.
[02:30:21.508 --> 02:30:23.450]  But that was their sole and whole objective.
[02:30:23.470 --> 02:30:29.335]  They've gone way past that over the years, as many of us said they would, because that's the nature of power.
[02:30:29.615 --> 02:30:33.138]  Power continually corrupts the use and application of that power.
[02:30:33.678 --> 02:30:41.583]  But here, the other big difference, what really drives them nuts about Infowars' independent financing model, is just that.
[02:30:42.123 --> 02:30:44.725]  It's not that it's natural health supplements so much.
[02:30:44.765 --> 02:30:49.988]  It's not that it's not big corporate America and it's not big pharma and it's not any of that.
[02:30:50.368 --> 02:30:52.929]  It's that it's not a controlled narrative.
[02:30:52.989 --> 02:30:56.892]  It's not a censored messenger, a censored sponsor.
[02:30:57.412 --> 02:31:12.395]  That if you're taking money from anybody else, some big sugar daddy donor, some big corporate America advertiser, some big pharma solicitor, then you cannot be open, honest, and uncensored at what you believe and what you think and what you say.
[02:31:12.856 --> 02:31:21.165]  You're going to self-censor and consequently you're not going to meaningfully communicate content information that people want.
[02:31:21.546 --> 02:31:23.047]  This happens in the law all the time.
[02:31:23.408 --> 02:31:34.040]  An ordinary person will often hear a lawyer say something about a court, a judicial process, a government officer or prosecutor that they will be scared to say in public and on the press because they fear...
[02:31:34.580 --> 02:31:37.242]  Blowback from those within positions of power.
[02:31:37.642 --> 02:31:40.685]  The same is true of those who are controlled by a donor.
[02:31:40.885 --> 02:31:41.705]  I'll give an example.
[02:31:42.066 --> 02:31:43.547]  Black Rifle Coffee Company.
[02:31:43.867 --> 02:31:56.176]  There's a lot of people that will continue to hawk Black Rifle Coffee Company even though it's a company that threw Kyle Rittenhouse under the bus at a critical juncture while they were trying to be woke for the New York Times.
[02:31:56.536 --> 02:32:05.358]  They're not a company that deserves support, and yet you'll see them on big mainstream media, conservative mainstream media, being promoted and propagandized as such.
[02:32:05.778 --> 02:32:06.038]  Why?
[02:32:06.118 --> 02:32:17.561]  Because those people have to pimp themselves out for their advertisers because they refuse to create independent products of independent value that allows an independent narrative to be communicated to the world.
[02:32:18.021 --> 02:32:22.063]  That's what really drives them crazy about the InfoWars model.
[02:32:22.203 --> 02:32:26.546]  It is a purely populist model from top to bottom.
[02:32:26.966 --> 02:32:32.609]  It is a model that empowers the messenger and thereby empowers the audience.
[02:32:32.890 --> 02:32:41.975]  But it does so by empowering them in the process of the products it creates and the products it sells and the products it's able to produce for its audience.
[02:32:42.435 --> 02:32:49.780]  And of course, if the product didn't work, if people didn't like it, if it didn't meet their standards, that product would be gone.
[02:32:50.100 --> 02:32:53.863]  Because nobody's buying something that doesn't work and isn't effective and isn't what they want.
[02:32:54.323 --> 02:32:56.464]  And so that becomes an ultimate check.
[02:32:56.865 --> 02:33:03.489]  Basically, the audience becomes the only one to govern what content is created and is available on InfoWars.
[02:33:03.809 --> 02:33:11.955]  By choosing to support it at InfoWarsStore.com, by continuing to buy the products they like, and if they don't like the product, they let InfoWars know.
[02:33:12.635 --> 02:33:14.836]  By not buying it, or saying so in the reviews.
[02:33:15.436 --> 02:33:16.156]  And that's the process.
[02:33:16.436 --> 02:33:18.437]  It's a purely populist process.
[02:33:18.477 --> 02:33:20.137]  It's a deep American process.
[02:33:20.457 --> 02:33:23.798]  It's probably the most populist press structure in the history of America.
[02:33:24.158 --> 02:33:25.419]  Arguably the history of the world.
[02:33:25.719 --> 02:33:27.339]  Because who has the power base?
[02:33:27.379 --> 02:33:28.259]  What is populism?
[02:33:28.639 --> 02:33:30.560]  It's giving power to the people.
[02:33:30.920 --> 02:33:37.982]  As Abraham Lincoln said, we are supposed to be a government of the people, by the people, and for the people.
[02:33:38.382 --> 02:33:46.386]  What InfoWars has done is made an entire media network of the people, by the people, and for the people.
[02:33:46.707 --> 02:33:49.188]  You govern it at every single level.
[02:33:49.548 --> 02:33:52.009]  You govern it and its ability to put on content.
[02:33:52.290 --> 02:33:57.612]  You govern it on the quality of the products it creates and whether it meets up to your measurements and expectations.
[02:33:57.953 --> 02:34:07.558]  You govern its ability to communicate to the globe the independent information often either only available here or definitely first available here.
[02:34:08.158 --> 02:34:10.499]  After all, let's go back to the COVID lockdowns.
[02:34:10.879 --> 02:34:27.663]  Who was the first person talking about Bill Gates, talking about Bill Gates in the context of public health policy, talking about Bill Gates in the context of what may be coming with COVID-19, all the way back in January and early February of 2020?
[02:34:28.963 --> 02:34:33.844]  In fact, at the time, I remember people saying, oh, all this criticism of Bill Gates doesn't make any sense.
[02:34:33.864 --> 02:34:53.488]  This is a wonderful philanthropist, a man who just loves to give to the world, ignoring the fact that I remember when he was one of the most hated people in all of corporate America and all of ordinary America and all of tech America because of his scheming and monopolistic tactics and illicit behaviors while at Microsoft.
[02:34:53.508 --> 02:34:58.009]  There's a reason why he got not one, but two and maybe even three pies in the face.
[02:34:59.089 --> 02:35:12.580]  I remember the Bill Gates and Bill Gates' father and Bill Gates' grandfather who were involved in the eugenics movement and other organizations like Planned Parenthood who promoted and propagated the eugenics movement from its inception.
[02:35:12.940 --> 02:35:19.625]  An idea that we should control the population so only a small privileged group of people can have a disparate amount of resources.
[02:35:19.905 --> 02:35:21.927]  That, in the end, is what eugenics became.
[02:35:22.487 --> 02:35:24.368]  And I knew that was part of Bill Gates' agenda.
[02:35:24.388 --> 02:35:31.833]  But the only person talking about it with any degree of substantial scale of an audience was, once again, InfoWars.
[02:35:32.253 --> 02:35:32.914]  And why is that?
[02:35:33.094 --> 02:35:35.676]  Because InfoWars isn't dependent upon Big Pharma.
[02:35:35.976 --> 02:35:38.638]  Because InfoWars isn't dependent on corporate advertisers.
[02:35:38.678 --> 02:35:40.659]  Because InfoWars ain't dependent on a sugar daddy.
[02:35:41.079 --> 02:35:43.141]  InfoWars is only dependent on you.
[02:35:43.642 --> 02:35:44.723]  You are the front line.
[02:35:44.983 --> 02:35:46.324]  Continue to hold the line.
[02:35:46.665 --> 02:36:00.499]  Make yourself healthier, wealthier, and wiser by supporting InfoWars today, which you can do at InfoWarsStore.com, and make sure that a media of the people, by the people, continues to be for the people.
[02:36:01.601 --> 02:36:03.302]  Welcome back to the Alex Jones Show!
[02:36:03.342 --> 02:36:05.082]  This is Robert Barnes guest hosting.
[02:36:05.662 --> 02:36:14.465]  Later up we're going to be discussing more vaccine deaths coming to celebrities and stars and sports players around the globe.
[02:36:15.265 --> 02:36:25.209]  But next, Shakira finds herself facing potential years in prison over alleged tax fraud in the case pending apparently in Spain.
[02:36:26.149 --> 02:36:31.831]  Tax cases have often been utilized to target political dissidents and other outsiders.
[02:36:32.331 --> 02:36:36.512]  Indeed, most countries in the world no longer imprison people for tax issues.
[02:36:37.052 --> 02:36:40.013]  In America, we have two major restraints on tax charges.
[02:36:40.413 --> 02:36:46.235]  Those are the good faith defense and the reliance defense that are unique to criminal tax law in general.
[02:36:46.755 --> 02:36:47.576]  Why do we have this?
[02:36:47.636 --> 02:36:51.337]  Well, because we don't want people sent to prison for simply owing a debt.
[02:36:51.917 --> 02:36:55.519]  Nor do we want people sent to prison for simple disagreement with the government.
[02:36:56.000 --> 02:37:06.346]  So as long as you have, in fact, a legitimate belief that what you were doing was lawful, a good faith belief, then you can be found not guilty even if your belief may have been incorrect.
[02:37:06.827 --> 02:37:10.569]  Even if they think your belief, the IRS and the courts, think your belief is crazy.
[02:37:10.949 --> 02:37:11.670]  That doesn't matter.
[02:37:11.710 --> 02:37:13.491]  All that matters is that you sincerely believe it.
[02:37:13.991 --> 02:37:20.340]  Also, a reliance defense, which is a defense by advice with attorneys, accountants, or other professionals.
[02:37:20.880 --> 02:37:26.348]  And consequently, that's another grounds by which you can justifiably get acquitted of any tax charge.
[02:37:26.768 --> 02:37:29.452]  Because again, we don't want disagreement about the law.
[02:37:30.526 --> 02:37:33.910]  To be the grounds for imprisonment in America, generally.
[02:37:34.150 --> 02:37:35.411]  Unless, of course, you're Steve Bannon.
[02:37:35.872 --> 02:37:43.740]  And then we carve out an exception, much as the Travis County, Texas court is carving out an exception in the defamation cases proceeding with him.
[02:37:44.020 --> 02:37:50.446]  Indeed, there was an article today in the Texas Monthly that suggested that Alex Jones had foregone a First Amendment defense.
[02:37:50.987 --> 02:37:52.448]  That's completely and utterly false.
[02:37:52.968 --> 02:38:01.174]  This is another journalist who cannot take the time to actually read the cases and read what the Texas Court of Appeals said in this case.
[02:38:01.614 --> 02:38:20.066]  What the Texas Court of Appeals said to give people a full understanding of what's happening here, aside from the due process violations, privacy violations, jury trial right violations, right to confront accusers, all of that, the other violations that are occurring here go to the core of First Amendment protection.
[02:38:20.586 --> 02:38:22.046]  The theory is this.
[02:38:22.446 --> 02:38:27.227]  Let's say you articulate an idea that is different than what the government believes.
[02:38:27.267 --> 02:38:28.587]  The government calls it false.
[02:38:29.148 --> 02:38:31.148]  You can now be accused of misinformation.
[02:38:31.328 --> 02:38:34.548]  Whether or not it is in fact misinformation is secondary.
[02:38:34.789 --> 02:38:37.929]  All that matters is you said something the government doesn't agree with.
[02:38:38.149 --> 02:38:38.789]  That's part one.
[02:38:39.409 --> 02:38:39.949]  Part two.
[02:38:40.409 --> 02:38:46.731]  You persuade any group of people out there that your questions are legitimate questions.
[02:38:46.951 --> 02:38:48.231]  And they have questions as well.
[02:38:49.051 --> 02:38:49.572]  Part 3.
[02:38:50.072 --> 02:39:03.207]  Somebody who feels upset or offended by your viewpoints, emotionally distressed or anguished by your viewpoints, can now sue you based on however many people ever heard your ideas in the first place and believe them now.
[02:39:04.048 --> 02:39:05.169]  That is the core of the case.
[02:39:05.309 --> 02:39:10.513]  It doesn't require you to say a specifically false fact about a specific person.
[02:39:10.893 --> 02:39:15.137]  It doesn't even require you to identify anybody at all by name.
[02:39:15.677 --> 02:39:29.688]  What the Texas Court of Appeals said was that if someone could look them up on the internet and possibly find them, then the statement concerns them merely because it concerns a topic that they have an interest in.
[02:39:29.708 --> 02:39:32.771]  That's how extraordinary and extreme this was.
[02:39:33.431 --> 02:39:42.994]  Indeed, of all the people that purportedly believe certain things about Sandy Hook, how many of those people even knew the names of any of the people that are now suing Alex Jones?
[02:39:43.154 --> 02:39:45.614]  Because Alex Jones isn't the one who ever called him by name, ever!
[02:39:46.315 --> 02:39:50.556]  So, what that's the important... The First Amendment has been at the forefront of this case.
[02:39:50.916 --> 02:39:52.616]  It has been litigated repeatedly.
[02:39:52.696 --> 02:39:54.137]  It is preserved in the record.
[02:39:54.657 --> 02:40:01.141]  These are journalists trying to pretend that what's happening to Alex Jones couldn't possibly happen to them.
[02:40:01.701 --> 02:40:11.987]  And what they're really relying upon is political power brokers being the gatekeepers, being on their side, so that it doesn't matter, so that it won't ever happen to them.
[02:40:12.307 --> 02:40:24.810]  They're really relying upon the corruption of our legal process to protect them, not the rule of law to protect them, because the rule of law is what the corrupt political processes are busy changing.
[02:40:25.230 --> 02:40:34.812]  Busy changing, so you say something a whole bunch of people disagree with, those people who disagree with it, note that the government also disagrees with you, they can sue you into bankruptcy and oblivion.
[02:40:35.572 --> 02:40:41.476]  That's the theory and premise, and that was fully litigated before any of the default issues even came up in the case.
[02:40:41.836 --> 02:40:48.241]  So the First Amendment is still fundamental and essential to the case of Alex Jones, and will continue to be.
[02:40:48.641 --> 02:41:16.838]   And journalists who pretend he somehow isn't raising that, and that somehow isn't part of it, are lying to themselves, trying to say, this can't happen to me, don't worry, this can't happen to me, patting themselves on the back, hugging themselves, foolishly, because yes, It can happen to you and it will happen to you if you are a dissident source of information, if you are a heretic out there communicating heretical information that questions and challenges the government's narrative on any set of topics.
[02:41:17.138 --> 02:41:21.641]  So all of them should be alert and awake and quit fooling themselves in that process.
[02:41:22.421 --> 02:41:27.423]  In other news, the extraordinary ability of the Biden administration to play Humpty Dumpty continues.
[02:41:27.964 --> 02:41:31.245]  As Humpty Dumpty said, a word is what I say it is.
[02:41:31.785 --> 02:42:01.341]   And that is how a drug that's a therapeutic, that's actually a gene therapy, suddenly, magically, miraculously gets called a vaccine, even though it doesn't inoculate you from the disease, even though it isn't in fact safe, even though it isn't in fact effective, even though it in fact doesn't prevent transmission, Even though increasingly more places are reporting that the vaccinated are reporting higher rates of hospitalization, higher rates of COVID, higher rates of death, higher rates of serious disability than the unvaccinated.
[02:42:01.962 --> 02:42:15.230]  Much in the same way, when it came out that there had been two quarters of economic decline in GDP, the GDP turned negative in the first quarter of 2022 and then stayed negative in the second quarter of 2022.
[02:42:16.451 --> 02:42:25.935]  Historically, universally, even William Jefferson Clinton, who had difficulty remembering what it is, admitted that that is a recession back in 2000.
[02:42:26.615 --> 02:42:29.537]  Well, now the Biden administration says, no, no, no, no, no.
[02:42:29.837 --> 02:42:31.677]  That's not what recession means.
[02:42:32.118 --> 02:42:37.158]   Recession means what I say it is, which apparently is no longer what a recession means.
[02:42:37.158 --> 02:42:42.298]   As we face these 1970s-style economics, I continue to recommend George Gammon and other
[02:42:42.298 --> 02:42:48.377]   sources that will be daily providing information to you on the economic fallout and ramifications.
[02:42:48.377 --> 02:42:53.478]   But look to the 1970s as probably the closest historical parallel to what we're facing,
[02:42:53.478 --> 02:43:01.278]   to constant stagflation, economic decline, economic stagnation with high inflation, that
[02:43:01.278 --> 02:43:05.717]   those two are likely to continue to be parallel as we move forward.
[02:43:05.717 --> 02:43:12.877]   And in the hypocritical day of the week message, we have the District of Columbia mayor, the
[02:43:12.877 --> 02:43:18.078]   same District of Columbia mayor who refused to allow the National Guard to be present
[02:43:18.078 --> 02:43:21.597]  or anyone else on January 6th, the same D.C.
[02:43:21.665 --> 02:43:41.112]   Mayor that was culpable for the extraordinary lack of, an unusual lack of security present that day, necessary to facilitate the events on January 6th, for them to even occur in the first instance, Now says she wants the National Guard out because illegal immigrants are coming to D.C.
[02:43:41.612 --> 02:43:57.257]  So it turns out the District of Columbia only wants enough illegal immigrants to be able to give them some Ethiopian food and serve them some exotic foods and help drive some Ubers and drive some taxis and be able to be available to serve some maid service.
[02:43:57.537 --> 02:44:01.819]  They don't want actual waves of illegal immigrants coming into their community.
[02:44:02.239 --> 02:44:04.201]  In the way the people in D.C.
[02:44:04.502 --> 02:44:10.248]  have brought about illegal immigration in massive waves in states like Texas and Arizona.
[02:44:10.809 --> 02:44:13.993]  And what are some of the complaints that she and the mayor of New York are making?
[02:44:14.333 --> 02:44:18.013]   They're the complaints conservatives have made for a long time, which is if you're going
[02:44:18.013 --> 02:44:20.672]  to have this level of immigration, at least make it legal.
[02:44:20.672 --> 02:44:23.092]  If it's not legal, it shouldn't be allowed.
[02:44:23.092 --> 02:44:25.132]  Number one, respect for the rule of law.
[02:44:25.132 --> 02:44:29.733]   Number two, why should working class communities on the border in Texas and then throughout
[02:44:29.733 --> 02:44:33.813]   the South and Midwest, because that's where it's been disproportionately impacted, it's
[02:44:33.813 --> 02:44:36.933]  working class folks who see their wages decline.
[02:44:36.933 --> 02:44:41.933]   It's working class folks who have their school system effectively put under pressure because
[02:44:41.933 --> 02:44:46.093]   of increasing student participation from those who haven't paid taxes in the first instance.
[02:44:46.093 --> 02:44:50.012]   It's their roads under pressure, their buildings under pressure, their political infrastructure
[02:44:50.012 --> 02:44:53.173]   under pressure, their criminal justice system under pressure.
[02:44:53.173 --> 02:44:54.772]  They've been bearing all the burden.
[02:44:55.228 --> 02:44:56.309]  And getting none of the benefit.
[02:44:56.769 --> 02:45:12.796]  And now that the District of Columbia has to get some of the burden for all the benefit they've been getting over the years, including their ties and connections to companies getting rich and getting fat off of illegal immigration, including people connected to illicit activities and enterprises doing the same, because D.C.
[02:45:12.856 --> 02:45:23.641]  is the capital of such activities in this country, sadly and unfortunately, due to the power-mad nature of the people who occupy positions of power there, they're finally having to pay the price and their hypocrisy is getting exposed.
[02:45:24.221 --> 02:45:41.613]  When we come back after the break, vaccine deaths continue to skyrocket at an extraordinary rate, including hitting so many sports stars, so many celebrities, so many public personalities, so many people that everybody knows that they can't hide and run from it anymore.
[02:45:42.174 --> 02:45:45.116]  Talk about those vaccine deaths when we come back after the break.
[02:45:48.915 --> 02:45:52.818]  Ladies and gentlemen, humanity is at a historic crossroads.
[02:45:52.878 --> 02:46:00.022]  The information that InfoWars is covering is literally the blueprint to counter their great reset with the Great Awakening.
[02:46:00.823 --> 02:46:04.986]  When you support InfoWars by getting great products, you keep the tip of the spear on the air.
[02:46:05.386 --> 02:46:17.754]  You see the enemy hates us probably more than even Trump because we are identifying who they are and what incredible psychotic control freaks they are and how humanity can be awakened to defeat them.
[02:46:18.554 --> 02:46:26.718]  Right now, we're doing a major fundraiser to fund our legal bills and to fund things into the future and to make sure we get stronger, not weaker.
[02:46:27.718 --> 02:46:28.859]  But you are our strength.
[02:46:28.959 --> 02:46:30.019]  We are our strength together.
[02:46:30.319 --> 02:46:37.863]  Now, right now, we're running a huge sale and a lot of great products that have been sold out for a long time, thank God, have finally come in right on time.
[02:46:37.883 --> 02:46:38.583]  The cavalry's here.
[02:46:39.043 --> 02:46:41.965]  Vitamin Mineral Fusion is our number one total bestseller.
[02:46:42.585 --> 02:46:44.146]  It just came back in two days ago.
[02:46:45.046 --> 02:46:46.908]  It's discounted at InfoWarsTour.com.
[02:46:47.188 --> 02:46:51.272]  All the vitamins, all the minerals, all the amino acids you need to boost your overall health and immune system.
[02:46:51.312 --> 02:46:51.933]  It's back in stock.
[02:46:52.413 --> 02:46:53.374]  Body's ultimate tumouring.
[02:46:53.554 --> 02:46:54.595]  Highest level of humanoid.
[02:46:54.976 --> 02:46:58.859]  So incredible for inflammation, for your immune system, for everything.
[02:46:58.899 --> 02:47:00.721]  But inflammation is such a key thing.
[02:47:00.761 --> 02:47:01.542]  It's amazing for that.
[02:47:02.042 --> 02:47:02.743]  Diet force.
[02:47:02.823 --> 02:47:03.544]  Look, I'm overweight.
[02:47:03.604 --> 02:47:13.712]   I've already lost 30 plus pounds in just the last few months, despite all my stress, taking this product with all natural Concentrates and more that are known to naturally speed up your metabolism and so much more.
[02:47:13.972 --> 02:47:14.693]  And it's good for you.
[02:47:15.393 --> 02:47:23.139]  Diet Force, the latest product that we've developed, X7, is also available at infowarestore.com or by calling toll-free, 888-253-3139.
[02:47:25.140 --> 02:47:30.024]  Also, all three of our toothpaste, including, finally, the original Super Blue, back in stock.
[02:47:30.785 --> 02:47:40.532]  50% off together, 40% off individually, and you can pre-order The Great Reset, The War for the World, my new book that's already number one in history on Amazon at infowarestore.com.
[02:47:40.792 --> 02:47:42.974]  Thanks for keeping this incredible information on air.
[02:47:43.254 --> 02:47:45.096]  We're all doing it together, so God bless.
[02:47:45.116 --> 02:47:45.816]  Please take action.
[02:47:49.219 --> 02:47:50.940]  Welcome back to Alex Jones Show.
[02:47:50.980 --> 02:47:52.902]  This is Robert Barnes guest hosting.
[02:47:53.777 --> 02:48:07.386]  Up in a bit, we're going to be discussing the vaccine side effects and the accumulating deaths we keep witnessing around the globe from high power and high profile individuals that continue to point to the vaccine as the culprit.
[02:48:07.826 --> 02:48:13.530]  In parts of Canada, they have unexplained deaths leading the death charts in various provinces.
[02:48:13.850 --> 02:48:16.652]  The same thing is happening in various parts around the world.
[02:48:17.111 --> 02:48:20.751]   And we're seeing it and witnessing it in live time, not only with sports stars collapsing
[02:48:20.751 --> 02:48:26.511]   live, but other stars and celebrities who've had it happen to them recently as well.
[02:48:26.511 --> 02:48:32.731]   But before that, just in case you're unaware, it turns out that famine can be good for you.
[02:48:32.731 --> 02:48:38.591]   That may seem strange, it may seem like a Klaus Schwab, Z-what-like, Z-crickets kind
[02:48:38.591 --> 02:48:42.790]  of statement, but that is according to the United Nations.
[02:48:42.790 --> 02:48:48.191]   In a United States political science professor who's writing about the benefits of world
[02:48:48.989 --> 02:48:51.211]  That's right, the benefits of world hunger.
[02:48:51.271 --> 02:48:55.796]  Just in case you didn't know, you can look up the article itself referenced on Zero Hedge and others.
[02:48:56.237 --> 02:48:57.979]  That by the way, those in the Alex Jones...
[02:48:58.539 --> 02:49:02.262]  Sandy Hook Trial want to tell you, you should never ever go to Zero Head.
[02:49:02.302 --> 02:49:02.762]  CNN!
[02:49:03.122 --> 02:49:05.884]  That's the fountain of reliable information and truth.
[02:49:06.204 --> 02:49:08.566]  They never spread any conspiracies there at CNN.
[02:49:08.986 --> 02:49:10.888]  Like rushing eight for four years, for example.
[02:49:11.388 --> 02:49:14.170]  But listen to just one of the quotes.
[02:49:14.971 --> 02:49:17.973]  Hunger has great positive value to many people.
[02:49:18.593 --> 02:49:22.296]  Indeed, it is fundamental to the working of the world's economy.
[02:49:23.016 --> 02:49:25.638]  Hungry people are the most productive people.
[02:49:26.138 --> 02:49:28.360]  Especially when there's a need for manual labor.
[02:49:28.920 --> 02:49:33.163]  So basically you can create a bunch of cheap labor slaves by starving them.
[02:49:33.823 --> 02:49:34.763]  Isn't that wonderful?
[02:49:34.824 --> 02:49:39.687]  The United Nations always looking out for the poor and the little folks, as they always do.
[02:49:40.487 --> 02:49:46.789]  In the same vein we have in Germany with their complete backfiring disaster and debacle of a policy in Ukraine.
[02:49:47.429 --> 02:50:13.223]   Already governments have collapsed or on the verge of collapse in Estonia, Bulgaria, Italy, in the United Kingdom, partially in France with the parliamentary elections turning against Macron, One of the great benefits of that was the populist on the left and the populist on the right with Le Pen and Mélenchon getting together and actually working together to oppose COVID vaccine passports throughout the various French territories.
[02:50:13.563 --> 02:50:21.529]  Very positive sign to see some aspects of the populist left and right working together finally, especially in France where that is so difficult to achieve.
[02:50:22.069 --> 02:50:27.872]  You can glimpse it in looking at the interview between Glenn Greenwald and Alex Jones from last week's premiere.
[02:50:28.212 --> 02:50:35.777]  Again, Alex's War is now fully out and available in theaters across the country, available on a range of streaming platforms.
[02:50:36.057 --> 02:50:47.323]  You can also buy it right here, get the old-fashioned DVD, so that you don't have to worry about it disappearing from your digital library, as Amazon has been... had a propense... tendency to do.
[02:50:48.083 --> 02:50:50.825]  You can do that at InfoWarsTore.com today.
[02:50:51.926 --> 02:50:54.848]  But what is happening in the ongoing Ukraine disaster?
[02:50:55.388 --> 02:50:56.589]  Well, here's a nice headline.
[02:50:57.010 --> 02:51:00.473]  German cities turn off hot water and cut lighting.
[02:51:02.003 --> 02:51:06.385]  So, you're going to get used to a lot of cold showers, low warming abilities.
[02:51:06.745 --> 02:51:09.266]  One of the things they said was, don't worry, the Germans will build wood.
[02:51:09.366 --> 02:51:13.808]  Well, you know, they'll use wood to take care of their problem as winter approaches.
[02:51:14.308 --> 02:51:22.772]  Unfortunately, most German buildings, for climate change purposes, have retrofitted themselves so they don't allow their fireplaces to work.
[02:51:23.072 --> 02:51:24.593]  So that doesn't function either.
[02:51:25.553 --> 02:51:34.995]  And in an effort to understand why it's important to always fight back and the value of fighting back is what we're seeing and witnessing in these vaccine side effects.
[02:51:35.015 --> 02:51:41.177]  That getting out independent information about risk is what kept a lot of people from unnecessarily taking this drug.
[02:51:41.657 --> 02:51:54.182]   I have filed suit on behalf of Children's Health Defense against the Food and Drug Administration With Robert Kennedy challenging their authorization and marketing of the vaccine, particularly to children, but also to the military.
[02:51:54.302 --> 02:51:57.224]  One case is pending before the Sixth Circuit Court of Appeals.
[02:51:57.283 --> 02:52:02.163]   another is pending in Waco, Texas, here in the Western District of Texas, because they
[02:52:02.163 --> 02:52:07.324]   have so repeatedly lied using Big Bird and Elmo to convince people something is safe,
[02:52:07.324 --> 02:52:13.763]   effective vaccine that is in fact an experimental drug using gene therapy that does not inoculate
[02:52:13.763 --> 02:52:18.283]   you against getting the disease, does not inoculate you against transmitting the disease,
[02:52:18.283 --> 02:52:22.603]   and is not in fact the definition of a vaccine, nor is it safe or effective under their own
[02:52:22.603 --> 02:52:24.663]  literature and available data.
[02:52:24.663 --> 02:52:29.323]   That is as supported by Brooke Jackson's case brought against Pfizer, pending over in another
[02:52:29.323 --> 02:52:33.083]  part of the federal courts in Texas and Beaumont.
[02:52:33.083 --> 02:52:36.804]   But in this context, just take a look, just go through any of your headlines and find
[02:52:36.804 --> 02:52:38.283]  the people that are just suddenly dying.
[02:52:38.714 --> 02:52:41.838]  They're even calling it SADS, which is sad.
[02:52:42.258 --> 02:52:44.040]  That, you know, sudden adult death syndrome.
[02:52:44.120 --> 02:52:45.222]  Don't know where this is coming from.
[02:52:45.262 --> 02:52:48.686]  People, you know, they get the vaccine, they get the shot, they get a booster, boom, they're dead.
[02:52:49.066 --> 02:52:50.468]  I don't know what could possibly be the cause.
[02:52:50.868 --> 02:53:02.630]  Yeah, we're getting person after person after person, a great Colombian, Latin American singer, prominent sports players, prominent celebrities around the globe that this has happened to.
[02:53:02.991 --> 02:53:10.032]  This shows a continued warning sign that the government has not been honest, not been forthcoming about the real scope of adverse events.
[02:53:10.392 --> 02:53:14.513]  As Obama himself admitted, this was a mass experiment on billions of people.
[02:53:14.893 --> 02:53:25.726]  And we're starting to see the consequences already as being far more devastating and dangerous to the health, especially of young people, than COVID could be, especially the Omicron version of it.
