[00:00:00.289 --> 00:00:01.830]  End-of-the-world alert!
[02:22:40.934 --> 02:22:42.334]  And that's not his job, obviously.
[02:22:42.594 --> 02:22:43.175]  It's our job.
[02:22:43.195 --> 02:22:44.755]  We've got to get rid of Mitch McConnell.
[02:22:44.775 --> 02:23:05.585]  We've got to convince all the people that get elected in 2022, November, that every Republican that gets in, when we take over the Senate and the House, we've got to overthrow and throw out all the bums who are too weak, too cowardly, and don't think like you and me and your listeners and my listeners and my viewers and your viewers and Donald Trump.
[02:23:06.602 --> 02:23:14.210]  Um, I mentioned him being Speaker of the House, which I was the first guy in the country to ever bring that idea up, that he'd be Speaker of the House.
[02:23:14.650 --> 02:23:19.855]  And a lot of people give me credit, all the media, every time they talk about it, they say, Wayne Root asked him about it.
[02:23:20.395 --> 02:23:24.119]  But they say Steve Bannon is the one who first brought it up.
[02:23:24.279 --> 02:23:24.740]  Not true.
[02:23:25.300 --> 02:23:27.863]  Steve Bannon brought it up in February of 2021.
[02:23:28.403 --> 02:23:34.249]  I wrote about it in my nationally syndicated column in January of 2021.
[02:23:34.730 --> 02:23:46.842]  And I said, Trump should become Speaker of the House and lead and open and lead the investigations, criminal investigations against Biden for everything he's about to do that we know will destroy this country.
[02:23:47.662 --> 02:23:51.045]  And so I asked Trump whether he would be willing to be Speaker of the House.
[02:23:51.105 --> 02:23:56.649]  I put my foot on his neck again and said, will you be willing to be Speaker of the House?
[02:23:57.309 --> 02:24:00.452]  And he didn't say no, which is very interesting.
[02:24:00.912 --> 02:24:01.693]  He didn't say no.
[02:24:01.733 --> 02:24:04.034]  He said, well, I hope we don't need that.
[02:24:04.094 --> 02:24:04.995]  We shouldn't need that.
[02:24:05.976 --> 02:24:06.556]  But he wouldn't say no.
[02:24:06.576 --> 02:24:11.460]  That's a really good move because he could easily win a House seat anywhere he wants to do it.
[02:24:11.500 --> 02:24:13.341]  And then they would vote him in as the Speaker.
[02:24:13.681 --> 02:24:14.462]  That would be amazing.
[02:24:15.211 --> 02:24:16.792]  No, but you don't need to win a House seat.
[02:24:17.393 --> 02:24:18.794]  Anybody could be Speaker of the House.
[02:24:19.574 --> 02:24:26.980]  After we win, after the Republicans control the House, you can name, you can vote in, first of all you can nominate anyone you want.
[02:24:27.040 --> 02:24:28.280]  No, but I knew that too.
[02:24:28.300 --> 02:24:32.483]  I read your article back when it came out, but I mean, at the same time, he could just run for the Senate or run for the House.
[02:24:32.764 --> 02:24:36.827]  I know the Senate's different than the House for Speaker, but that would be, imagine Senator Trump.
[02:24:36.867 --> 02:24:38.688]  That's a great leapfrog back into the White House.
[02:24:39.910 --> 02:24:44.312]  But it's clear to me he doesn't want to do that, so I'd rather make it easy for him now.
[02:24:44.792 --> 02:24:51.655]  All you have to do instead of running is be nominated for Speaker of the House, and if the new House elects you, that's it!
[02:24:51.755 --> 02:24:54.396]  But have they ever had a Speaker of the House that didn't come out of the House?
[02:24:55.677 --> 02:24:59.598]  I don't believe so, but that doesn't mean... Hey, did you ever think they'd elect Donald Trump President?
[02:25:00.198 --> 02:25:01.739]  Anything can happen in this world.
[02:25:02.159 --> 02:25:04.000]  If you have enough momentum, anything can happen.
[02:25:04.340 --> 02:25:05.861]  If you elect enough... No, I agree, I agree.
[02:25:05.881 --> 02:25:08.322]  You're about to take over here in a few minutes, but what else did you ask him?
[02:25:08.362 --> 02:25:08.882]  I'm intrigued.
[02:25:10.154 --> 02:25:11.776]  Um, I did a big one here.
[02:25:11.876 --> 02:25:12.977]  I went out on a limb.
[02:25:13.557 --> 02:25:23.467]  I said that a fan of my show is a businessman who imports antigen COVID tests from directly from the manufacturer in China.
[02:25:24.008 --> 02:25:26.610]  So he knows the exact cost of the kits.
[02:25:27.491 --> 02:25:32.396]  And he knows what Biden just bought, how many he bought and the price he paid.
[02:25:32.836 --> 02:25:38.024]   And he said, Wayne, Biden overpaid by 800 million dollars.
[02:25:38.205 --> 02:25:38.405]  Wow.
[02:25:38.445 --> 02:25:41.928]  And I said to President Trump, you know a crime is involved.
[02:25:42.288 --> 02:25:43.929]  You know that was a deal.
[02:25:43.969 --> 02:25:51.776]  Yeah, so Obama got in trouble for Carlos Slim making money off the Obama phones, but this is a great way to catch Biden overpaying massively to the Chai comms.
[02:25:52.116 --> 02:25:56.020]  Probably, I bet that same company probably bought some of Hunter's paintings.
[02:25:57.313 --> 02:26:02.394]  Right, so you know that there was a finder's fee of $50-$100 million involved with that deal.
[02:26:02.934 --> 02:26:05.055]  And I said, maybe it wasn't Biden.
[02:26:05.415 --> 02:26:06.275]  Maybe it was Hunter.
[02:26:06.515 --> 02:26:07.516]  Maybe it wasn't Hunter.
[02:26:07.816 --> 02:26:10.376]  Maybe it was a member of your administration, Mr. Biden.
[02:26:10.696 --> 02:26:15.518]  But we all know somebody took a kickback for an $800 million- Because they can't help themselves.
[02:26:15.558 --> 02:26:18.218]  That's why you do such a great job, Wayne, is you're always ferreting this out.
[02:26:18.498 --> 02:26:20.579]  You're going to tell us more of what you talked to Trump about straight ahead.
[02:26:20.599 --> 02:26:21.339]  What else are you going to cover?
[02:26:23.019 --> 02:26:33.329]  I'm going to cover what I learned at Columbia, how you overcome the United States, overwhelm the American economy with cloward pivot and destroy America once and for all.
[02:26:33.690 --> 02:26:38.234]  I learned it in class at Columbia and it's happening right now in front of our very eyes.
[02:26:38.254 --> 02:26:38.634]  That's right.
[02:26:38.834 --> 02:26:40.175]  They admit this is cloud and ribbon.
[02:26:40.195 --> 02:26:41.336]  That's what the Great Reset is.
[02:26:41.736 --> 02:26:43.557]  And on our ashes, they have build back better.
[02:26:43.597 --> 02:26:45.398]  Wayne Allen Root is on fire as usual.
[02:26:45.738 --> 02:26:47.218]  RootForAmerica.com.
[02:26:47.599 --> 02:26:48.159]  Find out more.
[02:26:48.179 --> 02:26:49.980]  He'll be airing a couple of hours of this big Trump interview.
[02:26:50.280 --> 02:26:52.181]  He takes over the balance the next 45 minutes.
[02:26:52.221 --> 02:26:57.564]  And then Owen Troyer today on the attacked, punished InfoWars.com.
[02:26:57.884 --> 02:26:58.584]  We'll be right back.
[02:26:58.604 --> 02:26:59.004]  Stay with us.
[02:26:59.785 --> 02:27:00.785]  All right, Wayne Allen Root.
[02:27:00.885 --> 02:27:02.126]  Welcome back to the show.
[02:27:03.444 --> 02:27:07.587]  I am hosting, guest hosting for this last hour of the Alex Jones Show, hour number four.
[02:27:08.488 --> 02:27:10.990]  Thank you for everything you do, Alex, and thank you for inviting me on the show.
[02:27:11.050 --> 02:27:11.450]  It's an honor.
[02:27:12.362 --> 02:27:15.085]  For those of you who don't know me, I'm based out of Las Vegas, Nevada.
[02:27:15.666 --> 02:27:19.310]  Originally born and raised in New York, which is why I'm the biggest fan in the world of Donald Trump.
[02:27:19.810 --> 02:27:29.220]  I'm a proud New York Jewish Republican businessman who produces reality shows and is married to one of the most gorgeous women in the world.
[02:27:29.560 --> 02:27:30.221]  Sound familiar?
[02:27:30.581 --> 02:27:32.043]  Me and Trump are like the same person.
[02:27:32.563 --> 02:27:44.597]   And so I'm a big fan of President Trump and I just I got through interviewing him on my national radio show, although we did hire a camera crew to come in and tape it as well to turn it into a basically a TV interview.
[02:27:45.478 --> 02:27:46.920]  But Trump and I go back a long way.
[02:27:47.000 --> 02:27:52.879]   I was the opening speaker in seven Trump events, seven Trump rallies in Las Vegas,
[02:27:52.879 --> 02:27:57.639]   six of them while he was running for President of the United States in 2015 and '16.
[02:27:57.639 --> 02:28:02.379]   And then one of them, his very first rally in Vegas as President of the United States.
[02:28:02.379 --> 02:28:06.199]   I'm very proud that Secret Service called me and said, "You've been chosen to be the opening speaker
[02:28:06.199 --> 02:28:10.039]   "by President Trump himself, "and we'd like to set up the arrangements.
[02:28:10.039 --> 02:28:12.239]  "The advance men need to call you and arrange it."
[02:28:12.239 --> 02:28:15.000]  And I became the opening speaker for that event as well.
[02:28:15.000 --> 02:28:16.260]  So I go back a ways with Trump.
[02:28:16.260 --> 02:28:21.078]   I just got married November, and we're honeymooning in March at Mar-a-Lago.
[02:28:21.419 --> 02:28:26.205]  And we are just proud as could be to be in President Trump's home for a honeymoon.
[02:28:26.286 --> 02:28:27.107]  Who gets to say that?
[02:28:27.567 --> 02:28:29.410]  So I'm a big fan of President Trump, but I'm also...
[02:28:30.592 --> 02:28:34.354]  Even though I agree with him on 99% of every issue and think he was, oh, there's me.
[02:28:34.695 --> 02:28:36.416]  They have me on the screen giving a speech for Trump.
[02:28:37.176 --> 02:28:45.321]  Even though I agree with him on 99% of every issue and everything he ever did, I disagree with him on one issue, which is vaccines.
[02:28:46.262 --> 02:28:52.666]  And I'm probably the first guy in America, along with Alex Jones, to just warn people about this issue.
[02:28:53.126 --> 02:28:56.148]  I'm as anti this COVID vaccine as anyone's ever been.
[02:28:57.123 --> 02:28:59.164]  Let me make sure you understand, I'm not anti-vaccine.
[02:28:59.665 --> 02:29:00.865]  As a kid, I had every vaccine.
[02:29:00.925 --> 02:29:03.547]  Polio, smallpox, I don't know, name it.
[02:29:03.607 --> 02:29:04.588]  Whatever you get.
[02:29:04.888 --> 02:29:05.848]  Diphtheria, I don't know.
[02:29:06.529 --> 02:29:07.629]  You name it, I had it.
[02:29:08.230 --> 02:29:09.310]  And I'm fine, right?
[02:29:09.350 --> 02:29:10.211]  I lived a wonderful life.
[02:29:10.991 --> 02:29:12.732]  But I'm not anti-vaccine.
[02:29:12.772 --> 02:29:14.573]  I'm anti-this vaccine.
[02:29:14.634 --> 02:29:15.694]  I knew from day one.
[02:29:16.375 --> 02:29:17.275]  Don't ask me why.
[02:29:17.295 --> 02:29:19.456]  I just am a gut instinct guy.
[02:29:19.877 --> 02:29:28.504]   And my gut instinct from day one was, while Donald Trump was bragging about it and saying how great it was, I felt alarm bells were going off.
[02:29:28.544 --> 02:29:33.008]  Being from Vegas, I felt neon signs were blinking in bright red.
[02:29:33.849 --> 02:29:34.329]  Beware.
[02:29:34.709 --> 02:29:35.150]  Beware.
[02:29:35.650 --> 02:29:37.732]  Don't take this vaccine.
[02:29:38.253 --> 02:29:39.514]  Don't listen to the government.
[02:29:39.554 --> 02:29:40.715]  Government lies about everything.
[02:29:41.475 --> 02:29:43.237]  What did one of my other heroes, Ronald Reagan, say?
[02:29:43.998 --> 02:29:48.742]  The nine worst words in the English language, I'm from the government and I'm here to help.
[02:29:49.850 --> 02:29:59.383]  And that's what this this entire incident of this vaccine, this whole scenario is, is like right out of Reagan's saying, I'm for the government and I'm here to help.
[02:29:59.423 --> 02:30:00.084]  Don't ever listen.
[02:30:00.404 --> 02:30:01.506]  Those are the nine worst words.
[02:30:02.259 --> 02:30:03.259]  This was what happened.
[02:30:03.800 --> 02:30:05.460]  Trump trusted government.
[02:30:05.480 --> 02:30:06.520]  He trusted Fauci.
[02:30:06.920 --> 02:30:07.921]  He trusted Birx.
[02:30:08.261 --> 02:30:11.602]  He trusted all the doctors and all the scientists and the CDC.
[02:30:12.142 --> 02:30:15.103]  And that was a giant mistake because they don't have your best interests in mind.
[02:30:15.163 --> 02:30:17.544]  I believe they're all bribed and it was all about money.
[02:30:18.384 --> 02:30:22.925]  Some people say, including Alex, I believe that it's about depopulation and that could very well be.
[02:30:23.545 --> 02:30:25.406]  But I don't get into that because I don't know anything about that.
[02:30:25.806 --> 02:30:29.531]  I'm not around when Bill Gates talks about depopulation or Klaus Schwab.
[02:30:29.851 --> 02:30:30.412]  I'm not there.
[02:30:30.432 --> 02:30:31.213]  So I don't know about that.
[02:30:31.233 --> 02:30:31.974]  I won't discuss that.
[02:30:32.595 --> 02:30:50.196]   I know that this is about money and has been from day one about money and power and also taking the election away from President Trump to make sure he wasn't reelected and jamming in Mail-in ballots by the millions with no voter ID and ballot harvesting by the millions.
[02:30:50.596 --> 02:30:53.298]  Nobody ever checked the drop boxes and steal the election.
[02:30:53.598 --> 02:30:54.379]  It was all of that.
[02:30:54.879 --> 02:30:58.121]  This is how they rigged and stole the election with COVID.
[02:30:58.641 --> 02:31:10.449]  But more importantly, they all knew they'd get rich off COVID, off the vaccines, off stock in the vaccine manufacturers, off stock in the big pharma companies, off stock on the masks.
[02:31:10.969 --> 02:31:13.631]  This is how everybody got rich in Washington, D.C.
[02:31:15.330 --> 02:31:16.531]  And President Trump missed that.
[02:31:16.571 --> 02:31:18.333]  That's the first and only thing he's ever missed.
[02:31:18.793 --> 02:31:19.434]  He's brilliant.
[02:31:19.514 --> 02:31:20.134]  He's wonderful.
[02:31:20.194 --> 02:31:21.295]  I want him back as president.
[02:31:21.615 --> 02:31:22.336]  I think he's great.
[02:31:22.816 --> 02:31:25.899]  But he just didn't understand one thing ever.
[02:31:25.999 --> 02:31:27.320]  He's always ahead of the ballgame.
[02:31:27.660 --> 02:31:31.063]  Everyone else is playing chess while he's playing... is playing checkers while he's playing chess.
[02:31:31.544 --> 02:31:34.126]  But he missed that everybody was in on the scam.
[02:31:34.870 --> 02:31:42.732]  That everybody was going to get rich off the vaccines if they killed all other options like Hydroxychloroquine and Ivermectin.
[02:31:43.172 --> 02:31:51.254]  Because you can't get FDA's approval for an experimental vaccine for emergency use if there's any other therapeutic that does the job.
[02:31:51.834 --> 02:31:59.696]  And Hydroxychloroquine and Ivermectin we now know through literally dozens if not hundreds of studies all around the world.
[02:32:00.117 --> 02:32:01.757]  They do the job so effectively.
[02:32:02.759 --> 02:32:07.242]  And so brilliantly, so wonderfully, so magically, so miraculously.
[02:32:07.262 --> 02:32:18.488]  And you add that with vitamin C in particular, intravenous vitamin C, you add that to vitamin D3, you add that to zinc, and you add that to a Z-Pak antibiotic.
[02:32:19.069 --> 02:32:25.172]  And that's the answer for how we did not ever need to have hundreds of thousands of deaths from COVID.
[02:32:25.552 --> 02:32:28.114]  These poor people, these poor people never had to die.
[02:32:28.731 --> 02:32:35.172]   So it really is mass murder because they not only made sure that the vaccines made them billions
[02:32:35.172 --> 02:32:38.971]   while the vaccines did work and the vaccines did harm to your immune system,
[02:32:38.971 --> 02:32:47.131]   but they also made sure nobody believed in ivermectin or hydroxychloroquine and they made sure nobody could get
[02:32:47.131 --> 02:32:48.811]  hydroxychloroquine or ivermectin.
[02:32:48.811 --> 02:32:54.291]   They bad mouth it to the point where doctors wouldn't prescribe it for fear of losing their licenses
[02:32:54.291 --> 02:32:58.731]   and pharmacies would not fill the prescription even if a doctor did prescribe it
[02:32:58.731 --> 02:33:03.572]   for fear of losing their license and therefore hundreds of thousands of people died
[02:33:03.572 --> 02:33:06.091]  who never had to die, never had to die.
[02:33:07.064 --> 02:33:08.885]  I don't know what other way you could describe it.
[02:33:09.025 --> 02:33:11.707]  Somebody's got to be brought to justice for the mass murder.
[02:33:12.147 --> 02:33:12.867]  But I know one thing.
[02:33:12.927 --> 02:33:15.928]  President Trump had the best interests of America in mind.
[02:33:16.389 --> 02:33:30.115]  He thought he was saving millions of lives and he thought he was bringing a great drug slash vaccine to market because he heard that from the medical experts who he had to trust and believe because he knows business better than anyone in the world.
[02:33:30.475 --> 02:33:31.355]  But he doesn't know medicine.
[02:33:31.375 --> 02:33:32.055]  He's not a doctor.
[02:33:32.576 --> 02:33:35.397]  So I think, you know, that's the one thing he was ever fooled on.
[02:33:36.525 --> 02:33:43.348]  And it's a biggie, but I got him to admit in my interview today that he's very much against the vaccine mandate, very much against the mandate.
[02:33:43.949 --> 02:33:51.913]  And I told him, I heard an interview where he said, once he's reelected, the very first thing he'll do is finish building the wall.
[02:33:52.493 --> 02:33:58.636]  And I said, you got to promise me you'll do two things at the same time, finish building the wall and kill the vaccine mandate.
[02:33:59.176 --> 02:34:03.318]  And his response was, I will, but it's going to be long gone by that time.
[02:34:04.678 --> 02:34:05.679]  2024 is three years from now.
[02:34:05.999 --> 02:34:07.560]  The vaccine mandate will be long gone.
[02:34:07.860 --> 02:34:08.760]  Well, I don't know about that.
[02:34:09.421 --> 02:34:10.521]  I don't know if it'll be long gone.
[02:34:11.221 --> 02:34:13.342]  I just want to make sure it's on the forefront of his mind.
[02:34:13.722 --> 02:34:15.683]  You've got to kill the vaccine mandate.
[02:34:15.703 --> 02:34:17.344]  Those who want to take it, take it.
[02:34:17.964 --> 02:34:18.585]  God bless you.
[02:34:18.645 --> 02:34:19.025]  Good luck.
[02:34:19.365 --> 02:34:26.528]  You're going to need it because my opinion is you're going to destroy your immune system and you could wind up dead or disabled or damaged for the rest of your life.
[02:34:27.028 --> 02:34:28.489]  But if you want to take it, take it.
[02:34:29.102 --> 02:34:32.006]  But nobody can be forced to take the vaccine.
[02:34:32.066 --> 02:34:41.140]  So hopefully long before 2024, as Trump said to me in our interview that will air this afternoon, as I said to Alex, if you want to hear the interview.
[02:34:42.179 --> 02:34:48.064]  Just go to my radio show, either online or literally on your car phone.
[02:34:48.524 --> 02:34:51.146]  Check out Wade Allen Root's radio show on USA Radio Network.
[02:34:51.567 --> 02:35:00.714]  Or online, go to usaradio.com at 6 o'clock Eastern, 5 o'clock Central, 3 o'clock Pacific, and click on Listen Live Now.
[02:35:00.814 --> 02:35:05.057]  You'll hear my interview for about 45 minutes with President Trump.
[02:35:05.078 --> 02:35:06.879]  It's my third interview in the last nine months.
[02:35:07.359 --> 02:35:08.060]  I'm very proud of that.
[02:35:08.080 --> 02:35:10.902]  He loves coming on with me because he knows we're great friends.
[02:35:10.942 --> 02:35:11.723]  We appreciate each other.
[02:35:12.243 --> 02:35:15.505]  So check it out at my website root4america.com.
[02:35:16.106 --> 02:35:27.072]  I'll have the TV version within 48 hours up on root4america.com and I'll give it to Alex Jones as well to put it on InfoWars so you'll get to see it either there or at root4america.com.
[02:35:27.372 --> 02:35:29.173]  They're telling me we're going out in about 10 seconds.
[02:35:29.574 --> 02:35:30.834]  I've got two more segments with you.
[02:35:31.155 --> 02:35:33.236]  I've got so much more to tell you about my interview with Trump.
[02:35:33.776 --> 02:35:38.480]  And about what Democrats and liberals and communists are actually doing to the United States of America.
[02:35:38.920 --> 02:35:42.182]  Alright, Wayne Root live with you, guest hosting for Alex Jones.
[02:35:42.242 --> 02:35:43.383]  Great, great, great man.
[02:35:43.923 --> 02:35:45.905]  And always an honor to be on his show.
[02:35:45.944 --> 02:35:49.824]   Thank you, Alex, for educating the American people and empowering the American people
[02:35:49.824 --> 02:35:55.724]   and keeping a lot of people alive and safe at a time where it seems like a lot of people want us dead.
[02:35:55.724 --> 02:35:56.824]  It sure seems like it.
[02:35:56.824 --> 02:36:02.385]   I have some different theories that may be to present you that maybe others don't have.
[02:36:02.385 --> 02:36:06.304]   Let me start with a little self-promotion because my latest book is
[02:36:06.304 --> 02:36:09.704]  "The Great Patriot Protest and Boycott Book."
[02:36:09.704 --> 02:36:12.444]  And you can get it at Amazon or Barnes and Noble.
[02:36:12.444 --> 02:36:17.545]   And it's been a number one book in America several times since it came out in, when did it come out?
[02:36:17.257 --> 02:36:19.240]  I think September last fall.
[02:36:20.202 --> 02:36:22.086]  But the point of the book is...
[02:36:23.809 --> 02:36:24.990]  It's got a listing in the back.
[02:36:25.470 --> 02:36:41.419]   There's a hundred or so companies listed in the back where I give you the names, the phone number, the email address, the social media accounts, every single way to contact CEOs of 120 companies Can I say this on the air?
[02:36:41.800 --> 02:36:43.020]  Crap on conservatives.
[02:36:43.660 --> 02:36:53.923]  We make them rich and they treat us like garbage and they're ruining America and they're caving to the woke mob and they're treating us like garbage and disregarding what we say while we buy most of their goods.
[02:36:54.443 --> 02:37:04.525]  So I went out and did a lot of research and hired a team of telemarketers to contact all of them and I got their name, their phone number, their email, every way to contact them that nobody ever had before and it's in the book.
[02:37:04.565 --> 02:37:06.446]  So it's an amazing resource guide.
[02:37:07.266 --> 02:37:09.407]  The reason I bring it up is the Canadian truckers.
[02:37:10.207 --> 02:37:19.269]  My book is it makes the case that we got a boycott and we got to disrupt and we got to protest and we got to strike against all the powers that be.
[02:37:19.789 --> 02:37:25.029]   We got to act like Dr. Martin Luther King taught the black people of America in the 1960s,
[02:37:25.029 --> 02:37:32.748]   that we've got to use the power we've got and the money that we spend to destroy all of our enemies
[02:37:32.748 --> 02:37:34.789]  before they destroy us.
[02:37:34.789 --> 02:37:38.789]   And it worked fantastically for Martin Luther King and black Americans.
[02:37:38.789 --> 02:37:39.988]  He did a great job.
[02:37:39.988 --> 02:37:43.029]   And of course he goes down as a legend and a hero and an icon.
[02:37:43.029 --> 02:37:45.668]   And we have Martin Luther King Day in the United States of America.
[02:37:45.668 --> 02:37:48.029]  And he gets celebrated right up there with who?
[02:37:48.029 --> 02:37:51.029]  George Washington, Thomas Jefferson, James Madison.
[02:37:51.029 --> 02:37:51.868]  It's amazing.
[02:37:51.868 --> 02:37:53.148]  He's got his own American holiday.
[02:37:53.148 --> 02:37:53.989]  Well, guess what?
[02:37:53.989 --> 02:37:56.949]  It's time for conservatives to emulate Martin Luther King.
[02:37:56.949 --> 02:38:03.429]   And so the greatest example of what I'm talking about is this Canadian trucker strike
[02:38:03.429 --> 02:38:07.709]   or this Canadian trucker boycott or this Canadian trucker convoy
[02:38:07.709 --> 02:38:10.548]  and this Canadian trucker blockade.
[02:38:10.548 --> 02:38:12.248]  They are so fantastic.
[02:38:12.248 --> 02:38:17.789]   And they're inspiring others around the world to do the same.
[02:38:17.789 --> 02:38:20.789]  New Zealand joins Canada and Finland.
[02:38:20.678 --> 02:38:27.841]  And a trucker convoy in New Zealand blocks Parliament and demands an end to vaccines and mask mandates.
[02:38:28.422 --> 02:38:43.589]  That was the whole point of my book, The Great Patriot Protest and Boycott book, is if you're going to get rid of vaccines and vaccine mandates and mask mandates and lockdowns, we're going to have to take over the country and block the roads and block the roads to Washington, D.C.
[02:38:43.609 --> 02:38:46.170]  and the government and block the roads to the Super Bowl.
[02:38:46.470 --> 02:38:47.951]  That's what they should be doing this Sunday.
[02:38:48.411 --> 02:38:53.132]  There should be a trucker convoy that blockades the Super Bowl.
[02:38:53.652 --> 02:39:09.956]  And if they can't or won't do that, and I wrote that column this weekend for my Naturally Synecdoche column, if they can't or won't do what our neighbors are doing in Canada, then what they should do is drive in a convoy of 500,000 American truckers right into Washington, D.C.
[02:39:10.356 --> 02:39:12.516]  and surround Washington and lock it down.
[02:39:12.936 --> 02:39:27.587]   If you won't lock down the Super Bowl, which have gotten you the most press in the world, And I love the Super Bowl despite the NFL players being morons and social justice fools who don't know what they're doing and supporting communist organizations and spitting in our faces and kneeling for the flag.
[02:39:28.028 --> 02:39:29.669]  I've loved football since I was a little boy.
[02:39:29.689 --> 02:39:40.880]  So I've loved football for 50 years and I loved Roger Staubach when I was a kid growing up and that gave me my love of NFL football and the Dallas Cowboys and I just can't beat that and I won't stop it.
[02:39:40.960 --> 02:39:41.321]  I love it.
[02:39:42.202 --> 02:39:46.466]  I love betting on football, and those who don't know, I'm one of the biggest betting guys in the world.
[02:39:47.066 --> 02:39:52.351]  The media, before I ever got into politics, called me the king of Vegas sports gambling and America's odds maker.
[02:39:52.692 --> 02:39:54.373]  That's what I did before I got into politics.
[02:39:54.734 --> 02:39:58.597]  I was the number one odds maker and sports prognosticator in America.
[02:39:58.938 --> 02:40:03.302]  I was the network odds maker for CNBC, then known as Financial News Network.
[02:40:04.398 --> 02:40:05.579]  And so I give out picks.
[02:40:06.140 --> 02:40:10.223]  Who's going to win against the point spread on American college and pro football games?
[02:40:10.643 --> 02:40:12.004]  And it's a very big business for me.
[02:40:12.064 --> 02:40:14.266]  As a matter of fact, let me mention that website.
[02:40:14.286 --> 02:40:16.368]  Vegaswinners.com is my website.
[02:40:16.408 --> 02:40:23.534]  I'll have my Super Bowl pick there that literally hundreds or thousands of Americans will click, point and click and buy my Super Bowl pick.
[02:40:23.874 --> 02:40:25.956]  It'll be up as of next few days.
[02:40:25.976 --> 02:40:30.279]  So go there every day and you'll see it may come up on Thursday, may come up on Friday.
[02:40:30.779 --> 02:40:33.702]  And you'll well, we know it'll come up on Friday for Sunday's game.
[02:40:34.122 --> 02:40:36.264]  So it may come up a little early tomorrow or Thursday.
[02:40:36.745 --> 02:40:38.826]  I'm just very close to making that final pick.
[02:40:38.846 --> 02:40:40.388]  It's famous all over the country.
[02:40:40.408 --> 02:40:47.894]  I've won 27 out of 37 Super Bowls in my 37-year career as the top sports prognosticator in America and odds maker in America.
[02:40:48.315 --> 02:40:52.338]  Vegaswinners.com is my sports website and that's where my pick will be.
[02:40:52.799 --> 02:41:00.045]  But my point is, even though I'm a big bettor and I love the Super Bowl, I think that the truckers should blockade the Super Bowl to make a statement.
[02:41:00.569 --> 02:41:04.311]  And I think they should blockade Las Vegas to make a statement just for a few hours.
[02:41:04.331 --> 02:41:05.891]  I don't want to destroy Las Vegas.
[02:41:05.911 --> 02:41:07.332]  I don't want to destroy the Super Bowl.
[02:41:07.692 --> 02:41:11.734]  But you'd make a statement if you just did it like all day Saturday before the big game.
[02:41:12.274 --> 02:41:13.415]  Maybe don't do it on Sunday.
[02:41:13.795 --> 02:41:18.177]  Do it on Saturday and make a statement that the national news media has to cover.
[02:41:18.577 --> 02:41:22.679]  But then get in a convoy and go to Washington, D.C.
[02:41:23.199 --> 02:41:28.702]  and really blockade permanently, I mean indefinitely, Washington, D.C.
[02:41:29.457 --> 02:41:33.399]  You know, every day that Congress is closed, we'll save money.
[02:41:33.799 --> 02:41:34.820]  It's good for the taxpayers.
[02:41:35.260 --> 02:41:40.122]  Every day Congress can't open their mouth and hot air can't come out is money that we've all saved.
[02:41:40.583 --> 02:41:42.844]  So I hope they blockade Washington, D.C.
[02:41:43.184 --> 02:41:49.667]  the same way that the Canadian truckers, our brothers up north, have blockaded Ottawa, which is their version of Washington, D.C.
[02:41:50.147 --> 02:41:51.808]  It's the capital of Canada, Ottawa.
[02:41:52.389 --> 02:41:53.469]  And they've blockaded it.
[02:41:53.529 --> 02:41:54.850]  There's the photos on the screen.
[02:41:55.310 --> 02:41:57.531]  They are so heroic in what they're doing.
[02:41:57.551 --> 02:41:58.912]  And it's going to end badly.
[02:41:59.472 --> 02:42:01.875]  Because the police are already arresting truckers.
[02:42:02.255 --> 02:42:03.777]  They're already stealing their gas.
[02:42:04.157 --> 02:42:05.819]  So that's freezing outside at night.
[02:42:05.859 --> 02:42:07.200]  It's probably 20 below zero.
[02:42:07.620 --> 02:42:10.223]  And they've got no heat because they have no gas anymore.
[02:42:10.724 --> 02:42:12.245]  Because they took away their gas tanks.
[02:42:12.866 --> 02:42:14.748]  So it's going to end soon.
[02:42:15.168 --> 02:42:17.811]  It can't go on because they freeze to death, I guess.
[02:42:18.611 --> 02:42:22.854]  And there's going to be arrests and God forbid there could even be violence.
[02:42:22.934 --> 02:42:27.656]  I pray and hope not because if there is, then there's going to be a revolution in Canada.
[02:42:28.056 --> 02:42:29.297]  And that's what would happen in America.
[02:42:29.657 --> 02:42:38.462]  If you ever touch one of the truckers and hurt them or shoot them, I think you'd literally instigate a revolution in the United States of America.
[02:42:38.482 --> 02:42:40.083]  And that's why we need a trucker convoy.
[02:42:40.503 --> 02:42:44.245]  See, the truckers have so much more power.
[02:42:44.867 --> 02:42:46.348]  Than anybody ever understood.
[02:42:46.408 --> 02:42:51.453]  Out of all the groups in America, truckers might have more power than anyone except policemen.
[02:42:51.953 --> 02:42:55.936]  If tomorrow every policeman went on strike, we'd have Mad Max outside.
[02:42:56.337 --> 02:42:57.798]  We'd have the Purge outside.
[02:42:58.398 --> 02:43:05.264]  Everybody would get shot, robbed and killed in the United States of America in a matter of minutes if they heard the police run strike.
[02:43:05.968 --> 02:43:07.249]  So that's how important police are.
[02:43:07.690 --> 02:43:10.132]  Well, truckers are as important as cops.
[02:43:10.673 --> 02:43:11.553]  And you go, how could that be?
[02:43:11.573 --> 02:43:12.614]  They're just a bunch of truckers.
[02:43:12.995 --> 02:43:13.455]  No, they're not.
[02:43:13.976 --> 02:43:14.616]  They're heroes.
