[00:00:22.233 --> 00:00:24.815]  Welcome, it's Wednesday, February 22nd, 2012.
[01:13:54.598 --> 01:14:00.440]  If any of you are in favor of that and you want the federal government to force companies to, just like yours here even,
[01:14:00.960 --> 01:14:07.403]  To keep track of all your clients and customers and to keep a list for the FBI to come check anytime they want.
[01:14:07.843 --> 01:14:08.684]  That's what they want to do.
[01:14:08.864 --> 01:14:10.325]  And they want to chill free speech too.
[01:14:10.485 --> 01:14:12.005]  Yeah, of course, of course.
[01:14:12.786 --> 01:14:18.528]  And so, if you want to stop all that, help me out at SheriffMacForCongress.com.
[01:14:19.029 --> 01:14:21.130]  SheriffMacForCongress.com.
[01:14:21.650 --> 01:14:23.471]  And we'll take back America again.
[01:14:23.711 --> 01:14:27.733]  I'd still believe, more than anything, as I've said here on this program before,
[01:14:28.433 --> 01:14:41.720]  That the best way to take America back is county-by-county, state-by-state, sheriff-by-sheriff, county commissioners working together with sheriffs to defend the United States Constitution and my personal and your personal God-given rights.
[01:14:41.981 --> 01:14:43.902]  But this is all about the 10th Amendment.
[01:14:43.982 --> 01:14:47.384]  Governments always go out of control and it's always because of centralized power.
[01:14:47.744 --> 01:14:51.366]  That's why the founders wanted as many checks and balances at every level as they could
[01:14:52.006 --> 01:14:53.046]  And that's what you're doing here.
[01:14:53.087 --> 01:14:55.147]  You started with 90 sheriffs out of what, 3,000?
[01:14:55.207 --> 01:14:56.228]  Correct.
[01:14:56.348 --> 01:14:57.048]  Isn't that close to 3%?
[01:14:57.408 --> 01:15:00.089]  Isn't that what we had in the Revolutionary War?
[01:15:00.129 --> 01:15:01.110]  Revolutionary War, yeah.
[01:15:01.130 --> 01:15:02.430]  So I'd say that's a good start.
[01:15:02.510 --> 01:15:04.111]  But I'll tell you, this is going to expand.
[01:15:04.291 --> 01:15:11.514]  And a lot of the sheriffs who were there, as you can see the quotes from the sheriffs in Denver and Colorado, they really liked it.
[01:15:11.574 --> 01:15:18.836]  And of course, you know, there's a sheriff saying, I don't want, obviously, I don't want violence against other law enforcement offices.
[01:15:19.437 --> 01:15:20.077]  Well, we don't either.
[01:15:21.030 --> 01:15:21.350]  Obviously.
[01:15:21.430 --> 01:15:23.812]  But do you want to guarantee that not happening?
[01:15:24.112 --> 01:15:25.052]  Do you want to guarantee?
[01:15:25.153 --> 01:15:26.774]  Anybody here listening to the program?
[01:15:27.334 --> 01:15:29.555]  Anybody at Infowars.com?
[01:15:29.855 --> 01:15:31.757]  Do you want to guarantee that that won't happen?
[01:15:32.117 --> 01:15:36.900]  Then get your sheriff involved in the process and I'll guarantee that we'll keep this peaceful.
[01:15:37.620 --> 01:15:37.820]  Right.
[01:15:37.840 --> 01:15:38.120]  Okay?
[01:15:38.561 --> 01:15:39.481]  That'll make it happen.
[01:15:39.901 --> 01:15:45.725]  And we had 90 sheriffs who are witnesses now that we are not asking for violence.
[01:15:45.825 --> 01:15:47.846]  We are trying to find a way to prevent it.
[01:15:48.907 --> 01:15:50.528]  And in fact, you want to go through history?
[01:15:53.393 --> 01:15:56.720]  Rosa Parks was arrested by people who had badges on.
[01:15:57.722 --> 01:16:01.691]  Rosa Parks should have been taken home by those two officers, not to jail.
[01:16:02.072 --> 01:16:02.252]  Right.
[01:16:03.067 --> 01:16:04.709]  Oh, you mean don't enforce the law?
[01:16:05.009 --> 01:16:06.470]  That's exactly what I mean.
[01:16:06.891 --> 01:16:17.340]  When the law becomes destructive of freedom and liberty, we've got to have sheriffs and peace officers and deputies and county commissioners who stand against stupid laws.
[01:16:17.861 --> 01:16:18.762]  That's what I'm about.
[01:16:19.402 --> 01:16:21.304]  And now tell me which one is more correct.
[01:16:22.905 --> 01:16:23.986]  Which one keeps the peace?
[01:16:24.767 --> 01:16:28.890]  Protecting Rosa Parks and escorting her home or sending her to jail.
[01:16:29.270 --> 01:16:31.051]  Well that's what they want to do with us today.
[01:16:31.632 --> 01:16:35.114]  Our government has never stopped putting people at the back of the bus.
[01:16:35.254 --> 01:16:36.855]  They just go from one group to another.
[01:16:37.416 --> 01:16:41.358]  Gun owners, I'm afraid, are going to be next on the Obama agenda.
[01:16:42.159 --> 01:16:43.300]  If Obama gets elected,
[01:16:44.544 --> 01:16:48.325]  You better grab your guns and your Bible because he's coming after him.
[01:16:48.525 --> 01:16:51.306]  And my book, The Magic of Gun Control, definitely bears that out.
[01:16:52.526 --> 01:16:58.268]  The whole entire Fast and Furious thing, that's all it was about, was more gun control.
[01:16:58.768 --> 01:17:00.828]  It was not about sending guns to Mexico.
[01:17:01.269 --> 01:17:02.869]  It was about gun control.
[01:17:03.449 --> 01:17:13.452]  They wanted to create such an uproar to show that these guns are coming from Arizona gun shops and Arizona gun shows down to the cartels
[01:17:14.232 --> 01:17:20.277]  The federal government staged that whole thing so that we could get more gun control going in America.
[01:17:20.297 --> 01:17:30.806]  It blew up in their face because Agent John Dodson whistle blew on them and here we go again and of course Agent Brian Terry loses his life in this thing.
[01:17:31.767 --> 01:17:34.130]  This was an operation called Fast and Furious.
[01:17:34.611 --> 01:17:38.557]  Folks, you help me get to Washington, D.C., I'll show you Fast and Furious.
[01:17:38.877 --> 01:17:42.743]  We'll cut so many departments, including the VATF, your head will spin.
[01:17:43.263 --> 01:17:45.226]  You want Fast and Furious in Washington, D.C.?
[01:17:46.047 --> 01:17:47.089]  Sheriff Mack for Congress.
[01:17:48.109 --> 01:17:54.012]  Well, I like what you have to say about the magic quip, because they just want us to transfer all the power behind the Wizard of Oz's curtain.
[01:17:54.273 --> 01:17:55.994]  Exactly, I like that, you got it.
[01:17:56.154 --> 01:17:57.254]  Yeah, you got it, Eric.
[01:17:57.815 --> 01:17:58.795]  That's exactly right.
[01:17:58.835 --> 01:18:00.576]  This exposes the man behind the curtain.
[01:18:00.616 --> 01:18:01.817]  I mean, who do they think we are?
[01:18:01.877 --> 01:18:02.918]  Who do we think they are?
[01:18:03.358 --> 01:18:04.639]  We know what they're doing up there.
[01:18:04.839 --> 01:18:06.380]  Yeah, very good, I like that.
[01:18:06.400 --> 01:18:11.202]  So yeah, we do have to put a balance of power back, and obviously it does start at the county and state level.
[01:18:11.383 --> 01:18:12.443]  Well, my case says that.
[01:18:12.483 --> 01:18:16.566]  I'm glad you brought balance of power, because Justice Scalia in our Supreme Court victory
[01:18:17.486 --> 01:18:24.748]  He actually said that the solution to all of this is simply maintaining a healthy balance of power between the states and the federal government.
[01:18:25.369 --> 01:18:26.589]  So that's all we're after.
[01:18:26.669 --> 01:18:29.750]  We're not after hurting anybody or destroying anybody.
[01:18:30.190 --> 01:18:37.772]  Yeah, we want government off our backs, we want the federal government to be responsible, and we want to cut the federal bureaucracies.
[01:18:38.313 --> 01:18:38.713]  That's it.
[01:18:39.353 --> 01:18:42.234]  Now, the federal government has already proved they won't do that.
[01:18:43.226 --> 01:18:45.407]  So, what's the only answer left?
[01:18:45.888 --> 01:18:46.628]  State sovereignty.
[01:18:46.808 --> 01:18:47.789]  The states have to do it.
[01:18:48.669 --> 01:18:56.814]  And so, there's nothing, again, there's nothing radical, there's nothing subversive about it, there's nothing illegal, unlawful, or violent.
[01:18:58.475 --> 01:19:06.739]  This is an effective means exercising a peaceful solution to a horrible problem that the federal government has caused, once again.
[01:19:07.059 --> 01:19:07.840]  There's a big shocker.
[01:19:08.320 --> 01:19:08.860]  Unlawful?
[01:19:08.900 --> 01:19:13.342]  These people run with a gang of criminals who've said they want to do an end run around the Constitution.
[01:19:13.682 --> 01:19:14.662]  That's not unlawful?
[01:19:14.783 --> 01:19:23.026]  Well, yeah, and Nancy Pelosi has said it, and many other congressmen have said, including Lamar Smith, said, oh, well, the Constitution's just...
[01:19:24.086 --> 01:19:33.931]  Up for personal interpretation or it's a, you know, it's a guidelines but there's nothing expressed in it, you know, and it's a living document and, you know, basically Congress can still do whatever it wants.
[01:19:34.031 --> 01:19:38.753]  Nothing expressed with enumerated powers and guaranteed explosive rights.
[01:19:38.914 --> 01:19:41.295]  And even Scalia says that word in my decision.
[01:19:41.335 --> 01:19:47.358]  He said that the Tenth Amendment and the enumeration of powers, the discrete and
[01:19:48.238 --> 01:19:54.206]  Enumerated powers granted to the federal government are rendered express by the 10th Amendment.
[01:19:54.486 --> 01:20:01.615]  So it is expressly forbidden that the federal government go outside Article 1, Section 8.
[01:20:03.015 --> 01:20:04.296]  That's what they ought to call our movement.
[01:20:04.396 --> 01:20:06.097]  Article 1, Section 8.
[01:20:06.177 --> 01:20:07.899]  This guy knows about the Constitution.
[01:20:08.039 --> 01:20:10.060]  Obviously people like Lamar Smith do not.
[01:20:10.400 --> 01:20:11.841]  How do we help you in the campaign?
[01:20:12.282 --> 01:20:13.142]  When is the election?
[01:20:13.162 --> 01:20:14.864]  What are the things people need to know about that?
[01:20:14.984 --> 01:20:21.208]  They keep moving the primary, which is totally helping me because of this ridiculous thing going on with the redistricting here in Texas.
[01:20:21.708 --> 01:20:22.849]  And so that's actually helping me.
[01:20:22.889 --> 01:20:26.792]  It was going to be March 3rd, which I didn't have enough time because I barely got into this.
[01:20:27.593 --> 01:20:31.736]  But now they've moved it back to the last part of April and maybe even May or June.
[01:20:32.376 --> 01:20:38.562]  It could even go into August if the fighting between the Democrats and Republicans continue on the redistricting issue.
[01:20:38.943 --> 01:20:40.004]  That's all helping me.
[01:20:40.044 --> 01:20:41.265]  It's playing into my hands.
[01:20:41.706 --> 01:20:47.692]  And so, folks, if you can, make a donation or whatever you can at SheriffMacForCongress.com.
[01:20:47.772 --> 01:20:48.493]  Sheriff Mac
[01:20:48.993 --> 01:20:50.513]  for Congress dot com.
[01:20:50.794 --> 01:20:51.794]  We need volunteers.
[01:20:52.054 --> 01:20:58.236]  Again, anybody who would like to help, just get a hold of us at SheriffMac at Hotmail.com or you can email.
[01:20:58.276 --> 01:21:02.317]  There's an email also available at SheriffMacForCongress.com.
[01:21:02.357 --> 01:21:04.698]  I love that BacMac bumper sticker.
[01:21:04.758 --> 01:21:05.318]  BacMac.
[01:21:05.498 --> 01:21:06.798]  BacMac, yeah.
[01:21:06.838 --> 01:21:07.479]  Return of the Mac.
[01:21:08.999 --> 01:21:14.123]  But I think it'd be great, too, to force a debate on topics like the NDAA, the SOPA bills, all this stuff.
[01:21:14.283 --> 01:21:16.164]  They need to speak out about the stuff they're voting for.
[01:21:16.184 --> 01:21:17.005]  LaVar Smith won't debate me.
[01:21:17.345 --> 01:21:17.565]  Yeah.
[01:21:17.725 --> 01:21:21.428]  Yeah, you guys ought to call him and say, we want to have a debate with you and Sheriff Max.
[01:21:21.448 --> 01:21:22.468]  That'd be interesting, yeah.
[01:21:22.548 --> 01:21:23.189]  Yeah, call him.
[01:21:23.329 --> 01:21:23.589]  Say, yeah.
[01:21:23.609 --> 01:21:23.869]  All right.
[01:21:24.290 --> 01:21:24.470]  Yeah.
[01:21:24.890 --> 01:21:27.712]  Well, thanks for joining us and we're supporting you over here.
[01:21:27.912 --> 01:21:28.532]  Thanks a lot, Aaron.
[01:21:28.552 --> 01:21:29.273]  Appreciate you, brother.
[01:21:29.613 --> 01:21:29.953]  You too.
[01:21:30.293 --> 01:21:30.694]  Thank you, sir.
[01:21:31.094 --> 01:21:31.574]  Good to have you.
[01:21:31.954 --> 01:21:33.395]  And that's it for the nightly news.
[01:21:33.435 --> 01:21:34.856]  We'll of course be back tomorrow.
[01:21:35.256 --> 01:21:38.518]  Alex again speaking this Sunday in Orlando, Florida.
[01:21:39.379 --> 01:21:40.920]  I don't even know if tickets are still available.
[01:21:40.960 --> 01:21:42.801]  I'm sure they'll tell me in there, but check it out.
[01:21:42.861 --> 01:21:46.503]  Show up anyway and help support this broadcast if you can.
[01:21:46.543 --> 01:21:48.004]  We depend on subscribers.
[01:21:48.504 --> 01:21:49.185]  We'll talk to you later.
