[00:00:00.229 --> 00:00:01.151]  Welcome to GCN.
[02:27:00.978 --> 02:27:03.300]  They are giving the teachers cocaine.
[02:27:03.821 --> 02:27:08.545]  They are giving the teachers marijuana in exchange for
[02:27:10.091 --> 02:27:10.531]  Spying.
[02:27:10.631 --> 02:27:13.413]  The teachers themselves are spying on people.
[02:27:13.453 --> 02:27:15.675]  It's not just the kids anymore with the computers.
[02:27:16.135 --> 02:27:17.576]  They're using the teachers.
[02:27:40.131 --> 02:27:45.094]  Because they were told exact stuff like you're saying, and they wouldn't do it.
[02:27:45.215 --> 02:27:52.680]  I mean, they would do some hardcore stuff overseas, because they thought they were fighting communists, but they brought them back here to do incredible stuff.
[02:27:52.720 --> 02:27:58.283]  In fact, with one family member, it was deal drugs and kill people in Chicago.
[02:27:59.364 --> 02:28:03.247]  Army officer who they wanted to sheep dip, and he was older too, and he wouldn't do it.
[02:28:03.327 --> 02:28:04.988]  But I mean, it's just so incredible.
[02:28:05.688 --> 02:28:06.349]  I'm sorry, go ahead.
[02:28:07.512 --> 02:28:16.699]  Well, in particular, what I would like to do is give you guys the hard facts, but that's something I'm going to have to do shortly at another time.
[02:28:17.039 --> 02:28:18.260]  Well, just give us a rundown.
[02:28:18.320 --> 02:28:19.081]  What's going on?
[02:28:19.121 --> 02:28:20.622]  How did you discover this?
[02:28:22.163 --> 02:28:30.410]  Well, basically, on Facebook, this woman just out of the blue sent me a message.
[02:28:30.710 --> 02:28:32.431]  She's a drop-dead gorgeous woman.
[02:28:34.227 --> 02:28:38.551]  So, we talked through Facebook for about a week and a half.
[02:28:38.571 --> 02:28:40.773]  Sure, they use sex operatives.
[02:28:40.793 --> 02:28:43.375]  Oh man, and check this out.
[02:28:44.596 --> 02:28:47.979]  She worked about two blocks down the street from my house.
[02:28:49.545 --> 02:28:50.166]  Coincidence?
[02:28:50.306 --> 02:28:50.926]  I think not.
[02:28:51.266 --> 02:29:05.937]  Now the strange thing is that there were times when I would pray about these matters and I would ask my subconscious to give me a sign whether or not this woman was a spy and one time she called me from school
[02:29:06.989 --> 02:29:11.250]  And the phones actually start to gain this interference.
[02:29:11.930 --> 02:29:20.532]  And I could actually hear one of her supervisors, probably from some type of abusing center, talking to her and telling her what to ask me.
[02:29:21.572 --> 02:29:29.254]  And she started to pick up on the fact that the lines were getting crossed or something to that effect, and she hung up.
[02:29:29.674 --> 02:29:32.555]  But not before I could actually hear what these people were saying.
[02:29:32.995 --> 02:29:36.356]  Now, get this, the first night that we met,
[02:29:37.535 --> 02:29:44.958]  We met the day before I was to do a radio interview talking about specific technology that has been weaponized.
[02:29:45.498 --> 02:29:52.581]  Technology that Richard Hoagland has alluded to... Hold on, it's probably because of where you work, but you know, Houston is famously corrupt.
[02:29:52.621 --> 02:29:54.322]  Police execute people there in public.
[02:29:55.282 --> 02:29:56.182]  We're on the march.
[02:29:56.663 --> 02:29:58.283]  The Empire's on the run.
[02:29:59.204 --> 02:30:01.925]  Alex Jones and the GCN Radio Network.
[02:30:06.042 --> 02:30:10.064]  Millions of people are going to get sick this winter from colds, flu, and other illnesses.
[02:30:10.144 --> 02:30:11.265]  Don't be one of them!
[02:30:11.365 --> 02:30:16.907]  Protect yourself with Supernatural Silver, a revolutionary new broad-spectrum antibacterial solution.
[02:30:17.067 --> 02:30:26.692]  Recent advances in silver technology have resulted in a silver solution that can be used daily to prevent bacteria, viruses, mold, and food poisoning, and help improve wound healing.
[02:30:26.872 --> 02:30:33.535]  Supernatural Silver is safe enough to consume every day, while powerful enough to destroy the causes of many serious diseases.
[02:30:33.655 --> 02:30:37.779]  Such as strep, staph, pneumonia, colds, flus, and other harmful pathogens.
[02:30:37.999 --> 02:30:46.967]  This new technology has the ability to terminate entire colonies of harmful bacteria at several hundred times the effectiveness of colloidal or ionic silver solutions.
[02:30:47.107 --> 02:30:50.550]  The Science Digest Journal says, silver is our mightiest germ fighter.
[02:30:50.771 --> 02:30:54.394]  It is virtually non-toxic and is emerging as a wonder of modern medicine.
[02:30:54.594 --> 02:31:00.864]  Go to SupernaturalSilver.com today and use the promo code SILVER2012 for 20% off.
[02:31:00.984 --> 02:31:04.450]  That's SupernaturalSilver.com and like us on Facebook.
[02:31:07.099 --> 02:31:11.962]  We have witnessed two terrible storms in the East, but we are still in the eye of the perfect storm.
[02:31:12.683 --> 02:31:15.465]  The most devastating economic condition since the Great Depression.
[02:31:15.925 --> 02:31:18.267]  America's worst drought in agricultural history.
[02:31:18.727 --> 02:31:21.309]  And now the economic results of the presidential election.
[02:31:21.749 --> 02:31:24.751]  This perfect storm is a huge threat to everyone's food supply.
[02:31:25.251 --> 02:31:29.896]  I just doubled down and got even more supplies from eFoodsDirect, and I recommend you do the same.
[02:31:30.457 --> 02:31:32.599]  It's time to get your own supply from eFoodsDirect.
[02:31:33.139 --> 02:31:36.183]  I know I won't be standing in a bread line trading my freedom for food.
[02:31:36.783 --> 02:31:40.527]  I'm taking control of my future, and you're nuts if you don't do the same.
[02:31:40.547 --> 02:31:44.191]  Go to eFoodsDirect.com forward slash Alex to find the specials.
[02:31:44.471 --> 02:31:47.814]  And you can start with a holiday gift pack that's normally $80, now under $50.
[02:31:48.875 --> 02:31:52.058]  Remember, I can warn you, but I can't feed you.
[02:31:52.078 --> 02:31:56.341]  Call 800-409-5633 or efoodsdirect.com forward slash Alex.
[02:31:56.862 --> 02:31:59.945]  Would you rather prepare six months too early or one day too late?
[02:31:59.965 --> 02:32:01.566]  409-5633 or efoodsdirect.com forward slash Alex.
[02:32:05.786 --> 02:32:11.249]  Sodium fluoride in the body reduces IQ and increases cancers.
[02:32:11.569 --> 02:32:18.632]  Unfortunately, fluoride and its derivatives are only one of hundreds of toxins being added to our drinking water.
[02:32:18.932 --> 02:32:21.374]  We're battling the globalist on so many fronts.
[02:32:21.674 --> 02:32:27.717]  Health is an area where we can all take control of our lives, and it all starts with that basic building block of water.
[02:32:28.377 --> 02:32:31.140]  It is time to purify our family's water.
[02:32:31.420 --> 02:32:38.068]  The ProPure filtration system with added fluoride filters is the best system for my research to protect you and your family.
[02:32:38.308 --> 02:32:43.413]  Infowarstore.com already has the lowest prices on ProPure water filtration.
[02:32:43.614 --> 02:32:49.280]  But until December 10th, we are going to offer 15% off the already lowest price.
[02:32:49.640 --> 02:32:51.701]  I know what I'm giving my family this Christmas.
[02:32:51.941 --> 02:32:52.482]  ProPure.
[02:32:52.682 --> 02:32:58.685]  Go to InfowarsStore.com and get 15% off the already lowest price out there with the code WATER15.
[02:32:59.526 --> 02:33:02.087]  WATER15 and you get 15% off at InfowarsStore.com.
[02:33:02.127 --> 02:33:02.768]  The answer to 1984 is 1776.
[02:33:02.808 --> 02:33:09.011]  You're listening to the Alex Jones Show.
[02:33:20.028 --> 02:33:23.373]  That has got to be one of the smoothest jazz riffs.
[02:33:23.433 --> 02:33:24.314]  That's jazz, isn't it?
[02:33:26.477 --> 02:33:30.463]  I just know what kind of music I like that I've ever heard.
[02:33:30.483 --> 02:33:32.386]  I just, I can never hear this enough.
[02:33:33.462 --> 02:33:35.583]  Jazz pianist Dave Brubeck, dead at age 91.
[02:33:35.623 --> 02:33:51.447]  Dave Brubeck, a jazz musician who attained pop star acclaim with recordings like Take 5, that's this, and Blue Rondo a la Turk, died Wednesday morning at Norwalk Hospital in Norwalk, Connecticut.
[02:33:52.327 --> 02:33:55.928]  Said his longtime manager, producer, conductor, Russell Gloyd.
[02:33:55.948 --> 02:33:59.109]  Brubeck was one day short of his 92nd birthday.
[02:33:59.969 --> 02:34:01.630]  He died of heart failure en route.
[02:34:02.637 --> 02:34:06.021]  A regular treatment with his cardiologist, said his manager.
[02:34:06.081 --> 02:34:09.505]  Well, hey, that's a life fully lived and put out some beautiful stuff.
[02:34:09.545 --> 02:34:14.631]  A great example of the power and the good side of humanity that we all need to try to reach for.
[02:34:15.152 --> 02:34:16.493]  Show happy trails, buddy!
[02:34:18.260 --> 02:34:21.022]  Chris, Alanis recommended we do that and did that liner.
[02:34:21.042 --> 02:34:24.864]  I think that's a nice little touch on the show instead of me just ranting and raving here.
[02:34:24.884 --> 02:34:30.288]  I want to run through these calls and I've got two reports I've got to get to along with a bunch of other news.
[02:34:30.308 --> 02:34:31.248]  We've got to move quick here.
[02:34:31.268 --> 02:34:34.130]  And we do have the big Joe Rogan.
[02:34:34.350 --> 02:34:35.811]  Best interview I've ever done with him.
[02:34:35.851 --> 02:34:36.592]  Usually he's live.
[02:34:37.132 --> 02:34:39.333]  Usually Joey Diaz is here yelling and screaming.
[02:34:40.314 --> 02:34:41.135]  Who is a great character.
[02:34:41.195 --> 02:34:44.357]  But this is an in-depth interview with Joe Rogan on a host of issues.
[02:34:45.879 --> 02:34:53.106]  We're going to air it, excerpts tomorrow on the radio and we are going to air the whole thing basically unedited.
[02:34:55.766 --> 02:34:59.289]  Very little editing on the nightly news tomorrow night.
[02:34:59.449 --> 02:35:03.692]  And tonight, PrisonPlanet.tv, Infowarsnews.com.
[02:35:04.213 --> 02:35:08.056]  I'm going to call it, you know, basically a film because that's what it is.
[02:35:08.797 --> 02:35:16.443]  Ron Paul's speech augmented, upgraded with incredible videos, documentation, his farewell address, proof and documentation of everything he's saying.
[02:35:17.875 --> 02:35:27.244]  We're gonna premiere that tonight in Fall Wars Nightly News and now is the time to go pay $5.95 for a monthly trial membership and you get 10 memberships for $5.95, 59 cents a month.
[02:35:28.746 --> 02:35:31.909]  One username and passcode can be used by 10 people simultaneously.
[02:35:32.189 --> 02:35:36.513]  So create an e-card or just email and say, hey, I gave you a free membership to PrisonPlanet.tv.
[02:35:37.810 --> 02:35:38.571]  And they'll say, what's that?
[02:35:38.611 --> 02:35:40.472]  And they'll go, it's incredible information.
[02:35:40.512 --> 02:35:47.697]  Documentary films, nightly news show, video of Alex Jones' radio show, digital copy of the magazine each month.
[02:35:48.237 --> 02:35:50.539]  I mean, it's really first rate.
[02:35:50.899 --> 02:35:52.120]  We've really upgraded the site.
[02:35:52.180 --> 02:35:53.621]  Almost 10 years in operation.
[02:35:53.641 --> 02:35:55.342]  17 years of material.
[02:35:55.602 --> 02:35:56.783]  PrisonPlanet.tv.
[02:35:56.843 --> 02:35:59.404]  Tonight, the Ron Paul film.
[02:35:59.464 --> 02:36:01.046]  I don't know what to call it yet.
[02:36:02.026 --> 02:36:05.007]  So I've got to go name it right after the show here.
[02:36:05.567 --> 02:36:07.068]  And then I've got to interview Lindsey Williams.
[02:36:07.088 --> 02:36:12.609]  I'm going to just sit back for like 45 minutes and let him talk and just go through all the new data he's got.
[02:36:12.649 --> 02:36:15.730]  So that's tonight on InfoWars Nightly News.
[02:36:16.250 --> 02:36:20.191]  So the woods are lovely, dark and deep, but I have miles to go before I sleep.
[02:36:22.372 --> 02:36:25.613]  I know I've been talking about this over and over again, but you know, you heard the caller
[02:36:27.529 --> 02:36:46.421]  Call in, and I don't know if he's telling the truth or not, he sounds legitimate, but I remember when a prestigious, you know, I mean a reporter who's broken a lot of big news stories, got video with his undercover team of the police going and getting Occupy Wall Street demonstrators and offering them cocaine, heroin, marijuana, alcohol, whatever they wanted, to go stir up trouble.
[02:36:47.061 --> 02:36:49.983]  And delivering them back with drugs, bombed out of their brain.
[02:36:50.723 --> 02:36:54.746]  And it's like flashbacks, it makes me sick when I wasn't using drugs in high school.
[02:36:56.039 --> 02:36:57.761]  Uh, you know, I tried a few.
[02:36:57.841 --> 02:36:59.043]  I smoked marijuana.
[02:36:59.063 --> 02:37:00.645]  Made me feel like I was run over by a truck.
[02:37:01.786 --> 02:37:03.308]  And, you know, didn't really like it.
[02:37:04.330 --> 02:37:05.291]  Tried a few other things.
[02:37:05.511 --> 02:37:07.834]  Nothing floated my boat but chewing tobacco and beer.
[02:37:09.784 --> 02:37:19.049]  And then I watched cops deal drugs in Rockwall, Texas, and later the sheriff went to jail for it, flying in a bunch of stuff into the airport.
[02:37:19.129 --> 02:37:23.632]  And another police got caught selling drugs to the department itself, not just the sheriff's department.
[02:37:24.392 --> 02:37:31.576]  And, you know, there'd be cops in there and getting in lockers and drug dogs, and the cops would pull me over when I was riding with friends when I was like 14, 15.
[02:37:33.550 --> 02:37:37.337]  And, uh, you know, we're gonna search your car and blah, blah, blah, and watch your mouth.
[02:37:37.437 --> 02:37:42.607]  And I'd be like, you know, I, one of my friend's older brothers buys drugs from you.
[02:37:43.564 --> 02:37:49.025]  I knew people that dealt drugs in the richest county in Texas, the bedroom community of Dallas.
[02:37:49.606 --> 02:37:54.447]  So I just grew up water skiing with people and stuff where a cop car would even pull up and sell them drugs.
[02:37:54.787 --> 02:38:01.449]  All I knew is that I'm like 13 and the girls are 18 dancing around on ecstasy and I'm out there hanging out with the cool old kids.
[02:38:01.509 --> 02:38:04.109]  I just thought, you know, I just saw cops dealing drugs.
[02:38:04.610 --> 02:38:06.870]  Oh, the police have pulled up, let's get the drugs from them.
[02:38:07.350 --> 02:38:09.411]  I'm like, oh no, no, no drugs for me, you know.
[02:38:10.211 --> 02:38:12.474]  I'd be over it, you know, with my older friends.
[02:38:12.494 --> 02:38:16.618]  They'd go by and sell drugs to some, you know, 25-year-old trophy wife.
[02:38:16.678 --> 02:38:20.823]  And, you know, my 18-year-old buddy, go back in the bedroom with her for 10 minutes, come out laughing.
[02:38:20.843 --> 02:38:21.724]  Hey, let's go, Alex.
[02:38:21.784 --> 02:38:23.325]  Jump on the back of the motorcycle, you know.
[02:38:23.345 --> 02:38:25.228]  I mean, I had a lot of fun.
[02:38:25.468 --> 02:38:26.509]  I thought it was a lot of fun.
[02:38:26.769 --> 02:38:28.071]  Again, I wasn't into the drugs.
[02:38:28.191 --> 02:38:28.711]  I saw it.
[02:38:29.505 --> 02:38:30.346]  See, I'm ranting here.
[02:38:30.366 --> 02:38:31.406]  It's why I can never go to calls.
[02:38:31.766 --> 02:38:34.688]  It's just the government deals the drugs, ladies and gentlemen.
[02:38:35.268 --> 02:38:36.269]  Stop being naive.
[02:38:36.289 --> 02:38:37.650]  It's a way to pack their prisons.
[02:38:38.430 --> 02:38:40.591]  And you think seven million people in prison?
[02:38:40.832 --> 02:38:43.813]  It's four and a half million currently in it, but seven million each year in and out.
[02:38:44.434 --> 02:38:45.634]  They're getting ready to double that.
[02:38:45.654 --> 02:38:47.015]  They're going to put everybody in jail.
[02:38:47.515 --> 02:38:49.777]  They're going to put you in jail for dog poop in your yard.
[02:38:50.037 --> 02:38:51.778]  That's mainstream news.
[02:38:52.098 --> 02:38:52.778]  Guys, type in
[02:38:54.099 --> 02:38:55.482]  Six years in prison, $100,000 fine.
[02:38:55.502 --> 02:39:01.471]  It's San Diego Herald-Tribune for washing your car.
[02:39:02.879 --> 02:39:04.680]  Just you've got to wake up where it's all over.
[02:39:05.101 --> 02:39:05.781]  Okay, I'm ranting.
[02:39:05.821 --> 02:39:07.182]  Sir, real quick, finish your story.
[02:39:07.482 --> 02:39:08.283]  We'll get your number.
[02:39:08.583 --> 02:39:09.464]  We'll give you our email.
[02:39:09.504 --> 02:39:11.245]  You can send us some documentation.
[02:39:11.525 --> 02:39:15.969]  If you do have bombshell info, they're gonna kill you if you don't go public with it all soon.
[02:39:16.389 --> 02:39:19.271]  That's the type of people that get killed or get set up if what you're saying is true.
[02:39:19.311 --> 02:39:21.813]  And, you know, we proved that up in Minneapolis-St.
[02:39:21.833 --> 02:39:22.073]  Paul.
[02:39:22.293 --> 02:39:26.897]  The police had a giant program drugging everybody and selling the drugs because they're drug dealers.
[02:39:27.850 --> 02:39:28.950]  And they need to prime the pump.
[02:39:28.970 --> 02:39:30.051]  They need to get new customers.
[02:39:30.611 --> 02:39:31.531]  That's what drug dealers do.
[02:39:31.551 --> 02:39:34.152]  I mean, they push Prozac, Ritalin, and deadly vaccines on your kids.
[02:39:34.632 --> 02:39:44.455]  And I'm not saying all departments do this, but Dallas, Texas, they've caught the entire detective force stealing drugs and framing people to take their property.
[02:39:44.975 --> 02:39:48.196]  They've caught the Houston police doing it in a fake crime lab.
[02:39:48.216 --> 02:39:53.098]  They've caught Chicago, New York, L.A., San Francisco, Tulea, Texas.
[02:39:53.198 --> 02:39:54.438]  I mean, just every town.
[02:39:56.459 --> 02:39:57.760]  Almost every town, okay?
[02:39:58.040 --> 02:40:03.241]  And you've always got the goody two-shoe cop who wonders why he's been on the force 20 years and never moves up.
[02:40:03.501 --> 02:40:04.801]  Because you're a joke to them.
[02:40:04.841 --> 02:40:05.742]  They're drug dealers.
[02:40:06.822 --> 02:40:07.182]  Okay?
[02:40:07.302 --> 02:40:09.423]  I mean, I don't know how to explain it to you.
[02:40:09.823 --> 02:40:12.583]  But cops pull you over and say, got any drugs in the car?
[02:40:12.603 --> 02:40:14.264]  And I'm like, you sell drugs!
[02:40:15.930 --> 02:40:16.671]  Leave me alone!
[02:40:17.511 --> 02:40:30.542]  And boy, once I started talking about it, oh, we're gonna kill you, oh, we're gonna, they would pull me over and just, once I was 16, and would say, you are drinking, and when I wasn't, we're taking you to jail, you, or we'd pull up in a bonfire.
[02:40:31.303 --> 02:40:32.924]  I wasn't even drinking, I'd just gotten there.
[02:40:33.685 --> 02:40:35.687]  Okay, you're being disorderly, Jones.
[02:40:35.707 --> 02:40:36.607]  We're taking you to jail.
[02:40:37.028 --> 02:40:46.075]  And then, again, through a lawyer, we were told, you know, they kill people in Rockwall, and they told us a few people they'd hung in the jail, and they said, your son's going to be hung in the jail.
[02:40:46.436 --> 02:40:48.778]  My dad sold his dental offices when we moved to Austin, Texas.
[02:40:48.818 --> 02:40:50.679]  So, that's why I hear this stuff.
[02:40:50.819 --> 02:40:53.642]  It really upsets me.
[02:40:53.802 --> 02:40:57.385]  Because your naivete, America, is going to let total evil take over.
[02:40:58.510 --> 02:41:01.372]  Because it's not enough the government deals drugs, they deal little kids, too.
[02:41:02.093 --> 02:41:03.434]  You think Penn State's anything?
[02:41:03.474 --> 02:41:06.757]  That's normal in the circles of the elite, okay?
[02:41:07.518 --> 02:41:08.238]  Do you understand that?
[02:41:08.759 --> 02:41:12.122]  Now, let's go back briefly to Will in Texas.
[02:41:12.162 --> 02:41:12.702]  Go ahead, Will.
[02:41:14.564 --> 02:41:19.428]  You know, like I said, it sounds strange, but two things.
[02:41:19.528 --> 02:41:21.110]  First of all, I'm a reverend.
[02:41:21.846 --> 02:41:22.466]  Here in Houston.
[02:41:23.067 --> 02:41:24.768]  Oh, that doesn't sound strange.
[02:41:25.108 --> 02:41:27.510]  COINTELPRO spies on all pastors.
[02:41:28.190 --> 02:41:30.272]  Even if they work for the system, they've got operatives.
[02:41:30.332 --> 02:41:38.618]  Of course they wanted to get you up with a sex operative so they could blackmail you and fully control you and have you go under clergy response.
[02:41:38.658 --> 02:41:40.159]  They were just trying to get you as an operative.
[02:41:40.679 --> 02:41:41.220]  I'm sorry.
[02:41:41.700 --> 02:41:42.360]  It gets worse.
[02:41:42.541 --> 02:41:48.645]  The first night I met her, and remember, she pushed the issue before my radio interview.
[02:41:49.285 --> 02:41:57.048]  The first night I met her, she got naked in a car, in her car, in the AHA parking lot.
[02:41:58.129 --> 02:41:59.089]  The first night.
[02:41:59.129 --> 02:42:03.571]  Oh yeah, the government runs the hookers, the escorts most times.
[02:42:03.671 --> 02:42:03.991]  I know.
[02:42:04.871 --> 02:42:05.151]  I know.
[02:42:05.651 --> 02:42:09.373]  And believe me, man, they've even landed a black helicopter on top of my house.
[02:42:10.509 --> 02:42:14.975]  Well listen, if what you're saying is true and you sound like you're telling the truth, you're in a lot of danger.
[02:42:14.995 --> 02:42:18.279]  You need to send us an email with all the information now, the names, everything.
[02:42:18.560 --> 02:42:20.703]  And they do spy on everything we do, so just understand that.
[02:42:21.023 --> 02:42:24.828]  But you need to understand that you need to go public with this or they'll kill you.
[02:42:25.529 --> 02:42:28.611]  And if you do go public, they'll leave you alone.
[02:42:29.071 --> 02:42:29.792]  Okay?
[02:42:30.052 --> 02:42:32.514]  Put him on hold, get his name and number, and we'll try to help him if we can.
[02:42:32.994 --> 02:42:42.000]  Yeah, most of these big city preachers have got a string of hookers running them, and sex operatives, and they've got a lot of the pastors running the drugs for them.
[02:42:42.641 --> 02:42:47.004]  I mean, they've got to have the pastor stand down when the government's snatching kids out of the congregation.
[02:42:50.626 --> 02:42:51.727]  People are so naive.
[02:42:52.707 --> 02:42:54.529]  Michael, no, we don't have time to go to calls yet.
[02:42:55.265 --> 02:42:56.706]  I'm going to have to skip this network break.
[02:42:56.746 --> 02:42:57.767]  I've got to quit doing this.
[02:42:57.907 --> 02:42:58.848]  I'm so out of control.
[02:43:01.611 --> 02:43:03.412]  This is our little satire piece.
[02:43:03.492 --> 02:43:06.095]  It's up at PrisonPlanet.com and InfoWars.com.
[02:43:06.115 --> 02:43:07.496]  Please help us get it out to everybody.
[02:43:07.536 --> 02:43:08.717]  It's in the featured news section.
[02:43:09.197 --> 02:43:12.820]  Breaking Bin Laden raid footage released by White House satire report.
[02:43:13.421 --> 02:43:19.987]  And it's got like a cartoon part, because you're going to hear the audio, where it shows a cartoon with Bin Laden's head on it with Predator drones dropping bombs on him.
[02:43:20.027 --> 02:43:20.687]  It's really funny.
[02:43:21.808 --> 02:43:29.253]  But then it goes into all the documentation that the Bin Laden raid was fake, it's all a fraud, and we should rename the new film to Zero Dark Easter Bunny.
[02:43:29.293 --> 02:43:32.555]  Here is that report with Melissa Melton and Jakari Jackson.
[02:43:33.615 --> 02:43:36.257]  I'm Melissa Melton reporting for InfoWars Nightly News.
[02:43:37.037 --> 02:43:44.181]  Zero Dark Thirty, the film supposedly based on the true story official accounts of the killing of Osama Bin Laden, is set to release in U.S.
[02:43:44.221 --> 02:43:45.602]  theaters December 19th.
[02:43:47.503 --> 02:43:49.905]  We are still no closer to defeating our enemy.
[02:43:52.217 --> 02:43:53.759]  20 detainees recognize that photo.
[02:43:57.903 --> 02:44:08.335]  In analyzing the clip you just saw, Jessica Chastain stars as CIA operative Maya, a woman obsessed with capturing the man supposedly behind the September 11th terrorist attacks.
[02:44:08.715 --> 02:44:13.921]  The New York Film Critics Guide was apparently so moved, they named Zero Dark Thirty Film of the Year.
[02:44:14.818 --> 02:44:18.181]  Now let's analyze a clip of actual Osama Bin Laden raid footage.
[02:44:18.861 --> 02:44:23.705]  Infowars.com has acquired this official White House approved raid footage.
[02:44:24.045 --> 02:44:28.489]  So we bring to you now the world premiere of the Osama Bin Laden raid.
[02:44:37.325 --> 02:44:37.866]  Zero to R30.
[02:44:37.906 --> 02:44:38.606]  I've seen the trailer.
[02:44:38.646 --> 02:44:41.949]  Looks like a made-for-TV movie.
[02:44:42.029 --> 02:44:42.790]  Uh, low budget.
[02:44:42.830 --> 02:44:44.611]  The government produced this whole thing themselves.
[02:44:44.631 --> 02:44:48.454]  They already tell people what to do, but now they want to run it and be the movie stars themselves.
[02:44:48.474 --> 02:44:49.395]  I mean, it's just ridiculous.
[02:44:50.299 --> 02:44:52.520]  We can't be sure if that's legitimate footage or not.
[02:44:52.560 --> 02:44:59.463]  You see, so much misinfo and disinfo came out in the wake of the raid that it's really hard to understand what's real or what's not anymore.
[02:45:00.104 --> 02:45:04.046]  And really, shouldn't the makers of Zero Dark Thirty be concerned about the same thing?
[02:45:04.506 --> 02:45:10.168]  If you'll recall, Osama Bin Laden was supposedly taken down in a raid at a compound in Abbottabad in 2011.
[02:45:10.389 --> 02:45:17.092]  The death of Bin Laden marks the most significant achievement to date in our nation's effort to defeat Al Qaeda.
[02:45:17.372 --> 02:45:19.153]  President Obama addressed the nation.
[02:45:20.071 --> 02:45:28.492]  late Sunday evening to say that just hours before Osama bin Laden had been killed in the middle of a major populated city in a palace compound.
[02:45:29.386 --> 02:45:40.194]  My friends, this is a complete and total hoax, and we predicted with total precision, with inside sources, going back more than eight years ago, exactly what would happen.
[02:45:40.635 --> 02:45:45.218]  Then Bin Laden's body was buried at sea, all within 24 hours after the raid.
[02:45:45.438 --> 02:45:54.805]  Our government claimed his burial was per Islamic tradition, but many Muslim scholars have come forward to point out that this, like so much else in the official story, is false.
[02:45:55.706 --> 02:46:11.698]  Over the years, many people, from intelligence analysts to heads of state, including former Secretary of State Madeleine Albright, former Pakistani Prime Minister Benazir Bhutto, and former FBI head of counterterrorism Dale Watson, have gone on record to say that bin Laden died in 2001.
[02:46:13.672 --> 02:46:16.857]  Dr. Steve Pichinik, who has worked with five different U.S.
[02:46:16.938 --> 02:46:26.934]  presidents and the Department of Defense, has even come out to say that Osama bin Laden died in 2001 of Marfan syndrome, a degenerative genetic disease with no permanent cure.
[02:46:27.779 --> 02:46:46.110]  With the intel, with the CIA reports you were reading, with as much proof as you can give us without giving up your sources, of knowing that Bin Laden was dead, and when he reportedly died, so that we can look at the big news story now in context of why they've launched this hoax today.
[02:46:47.196 --> 02:46:53.921]  Well, let me just say, the issue of why he was dead, it was exactly what I said before.
[02:46:53.961 --> 02:46:55.543]  He died of Marfan Syndrome.
[02:46:56.203 --> 02:46:56.844]  Bush Jr.
[02:46:56.864 --> 02:46:57.524]  knew about it.
[02:46:57.584 --> 02:46:59.466]  The intelligence community knew about it.
[02:46:59.526 --> 02:47:04.110]  He had El-Zawahiri, who was a physician with him, who is still a physician.
[02:47:04.130 --> 02:47:05.290]  I don't know where he is.
[02:47:05.671 --> 02:47:07.492]  But we knew he was already dead by 9-11.
[02:47:08.726 --> 02:47:20.582]  In fact, two separate high-level sources have told Alex Jones directly that not only was Bin Laden dead since 2001, but his death would not be announced until the most politically opportune moment.
[02:47:21.103 --> 02:47:24.888]  This all came out right at the time.
[02:47:26.243 --> 02:47:31.786]  That Obama's approval rating was dropping like a rock, an all-time low, this far into a president's administration.
[02:47:32.166 --> 02:47:40.730]  As the dollars dropping, as support for Iraq, Afghanistan, Libya, and the drone attacks in Pakistan was imploding.
[02:47:40.950 --> 02:47:44.172]  Right as the Pakistanis were threatening to kick the U.S.
[02:47:44.252 --> 02:47:46.013]  out of Pakistan and to kick their drones out.
[02:47:46.353 --> 02:47:50.335]  Right as this happens, there's this big propaganda victory, and what do they do?
[02:47:51.331 --> 02:47:53.993]  They take the body and throw it in the ocean.
[02:47:54.114 --> 02:47:55.595]  They say, do you really believe that?
[02:47:55.735 --> 02:47:56.896]  No one is buying that.
[02:47:57.436 --> 02:48:04.783]  When the announcement finally came that Osama bin Laden was dead, the White House changed its story so many times, it was hard to keep anything straight.
[02:48:05.123 --> 02:48:07.605]  First, the raid involved a 40-minute shootout.
[02:48:08.266 --> 02:48:09.647]  Then, there was no shootout.
[02:48:09.968 --> 02:48:12.330]  Then, only one unnamed man was armed.
[02:48:12.910 --> 02:48:14.311]  Then Bin Laden was armed.
[02:48:14.731 --> 02:48:19.433]  Then he wasn't armed, and it was reported that he used his wife as a human shield.
[02:48:19.833 --> 02:48:32.599]  To go along with the ever-changing official story, the White House also released a Situation Room photo depicting a grave President Obama and Hillary Clinton with her hand over her mouth, supposedly watching the Bin Laden raid live.
[02:48:33.279 --> 02:48:40.883]  But CIA Director Leon Panetta later admitted that wasn't possible, as the live feed had been cut before the Navy SEAL team even went in.
[02:48:41.920 --> 02:48:51.702]  Speaking of the Navy SEALs that carried out the raid, controversy intensified when our government announced that some members of SEAL Team 6, responsible for the raid, died in a helicopter crash two months later.
[02:48:52.342 --> 02:49:05.505]  I have two sources inside the Army, and I have another source inside the Marines, a colonel, who have confirmed and talked to members of the family of SEAL Team 6 that supposedly was shot down a few days ago.
[02:49:06.645 --> 02:49:16.196]  Over Kabul, Afghanistan, that they were killed to shut them up about what they know about the staged raid on Osama Bin Laden's compound.
[02:49:16.556 --> 02:49:21.121]  In the wake of the raid, Disney even tried to copyright the name Navy SEAL Team 6.
[02:49:22.475 --> 02:49:25.956]  The Situation Room photo wasn't the only photo proven a fraud, either.
