[00:00:22.682 --> 00:00:23.262]  It's October 24, 2012.
[01:15:26.291 --> 01:15:31.156]  Yeah, they literally grabbed the ship kind of on the high seas as it pulled into the nation of Ghana port.
[01:15:31.917 --> 01:15:37.082]  And, by the way, I want Mr. Massa to tell me the truth.
[01:15:37.243 --> 01:15:41.247]  There's a Democratic congressman who served on that ship.
[01:15:42.984 --> 01:15:45.306]  Mr. Masa, I've been meaning to ask him.
[01:15:45.326 --> 01:15:47.888]  Is that the guy who gives everybody massages, Eric Masa?
[01:15:48.308 --> 01:15:49.029]  Yeah, the tickler.
[01:15:49.109 --> 01:15:50.670]  Remember the tickler?
[01:15:51.291 --> 01:16:03.521]  Well, the tickler was on that ship as a naval officer and the tickler was getting a lot of money from Paul Vulture Singer, Romney's senior partner.
[01:16:04.722 --> 01:16:08.545]  And I want to know if Mr. Masa told him where that ship was going
[01:16:09.751 --> 01:16:11.152]  And how it could be taken.
[01:16:11.372 --> 01:16:12.213]  How they could board it.
[01:16:12.974 --> 01:16:24.762]  You know, I mean, basically, we got kind of, uh, you know, semi-legal piracy going on here on the high seas, and I just want to know, you know, so you have this, in other words, see, there you go, because Massa was a Democrat.
[01:16:25.103 --> 01:16:25.983]  A liberal Democrat.
[01:16:26.103 --> 01:16:26.303]  Yeah.
[01:16:26.924 --> 01:16:29.746]  Uh, so, it's not about political parties.
[01:16:30.026 --> 01:16:31.347]  It's about profits.
[01:16:31.467 --> 01:16:37.672]  And as soon as you get away from the idea of one party versus another, Romney versus Obama, it's a lot easier to understand what's going on.
[01:16:38.883 --> 01:16:39.303]  Oh wow.
[01:16:40.204 --> 01:16:41.485]  It totally blows my mind.
[01:16:42.125 --> 01:16:43.986]  It's a lot bigger than I thought it could ever get.
[01:16:45.087 --> 01:16:46.288]  Well, you've really blown up a lot of stuff.
[01:16:46.308 --> 01:16:48.649]  I like that 5.9 million votes stolen.
[01:16:48.669 --> 01:16:52.051]  I'll be looking out for that day after the election.
[01:16:52.431 --> 01:16:55.013]  I guess it'll be a couple days before they finally release that stuff.
[01:16:55.390 --> 01:16:58.972]  Yeah, they still might still 5-9, or that would be the minimum.
[01:16:58.992 --> 01:17:06.896]  But that doesn't mean that Obama will win or lose, because you could have a 9 million vote official margin.
[01:17:08.017 --> 01:17:10.939]  But I think the big thing to look at are the Senate races.
[01:17:11.239 --> 01:17:18.203]  I think there's about a dozen really close Senate races which are within the margin of steal in Nevada and Missouri.
[01:17:18.963 --> 01:17:26.900]  In, you know, I don't think Ohio anymore, but I, you know, we're going to see some of these really tight contests.
[01:17:27.040 --> 01:17:29.385]  Arizona, I think, is going to be a place of massive
[01:17:30.308 --> 01:17:32.310]  Massive vote theft in the Senate race.
[01:17:32.970 --> 01:17:33.370]  Wow.
[01:17:33.831 --> 01:17:40.235]  And even though, you know, Romney will probably be the winner of the electoral votes, it's the Senate race that means something.
[01:17:40.755 --> 01:17:48.481]  Because the Democrats have decided to put up a real kind of war hero, ranger, tough guy, Hispanic, you know.
[01:17:48.861 --> 01:17:50.842]  And if you count votes, he wins.
[01:17:52.263 --> 01:17:53.885]  You know, let's not count all the votes.
[01:17:54.745 --> 01:17:56.066]  Just the ones that you're going to count.
[01:17:56.266 --> 01:18:03.929]  We had an interesting Senate race here in Texas, a primary, where we ousted the CIA agent who was our lieutenant governor for a billion years.
[01:18:04.709 --> 01:18:12.073]  And now we have this guy Ted Cruz that everybody thinks is great, but his wife's, you know, connected hip-hip to these investment bankers.
[01:18:12.133 --> 01:18:14.374]  So it's like, are we really getting anything better?
[01:18:14.434 --> 01:18:17.295]  I mean, we could either have the CIA agent or the investment banker and his wife.
[01:18:17.995 --> 01:18:18.796]  Yeah, I think so.
[01:18:31.869 --> 01:18:40.735]  Yeah, well, I think that covers... I mean, like, for example, you know, this whole takedown on Delphi Auto was brought up in the debate, so Obama brought it up obliquely, the way he does everything, half-assed.
[01:18:41.275 --> 01:18:41.635]  Sorry.
[01:18:42.256 --> 01:18:45.037]  Which is that, oh, you know, you've invested in companies that move plants to China.
[01:18:45.057 --> 01:18:48.680]  He didn't invest, he was an owner of Delphi Corporation, which moves every...
[01:18:49.520 --> 01:18:49.901]  U.S.
[01:18:50.781 --> 01:18:52.363]  auto parts job to China.
[01:18:53.104 --> 01:18:57.988]  And then Romney, even though he didn't use the word auto, knew about the story because I had spoken to his people.
[01:18:58.429 --> 01:19:00.030]  And knew that Obama was going to bring it up.
[01:19:00.050 --> 01:19:03.033]  He said, I would do nothing to hurt the auto industry in America.
[01:19:03.133 --> 01:19:04.395]  I'm the son of Detroit.
[01:19:06.474 --> 01:19:07.555]  Yeah, he is.
[01:19:08.655 --> 01:19:20.042]  He went to some fancy school in Detroit and then went off to another public school, another state, then he goes off to Massachusetts, which doesn't look like Detroit to me.
[01:19:20.062 --> 01:19:25.465]  Harvin becomes the governor there with his dancing horse in the car elevator.
[01:19:25.485 --> 01:19:27.045]  Yeah, he's the son of Detroit.
[01:19:28.851 --> 01:19:31.513]  But you know, they don't take on the issues.
[01:19:31.573 --> 01:19:32.994]  It's all about, I'm a son of Detroit.
[01:19:33.514 --> 01:19:35.515]  What does that mean, Mr. Romney?
[01:19:36.056 --> 01:19:38.097]  I mean, it's really simple, buddy.
[01:19:38.437 --> 01:19:42.760]  You bought into a company and you shut down all the plants and you sent them to China.
[01:19:43.420 --> 01:19:48.464]  And, you know, but Obama doesn't, you know, the funny thing is, you know why Obama didn't take it on straight?
[01:19:49.304 --> 01:19:53.210]  Because, as President of the United States, he funded that stupid move.
[01:19:53.731 --> 01:19:57.597]  And didn't say, you're not getting our money to move the jobs to China.
[01:19:58.318 --> 01:20:00.562]  They saved enough jobs so they can run some ads.
[01:20:01.021 --> 01:20:03.583]  He could have come out and ran the bully pulpit on him and exposed it.
[01:20:03.863 --> 01:20:06.904]  And then he'd have at least some ground to stand on at that point.
[01:20:06.945 --> 01:20:09.126]  And he could have even said, you know what, here's the deal.
[01:20:09.506 --> 01:20:13.028]  Yeah, okay, we're going to write billions of dollars in checks, but you're not moving the jobs.
[01:20:13.628 --> 01:20:14.369]  That's the whole point.
[01:20:15.049 --> 01:20:16.550]  But his own autos are.
[01:20:17.311 --> 01:20:25.716]  Stevie Ratner, whom I call Stevie the Rat, who by the way was caught, has been banned from, he's worth a quarter billion dollars himself.
[01:20:26.601 --> 01:20:27.242]  The autos are.
[01:20:27.542 --> 01:20:31.146]  He's banned from hedge funds because he was caught committing bribery.
[01:20:32.042 --> 01:20:33.023]  By the SEC.
[01:20:34.103 --> 01:20:47.753]  And so while he's facing criminal charges, possibility of indictment, he turns it over to these guys who are, who all actually themselves, you got, the guys on the auto team were literally making money off the auto bailout.
[01:20:48.133 --> 01:20:55.439]  So they were concerned about maximizing, it looks like they were concerned about doing nothing more than maximizing their personal take on the bailout.
[01:20:55.859 --> 01:21:00.102]  And if, you know, if you lose 25, 50,000 auto workers, well, you know, that's collateral
[01:21:00.723 --> 01:21:03.205]  We can still say we saved the industry, right?
[01:21:03.565 --> 01:21:05.227]  Hey, who's got a challenge?
[01:21:06.008 --> 01:21:06.548]  Exactly.
[01:21:06.868 --> 01:21:09.571]  Oh man, it just gets deeper and deeper and deeper.
[01:21:09.971 --> 01:21:12.033]  What are you working on next after this election?
[01:21:12.073 --> 01:21:15.316]  Where are the winds of change going to take you?
[01:21:16.257 --> 01:21:17.318]  I hope to Hawaii.
[01:21:19.320 --> 01:21:20.561]  Because I need a vacation.
[01:21:21.362 --> 01:21:22.723]  I really do, desperately.
[01:21:24.853 --> 01:21:30.078]  It looks like I'm going to look into nuclear power, energy, banking.
[01:21:30.098 --> 01:21:32.660]  Oh, I got a lot of scams.
[01:21:32.680 --> 01:21:40.527]  I want to follow these jobs to China because no matter who's elected, I want to find out about the Chinese involvement in our elections.
[01:21:41.488 --> 01:21:48.252]  There's a lot of Chinese money flowing in here that hasn't been investigated, and I think that story is beginning, not ending, with this election.
[01:21:48.952 --> 01:21:56.397]  And so I'm very concerned about the political involvement, China purchasing our elections.
[01:21:56.777 --> 01:22:01.960]  And I think it's going to be a very, very important issue, especially after Citizens United, all you have to do is
[01:22:02.820 --> 01:22:12.131]  Plonk down 20 bucks, incorporate in Delaware, and your money can come from Saudi Arabia, China, North Korea, or Los Angeles.
[01:22:12.231 --> 01:22:13.273]  I don't know which is worse.
[01:22:14.354 --> 01:22:17.578]  Like George Carlin said, it's a big old club and you ain't in it!
[01:22:19.031 --> 01:22:19.211]  Right.
[01:22:19.371 --> 01:22:20.412]  We just get beaten with it.
[01:22:20.632 --> 01:22:20.992]  Exactly.
[01:22:21.493 --> 01:22:23.834]  Yeah, they beat you over the head every time they want you to think of something.
[01:22:23.894 --> 01:22:24.355]  Exactly.
[01:22:24.375 --> 01:22:24.535]  Yeah.
[01:22:24.775 --> 01:22:26.076]  Well, Greg, thanks for... So read my book!
[01:22:26.096 --> 01:22:26.376]  Yeah, go ahead.
[01:22:26.396 --> 01:22:27.056]  Oh, well, check that out.
[01:22:27.096 --> 01:22:28.677]  Billionaires and Ballot Bandits.
[01:22:28.818 --> 01:22:30.058]  It looks great.
[01:22:30.078 --> 01:22:31.219]  I like the cover right there.
[01:22:31.239 --> 01:22:31.659]  Yeah.
[01:22:31.860 --> 01:22:32.980]  And hanging up behind you.
[01:22:33.501 --> 01:22:34.021]  Did you see?
[01:22:34.041 --> 01:22:36.783]  I have cartoons in it by Ted Roll.
[01:22:37.123 --> 01:22:37.804]  Oh, well, there you go.
[01:22:38.024 --> 01:22:39.925]  And that can help everybody understand.
[01:22:39.945 --> 01:22:42.307]  Yeah, read it for the cartoons.
[01:22:43.049 --> 01:22:43.590]  There you go.
[01:22:44.190 --> 01:22:51.798]  Well there he is folks, Greg Palast, uncovering the stories that people don't want to talk about here, especially our corporate masters don't want people to know about.
[01:22:52.118 --> 01:22:59.426]  And it's guys like Greg who are really out there on the mast, on the watchtower, keeping a lookout for this corruption.
[01:23:00.327 --> 01:23:01.929]  At least we could say we told you so.
[01:23:02.529 --> 01:23:06.531]  You know, you guys can vote for whoever you want, but in the endgame, it really doesn't matter.
[01:23:06.931 --> 01:23:09.412]  You're going to be voting for one of these clowns.
[01:23:09.752 --> 01:23:18.855]  I personally think your best vote is to go for one of these third parties, so next election cycle, they get a little bit of money to play, and we at least get a training wheel into this debate.
[01:23:19.035 --> 01:23:22.117]  So, with that, we're going to say goodnight, and we will see you tomorrow.
[01:23:22.577 --> 01:23:27.579]  Alex should be doing the show, and he'll be interviewing Brian Garish to talk about all kinds of things, Agenda 21.
[01:23:28.099 --> 01:23:30.660]  But for tonight, this is InfoWars Nightly News, and I'm your host, Rob Due.
[01:23:30.840 --> 01:23:31.100]  Thank you.
