[00:00:28.908 --> 00:00:30.789]  Good evening and welcome, ladies and gentlemen.
[01:22:17.375 --> 01:22:20.317]  You can take video conferencing inside in them.
[01:22:20.357 --> 01:22:21.657]  They have voice recognition.
[01:22:22.498 --> 01:22:24.879]  Literally, we are being set up to have
[01:22:25.919 --> 01:22:30.601]  24-7, 365 spy devices mounted on our bodies.
[01:22:30.661 --> 01:22:42.584]  And one of the things I talked about in this report with the Kinect is this is going to be the tool to actually use Windows 8, which is undoubtedly going to be the biggest operating system of our time.
[01:22:42.644 --> 01:22:45.485]  Windows has dominated the market now for almost
[01:22:46.145 --> 01:22:52.630]  20 years with Apple just having a small share of the operating system market out there.
[01:22:52.910 --> 01:22:54.171]  Google's tried to come in.
[01:22:54.711 --> 01:22:58.534]  They haven't been successful outside of cellular devices and some tablets.
[01:22:58.794 --> 01:23:03.117]  But I'm telling you right now, the keyboard is going to be a thing of the past.
[01:23:03.377 --> 01:23:04.958]  The mouse is going to be a thing of the past.
[01:23:04.998 --> 01:23:09.621]  We are literally going to be using minority report style devices.
[01:23:09.941 --> 01:23:14.526]  That are going to give a window into our personal lives, Aaron, like never before.
[01:23:14.846 --> 01:23:16.408]  I mean, we say personal lives.
[01:23:16.448 --> 01:23:19.672]  Of course, we're grounded in the Constitution, Bill of Rights based.
[01:23:20.012 --> 01:23:20.973]  We have a privacy.
[01:23:21.053 --> 01:23:22.054]  We have a Fourth Amendment.
[01:23:22.355 --> 01:23:24.317]  They've been whittling that away for decades.
[01:23:24.677 --> 01:23:31.905]  And the fact that the NSA is building this gigantic spy hub really signals the fact that more and more they see us as a population.
[01:23:32.325 --> 01:23:39.275]  Not as individual, free, sentient thinking creatures who have innate privacy, but more and more like we're just a data bank.
[01:23:39.555 --> 01:23:44.141]  We're a resource for learning how systems work, how a human population system works.
[01:23:44.862 --> 01:23:47.305]  Do you see that trend moving and where does it go?
[01:23:47.766 --> 01:23:49.368]  It looks only like scary ground to me.
[01:23:50.151 --> 01:23:50.892]  Well, absolutely.
[01:23:50.952 --> 01:24:05.266]  As the economy is really brought down in this country, more and more people will be looking for work and more and more people will be willing to man this $2 billion NSA spy center that is intended for us, American citizens.
[01:24:05.306 --> 01:24:12.473]  This thing is reported to be, it's going to be the size of 17 football fields, folks.
[01:24:13.553 --> 01:24:16.615]  17 football fields, stadiums is what they're saying.
[01:24:16.675 --> 01:24:24.900]  Just think about the last time you went to a football game and now you're gonna have 17 of those fully manned with personnel.
[01:24:25.020 --> 01:24:29.623]  What could they possibly be doing other than surveilling the general
[01:24:30.023 --> 01:24:30.584]  Populous.
[01:24:30.624 --> 01:24:32.986]  And of course, there's stories breaking all the time right now.
[01:24:33.266 --> 01:24:46.057]  James Bamford, the guy behind Body of Secrets, the original publisher of the Northwoods documents that we've talked about in regards to 9-11 and beyond and false flag terror, has just done an amazing report on this.
[01:24:46.537 --> 01:24:51.802]  And as you and I know, Aaron, he's confronted Michael Hayden, the ex-head of the CIA, on our loss
[01:24:52.282 --> 01:24:56.725]  of a Fourth Amendment and basically he was just pushed aside when he asked that question.
[01:24:56.985 --> 01:25:11.314]  So unfortunately I just see this moving towards this surveillance type of society where we have less and less personal freedoms and those that try to rise up will be dealt with in a manner unbecoming of our constitutional republic that was once great.
[01:25:12.156 --> 01:25:22.364]  It's crazy, and the idea of opting out, as we see with the TSA, it's almost a halfway honest thing, except it's a rigged game, and opting out just means you'll be groped in the airport context.
[01:25:22.764 --> 01:25:23.805]  Well, what about online?
[01:25:23.825 --> 01:25:25.826]  Can you opt out of these surveillance measures?
[01:25:26.226 --> 01:25:26.647]  I don't know.
[01:25:26.787 --> 01:25:37.795]  Even if you could, and even if it was an honest system, there's so many layers of it, so many different things we interact with, so many areas where Google alone controls the entire arena for debate.
[01:25:38.235 --> 01:25:44.800]  In the online world, in these technologies, how could you opt out of such a large, swirling data bank?
[01:25:45.460 --> 01:25:47.021]  It's going to be very, very difficult.
[01:25:47.061 --> 01:26:04.754]  And with Google getting into the television business, and many of these smart TVs already having apps like YouTube, and seeing YouTube become more and more of a television station, and not just a user-based system for content to be uploaded to the world, they're moving in the direction of becoming
[01:26:05.174 --> 01:26:24.002]  A TV station and of course they are owned by Google and we've already been warned about some of these smart TVs that are already out there with high definition cameras and voice recognition much like the Kinect device and this is going to be moving forward you're going to see more and more of this in fact I would say in within five years I would say the majority
[01:26:24.002 --> 01:26:24.462]  We're good to go.
[01:26:42.978 --> 01:26:54.804]  But in doing so, you are not only giving up your personal privacy, you're setting yourself up for a surveillance state that we don't want to be a part of, that free humanity should never be a part of, Aaron.
[01:26:55.224 --> 01:26:55.744]  Absolutely.
[01:26:55.784 --> 01:26:59.666]  And of course, technology is a double-edged sword, but they are armed to the teeth.
[01:27:00.227 --> 01:27:04.729]  And for the most part, we're basically ignorant about the data fight, the fight for privacy.
[01:27:05.429 --> 01:27:15.798]  Where it is out there, so we'd like to continue to support these kind of reports groups like the EFF who are trying to fight for online freedom And let's hope it continues Jason Burmish.
[01:27:15.818 --> 01:27:21.443]  Thanks for joining us, and we will speak to you in the future That is it for tonight's InfoWars nightly news.
[01:27:21.483 --> 01:27:22.824]  We'll be back again tomorrow.
[01:27:23.124 --> 01:27:29.269]  Thanks for watching and please support us We are under attack in so many ways as you heard Alex Jones mentioned earlier.
[01:27:29.630 --> 01:27:29.910]  Good night
[01:28:34.218 --> 01:28:36.047]  Good evening and welcome, ladies and gentlemen.
[01:28:36.067 --> 01:28:36.469]  I'm Aaron
