[00:00:00.129 --> 00:00:01.929]  It's Alex Jones.
[01:07:22.188 --> 01:07:23.169]  We know what comes next.
[01:07:23.509 --> 01:07:25.229]  Now they're doing their nitrogen game.
[01:07:25.530 --> 01:07:29.091]  Our soil is dead, it doesn't... Oh yeah, they're announcing they want to ban nitrogen.
[01:07:29.551 --> 01:07:30.232]  Yeah, of course.
[01:07:30.492 --> 01:07:33.656]  So everything God created they want to ban and put us in a place.
[01:07:34.056 --> 01:07:39.082]  All we have to do is walk away from their system and we have the solutions right now.
[01:07:39.903 --> 01:07:40.904]  So stop complying.
[01:07:41.305 --> 01:07:42.046]  Stop complying.
[01:07:45.169 --> 01:07:47.691]  We've got to cut off the farms or people will starve to death.
[01:07:47.731 --> 01:07:50.492]  He says we've got to shut these farms down or there'll be mass starvation.
[01:07:50.732 --> 01:07:53.854]  So they run the lockdowns, shut down the farms and ranches in the third world.
[01:07:53.874 --> 01:07:58.617]  95% of the Gallup poll of illegals coming are saying they shut down my business, my farm.
[01:07:58.937 --> 01:07:59.838]  I can't feed myself.
[01:08:00.218 --> 01:08:03.660]  And then the UN brings them here and says global warming caused the refugees.
[01:08:03.980 --> 01:08:06.061]  And now the answer is shutting down farms in the West.
[01:08:06.341 --> 01:08:08.463]  I mean, can't the public put two and two together?
[01:08:08.623 --> 01:08:10.744]  We're going to shut farms down to stop starvation?
[01:08:10.964 --> 01:08:12.865]  But that's what Mickey did last night.
[01:08:12.885 --> 01:08:13.885]  The Great Awakening.
[01:08:14.185 --> 01:08:15.045]  It's up to us.
[01:08:15.406 --> 01:08:16.426]  Stand up together.
[01:08:16.686 --> 01:08:17.566]  Truth in love.
[01:08:17.886 --> 01:08:18.747]  That's what he showed.
[01:08:18.787 --> 01:08:19.827]  We end up happy.
[01:08:20.207 --> 01:08:21.088]  That's what he showed you.
[01:08:21.148 --> 01:08:22.488]  Right now, we already won.
[01:08:22.508 --> 01:08:24.509]  Because we survived this one.
[01:08:24.829 --> 01:08:26.629]  And now we know the game plan.
[01:08:26.690 --> 01:08:27.450]  No, I agree.
[01:08:27.490 --> 01:08:33.112]  It's going to be very hard for them to launch another one now that people, a large minority becoming a majority, has their number.
[01:08:33.452 --> 01:08:35.152]  But do you think the psychos are going to quit?
[01:08:35.172 --> 01:08:38.134]  I mean, Fauci says, I am the science.
[01:08:38.154 --> 01:08:39.254]  Which, again, is a science cult.
[01:08:40.627 --> 01:08:45.950]  Well, I'm never going to quit obeying God and just moving forward according to my purpose.
[01:08:46.290 --> 01:09:01.096]  And that means right now Ephesians 5, 11, shouting from the rooftops in one sense, but the Great Awakening with Mickey Willis, speaking the truth in love, forgiving people, bringing them back, moving that middle, showing that emotion like that film that people didn't know.
[01:09:01.416 --> 01:09:02.517]  They did not know.
[01:09:02.777 --> 01:09:09.762]  Yeah, folks, Mickey Willis has made a lot of great movies and was a big Hollywood producer for ads and movies and documentaries before.
[01:09:09.782 --> 01:09:18.169]  And he was already awake a lot, but then meeting Judy and Kent really, really woke up, I guess, about three, four years ago, four years ago.
[01:09:18.309 --> 01:09:21.271]  And now these films are just devastating the New World Order.
[01:09:21.291 --> 01:09:23.773]  You can find it for free at InfoWars.com.
[01:09:23.913 --> 01:09:25.094]  We have the links to it right now.
[01:09:25.535 --> 01:09:30.898]   The great Awakening, part three of the Pandemic Series, free at InfoWars.com.
[01:09:30.918 --> 01:09:34.045]  We're going to air it coming up at 6 p.m.
[01:09:34.085 --> 01:09:35.809]  Central in about 33 minutes.
[01:09:36.169 --> 01:09:37.011]  We'll be right back.
[01:09:36.831 --> 01:09:49.791]  Stay with us.
[01:09:49.762 --> 01:09:52.583]  to be like China with the social credit score.
[01:09:52.703 --> 01:09:54.584]  Not for nothing, he got demonized in the media.
[01:09:54.724 --> 01:09:55.824]  I remember being a kid.
[01:09:56.024 --> 01:09:59.305]  Everything he said that was going to go down, it's all going down.
[01:09:59.585 --> 01:10:04.647]  The model for internet censorship is going to be phased in, Chinese-style net censorship.
[01:10:05.167 --> 01:10:09.189]  Net IDs, net taxes, three strikes and you're out, net rules.
[01:10:09.689 --> 01:10:11.890]  But before they get to that, they're going to phase in.
[01:10:11.930 --> 01:10:28.842]   It started Starts this next year in China and they're already lining up with Facebook, Google, all of them agreeing with China, Microsoft, to implement these systems where China already does it and then they beta test there and then bring it here.
[01:10:29.502 --> 01:10:43.262]   Everything you do in China from your credit score to what you buy, to discount cards, to your internet records, to what you say on social networks, He's integrated into an algorithm, and if you criticize the government basically once...
[01:10:44.246 --> 01:10:45.427]  You can't even buy or sell.
[01:10:45.507 --> 01:10:46.488]  You can't get a hotel.
[01:10:46.588 --> 01:10:47.389]  You can't travel.
[01:10:47.409 --> 01:10:50.972]  Now, I know this was coming, but to see it actually happen is so bold.
[01:10:51.572 --> 01:10:54.755]  It's so over the top that I get why people just can't believe it.
[01:10:55.075 --> 01:10:57.577]  This ESG is a social credit score.
[01:10:57.657 --> 01:10:59.759]  If you don't play ball, they're not going to bail you out.
[01:11:00.039 --> 01:11:04.903]  So, of course, they want to push this electric so they could turn your bike off whenever they want.
[01:11:05.163 --> 01:11:12.850]   So if there's another situation where there's a medical reason why everybody needs to stay home, They could just turn everything off.
[01:11:12.930 --> 01:11:14.191]  That's why they want the electric.
[01:11:14.431 --> 01:11:18.655]  Could you imagine living in a world where they just turn your bike off, turn your car off?
[01:11:21.318 --> 01:11:22.179]  And it's happening now.
[01:11:22.239 --> 01:11:23.460]  Electric bikes people rent.
[01:11:24.000 --> 01:11:26.363]  When the rental's over, it just locks the gears up.
[01:11:27.398 --> 01:11:28.259]  Incredibly dangerous.
[01:11:28.339 --> 01:11:29.640]  That is the whole system.
[01:11:30.521 --> 01:11:30.741]  All right.
[01:11:30.761 --> 01:11:33.824]  The Great Awakening, Part 3 of the Pandemic Series.
[01:11:34.044 --> 01:11:35.345]  Mickey Willis knocked out of the park.
[01:11:35.946 --> 01:11:40.250]  All basically inspired by the great lady we've got here with us today.
[01:11:40.891 --> 01:11:41.871]  Dr. Judy Mikovits.
[01:11:42.492 --> 01:11:46.155]  And of course, Micah Vitz, and of course, your website is TheRealDrJudy.com.
[01:11:46.175 --> 01:11:47.216]  TheRealDrJudy.com.
[01:11:47.576 --> 01:11:56.523]  And of course, Kent Hetkin-Lively is also working with me on my last book and on the latest book, also called The Great Awakening, defeating the globalists and launching the next great renaissance.
[01:11:56.543 --> 01:11:59.645]  But today, it's all about Mickey Willis' film.
[01:12:00.346 --> 01:12:03.068]  Dr. Judy, you got caught off by the break.
[01:12:03.088 --> 01:12:04.249]  You were making some really key points.
[01:12:05.717 --> 01:12:06.777]  Like Jerry Maguire movie.
[01:12:06.837 --> 01:12:15.880]  Talk to me like I'm in the fifth grade, because you're really smart, you move quick, and I know all this stuff, and I can barely follow it, and then I realize you're saying some really crazy important stuff.
[01:12:16.481 --> 01:12:26.204]  Slow down and explain what you're saying about Dr. Malone and all these people, which they admit this now, being inspired by your research, because they're scientists too, but they weren't in the middle of it.
[01:12:26.624 --> 01:12:30.405]  You've helped decompartmentalize people and helped them have epiphanies, basically.
[01:12:30.926 --> 01:12:37.151]   Well, exactly, and that's because, in fact, Kent Heck and Lively, Nobody would understand it.
[01:12:37.191 --> 01:12:38.872]  He's a sixth grade science teacher.
[01:12:39.192 --> 01:12:44.795]  So he was able to show the perspective of how doctors and students are supposed to be taught.
[01:12:45.455 --> 01:12:54.780]  But for at least the last decade, medical students, college students, they haven't been taught biology.
[01:12:55.100 --> 01:13:03.004]  They haven't been taught the biology according to God, according to nature, the base pairs that make up your DNA, A, C, T, and G.
[01:13:03.704 --> 01:13:06.005]  Now, A and G are purines.
[01:13:06.265 --> 01:13:07.405]  Caffeine is a purine.
[01:13:07.886 --> 01:13:10.026]  Oh, that's something, a chemical in nature.
[01:13:10.346 --> 01:13:12.747]  Well, they increase heart rates, things like that.
[01:13:13.227 --> 01:13:17.269]  Well, ivermectin is a purinergic modulator.
[01:13:17.989 --> 01:13:27.733]   Oh, that means it's an in nature, an antiparasitic because of how it changes the sensors to poison Yeah, on the cell.
[01:13:27.833 --> 01:13:35.019]  And cancer is a parasite of your own body, and so that's why all the science now shows, like you said years ago on the show, it literally blocks cancer.
[01:13:35.519 --> 01:13:39.743]  Yeah, because oxygen kills cancer because it turns on the immune system.
[01:13:40.544 --> 01:13:48.570]  And the viruses of your own God-given viruses say that's the type of poison, that's the parasite that has me turning on.
[01:13:48.851 --> 01:13:50.232]  That's what's robbing oxygen.
[01:13:50.732 --> 01:13:54.094]  ATP energy goes outside the cell and kills it.
[01:13:54.234 --> 01:14:07.323]  And our book on the case against masks was banned by Amazon because we dared to say that what's going to happen when you're wearing a mask is you're going to get less oxygen and you're going to get more carbon dioxide.
[01:14:07.403 --> 01:14:08.844]  And all the studies showed that.
[01:14:08.924 --> 01:14:13.768]  And you're going to cause cancer and it's called hypoxia inducible factor 1 alpha.
[01:14:14.148 --> 01:14:17.211]   So when I say that, Robert Malone says, of course.
[01:14:17.751 --> 01:14:26.079]  And then when you start talking about microRNAs and long-chain non-coding RNAs, our own God-given immune defenses that turn on antimicrobials.
[01:14:26.099 --> 01:14:29.963]  Just explain, the entire protocol they gave us was designed to grow cancer and turn off immune systems.
[01:14:30.383 --> 01:14:33.807]  Correct, but God gave us the knowledge and that was my research.
[01:14:34.307 --> 01:14:36.048]  Got to turn back on.
[01:14:36.188 --> 01:14:41.791]  And what is happening now that doctors are seeing all over the country and all over the world?
[01:14:42.052 --> 01:14:43.773]  They're seeing turbo cancers.
[01:14:44.093 --> 01:14:49.496]  They're seeing these people whose cancer... That's the main pathologist society in Germany.
[01:14:49.976 --> 01:14:51.557]  First, a year and a half ago, they were seeing an increase.
[01:14:51.597 --> 01:14:57.701]  They published a new paper, I'm sure you saw it, saying there's no doubt that these shots make cancer come back in cancer patients.
[01:14:57.721 --> 01:14:57.941]  Okay.
[01:14:57.961 --> 01:14:58.121]  Yeah.
[01:14:58.161 --> 01:14:59.782]  Can I just say, turbo.
[01:15:00.182 --> 01:15:01.963]  Blow on a fire, what does it do?
[01:15:02.363 --> 01:15:03.144]  It goes turbo.
[01:15:03.464 --> 01:15:03.925]  Turbo.
[01:15:03.945 --> 01:15:04.445]  That's turbo.
[01:15:04.485 --> 01:15:05.987]  You took a mask away from him.
[01:15:06.267 --> 01:15:06.647]  Yeah.
[01:15:06.768 --> 01:15:07.969]  You starved oxygen.
[01:15:08.489 --> 01:15:09.831]  You know, you starved oxygen.
[01:15:09.871 --> 01:15:14.676]  Hold on, so when she uses terms, or Kent does, they're not just using terms.
[01:15:15.337 --> 01:15:22.104]  That's turbo is when they inject oxygen into the gasoline to make it explode higher and better, okay?
[01:15:22.124 --> 01:15:23.705]  You got turbo and you got superchargers.
[01:15:23.785 --> 01:15:24.286]  Turbocharged.
[01:15:24.706 --> 01:15:26.647]  So this is literally turbocharging cancer.
[01:15:26.928 --> 01:15:27.928]  Start over and explain how it works.
[01:15:28.048 --> 01:15:30.850]  So doctors use that term because you rob oxygen.
[01:15:31.130 --> 01:15:35.933]  So the mask wasn't just inconvenient, it turned on viruses.
[01:15:35.953 --> 01:15:39.736]  Because you were trying to send immune cells to the fire.
[01:15:39.976 --> 01:15:43.998]  You were being hypoxia, is lack of oxygen.
[01:15:44.318 --> 01:15:49.482]  There are God-given factors that when hypoxia goes on, you get cancer.
[01:15:49.562 --> 01:15:51.663]  So this is the opposite of turbo, it's blocking the oxygen.
[01:15:51.823 --> 01:15:52.203]  Correct.
[01:15:52.443 --> 01:15:54.404]  And it's a cancer, it's a drug target.
[01:15:54.744 --> 01:15:56.145]  And we know those drug targets.
[01:15:56.205 --> 01:15:56.946]  That's what we did.
[01:15:57.206 --> 01:15:58.506]  That's what Robert Malone did.
[01:15:58.846 --> 01:16:08.391]  Oh, and then we patent a drug because you can't patent God and just making sure you don't put a mask on and take oxygen away and induce the expression of F1-alpha.
[01:16:08.431 --> 01:16:13.173]  Our entire medical system is not designed for people's health.
[01:16:13.634 --> 01:16:20.357]  Our entire medical system is designed to create drugs to return money to the shareholders.
[01:16:20.917 --> 01:16:27.383]  That is something that every person in this world needs to stand up and understand.
[01:16:27.403 --> 01:16:29.004]  And that's the money incentive at one level.
[01:16:29.044 --> 01:16:29.325]  I agree.
[01:16:29.365 --> 01:16:31.387]  Like at the 50th floor, that's it.
[01:16:31.687 --> 01:16:36.111]  But up at the 60th floor or the top of this building, whatever number you want to give it, is the depopulation agenda.
[01:16:36.491 --> 01:16:38.012]  They know how to incentivize it through money.
[01:16:38.032 --> 01:16:39.734]  But I mean, here's Bill Gates giving speeches at TED Talk.
[01:16:40.034 --> 01:16:41.495]  We've got to reduce the population by 90%.
[01:16:41.536 --> 01:16:41.776]  He means it.
[01:16:43.803 --> 01:16:45.946]  But it was always the Darwin.
[01:16:46.206 --> 01:16:47.567]  That was Darwin's thesis.
[01:16:47.588 --> 01:16:51.152]  We think it's natural immunity by natural immunity.
[01:16:52.033 --> 01:17:00.142]  Or, the subtitle, like our books, the subtitle is Preservation of Favored Races in the Struggle for Life.
[01:17:00.383 --> 01:17:03.747]  Well, there's no struggle for life in God's world in the Bible.
[01:17:04.207 --> 01:17:05.328]  There's no struggle for life.
[01:17:05.708 --> 01:17:06.749]  That's racist.
[01:17:06.849 --> 01:17:07.709]  That's genocide.
[01:17:07.729 --> 01:17:19.477]  For those that don't know, Hitler got everything from Darwin and Galton, and then the liberals worship this because when I call them Nazis, the left makes jokes and says Nazis didn't exist until the 1930s or whatever.
[01:17:20.517 --> 01:17:21.778]  The National Socialist Workers' Party.
[01:17:21.838 --> 01:17:29.803]  No, the eugenics that was developed in the UK that went worldwide was cited by Kaiser Wilhelm, the Institute, and the Nuremberg Trials.
[01:17:30.063 --> 01:17:31.384]  So this is proto-Nazi.
[01:17:31.644 --> 01:17:33.865]  Yeah, and also the Cold Springs Harbor.
[01:17:33.965 --> 01:17:42.988]  The Cold Springs Harbor from 1910 to 1945 was the center of the eugenics movement in the United States.
[01:17:43.368 --> 01:17:44.729]  That's in the New York Times.
[01:17:45.149 --> 01:17:49.411]  That's something that people are going to find out in the Great Awakening book.
[01:17:49.471 --> 01:17:58.614]  Because, hey, you know, most of the times I'm quoting mainline sources because what I've learned about the mainstream media is that they will tell the truth.
[01:17:58.994 --> 01:18:05.117]  But you have to wait a couple years, sometimes 50 years for him to tell the truth, but you can get it from the mainstream sources.
[01:18:05.157 --> 01:18:18.343]  So for all of those people who have criticized you for your sources and everything, all I can say is 80-90% of the sources in our book are going to be from mainline sources that nobody can doubt.
[01:18:18.922 --> 01:18:19.263]  That's right.
[01:18:19.383 --> 01:18:21.246]  Once the fight's already over, they'll tell the truth later.
[01:18:21.987 --> 01:18:22.528]  Yeah.
[01:18:23.229 --> 01:18:24.090]  So let's get to this.
[01:18:24.150 --> 01:18:26.635]  And I don't want to subject the listeners and viewers to this, but we've got to do it.
[01:18:27.316 --> 01:18:29.179]  I normally know everything that's going on, basically.
[01:18:29.599 --> 01:18:31.603]  But I was sitting there watching the movie last night.
[01:18:33.123 --> 01:19:04.231]   And I didn't know that the great Dale Bigtree, who I just admire, what a great researcher and journalist, I didn't know that he had Neil deGrasse Tyson in studio three or four months ago, and that Tyson did the scientism cult of, I am science, do what I say, that's the opposite of the scientific method and Newtonian physics and the rest of it, and literally says, do not question me, I represent the consensus, I don't want to hear what anybody else's study or any individual says, unless we decide, the corporate Consensus, the corporate board, we don't look at that.
[01:19:04.851 --> 01:19:09.852]  Meanwhile, everything the corporate consensus told you, the censorship, the surveillance, the mask are great.
[01:19:10.553 --> 01:19:11.973]  You know, vitamin C is bad.
[01:19:12.153 --> 01:19:13.253]  Ivermectin is bad.
[01:19:13.273 --> 01:19:14.054]  It's wrong.
[01:19:14.574 --> 01:19:24.376]  The consensus was, back to meteors, until the Shoemaker-Levy comet hit the gas giant, was that we get hit every 50 million years by a giant comet or asteroid.
[01:19:24.437 --> 01:19:27.877]  Now they know, from satellites, there's giant impact points everywhere.
[01:19:28.138 --> 01:19:29.458]  We get hit every couple hundred years.
[01:19:29.998 --> 01:19:31.119]  Yeah, yeah.
[01:19:31.339 --> 01:19:51.695]  It's, you know, people are talking about what caused the Younger Dryas period 11,000 years ago when the mammoths and the saber-toothed tires disappeared, and why there's the scab lands in Washington, which show that probably meteors hit the... Every 10, 20,000 years a big one hits, but big ones are hitting all the time.
[01:19:51.735 --> 01:19:51.935]  Yeah.
[01:19:52.938 --> 01:19:53.338]  Incredible.
[01:19:53.478 --> 01:19:59.561]  Well, you know, it's important that, you know, science is based on technology, data, and measurements.
[01:19:59.902 --> 01:20:03.043]  Science isn't a belief system, you know, and it is.
[01:20:03.123 --> 01:20:05.824]  It's a cult until you can measure it and prove it.
[01:20:06.165 --> 01:20:14.509]  So our technologies, we didn't know there was an endocannabinoid, endogenous, God-given cannabis system, a dimmer switch on inflammation.
[01:20:15.069 --> 01:20:20.712]  That is the plants, an entire family of them with hemp and they make rope and fibrosis or anitis.
[01:20:20.992 --> 01:20:22.312]  Stop those processes.
[01:20:22.533 --> 01:20:23.653]  We didn't know about that till 94.
[01:20:24.814 --> 01:20:31.297]  But we knew that hemp and cannabis in elixirs as in the 1930s were wonderful.
[01:20:34.398 --> 01:20:39.465]  I see the videos on the studies where a guy that has Parkinson's takes full-spectrum CBD and all of a sudden his hands aren't shaking.
[01:20:39.605 --> 01:20:39.966]  Correct!
[01:20:40.106 --> 01:20:40.707]  I mean, it's incredible.
[01:20:40.727 --> 01:20:43.671]  Let's go ahead and roll more of Nils deGrasse Tyson.
[01:20:43.691 --> 01:20:44.792]  We've got to get the rest of this.
[01:20:44.832 --> 01:20:48.517]  It's hard to listen to, but this is a guy saying, I can't debate you, please be quiet.
[01:20:48.557 --> 01:20:48.818]  Here it is.
[01:20:50.083 --> 01:20:51.584]  So you don't have to have the conversation with me.
[01:20:52.025 --> 01:20:54.507]  But I want, I want science.
[01:20:54.987 --> 01:20:55.968]  And so here's what we have.
[01:20:56.509 --> 01:21:04.456]  We have Peter, we have Peter McCullough, world-renowned heart doctor, saying, I am seeing a rise in myocarditis because of this vaccine.
[01:21:04.756 --> 01:21:08.659]  We have the leading ICU, second most published science, Paul Merrick.
[01:21:08.859 --> 01:21:10.821]  I'm just, I, hear me out here, hear me out.
[01:21:10.861 --> 01:21:11.702]  I know you, I know, all right?
[01:21:12.062 --> 01:21:13.063]  These have all been on my show.
[01:21:13.123 --> 01:21:14.004]  Dr. Robert Malone.
[01:21:14.384 --> 01:21:17.166]  Part of the inventing factor behind the mRNA vaccine.
[01:21:17.266 --> 01:21:18.367]  All these people have been censored.
[01:21:18.627 --> 01:21:19.387]  They were shut down.
[01:21:19.407 --> 01:21:21.429]  They were kept from talking to the people in Washington.
[01:21:21.889 --> 01:21:24.831]  Johnny was putting out the data.
[01:21:25.091 --> 01:21:25.611]  I'll show you.
[01:21:25.912 --> 01:21:32.836]  Dr. Jay Bhattacharya, Dr. Sunetra Gupta, Dr. Martin Poldorf, Oxford University, Harvard School of Medicine, Stanford School of Medicine.
[01:21:33.096 --> 01:21:40.541]  They put together the Great Barrington Declaration, which was an approach towards this to say, let's do protect that super small... 936,000.
[01:21:40.621 --> 01:21:41.282]  That's not a consensus.
[01:21:42.082 --> 01:21:46.844]  ...needs to be protected and figure out a way the rest of us can establish a herd immunity around them.
[01:21:47.165 --> 01:21:52.167]  And the NIH, who's supposed to be objective on this, we now have internal email, because this is what I do.
[01:21:52.287 --> 01:21:53.828]  I actually put in FOIA requests.
[01:21:54.128 --> 01:21:57.490]  We know that this is what Francis Collins said about those people before even talking to them.
[01:21:57.770 --> 01:22:02.953]  There needs to be a quick and devastating published takedown of the premise being brought by these scientists.
[01:22:03.453 --> 01:22:04.674]  That was the approach to science.
[01:22:04.854 --> 01:22:06.495]  No other science can be allowed in here.
[01:22:06.555 --> 01:22:10.658]  You started this out by saying every challenge should come in.
[01:22:11.018 --> 01:22:13.320]  Every way to say that we don't agree with the hypothesis.
[01:22:13.640 --> 01:22:16.702]  Maybe these people say, you don't need the vaccine, there's a way through this.
[01:22:16.943 --> 01:22:19.044]  Or, we should be tactical with the vaccine.
[01:22:19.564 --> 01:22:21.826]  All of these people were kept out of the conversation.
[01:22:21.866 --> 01:22:27.310]  All I can comment on there... And you are wanting me to sign on to a social contract where the scientific method isn't being used.
[01:22:28.971 --> 01:22:37.818]  That list of highly pedigreed medical professionals that you are citing, I'm not interested in medical pedigree.
[01:22:37.858 --> 01:22:39.759]  I'm interested in medical consensus.
[01:22:40.260 --> 01:22:41.481]  In scientific consensus.
[01:22:41.881 --> 01:22:54.351]  The moment someone says, well, I'm of this highfalutin school or this, that's like, okay, that means they're going to say something that goes against the consensus, and they want to use that to follow what it is they say.
[01:22:54.371 --> 01:22:55.131]  That's insane!
[01:22:55.231 --> 01:23:01.115]   I'm just saying, you need someone who represents a medical Well, the consensus is two men can have a baby, doctor.
[01:23:01.736 --> 01:23:02.436]  Right.
[01:23:02.456 --> 01:23:07.779]  And that X and Y aren't... You know, major universities teach now there are no chromosomes.
[01:23:07.939 --> 01:23:08.359]  Major U.S.
[01:23:08.419 --> 01:23:09.660]  universities know X, Y. Right.
[01:23:09.760 --> 01:23:12.942]  But see, we have the data... Hit pause real quick.
[01:23:13.242 --> 01:23:14.023]  Back in 20 seconds.
[01:23:14.083 --> 01:23:14.623]  Go ahead.
[01:23:14.643 --> 01:23:16.164]  So, you see, we have the data.
[01:23:16.744 --> 01:23:17.905]  And we knew it all along.
[01:23:17.925 --> 01:23:20.826]  Plus, I know you're a woman, I'm a man!
[01:23:20.966 --> 01:23:36.875]  But more important, in the book Ending Plague, first time ever, Frank Ricetti and Luke Montagnier ever spoke about what really happened with gain-of-function, HIV, you know, and because they were outcasts.
[01:23:36.935 --> 01:23:45.199]  Luke Montagnier won the Nobel Prize in 2008, and what it was used for then was to silence him, because he was telling the truth.
[01:23:45.519 --> 01:23:51.523]  You know, and Alex, to your point, 98% of drunk college freshmen can identify as female.
[01:23:51.984 --> 01:23:52.444]  Exactly.
[01:23:54.005 --> 01:23:54.305]  Exactly.
[01:23:54.325 --> 01:24:01.770]  But they tell us, I've got articles here, major universities today are saying, no, anybody can be a woman.
[01:24:03.510 --> 01:24:05.551]  Ladies and gentlemen, I'm a woman.
[01:24:06.912 --> 01:24:07.553]  I'm not.
[01:24:08.093 --> 01:24:12.817]  It's easy because it's all about X. The X chromosome and the Y is the problem.
[01:24:12.857 --> 01:24:19.421]  And we know we can help the problem that these men can't think with both brains at the same time with your Nitric Boost.
[01:24:19.562 --> 01:24:21.123]  And I'm a 6'4 NBA player.
[01:24:21.163 --> 01:24:24.725]  Nitric Oxide works to make one of the... You did a plug for Nitric Boost.
[01:24:24.745 --> 01:24:25.826]  You love the ingredients.
[01:24:25.846 --> 01:24:26.667]  It sold a lot of it.
[01:24:27.067 --> 01:24:29.649]  What does something like Nitric Boost product do for your blood?
[01:24:30.840 --> 01:24:33.003]  It allows it to flow regularly.
[01:24:33.063 --> 01:24:43.740]  It allows this guy to use both brains that he has that Y-chromosome problem that doesn't exist if you want to use that certain target bathing suit.
[01:24:46.314 --> 01:24:47.134]  We're getting off here.
[01:24:47.434 --> 01:24:51.736]  But the point is, again, he's saying consensus.
[01:24:51.896 --> 01:24:55.478]  Highfalutin school, Harvard, that takes these outliers.
[01:24:55.738 --> 01:24:58.339]  No, Harvard is creating the sentence.
[01:24:58.659 --> 01:25:00.060]  The consensus.
[01:25:00.320 --> 01:25:02.081]  That's where all the corruption came from.
[01:25:02.101 --> 01:25:04.081]  Ian Lipkin, John Coffey.
[01:25:04.101 --> 01:25:08.023]  We should talk about Harvard in a whole interview sometime, but it seems like, people say, who runs the world?
[01:25:08.063 --> 01:25:10.104]  It seems like Harvard Mafia runs it.
[01:25:10.184 --> 01:25:10.824]  Columbia.
[01:25:11.044 --> 01:25:12.065]  But that's what we show.
[01:25:12.105 --> 01:25:13.225]  Harvard, Columbia, Yale.
[01:25:13.245 --> 01:25:13.966]  Who's the top?
[01:25:14.286 --> 01:25:14.646]  Harvard?
[01:25:14.966 --> 01:25:24.134]  Columbia, Yale, to all the places, Tony Fauci, Georgetown, GW, where he's going and giving consensus speech, because that's a cult.
[01:25:24.654 --> 01:25:30.694]   When you see how the cult is run in presidential takedown, what I uncovered is that every year
[01:25:30.694 --> 01:25:38.073]  the NIH gives out $30 billion in grants to scientists.
[01:25:38.073 --> 01:25:39.073]  That was direct.
[01:25:39.073 --> 01:25:40.914]  And Eisenhower warned about the control of consensus.
[01:25:40.914 --> 01:25:41.914]  That was...
[01:25:41.914 --> 01:25:43.693]  His military industrial complex warned of that.
[01:25:43.693 --> 01:25:48.493]   And that was... that money was... they decided who to send it to.
[01:25:48.493 --> 01:25:52.493]   Basically, Francis Collins and Tony Fauci were in charge of it.
[01:25:52.493 --> 01:25:59.333]   For comparison, the 2020 election to elect a president of the United States was $5.6
[01:25:59.333 --> 01:26:00.773]  billion spent.
[01:26:01.066 --> 01:26:10.651]  So every year, this medical mafia is basically spending six times the amount of money by the consensus of the scientists.
[01:26:10.972 --> 01:26:15.634]  So how does this house of cards, how does this medical mafia work?
[01:26:16.114 --> 01:26:18.596]  It works because they're stealing our money.
[01:26:18.996 --> 01:26:21.577]  But the good news is they've doubled down and now they're failing.
[01:26:22.077 --> 01:26:25.239]  So despite everything they've done, they can't put Humphrey W. back together again.
[01:26:25.259 --> 01:26:28.640]  Let's play the last few minutes of Tyson because Dale Bigtree really gets his face.
[01:26:30.447 --> 01:26:35.992]  That list of highly pedigreed medical professionals that you are citing?
[01:26:36.132 --> 01:26:36.312]  Yeah.
[01:26:36.953 --> 01:26:39.295]  I'm not interested in medical pedigree.
[01:26:39.335 --> 01:26:41.237]  I'm interested in medical consensus.
[01:26:41.737 --> 01:26:42.958]  In scientific consensus.
[01:26:43.358 --> 01:26:55.849]  The moment someone says, well I'm of this highfalutin school or this, that's like, okay that means they're going to say something that goes against the consensus and they want to use that to help other people follow what it is they say.
[01:26:56.670 --> 01:27:03.337]  I'm just saying you need someone who represents a medical consensus here to have that conversation with.
[01:27:03.577 --> 01:27:11.386]  We had a medical consensus around a product that we knew nothing about, and a medical consensus around a virus you told us they knew nothing about.
[01:27:11.806 --> 01:27:13.907]  They kept telling us we know very little about it.
[01:27:14.328 --> 01:27:24.935]  So why was there a medical consensus that was keeping out renowned scientists from the conversation when they were telling us on television we don't know a lot about this virus, we're trying to figure it out.
[01:27:25.315 --> 01:27:33.060]  Scientists that were on the ground, that were dealing with patients, were being censored, were being shut down, their YouTube channels were being shut down, their LinkedIn's were being shut down.
[01:27:33.080 --> 01:27:36.142]  Because the individual scientist does not matter.
[01:27:36.402 --> 01:27:39.825]  We started this conversation on that very fact.
[01:27:42.406 --> 01:27:43.767]  Yes, of course it does.
[01:27:44.007 --> 01:27:46.548]  And the scientific method, producing a consensus.
[01:27:46.848 --> 01:27:50.049]  And whatever is that consensus... Alright, then I'll tell you this.
[01:27:50.069 --> 01:28:00.192]   When I can look, when I can look now in the rearview mirror and said it while it was happening that there is a... and by the way, All the scientists I just showed proved to be right.
[01:28:00.453 --> 01:28:11.155]  They told you that this virus, that the vaccine would not end this and would actually cause an endemic because you've now made people that cannot clear this virus and kill it, they're all asymptomatic carriers.
[01:28:11.175 --> 01:28:12.455]  That's all this vaccine keeps doing.
[01:28:12.675 --> 01:28:14.075]  So now we're stuck with this virus.
[01:28:14.316 --> 01:28:20.877]  We didn't follow the same path we always have with every other illness like former coronaviruses and most of the time flus.
[01:28:21.897 --> 01:28:25.659]  The hospitalizations are low.
[01:28:25.679 --> 01:28:27.060]  For now, for now.
