[00:00:20.370 --> 00:00:26.575]  Send in the clowns.
[03:06:42.287 --> 03:06:50.310]  And, you know, I get people that get upset with me for saying I would vote for Trump again even after what he did with Operation Warp Speed.
[03:06:50.310 --> 03:06:53.351]  And I explain that I'm not a political purist.
[03:06:53.351 --> 03:06:59.974]  And so I look at things from a pragmatic standpoint where somebody's got to be the President of the United States.
[03:06:59.974 --> 03:07:00.774]  It's got to be somebody.
[03:07:02.171 --> 03:07:10.494]  And for all the imperfections and mistakes from Donald Trump, you know, he is still light years above of anybody else that I can tell.
[03:07:10.494 --> 03:07:23.678]  But I understand the person that says, you know, it's all broken, the system is broken, Washington is broken, and it just doesn't matter, and so I just want to, you know, live my life, be left alone, and not get involved in any of it.
[03:07:23.678 --> 03:07:25.479]  But here's the problem, folks.
[03:07:25.479 --> 03:07:27.240]  Here's the problem.
[03:07:27.240 --> 03:07:30.881]  And until you've really tried to become a
[03:07:32.586 --> 03:08:00.394]  A thorn in the side of the globalists until you've really tried to become a rod in the gears and mechanisms of the establishment, until you've really tried to thumb your nose and eye gouge the political establishment, you really don't understand how they come after you and how corrupt they are and what it costs in that effort.
[03:08:02.406 --> 03:08:25.974]  And so if we don't support the people that go through that, and we don't support the biggest names, no matter how egomaniacal they are, no matter how many mistakes they've made, hell, I'll even go to the bottom line of it all, no matter how many people they may have killed with their policies,
[03:08:30.601 --> 03:08:34.743]  I'm going to support the guy that's actually trying to change things in D.C.
[03:08:34.743 --> 03:08:39.225]  because here's what has to be understood.
[03:08:39.225 --> 03:08:42.567]  Things in this country are only going to get worse.
[03:08:42.567 --> 03:08:44.148]  They're never going to get better.
[03:08:44.148 --> 03:08:58.795]  And if we don't support the men, as imperfect as they might be, if we don't support the men and the women that are actually trying to change it and actually trying to step up and do something, if we don't support them and we let them get destroyed,
[03:08:59.588 --> 03:09:02.209]  Then the country's only going to continue to get worse.
[03:09:02.209 --> 03:09:10.451]  And you can live out your life as free and prosperous as you possibly can until you can't anymore.
[03:09:10.451 --> 03:09:12.892]  Until you're in the digital currency.
[03:09:12.892 --> 03:09:14.853]  Until you're in the social credit score.
[03:09:14.853 --> 03:09:17.013]  Until you're forced to wear a mask.
[03:09:17.013 --> 03:09:18.634]  Forced to take a vaccine.
[03:09:18.634 --> 03:09:25.336]  So you have to understand, that's what we're trying to stop here.
[03:09:25.336 --> 03:09:27.096]  Doesn't mean Donald Trump is perfect.
[03:09:27.096 --> 03:09:29.077]  Doesn't mean I even have to like Donald Trump.
[03:09:31.325 --> 03:09:39.967]  But if Donald Trump is a man who's truly trying to stand up and say, I see things are going the wrong direction, let's get them going the right direction.
[03:09:39.967 --> 03:09:41.548]  And then he gets destroyed because of that.
[03:09:41.548 --> 03:09:45.489]  And I say, well, he had a blemish on his face or I didn't like this.
[03:09:45.489 --> 03:09:50.210]  Well, then the next man that comes up and tries to destroy them, he's going to get destroyed.
[03:09:50.210 --> 03:09:54.751]  And then the next man is going to get destroyed until there's no other men left.
[03:09:54.751 --> 03:09:58.952]  And that's when the tyranny and the authoritarianism comes to your front door.
[03:10:01.058 --> 03:10:02.919]  I'm done ranting, I'm taking your calls.
[03:10:02.919 --> 03:10:04.340]  What is karma for Trump?
[03:10:04.340 --> 03:10:09.624]  Getting arrested and persecuted and thrown in jail like so many of his supporters were?
[03:10:09.624 --> 03:10:14.507]  Getting back into the White House and arresting the real criminals that are going after him?
[03:10:14.507 --> 03:10:15.748]  We're getting your response to this.
[03:10:15.748 --> 03:10:17.629]  We go to Christy in California.
[03:10:17.629 --> 03:10:18.870]  Christy, you're on the Alex Jones Show.
[03:10:18.870 --> 03:10:22.333]  Go ahead.
[03:10:22.333 --> 03:10:24.074]  Hi, thank you for taking the call.
[03:10:24.074 --> 03:10:25.855]  Long time listener, first time caller.
[03:10:27.773 --> 03:10:31.837]  I believe with my heart that karma for President Trump can only be good.
[03:10:31.837 --> 03:10:34.199]  He's done some things that are wrong.
[03:10:34.199 --> 03:10:35.200]  All of us have.
[03:10:35.200 --> 03:10:36.921]  That's the earthly side of us.
[03:10:36.921 --> 03:10:50.473]  But I believe the fact that he has a chance and that he has shown his sincerity, his loyalty, his patriotism, his giving, and also his karma will determine what becomes of Earth and America.
[03:10:50.473 --> 03:10:54.237]  And I believe his karma is going to be good because he's living right and he's doing the right thing.
[03:10:56.145 --> 03:10:59.730]  And you know, just to expand on this a little bit too, let's be clear here.
[03:10:59.730 --> 03:11:01.031]  We're not in a Trump cult.
[03:11:01.031 --> 03:11:03.274]  I'm not a Trump sycophant.
[03:11:03.274 --> 03:11:06.398]  And so, this is bigger than Trump.
[03:11:06.398 --> 03:11:10.723]  And this will go on past Trump, whatever that means.
[03:11:13.032 --> 03:11:17.094]  You know, I sit here and I never asked Trump for any help.
[03:11:17.094 --> 03:11:18.095]  Trump is not my daddy.
[03:11:18.095 --> 03:11:19.796]  I'm not electing a daddy.
[03:11:19.796 --> 03:11:21.597]  I'm not electing a big brother.
[03:11:21.597 --> 03:11:29.281]  So when I've gone through my political persecution and my arrests and all the stuff that I'm facing because I support Donald Trump, I don't look to Donald Trump for help.
[03:11:29.281 --> 03:11:30.782]  I don't blame Donald Trump.
[03:11:30.782 --> 03:11:33.164]  He's not my daddy.
[03:11:33.164 --> 03:11:34.925]  And I never asked Donald Trump for anything.
[03:11:37.046 --> 03:11:58.186]  If Trump has absolutely no understanding of that suffering, if Trump has no understanding truly of that, and he doesn't, he has no sympathy for those people rotting in the jail cells, and maybe he does, maybe he finally does, then it's going to take an experience for him to really understand what it's cost
[03:11:59.417 --> 03:12:16.080]  His supporters, and I would say at this point, what they owe him, or rather what he owes them, I would rather say what he owes them, because they, political prisoners, don't just need to be pardoned, and don't just need to be released.
[03:12:16.080 --> 03:12:20.621]  I mean, the people that put him in jail need to be investigated.
[03:12:20.621 --> 03:12:22.481]  They need to be getting medals of honor.
[03:12:22.481 --> 03:12:24.882]  They need to be recognized as heroes.
[03:12:26.986 --> 03:12:28.447]  I agree with everything you say.
[03:12:28.447 --> 03:12:35.813]  I live this in my thought every day about not just the status of America, but what happened on January 6th.
[03:12:35.813 --> 03:12:46.020]  But I also find with Trump, President Trump, that somehow he's here and he gets us all rallied together and he stirs stuff in Americans.
[03:12:46.020 --> 03:12:51.384]  That to me is worth something so great, no matter what the situation is right now.
[03:12:51.384 --> 03:12:52.845]  I love seeing that.
[03:12:52.845 --> 03:12:53.546]  I love hearing that.
[03:12:54.389 --> 03:12:55.950]  Nobody gets a crowd like Trump.
[03:12:55.950 --> 03:12:57.150]  There's no doubt about that.
[03:12:57.150 --> 03:12:58.631]  Nobody gets a crowd like Trump.
[03:12:58.631 --> 03:13:01.012]  Nobody gets the energy in a political event like Trump.
[03:13:01.012 --> 03:13:01.512]  Nobody.
[03:13:01.512 --> 03:13:02.833]  And it's not even close, actually.
[03:13:02.833 --> 03:13:05.034]  There's not even a second, third, fourth, fifth place.
[03:13:05.034 --> 03:13:06.274]  Nobody's even on the map.
[03:13:06.274 --> 03:13:08.095]  Christy, thanks for the call.
[03:13:08.095 --> 03:13:12.017]  Let's go to Minister B in Los Angeles.
[03:13:12.017 --> 03:13:13.137]  Minister B, you're on the air.
[03:13:13.137 --> 03:13:17.700]  Go ahead.
[03:13:17.700 --> 03:13:18.700]  We'll try this again.
[03:13:18.700 --> 03:13:20.321]  Minister B, you're on the air.
[03:13:20.321 --> 03:13:20.681]  Go ahead.
[03:13:22.079 --> 03:13:23.340]  There you go, you unmuted me.
[03:13:23.340 --> 03:13:24.600]  Thank you for taking my call.
[03:13:24.600 --> 03:13:27.362]  First time caller, long time listener.
[03:13:27.362 --> 03:13:34.045]  Based on your question, I've been waiting on this question, Owen, to be posed to the Alex Jones community for so long.
[03:13:34.045 --> 03:13:39.728]  Because it is a passage of scripture that says, Whatsoever a man soweth, that shall he also reap.
[03:13:39.728 --> 03:13:46.151]  Remember, when Trump came into office, the first thing he did was totally use his executive orders
[03:13:46.724 --> 03:13:53.048]  To totally wipe out everything Obama did instead of trying to embrace some of those and make them better.
[03:13:53.048 --> 03:13:59.973]  Second thing, Trump misrepresented that he was, he sold that he was going to drain the swamp and lock her up.
[03:13:59.973 --> 03:14:00.893]  Guess what?
[03:14:00.893 --> 03:14:02.114]  He didn't.
[03:14:02.114 --> 03:14:10.339]  So now since you didn't drain the swamp and locked him up, you have emboldened the swamp and made him more powerful.
[03:14:10.339 --> 03:14:13.882]  So to take, to take down a president, which is insane.
[03:14:13.882 --> 03:14:14.282]  So now,
[03:14:14.833 --> 03:14:16.494]  You can't touch them right now.
[03:14:16.494 --> 03:14:20.257]  Third thing, he started again on his campaign this time.
[03:14:20.257 --> 03:14:21.658]  We're going to drain the swamp.
[03:14:21.658 --> 03:14:32.305]  Listen, if a person looked to you, Owen, and lied to your face to say they're going to do something and had four years to do it, and they don't do it, I can't give them the credence.
[03:14:32.305 --> 03:14:35.947]  And listen, I voted for Trump twice, but listen, I didn't vote for Trump for who he was.
[03:14:36.542 --> 03:14:43.444]  I voted for Trump because when you get time in your busy schedule, you can go look at my prophetic friend that passed, Kim Clement.
[03:14:43.444 --> 03:14:52.748]  He gave a prophecy in 2007 and 2014 and said everything that God was going to do and wanted to do through Trump.
[03:14:52.748 --> 03:14:54.768]  90% of that, Trump did.
[03:14:54.768 --> 03:14:55.769]  It came to pass.
[03:14:55.769 --> 03:14:58.910]  The impeachment, impeachment, all that.
[03:14:58.910 --> 03:15:01.471]  The judges, the abortions, all that.
[03:15:01.471 --> 03:15:02.391]  He spoke that in 2007 and 2014.
[03:15:05.643 --> 03:15:09.625]  And so the aspect of it is Trump didn't do what he said he was going to do.
[03:15:09.625 --> 03:15:12.426]  So unfortunately, he's reaping what he sowed.
[03:15:12.426 --> 03:15:13.787]  He didn't drain the swamp.
[03:15:13.787 --> 03:15:15.087]  The swamp is going after him.
[03:15:15.087 --> 03:15:18.469]  And Alex had Alan Dershowitz on earlier today.
[03:15:18.469 --> 03:15:22.090]  He had the great constitutional lawyer Robert Barnes on.
[03:15:22.090 --> 03:15:33.455]  And what a lot of things they're missing, Owen, is they're assuming that this corrupt DA is going to give Trump a bail to get him out, to put him out on freedom.
[03:15:34.045 --> 03:15:35.946]  Look at the January 6th that you just said.
[03:15:35.946 --> 03:15:39.709]  They're locked up for over 800 days with no due process.
[03:15:39.709 --> 03:15:44.712]  That's how they're going to shut Trump down with these corrupt judges.
[03:15:44.712 --> 03:15:50.416]  I gotta tell you, when I went through my turning myself in, I was afraid for the same thing.
[03:15:50.416 --> 03:15:52.597]  And I think they actually planned on locking me up.
[03:15:52.597 --> 03:15:55.539]  I'd probably still be in jail if we didn't make a couple important moves before that.
[03:15:57.145 --> 03:16:09.671]  The first time I talked to you, you're either like on the border exposing the cartels and like coming under fire or you're on the streets of some American city hanging out with drug addicts and criminals and now you've gone to ground zero of a massive chemical spill.
[03:16:09.671 --> 03:16:11.432]  Are you addicted to the danger, Savannah?
[03:16:11.432 --> 03:16:13.193]  Have you ever considered that for a second?
[03:16:13.593 --> 03:16:16.414]  No, I'm addicted to helping my fellow Americans.
[03:16:16.414 --> 03:16:18.135]  I'm addicted to spreading the truth.
[03:16:18.135 --> 03:16:20.636]  And again, you know, I have InfoWars to thank for that.
[03:16:20.636 --> 03:16:24.998]  Looking back on the day, I was able to ask President Donald Trump two questions.
[03:16:24.998 --> 03:16:30.701]  I was so grateful because, you know, I truly was classically trained under Alex Jones and under the InfoWars team.
[03:16:30.701 --> 03:16:35.703]  And I really do credit that as to why I'm able to, you know, get these types of clips.
[03:16:35.703 --> 03:16:38.845]  Because Alex's whole mentality was, you know, go where the
[03:16:39.045 --> 03:16:40.986]  I'm a huge believer in information.
[03:16:40.986 --> 03:16:43.808]  I watch InfoWars every day and follow Alex Jones closely.
[03:16:43.808 --> 03:16:44.428]  You know why?
[03:16:44.428 --> 03:16:46.269]  He can put you ahead of the curve.
[03:16:46.269 --> 03:16:48.590]  And he's been demonized as a conspiracy theorist.
[03:17:08.120 --> 03:17:11.643]  Think about how frustrated we are if you've been awake for a year or two.
[03:17:11.643 --> 03:17:17.127]  Imagine being like an Alex Jones or those guys who've been awake for like decades.
[03:17:17.127 --> 03:17:20.109]  Alex has been right on for over a decade.
[03:17:20.109 --> 03:17:21.430]  This is reality.
[03:17:21.430 --> 03:17:23.112]  It's just pancakes.
[03:17:23.112 --> 03:17:25.734]  Truth is stranger than fiction.
[03:17:25.734 --> 03:17:27.835]  A revolution of peaceful information is coming.
[03:17:27.835 --> 03:17:30.637]  And when it comes time, you people are going to be brought to punish.
[03:17:30.637 --> 03:17:31.838]  You're lying to the public.
[03:17:31.838 --> 03:17:32.879]  It's disgusting.
[03:17:32.879 --> 03:17:34.981]  The media continues to misrepresent
[03:17:35.521 --> 03:17:36.261]  What I've said.
[03:17:36.261 --> 03:17:39.223]  He may be America's best known conspiracy theorist.
[03:17:39.223 --> 03:17:43.165]  Alex Jones has the largest audience in the country.
[03:17:43.165 --> 03:17:45.146]  Bigger than any of the networks.
[03:17:45.146 --> 03:17:47.167]  The biggest megaphone in the country.
[03:17:47.167 --> 03:17:50.408]  We're gonna get fired up about the real things!
[03:17:50.408 --> 03:17:55.190]  The things that matter!
[03:17:55.190 --> 03:17:56.191]  Burn in hell, New World Order.
[03:17:57.389 --> 03:18:05.595]  Ladies and gentlemen, this book, The Great Reset and the War for the World, is a historic book that documents the globalists, in their own words, plan for our future.
[03:18:05.595 --> 03:18:07.036]  That is a hellish future.
[03:18:07.036 --> 03:18:16.462]  Now you'll always, while they still allow books, I guess they're starting to ban them, be able to get an unsigned copy of The Great Reset and the War for the World at bookstores, Amazon, or Infowarsware.com.
[03:18:16.462 --> 03:18:22.046]  But you will never be able to get another signed copy of the book after the signed copies we got run out.
[03:18:22.046 --> 03:18:24.028]  And there's about a thousand left of them right now.
[03:18:24.608 --> 03:18:29.993]  So get your copy of The Great Reset and The War for the World, a signed copy, at Infowarsware.com.
[03:18:29.993 --> 03:18:33.936]  And there is a markup there because this is a fundraiser to keep us on the air.
[03:18:33.936 --> 03:18:39.821]  So you won't just have this historic memento and this powerful book, you'll also know that you help keep InfoWars on the air.
[03:18:39.821 --> 03:18:41.903]  I want to thank those of you that have gotten signed copies of the book.
[03:18:42.663 --> 03:18:43.244]  We're good to go.
[03:18:58.815 --> 03:19:08.517]  Humanity is in a fight for its very life, and InfoWars, for decades, has been at the very forefront of the fight for a pro-human future.
[03:19:08.517 --> 03:19:12.198]  We can't stay on air without your help, and I want to thank you all for your past support.
[03:19:12.198 --> 03:19:19.120]  And I want to encourage those of you that have never bought products at InfoWarsStore.com to go there and experience how amazing these products really are.
[03:19:19.680 --> 03:19:23.922]  Ultimate Bone Broth, finally sold out for over two years, back in stock.
[03:19:23.922 --> 03:19:26.684]  Real Red Pill Plus, simply amazing.
[03:19:26.684 --> 03:19:28.945]  Nitric, boosts what it does for your heart.
[03:19:28.945 --> 03:19:30.666]  Cardiovascular, critical.
[03:19:30.666 --> 03:19:38.730]  All these products, like Ultimate Krill Oil, Ultimate Fish Oil, Supermelt Vitality, they're all available and in stock, ready to ship to you, right down at InfoWarsTore.com.
[03:19:38.730 --> 03:19:47.655]  And the final 1,200 signed copies of my book, The Great Reset and the War for the World, and I'm not gonna sign anymore after that, are exclusively available at InfoWarsTore.com as well.
[03:19:47.875 --> 03:19:50.296]  In the last month, I got a little busy, so I didn't sign the books.
[03:19:50.296 --> 03:19:51.177]  We didn't have them for sale.
[03:19:51.177 --> 03:19:52.698]  But now, I signed the last books.
[03:19:52.698 --> 03:19:53.418]  You can get them right now.
[03:20:14.437 --> 03:20:20.844]  Alright, I can tell this is a hot subject today because my text messages are blowing up.
[03:20:21.658 --> 03:20:29.661]  With people that can't get through on the phone lines wanting to share their opinions on what will karma look like for Donald Trump?
[03:20:29.661 --> 03:20:32.642]  I think we've all had a taste of karma, have we not?
[03:20:32.642 --> 03:20:35.043]  So what is it going to look like for Donald Trump?
[03:20:35.043 --> 03:20:43.046]  Is this persecution part of it or will karma be him getting back into the White House and arresting the real criminals going after himself?
[03:20:43.046 --> 03:20:48.587]  Let's go back to the phone lines and we've got Marvin in Alabama.
[03:20:48.587 --> 03:20:49.828]  Marvin, you're on the air, go ahead.
[03:20:51.872 --> 03:20:53.153]  Hey Owen, good to talk to you.
[03:20:53.153 --> 03:21:00.076]  Yeah, the minister kind of stole a little bit of my thunder that, you know, Trump is kind of reaping what he sowed by not draining the swamp.
[03:21:00.076 --> 03:21:08.000]  But the bigger picture, the flip side of that, is that his karma and our karma are interlinked, and they're one and the same.
[03:21:08.000 --> 03:21:18.205]  And so, you know, if we're looking for a strongman to fix everything, well that's not how the United States of America, the Republic, is designed to be operated.
[03:21:18.205 --> 03:21:20.366]  So even if he could fix everything,
[03:21:20.854 --> 03:21:23.096]  That's not the way it should be done.
[03:21:23.096 --> 03:21:35.589]  And the big drawback with Trump is he's never ever one to say, you know, I'm going to follow the Constitution and that's going to be my solution for all of our problems.
[03:21:35.589 --> 03:21:41.475]  And then when the deep state or whoever decides they want to persecute him or us or whoever, you know,
[03:21:41.935 --> 03:21:50.603]  He could have, back when he was president, came and made a case to the people and used his bully pulpit and said, you know, for example, I'm not going to shut everything down.
[03:21:50.603 --> 03:21:52.744]  I'm going to get all the experts in the world.
[03:21:52.744 --> 03:21:54.946]  I'm not going to listen to this creep Fauci.
[03:21:54.946 --> 03:22:03.173]  I'm going to, you know, get some of these guys that are saying, hey, this, you know, we're being kind of tricked here and whatever.
[03:22:03.173 --> 03:22:04.254]  He didn't do any of that.
[03:22:04.254 --> 03:22:05.835]  He just went with the plan.
[03:22:05.835 --> 03:22:06.916]  He's more worried about his ego.
[03:22:08.437 --> 03:22:19.403]  The number one excuse I hear for why he went along with Warp Speed was so that he could get the credit and get re-elected because they were planning on delaying it so that he couldn't get credit for it.
[03:22:19.403 --> 03:22:21.204]  Well, that's not a good reason to do things.
[03:22:21.204 --> 03:22:23.525]  That's what gets you bad karma.
[03:22:23.525 --> 03:22:30.329]  And our bad karma comes from trying to rely on him or someone like him to fix everything for us.
[03:22:30.814 --> 03:22:31.995]  And that can never happen.
[03:22:31.995 --> 03:22:33.636]  That's not the way it's supposed to work.
[03:22:33.636 --> 03:22:41.341]  Well, let me just stop you right there because this is, this is truly, this is a huge crutch right here.
[03:22:41.341 --> 03:22:49.146]  Because I agree with what you're saying, but unfortunately it's just not practical.
[03:22:49.146 --> 03:22:51.007]  I mean, you gotta be pragmatic here.
[03:22:51.007 --> 03:22:59.173]  No, we do need a leader that's going to, I mean really, we do need a president that's going to get into the White House and actually
[03:23:00.390 --> 03:23:01.351]  Drain the swamp!
[03:23:01.351 --> 03:23:02.111]  Arrest the criminals!
[03:23:02.111 --> 03:23:07.354]  I mean, there should be hundreds of politicians and bureaucrats being arrested.
[03:23:07.354 --> 03:23:08.534]  Hundreds.
[03:23:08.534 --> 03:23:08.874]  Okay?
[03:23:08.874 --> 03:23:12.396]  And so, somebody's going to have to do that.
[03:23:12.396 --> 03:23:18.259]  And it's going to have to be a leader, and it's going to have to be a leader that gets other leaders, and they're going to have to do that.
[03:23:18.259 --> 03:23:19.700]  And so, I get the idea.
[03:23:19.700 --> 03:23:21.181]  It's we the people, but...
[03:23:21.721 --> 03:23:23.644]  What are you actually proposing?
[03:23:23.644 --> 03:23:25.467]  Our one way of doing it is voting.
[03:23:25.467 --> 03:23:29.694]  If we don't have the vote anymore, if we don't believe we have a vote anymore, okay, so what do we do next?
[03:23:29.694 --> 03:23:31.456]  I'm not a violent revolutionary.
[03:23:32.406 --> 03:23:35.027]  I'm not going to be the one doing anything like that.
[03:23:35.027 --> 03:23:43.171]  And if that is you, you know, good luck because you're going to get infiltrated by feds and you're going to get arrested before you even know what hit you.
[03:23:43.171 --> 03:23:45.492]  So I'm just pragmatic here.
[03:23:45.492 --> 03:23:52.936]  We've got to get somebody in there that actually wants to arrest the real criminals and change the situation in this country.
[03:23:52.936 --> 03:23:54.316]  I agree with you.
[03:23:54.316 --> 03:23:56.417]  We're not, it's not supposed to be that way.
[03:23:56.417 --> 03:23:57.598]  I agree with you.
[03:23:57.598 --> 03:24:01.440]  It's going to become, it's going to come down to we, the people, but we, the people are divided.
[03:24:02.105 --> 03:24:03.567]  We the people aren't getting along.
[03:24:03.567 --> 03:24:10.513]  We the people have a giant crevasse in between that is filled with this vitriol and these attacks and this hatred.
[03:24:10.513 --> 03:24:12.255]  So I don't know how that really works.
[03:24:12.255 --> 03:24:13.977]  So to me the most pragmatic solution is...
[03:24:15.089 --> 03:24:22.174]  If we can still have an election result that we can trust, get a leader in there who's actually going to drain the swamp, is that going to be Donald Trump?
[03:24:22.174 --> 03:24:23.976]  But it's absolutely right.
[03:24:23.976 --> 03:24:25.257]  I didn't make decisions for Trump.
[03:24:25.257 --> 03:24:27.659]  I'm not the one that decided to do Operation Warp Speed.
[03:24:27.659 --> 03:24:32.602]  I'm not the one that decided not to go after the criminals and put deep state people in my cabinet.
[03:24:32.602 --> 03:24:33.483]  That was Trump.
[03:24:33.483 --> 03:24:35.244]  And so is he reaping what he sows?
[03:24:35.244 --> 03:24:37.726]  That's what you're saying, Marvin.
[03:24:37.726 --> 03:24:43.671]  Well, yeah, but either we have a constitution and we're going to be a republic and try to follow it to the best of our ability.
[03:24:44.216 --> 03:24:45.297]  Or we're not.
[03:24:45.297 --> 03:24:51.120]  And the answer I'm getting from everybody that wants to just put strongman Trump in office is we're not.
[03:24:51.120 --> 03:24:56.844]  We're just going to elect him and let him solve the problem by being strongman, not following the Constitution.
[03:24:56.844 --> 03:24:59.466]  So Trump is not going to solve the problems.
[03:24:59.466 --> 03:25:01.026]  Trump is not going to solve the problems.
[03:25:01.026 --> 03:25:05.369]  Trump is going to give us the opportunity to solve our own problems.
[03:25:05.369 --> 03:25:07.170]  You see what I'm saying?
[03:25:07.170 --> 03:25:09.051]  Yeah, I don't think that's going to happen.
[03:25:09.051 --> 03:25:11.513]  If that's the case, then we could do it with or without Trump.
[03:25:13.187 --> 03:25:13.907]  So how?
[03:25:13.907 --> 03:25:15.228]  How are you going to do that?
[03:25:15.228 --> 03:25:16.669]  Let's say it's Trump or anybody else.
[03:25:16.669 --> 03:25:21.551]  How are any of us going to do it without a good leader?
[03:25:21.551 --> 03:25:26.754]  One mistake you made earlier, you said our only solution is we only have the vote.
[03:25:27.188 --> 03:25:32.170]  But we have non-cooperation, we have votes on the jury, jury nullification.
[03:25:32.170 --> 03:25:33.190]  We have a lot of things.
[03:25:33.190 --> 03:25:35.871]  We could be out in the streets protesting.
[03:25:35.871 --> 03:25:43.153]  If they want to force our hand and start arresting all of us, then we need to just do that because eventually... Hi, my name's Owen.
[03:25:43.153 --> 03:25:44.354]  I've been arrested three times.
[03:25:45.094 --> 03:25:48.895]  Okay, good, but that doesn't solve everyone's problem.
[03:25:48.895 --> 03:25:50.375]  We're not only talking about you, Owen.
[03:25:50.375 --> 03:25:52.456]  You asked me, what can we all do?
[03:25:52.456 --> 03:25:53.696]  Okay, so you got arrested.
[03:25:53.696 --> 03:25:54.777]  I applaud you for that.
[03:25:54.777 --> 03:25:55.657]  Good for you.
[03:25:55.657 --> 03:25:57.097]  Now, what can the rest of us do?
[03:25:57.097 --> 03:26:06.280]  Okay, if we have to get out in the streets, if we have to be jury nullifiers and nullify bullcrap charges and take every step we can, then that's what we have to do.
[03:26:06.280 --> 03:26:08.100]  But if we're relying only on Trump,
[03:26:08.695 --> 03:26:11.036]  If that's our solution, it's not going to be solved.
[03:26:11.036 --> 03:26:18.539]  Even if he gets in and fixes a bunch of stuff, then the next Biden or Obama gets elected, they're going to turn right around and undo it all, like you said earlier.
[03:26:18.539 --> 03:26:20.580]  Well, this is the great debate.
[03:26:20.580 --> 03:26:23.661]  This is the great debate, and this has been a great call.
[03:26:23.661 --> 03:26:25.882]  I just got to take other calls.
[03:26:25.882 --> 03:26:30.484]  But the reason why I point out that I've been arrested is because
[03:26:31.604 --> 03:26:36.730]  It's like, it's the same reason why I'm saying I never asked anything from Donald Trump.
[03:26:36.730 --> 03:26:39.894]  I'm not looking for Donald Trump to solve my problems.
[03:26:39.894 --> 03:26:41.697]  I'm not looking for anybody to solve my problems.
[03:26:41.697 --> 03:26:44.440]  I want to be able to solve my own problems.
[03:26:44.440 --> 03:26:45.641]  And so that's what I'm looking for.
[03:26:45.641 --> 03:26:48.665]  I'm looking for somebody to get the government off of my back.
[03:26:49.446 --> 03:26:59.856]  I just point that out because I've got a little more experience, let's say, or credibility discussing this because I've actually been in that situation.
[03:26:59.856 --> 03:27:08.124]  I mean, that's why we have Roger Stone on and that's why we have these other guests on that have already been through this and know what it's like.
[03:27:08.124 --> 03:27:08.585]  It's like this.
[03:27:10.481 --> 03:27:11.863]  Again, I don't care.
[03:27:11.863 --> 03:27:17.152]  I don't want a box full of autographed Trump hats to give out on my show, okay?
[03:27:17.152 --> 03:27:24.183]  But, it's like, Donald Trump will send somebody who's never been in the streets, who's never done anything,
[03:27:25.447 --> 03:27:33.229]  Other than go on a show and support him, and he'll send them a box full of hats, and they'll send them a bunch of paraphernalia, and they'll send them guests and everything.
[03:27:33.229 --> 03:27:34.050]  We never get that!
[03:27:34.050 --> 03:27:34.750]  I don't care!
[03:27:34.750 --> 03:27:35.630]  I don't even want that!
[03:27:35.630 --> 03:27:36.510]  That's not what I'm doing this for.
[03:27:36.510 --> 03:27:38.331]  I'm not doing this for free memorabilia.
[03:27:38.331 --> 03:27:40.292]  We're not doing this for fortune and fame.
[03:27:40.292 --> 03:27:41.112]  So that's what I'm saying is...
[03:27:42.182 --> 03:27:52.809]  When I can sit here and say, despite what I've gone through for Trump, and despite all the mistakes Trump has made, I still understand why Trump is the most important person to get into the White House.
[03:27:52.809 --> 03:27:54.470]  Now, I feel that way right now.
[03:27:54.470 --> 03:27:55.471]  That could easily change.
[03:27:55.471 --> 03:28:01.274]  Maybe Rand Paul makes an emergence here if he goes after and arrests Fauci.
[03:28:01.274 --> 03:28:04.296]  And maybe it's Rand Paul's time.
[03:28:04.296 --> 03:28:06.898]  Maybe there's another dark horse that might come out of nowhere.
[03:28:06.898 --> 03:28:11.061]  Maybe Vivek continues to improve and say things that I do and like.
[03:28:12.145 --> 03:28:17.792]  But there's no doubt the fear that they have of Donald Trump is legitimate.
[03:28:17.792 --> 03:28:22.297]  And you can sit here and say he let them off the hook and he didn't do anything and I completely agree, but...
[03:28:23.470 --> 03:28:34.812]  I think the fear proves that he's his own actor, he's not controlled, he's not being told what to do, he might have bad influences around him, but clearly the deep state fears him.
[03:28:34.812 --> 03:28:47.995]  I mean, folks, they're going to arrest him over a charge that is past the statute of limitations and has two legal documents signed as evidence proving he's innocent.
[03:28:47.995 --> 03:28:51.876]  So, I mean, they're really totally persecuting him illegitimately.
[03:28:51.876 --> 03:28:52.476]  I mean, that's real.
[03:28:57.577 --> 03:28:59.798]  I'm a huge believer in information.
[03:28:59.798 --> 03:29:02.978]  I watch InfoWars every day and follow Alex Jones closely.
[03:29:02.978 --> 03:29:03.539]  You know why?
[03:29:03.539 --> 03:29:05.019]  He can put you ahead of the curve.
[03:29:05.019 --> 03:29:08.640]  And he's been demonized as a conspiracy theorist.
[03:29:08.640 --> 03:29:11.861]  Think about how frustrated we are if you've been awake for a year or two.
[03:29:11.861 --> 03:29:15.582]  Imagine being like an Alex Jones or those guys who've been awake for like decades.
[03:29:17.725 --> 03:29:20.629]  Alex has been right on for over a decade.
[03:29:20.629 --> 03:29:21.970]  This is reality.
[03:29:21.970 --> 03:29:23.332]  It's just pain.
[03:29:23.332 --> 03:29:26.215]  And truth is stranger than fiction.
[03:29:26.215 --> 03:29:28.338]  The revolution of peaceful information is coming.
