[00:00:00.970 --> 00:00:02.570]  150 billion for Ukraine.
[02:23:57.283 --> 02:24:09.132]  And this guy was actually explaining that East Germany had a number of spies in high ranking positions in NATO.
[02:24:10.073 --> 02:24:12.955]  I don't know if anybody remembers the Guillaume affair.
[02:24:14.016 --> 02:24:15.998]  One of the counselors was Counselor Brand.
[02:24:16.878 --> 02:24:24.288]   His personal private secretary was actually a spy for the Stasi.
[02:24:24.288 --> 02:24:32.547]   So everything what Counselor Brandt get in his hands was written before or read before by a spy of the Stasi.
[02:24:32.547 --> 02:24:37.248]   So based on that, and then there were several in the NATO headquarters,
[02:24:37.248 --> 02:24:40.388]  women which were used as honey traps, right?
[02:24:40.388 --> 02:24:42.528]  Right.
[02:24:42.528 --> 02:24:49.807]   And he explained, we will know at least two days before NATO attacks the Warsaw Pact,
[02:24:49.807 --> 02:24:52.687]  we will know that and we will attack before.
[02:24:52.495 --> 02:25:05.544]  And our main objective is to get to the Fulda Gap, which is a low-level area between two hillsides near the city of Fulda in West Germany.
[02:25:06.644 --> 02:25:23.597]   And we have to go through there and have to keep that Fulda Gap open so that the Soviet army forces which come after us can rush through and I don't think we can do that because I'm working at the Fleet here, right?
[02:25:23.617 --> 02:25:27.118]  All our tracks and tanks and all that we have are breaking down every time.
[02:25:26.938 --> 02:25:36.617]   NATO forces from America. And so one of our soldiers said, "Hey, sir, I don't think we
[02:25:36.617 --> 02:25:41.577]  can do that because I'm working at the fleet here, right?
[02:25:41.577 --> 02:25:47.757]   All our tracks and tanks and all that we have are breaking down every time. We have more
[02:25:47.757 --> 02:25:54.030]   defect equipment than we have So how do you think we can get there and do that?
[02:25:56.711 --> 02:26:04.154]  And the mayor answered, if we are not able to open and keep open that Fulda Gap, we'll just get nuked.
[02:26:06.155 --> 02:26:07.715]  And there was silence in that room.
[02:26:08.115 --> 02:26:09.956]  I mean, it was just unbelievable.
[02:26:10.976 --> 02:26:18.921]   So that was that was actually an official communist strategy, military Uh, what do you call that?
[02:26:19.181 --> 02:26:20.062]  Policy or whatever.
[02:26:20.962 --> 02:26:23.823]  That was in their doctrine, in their military doctrine.
[02:26:24.123 --> 02:26:34.386]  If we cannot reach that goal, that would be nuked and then the Russian troops, or Soviet troops with their nuclear safety equipment, they could go through.
[02:26:34.446 --> 02:26:35.967]  We didn't have that stuff, but they had.
[02:26:37.047 --> 02:26:38.708]  So that was the shocker for me.
[02:26:40.310 --> 02:26:42.112]  We're still using the nuke threat right now.
[02:26:42.272 --> 02:26:44.114]  Everything's always ramping up to nukes.
[02:26:44.414 --> 02:26:49.839]  I looked at a news clip from six years ago that I played on my show and it was, we're about to get nuked.
[02:26:49.879 --> 02:26:51.181]  It's about to be World War III.
[02:26:51.221 --> 02:26:52.382]  There's always the threat there.
[02:26:52.402 --> 02:26:54.364]  It's a very communistic, globalist threat.
[02:26:54.864 --> 02:26:58.608]  And everybody, everybody freaks out over it every five seconds.
[02:26:58.628 --> 02:27:01.651]  Like we're like, like, like nukes our biggest problem at this point.
[02:27:01.751 --> 02:27:03.292]  I think we have bigger fish to fry.
[02:27:03.312 --> 02:27:04.814]  I almost welcome a nuke at this point.
[02:27:05.439 --> 02:27:18.786]  And so, when we talk about your story, when they finally hit your personal life, when they were telling you what kind of girl you could marry, what goes on in the bedroom, every single facet of your personal life, that's when you began to question.
[02:27:18.846 --> 02:27:22.368]  That's when you began to say, I'm sorry, am I involved in something here?
[02:27:22.888 --> 02:27:27.170]   Because at that point, you had been pretty successfully brainwashed Yes.
[02:27:27.009 --> 02:27:29.089]  into the Stasi way, right?
[02:27:29.089 --> 02:27:32.449]   We call them Karens over here, but a lot of people telling on everybody.
[02:27:32.449 --> 02:27:36.129]  And you started realizing they were in your private life.
[02:27:36.129 --> 02:27:39.009]  That's when it kind of hit you, didn't it?
[02:27:39.009 --> 02:27:39.829]  Yes.
[02:27:39.829 --> 02:27:44.888]   And then, I mean, there were a number of issues and we don't have the time to explain that all.
[02:27:44.888 --> 02:27:47.969]  So that's the reason why people should buy the book, right?
[02:27:47.969 --> 02:27:49.649]  Freedom's Nightmare.
[02:27:49.649 --> 02:27:56.368]   That nuking, and he expressed it like he is going to buy a cup of coffee, right?
[02:27:56.368 --> 02:27:57.368]  I love you, Luke.
[02:27:57.368 --> 02:28:07.368]  [BLANK_AUDIO]
[02:27:58.648 --> 02:27:59.569]  That was enough for me.
[02:27:59.609 --> 02:28:00.830]  That was the breaking point.
[02:28:01.070 --> 02:28:03.031]  And then I run into that girl.
[02:28:04.132 --> 02:28:14.399]  My mom was in the hospital and next to her in the bed, there was somebody laying there, which I couldn't see anything, but just a long blonde braid, right?
[02:28:14.599 --> 02:28:16.220]  Down on the blanket.
[02:28:17.253 --> 02:28:18.614]  And I asked my mom, who's that?
[02:28:18.715 --> 02:28:19.695]  Oh, she said, that's a girl.
[02:28:19.735 --> 02:28:25.020]  She had an accident and she had a concussion and she needs to lay for 10 days or so.
[02:28:25.040 --> 02:28:32.147]  And then a couple of weeks later or so, I was at home again and was sitting in our living room reading.
[02:28:32.167 --> 02:28:36.932]  My mom was in the kitchen cooking and suddenly she yells, Harold, Harold, come in here.
[02:28:37.132 --> 02:28:38.033]  Christiana is here.
[02:28:38.613 --> 02:28:40.475]  And I was, Christiana?
[02:28:40.935 --> 02:28:42.157]  What you're supposed to marry.
[02:28:42.177 --> 02:28:47.725]   We're going to have We're going to have to go to a break, but that, you know, everybody, everything was picked for you.
[02:28:47.785 --> 02:28:55.350]  Everything was decided for you, but you still had that freedom spark in your soul that says something's not right here and started looking at things a little differently.
[02:28:55.370 --> 02:28:56.010]  We'll be right back.
[02:28:56.030 --> 02:28:57.792]  I'll be right back with Harold Zeger.
[02:28:57.892 --> 02:28:59.513]  Freedom's Nightmare on Amazon.
[02:28:59.633 --> 02:29:02.195]  Freedom's Nightmare is the book you must get.
[02:29:02.255 --> 02:29:02.815]  Be right back.
[02:29:03.115 --> 02:29:04.516]  Back here with you on the Alex Jones Show.
[02:29:04.576 --> 02:29:06.898]  I'm Kate Dally, your guest host from the Kate Dally Show.
[02:29:07.318 --> 02:29:08.098]  katedallyradio.com.
[02:29:09.239 --> 02:29:11.021]  My guest is Harold Zieger.
[02:29:11.081 --> 02:29:12.682]  He wrote the book, Freedom's Nightmare.
[02:29:13.083 --> 02:29:25.013]  And let me tell you, it really changed the way I looked at the populace and what we could do as they eradicated East Germany, how the populace did that, how they exposed the infiltrators within their own groups.
[02:29:25.669 --> 02:29:29.871]  Very important thing to understand how they did this because they were under full tyranny.
[02:29:30.151 --> 02:29:31.191]  They were under full tyranny.
[02:29:31.231 --> 02:29:32.071]  We have to remember that.
[02:29:32.472 --> 02:29:34.312]  Remember when I talked about the airports and the dogs?
[02:29:34.712 --> 02:29:38.894]  When they added that measure for the dogs, there is no reason to add that.
[02:29:38.974 --> 02:29:42.615]  There was no reason to suddenly have drug dogs, bomb dogs.
[02:29:43.336 --> 02:29:52.399]  There was no factor that said that that had to happen because of the fact that they can just sit there and say, well, it's another scare tactic and we're all for it and we can add it.
[02:29:52.459 --> 02:29:55.340]  We never have to explain to the people why because the people would never ask.
[02:29:56.072 --> 02:29:57.013]  People don't ask why.
[02:29:57.653 --> 02:29:58.834]  And that's our problem.
[02:29:58.975 --> 02:30:07.001]  Jordan Peterson talked about Solzhenitsyn and said, you know, in the Gulag, he said, you know, I had to figure what my part of being in this Gulag was.
[02:30:07.041 --> 02:30:12.246]  I had to finally wrestle with the fact that I put myself there because I allowed all these things to happen.
[02:30:13.141 --> 02:30:14.342]  And it really is.
[02:30:14.722 --> 02:30:26.770]  Harold is a force of nature because Harold, as he talks about East Germany and he's seeing America fall, as he sees this country disappearing and what he grew up in, that is happening all over now.
[02:30:27.390 --> 02:30:29.632]  In fact, in East Germany, they had files.
[02:30:29.892 --> 02:30:37.737]  They had file cabinets on people from the people that would turn them in and snitch on them and the Karens, you know, the tell on them.
[02:30:38.357 --> 02:30:40.318]  And so, this is such an interesting story.
[02:30:40.418 --> 02:30:44.060]  Harold joins me, Harold Zieger, and he speaks all over the country.
[02:30:44.100 --> 02:30:45.661]  An amazing, amazing author.
[02:30:45.741 --> 02:30:47.422]  Freedom's Nightmare is the book, you must get it.
[02:30:47.462 --> 02:30:49.003]  It's at bookstores plus Amazon.
[02:30:49.483 --> 02:30:53.165]  And let me tell you, finish your story about the girl real quick, Harold.
[02:30:53.825 --> 02:30:58.127]  Your mom, your mother said the girl with the long braid was there to see you.
[02:30:58.147 --> 02:31:00.848]  Yeah, at first I had no idea who that is.
[02:31:00.929 --> 02:31:08.593]   So, to make the story short, we started dating a year later, we married, and We are married now for 46 years.
[02:31:09.414 --> 02:31:10.795]  Now she was a Christian.
[02:31:10.875 --> 02:31:12.656]  She grew up in a Christian home.
[02:31:12.676 --> 02:31:20.082]  And that was so that when we started dating, that was for me a complete contrary world.
[02:31:20.203 --> 02:31:21.043]  I had no idea.
[02:31:21.303 --> 02:31:28.956]   I mean, I was, I was, What I usually say, God tapped me a couple of times on my shoulder, right?
[02:31:29.516 --> 02:31:32.157]  And one of that was a very impressive situation.
[02:31:32.177 --> 02:31:34.038]  We were in a city, Dessau.
[02:31:34.838 --> 02:31:37.679]  I was about, I think I was in seventh grade high school.
[02:31:38.799 --> 02:31:49.182]  And we went Wednesdays to Sunday school because we were in a Lutheran childhood.
[02:31:49.302 --> 02:31:55.969]   My mom was in Hospital, and so we were in a Lutheran childhood.
[02:31:56.569 --> 02:32:00.570]  And they sent us to Sunday school on Wednesdays, right, after school.
[02:32:00.910 --> 02:32:07.231]  And that little church where we went there, that was bombed, firebombed during World War II, and the whole church burned out.
[02:32:07.331 --> 02:32:16.713]  But the life-size Christ figure on the front side of the church, starved out of a big tree, was not burned.
[02:32:17.313 --> 02:32:21.234]  The fire stopped right underneath the feet of that Christian figure.
[02:32:21.992 --> 02:32:26.975]  And I was, I mean, it was for me, it was something I said, this is horrible.
[02:32:27.555 --> 02:32:28.556]  You can't believe this.
[02:32:28.656 --> 02:32:32.599]  This is this is shocking, because it didn't fit with what I had learned.
[02:32:33.819 --> 02:32:40.824]  So years later, then I get in touch with this with this girl, and we're talking about things like that.
[02:32:40.984 --> 02:32:43.785]  And she said, Why do you think that happened?
[02:32:44.426 --> 02:32:48.328]  You are an engineer, you should be able to think about it, you should see through it.
[02:32:49.509 --> 02:32:51.430]  You have an analytic mind, use it.
[02:32:52.028 --> 02:32:52.248]  Right?
[02:32:52.788 --> 02:32:53.048]  Right.
[02:32:53.068 --> 02:32:57.769]  So I bought a Bible, which is still available in East Germany.
[02:32:57.969 --> 02:33:00.570]  They couldn't really put everything out.
[02:33:01.530 --> 02:33:03.770]  And because of West Germany was there, right?
[02:33:04.451 --> 02:33:08.691]  That was always that counterpart where we had to play games with.
[02:33:09.512 --> 02:33:13.973]  So I bought the Bible, went out on a sea trip as an engineer on a fishing trial.
[02:33:13.993 --> 02:33:15.613]  It was usually two to three months.
[02:33:16.333 --> 02:33:17.973]  And I read the Bible cover to cover.
[02:33:18.874 --> 02:33:20.874]  And when we went out, this was March.
[02:33:22.091 --> 02:33:23.192]  Everything gray and gray.
[02:33:23.372 --> 02:33:31.358]  We come back in end of May, and everything is blooming and flowering and green and red and yellow and colors.
[02:33:31.878 --> 02:33:37.903]  And I was standing there on the railing on that on that traveler and I said, this can't happen by chance.
[02:33:39.244 --> 02:33:43.707]  The first time I realized that there must be something more behind it.
[02:33:44.308 --> 02:33:46.189]  So that's why I'm more and more into it.
[02:33:46.790 --> 02:33:49.612]  And two years later, I turned my life to Christ.
[02:33:50.345 --> 02:33:52.906]  So yeah, that is how I changed.
[02:33:53.986 --> 02:34:00.028]  So tell me how, just tell me how the small groups started, the Patriot groups.
[02:34:00.068 --> 02:34:04.230]  Patriots were developing, they were eager to come together.
[02:34:04.250 --> 02:34:05.790]  They wanted this to stop.
[02:34:05.830 --> 02:34:06.490]  This is prior to 1990.
[02:34:06.710 --> 02:34:08.611]  This is in the 80s.
[02:34:09.051 --> 02:34:10.191]  What started happening?
[02:34:10.211 --> 02:34:11.092]  What did you start noticing?
[02:34:11.132 --> 02:34:12.772]  People started feeling the same way you did?
[02:34:12.792 --> 02:34:27.473]   So when I publicly declared that I'm a Christian, I was removed from my job because they thought I might use radio systems to spy and send messages out or whatever.
[02:34:27.653 --> 02:34:32.777]  Totally stupid, but that was their... They always... This is what the Americans don't understand.
[02:34:33.197 --> 02:34:35.719]  You are always considered an enemy.
[02:34:37.621 --> 02:34:40.363]  If you are not one of them, you are an enemy.
[02:34:41.127 --> 02:34:42.088]  That's always the case.
[02:34:42.969 --> 02:34:50.656]  If you are not one of the controlled group, you are a controlled group.
[02:34:50.816 --> 02:34:52.497]  That's what you always have to consider.
[02:34:52.738 --> 02:34:54.359]  There's nothing in between.
[02:34:55.700 --> 02:34:57.402]  You're either an enemy or a friend.
[02:34:58.268 --> 02:35:02.091]  So these groups started kind of forming, the small groups, right?
[02:35:02.131 --> 02:35:03.792]  Like who you could count on, your friends?
[02:35:04.653 --> 02:35:09.376]  There were a couple of people which I knew, which I trusted with my life.
[02:35:09.536 --> 02:35:11.538]  And that is the basic you have to look at.
[02:35:12.198 --> 02:35:20.704]  You have to be really, look at them and say, okay, if it comes to the point, he would sacrifice his life for me.
[02:35:20.744 --> 02:35:27.460]   Like Jesus Christ said, your best friend, or if you want to show your friendship, Is when you sacrifice your life, right?
[02:35:27.760 --> 02:35:28.300]  For your friends.
[02:35:29.341 --> 02:35:37.828]  And with these guys, we started to discuss, and then one of them said, hey, I know some people over there who think like we.
[02:35:38.889 --> 02:35:40.090]  Okay, go ahead, talk to them.
[02:35:40.690 --> 02:35:43.032]  And then the next one, and the next one, and the next one.
[02:35:43.072 --> 02:35:51.199]  So our group were six people, which we meet once a week as a so-called youth group in a church.
[02:35:52.745 --> 02:35:57.028]  Without the pastor, because the pastors were all, they were all compromised.
[02:35:57.168 --> 02:36:00.630]  They were all paid off, they were all reporting about their church members.
[02:36:00.710 --> 02:36:13.937]  I have a book that is about, I don't know what, six inches thick, which lists all of the compromised pastors and bishops of the Lutheran Church in East Germany during the Stasi time.
[02:36:15.470 --> 02:36:22.072]  What we did was, we met there, we used their facility, but we were just we.
[02:36:23.013 --> 02:36:41.299]  And so we reached out, every single one of us reached out to one or another guy we knew, just one, and said, hey, we have a group, we don't tell you who it is, but you go ahead and build a group like this, with people you can trust with your life.
[02:36:42.296 --> 02:36:44.196]  And that was a long time process.
[02:36:44.796 --> 02:36:49.197]  When I left East Germany in 1985, that was still growing.
[02:36:49.657 --> 02:37:05.420]  There were still not thousands or 10,000 people in those groups, but there were groups all over the place, small groups, five, six, eight, maximum 10 people, where each of them knew another group, but nobody knew all of the groups.
[02:37:05.840 --> 02:37:15.474]   That was the key to make sure that if a group gets sprung, It's only that group, right?
[02:37:15.634 --> 02:37:17.457]  So, now how to make sure that...
[02:37:18.266 --> 02:37:26.028]  These, um, which we called rubber ears that were despised for the stars he paid, you know, for report.
[02:37:26.048 --> 02:37:28.549]  Harold, we're going to come right back to you right after the break.
[02:37:28.569 --> 02:37:37.531]  Everyone wants to know how you expose the infiltrators within the group, because as we know, there's always 15 FBI agents dressed as patriots to one patriot.
[02:37:37.791 --> 02:37:39.372]  We're going to find that out with Harold Zeger.
[02:37:39.412 --> 02:37:40.592]  The book is Freedom's Nightmare.
[02:37:40.632 --> 02:37:42.993]  You must get this book because you got to know the details.
[02:37:43.573 --> 02:37:45.474]  Be right back on the Alex Jones Show.
[02:37:45.855 --> 02:37:47.295]  Back here with you on the Alex Jones Show.
[02:37:47.355 --> 02:37:51.138]  I'm Kate Dally, your guest host from the Kate Dally Show, katedallyradio.com.
[02:37:51.458 --> 02:37:52.739]  My guest is Harold Zeger.
[02:37:52.959 --> 02:38:01.764]  What a fascinating guest, because having lived through this sort of tyranny, this is such a big help to us to know how to fight it right now.
[02:38:01.924 --> 02:38:06.487]  And we should be fighting it right now before it gets as bad as East Germany was.
[02:38:08.288 --> 02:38:09.009]  And we really do.
[02:38:09.029 --> 02:38:10.250]  We're right in the throes of that.
[02:38:10.450 --> 02:38:12.531]  So we need to understand kind of where we're at right now.
[02:38:13.444 --> 02:38:42.149]  Harold, come back and talk to us about, so these small groups started, you would start with maybe under 10 people, you would meet often, and these were people you trusted with your life, and then you would tell them, okay, meet with the people that you trust with your life, and these small groups started, and then a person from each group would then know another group, but the whole group didn't know another group, just one person, so that it was very kind of compartmentalized, just like they do to us, everything is compartmentalized.
[02:38:42.749 --> 02:38:53.019]  But in this way, the Patriots were able to expand the network by knowing that they were connected, they knew of each other, but they didn't know exact things.
[02:38:53.279 --> 02:38:57.403]  But these were small groups, kind of like spidering out, these very, very small groups.
[02:38:57.863 --> 02:39:01.426]  And by the way, you can get a signed copy of Harold's book.
[02:39:01.446 --> 02:39:04.569]  He'll actually sign it for you and you can pay him directly.
[02:39:05.009 --> 02:39:07.732]  And what is the email address that they do for that, Harold?
[02:39:08.964 --> 02:39:13.005]  I already got one from our session yesterday.
[02:39:13.445 --> 02:39:20.487]  So, send me an email to hzieger, Z-I-E-G-E-R, at portalmail.com.
[02:39:21.447 --> 02:39:25.828]  And as soon as I get the books in my hand, I just ordered a bunch of them.
[02:39:26.008 --> 02:39:26.888]  I don't have them yet.
[02:39:27.628 --> 02:39:31.469]  As soon as I get them in my hand, I will let you know what you have to pay.
[02:39:31.629 --> 02:39:36.830]  It's probably a few dollars less than you pay at Amazon, because Amazon always puts a ton off.
[02:39:37.942 --> 02:39:40.123]  Because they're also poor, right?
[02:39:40.163 --> 02:39:50.371]  They're also poor, they need to get money.
[02:39:50.391 --> 02:40:00.700]  So tell us a bit about these spidering groups and then how you got rid of the infiltrators because the FBI and the CIA are involved in just about every event, we know this, right?
[02:40:00.920 --> 02:40:04.823]  And they're usually there more in spades than actual patriots themselves.
[02:40:05.287 --> 02:40:07.994]  So tell us how you expose them, because I think this is so brilliant.
[02:40:09.658 --> 02:40:13.448]  So first of all, we coined that word spider.
[02:40:14.335 --> 02:40:49.930]   The system spider plant system for it because the spider plant is actually a very good example for how these groups grew out right the spider plant puts a puts a rope out touch the ground and then grows roots there and then from there it goes again so that is how we that is how we grew to get the infiltrators out so we called them rubber ear because you know they were that was just The nickname for these people who reported to the Stasi about even brothers and sisters and they reported about you.
[02:40:50.591 --> 02:40:52.294]  I can't go into that.
[02:40:52.374 --> 02:40:53.295]  We don't have the time.
[02:40:53.696 --> 02:40:55.158]  Anyway, so to filter them out.
[02:40:55.919 --> 02:40:59.380]  We would create fake events.
[02:40:59.720 --> 02:41:19.388]  We would say, for example, I would go into the collective and I would say, hey, tomorrow or on Friday, we will meet at the restaurant XYZ and we will all have a huge sign in hand and we'll say, unite Germany, unite Germany or something like that.
[02:41:20.320 --> 02:41:31.044]  And the only guys who would go there were the guys who were the spies, because everyone in the core groups knew that that is stupid to do it.
[02:41:31.284 --> 02:41:34.765]  You get arrested and you get jailed for nothing achieved.
[02:41:34.825 --> 02:41:36.205]  You wouldn't achieve anything, right?
[02:41:36.766 --> 02:41:43.928]  But these people, they thought they have something and they would go there and the Stasi would wait for all of us and nothing happened.
[02:41:44.688 --> 02:41:49.470]  But the Stasi knew who was the reporters, who were the spies, so they didn't arrest them.
[02:41:50.367 --> 02:41:55.149]  And that was for us was, okay, now we know who you are, right?
[02:41:55.990 --> 02:41:56.750]  Don't come back.
[02:41:58.031 --> 02:41:58.711]  I love this.
[02:41:58.771 --> 02:41:59.251]  I love this.
[02:42:01.332 --> 02:42:08.696]  I love this because, you know, you're banking on the fact that these people don't have fear because they know if they get arrested, they're going to be let go.
[02:42:09.460 --> 02:42:16.482]  So there's something about that that they're willing to toy with that actually exposes them and outs them because they know nothing's gonna happen to them.
[02:42:16.642 --> 02:42:20.764]  You would be in fear doing that and you would know that there would be no upside of it.
[02:42:21.124 --> 02:42:22.985]  So there's no reason for you to go do that.
[02:42:23.385 --> 02:42:37.953]   But they would think that while they were proving themselves to you in their mindset, But they also have no fear and that's something to detect from these people because they truly don't have any fear about getting caught and usually released within 24 hours.
[02:42:38.353 --> 02:42:49.641]  And so that's another great way to understand because I know of people in this situation that they posed as patriots, they were released within 24 hours and then they just said, oh I was just released and I don't know why.
[02:42:49.661 --> 02:42:52.603]  No, I know exactly why because they're infiltrators.
[02:42:52.843 --> 02:42:57.246]  So I love that you guys did this and were smart enough to understand how their mindset works.
[02:42:57.566 --> 02:43:00.267]  Because they would not have been afraid and that's something to pick up on.
[02:43:00.287 --> 02:43:01.028]  They would have showed.
[02:43:01.328 --> 02:43:01.968]  I love this.
[02:43:02.028 --> 02:43:04.149]  This is great.
[02:43:04.289 --> 02:43:06.971]  There was another thing which we very well knew.
[02:43:07.751 --> 02:43:15.875]  When you walk down the road and suddenly a number of people would start a brawl, right?
[02:43:16.395 --> 02:43:16.915]  In public.
[02:43:17.295 --> 02:43:23.759]  They would have beer bottles in hand and they would yell at each other and then they would start to brawl.
[02:43:24.199 --> 02:43:26.640]  You stood away as far as you could.
[02:43:27.697 --> 02:43:32.338]  Because that was one of the tricks the Stasi used to lure yours.
[02:43:32.818 --> 02:43:34.579]  I mean, they had your eyes on you, right?
[02:43:34.639 --> 02:43:36.599]  They knew you were not one of them.
[02:43:36.699 --> 02:43:38.120]  So they had their eyes on you.
[02:43:38.180 --> 02:43:39.060]  They monitored you.
[02:43:39.720 --> 02:43:45.942]  If you got close enough to that group, which were creating some uproar or some stirrup, right?
[02:43:45.962 --> 02:43:50.203]  If you were close enough, they would catch the whole group, including you.
[02:43:51.472 --> 02:44:03.417]  And they would sentence you for creating public uproar, two or three years to jail, and all the other people which... January 6th is a perfect example of this, right?
[02:44:03.817 --> 02:44:05.158]  Exactly.
[02:44:05.218 --> 02:44:06.298]  That's why I brought that up.
[02:44:07.038 --> 02:44:08.379]  It's the perfect example.
[02:44:08.959 --> 02:44:17.963]  You get initiated to do something which is obviously not furthering your agenda.
[02:44:18.542 --> 02:44:19.363]  You do something.
[02:44:19.643 --> 02:44:22.385]  And mostly in an emotional situation, right?
[02:44:22.425 --> 02:44:25.247]  People get emotional and, yeah, that's all right.
[02:44:25.307 --> 02:44:26.508]  We have a right to do this.
[02:44:26.889 --> 02:44:28.109]  There is nothing wrong with it.
[02:44:28.630 --> 02:44:29.070]  All right.
[02:44:29.471 --> 02:44:30.311]  It's all correct.
[02:44:30.872 --> 02:44:32.893]  But these people are just waiting for it.
[02:44:33.634 --> 02:44:37.196]  And, you know, the rope is already produced.
[02:44:37.216 --> 02:44:40.559]  That is what we always have to think about.
[02:44:41.300 --> 02:44:48.125]  So using these small groups to organize a network country nationwide is the first step.
[02:44:48.863 --> 02:44:59.142]  It takes time, and as I said, I never harvested the results of that because in 1985 I was able to leave East Germany on a legal basis.
[02:45:01.514 --> 02:45:05.977]  At least the groups were already starting to connect throughout the cities.
[02:45:06.057 --> 02:45:11.401]  I think that when I left in 85, there were probably 4,000 small groups existing.
[02:45:11.901 --> 02:45:15.083]  And that is just an estimation because we had no real numbers.
[02:45:15.624 --> 02:45:21.308]  You couldn't write a letter to somebody, let's say, in Berlin and say, hey, guy, what is our group doing?
[02:45:21.328 --> 02:45:22.288]  Can we meet somewhere?
[02:45:22.328 --> 02:45:23.109]  So you couldn't do that.
[02:45:23.529 --> 02:45:27.672]  That letter would be open and read by people who had no business to do that.
[02:45:28.488 --> 02:45:30.989]  And you would be, you would be screwed, right?
[02:45:31.609 --> 02:45:34.070]  So the same was with the phone system.
[02:45:34.510 --> 02:45:37.851]  The phone system was probably on the stand of 19, I don't know, 33 or so, or 34.
[02:45:37.911 --> 02:45:38.712]  So you couldn't use that easily.
[02:45:38.531 --> 02:45:48.130]   or so, I'm 34. So you couldn't use that easily. I mean, I had reports on my phone, was monitored
[02:45:48.130 --> 02:45:53.931]   for I think four weeks or so during surveillance action they did.
[02:45:53.928 --> 02:45:55.189]  It's all in the book.
[02:45:55.790 --> 02:45:58.192]  As I said, I can't explain everything here.
[02:45:59.073 --> 02:46:02.056]  So do we have to like, let's say, pigeons?
[02:46:02.216 --> 02:46:07.781]  I mean, I'm not quite sure with the surveillance going on, all the cameras, all the surveillance systems.
[02:46:07.821 --> 02:46:16.850]  When I was driving home from Las Vegas, I noticed they installed all those new light fixtures with all the five LED lights that come down and surveillance cameras.
[02:46:17.350 --> 02:46:31.173]  So, with this kind of system, I mean, first of all, you say, leave your cell phones at home so nobody can be tracked where you go to meet, and you can't bring it with you, just turn it off, that's not possible because it still tracks, we all know this.
[02:46:31.713 --> 02:46:45.077]   And so, we're going to have to be very, very creative in furthering this, I know there's an underground, but furthering this underground to get the population and the masses You have to avoid the modern systems of communication completely.
[02:46:44.936 --> 02:46:48.355]   how would you do it? I mean, it's so difficult. You've got about 30 seconds
[02:46:48.355 --> 02:46:50.596]  before we go to break. But how would you do it right now?
[02:46:50.596 --> 02:46:58.195]   You have to avoid the modern systems of communication completely. Even your car
[02:46:58.195 --> 02:47:02.037]  is tracked, right? If you have a modern car, it's tracked.
[02:47:02.125 --> 02:47:08.150]  The computer is constantly sending signals to the manufacturer or servers where it is and how the condition is.
[02:47:08.651 --> 02:47:15.277]  So, small groups mean you meet in small groups in your small area, right?
[02:47:16.118 --> 02:47:16.878]  Use a bicycle.
[02:47:17.639 --> 02:47:19.501]  Stop using your car, use a bicycle.
[02:47:20.706 --> 02:47:21.927]  Harold, wait right there.
[02:47:21.947 --> 02:47:26.189]  We have to come back because now we have to find out how they ended East Germany.
[02:47:26.289 --> 02:47:27.910]  And this is a story you must hear.
[02:47:27.950 --> 02:47:28.950]  The power of the people.
[02:47:29.290 --> 02:47:30.191]  The power of the people.
[02:47:30.531 --> 02:47:31.151]  Welcome back.
[02:47:31.231 --> 02:47:33.172]  Final segment with Harold Zieger.
[02:47:33.292 --> 02:47:35.993]  He is the author of Freedom's Nightmare.
[02:47:36.194 --> 02:47:37.854]  He experienced this story.
[02:47:37.954 --> 02:47:39.675]  He was a full-fledged communist.
[02:47:39.735 --> 02:47:47.459]  His mother was, he found out later, was a spy for East Germany and reporting on, you know, people and things going on.
[02:47:48.223 --> 02:47:51.246]  And he tells this story, and there's so many more details in the book.
[02:47:51.646 --> 02:48:01.594]  And so if you're wondering why we're kind of outing some of the ways in which the people expose the infiltrators, there's so many more things inside this book that you need to see.
[02:48:01.694 --> 02:48:05.477]  Because this is truly, you know, they have well-laid plans.
[02:48:05.517 --> 02:48:07.819]  If we haven't figured that out by now, you should.
[02:48:08.600 --> 02:48:14.352]   So the well-laid plans have been well-laid for You know, 150 years.
[02:48:14.792 --> 02:48:17.673]  And now it's it's up to us to fight this.
[02:48:17.733 --> 02:48:20.614]  It's up to the people to get involved, to do what they need to do.
[02:48:21.314 --> 02:48:22.814]  Right now, we're told a lot of narratives.
[02:48:23.014 --> 02:48:25.835]  No, it is not a China virus, a sniffle.
[02:48:26.095 --> 02:48:27.335]  No, it's here.
[02:48:27.655 --> 02:48:28.835]  We were in charge of that.
[02:48:29.535 --> 02:48:31.076]  No, Ukraine is not.
[02:48:31.416 --> 02:48:33.096]  I don't think they're actually at war.
[02:48:33.196 --> 02:48:35.396]  I actually think it's a money laundering operation.
[02:48:35.777 --> 02:48:38.057]  We need to be able to think before it's illegal.
[02:48:38.277 --> 02:48:41.940]  Well, we need to be able to say, just like Harold did, now wait a second here.
[02:48:42.040 --> 02:48:43.581]  I'm thinking, I'm using my brain.
[02:48:43.601 --> 02:48:51.287]  We have a God-given brain and we have those God-given spiritual gifts to identify what is truth and what is not, and we need to use them.
[02:48:51.827 --> 02:48:59.653]  Harold Zieger's book, Freedom's Nightmare, there's so much packed in this book about how they obtained information from people, how they did this under tyrannical rule.
[02:48:59.873 --> 02:49:03.176]  You have to realize they were under more tyrannical rule than we are right now.
