[00:00:00.229 --> 00:00:01.190]  Ukraine's losing.
[02:36:29.638 --> 02:36:34.600]  And once that happens, it mobilizes, it activates a million other people.
[02:36:34.760 --> 02:36:35.600]  So all it takes is one.
[02:36:35.620 --> 02:36:38.341]  It truly only takes one individual.
[02:36:41.061 --> 02:36:46.684]  And that amplifies, it lights a fire amongst everybody else because everybody else gets plugged out of the Matrix.
[02:36:47.445 --> 02:36:49.426]  This is how the globalists think.
[02:36:49.846 --> 02:36:50.987]  They know this stuff.
[02:36:51.367 --> 02:37:07.297]  They know when one individual gets jacked outside of the Matrix, John Connor escapes the Terminator and starts to, like, really just get together the entire, like, futuristic, revolutionary, you know, army together fighting against the AI, fighting against the global regime.
[02:37:07.697 --> 02:37:09.220]  Fighting against the Terminators!
[02:37:09.500 --> 02:37:11.123]  Fighting against the WEF!
[02:37:11.363 --> 02:37:12.485]  Fighting against the UN!
[02:37:12.565 --> 02:37:13.887]  Fighting against the EU!
[02:37:14.488 --> 02:37:20.758]  And I'm not calling for violence, but what I'm saying is, these people clearly think this way, and they understand this stuff.
[02:37:21.423 --> 02:37:25.044]  So don't let these people convince you that you are the minority.
[02:37:25.064 --> 02:37:27.544]  Don't let them convince you that you're the crazy person.
[02:37:27.584 --> 02:37:29.024]  You're the conspiracy theorist.
[02:37:29.284 --> 02:37:31.305]  You're just believing in a bunch of nonsense.
[02:37:31.325 --> 02:37:33.145]  You're just the town crazy person.
[02:37:33.425 --> 02:37:45.007]  You're the guy that's just running around claiming that the world's going to end and you look all psychotic, you know, not showering and your beard is all out of control and you look disgusting like you're a leftist.
[02:37:45.127 --> 02:37:45.868]  Actually, it's them.
[02:37:46.728 --> 02:37:48.108]  That's actually the climate cult.
[02:37:48.914 --> 02:37:53.037]  That's their people running around doing that with terrible hygiene.
[02:37:53.077 --> 02:37:55.299]  You know, you always see these people with terrible hygiene.
[02:37:55.539 --> 02:37:58.582]  They're not allowed, the climate cult's not allowed to have deodorant.
[02:37:58.842 --> 02:38:03.165]  They're not allowed to brush their teeth because that hires their carbon footprint.
[02:38:03.445 --> 02:38:04.846]  They're not allowed to do their hair.
[02:38:04.866 --> 02:38:07.108]  The women can't wear makeup.
[02:38:07.128 --> 02:38:08.249]  They're all disgusting.
[02:38:08.289 --> 02:38:09.450]  Like, they look gross.
[02:38:09.490 --> 02:38:10.151]  They smell.
[02:38:10.991 --> 02:38:18.597]  You know, their body, the disgusting lesbians, their breasts are all flopping all over the place and jiggling and they're just like these walruses.
[02:38:18.777 --> 02:38:20.178]  You guys know what I'm talking about.
[02:38:20.258 --> 02:38:21.419]  That's what they want.
[02:38:22.219 --> 02:38:23.060]  They want that.
[02:38:23.400 --> 02:38:26.042]  That's why they slander the truth speakers.
[02:38:26.422 --> 02:38:30.405]  That's why they slander the ones that are truly the John Connors, alright?
[02:38:30.645 --> 02:38:41.146]   That are not only escaping, you know, the AI, technocracy, futuristic war that wants to impose its will upon all of us and if we don't, we die?
[02:38:41.166 --> 02:38:42.086]  No, no, no.
[02:38:42.126 --> 02:38:47.588]  They don't only see that these people are evading them, but we're exposing.
[02:38:47.608 --> 02:38:50.369]  Guys, we evade, we expose, we win.
[02:38:50.389 --> 02:38:52.990]  We evade, we expose, we win.
[02:38:53.010 --> 02:38:54.570]  That's how this stuff works.
[02:38:55.230 --> 02:38:56.251]  And you know, they know this.
[02:38:57.571 --> 02:39:03.753]  You know, recently I've been... I'll post things on Instagram every now and then and post like a WEF clip.
[02:39:04.597 --> 02:39:06.759]  I'll post like a World Economic Forum supporter.
[02:39:06.779 --> 02:39:08.220]  I like to call them agents.
[02:39:09.441 --> 02:39:15.426]  Posted one the other day and it went super viral on Twitter, went super viral on Instagram, and immediately the fact-checkers bounce on it!
[02:39:15.466 --> 02:39:16.127]  They jump on it!
[02:39:17.228 --> 02:39:24.194]  AP and all these other fact-checkers that are designated, that are authorized by the New World Order and made to make sure that you are not believing misinformation.
[02:39:25.675 --> 02:39:36.480]   They slap a fact-check on it, and it's literally a World Economic Forum supporter Telling people that the coming they're talking about cashless.
[02:39:36.720 --> 02:39:39.003]  They're talking about a digitized system of economy.
[02:39:39.043 --> 02:39:46.652]  You guys all saw the clip saying that well, this is going to lead to economies having the ability to lock anyone out.
[02:39:46.692 --> 02:39:47.914]  That's undesirable.
[02:39:47.934 --> 02:39:50.277]  I'm paraphrasing and of course.
[02:39:51.573 --> 02:39:53.794]  The clip got hundreds of thousands of views.
[02:39:54.594 --> 02:39:57.255]  You look at the comments, people are like, screw the WEF.
[02:39:57.596 --> 02:39:59.296]  We're not going to submit to this tyranny.
[02:39:59.556 --> 02:40:00.797]  We're done with these people.
[02:40:01.037 --> 02:40:01.977]  This is America.
[02:40:02.438 --> 02:40:06.739]  And then the fact checkers come in and they slap a label on it.
[02:40:06.759 --> 02:40:09.040]  You guys can go see this on my Instagram right now.
[02:40:09.481 --> 02:40:10.301]  Edger Hernandez Live.
[02:40:10.321 --> 02:40:11.741]  It's like the third or the fourth post.
[02:40:13.062 --> 02:40:16.003]  And they try to block it out from people seeing it.
[02:40:16.063 --> 02:40:25.127]   Now, I'm not, this is, this is like, this is like, you know, Not even the pre-course, you know, breakfast for anyone that watches InfoWars.
[02:40:25.208 --> 02:40:32.362]  I guess what I'm trying to say is, you know, you see these people desperately trying to discredit even what their own people say.
[02:40:33.795 --> 02:40:38.717]  Because in the fact check, they're like, well, this is just a misrepresentation of what he actually said.
[02:40:38.757 --> 02:40:49.560]  He was just saying that, you know, this could potentially happen in the, you know, in a governmental society or a dictatorial society that they could, they might impose their will on people.
[02:40:49.580 --> 02:40:51.901]  Yeah, that's kind of what we are all saying!
[02:40:53.881 --> 02:41:03.003]  But they try to run their fact checkers and their propaganda with these mental gymnastics to be like, well, that guy's saying it in negative light, but this guy's saying it because he's a good guy.
[02:41:03.263 --> 02:41:05.443]  He's just a warning, right?
[02:41:05.503 --> 02:41:06.823]  No, they're allowed to come out.
[02:41:06.883 --> 02:41:09.044]  They try to mental gymnastic everything.
[02:41:09.484 --> 02:41:10.284]  But that's the cult.
[02:41:10.744 --> 02:41:11.504]  That's the cult.
[02:41:12.164 --> 02:41:15.325]  The point is, is these people know that we know what they're doing.
[02:41:15.825 --> 02:41:17.705]  These people know that we're fully awake.
[02:41:18.705 --> 02:41:20.006]  Okay, not all gay and woke.
[02:41:20.366 --> 02:41:21.586]  All right, we're fully awake.
[02:41:22.173 --> 02:41:23.615]  Fully jacked out of the Matrix.
[02:41:24.155 --> 02:41:25.917]  John Connors activated.
[02:41:26.337 --> 02:41:27.759]  We are fighting the New World Order.
[02:41:27.939 --> 02:41:29.601]  We are fighting the AI takeovers.
[02:41:29.781 --> 02:41:32.344]  We are fighting the futuristic regime technocracies.
[02:41:32.944 --> 02:41:36.608]  The 1984 literal tyranny that they want to impose on all of us.
[02:41:36.628 --> 02:41:38.590]  They all talk about this out in the open.
[02:41:39.771 --> 02:41:41.393]  They say this stuff.
[02:41:42.085 --> 02:41:44.026]  But they try to make you sound like you're crazy.
[02:41:44.046 --> 02:41:45.286]  There it is right there, third post.
[02:41:45.707 --> 02:41:46.047]  There it is.
[02:41:46.747 --> 02:41:47.888]  Super viral video.
[02:41:48.168 --> 02:41:49.048]  Everybody saw this.
[02:41:49.068 --> 02:41:50.829]  And there it is!
[02:41:51.429 --> 02:41:52.009]  There it is!
[02:41:52.550 --> 02:41:54.691]  And look, I trolled them and I put, okay, supporter.
[02:41:54.731 --> 02:41:55.351]  You didn't like that.
[02:41:55.391 --> 02:41:56.111]  I said agent.
[02:41:56.291 --> 02:41:57.372]  Okay, supporter.
[02:41:59.032 --> 02:42:00.953]  You gotta troll these people, but they are desperate.
[02:42:00.993 --> 02:42:01.694]  It's AP.
[02:42:02.554 --> 02:42:03.594]  I don't know if you guys can find it.
[02:42:03.915 --> 02:42:06.856]  You might, there might be a link right there if you click the actual fact check.
[02:42:07.600 --> 02:42:13.722]  It'll open up the AP article and it's just like, it's just some like woke white leftist women trying to shut me down.
[02:42:13.762 --> 02:42:19.344]  And it's, it's just hilarious, you know, but they know that their battle plans have been exposed.
[02:42:20.044 --> 02:42:23.345]  And when this happens, they have to shut it down.
[02:42:23.625 --> 02:42:34.828]  They have to discredit it, even though when they themselves are saying this stuff, oh, they're warning about a authoritarian regime taking advantage of a cashless digitized society.
[02:42:35.208 --> 02:42:36.169]  Oh, he, there it is right there.
[02:42:36.309 --> 02:42:36.469]  AP.
[02:42:38.289 --> 02:42:40.691]  And the one on the bottom, oh, the fact checkers!
[02:42:41.311 --> 02:42:42.351]  Would you look at that?
[02:42:42.471 --> 02:42:44.913]  Shutting down their own words!
[02:42:45.613 --> 02:42:47.434]  Shutting down their own words!
[02:42:47.654 --> 02:42:49.715]  The World Economic Forum's words, these people.
[02:42:49.815 --> 02:42:51.276]  Oh, he's not bought and paid for.
[02:42:51.676 --> 02:42:53.857]  Oh, he's not a World Economic Forum agent.
[02:42:54.157 --> 02:42:55.818]  Well, he's definitely a World Economic...
[02:42:56.900 --> 02:43:06.166]  Forum supporter, and you don't get on that stage unless you are designated a true, okay, let's use your terms.
[02:43:06.386 --> 02:43:09.147]  They like to call themselves stakeholders, right?
[02:43:09.488 --> 02:43:10.969]  Shareholders of the New World Order.
[02:43:10.989 --> 02:43:12.409]  You guys have all heard this nonsense.
[02:43:12.590 --> 02:43:14.771]  Just watch five minutes of any of their conferences.
[02:43:15.849 --> 02:43:19.850]  You have the future of the stakeholders and the stakeholders and their regime!
[02:43:20.070 --> 02:43:21.191]  You are a stakeholder!
[02:43:21.391 --> 02:43:22.611]  You are the Hitler Youth!
[02:43:22.891 --> 02:43:25.152]  You are part of the next New World Order regime!
[02:43:25.472 --> 02:43:27.672]  And you hear, you know, these people are just psychotic.
[02:43:28.012 --> 02:43:34.474]  They use these terms, New World Order, but you just come out and you post what they say.
[02:43:34.494 --> 02:43:39.796]  You post literally what they say.
[02:43:40.456 --> 02:43:41.376]  You are the bad guy.
[02:43:42.202 --> 02:43:46.245]  Okay, you are the one that is called the conspiracy theorist, the liar.
[02:43:46.325 --> 02:43:49.888]  We all know that fact-checkers are not fact-checkers.
[02:43:50.188 --> 02:43:55.873]  We know that the fact-checkers on Big Tech, they are designated authoritarian censors.
[02:43:56.153 --> 02:43:56.913]  That's what they are.
[02:43:56.933 --> 02:44:08.542]  1984, they are censoring the internet, they are censoring what everybody is saying, they are monitoring it, and they are enforcing what the New World Order wants to be said and what will not be said.
[02:44:08.582 --> 02:44:09.163]  Well, you know what?
[02:44:09.583 --> 02:44:10.884]  That's why we got banned out video.
[02:44:11.244 --> 02:44:11.664]  You know what?
[02:44:11.864 --> 02:44:13.845]  That's why we're here on InfoWars.com.
[02:44:14.025 --> 02:44:14.665]  Well, you know what?
[02:44:14.866 --> 02:44:24.350]  That's why we have the ability to have our own systems that are supported by the people, you the people, that's every single one of you, and this is what we're fighting against every single day!
[02:44:25.010 --> 02:44:34.256]  It is an internal, out-in-the-open PSYOP that they're trying to run on not only the American people, but the absolute total population of humanity.
[02:44:34.456 --> 02:44:35.256]  Warp their minds!
[02:44:35.417 --> 02:44:36.177]  Warp their minds!
[02:44:36.357 --> 02:44:36.917]  Propagate!
[02:44:38.438 --> 02:44:40.920]  Go to Infowarsstore.com to keep this war going.
[02:44:41.020 --> 02:44:41.760]  We will win.
[02:44:41.821 --> 02:44:42.461]  We'll be right back.
[02:44:43.502 --> 02:44:44.042]  Sequence.
[02:44:48.184 --> 02:44:49.485]  The New World Order, the Deep State.
[02:44:50.646 --> 02:44:53.608]  They roll out their plans in a sequence of events.
[02:44:54.560 --> 02:44:55.760]  Because they are strategic.
[02:44:56.501 --> 02:44:58.401]  Because they are working in unison.
[02:44:59.021 --> 02:45:00.962]  We all know there's a demonic component to this.
[02:45:01.002 --> 02:45:06.524]  It's all energized by the Antichrist spirit, all moving, just happening to be moving all in one direction.
[02:45:07.084 --> 02:45:11.645]  And the Bible just happens to tell us this is kind of what the end game is for humanity, right?
[02:45:11.665 --> 02:45:17.247]  You know, but the sequence of events, which is pretty interesting, that I wanted to talk about today.
[02:45:17.267 --> 02:45:25.012]   You know, we opened the show with You know, just launching a nuclear red pill missile straight into the New World Order's face.
[02:45:25.592 --> 02:45:26.372]  Because we have to.
[02:45:26.412 --> 02:45:28.133]  That's the existence of InfoWars.
[02:45:28.193 --> 02:45:29.653]  Every single day, this is what we do.
[02:45:29.733 --> 02:45:32.093]  That's why Band.Video exists!
[02:45:32.954 --> 02:45:40.515]  That's why they try to shut it down and discredit it, and lawfare, and shut down Alex, and sue him into the abyss, and everybody else that supports him.
[02:45:41.855 --> 02:45:45.676]  But, you know, by the way, go get your Alex Jones for President t-shirt 2024.
[02:45:46.016 --> 02:45:47.997]  Go get it now, Band.Video.com.
[02:45:48.437 --> 02:45:53.466]   But, you know, so, When you take a look at their plans, it's the sequence of events.
[02:45:53.926 --> 02:45:56.769]  And it's not by coincidence.
[02:45:57.770 --> 02:46:03.735]  They don't operate with their hair on fire, running around trying to figure out what they're going to do.
[02:46:04.036 --> 02:46:05.497]  These people are intelligent.
[02:46:05.677 --> 02:46:08.329]   They are High IQs.
[02:46:08.930 --> 02:46:10.991]  These are people that come out of Ivy Leagues.
[02:46:11.311 --> 02:46:18.595]  These are people that, and I'm not talking about, you know, affirmative action, you know, a woke black person that just got there because, well, I'm woken black.
[02:46:18.635 --> 02:46:21.196]  So yeah, give me my master's degree from Harvard.
[02:46:21.476 --> 02:46:21.736]  Yeah.
[02:46:21.896 --> 02:46:23.397]  Now put me in the Oval Office.
[02:46:23.697 --> 02:46:23.997]  Yeah.
[02:46:24.257 --> 02:46:24.517]  Huh.
[02:46:24.878 --> 02:46:25.698]  I'm not talking about that.
[02:46:25.738 --> 02:46:29.500]  I'm talking about dealing with some seriously intellectually advanced people.
[02:46:30.320 --> 02:46:33.702]  You look at people like Bill Gates, seriously intellectually advanced.
[02:46:34.269 --> 02:46:58.614]  You take a look at people like Jeffrey Epstein, all right, to be able to pull that kind of pedophile ring for that long, not only in deep state American politics, but Hollywood, various different channels and cultural society, getting people on board, blackmailing high prominent, powerful people, literally getting them under your thumb, takes a very advanced intellectual type of person to do that.
[02:46:58.634 --> 02:47:00.075]  And I'm not saying that to praise them.
[02:47:00.635 --> 02:47:03.791]   I'm just saying, Don't underestimate your opponent.
[02:47:03.931 --> 02:47:15.217]  Don't you ever, ever, that is the worst mistake that you could ever make when it comes to dealing with the New World Order, their proxies, their pawns, their agents, their organizations.
[02:47:16.038 --> 02:47:22.241]  The biggest mistake that you and I can make when dealing with these people is simply underestimating them, underestimating them.
[02:47:22.955 --> 02:47:25.656]  Alright, the biggest mistake is someone that just will not take the red pill.
[02:47:25.676 --> 02:47:26.637]  We've talked about this, right?
[02:47:27.077 --> 02:47:29.398]  Morpheus says, here you go, Alex Jones hands you the red pill.
[02:47:29.438 --> 02:47:30.299]  You just deny it.
[02:47:30.759 --> 02:47:31.620]  You say it's not real.
[02:47:31.640 --> 02:47:32.580]  You refuse to take it.
[02:47:32.620 --> 02:47:37.963]  But then, you can get someone that's totally red-pilled, but then gets kind of complacent.
[02:47:38.563 --> 02:47:42.145]  And then you get in this place in your life where you start underestimating these people.
[02:47:43.406 --> 02:47:45.527]  And, it's a dangerous place to be.
[02:47:46.247 --> 02:47:51.130]  We're dealing with people that have war chests of billions, possibly trillions of dollars.
[02:47:52.099 --> 02:47:58.642]  All right, some of these oil companies and these guys that are backed behind them, they finesse their way financially to make sure that it's not absolutely tied to them.
[02:47:59.002 --> 02:48:01.483]  We've got trillionaires on Planet Earth.
[02:48:02.584 --> 02:48:02.964]  All right?
[02:48:03.284 --> 02:48:11.548]  Like, if the Forbes list was real, you would have, like, you'd have you Saudis, you had all these dudes from the Middle East that are multi-trillionaires.
[02:48:12.228 --> 02:48:12.548]  All right?
[02:48:12.588 --> 02:48:14.969]  But I think a lot of these people like to stay low-key.
[02:48:15.070 --> 02:48:17.010]  They like to stay low-key.
[02:48:17.030 --> 02:48:18.751]  They like to kind of stay off the radar.
[02:48:19.392 --> 02:48:20.132]  And that's smart.
[02:48:21.246 --> 02:48:22.207]  A smart person.
[02:48:22.647 --> 02:48:24.269]  It's kind of like that movie American Gangster.
[02:48:24.289 --> 02:48:27.291]  Remember American Gangster with Denzel Washington?
[02:48:27.311 --> 02:48:28.533]  A mafia dude.
[02:48:28.573 --> 02:48:29.353]  A straight gang.
[02:48:29.433 --> 02:48:29.914]  You know what I mean?
[02:48:29.934 --> 02:48:31.135]  Like serious gang.
[02:48:31.175 --> 02:48:34.638]  Like straight drug pushing cartels.
[02:48:34.998 --> 02:48:35.679]  Like these dudes.
[02:48:36.460 --> 02:48:42.385]  And remember Denzel Washington would tell his family when he recruited his family when he became the next drug lord in his city.
[02:48:43.177 --> 02:48:47.862]  And his family came, they were all like, you know, trying to be like ghetto fabulous, ghetto flashy.
[02:48:48.362 --> 02:48:51.926]  And I'll tell them, you will stick out like a sore thumb.
[02:48:53.007 --> 02:48:53.367]  All right?
[02:48:53.848 --> 02:48:55.109]  That's what the feds look for.
[02:48:55.709 --> 02:48:57.051]  That's what the cops look for.
[02:48:57.091 --> 02:49:00.234]  They look for the one that comes in that doesn't belong, that's all flashy.
[02:49:00.254 --> 02:49:02.496]  They want to see a black guy that looks all flashy running around.
[02:49:02.716 --> 02:49:03.737]  How did he get that money?
[02:49:03.938 --> 02:49:04.859]  Oh, well, let's investigate.
[02:49:04.899 --> 02:49:06.160]  Let's put him away in jail forever.
[02:49:07.475 --> 02:49:08.676]  That's the mindset.
[02:49:08.756 --> 02:49:12.320]  You know, these high IQ criminals, they think that way.
[02:49:12.840 --> 02:49:14.662]  They don't want to be running around flashy.
[02:49:14.882 --> 02:49:16.403]  They don't want to target on their back.
[02:49:16.644 --> 02:49:21.068]  They don't want to be seen as this destructive figure that is going to take down humanity.
[02:49:21.288 --> 02:49:23.670]  That's why they all appear to be humanitarian.
[02:49:23.690 --> 02:49:24.531]  Have you guys noticed that?
[02:49:24.991 --> 02:49:32.338]  John Kerry, Klaus Schwab, all of their little programs with the World Economic Forum, climate change, that climate change cult.
[02:49:32.718 --> 02:49:33.899]  They all want to save the world.
[02:49:33.979 --> 02:49:35.139]  It sounds very virtuous.
[02:49:35.499 --> 02:49:46.323]  They have this messianic God complex, this messiah complex, where only they have the message and they have the solutions and they are the chosen ones to save all of mankind.
[02:49:46.683 --> 02:49:52.785]  But the kicker is, well, if you don't listen to us, you're all going to die and get locked out of the next, you know, utopian economy, the 10 minute city.
[02:49:52.905 --> 02:49:54.066]  You're going to get locked out of all this.
[02:49:54.306 --> 02:49:56.387]  The futuristic AI virtual reality economy.
[02:49:56.527 --> 02:49:58.267]  You're going to get locked out of the cashless society.
[02:49:58.487 --> 02:49:59.928]  If you don't obey us, you are done.
[02:50:01.257 --> 02:50:03.138]  They're like saviors with strings attached.
[02:50:03.978 --> 02:50:05.598]  They're saviors with a contract.
[02:50:07.219 --> 02:50:08.039]  They're not saviors.
[02:50:08.199 --> 02:50:11.860]  They're what Jesus said that we would see are false messiahs.
[02:50:12.900 --> 02:50:16.161]  And I definitely think the climate cult falls in that category.
[02:50:16.961 --> 02:50:20.842]  But these people, they, like I said, you notice, you pay attention to the way they talk.
[02:50:21.382 --> 02:50:23.383]  You pay attention to the way they give their speeches.
[02:50:24.503 --> 02:50:25.863]  It sounds very convincing.
[02:50:26.804 --> 02:50:27.644]  Very convincing.
[02:50:28.248 --> 02:50:29.629]  Humanitarian effort.
[02:50:30.009 --> 02:50:31.989]  We're going to help the third world.
[02:50:32.370 --> 02:50:35.891]  We're going to help those that are impoverished in third world countries.
[02:50:36.311 --> 02:50:37.992]  We're going to pull them out of poverty.
[02:50:38.472 --> 02:50:43.674]  All of our plans are to ensure the human race survives for the next 100 years.
[02:50:44.654 --> 02:50:45.675]  They all talk like this, right?
[02:50:45.695 --> 02:50:50.677]  Like they're so confident that they're the ones that are going to save planet Earth and they're the only ones that can.
[02:50:50.937 --> 02:50:51.937]  Like nobody else can.
[02:50:52.357 --> 02:50:53.878]  No one else can but them.
[02:50:54.634 --> 02:50:54.814]  Right?
[02:50:54.894 --> 02:50:55.955]  Especially for Americans.
[02:50:56.316 --> 02:51:06.065]  Nobody else can ensure the survival for the United States of America, for us to thrive, whether technologically, spiritually, economically, you name it, right?
[02:51:06.345 --> 02:51:07.005]  Nobody else!
[02:51:07.085 --> 02:51:07.586]  Nope, nope.
[02:51:07.666 --> 02:51:11.349]  Americans, you stupid Americans, you have no idea what you're doing.
[02:51:11.670 --> 02:51:12.831]  You need the UN.
[02:51:14.654 --> 02:51:16.395]  They just talked about this in the last segment.
[02:51:16.595 --> 02:51:24.618]  The UN is getting ready in the next couple months to seize emergency powers in the United States of America for their next emergency to be declared.
[02:51:24.879 --> 02:51:29.621]  And not only will they seize powers once they announce it, they will set the timeline as well.
[02:51:29.941 --> 02:51:30.161]  Right?
[02:51:30.905 --> 02:51:33.086]  They will announce the next pandemic.
[02:51:33.286 --> 02:51:35.647]  They will announce the next climate change hysteria.
[02:51:35.847 --> 02:51:42.589]  They will announce their next New World Order operation to lock everybody down, total obedience, sacrifice freedom for security.
[02:51:42.809 --> 02:51:47.911]  You must do this as a good citizen for thy neighbor in the New World Order, the Antichrist regime, correct?
[02:51:49.072 --> 02:51:55.894]  And not only will they have the emergency powers, not only will they announce what the emergency is, they will have the emergency powers.
[02:51:56.194 --> 02:52:03.468]   They will have the legal basis to do so because the puppet Biden regime is not going to Say or have any pushback about it.
[02:52:03.688 --> 02:52:04.629]  They're just going to allow it.
[02:52:04.669 --> 02:52:05.469]  That's why he's there.
[02:52:05.529 --> 02:52:06.470]  Does it make sense now?
[02:52:06.690 --> 02:52:07.870]  I've been saying this for months.
[02:52:08.150 --> 02:52:09.431]  Why was Biden installed?
[02:52:09.631 --> 02:52:10.592]  He's just a vegetable.
[02:52:10.752 --> 02:52:11.792]  He doesn't know anything.
[02:52:11.992 --> 02:52:13.353]  He can't navigate anywhere.
[02:52:13.573 --> 02:52:14.754]  And that is by design.
[02:52:14.934 --> 02:52:18.275]  So when the UN comes along and says, we want emergency powers.
[02:52:18.455 --> 02:52:20.536]  The next time you guys have an emergency in your country.
[02:52:20.896 --> 02:52:21.897]  Oh, well, here you go.
[02:52:21.937 --> 02:52:22.477]  Where's Ashley?
[02:52:22.497 --> 02:52:23.778]  I mean, just go have sex with my daughter.
[02:52:23.798 --> 02:52:24.698]  That's all I care about.
[02:52:25.138 --> 02:52:26.139]  Don't ask me anything else.
[02:52:26.979 --> 02:52:28.060]  That's how it works, guys.
[02:52:28.860 --> 02:52:30.061]  That's what's happening to us.
[02:52:30.854 --> 02:52:35.296]  But Americans, you are too stupid to pull yourself up from your own bootstraps.
[02:52:35.316 --> 02:52:36.477]  You don't have your own autonomy.
[02:52:36.517 --> 02:52:37.578]  You don't have your own power.
[02:52:38.598 --> 02:52:39.118]  That's fine.
[02:52:39.138 --> 02:52:41.280]  The United States of America, you guys fled tyranny.
[02:52:41.480 --> 02:52:42.520]  Well, it's back, baby.
[02:52:42.700 --> 02:52:43.881]  You guys fled tyranny.
[02:52:44.081 --> 02:52:45.142]  Well, it's back, baby.
[02:52:45.162 --> 02:52:47.203]  Well, we know how Americans deal with tyrants.
[02:52:48.203 --> 02:52:51.585]  We don't call for violence, but we will defend ourselves from violent tyranny.
[02:52:51.605 --> 02:52:52.826]  I'll tell you that right now.
[02:52:53.126 --> 02:52:56.828]  1776, I am not calling for violence, but what I'm saying is these people want tyranny.
[02:52:57.938 --> 02:53:04.040]  Well, we want freedom, and we know that that is a recipe for freedom to win.
[02:53:04.100 --> 02:53:04.781]  I'll just say that.
[02:53:04.821 --> 02:53:08.462]  That is a recipe for freedom to win, but they believe that they know better than us.
[02:53:09.503 --> 02:53:16.825]  These foreign entities, these foreign organizations that have no business dictating what the United States of America is going to do.
[02:53:16.865 --> 02:53:20.107]  You're going to tell me, as an American, how my country is going to go?
[02:53:20.507 --> 02:53:21.327]  Yeah, no thanks!
[02:53:21.447 --> 02:53:22.147]  America first!
[02:53:22.187 --> 02:53:23.128]  Get the hell out of here!
[02:53:23.188 --> 02:53:24.208]  Infowars.com.
[02:53:24.428 --> 02:53:25.209]  Band out video.
[02:53:25.229 --> 02:53:25.849]  We'll be right back.
[02:53:26.653 --> 02:53:27.694]  Strategic plans!
[02:53:29.015 --> 02:53:30.376]  Back to the sequence of events.
[02:53:31.037 --> 02:53:37.662]  The reason why I'm talking like this is I think this month, past couple months, is very interesting.
[02:53:38.343 --> 02:53:41.345]  Very interesting sequence of events.
[02:53:41.365 --> 02:53:43.667]  Say, Drew, what are you talking about?
[02:53:45.909 --> 02:53:50.433]  What we witnessed during Groomer Month this past June, I think was next level.
[02:53:51.054 --> 02:54:01.923]   You saw naked homosexuals Boomers, literally naked boomer homosexuals walking around Seattle with their penises hanging out with little boys, children, hundreds, hundreds!
[02:54:03.224 --> 02:54:07.307]  Just watching, smiling like it's totally normal, like they're at Disneyland.
[02:54:08.668 --> 02:54:12.271]  We saw a bunch of land whale walrus lesbians in New York.
[02:54:12.531 --> 02:54:14.533]  I think it was Savannah Hernandez that covered this.
[02:54:15.974 --> 02:54:18.676]  Bunch of walrus land whale lesbians.
[02:54:19.955 --> 02:54:26.777]  With their disgusting blubber breasts bouncing around with children running around in the water like flapping around like a bunch of walruses.
[02:54:27.738 --> 02:54:29.698]  Playing in the water, playing in the fountains.
[02:54:30.738 --> 02:54:30.839]  Ugh.
[02:54:31.859 --> 02:54:34.220]  Bunch of AIDS and HIV spreading all over the place.
[02:54:35.380 --> 02:54:37.561]  You know, we saw some pretty dark stuff.
[02:54:39.141 --> 02:54:40.962]  You know, I covered one in Tempe, Arizona.
[02:54:41.022 --> 02:54:43.363]  Some homosexual rapper that claimed to be divine.
[02:54:43.823 --> 02:54:44.703]  Claims to be a god.
[02:54:46.047 --> 02:54:51.688]  Getting up on stage rapping about getting sodomized and sodomizing men in front of little girls, little kids.
[02:54:51.708 --> 02:54:56.749]  I know we've seen, we've seen a lot of this stuff and it can get desensitizing sometimes.
[02:54:56.769 --> 02:54:59.450]  You see it so much, you're like, well, I guess that's America now.
[02:55:00.310 --> 02:55:01.431]  Damn, right?
[02:55:02.151 --> 02:55:03.771]  No, we can never get desensitized.
[02:55:03.811 --> 02:55:05.992]  This, this should trigger you in a righteous way.
[02:55:06.372 --> 02:55:11.953]  Not trigger you like a leftist, a snowflake where you can't hear anything that's offensive and oh my God, let's just censor everybody.
[02:55:12.896 --> 02:55:15.017]  No, triggered like, we got pedophiles here!
[02:55:15.337 --> 02:55:18.818]  We got pedophiles walking the streets with their genitals out!
[02:55:19.158 --> 02:55:21.519]  We got parents taking them to the pedophiles!
[02:55:22.019 --> 02:55:23.840]  That should righteously trigger you!
[02:55:24.160 --> 02:55:26.480]  Let's throw some people in jail, come on!
[02:55:26.921 --> 02:55:30.582]  Let's send a message to society that this is not gonna fly with us!
[02:55:32.422 --> 02:55:33.463]  That's what I'm talking about.
[02:55:35.203 --> 02:55:37.684]  But, you know, this was a very dark month.
[02:55:38.864 --> 02:55:39.024]  Right?
[02:55:39.064 --> 02:55:40.505]  We saw Target get exposed.
[02:55:41.536 --> 02:55:49.681]  We're working alongside of a designer that is open about their satanism and satanic clothing for children?
[02:55:50.602 --> 02:55:52.904]  Okay, like, this is all manifesting, guys.
[02:55:52.924 --> 02:55:55.846]  These are manifestations of evil, alright?
[02:55:55.886 --> 02:55:59.268]  These are manifestations of these demonic influences.
[02:56:00.071 --> 02:56:03.832]  That are influencing fallen humanity that's reprobate, and you're seeing it.
[02:56:03.852 --> 02:56:04.532]  People are seeing it.
[02:56:04.552 --> 02:56:05.433]  That's why they're getting red-pilled.
