[00:00:00.000 --> 00:00:03.000]  [Buzzing]
[03:02:54.355 --> 03:02:55.196]  They have their free speech.
[03:02:55.996 --> 03:03:03.639]  But we need to let listeners remember, you don't get to hear Nick Fuentes or Alex Jones without support, and you'll get to hear it without promoting it.
[03:03:03.719 --> 03:03:05.640]  So, everybody has a right to hear it.
[03:03:05.780 --> 03:03:09.942]  Everybody should realize your job is to boost the signal of what the system doesn't want.
[03:03:09.962 --> 03:03:10.922]  So how do people hear your show?
[03:03:11.663 --> 03:03:16.785]  You can find me on Rumble.com slash NickJFuentes and Cozy.TV slash Nick.
[03:03:17.984 --> 03:03:20.527]  Alright, and when you got on the no-fly list to help get you a lawyer?
[03:03:21.148 --> 03:03:21.368]  Yes.
[03:03:21.789 --> 03:03:22.910]  Can we even help you get an IT guy?
[03:03:22.931 --> 03:03:24.072]  We'll help a little bit.
[03:03:24.432 --> 03:03:27.997]  The point is, because I believe in free speech, I don't agree with everything you say or do.
[03:03:28.017 --> 03:03:30.100]  I mean, I wish, yay, how's he doing?
[03:03:30.120 --> 03:03:32.163]  You know, just, I didn't want to do four hours on Hitler.
[03:03:32.223 --> 03:03:35.667]  I get it was like being contrarian or whatever, but I didn't mean to have that happen.
[03:03:35.687 --> 03:03:36.128]  How's he doing?
[03:03:36.348 --> 03:03:36.969]  He's doing well.
[03:03:37.269 --> 03:03:42.594]  You know, he got married and he's been enjoying time with his fiancée, and I think he's rethinking.
[03:03:42.754 --> 03:03:47.479]  The last time I spoke to him, he's considering deferring his presidential plans a little bit.
[03:03:48.260 --> 03:03:51.403]  But you know, the time that I spent with him, I realized he gets it.
[03:03:51.483 --> 03:03:53.425]  He gets it way more than people realize.
[03:03:54.306 --> 03:03:55.506]  No, he's definitely a smart guy.
[03:03:55.526 --> 03:03:57.287]  I would almost say idiot savant.
[03:03:57.887 --> 03:03:58.828]  And I think I'm a little like that.
[03:03:58.848 --> 03:03:59.908]  So I'm not putting him down for that.
[03:03:59.928 --> 03:04:00.708]  I'm saying I'm kind of like that.
[03:04:00.728 --> 03:04:01.148]  You are too.
[03:04:01.168 --> 03:04:04.009]  But he just, you know, he's pissed about being messed with.
[03:04:04.369 --> 03:04:06.190]  He's challenging the power structure he knows.
[03:04:06.630 --> 03:04:07.951]  I'm just saying there's other power structures.
[03:04:08.251 --> 03:04:08.451]  Yeah.
[03:04:08.511 --> 03:04:09.231]  Well, and I agree.
[03:04:09.291 --> 03:04:14.833]  There are multiple power structures, but he just like with music and fashion, he's got this intuitive sense.
[03:04:15.493 --> 03:04:21.136]  Uh, that he taps into, and he's able to bypass a lot of misconceptions that people have and get straight to it.
[03:04:21.176 --> 03:04:25.378]  So, I think he's bold, brilliant, you know, and it was an honor of a lifetime to work with him.
[03:04:25.478 --> 03:04:26.959]  He's always been a hero of mine, like you.
[03:04:26.999 --> 03:04:29.300]  So, uh, being here with you and him was amazing.
[03:04:29.380 --> 03:04:31.021]  Well, you're on The War Room today, 3 p.m.
[03:04:31.061 --> 03:04:36.124]  Central, with Harrison Smith, because Owen is in solitary confinement right now.
[03:04:36.204 --> 03:04:38.185]  We have the top Russian broadcaster.
[03:04:39.265 --> 03:04:42.929]  Uh, to hear what he has to say, unfiltered, to our millions of listeners.
[03:04:43.390 --> 03:04:53.961]  They're gonna call for my arrest for this interview, but I don't care, because the truth be told, even if I get damned to hell, and as he said when I was on the show a month ago, we are in hell, the verge of nuclear war.
[03:04:54.542 --> 03:04:55.803]  So, thank you, Nick Fuentes.
[03:04:56.043 --> 03:04:57.043]  Thank you.
[03:04:57.043 --> 03:05:12.804]  Thanks for joining us.
[03:05:13.330 --> 03:05:24.677]  And I'm particularly giving Thanksgiving that X2, our number one product, the only true atomic iodine on the market after a year plus of being sold out, is finally back in stock, ready to ship now.
[03:05:25.238 --> 03:05:29.160]  If you don't know the power of X2 and the iodine conspiracy, you are insane.
[03:05:29.841 --> 03:05:30.901]  Get X2 now.
[03:05:30.962 --> 03:05:32.002]  It could be the last run ever.
[03:05:32.042 --> 03:05:32.783]  We get shut down.
[03:05:33.223 --> 03:05:36.705]   While you still can, At InfoWarsTore.com.
[03:05:37.145 --> 03:05:42.407]  Research iodine deficiency and billions of people with cognitive disabilities because they don't have it.
[03:05:43.067 --> 03:05:43.647]  X2.
[03:05:44.187 --> 03:05:44.727]  X2.
[03:05:45.268 --> 03:05:48.589]  X2 is now back in stock at InfoWarsTore.com.
[03:05:48.629 --> 03:05:51.750]  Takes a few weeks to kick in, but it is the building block to everything.
[03:05:51.790 --> 03:05:52.470]  It's the missing link.
[03:05:52.510 --> 03:05:56.572]  They bomb us with the fluoride that is in the same family, but has the opposite effect.
[03:05:57.032 --> 03:06:00.553]  This is the holy grail of supplements and empowering yourself.
[03:06:00.733 --> 03:06:02.394]  X2 back in stock right now.
[03:06:02.253 --> 03:06:03.733]  Now discounted at FullRestore.com.
[03:06:03.733 --> 03:06:12.733]  There are, of course, those who do not want us to speak.
[03:06:12.773 --> 03:06:13.874]  Let me think, just let me think.
[03:06:13.894 --> 03:06:19.416]  I suspect even now orders are being shouted into telephones and men with guns will soon be on their way.
[03:06:19.456 --> 03:06:21.057]  It's Chancellor Sutler.
[03:06:21.097 --> 03:06:21.457]  Damn it!
[03:06:21.497 --> 03:06:21.817]  Why?
[03:06:22.557 --> 03:06:28.600]  Because while the truncheon may be used in lieu of conversation, words will always retain their power.
[03:06:29.140 --> 03:06:33.302]  Words are for the means to meaning and for those who will listen, the announcer.
[03:06:34.642 --> 03:06:39.906]  The truth is, there is something terribly wrong with this country, isn't there?
[03:06:39.946 --> 03:06:40.887]  You designed it, sir.
[03:06:40.967 --> 03:06:41.888]  You wanted it foolproof.
[03:06:41.908 --> 03:06:43.289]  You taught me every television in London!
[03:06:43.549 --> 03:06:45.631]  Cruelty and injustice.
[03:06:45.651 --> 03:06:47.012]  Intolerance and oppression.
[03:06:47.452 --> 03:06:57.059]  And where once you had the freedom to object and think and speak as you saw fit, you now have censors and systems of surveillance coercing your conformity and subverting your submission.
[03:06:57.079 --> 03:06:57.259]  Cameras.
[03:06:57.299 --> 03:06:57.980]  We need cameras.
[03:06:58.280 --> 03:06:59.061]  How did this happen?
[03:06:59.081 --> 03:07:00.542]  Who's to blame?
[03:07:01.463 --> 03:07:04.145]  Well, certainly there are those who are more responsible than others.
[03:07:04.165 --> 03:07:06.027]  They will be held accountable.
[03:07:06.047 --> 03:07:11.952]  But again, truth be told, if you're looking for the guilty, you need only look into a mirror.
[03:07:13.166 --> 03:07:14.667]  I know why you did it.
[03:07:14.787 --> 03:07:16.229]  I know you were afraid.
[03:07:16.649 --> 03:07:17.370]  Who wouldn't be?
[03:07:17.870 --> 03:07:18.310]  War?
[03:07:18.631 --> 03:07:19.031]  Terror?
[03:07:19.271 --> 03:07:19.912]  Disease?
[03:07:20.572 --> 03:07:26.938]  There were a myriad of problems which conspired to corrupt your reason and rob you of your common sense.
[03:07:27.018 --> 03:07:32.743]  Fear got the best of you, and in your panic you turned to the now High Chancellor, Adam Sutler.
[03:07:33.122 --> 03:07:40.122]   He promised you order, he promised you peace, and all he demanded in return was your silent, obedient consent.
[03:07:40.122 --> 03:07:48.122]  There is a war.
[03:07:47.904 --> 03:07:48.884]  It's happening now.
[03:07:49.765 --> 03:07:51.586]  It will decide the fate of humanity.
[03:07:52.146 --> 03:07:53.947]  The time to choose sides has come.
[03:07:54.707 --> 03:07:56.188]  We are the Resistance.
[03:07:56.427 --> 03:08:05.628]  We are the InfoWar.
[03:08:05.618 --> 03:08:15.869]  He is undisputedly the number one talk show host in Russia, who we are now by proxy at war with, escalating towards nuclear war.
[03:08:15.929 --> 03:08:20.633]  Russia is winning the war after nine years of NATO proxy attacks.
[03:08:21.806 --> 03:08:27.147]  When the Russian forces trapped there began to lose, Vladimir Putin invaded a year and a half ago.
[03:08:27.167 --> 03:08:29.048]  I am not a Russophile.
[03:08:29.728 --> 03:08:41.892]  I'm a loyal American and I'm loyal to human life and I'm against lies and I'm against George Soros who bragged on CNN eight years ago that they overthrew the Ukrainian government and launched preliminary attacks.
[03:08:42.032 --> 03:08:51.466]   I also have friends and family who under orders have been in Ukraine Literally shooting Russians and directing artillery for years.
[03:08:52.367 --> 03:08:53.648]  So, I am against that.
[03:08:54.509 --> 03:08:55.309]  So is my family.
[03:08:55.349 --> 03:08:57.270]  They would be court-martialed if they didn't follow the orders.
[03:08:57.671 --> 03:08:58.851]  But they are definitely against it.
[03:08:59.372 --> 03:09:02.614]  So, Vladimir Solyov, thank you so much for joining us.
[03:09:02.654 --> 03:09:07.057]  He is the most famous journalist in Russia, a television radio host, as well as writer and public figure.
[03:09:07.397 --> 03:09:13.942]  He's the author of numerous documentaries, such as The President and The World Order, films based on several exclusive interviews with Vladimir Putin.
[03:09:14.542 --> 03:09:21.405]  He has extensive experience in communication with prominent political, public, and military figures, as well as with top state officials.
[03:09:21.885 --> 03:09:32.570]  He's interviewed everybody, the President of Syria, the President of Russia, the Serbian President, he's interviewed Bush, W, he's interviewed the Japanese Prime Minister, everybody.
[03:09:33.110 --> 03:09:43.175]  And so he is at VRS, his name, Sloviev, I always pronounce it wrong, and you can find him on his website, s-o-l-o-v-i-e-v dot live.
[03:09:43.775 --> 03:09:44.896]  So thank you so much.
[03:09:44.916 --> 03:09:47.677]  I'm going to do my best to try to give you the floor.
[03:09:48.238 --> 03:09:55.802]  You speak good English, and I wish I could speak Russian to hear what you have to say, because this is so incredibly important.
[03:09:56.283 --> 03:09:57.663]  So thank you so much, sir.
[03:09:58.064 --> 03:09:58.464]  Go ahead.
[03:10:00.465 --> 03:10:01.726]  Thank you for inviting me.
[03:10:02.086 --> 03:10:05.588]  You know, a couple of weeks ago, I had the pleasure of interviewing you.
[03:10:06.769 --> 03:10:10.491]  And unfortunately, our little prediction was absolutely right.
[03:10:10.571 --> 03:10:11.532]  We're living in hell.
[03:10:12.894 --> 03:10:16.357]  And we are on the verge of the nuclear war.
[03:10:17.178 --> 03:10:22.442]  The third world war is unfortunately right here, right now.
[03:10:23.483 --> 03:10:32.250]  And we have to be absolutely clear, what's happening right now in Israel, in the Gaza sector, it's not just about the regional conflict.
[03:10:33.671 --> 03:10:35.593]  It's the end of the world as we know it.
[03:10:36.798 --> 03:10:54.296]  And not only because of the nuclear capabilities of the United States, missile capabilities of Iran, not because Pakistan can probably somehow get the nuke to Iranians and all those little scenarios that may happen.
[03:10:54.396 --> 03:10:54.937]  No, no, no.
[03:10:55.918 --> 03:10:56.959]  The truth was killed.
[03:10:59.136 --> 03:11:04.558]  Humanitarian values were killed, of course, on the 7th of October.
[03:11:05.098 --> 03:11:07.259]  That's a terrible act of terror.
[03:11:08.259 --> 03:11:14.421]  Of course, 1,300 dead Jewish people just because they're Jewish were massacred.
[03:11:15.201 --> 03:11:17.642]  And that's absolutely unacceptable.
[03:11:18.683 --> 03:11:20.583]  That's the purest form of terror.
[03:11:21.764 --> 03:11:31.648]   But a few weeks after that, we count 2,400 dead Kids of Palestine.
[03:11:33.390 --> 03:11:34.331]  And no one care.
[03:11:35.592 --> 03:11:37.414]  America doesn't want to see it.
[03:11:38.235 --> 03:11:40.857]  They're saying, oh, okay, you know, what can we do?
[03:11:40.897 --> 03:11:42.579]  That's collateral damage.
[03:11:43.860 --> 03:11:46.142]  That is not collateral damage.
[03:11:46.983 --> 03:11:48.685]  Those are babies that were killed.
[03:11:49.766 --> 03:11:51.808]  And their life is important.
[03:11:52.762 --> 03:11:58.746]  Not only black life matters, not only American life matters, not only Jewish life matters.
[03:11:59.607 --> 03:12:01.028]  Every life matters.
[03:12:01.788 --> 03:12:07.032]  But the world is saying that, OK, come on, we have to be honest.
[03:12:07.712 --> 03:12:10.915]  It's the time to end this question, finally.
[03:12:11.415 --> 03:12:15.398]  The final solution of the Arab question in Palestine.
[03:12:15.418 --> 03:12:21.182]  How can, you know, after Hitler, how can anyone pronounce those words?
[03:12:22.034 --> 03:12:30.379]  When I see the President of Israel stating that the whole Palestinian nation is guilty!
[03:12:31.340 --> 03:12:35.222]  Don't tell me that there are innocent civilians there!
[03:12:35.282 --> 03:12:36.803]  They all support Hamas!
[03:12:38.164 --> 03:12:38.584]  Come on!
[03:12:39.965 --> 03:12:40.425]  Babies?
[03:12:42.006 --> 03:12:42.926]  Pregnant women?
[03:12:44.227 --> 03:12:44.607]  Elderly?
[03:12:45.548 --> 03:12:46.529]  They have to suffer?
[03:12:48.310 --> 03:12:48.850]  In Russia?
[03:12:49.801 --> 03:13:03.388]  We've been facing awful terrorist attacks, but we never ever went all the way to kill every single human being in this village, every single human being in the city.
[03:13:03.468 --> 03:13:16.654]  That's why when Western propaganda, especially done by Boris Johnson's affiliates, started this butcher story, all Russians immediately said, that is a lie.
[03:13:18.112 --> 03:13:19.914]  Russian soldier will never do that.
[03:13:21.535 --> 03:13:24.537]  We do not believe in collateral damage.
[03:13:25.778 --> 03:13:26.539]  We see humans.
[03:13:27.980 --> 03:13:34.965]  And every time when Russian is speaking about babies, we're quoting Dostoevsky.
[03:13:36.767 --> 03:13:39.829]  The cost of the tear of the baby.
[03:13:41.170 --> 03:13:43.772]  We don't want to see those people being killed.
[03:13:44.353 --> 03:13:46.234]  We want all the terrorists to be killed.
[03:13:46.594 --> 03:13:47.295]  That's for sure.
[03:13:48.309 --> 03:13:54.073]  Every single terrorist has to be killed and it doesn't matter what kind of terrorist is he.
[03:13:54.854 --> 03:13:55.855]  Is he Hamas?
[03:13:57.336 --> 03:13:58.136]  Hezbollah?
[03:13:59.697 --> 03:14:00.238]  ISIS?
[03:14:01.319 --> 03:14:02.700]  Doesn't matter what's his name.
[03:14:02.840 --> 03:14:04.161]  Ukrainian Nazi?
[03:14:05.121 --> 03:14:05.942]  Doesn't matter.
[03:14:06.883 --> 03:14:08.504]  They have zero right to live.
[03:14:08.984 --> 03:14:14.368]  But when we see innocent kids being killed... No, no, no, no.
[03:14:15.604 --> 03:14:15.904]  Never.
[03:14:16.544 --> 03:14:28.948]  Even during the Second World War, Berlin, Nazis decided to stop Russian tanks from using Berlin's subway for getting there, because it was really wide.
[03:14:29.808 --> 03:14:31.269]  And they put water into there.
[03:14:31.689 --> 03:14:35.550]  Hitler flooded the subway and killed half a million Germans.
[03:14:35.570 --> 03:14:36.231]  Exactly.
[03:14:36.271 --> 03:14:37.231]  What did Russians do?
[03:14:37.671 --> 03:14:39.892]  We saved Germans.
[03:14:41.827 --> 03:14:46.291]  They killed 27 million Soviet people, and we saved them in Berlin.
[03:14:46.972 --> 03:14:48.974]  We didn't tell them, that's not our business.
[03:14:50.075 --> 03:14:51.316]  That's your problem.
[03:14:52.076 --> 03:14:53.037]  Go and die.
[03:14:53.157 --> 03:14:53.418]  Never.
[03:14:53.458 --> 03:14:58.142]  But the world has forgotten World War II, but we're actually fighting the last war, and you raised it.
[03:14:58.602 --> 03:15:05.188]  The words of Israel, I'm not even against Israel, and you're Jewish, is literally, these are animals, we're going to kill them all.
[03:15:05.609 --> 03:15:06.710]  These are Hitler quotes.
[03:15:06.810 --> 03:15:07.811]  I hate those words.
[03:15:08.582 --> 03:15:12.565]  I cannot imagine, not every single Jewish is Israeli.
[03:15:13.385 --> 03:15:17.708]  I cannot imagine how we can say those words about other nations.
[03:15:18.088 --> 03:15:22.110]  We who suffered during the Second World War because of genocide.
[03:15:23.451 --> 03:15:28.134]  What happened there, the Holocaust, it's the worst tragedy in the history of our people.
[03:15:28.614 --> 03:15:32.737]  And of course, October 7th is the worst episode since Holocaust.
[03:15:33.337 --> 03:15:37.339]  But we cannot behave the same way as they behaved against us.
[03:15:37.760 --> 03:15:38.080]  Never!
[03:15:39.443 --> 03:15:41.285]  That's not what humanity is about.
[03:15:41.825 --> 03:15:52.236]  The greatest Jewish philosopher, let's say, you know, religious teacher, Rebbe, Gilel once quoted, don't do to others what you don't want to be done to yourself.
[03:15:53.938 --> 03:15:56.100]  We should not kill innocent kids.
[03:15:57.307 --> 03:15:58.368]  They should not suffer.
[03:15:58.388 --> 03:16:00.949]  They have a right to live as human beings.
[03:16:01.009 --> 03:16:02.390]  And so Israel is losing.
[03:16:02.410 --> 03:16:02.750]  They're losing.
[03:16:02.770 --> 03:16:04.411]  They're living in prison.
[03:16:04.431 --> 03:16:05.011]  I agree.
[03:16:05.172 --> 03:16:06.472]  Israel's losing the high ground.
[03:16:06.532 --> 03:16:07.213]  No one can deny it.
[03:16:07.253 --> 03:16:08.133]  What's going to happen?
[03:16:08.594 --> 03:16:13.376]  And those tied into Ukraine and Zelensky and literal Nazis.
[03:16:13.737 --> 03:16:14.637]  What's happening there?
[03:16:16.398 --> 03:16:16.898]  That's easy.
[03:16:17.439 --> 03:16:18.219]  First of all, look.
[03:16:18.559 --> 03:16:19.960]  Whom are they blaming for Hamas?
[03:16:20.200 --> 03:16:21.141]  They're blaming Iran.
[03:16:21.161 --> 03:16:23.482]  Iran has nothing to do with Hamas.
[03:16:23.962 --> 03:16:24.803]  Iran is Hezbollah.
[03:16:26.235 --> 03:16:28.316]  Iran is Hezbollah, not Hamas.
[03:16:28.917 --> 03:16:31.398]  Hamas is supported by Turkey and Qatar.
[03:16:32.719 --> 03:16:38.702]  President of Turkey is stating, Hamas, they're not terrorists, they're freedom fighters, they're mujahideen.
[03:16:39.803 --> 03:16:41.744]  We do not consider them to be terrorists.
[03:16:42.184 --> 03:16:43.685]  They are Muslim brothers.
[03:16:44.425 --> 03:16:48.367]  The same political party that is ruling right now in Turkey.
[03:16:48.467 --> 03:16:49.088]  Very close.
[03:16:49.928 --> 03:16:54.931]  During the war in Syria, Hamas was fighting against Assad army.
[03:16:55.877 --> 03:16:58.119]  against Hezbollah and Russian forces.
[03:16:58.619 --> 03:17:05.144]  And now when they're saying, oh, come on, we see behind Hamas, Russians and the Iranians, it's complete lie.
[03:17:06.004 --> 03:17:16.832]  Turkey, the NATO country, and Qatar, the place where the largest or one of the largest American military bases, they are behind Hamas.
[03:17:18.273 --> 03:17:19.754]  Americans have to know the truth.
[03:17:20.494 --> 03:17:27.948]   So if you want to blame anyone for this terrorist attack, look, Into the origin of Hamas and you'll find Turkey and Qatar.
[03:17:28.368 --> 03:17:34.310]  Then he was using them for political reasons to fight Palestinian freedom organizations.
[03:17:35.690 --> 03:17:38.931]  And you'll find political forces inside Israel.
[03:17:39.751 --> 03:17:47.893]  For many years they were using Hamas to break these Palestinian organizations in pieces.
[03:17:48.533 --> 03:17:50.674]  They gave them Gaza, they used them.
[03:17:51.428 --> 03:17:56.793]  Even Netanyahu had a few very weird statements about that, about supporting Hamas.
[03:17:56.853 --> 03:17:59.916]  Now they're saying every Hamas fighter has to be killed.
[03:18:00.076 --> 03:18:00.877]  Of course, but how?
[03:18:01.297 --> 03:18:02.138]  How can you do that?
[03:18:03.334 --> 03:18:04.895]  They were preparing for two years.
[03:18:04.995 --> 03:18:13.062]  What happened with almighty security services of Israel, United States, United Kingdom?
[03:18:13.863 --> 03:18:15.044]  Vladimir, that's my next point.
[03:18:15.204 --> 03:18:16.905]  Looks like a stand down to me.
[03:18:17.366 --> 03:18:18.366]  Let's talk about that.
[03:18:18.767 --> 03:18:21.489]  Let's pull back to 35,000 feet or a million feet.
[03:18:21.949 --> 03:18:23.170]  And what's the big picture?
[03:18:24.071 --> 03:18:31.617]  And the distraction where they're going to have $100 billion more to Zelensky, $80 billion, $20 billion to Israel.
[03:18:32.038 --> 03:18:35.240]  What's the real reason for Biden giving all this?
[03:18:35.260 --> 03:18:39.384]  The real reason is Biden is losing the war in Ukraine.
[03:18:40.765 --> 03:18:42.426]  Money that will go there won't.
[03:18:42.566 --> 03:18:44.988]  I don't think that they will go directly to Ukraine.
[03:18:45.048 --> 03:18:46.749]  It's absolutely a corrupted country.
[03:18:47.190 --> 03:18:52.834]  Most part of this money going to be divided between Biden, Klan and others.
[03:18:54.241 --> 03:18:57.265]  Most part of this money won't even leave the United States of America.
[03:18:57.706 --> 03:19:02.612]  So, right now, by administration, they need to find a little war to win.
[03:19:03.533 --> 03:19:05.256]  The easiest way is to win this war.
[03:19:05.276 --> 03:19:08.900]  Exactly, they're losing in Ukraine, so this is the distraction.
[03:19:11.588 --> 03:19:18.109]  Right, so they will say, OK, Ukraine, not our fault, they're corrupted, by the way, they're Nazis, let's Europe handle that.
[03:19:18.489 --> 03:19:36.053]  But we, Great America, will fight Middle East, will bring you oil, will get you peace there, will protect Israel, and will destroy Iran, because they can try to use nuclear weapon against Iran, because Iran doesn't have nuclear ability.
[03:19:36.493 --> 03:19:37.294]  Stop there, you're right.
[03:19:37.314 --> 03:19:38.494]  This is World War 3.
[03:19:38.895 --> 03:19:42.997]  So this is the insane Western Black Rock establishment failing everywhere.
[03:19:43.017 --> 03:19:48.041]  So like Hitler losing against England and North Africa, he goes against Russia.
[03:19:48.321 --> 03:19:49.762]  They're doubling down.
[03:19:50.322 --> 03:19:51.983]  I think World War 3 has already begun.
[03:19:52.003 --> 03:19:53.905]  The question is, Vladimir, will it become nuclear?
[03:19:56.026 --> 03:19:56.506]  Of course.
[03:19:57.087 --> 03:19:58.468]  It has to become nuclear.
[03:19:58.848 --> 03:20:03.071]  Because America cannot use nuclear weapons against Russia.
[03:20:04.267 --> 03:20:09.129]  We, today, actually, today we showed what we can do with nuclear weapons.
[03:20:09.149 --> 03:20:10.909]  Now, we tested our triad.
[03:20:12.030 --> 03:20:13.690]  And that was very impressive.
[03:20:13.910 --> 03:20:14.711]  Very impressive.
[03:20:14.751 --> 03:20:16.831]  But Iran doesn't have nuclear weapons.
[03:20:17.352 --> 03:20:29.736]  So America will try to use Israeli nuclear weapons, as I see it, against Iran, stating that's the only way to stop Iranian proxies to fight Israel.
[03:20:31.343 --> 03:20:33.769]  And here you have nuclear war coming on.
[03:20:33.829 --> 03:20:34.591]  What happens next?
[03:20:35.413 --> 03:20:36.896]  China will say we don't like that.
[03:20:37.457 --> 03:20:38.379]  But Russians...
[03:20:39.574 --> 03:20:41.254]  We calculated this ability.
[03:20:41.294 --> 03:20:44.435]  That's why Putin said, okay guys, you want to play it tough?
[03:20:44.835 --> 03:20:45.755]  We will play it tough.
[03:20:45.936 --> 03:20:51.537]  That's why we have our supersonic missiles all the way up on our jets in the Black Sea.
[03:20:52.017 --> 03:21:03.720]  So they've loaded, that was my next question, they've loaded the Kinzhal missiles in the Black Sea, a hundred miles away from the aircraft carriers, and Putin said it's not a threat, it's a message from the Russian Air Force.
[03:21:03.760 --> 03:21:04.660]  What does that signify?
[03:21:06.417 --> 03:21:15.263]  That message says that we can destroy whatever aircraft carrier you have in the Mediterranean.
[03:21:15.983 --> 03:21:17.765]  We don't care what you have there.
[03:21:17.825 --> 03:21:18.785]  We can destroy them.
[03:21:18.825 --> 03:21:20.126]  That's what Kinzhals are for.
[03:21:20.847 --> 03:21:31.674]  And we're saying that if you're willing to use your nuclear abilities or if you're willing to use your fighters against Iran or unwisely, please think twice.
[03:21:32.654 --> 03:21:39.179]  We don't want this war to happen, but if we have to step in, we have all the abilities to do that.
[03:21:39.680 --> 03:21:41.601]  That's not what we're willing to do.
[03:21:42.602 --> 03:21:55.392]  We won't start, that's not in our military concept, but we will retaliate if we feel that is far too dangerous, vitally dangerous for Mother Russia.
[03:21:56.445 --> 03:22:06.552]  So, Vladimir, describe to us, from the Russian perspective, where the world is right now, because the International Atomic Science Association says we're the closest to midnight nuclear war we've ever been.
[03:22:06.572 --> 03:22:08.593]  Do you agree with that, and what can we do to stop it?
[03:22:09.234 --> 03:22:23.864]  I agree with that, because when... I'm not sure whether it's true or not, but Taki Carlson spoke with this great Conal guy, and they were saying that in the last 24 hours there was a massacre in Gaza Street.
[03:22:24.893 --> 03:22:33.399]  When Israeli special forces and American forces were massacred there when they were trying to do some kind of stuff.
[03:22:34.080 --> 03:22:35.061]  That's a bad news.
[03:22:35.641 --> 03:22:37.162]  You want to get into Gaza?
[03:22:37.202 --> 03:22:39.464]  There are 35,000 Hamas terrorists there.
[03:22:40.084 --> 03:22:42.947]  They've been for two years preparing for this war.
[03:22:43.907 --> 03:22:45.568]  So what should be done by Israel?
[03:22:45.629 --> 03:22:47.110]  They will try to destroy it.
[03:22:47.610 --> 03:22:51.473]  And then Hezbollah from the north will start participating.
[03:22:52.165 --> 03:22:55.826]  And those guys, Hezbollah guys, they're much tougher fighter than Hamas.
[03:22:56.626 --> 03:22:59.227]  They've been fighting for 12 years non-stop.
[03:22:59.987 --> 03:23:05.028]  They are very, very qualified fighters, and that will be a problem.
[03:23:05.328 --> 03:23:08.889]  So Israeli would say, no, no, no, we won't tolerate that.
[03:23:09.469 --> 03:23:14.470]  And we'll have to use the weapon of the Judgment Day.
[03:23:16.290 --> 03:23:17.950]  And that will be the end of the world.
[03:23:18.951 --> 03:23:29.060]   Because they will try to hit Iran, Iran will use whatever capacities they have and they have a lot of missiles and drones and all this stuff.
[03:23:29.701 --> 03:23:32.105]  So we're very close to this kicking off.
[03:23:32.906 --> 03:23:33.367]  Vladimir...
[03:23:34.338 --> 03:23:35.519]  How do you see this unfolding?
[03:23:35.619 --> 03:23:38.260]  How many Americans were killed in the last 24 hours?
[03:23:38.381 --> 03:23:38.981]  We don't know.
[03:23:39.501 --> 03:23:43.284]  We were told that two American bases in Syria were hit by someone.
[03:23:44.024 --> 03:23:45.385]  American never retaliated.
[03:23:45.725 --> 03:23:48.567]  We're told there are 20-plus wounded people.
[03:23:48.607 --> 03:23:49.087]  We don't know.
[03:23:49.167 --> 03:23:51.869]  Are they wounded or they killed military personnel?
[03:23:52.469 --> 03:23:57.152]  For the first time, they think that it's okay to hit American bases.
[03:23:57.272 --> 03:23:57.933]  That's no good.
[03:23:58.253 --> 03:23:59.213]  That's a bad sign.
[03:23:59.594 --> 03:24:00.915]  That's a sign of weakness.
[03:24:01.455 --> 03:24:03.216]  Biden doesn't threat anyone anymore.
[03:24:03.849 --> 03:24:05.209]  That's a very bad sign.
[03:24:06.089 --> 03:24:07.430]  Very bad sign for America.
[03:24:08.470 --> 03:24:10.310]  And it's awful sign for the whole world.
[03:24:11.091 --> 03:24:12.671]  I don't want Americans to be killed.
[03:24:13.391 --> 03:24:14.951]  I don't want Israels to be killed.
[03:24:15.171 --> 03:24:16.952]  I don't want Palestinians to be killed.
[03:24:17.692 --> 03:24:19.192]  We have to stop it now.
[03:24:20.633 --> 03:24:22.593]  We have to sit down and we have to talk.
[03:24:23.333 --> 03:24:28.334]  And we have to find a reasonable conclusion that everyone will live with.
[03:24:28.354 --> 03:24:32.035]  In any other case, there will be no one to talk to.
[03:24:35.796 --> 03:24:38.898]  Well, you're speaking to millions of... That's how I see it, man.
[03:24:38.998 --> 03:24:39.938]  I see it the same way.
[03:24:40.058 --> 03:24:51.865]  So, let's talk about the Ukraine war that's been going on for a year and a half, and the big offensive and where that is now, and Zelensky fired missiles... Well, first of all, Ukraine offense is a joke.
[03:24:52.345 --> 03:24:52.945]  It's nowhere.
[03:24:53.846 --> 03:24:56.887]  They lost more than 100,000 people killed for no reason.
[03:24:58.068 --> 03:25:01.910]  They have world-famous German tanks that are burning like candles.
[03:25:03.607 --> 03:25:06.368]  They had the American missiles that are hitting nowhere.
[03:25:07.208 --> 03:25:10.989]  Well, they're hitting something, but it doesn't change the face of war.
[03:25:12.129 --> 03:25:14.610]  They've been supplied with whatever they were asking for.
[03:25:16.450 --> 03:25:16.790]  Nothing.
[03:25:17.330 --> 03:25:21.431]  In the last five days, we had 24 airplanes.
[03:25:23.532 --> 03:25:25.212]  We put them down in the last five days.
[03:25:26.993 --> 03:25:28.893]  We can destroy them easily.
[03:25:29.582 --> 03:25:34.204]  But we're not fighting the way Israelis are fighting in Gaza Strip.
[03:25:34.604 --> 03:25:37.625]  Look, we are not fighting the cruel war.
