[00:00:12.100 --> 00:00:13.420]  It's Monday, October 9, 2023.
[02:57:52.348 --> 02:57:55.910]  Why are they attacking myself and Donald Trump and Elon Musk and everybody else?
[02:57:55.910 --> 02:58:01.014]  Because they can't get through this giant, megalomaniacal power grab if we're here exposing them.
[02:58:01.014 --> 02:58:03.456]  But we're not just exposing their operation.
[02:58:03.456 --> 02:58:12.062]  In my new book, we give you the solutions to build a new, better world, an alternative to Klaus Schwab's, you will eat the bugs.
[02:58:12.062 --> 02:58:13.383]  This is the Great Awakening.
[02:58:13.903 --> 02:58:18.268]  The plan to defeat the globalists and launch the second great renaissance.
[02:58:18.268 --> 02:58:24.936]  It's a companion to my last book that was a number one worldwide bestseller and this book is even thicker and even more powerful.
[02:58:24.936 --> 02:58:28.780]  Get your copy of The Great Awakening today at InfoWarstore.com.
[02:58:28.780 --> 02:58:33.523]  I'm going to say something obvious right now, but it's usually the obvious things that we all miss, including myself.
[02:58:54.352 --> 02:58:57.553]  Everybody's very excited about the impeachment of Joe Biden.
[02:58:57.553 --> 02:58:59.534]  But remember, he is a totally complete puppet.
[02:58:59.534 --> 02:59:06.096]  It needs to be about the criminals that control him, the CIA, BlackRock, the multinational corporations.
[02:59:06.096 --> 02:59:07.276]  People want to blame Obama.
[02:59:07.276 --> 02:59:09.997]  Yeah, he's a puppet, but he's still a puppet too.
[02:59:09.997 --> 02:59:12.818]  We need to make it about the power structure that's waging war.
[02:59:13.698 --> 02:59:19.004]  Against this country, it is de-industrializing us and attacking our culture and creating race war.
[02:59:19.004 --> 02:59:29.315]  We need to make the impeachment all about the open borders and the human trafficking and the global government and the UN taking control of our medical system.
[02:59:29.315 --> 02:59:30.576]  That's what we need to do.
[02:59:30.576 --> 02:59:32.378]  That's what we've got to stand for.
[02:59:32.378 --> 02:59:32.778]  That's what
[02:59:33.459 --> 02:59:34.660]  He's going to bring down the system.
[02:59:34.660 --> 02:59:44.548]  If we just make it about Mike Beck, just about how horrible he is, an isopedophile, and how his son's a crackhead, and gun charges, it becomes a distraction from the larger issues.
[02:59:44.548 --> 02:59:51.614]  We'll cover it all live at mfowards.com forward slash show.
[02:59:51.614 --> 02:59:55.537]  If you are receiving this transmission, you are the resistance.
[03:00:04.244 --> 03:00:12.974]  A country was because there were wealthy people like George Washington, who put his own money to funding the Continental Army.
[03:00:12.974 --> 03:00:18.020]  And so, it's not just money as power, but money as freedom.
[03:00:18.020 --> 03:00:21.144]  And you understand at a deeper level why when that
[03:00:22.452 --> 03:00:33.619]  When the elites create financial insecurity, you know, when what is it like 50 to 60% of the people in the world can't, in the United States can't put together $1,000 for an emergency?
[03:00:33.619 --> 03:00:33.840]  Well,
[03:00:36.914 --> 03:00:40.475]  That means you're hanging on by your fingertips.
[03:00:40.475 --> 03:00:44.636]  And so what do people do who are hanging on by their fingertips?
[03:00:44.636 --> 03:00:46.457]  They don't make waves.
[03:00:46.457 --> 03:00:56.700]  And so this is, you know, an argument that's being made a lot, which is why does it seem the powerful are interested in creating a cycle of dependency on us?
[03:00:56.700 --> 03:01:00.541]  Because, you know, when you're a parent and you've got a kid on an allowance,
[03:01:01.181 --> 03:01:03.823]  Well, you got control over them.
[03:01:03.823 --> 03:01:07.645]  You can say, do what I want or you don't get your allowance.
[03:01:07.645 --> 03:01:09.006]  And they're doing the same thing.
[03:01:09.006 --> 03:01:16.752]  And, you know, in this example, it's much darker because, you know, your parent wants the best for you.
[03:01:16.752 --> 03:01:21.495]  The parent is hoping when you're a teenager, you live to your 20s.
[03:01:21.495 --> 03:01:23.156]  You don't do something stupid.
[03:01:23.696 --> 03:01:24.336]  Well, that's right.
[03:01:24.336 --> 03:01:28.439]  People say all the time that globalists don't care about us.
[03:01:28.439 --> 03:01:29.079]  No, they do.
[03:01:29.079 --> 03:01:33.841]  They want to sabotage and hurt people to make us more controllable, to phase us out in their own words.
[03:01:54.279 --> 03:02:07.428]  And so, just like people didn't take Hitler serious, Hitler was an amateur compared to Klaus Schwab, and you all know Harari, in what they're calling for, a total end of carbon-based life, claiming they're gods.
[03:02:07.428 --> 03:02:09.650]  Ray Kurzweil said, I don't believe in God yet.
[03:02:09.650 --> 03:02:13.473]  Again, this is a declaration of war against humanity.
[03:02:14.133 --> 03:02:14.413]  I don't
[03:02:32.535 --> 03:02:34.697]  I like the human process, see, and we can decide.
[03:02:34.697 --> 03:02:39.241]  Humans are the only animal that builds its, controls its own environment, because we're not an animal.
[03:02:39.241 --> 03:02:39.962]  We're made in the image of God.
[03:02:39.962 --> 03:02:44.326]  We can look what we envisioned a thousand years ago or two hundred years ago, we've built.
[03:02:44.326 --> 03:02:45.347]  And so they know that.
[03:02:45.347 --> 03:02:50.291]  They want us to decide that, oh, you're overpopulated, you're bad, turn off your life forces, roll over and die.
[03:02:50.291 --> 03:02:51.792]  No, we're not going to do it, Kent.
[03:02:51.792 --> 03:02:53.073]  And so that's why the book is so important.
[03:02:53.073 --> 03:02:54.555]  I want to challenge viewers and listeners.
[03:02:55.964 --> 03:02:58.166]  But the bare minimum, it keeps us on air.
[03:02:58.166 --> 03:02:59.226]  And it funds the operation.
[03:02:59.226 --> 03:03:00.407]  It's a historical book.
[03:03:00.407 --> 03:03:01.588]  It's something you're not supposed to have.
[03:03:01.588 --> 03:03:04.050]  It's something the censors don't want you to have.
[03:03:04.050 --> 03:03:05.271]  And the other book was great.
[03:03:05.271 --> 03:03:06.832]  It was the number one bestseller.
[03:03:06.832 --> 03:03:11.456]  This, ladies and gentlemen, is light years better than the Great Reset and the War for the World.
[03:03:11.456 --> 03:03:12.516]  It is the Great Awakening.
[03:03:12.516 --> 03:03:14.618]  It's not just detailing the enemy operations.
[03:03:14.618 --> 03:03:17.300]  It's detailing how to defeat them.
[03:03:17.300 --> 03:03:19.902]  So, I have a little 4-5 minute promo video.
[03:03:20.422 --> 03:03:31.405]  That I shot last week that kind of breaks this down, Kent, and let's race through the other, I think there's 10 or 11 more chapters we haven't talked about, and you're only skimming the surface here.
[03:03:31.405 --> 03:03:38.367]  I mean, this is deep, hardcore research, but it's not giving you a headache like academics.
[03:03:38.367 --> 03:03:45.149]  We give our view, we show their statement, we show where they said it, we tie it together with the next chapter, and back to the last chapter.
[03:03:45.149 --> 03:03:46.670]  And I thought the book was great.
[03:03:47.512 --> 03:03:48.694]  Well, I got them in last week.
[03:03:48.694 --> 03:03:52.718]  They came in on Monday, the 18-wheeler of books.
[03:03:52.718 --> 03:03:57.304]  And I pulled a dozen out, because they show up at the shipping center.
[03:03:57.304 --> 03:04:00.808]  And I took them home, and I told my wife, you can't mail these out to family until the 20th.
[03:04:00.808 --> 03:04:03.071]  And I sat down, and I was like, well, I'm just going to read one chapter.
[03:04:03.071 --> 03:04:05.313]  Read four that night, even though I was already tired.
[03:04:05.954 --> 03:04:06.875]  And it went by quick.
[03:04:06.875 --> 03:04:09.558]  I was like, I just read like four huge chapters in two hours.
[03:04:09.558 --> 03:04:11.080]  Then the next night, read another three or four.
[03:04:11.080 --> 03:04:13.142]  And then I finished it this morning.
[03:04:13.142 --> 03:04:16.005]  And I was just like, I'm really proud of this.
[03:04:16.005 --> 03:04:17.426]  And I'm proud of the other book.
[03:04:17.426 --> 03:04:18.587]  It's a great book.
[03:04:18.587 --> 03:04:21.771]  But in fact, it's kind of sad that I thought that book was great.
[03:04:21.771 --> 03:04:23.072]  Now I don't think it's that good.
[03:04:23.072 --> 03:04:24.133]  I'm not putting it down.
[03:04:24.133 --> 03:04:26.716]  But I think, be honest with us before we go to this clip.
[03:04:26.716 --> 03:04:28.258]  How do you feel about this book compared to the last?
[03:04:29.881 --> 03:04:40.807]  You know, what was really funny is I've been working with the same editor at Skyhorse for probably 10 books, and she is the most reserved person I've ever met.
[03:04:40.807 --> 03:04:53.214]  You know, you put your blood, sweat, and tears into a book, you send it to your editor, you know, you get back all the notes, and you say, you know, you want to know, okay, I see all the comments, but what did you think about it?
[03:04:53.214 --> 03:04:55.596]  And so finally, I said, Caroline,
[03:04:58.288 --> 03:05:04.052]  A lot of listeners have complained in the last two years that our amazing, high-quality coffee has not been available.
[03:05:04.052 --> 03:05:08.876]  And that's because the prices went up too high for the raw beans and the quality had gone down some.
[03:05:08.876 --> 03:05:11.918]  I turned down so many companies that wanted to work with us.
[03:05:11.918 --> 03:05:21.486]  But now, we have brought back the coffee and it's even better from a national supplier that's veteran-owned and veteran-operated.
[03:05:21.486 --> 03:05:24.068]  It's powered by the company Minuteman Coffee.
[03:05:24.728 --> 03:05:33.252]  Ladies and gentlemen, this is the best-tasting, best-smelling, strongest coffee that I have ever drank.
[03:05:33.252 --> 03:05:35.093]  It is game-changing.
[03:05:35.093 --> 03:05:37.334]  All you gotta do is buy a bag of it and try it.
[03:05:37.334 --> 03:05:40.695]  I know you're gonna be hooked, which will then fund your Operation A360 win.
[03:05:40.695 --> 03:05:44.717]  Go to InfoWareStore.com right now for Escape the Prison Planet Light Roast.
[03:05:44.717 --> 03:05:45.778]  That's the strongest.
[03:05:45.778 --> 03:05:48.179]  The amazing medium-roast wig of America.
[03:05:48.619 --> 03:05:56.124]  And finally, the best tasting dark roast tip of the spear, now exclusively available at InfoWarStore.com.
[03:05:56.124 --> 03:06:04.889]  Get your coffee now.
[03:06:04.889 --> 03:06:13.574]  Crashing through the lies and disinformation, it's Alex Jones coming to you live from the front lines of the InfoWar.
[03:06:18.605 --> 03:06:21.347]  You never tell me, like, what you think!
[03:06:21.347 --> 03:06:26.509]  And she wrote me back and she goes, I think this book is going to set the world on fire.
[03:06:26.509 --> 03:06:29.450]  And I was just like, holy crap!
[03:06:29.450 --> 03:06:32.231]  You're the most reserved person I know!
[03:06:32.231 --> 03:06:39.614]  Well, this is live right now, but we're going to take a few clips of things you say and put them up front when this airs again on Monday to the full broadcast.
[03:06:39.614 --> 03:06:43.636]  So let's put a few, let's put that clip up front right there because, yeah, because again,
[03:06:45.555 --> 03:06:53.018]  I wanted to have everything in this book, and we got really frustrated, and we had to cut some chapters, add some chapters, we rewrote a lot of stuff.
[03:06:53.018 --> 03:07:00.841]  I said to you, I said, Kent, months ago, I said, too much of this is just recordings of me, and then you just prove what I say and put a citation on it.
[03:07:00.841 --> 03:07:07.724]  I said, I want you, because I'm impressed with the stuff you've had a bigger influence on, this is not like the last book where you were just organizing what I said.
[03:07:07.724 --> 03:07:10.825]  I said, I want to bring your brain in to organize this, so this book,
[03:07:11.365 --> 03:07:16.209]  That's why I said I want to put you as a co-author, not a ghostwriter, because you are a co-author on this.
[03:07:16.209 --> 03:07:23.034]  And I think you made the book much more powerful because you organized all this chaos I'm looking at and helped really distill it down.
[03:07:23.034 --> 03:07:26.016]  So, congratulations.
[03:07:26.016 --> 03:07:26.637]  Thank you very much.
[03:07:26.637 --> 03:07:27.998]  It was a pleasure to work with you.
[03:07:27.998 --> 03:07:30.600]  I know it was frustrating to make you throw a hat.
[03:07:30.600 --> 03:07:32.281]  I think at one point the book was up at like 700 pages long.
[03:07:34.719 --> 03:07:39.283]  And sure, reading a transcript of what I've said is important and it has links and it proves it.
[03:07:39.283 --> 03:07:43.607]  But what we did together, I mean, we worked intensely on this.
[03:07:43.607 --> 03:07:52.695]  I mean, I think some chapters we probably, like, I mean, we probably had like five, six meetings per chapter sometimes.
[03:07:52.695 --> 03:07:52.875]  Yeah.
[03:07:54.201 --> 03:07:57.204]  All right, well, ladies and gentlemen, it is The Great Awakening.
[03:07:57.204 --> 03:07:58.706]  Here's a little breakdown of it.
[03:07:58.706 --> 03:08:03.732]  We're going to come back, finish up talking about the book, and hit some of the other news that's unfolding.
[03:08:03.732 --> 03:08:05.994]  And there's some big surprises coming up next week.
[03:08:05.994 --> 03:08:11.661]  If you're watching this live on Saturday, we're going to air this, big parts of it, for an hour on Monday.
[03:08:11.661 --> 03:08:14.404]  I won't be in studio, and it's not because I'm on vacation.
[03:08:15.589 --> 03:08:18.753]  When people think I'm on vacation, I'm not on vacation.
[03:08:18.753 --> 03:08:28.103]  My wife and daughter might be with me when I go on the road, and they're off at the museum, or the planetarium, or the aquarium, or at the beach, if we're by the beach.
[03:08:28.103 --> 03:08:30.966]  I'm not doing that, folks, other than maybe an hour a day with them.
[03:08:30.966 --> 03:08:33.729]  I'm behind the scenes doing a lot.
[03:08:33.729 --> 03:08:34.650]  It's kind of like Fight Club.
[03:08:35.331 --> 03:08:41.154]  And I don't want to, it's cooler than Fight Club because we're not common, it's blowing up Wall Street, but it's the real Fight Club.
[03:08:41.154 --> 03:08:45.977]  And let's just say this, my work off-air is just as important as the on-air work.
[03:08:45.977 --> 03:08:55.422]  I've really reached, by the grace of God, the Lord works mysterious ways, a point now where, and the enemy knows this, they've got our phones tapped and stuff, but the public hasn't quite figured it out yet.
[03:08:57.606 --> 03:09:05.729]  I don't deserve this, but I'm now recognized as kind of the Tyler Durden behind the scenes with some of the biggest names out there.
[03:09:05.729 --> 03:09:10.291]  And a lot of that's going to start coming out because we're not launching Operation Chaos.
[03:09:10.291 --> 03:09:13.993]  We're launching Operation Renaissance, Operation Great Awakening.
[03:09:13.993 --> 03:09:20.496]  And because of all this, I've convinced a lot of people that now know I'm right to listen to me about how to challenge this and how to fight this.
[03:09:20.496 --> 03:09:25.518]  So all glory goes to God, spiritually, temporally to the audience, the crew, and everybody else.
[03:09:28.539 --> 03:09:31.161]  If they kill me, I didn't commit suicide like Matt Gaetz just said.
[03:09:31.161 --> 03:09:34.904]  And if they blow my airplane up, I didn't do it either, because I'm not dumb.
[03:09:34.904 --> 03:09:37.166]  We're hurting them bad right now.
[03:09:37.166 --> 03:09:38.347]  All glory goes to God.
[03:09:38.347 --> 03:09:39.208]  So here's a quick breakdown.
[03:09:39.208 --> 03:09:40.469]  We'll come right back with Kent Heckenlobby.
[03:09:40.469 --> 03:09:41.950]  Stay with us.
[03:09:41.950 --> 03:09:47.474]  Ladies and gentlemen, we cannot just oppose the globalists and their operations.
[03:09:47.474 --> 03:09:54.120]  Yes, it's important to expose them, to track their criminal operations, their depopulation, their pedophilia, their satanic agenda.
[03:09:55.151 --> 03:09:55.831]  We're good.
[03:10:14.326 --> 03:10:15.686]  It came out in 2022.
[03:10:15.686 --> 03:10:20.727]  There came a number one worldwide bestseller, The Great Reset and the War for the World.
[03:10:20.727 --> 03:10:25.128]  We lay out the enemy's own statements, their own plans.
[03:10:25.128 --> 03:10:27.549]  It is the blueprints to the Death Star.
[03:10:27.549 --> 03:10:31.790]  And that book is available signed or unsigned at infowarestore.com.
[03:10:31.790 --> 03:10:36.891]  But now we're talking about the new book, The Great Awakening.
[03:10:36.891 --> 03:10:39.992]  The Great Awakening, Defeating the Globalists.
[03:10:40.996 --> 03:10:43.637]  And launching the next great renaissance.
[03:10:43.637 --> 03:10:45.557]  And that's what this book does.
[03:10:45.557 --> 03:10:48.418]  It is 400 pages long.
[03:10:48.418 --> 03:10:56.879]  I would say that 60% of it is the latest enemy operations and how they're operating and what makes them tick and how to stop them.
[03:10:56.879 --> 03:11:08.402]  But then 40% or so is what we can build, different ideas, different systems to counter the dystopia that they are setting up.
[03:11:09.195 --> 03:11:10.616]  Now we're going to send this to number one.
[03:11:10.616 --> 03:11:12.297]  You're going to send this to number one.
[03:11:12.297 --> 03:11:15.999]  They are so pissed about this book, they're already attacking it.
[03:11:15.999 --> 03:11:24.363]  But I want to encourage all of you to go to InfoWarsprout.com and get a signed copy that's a fundraiser to keep us on air in a historical memento.
[03:11:24.363 --> 03:11:28.225]  And also get unsigned copies to give to your friends, your family, and your neighbors.
[03:11:28.225 --> 03:11:34.129]  Because this book is a major piece of history.
[03:11:34.129 --> 03:11:34.569]  So let me
[03:11:35.899 --> 03:11:38.020]  Go over some of what's in the book.
[03:11:38.020 --> 03:11:41.941]  We'll go ahead and go to an overhead shot and I'll show you the back of the book.
[03:11:41.941 --> 03:11:47.162]  A Tucker Carlson quote, a Bill Maher quote, a Joe Rogan quote, a Stephen K Manning quote, a Mickey Willis quote.
[03:11:47.162 --> 03:11:49.323]  And these quotes are absolutely dead on.
[03:11:49.323 --> 03:11:53.164]  Tucker Carlson says, Alex Jones is often mocked for his flamboyance.
[03:11:53.164 --> 03:11:57.646]  But the truth is, he's been far better guide to reality in recent years.
[03:11:57.646 --> 03:12:02.227]  In other words, a far better journalist than say, NBC News.
[03:12:02.227 --> 03:12:04.568]  Bill Maher, Alex Jones gets to speak.
[03:12:04.568 --> 03:12:05.408]  Everybody gets to speak.
[03:12:06.360 --> 03:12:07.541]  Here's Joe Rogan.
[03:12:07.541 --> 03:12:14.366]  Alex Jones is one of the most misunderstood people in the world, and he's been right about a lot of S-H-T.
[03:12:14.366 --> 03:12:15.447]  Stephen K. Bannon.
[03:12:15.447 --> 03:12:21.611]  For more than 20 years, no populist figure has been more of a bayonet in the back of the deep state than Alex Jones.
[03:12:21.611 --> 03:12:24.494]  Stephen K. Bannon, who also wrote the foreword to the book.
[03:12:25.410 --> 03:12:29.474]  Mickey Willis, award-winning documentary filmmaker, reaches hundreds of millions.
[03:12:29.474 --> 03:12:33.917]  Mainstream media is wrong the vast majority of the time, yet they are never held accountable.
[03:12:33.917 --> 03:12:39.262]  Alex Jones is right the vast majority of the time, and yet he is silenced and persecuted.
[03:12:39.262 --> 03:12:42.485]  The book, ladies and gentlemen, is unbelievable.
[03:12:42.485 --> 03:12:50.372]  And it was researched by the great researcher Kent Hechen-Lively, who double-checked everything I said, who fact-checked it all.
[03:12:50.372 --> 03:12:51.593]  It has a big
[03:12:53.908 --> 03:13:00.032]  Documents section in the back where we show you everywhere the sources come from.
[03:13:00.032 --> 03:13:05.015]  You need the Great Awakening, defeating the globalists and launching the next great renaissance.
[03:13:05.015 --> 03:13:07.917]  Today with the foreword by Stephen K. Bannon.
[03:13:07.917 --> 03:13:14.281]  Let's go to a document cam shot and give people a first look at this book.
[03:13:14.281 --> 03:13:15.202]  There's the Great Awakening.
[03:13:16.323 --> 03:13:17.524]  And it goes into the chapters.
[03:13:17.524 --> 03:13:19.125]  Ford by Stephen Bannon.
[03:13:19.125 --> 03:13:21.186]  A bayonet to the back of the deep state.
[03:13:21.186 --> 03:13:23.308]  Chapter 1, the threat of artificial intelligence.
[03:13:23.308 --> 03:13:29.572]  Chapter 2, Mao is in charge of the Democratic Party and political violence is bad except when it's directed at Alex Jones.
[03:13:29.572 --> 03:13:32.473]  Chapter 3, you're being modified against your will.
[03:13:32.473 --> 03:13:34.355]  That's the GMO genetic engineering.
[03:13:35.219 --> 03:13:40.322]  Chapter 4, they want you to be a teenager on an allowance, and that's just the beginning.
[03:13:40.322 --> 03:13:42.984]  The social credit score, the ESGs.
[03:13:42.984 --> 03:13:45.165]  Chapter 5, the eternal war of tyrants.
[03:13:45.165 --> 03:13:47.006]  Chapter 6, the war machine.
[03:13:47.006 --> 03:13:49.387]  Chapter 7, the deep state makes us move.
[03:13:49.387 --> 03:13:52.589]  Chapter 8, the education of Tucker Carlson, Joe Rogan, and others.
[03:13:52.589 --> 03:13:54.510]  That's the big inside baseball section.
[03:13:54.510 --> 03:13:55.431]  Very powerful.
[03:13:55.431 --> 03:13:56.792]  Chapter 9, Jeffrey Epstein.
[03:13:57.432 --> 03:14:01.813]  We're in the field of the globalists, Draculas, but even worse because they prey on their own children.
[03:14:01.813 --> 03:14:04.094]  They murder their own children and drink their blood.
[03:14:04.094 --> 03:14:04.894]  Totally proven.
[03:14:04.894 --> 03:14:05.874]  I name names.
[03:14:05.874 --> 03:14:08.235]  You cannot make this up.
[03:14:08.235 --> 03:14:10.575]  Chapter 10, the COVID lies and deception.
[03:14:10.575 --> 03:14:13.496]  Chapter 11, selling your soul to Hollywood and the CIA.
[03:14:13.496 --> 03:14:15.917]  Chapter 12, combat tactics for victory.
[03:14:15.917 --> 03:14:17.597]  Chapter 13, the final battle.
[03:14:17.597 --> 03:14:21.318]  Conclusion, how you know you're winning and more.
[03:14:21.318 --> 03:14:23.659]  The Great Awakening, exclusively available
[03:14:23.999 --> 03:14:24.960]  Alright Kent, you've done a great job.
[03:14:24.960 --> 03:14:27.422]  I've been jumping in a lot because we're all on the same mind here.
[03:14:27.422 --> 03:14:28.783]  We wrote this book together.
[03:14:28.783 --> 03:14:31.665]  But I want to hit some of the other chapters here in conclusion.
[03:14:53.288 --> 03:14:56.756]  We're gonna shove this into one of the hours Monday so it needs to fit.
[03:14:56.756 --> 03:15:00.103]  Or maybe we'll go at 1.30 on Monday into the fourth hour.
[03:15:01.004 --> 03:15:06.970]  Whatever much time it takes, air this on Monday, guys, because I'm going to be on an airplane going somewhere for a big interview on Monday.
[03:15:06.970 --> 03:15:08.071]  I'll leave it at that.
[03:15:08.071 --> 03:15:10.213]  We have a lot of other big developments after that.
[03:15:10.213 --> 03:15:14.197]  The week after, the planets are politically aligning, so pray for us.
[03:15:14.197 --> 03:15:16.639]  The enemy definitely knows we're over the target.
[03:15:16.639 --> 03:15:18.261]  So Ken, other comments about this book?
[03:15:18.261 --> 03:15:21.224]  I mean, we really can't hype this book enough.
[03:15:21.224 --> 03:15:25.167]  And again, I was proud of it till I read it in the hardcover as the actual book.
[03:15:25.888 --> 03:15:34.083]  Altogether, some of the stuff is like Shakespearean that you wrote off of what I said.
[03:15:34.083 --> 03:15:36.247]  The way we riff off each other is like jazz.
[03:15:36.247 --> 03:15:37.088]  I'm very proud of this.
[03:15:38.331 --> 03:15:52.891]  Yeah, well, it's kind of funny you mentioned jazz because I think of that same thing because you'll say something and you know, you have your personality, and I have a little different personality, but what we both share is a love for truth.
[03:15:52.891 --> 03:15:55.775]  And so I'm figuring out how do I talk
[03:15:56.988 --> 03:16:06.582]  With all the craziness in the world, the collapsing borders, the war with Russia, the insanity, the currency devaluations, the economy going crazy.
[03:16:06.582 --> 03:16:11.890]  You are crazy, in my view, if you don't get high-quality, storable food and water filtration and self-defense.
[03:16:12.330 --> 03:16:14.011]  Now, we're not selling guns and ammo.
[03:16:14.011 --> 03:16:16.973]  That's for you to go out and get for yourself and learn how to use if you haven't.
[03:16:16.973 --> 03:16:18.614]  And I'm preaching the choir on that.
[03:16:18.614 --> 03:16:23.537]  But a lot of people got plenty of guns, but they don't have enough storable food or water filtration.
[03:16:23.537 --> 03:16:25.258]  This is something you need now.
[03:16:25.258 --> 03:16:29.841]  And we've got it in the food department and in the high quality water filtration department.
[03:16:29.841 --> 03:16:35.564]  The highest quality food, the best water filtration at the lowest prices you're going to find and still get quality.
[03:16:35.564 --> 03:16:41.728]  Infowarsstore.com is running a special right now for 10% off on all storable food and on water.
[03:16:42.128 --> 03:16:48.232]  We have not had this many of our best-selling products back in stock in years because of supply chain breakdowns and all the rest of the stuff that's going on.
[03:16:48.232 --> 03:16:49.172]  And these are game-changing products.
[03:16:49.172 --> 03:16:50.813]  It's like our information's game-changing.
[03:16:50.813 --> 03:16:52.274]  These products are incredible.
[03:17:10.689 --> 03:17:14.450]  And I'm personally glad that these are now back in stock.
[03:17:14.450 --> 03:17:28.634]  All three of the InfoWars Platinum flagship products that have been sold out for months are now back in stock, but a very limited run because we only had a budget to get three or four thousand bottles of each one of these.
[03:17:28.634 --> 03:17:33.055]  We've got four thousand bottles of the HGH Max Boost that people love so much.
[03:17:34.147 --> 03:17:41.392]  We've got about 4,000 bottles of 1776 testosterone boost that just came in, and we've got about 3,000 bottles of Pain MD.
[03:17:41.392 --> 03:17:45.555]  Incredible natural pain reliever situation.
[03:17:45.555 --> 03:17:52.160]  All three of these are back in stock, and they're incredible, and they fund our operation at InfoWarsTore.com.
[03:17:57.597 --> 03:18:05.761]  Omega-3 fatty acids are needed for optimal strength, and they can only be obtained through diet.
[03:18:05.761 --> 03:18:16.185]  They can be found in grass-fed beef, which is why the ruling class is trying to ban it, and they can be found in fish, which are arguably the best source of omega-3s.
[03:18:17.566 --> 03:18:22.410]  But the problem today is finding fish without a high mercury content.
[03:18:22.410 --> 03:18:28.054]  Your best option is our Ultimate Fish Oil and Ultimate Krill Oil at InfowarsStore.com.
[03:18:29.952 --> 03:18:38.816]  Omega-3 fatty acids are essential for both our neurological and cardiovascular systems, our brain and our heart.
[03:18:38.816 --> 03:18:43.598]  They improve mood, mental clarity, and immune function.
[03:18:43.598 --> 03:18:48.740]  Get your essential Omega-3 fatty acids from the best sources available.
[03:18:48.740 --> 03:18:51.782]  Ultimate Fish Oil and Ultimate Krill Oil.
[03:18:51.782 --> 03:18:54.003]  Get some today at InfoWareStore.com.
[03:18:57.239 --> 03:19:05.422]  The most powerful Winfo Wars life formula yet, DNA Force Plus is now back in stock for 25% off while supplies last.
[03:19:05.422 --> 03:19:15.807]  This elite formula contains the most cutting-edge enzymes, potent antioxidants, and traditional naturally occurring ingredients to protect the vitality of your very DNA.
[03:19:15.807 --> 03:19:23.910]  The powerhouse ingredients in DNA Force Plus include QQQ, CoQ10, Organic Reishi Mushroom, Astrologous Root,
[03:19:24.130 --> 03:19:24.931]  We're good to go!
[03:19:47.068 --> 03:19:50.411]  With DNA Force Plus and Body Soul Support.
[03:19:50.411 --> 03:19:58.197]  These offers and so much more are only available at InfoWarsStore.com.
[03:19:58.197 --> 03:20:02.801]  Leading a frontal assault on the lies of the New World Order.
[03:20:02.801 --> 03:20:04.102]  It's Alex Jones.
[03:20:14.628 --> 03:20:25.720]  In a way that in a book that is, you know, engaging to the reader because books are something different than just, you know, a broadcast.
[03:20:25.720 --> 03:20:28.142]  It's really a mind-to-mind sort of thing.
[03:20:28.142 --> 03:20:31.506]  So, you know, you have to be working at a very high level.
[03:20:31.506 --> 03:20:33.468]  You have to use imagery.
[03:20:33.468 --> 03:20:37.012]  You have to say to yourself, okay, where is the reader getting tired?
[03:20:37.472 --> 03:20:41.655]  Where do I need to, you know, maybe throw a little bit of levity here?
[03:20:41.655 --> 03:20:46.118]  Where do I need to back it up and, you know, make a comparison to something else?
[03:20:46.118 --> 03:20:51.822]  Exactly, because most of my research is reading raw bills or documents or, and it gives, it makes me upset.
[03:20:51.822 --> 03:20:53.003]  This, I, that was it.
[03:20:53.003 --> 03:20:54.004]  I had fun reading the book.
[03:20:55.788 --> 03:21:12.882]  Yeah, and you know, it's kind of strange to say, okay, we're talking about people who want to destroy the world, and yet it's also a fun read because what you realize is these evil people are really terrible planners for society.
[03:21:12.882 --> 03:21:18.867]  It's not just that their plans are bad, it's that they don't work with human beings.
[03:21:18.867 --> 03:21:22.650]  The reason they need the secrecy is because their plans suck.
[03:21:23.903 --> 03:21:26.164]  It's not good for human beings.
[03:21:26.164 --> 03:21:32.986]  And when you tell human beings about this plan, like, you know, you've all know Harari.
[03:21:32.986 --> 03:21:40.168]  He thinks that the global useless class is going to be plugged into computer games and be on drugs.
[03:21:40.168 --> 03:21:44.609]  And then, you know, Mark Zuckerberg with Facebook creates meta
[03:21:45.299 --> 03:21:49.662]  Which he's like, oh, everybody's going to want to live in the virtual world.
[03:21:49.662 --> 03:21:51.384]  Well, you know, I got one of those things.
[03:21:51.384 --> 03:21:52.405]  I put it on.
[03:21:52.405 --> 03:21:57.869]  I tried to play the games and, you know, half an hour I got a splitting headache.
[03:21:57.869 --> 03:22:01.572]  And, you know, that thing has been sitting in my closet ever since.
[03:22:01.572 --> 03:22:03.293]  And that's why Facebook lost.
[03:22:03.293 --> 03:22:08.957]  But making dinner for your family or being at a campfire or praying to God never gets old.
[03:22:08.957 --> 03:22:09.558]  It just gets better.
[03:22:11.383 --> 03:22:24.689]  Yeah, you know, every day that my wife and I are both home, we sit outside and have a little bit of coffee and, you know, we're just talking about broken sprinklers, you know, whether our fountains work in, you know, what our kids are doing, you know, people we know.
[03:22:24.689 --> 03:22:30.492]  I mean, to me, that is, you know, better than anything else in the world.
[03:22:30.492 --> 03:22:32.352]  That is the high point of my day.
[03:22:32.352 --> 03:22:33.553]  We're designed to do it.
[03:22:33.553 --> 03:22:34.373]  It's what we are.
