[00:00:30.604 --> 00:00:35.508]  It's Sunday, June 18th, 2023.
[01:19:09.775 --> 01:19:11.296]  There's no comment on why that's happening?
[01:19:11.296 --> 01:19:13.077]  I think I just commented.
[01:19:13.077 --> 01:19:15.679]  Oh, no comment necessary!
[01:19:15.679 --> 01:19:18.821]  Of course Joe Biden's not a wannabe dictator!
[01:19:18.821 --> 01:19:27.166]  Just because he's trying to put the other candidate in prison for the rest of his life for a crime he himself committed doesn't mean he has a totalitarian impulse.
[01:19:27.166 --> 01:19:29.127]  Come on, that's absurd!
[01:19:29.127 --> 01:19:34.790]  It takes a lot more than jailing your political rivals to earn the title wannabe dictator.
[01:19:34.790 --> 01:19:36.652]  That's the consensus in Washington tonight.
[01:19:37.412 --> 01:19:40.496]  And in some ways, for once, the consensus may be right.
[01:19:40.496 --> 01:19:43.400]  It is not a small thing to be a wannabe dictator.
[01:19:43.400 --> 01:19:44.862]  It's quite a process.
[01:19:44.862 --> 01:19:45.724]  There are a lot of steps.
[01:19:47.093 --> 01:19:48.714]  First off, there is the money.
[01:19:48.714 --> 01:20:00.198]  The one thing that all dictators have in common is they enrich themselves and their families, their tribe, even as the countries they govern grow steadily poorer and more desperate.
[01:20:00.198 --> 01:20:03.459]  They take kickbacks from businesses and from other dictators.
[01:20:03.459 --> 01:20:07.281]  They use the official functions of their government to funnel cash to themselves.
[01:20:07.901 --> 01:20:10.342]  They don't bother to hide the fruits of this.
[01:20:10.342 --> 01:20:18.224]  They live in garish mansions with big lawns, far from the teeming cities, even as their own citizens languish in growing poverty.
[01:20:18.224 --> 01:20:22.165]  In some cases, literally living in tents on the street.
[01:20:22.165 --> 01:20:23.005]  So they don't really hide it.
[01:20:23.005 --> 01:20:24.565]  It's all pretty blatant.
[01:20:24.565 --> 01:20:26.086]  And ordinary people resent it.
[01:20:26.994 --> 01:20:30.095]  Of course they do, and wannabe dictators know they resent it.
[01:20:30.095 --> 01:20:31.555]  But they don't care.
[01:20:31.555 --> 01:20:34.956]  There's nothing the population can do about it in a dictatorship.
[01:20:34.956 --> 01:20:38.737]  It's no longer possible to fight injustice in a system like that.
[01:20:38.737 --> 01:20:42.718]  People can't gather in large numbers to protest the rule of the dictator.
[01:20:42.718 --> 01:20:47.899]  If they try that, they'll be arrested by his state security services, even years after the fact.
[01:20:48.880 --> 01:20:51.881]  A visit for men in body armor at the breakfast table.
[01:20:51.881 --> 01:20:53.361]  That happens.
[01:20:53.361 --> 01:20:58.842]  And if citizens persist in believing they can gather in groups to protest, they may be shot to death.
[01:20:58.842 --> 01:21:00.603]  A bullet to the throat.
[01:21:00.603 --> 01:21:11.705]  And then, just to make the humiliation complete, to make the lesson gin clear to everyone else watching, their relatives can be arrested for daring to complain that their children were killed for complaining.
[01:21:13.427 --> 01:21:15.508]  Happens in some places.
[01:21:15.508 --> 01:21:17.229]  Ask Ashley Babbitt's mother.
[01:21:17.229 --> 01:21:18.190]  Here she is in handcuffs.
[01:21:34.440 --> 01:21:39.062]  So don't be like Ashley Babbitt's mother, much less like poor Ashley Babbitt.
[01:21:39.062 --> 01:21:40.683]  She's dead now.
[01:21:40.683 --> 01:21:43.984]  That's the message a wannabe dictator would send.
[01:21:43.984 --> 01:21:48.066]  And by the way, it's not just public protest that would be banned in a dictatorship.
[01:21:48.066 --> 01:21:50.427]  You wouldn't be allowed to complain from your own home.
[01:21:51.207 --> 01:21:59.652]  Unauthorized opinions expressed on the internet would be censored, go too far, press too deep, tell too much truth, and they'll just erase your opinions.
[01:21:59.652 --> 01:22:01.333]  They have no choice, really.
[01:22:01.333 --> 01:22:04.114]  It's a matter, as they say, of trust and safety.
[01:22:04.114 --> 01:22:07.016]  You must trust the leader, or else you will jeopardize his safety.
[01:22:07.896 --> 01:22:10.959]  Not that you really can jeopardize his safety at this point.
[01:22:10.959 --> 01:22:13.561]  The leader has nuclear weapons, and you don't.
[01:22:13.561 --> 01:22:15.863]  He'll remind you of that from time to time.
[01:22:15.863 --> 01:22:22.889]  In any case, you're in the process of being disarmed anyway, along with everyone else who has shown questionable loyalty to the leader.
[01:22:22.889 --> 01:22:28.594]  Those who support the regime can keep their weapons and use them freely, including on public transportation.
[01:22:28.594 --> 01:22:30.115]  That's a core civil right for them.
[01:22:30.896 --> 01:22:35.601]  But for those who dissent from the program, self-defense is an unaffordable privilege.
[01:22:35.601 --> 01:22:38.604]  Turn in your guns, Mr. and Mrs. Peaceful Opposition.
[01:22:38.604 --> 01:22:41.026]  You're a danger to society, and we know who you are.
[01:22:42.153 --> 01:22:46.556]  And in fact, the wannabe dictator does know who they are because he knows everything.
[01:22:46.556 --> 01:22:49.238]  Technology has made him all-seeing.
[01:22:49.238 --> 01:23:01.067]  A report in Wired Magazine just this week revealed that the highly non-dictatorial Biden administration is busy tracking the phones of millions of Americans without their knowledge and without bothering to get a warrant.
[01:23:01.747 --> 01:23:09.900]  And at the same time, this same non-dictatorial administration is stockpiling a massive trove of damaging information about these same Americans.
[01:23:09.900 --> 01:23:13.506]  To be used at some point, we are sure, for entirely noble purposes.
[01:23:14.591 --> 01:23:16.873]  So the administration now knows everything.
[01:23:16.873 --> 01:23:21.758]  Where you spend your days, who you talk to, what you think, your porn habits.
[01:23:21.758 --> 01:23:23.139]  Not a big deal.
[01:23:23.139 --> 01:23:30.386]  The administration already knows what you buy, of course, because they've leaned on the big banks to turn over your confidential credit card information.
[01:23:30.386 --> 01:23:34.350]  Not because anyone here is a wannabe dictator, to be clear, but just because.
[01:23:35.251 --> 01:23:43.048]  It's nice to have that information, just in case, in the words of the Fox News PR department, a situation arises that needs to be, quote, addressed.
[01:23:43.048 --> 01:23:43.930]  It's all totally normal.
[01:23:43.930 --> 01:23:45.494]  It's not a dictatorship, okay?
[01:23:46.735 --> 01:23:55.662]  But in the end, the main reason you know Joe Biden is not a wannabe dictator is because he just does not fit the profile as a man.
[01:23:55.662 --> 01:23:56.863]  Dictators have that look.
[01:23:56.863 --> 01:23:59.405]  You know one when you've seen one.
[01:23:59.405 --> 01:24:05.450]  Dictators build cults of personality around themselves, and they use those cults to deny the glaringly obvious.
[01:24:06.590 --> 01:24:15.154]  In his later years, to name just one example, North Korean dictator Kim Il-sung developed an enormous baseball-sized tumor on the back of his neck.
[01:24:15.154 --> 01:24:16.034]  It was huge.
[01:24:16.034 --> 01:24:16.834]  It was grotesque.
[01:24:16.834 --> 01:24:17.595]  It was right there.
[01:24:17.595 --> 01:24:18.695]  You couldn't ignore it.
[01:24:18.695 --> 01:24:21.796]  You couldn't possibly not see it.
[01:24:21.796 --> 01:24:24.017]  But in North Korea, state media did ignore it.
[01:24:24.017 --> 01:24:25.678]  They pretended it didn't exist.
[01:24:25.678 --> 01:24:29.039]  And so, in some important sense, it didn't.
[01:24:29.039 --> 01:24:33.121]  If a tumor grows on a neck, but no one acknowledges it, is it really there?
[01:24:34.718 --> 01:24:38.239]  Thankfully, nothing like that is happening in our country, or ever will.
[01:24:38.239 --> 01:24:45.301]  If Joe Biden ever developed some profound physical or medical problem that was obvious to everybody, journalists would say something.
[01:24:45.301 --> 01:24:46.461]  This is not North Korea.
[01:24:46.461 --> 01:24:48.761]  We don't have state media here.
[01:24:48.761 --> 01:25:02.665]  If Joe Biden was, say, incapable of completing a full sentence, or mistook his sister for his wife, or suddenly started falling down in public for no reason, the New York Times would report on that, and they'd get to the bottom of what was actually happening.
[01:25:03.405 --> 01:25:06.107]  That would be its duty in a free country like ours.
[01:25:06.107 --> 01:25:07.968]  It's not like they would cover it up.
[01:25:07.968 --> 01:25:12.031]  The very idea of a cover-up sounds like a conspiracy theory, a dangerous one, actually.
[01:25:12.031 --> 01:25:13.993]  So stop it.
[01:25:13.993 --> 01:25:18.216]  And by the way, if Joe Biden was a wannabe dictator, he'd have the family to match.
[01:25:18.216 --> 01:25:19.877]  All dictators do.
[01:25:19.877 --> 01:25:22.278]  Saddam Hussein had Uday and Qusay.
[01:25:22.278 --> 01:25:30.965]  They were princelings who lived above the law, indulging their most decadent fantasies with total confidence they would be never held to account by the police.
[01:25:32.099 --> 01:25:35.321]  As the sons of a dictator, they knew they could do exactly what they wanted.
[01:25:35.321 --> 01:25:36.962]  And so that's what they did.
[01:25:36.962 --> 01:25:39.124]  There's no one like that around Joe Biden.
[01:25:39.124 --> 01:25:44.468]  He doesn't have weird sex scandals at the heart of his family that no one in the media will ever talk about.
[01:25:44.468 --> 01:25:49.631]  He doesn't have a ne'er-do-well former nightclub-owning brother who's made a living for 30 years by being related to him.
[01:25:49.631 --> 01:25:50.652]  Not at all.
[01:25:50.652 --> 01:25:51.553]  That's dictator stuff.
[01:25:52.560 --> 01:25:58.523]  Joe Biden doesn't award ridiculous inflated titles to his relatives that the media are then required to take seriously.
[01:25:58.523 --> 01:26:05.846]  He doesn't call people doctor who didn't go to medical school and then force you to nod along like it's real when everyone knows it isn't.
[01:26:05.846 --> 01:26:08.467]  Nikolai Ceausescu did that with his wife Elena.
[01:26:08.467 --> 01:26:09.528]  Joe Biden would never do that.
[01:26:10.481 --> 01:26:12.643]  Nor does Joe Biden dress like a dictator.
[01:26:12.643 --> 01:26:21.491]  He doesn't do photo ops in mirrored sunglasses driving a sports car to convince you that he isn't frail and senile, but instead powerful, virile and wise.
[01:26:21.491 --> 01:26:23.172]  That's just not his style.
[01:26:23.172 --> 01:26:27.736]  If Joe Biden was a dictator, he'd be wearing epaulettes and carrying a tasseled riding crop.
[01:26:27.736 --> 01:26:28.837]  And he isn't yet.
[01:26:28.837 --> 01:26:29.498]  So calm down.
[01:26:30.788 --> 01:26:34.451]  If he was a dictator, Biden's speeches would look like Nuremberg rallies.
[01:26:34.451 --> 01:26:40.475]  A blood-red backdrop, armed soldiers by his side, screaming about crushing his eternal enemies.
[01:26:41.820 --> 01:26:46.481]  Honestly, Biden did come close to that one time last September at a speech in Philadelphia.
[01:26:46.481 --> 01:26:49.101]  But it wasn't in any sense dictatory.
[01:26:49.101 --> 01:26:50.522]  Dictatory!
[01:26:50.522 --> 01:26:51.842]  It was necessary.
[01:26:51.842 --> 01:27:02.824]  As MSNBC assures at the time, quote, See, it was about democracy, not dictatorship.
[01:27:02.824 --> 01:27:04.005]  No cause for alarm.
[01:27:04.005 --> 01:27:06.165]  He is not a dictator.
[01:27:06.165 --> 01:27:10.546]  A dictator would stockpile ammunition for his own bureaucrats, including his tax collectors.
[01:27:11.286 --> 01:27:16.088]  He redefined the legal code to make disloyalty to the regime the most serious crime.
[01:27:16.088 --> 01:27:20.870]  He claimed dominion over the most intimate parts of his citizens' lives.
[01:27:20.870 --> 01:27:26.153]  He defined what attitudes they were allowed to have about sex and religion and how to raise their families.
[01:27:27.062 --> 01:27:33.968]  He would even, in his final grandiose stage of dictatorship, claim ownership of their children.
[01:27:33.968 --> 01:27:35.770]  And Joe Biden wouldn't do that.
[01:27:35.770 --> 01:27:40.354]  And to prove he would never do that, Biden just this week released this video.
[01:27:40.354 --> 01:27:41.895]  These are our kids.
[01:27:41.895 --> 01:27:43.737]  These are our neighbors.
[01:27:43.737 --> 01:27:44.718]  Not somebody else's kids.
[01:27:44.718 --> 01:27:46.079]  They're all our kids.
[01:27:46.079 --> 01:27:50.243]  And our children are the kite strings that hold our national ambitions aloft.
[01:27:50.243 --> 01:27:53.646]  It matters a great deal how we treat everyone in this country.
[01:27:54.677 --> 01:28:02.780]  LGBTQ Americans, especially children, you're loved, you're heard, and this administration has your back.
[01:28:02.780 --> 01:28:03.800]  See?
[01:28:03.800 --> 01:28:08.262]  Joe Biden isn't saying your children belong to him like a dictator would.
[01:28:08.262 --> 01:28:10.142]  He's saying something very different from that.
[01:28:10.142 --> 01:28:13.003]  He's saying America's children are, quote, our children.
[01:28:13.003 --> 01:28:14.624]  Not his alone.
[01:28:14.624 --> 01:28:15.484]  Ours.
[01:28:15.484 --> 01:28:20.026]  You share your children with Joe Biden evenly, right down the middle, with alternating weekends.
[01:28:20.868 --> 01:28:25.270]  You've got joint custody with Joe Biden, and you can thank heaven that you do.
[01:28:25.270 --> 01:28:27.171]  A nation is like a family.
[01:28:27.171 --> 01:28:29.152]  Every family has a head, a father.
[01:28:29.152 --> 01:28:31.713]  That's Joe Biden, our nation's father.
[01:28:31.713 --> 01:28:34.295]  And this, ladies and gentlemen, is now his fatherland.
[01:28:34.295 --> 01:28:41.098]  Just don't call it a dictatorship, or we'll have to issue a statement disavowing you.
[01:28:41.098 --> 01:28:43.980]  Younger people say the news is full of lies.
[01:28:43.980 --> 01:28:44.100]  Sen.
[01:28:44.100 --> 01:28:45.840]  Kennedy's motorcade.
[01:28:45.840 --> 01:28:48.502]  239 people know the death of Jeffrey Epstein.
[01:28:53.239 --> 01:28:53.500]  Yeah.
[01:28:58.615 --> 01:29:01.337]  There is a war for the future happening right now.
[01:29:01.337 --> 01:29:06.199]  There is a war that will control my destiny, your destiny, our children's destinies.
[01:29:06.199 --> 01:29:11.522]  And that war is something that we can win, but it takes dedication, it takes commitment.
[01:29:11.522 --> 01:29:21.548]  That's why I ask listeners, respectfully, to go to mfullmorestore.com and buy great products that will enrich and empower your life while keeping us on air at the very same time.
[01:29:22.248 --> 01:29:37.527]  Infowarstore.com to get a signed or unsigned copy of my book, The Great Reset and War for the World, Ultimate Bone Broth, Back in Stock, Nitric Boost, the amazing CBD oil we have that's the highest quality you're going to find anywhere at more than half off.
[01:29:38.107 --> 01:29:40.328]  It's all available at InfoWarsTore.com.
[01:29:40.328 --> 01:29:42.150]  Some of the very best products.
[01:29:42.150 --> 01:29:44.291]  And a lot of you have never shopped at InfoWarsTore.
[01:29:44.291 --> 01:29:49.614]  You've been watching for years, you've been listening for years, but you've never taken the step to go to InfoWarsTore.
[01:29:49.614 --> 01:29:52.476]  These are great products that really work and are amazing.
[01:29:52.476 --> 01:29:53.857]  Plus, they keep us on air.
[01:29:53.857 --> 01:29:55.358]  So again, please take action.
[01:29:55.358 --> 01:29:58.160]  Go to InfoWarsTore.com today, and I thank you.
[01:29:58.920 --> 01:30:07.127]  Ladies and gentlemen, this book, The Great Reset and the War for the World, is a historic book that documents the globalists, in their own words, plan for our future.
[01:30:07.127 --> 01:30:08.569]  That is a hellish future.
[01:30:08.569 --> 01:30:17.997]  Now, you'll always, while they still allow books, I guess they're starting to ban them, be able to get an unsigned copy of The Great Reset and the War for the World at bookstores, Amazon, or Infowarshore.com.
[01:30:17.997 --> 01:30:23.582]  But you will never be able to get another signed copy of the book after the signed copies we got run out.
[01:30:23.582 --> 01:30:25.544]  And there's about a thousand left of them right now.
[01:30:26.144 --> 01:30:31.527]  So get your copy of The Great Reset and The War for the World, a signed copy, at InfoWarsHore.com.
[01:30:31.527 --> 01:30:35.469]  And there is a markup there because this is a fundraiser to keep us on the air.
[01:30:35.469 --> 01:30:41.352]  So you won't just have this historic memento and this powerful book, you'll also know that you help keep InfoWars on the air.
[01:30:41.352 --> 01:30:43.433]  I want to thank those of you that have gotten signed copies of the book.
[01:30:44.213 --> 01:30:45.274]  Or unsigned copies.
[01:30:45.274 --> 01:30:55.645]  But I want to encourage all of you who haven't yet to go to infowarshore.com and get a signed copy and buy a couple of unsigned copies and donate them to the library or give them to the local school.
[01:30:55.645 --> 01:30:56.686]  This is an InfoWar.
[01:30:56.686 --> 01:30:58.448]  I'm counting on you and thank you for your support.
[01:30:58.448 --> 01:30:59.549]  You wanted to plug RainForce.
[01:30:59.549 --> 01:31:00.230]  Do you like RainForce?
[01:31:00.610 --> 01:31:03.133]  Yeah, so my name is Ken Heckenladley.
[01:31:03.133 --> 01:31:05.396]  How do I write all the books that I do?
[01:31:05.396 --> 01:31:11.703]  Four books with Dr. Judy Majkowicz, four books with Project Veritas Whistleblowers, and now two books with Alex Jones?
[01:31:11.703 --> 01:31:15.108]  That's because I use brain force every day.
[01:31:15.108 --> 01:31:16.910]  What I always need is I always need
[01:31:17.410 --> 01:31:19.091]  Some sort of boost in the morning.
[01:31:19.091 --> 01:31:23.032]  And so, you know, I try to exercise, eat well, take good vitamins.
[01:31:23.032 --> 01:31:28.594]  But the one thing that I have really found that makes a difference is brain force.
[01:31:28.594 --> 01:31:36.296]  I'll take brain force in the morning right before I go to my computer and I'm good for the next four or five hours writing a whole lot of stuff.
[01:31:36.296 --> 01:31:41.938]  So it really is true that brain force is something I use every day and it helps me with my writing.
[01:31:42.398 --> 01:31:43.139]  All right, we love you.
[01:31:43.139 --> 01:31:43.739]  We'll be right back.
[01:31:43.739 --> 01:31:48.803]  Get your BrainForce Plus, BrainForce Ultra, and TurboForce at InfoWarsTore.com.
[01:31:48.803 --> 01:31:59.712]  We'll be right back with our number two.
[01:31:59.712 --> 01:32:10.421]  We have three original, one-of-a-kind toothpaste designed by my father, a dentist, at InfoWarsTore.com that don't have fillers, that are filled with high-quality essential oils, and more.
[01:32:10.421 --> 01:32:11.482]  We have a turmeric toothpaste,
[01:32:12.315 --> 01:32:24.926]  We have the Ultimate Tooth Whitening with Pearl Calcium Toothpaste, and we have the amazing Activated Charcoal Toothpaste, again, with a whole bunch of key essential oils that are so good, not just for your teeth and your gums, but your whole mouth, your throat, and more.
[01:32:24.926 --> 01:32:27.008]  These are really game-changing toothpastes.
[01:32:27.008 --> 01:32:28.349]  They're very, very strong.
[01:32:28.349 --> 01:32:30.431]  Most over-the-counter toothpastes have fluoride.
[01:32:30.431 --> 01:32:31.512]  Ours don't.
[01:32:31.512 --> 01:32:32.933]  And it doesn't have fillers in it.
[01:32:32.933 --> 01:32:34.555]  It is just chock-full.
[01:32:35.135 --> 01:32:38.877]  Of incredible things that God gave us through Mother Nature.
[01:32:38.877 --> 01:32:40.877]  So, it's now back in stock.
[01:32:40.877 --> 01:32:42.438]  It became a best-seller.
[01:32:42.438 --> 01:32:45.679]  The turmeric toothpaste is available again at mfullmorestore.com.
[01:32:45.679 --> 01:32:47.280]  We're selling out of the tooth whitening toothpaste.
[01:32:47.280 --> 01:32:48.381]  We've got some of that left.
[01:32:48.381 --> 01:32:52.642]  And we also have some of the amazing activated charcoal toothpaste in stock, but it's running out as well.
[01:32:52.642 --> 01:32:56.264]  So, all three toothpastes in stock for a limited time, mfullmorestore.com.
[01:33:00.891 --> 01:33:05.527]  Leading a frontal assault on the lies of the New World Order.
[01:33:05.527 --> 01:33:06.812]  It's Alex Jones!
[01:33:18.715 --> 01:33:21.196]  We are back live on this Sunday transmission.
[01:33:21.196 --> 01:33:27.898]  Owen's going to be live in studio coming up in about 30 minutes with Sunday live at Infowars.com forward slash show.
[01:33:27.898 --> 01:33:35.020]  Now, I was interviewed yesterday by Peter McIlvenna, who was a really smart, informative podcaster, but he kind of let me run.
[01:33:35.020 --> 01:33:36.900]  It was about a 40-minute interview.
[01:33:36.900 --> 01:33:44.003]  We'll link it up on Infowars.com to see the full thing, but I want to hear about 25 minutes of it here in just a moment because he asked me some important questions.
[01:33:44.003 --> 01:33:44.323]  I'm nervous.
[01:33:44.323 --> 01:33:45.043]  It's an important
[01:33:45.763 --> 01:33:46.163]  We're good to go.
[01:34:09.468 --> 01:34:12.591]  That said, at least we're in the fight, and I want to commend you all for your support.
[01:34:12.591 --> 01:34:20.759]  But I'm not in competition with Joe Rogan, or Robert F. Kennedy Jr., or Del Bigtree, or, you know, any of these people.
[01:34:21.670 --> 01:34:22.891]  I love what they're doing.
[01:34:22.891 --> 01:34:24.112]  I love how hardcore they are.
[01:34:24.112 --> 01:34:27.836]  Because the Globals are planning new viral releases, new lockdowns.
[01:34:27.836 --> 01:34:31.760]  But so many other talk show hosts are territorial.
[01:34:31.760 --> 01:34:35.003]  People even ask me, like, why are you even showing clips of Tucker Carlson?
[01:34:35.003 --> 01:34:36.144]  Or why are you showing Joe Rogan clips?
[01:34:36.144 --> 01:34:37.325]  Or why are you showing this?
[01:34:37.325 --> 01:34:39.267]  Because they're good people.
[01:34:39.267 --> 01:34:40.928]  They're really getting more hardcore.
[01:34:40.928 --> 01:34:42.230]  They're really waking up.
[01:34:42.230 --> 01:34:43.811]  Tucker's completely awake.
[01:34:43.811 --> 01:34:44.512]  Joe's about 90% there.
[01:34:46.053 --> 01:34:48.514]  And I'd love to just beat this thing and back this evil off.
[01:34:48.514 --> 01:34:55.198]  We still have crime and some problems and things, but not active evil in charge of the corporations and government.
[01:34:55.198 --> 01:34:56.679]  Wouldn't be openly running the show.
[01:34:56.679 --> 01:34:58.600]  We could, you know, mitigate it.
[01:34:58.600 --> 01:35:01.381]  And so that's really my goal here, is to be obsolete.
[01:35:01.381 --> 01:35:03.843]  The problem is we're far from obsolete.
[01:35:03.843 --> 01:35:15.409]  And whereas a lot of people now understand things I knew 20 years ago, and that's hurting the globalist agenda, people need to know the big picture and be able to tie it all together, how it's a concerted evil effort.
[01:35:16.570 --> 01:35:18.171]  And that's where we still come in.
[01:35:18.171 --> 01:35:19.231]  So we're not obsolete.
[01:35:19.231 --> 01:35:22.693]  In fact, we're more important than ever to talk about what's coming next.
[01:35:22.693 --> 01:35:28.015]  Yes, everybody can discover we're right about what happened and we predicted it, but we wanted to stop it.
[01:35:28.015 --> 01:35:30.856]  So now I want to stop the rest of their agenda happening.
[01:35:30.856 --> 01:35:34.598]  We've got a good chance now because people now know I'm not exaggerating.
[01:35:34.598 --> 01:35:35.298]  This isn't a game.
[01:35:35.298 --> 01:35:42.902]  And that's why the enemy was so upset by us because they knew I had their number and it integrated all their systems together and really reverse engineered their operations.
[01:35:44.477 --> 01:35:49.499]  I've done an hour and a half plus here this evening and have not plugged one time.
[01:35:49.499 --> 01:35:51.880]  So our biggest problem is me.
[01:35:51.880 --> 01:35:54.381]  I say, hey, only 1% of our listeners buy product.
[01:35:54.381 --> 01:35:59.242]  If 2% bought product, we'd be doing great and be able to expand, not just hold the line.
[01:35:59.242 --> 01:36:03.164]  But if I plug two or three times an hour, we always bring in plenty of money.
[01:36:03.164 --> 01:36:05.605]  If I plug once an hour, we break even.
[01:36:05.605 --> 01:36:07.806]  I have not done my job tonight, so that's my fault.
[01:36:09.281 --> 01:36:11.522]  You're going to have to step up because I haven't done my job.
[01:36:11.522 --> 01:36:13.263]  If you want to keep us on air, turmeric toothpaste.
[01:36:13.263 --> 01:36:16.744]  I didn't think it was a bad idea when my dad came up with it, but I thought, well, that's okay.
[01:36:16.744 --> 01:36:20.086]  I like the tooth whitening toothpaste and, you know, the charcoal toothpaste.
[01:36:20.086 --> 01:36:20.826]  That's my idea.
[01:36:20.826 --> 01:36:24.528]  That's already a best seller, so we just made a better version of it.
[01:36:24.528 --> 01:36:26.349]  This has been the all-time best-selling toothpaste.
[01:36:27.276 --> 01:36:28.817]  And it sold out the first two runs.
[01:36:28.817 --> 01:36:30.158]  It finally came back in.
[01:36:30.158 --> 01:36:30.959]  There's no fillers.
[01:36:30.959 --> 01:36:31.679]  It's full of turmeric.
[01:36:31.679 --> 01:36:33.360]  So good for your gums, your teeth, your whole body.
[01:36:33.360 --> 01:36:35.822]  And a bunch of essential oils that are amazing as well.
[01:36:35.822 --> 01:36:36.942]  And it keeps us on air.
[01:36:36.942 --> 01:36:40.865]  Back in stock, your turmeric toothpaste at infowarestore.com.
[01:36:40.865 --> 01:36:43.987]  And we have the tooth whitening toothpaste that's, by the way, selling out.
[01:36:43.987 --> 01:36:49.591]  And we have the charcoal toothpaste, which is popular as well, just not as popular as the turmeric.
[01:36:49.591 --> 01:36:53.693]  So all three are in stock right now, but soon will be sold out of the tooth whitening toothpaste.
[01:36:53.693 --> 01:36:54.434]  And we haven't had that.
[01:36:55.572 --> 01:36:58.034]  Six months, got a small shipment in.
[01:36:58.034 --> 01:37:01.077]  Also, Super Female Vitality has come back in.
[01:37:01.077 --> 01:37:02.798]  It's the same formula, super male.
[01:37:02.798 --> 01:37:05.401]  Male has a blue label, female has a pink label.
[01:37:05.401 --> 01:37:07.743]  People want a different label, but it does the same thing.
[01:37:07.743 --> 01:37:09.384]  Libido, stamina, energy.
[01:37:09.384 --> 01:37:14.789]  It's 50% off at InfoWarsTore.com or call toll free, 888-253-3139.
[01:37:14.789 --> 01:37:16.770]  But whether it's an Alexa Pure water filtration system,
[01:37:20.053 --> 01:37:20.253]  I think so.
[01:37:40.188 --> 01:37:42.629]  Goji berry, a turmeric, a list goes on and on.
[01:37:42.629 --> 01:37:48.172]  That is incredible for your whole energy and your bones and your mind and it's just the superfood.
[01:37:48.172 --> 01:37:49.853]  You think protein powders powerful?
[01:37:49.853 --> 01:37:50.194]  This is like...
[01:37:53.616 --> 01:37:54.176]  Squared.
[01:37:54.176 --> 01:37:55.777]  I mean, this is just the next level.
[01:37:55.777 --> 01:37:57.258]  Infowarsstore.com.
[01:37:57.258 --> 01:37:58.619]  Check out all the products.
[01:37:58.619 --> 01:38:00.661]  Infowarsstore.com.
[01:38:00.661 --> 01:38:06.004]  And we're going to go now to part of this important podcast I taped yesterday that dropped today.
[01:38:06.004 --> 01:38:07.685]  We'll post the full thing at Infowars.com.
[01:38:07.685 --> 01:38:12.588]  And then Owen Troyer, in 26 minutes, is going to be sitting right here in this chair.
[01:38:12.588 --> 01:38:15.150]  But listen, it's Father's Day.
[01:38:15.150 --> 01:38:16.330]  I made the crew come in.
[01:38:16.330 --> 01:38:17.191]  I came in here.
[01:38:17.191 --> 01:38:19.472]  I wanted to take my daughter swimming or something.
[01:38:19.472 --> 01:38:20.013]  But you know what?
[01:38:21.030 --> 01:38:21.711]  I need to nail it.
[01:38:21.711 --> 01:38:22.492]  I need to fight harder.
[01:38:22.492 --> 01:38:24.034]  We're so close to winning.
[01:38:24.034 --> 01:38:24.835]  So I'm here.
[01:38:24.835 --> 01:38:25.656]  I need you to decide.
[01:38:25.656 --> 01:38:27.498]  Hey, this is important stuff he's doing.
[01:38:27.498 --> 01:38:29.421]  Plus, he's got some great products.
[01:38:29.421 --> 01:38:32.865]  So for those of you who got the products and liked them and never ordered them again, please go order them.
[01:38:32.865 --> 01:38:36.029]  For those that order products and routinely order them, I thank you.
[01:38:36.029 --> 01:38:38.753]  And for those that never got the products, I mean...
[01:38:40.345 --> 01:38:43.568]  At least go make a donation, then, at m4warsware.com, right at the top.
[01:38:43.568 --> 01:38:46.190]  $5, $10, you're recurring, cancelling time.
[01:38:46.190 --> 01:38:47.832]  The point is, we're fighting for you.
[01:38:47.832 --> 01:38:48.813]  We're in this fight together.
[01:38:48.813 --> 01:38:49.954]  I need your help.
[01:38:49.954 --> 01:38:51.095]  You need my help.
[01:38:51.095 --> 01:38:53.577]  And we are under major attack, you can see that.
[01:38:53.577 --> 01:38:54.638]  And I don't care about that.
[01:38:54.638 --> 01:38:56.360]  I just want to beat these people.
[01:38:56.360 --> 01:38:57.380]  And I don't just smell blood.
[01:38:58.308 --> 01:38:59.549]  I got their blood all over me.
[01:38:59.549 --> 01:39:00.911]  I got their blood in my mouth.
[01:39:00.911 --> 01:39:02.813]  I use that as an analogy of like an attack dog.
[01:39:02.813 --> 01:39:04.274]  I mean, I ain't smelling blood.
[01:39:04.274 --> 01:39:06.737]  I ain't, I'm not, I'm not smelling victory.
[01:39:06.737 --> 01:39:09.981]  I'm just victory, victory, victory, victory, victory.
[01:39:09.981 --> 01:39:12.704]  All we do is victory, victory, victory, victory, victory.
[01:39:12.704 --> 01:39:13.164]  It's all God.
[01:39:13.164 --> 01:39:13.545]  It's not me.
[01:39:14.205 --> 01:39:17.167]  But, I'll never give up, I'll never give in, I couldn't give out.
[01:39:17.167 --> 01:39:22.912]  I'm asking you though, energize us please, get products you already need, take the action!
[01:39:22.912 --> 01:39:25.074]  The whole world's about action!
[01:39:25.074 --> 01:39:32.299]  Salute those that have taken action, even if you can't buy our products, you know, $12 or $10 toothpaste, I understand that's fine.
[01:39:32.299 --> 01:39:37.143]  At least, for heaven's sake, spread the word about the broadcast, and pray for the broadcast, and I thank you.
