[00:00:00.209 --> 00:00:00.650]  I will.
[02:22:32.260 --> 02:22:34.401]  Your purified water is now ready!
[02:22:34.901 --> 02:22:39.843]  If you have fluoride or arsenic in your water, you need the Berkey PF2 host filter elements.
[02:22:40.163 --> 02:22:46.468]  Get a set of two for only $49 or get two sets for only $89 by calling New Millennium at 888-803-4438.
[02:22:46.548 --> 02:22:50.731]  And tell them Alex Jones sent you.
[02:22:50.951 --> 02:22:54.553]  That's toll free.
[02:22:54.573 --> 02:22:54.914]  888-803-4438.
[02:22:55.514 --> 02:23:01.779]  Maca is a small turnip-like root plant that grows at 12,000 to 14,000 feet on the Andes Mountains in Peru.
[02:23:02.179 --> 02:23:06.222]  The tuberous plant benefits from the purest air, sunlight, and rain in the world.
[02:23:06.763 --> 02:23:13.955]  Only recently has science discovered that Maka is a living storehouse with an extraordinary range of vitamins, minerals, and sterols.
[02:23:14.511 --> 02:23:21.833]  Research has indicated both men and women can benefit from maca supplementation with increased energy, stamina, and endurance levels.
[02:23:22.214 --> 02:23:24.434]  Increased libido, which helps prevent impotence.
[02:23:24.774 --> 02:23:28.036]  Relief of menopausal, premenstrual, and PMS discomfort.
[02:23:28.436 --> 02:23:31.597]  Helps relieve or eliminate hot flashes and night sweats.
[02:23:31.897 --> 02:23:34.858]  It also helps prevent osteoporosis and joint pain.
[02:23:35.298 --> 02:23:38.159]  Get your maca from Cliff Scott Enterprises at a price
[02:23:38.479 --> 02:23:41.680]  Folks, we're just trying to raise your awareness to the geopolitical
[02:24:08.948 --> 02:24:16.234]  Folks, we're just trying to raise your awareness to the geopolitical system and the strata of power and what the elite is up to.
[02:24:16.254 --> 02:24:17.815]  That's all this show strives to do.
[02:24:18.416 --> 02:24:30.005]  We're about to go to Stacey in Delaware and West in Colorado and others, but Paul Watson, I kind of cut you short there at the end of the last hour when you were describing Order Out of Chaos, the book I published, the book you wrote.
[02:24:30.546 --> 02:24:31.967]  It's such an amazing book.
[02:24:32.627 --> 02:24:35.750]  People really need to have this book, and for those that just joined us,
[02:24:37.052 --> 02:24:40.395]  Describe what's in Order Out of Chaos and why folks should get it.
[02:24:41.356 --> 02:24:43.257]  Well, I mean, why people should get it?
[02:24:43.717 --> 02:24:53.625]  I mean, personally I've had two separate instances where I've given the book to people who've been in the military 20 years and initially disagreed with everything I said.
[02:24:53.665 --> 02:25:00.370]  They read the book and then apologized to me and then now they're actually getting involved themselves.
[02:25:00.450 --> 02:25:02.272]  So I've found that it is a vital
[02:25:03.436 --> 02:25:06.283]  Keystone to waking people up to what's going on.
[02:25:06.684 --> 02:25:08.388]  Well, Paul, people ask me, you know.
[02:25:09.259 --> 02:25:12.260]  How did 90% of those that see your videos wake up?
[02:25:12.760 --> 02:25:14.981]  Because we don't engage in conspiracy theories.
[02:25:15.021 --> 02:25:16.122]  The truth is out there.
[02:25:16.422 --> 02:25:18.823]  The globalists have been caught doing everything they do.
[02:25:18.883 --> 02:25:22.684]  It's such a big conspiracy that, yes, they get caught.
[02:25:22.764 --> 02:25:23.645]  They leave tracks.
[02:25:23.785 --> 02:25:24.565]  It's public.
[02:25:24.865 --> 02:25:26.466]  This program is public.
[02:25:26.886 --> 02:25:30.747]  And so with the videos and the books, we're able to wake people up.
[02:25:30.887 --> 02:25:32.348]  We have a chance.
[02:25:32.468 --> 02:25:35.389]  And, yes, these are some of the best tools we've got, Paul.
[02:25:36.081 --> 02:25:42.306]  Well, I mean, people just don't understand the pace of the evidence of which this comes out every single day.
[02:25:42.346 --> 02:25:52.333]  We have several smoking guns on different issues which either confirm what we said in the past or, you know, get ahead of us and actually confirm new things that we didn't know.
[02:25:52.353 --> 02:25:57.437]  So people don't understand the pace of the cover-up because, I mean, they've lied so many times.
[02:25:57.457 --> 02:25:58.338]  It's like the old saying,
[02:25:59.178 --> 02:26:01.559]  If you tell the truth, you don't have to remember everything.
[02:26:01.599 --> 02:26:12.383]  They've lied so many times that they're slipping up and not being able to cover up a lot of things because there are so many bases to cover that it's just not possible for some of the truth to get out.
[02:26:13.463 --> 02:26:14.123]  It's amazing.
[02:26:14.203 --> 02:26:23.047]  I mean, they're just absolute criminals on fire, doing every evil thing you can imagine, running around, looting all of our countries.
[02:26:23.407 --> 02:26:25.688]  I mean, they really have reached the looting phase.
[02:26:26.028 --> 02:26:26.988]  They're just going wild.
[02:26:28.702 --> 02:26:34.168]  I mean, you'd think that they'd be good at lying after doing it so often, but we got the reverse of that.
[02:26:34.389 --> 02:26:48.785]  We had the Bremer thing where he was in a public interview dismissing evidence that they'd found weapons of mass destruction labs in Iraq, and then blushing and stuttering when the interviewer told him that Tony Blair was saying it.
[02:26:49.225 --> 02:26:58.875]  So these people have lied so often that it's becoming difficult to layer each lie on top of the next and they're becoming forgetful and making all these errors which we're able to pick up on.
[02:26:59.296 --> 02:26:59.957]  Absolutely.
[02:27:00.057 --> 02:27:03.921]  So, order out of chaos in just a minute nutshell because then I'm going to Stacey.
[02:27:04.585 --> 02:27:08.867]  In a minute nutshell, what do folks get when they, what will they learn in this book?
[02:27:09.467 --> 02:27:16.410]  Well, I'll start by giving a brief overview of this Hegelian dialectic, because obviously a lot of that's been covered in the past.
[02:27:16.810 --> 02:27:31.496]  I tried to stick to issues which have not received that much attention in previous books and videos, like the British intelligence MI5 bombings, which only came out in dribs and drabs, so I brought them all together and did a chapter on that, and then we've got
[02:27:32.048 --> 02:27:38.453]  The Arming of North Korea, the Arming of Iraq and how these chaos mongers arm and then invade these countries.
[02:27:38.933 --> 02:27:45.818]  Three chapters on 9-11 which basically, I mean, that's the spine of the book and none of that was released before.
[02:27:47.822 --> 02:27:55.164]  The whole left-right thing that we were talking about earlier, about how it's a staged prison to keep people from seeing the greater horizon.
[02:27:55.244 --> 02:27:56.125]  Absolutely, folks.
[02:27:56.165 --> 02:27:56.725]  Get the book.
[02:27:56.825 --> 02:27:59.546]  Infowars.com or PrisonPlanet.com to order it.
[02:27:59.566 --> 02:28:00.266]  1995, second copy.
[02:28:00.286 --> 02:28:00.366]  Only $11.95.
[02:28:00.406 --> 02:28:01.046]  It's over 300 pages.
[02:28:01.066 --> 02:28:02.427]  1-888-253-3139 or Infowars.com or PrisonPlanet.com.
[02:28:02.447 --> 02:28:04.848]  Stacy in Delaware, thanks for holding her on the air.
[02:28:04.868 --> 02:28:05.068]  Hi, Alex.
[02:28:16.161 --> 02:28:23.882]  I just wanted to comment about the foreigners that come in and they're able to start businesses and then they have the tax-free issues.
[02:28:25.823 --> 02:28:29.663]  Actually, my husband and I were in a Dunkin' Donuts and the guy that owned it was Indian.
[02:28:30.884 --> 02:28:35.304]  My husband got to talking to him and he was actually very forthright about it.
[02:28:36.125 --> 02:28:43.346]  They come here, they start a business and then once their time is up, they go back to their country and another member from their family comes here and starts, you know,
[02:28:44.013 --> 02:28:44.854]  Take over the business.
[02:29:14.674 --> 02:29:17.877]  So we're paying for them to come here to make money to send it home.
[02:29:18.578 --> 02:29:20.079]  It's not even spent here.
[02:29:20.160 --> 02:29:27.968]  They've set up an economic climate where it's impossible, regardless of what color you are, to be an American citizen and stay in the middle class.
[02:29:28.288 --> 02:29:35.656]  They also use the 40 plus percent profit they get above anybody else to leapfrog it into other businesses to set up monopolies.
[02:29:36.658 --> 02:29:43.163]  Tell you what, Paul Watson, I've got other guests coming up, but I wanted to hold you over one more second to talk about one or two other issues, so stay there.
[02:29:43.623 --> 02:29:45.804]  We've got Ranch Rescue coming on as well.
[02:29:47.165 --> 02:29:48.086]  We're on the march.
[02:29:48.526 --> 02:29:50.167]  The Empire's on the run.
[02:29:51.068 --> 02:29:53.750]  Alex Jones and the GCN Radio Network.
[02:29:56.764 --> 02:29:58.545]  Got $3 in your pocket?
[02:29:58.765 --> 02:30:01.627]  Want a million dollars in term life insurance coverage?
[02:30:01.868 --> 02:30:03.689]  Call Term Busters now!
[02:30:04.029 --> 02:30:05.390]  Rates are low right now.
[02:30:05.530 --> 02:30:06.671]  Call and compare.
[02:30:06.951 --> 02:30:17.419]  For example, a man age 45, non-tobacco user, issue preferred $1 million of coverage is only $75 a month, level for the next 10 years.
[02:30:17.719 --> 02:30:19.360]  Call Term Busters now!
[02:30:19.440 --> 02:30:19.500]  800-430-6692.
[02:30:19.520 --> 02:30:19.640]  800-430-6692.
[02:30:19.660 --> 02:30:22.482]  If you're a smoker, we have great rates for you too.
[02:30:22.642 --> 02:30:23.422]  Call Term Busters now.
[02:30:23.442 --> 02:30:23.482]  800-430-6692.
[02:30:23.502 --> 02:30:23.542]  800-430-6692.
[02:30:23.562 --> 02:30:26.544]  We specialize in term life insurance policies of a half million dollars or more.
[02:30:41.753 --> 02:30:47.215]  Remember, one million dollars in term life insurance coverage for as little as three dollars a day.
[02:30:47.315 --> 02:30:48.476]  Call right now.
[02:30:48.776 --> 02:30:50.336]  Operators are standing by.
[02:30:50.356 --> 02:30:50.396]  800-430-6692.
[02:30:50.416 --> 02:30:50.456]  800-430-6692.
[02:30:50.476 --> 02:30:50.796]  Late summer 2003.
[02:31:00.765 --> 02:31:03.887]  Mainstream press tells us we're having a stock market recovery.
[02:31:04.267 --> 02:31:05.488]  Late summer 2002?
[02:31:06.028 --> 02:31:07.029]  I heard the same thing.
[02:31:07.469 --> 02:31:08.910]  Late summer 2001?
[02:31:09.250 --> 02:31:10.351]  You heard the same thing.
[02:31:10.731 --> 02:31:17.855]  The Dow Jones Industrial Average, currently trading in the 93 to 9400 range, is down 7% from two years ago.
[02:31:18.376 --> 02:31:19.276]  That's recovery?
[02:31:19.897 --> 02:31:25.080]  Gold, now trading in the $360 range, is up 31% in that same period.
[02:31:25.480 --> 02:31:27.061]  Where do you want your hard-earned money?
[02:31:27.721 --> 02:31:30.403]  Hi folks, this is Jack Browner with Midas Resources.
[02:31:35.160 --> 02:31:36.741]  I love the sound of real money.
[02:31:37.141 --> 02:31:42.503]  Call your representative today at Midas Resources at 800-686-2237.
[02:31:42.923 --> 02:31:47.524]  Learn how to protect your assets with real wealth, not potentially worthless paper.
[02:31:47.865 --> 02:31:48.705]  Call now, 800-686-2237.
[02:31:48.745 --> 02:31:48.925]  That's 800-686-2237.
[02:31:56.590 --> 02:31:57.872]  Hey Doris, great news!
[02:31:58.132 --> 02:32:02.357]  I now own my own home, free and clear, and I did it in less than five months.
[02:32:02.477 --> 02:32:03.798]  Did you receive an inheritance?
[02:32:04.019 --> 02:32:04.499]  Well, no.
[02:32:04.639 --> 02:32:09.365]  Actually, I found a way to eliminate my mortgage without bankruptcy and without the need of going to court.
[02:32:09.485 --> 02:32:12.749]  And you too can do this legally, lawfully, ethically, and morally.
[02:32:12.829 --> 02:32:15.251]  But Jim, I signed a note promising to pay back the loan.
[02:32:15.392 --> 02:32:17.394]  Isn't it wrong even if I could discharge the loan?
[02:32:17.634 --> 02:32:22.477]  Doris, I felt the same way, until I took the time to learn the truth about money and banking.
[02:32:22.597 --> 02:32:26.479]  The most shocking thing I learned is the fact that no real money is ever loaned out.
[02:32:26.619 --> 02:32:29.301]  There's a dirty secret that the banks don't want you to know.
[02:32:29.481 --> 02:32:33.063]  And this is the basis of how I was able to discharge my own mortgage.
[02:32:33.243 --> 02:32:36.165]  I know this is hard to believe, but go to the website to learn more.
[02:32:36.305 --> 02:32:43.669]  Doris, get your pin and find out how many Americans are finding financial freedom by having their mortgages eliminated in less than five months.
[02:32:43.889 --> 02:32:48.512]  Go to www.eliminatemortgages.com slash liberty.
[02:32:48.652 --> 02:32:51.074]  Just the way it sounds and there's an S after mortgage.
[02:32:51.274 --> 02:32:55.997]  It's www.eliminatemortgages.com slash liberty.
[02:33:01.681 --> 02:33:03.603]  Waging war on corruption.
[02:33:04.063 --> 02:33:06.825]  Alex Jones on the GCM radio network.
[02:33:08.917 --> 02:33:11.059]  I should have told Stacey in Delaware to hold.
[02:33:11.079 --> 02:33:15.482]  I wanted to hear more of the story, how they go into the Dunkin' Donuts and talk to the man from India.
[02:33:17.063 --> 02:33:24.708]  He brags, yeah, I don't have to pay taxes for 10 years and I just go back to my country and have another family member come take over the business and they don't pay taxes for 10 years.
[02:33:25.088 --> 02:33:31.192]  And again, the average person, this has been going on for decades, doesn't even know about this because 60 Minutes isn't going to tell you.
[02:33:31.472 --> 02:33:32.613]  Dan Rather isn't going to tell you.
[02:33:32.633 --> 02:33:33.994]  It's just a quiet little secret.
[02:33:34.454 --> 02:33:38.037]  Why would they do that and why would a citizen not get that?
[02:33:38.599 --> 02:33:40.741]  It's designed to bring the third world here.
[02:33:41.622 --> 02:33:47.187]  It's designed to displace any existing middle-class structure.
[02:33:48.288 --> 02:33:48.889]  And look at it!
[02:33:49.529 --> 02:33:59.078]  Foreigners, whether they're Polish or Russian or German, the majority is Indians because they're really good at it, own almost, and here in Austin I'd say they own about
[02:34:00.740 --> 02:34:01.801]  Let's be conservative.
[02:34:01.821 --> 02:34:09.889]  90% of the gas stations, 95%, I'd have to say 98%, I've never seen a motel in Austin not owned by Indians.
[02:34:10.630 --> 02:34:13.653]  But again, oh, no one ever asked why that is?
[02:34:13.733 --> 02:34:15.434]  No one ever wondered why that was?
[02:34:16.155 --> 02:34:17.176]  Because they're not stupid.
[02:34:17.216 --> 02:34:17.917]  I don't blame them.
[02:34:17.997 --> 02:34:18.978]  They don't have to pay taxes.
[02:34:19.798 --> 02:34:21.459]  They get to have a little bit lower rate.
[02:34:22.100 --> 02:34:23.761]  They get to have more money for investment.
[02:34:24.402 --> 02:34:26.503]  They get to run their competition out of business.
[02:34:26.824 --> 02:34:28.665]  I've been on road trips across the country.
[02:34:29.226 --> 02:34:38.553]  I've never seen a hotel, a motel, that's not a big chain, and even the big chains, again, are individually franchised owned.
[02:34:38.713 --> 02:34:47.420]  I've never seen a motel that wasn't owned by folks from a foreign country.
[02:34:47.460 --> 02:34:48.401]  Most of the time it's India.
[02:34:49.347 --> 02:34:51.148]  And how did that happen?
[02:34:51.288 --> 02:34:51.829]  Overnight?
[02:34:52.409 --> 02:34:58.132]  Again, this is something we never discuss, and it is massive discrimination against citizens.
[02:34:59.073 --> 02:35:03.796]  Paul Watson, final comments on this, and then one other article, and then we're going to go to Jack Foote.
[02:35:04.476 --> 02:35:07.138]  Well, I mean, the key word is invasion.
[02:35:07.178 --> 02:35:11.120]  The key word is not race, because if it was Chinese, Russians, whatever, it doesn't matter.
[02:35:11.553 --> 02:35:19.718]  The key word is invasion because when you boil it down it's no different than going into Iraq and taking over their economy.
[02:35:19.738 --> 02:35:24.961]  It's the same process and it boils down to an invasion of a country and that's exactly what it is.
[02:35:25.321 --> 02:35:36.848]  And they have set up a climate where they give more welfare, more funding, more everything to illegals and legals of any type while citizens are put under more and more pressure, folks.
[02:35:37.981 --> 02:35:39.782]  So we need to make this an issue.
[02:35:39.802 --> 02:35:41.483]  We need to point this out.
[02:35:41.783 --> 02:35:43.985]  Two final articles, then we're going to go to Jack Foote.
[02:35:44.005 --> 02:35:45.626]  I'm going to let you go, and I appreciate you coming on, Paul.
[02:35:45.646 --> 02:35:48.167]  Then we'll go to Wes and Ron and others with our next guest.
[02:35:50.336 --> 02:35:54.779]  Justices refused a review case on security and 9-11 detentions.
[02:35:54.799 --> 02:36:03.346]  The Supreme Court refused money to consider whether the government properly withheld names and other details about hundreds of foreigners detained in the weeks and months after the September 11th attacks.
[02:36:03.686 --> 02:36:13.333]  The High Court turned down a request to review the secrecy surrounding detainees, nearly all Arabs or Muslims, who were picked up in the United States following the attacks of the World Trade Center and Pentagon.
[02:36:14.958 --> 02:36:22.323]  And the Washington Studies Center, critical of Bush's administration response to 9-11, sued to learn the names and other basic information.
[02:36:22.904 --> 02:36:26.646]  But the Supreme Court says, no, we're not going to let that come out, Paul.
[02:36:27.507 --> 02:36:32.330]  Well, yeah, it's the same thing going on in Britain with the detainees without trial.
[02:36:32.811 --> 02:36:41.597]  And I mean, even though in this country most of them get released anyway, it's about creating this false paradigm that there are terrorists running around everyone's backyard.
[02:36:41.617 --> 02:36:43.979]  And I mean, they will try and shut these things up.
[02:36:45.106 --> 02:36:55.392]  Came out in the Toronto store that they tried to buy off the 9-11 victims to sign legal forms where they wouldn't ask the government about prior knowledge or anything related to that.
[02:36:55.472 --> 02:36:58.274]  Yeah, the headline was, victims refuse bribe.
[02:36:58.294 --> 02:36:59.855]  Yeah, that's what it was.
[02:36:59.915 --> 02:37:04.417]  It was a government bribe not to file lawsuits on the fact that the government carried out the attack.
[02:37:04.938 --> 02:37:07.759]  Alright, here's another one out of NBC5.
[02:37:08.180 --> 02:37:11.822]  Report, all flyers to be assigned threat ranking.
[02:37:12.711 --> 02:37:17.414]  Volunteering personal information would shorten the security wait.
[02:37:17.514 --> 02:37:24.677]  They admit, this is the Caps 2 system, you've got bad credit, you're going to get more of a search and may not be able to fly.
[02:37:24.697 --> 02:37:35.303]  And I've seen Ridge about a year and a half ago on C-SPAN say, to have a job, you're going to have to have an OK security rating on your driver's license, which is really the national ID card, Paul.
[02:37:35.925 --> 02:37:38.627]  Yeah, it's all being centralised into the national ID card.
[02:37:38.907 --> 02:37:51.515]  And I can tell people through personal experience that even if you've been involved in a civil routine court case, not criminal, or even if you've got an unpaid parking ticket, or I mean they've even had
[02:37:51.935 --> 02:37:59.178]  Absolutely, but the borders are going to be wide open and we're going to accept any fake matricula card, you name it.
[02:37:59.218 --> 02:37:59.819]  It's a fraud.
[02:37:59.859 --> 02:38:05.741]  Paul Watson, thanks for spending an hour with us and we look forward to having you back on next Monday.
[02:38:18.187 --> 02:38:18.987]  Okay, thanks Alex.
[02:38:19.308 --> 02:38:20.128]  God bless my friend.
[02:38:20.708 --> 02:38:22.849]  Let's shift gears now to Jack Foote.
[02:38:22.869 --> 02:38:24.330]  He's the founder of Ranch Rescue.
[02:38:24.870 --> 02:38:26.410]  Jack, good to have you on the show.
[02:38:26.751 --> 02:38:27.591]  Good to be back, sir.
[02:38:27.611 --> 02:38:28.631]  Thank you for the opportunity.
[02:38:28.831 --> 02:38:29.312]  You bet.
[02:38:29.332 --> 02:38:31.352]  We'll have you on in the future for a little bit longer.
[02:38:32.013 --> 02:38:38.135]  For those who don't know what Ranch Rescue is, describe the organization, what you do, and we'll get into the Mexican troops firing at your members.
[02:38:39.336 --> 02:38:42.337]  Briefly, Ranch Rescue is a private property rights advocate.
[02:38:43.260 --> 02:38:51.286]  And everything we're going to talk about today is available to your listeners on our website at www.ranchrescue.com.
[02:38:52.267 --> 02:38:59.372]  We are conducting phase two of Operation Thunderbird here on Private Ranch in Cochise County, Arizona.
[02:38:59.672 --> 02:39:08.619]  Your listeners may recall, Cochise County, Arizona is the number one illegal border crossing point into the United States and has been for the past five years.
[02:39:09.659 --> 02:39:10.080]  On December 20th,
[02:39:10.931 --> 02:39:18.074]  Our volunteers were conducting a reconnaissance patrol in the southern part of our host's land, which is right up next to the border road.
[02:39:18.975 --> 02:39:31.781]  Mexican troops, armed and in uniforms, OD Green uniforms and OD Green Kevlar helmet, crossed onto our host's property and were challenged, verbally, by our reconnaissance team.
[02:39:32.741 --> 02:39:40.645]  The Mexican troops, there's about ten of them we estimate, we know for certain there were two in the lead with AK-47 and RPK machine guns,
[02:39:41.465 --> 02:39:47.214]  The rest of them retreated back into the wood line, and after they got themselves into a concealed position, they fired on our volunteers.
[02:39:47.975 --> 02:39:53.944]  Unfortunately, none of our volunteers were hit, and our volunteers, to their credit, exercised remarkable restraint.
[02:39:54.702 --> 02:39:57.143]  And not firing back and giving away their positions.
[02:39:57.163 --> 02:40:01.045]  Now, that did make the Associated Press a news match, but the average person hasn't heard about it.
[02:40:01.405 --> 02:40:08.308]  They cover it up when federal officers are being routinely killed, Border Patrol, FBI, Forestry Service people.
[02:40:08.648 --> 02:40:10.729]  They've shot up dozens and dozens of vehicles.
[02:40:10.789 --> 02:40:17.432]  Tom Tancredo, the Congressman, says there's been over 190 episodes of this in the last two years that he knows of.
[02:40:17.452 --> 02:40:18.973]  He didn't even know about U.S.
[02:40:19.013 --> 02:40:21.254]  citizens three miles over the border being kidnapped.
[02:40:21.894 --> 02:40:26.017]  In December by Mexican troops for absolutely no reason.
[02:40:26.217 --> 02:40:27.557]  They're bringing the drugs across.
[02:40:28.498 --> 02:40:31.980]  What did the police and others do once you reported this?
[02:40:32.520 --> 02:40:37.323]  The silence is deafening every time you try to report something like this.
[02:40:37.403 --> 02:40:41.425]  So we gave up trying to report these incidents a long time ago.
[02:40:41.705 --> 02:40:45.647]  We don't dial 9-1-1 out here because quite frankly it's a waste of time.
[02:40:45.727 --> 02:40:48.469]  We are next door neighbors to the largest
[02:40:49.042 --> 02:40:50.983]  Border Patrol Station in the nation.
[02:40:51.143 --> 02:40:53.285]  I am standing outside looking at it right now.
[02:40:53.405 --> 02:40:54.125]  It is enormous.
[02:40:54.165 --> 02:40:55.806]  It's a multi-million dollar facility.
[02:40:56.267 --> 02:40:58.468]  It is so huge it has its own water tower.
[02:40:59.048 --> 02:41:00.209]  This is a small city.
[02:41:01.190 --> 02:41:04.072]  Our property is directly adjacent to their back fence.
[02:41:04.492 --> 02:41:08.414]  I am literally a 30 second drive away from the largest Border Patrol Station in the nation.
[02:41:09.055 --> 02:41:17.360]  If they cannot keep the military troops from a foreign nation off of our property, then the only other choice is either putting troops on the border ourselves,
[02:41:17.878 --> 02:41:20.720]  Well, we do it ourselves with volunteers here on this property.
[02:41:20.740 --> 02:41:21.260]  That's what you do.
[02:41:21.280 --> 02:41:26.624]  You go to private property that have giant footpaths and garbage everywhere where the illegals pour across.
[02:41:26.664 --> 02:41:31.107]  They rob, they rape, they kill people, they break equipment, they kill farm animals.
[02:41:32.227 --> 02:41:37.211]  These are what our national government now refers to as future foreign guest workers.
[02:41:38.191 --> 02:41:40.533]  And they are coming across just in the last 72 hours.
[02:41:41.393 --> 02:41:43.855]  I'm looking at one of our guys in the observation tower right now.
[02:41:43.975 --> 02:41:46.757]  Just in the last 72 hours, we have seen
[02:41:47.757 --> 02:41:53.240]  A dramatic increase in the numbers of criminal border crossers coming across our property.
[02:41:53.300 --> 02:41:56.721]  Well, that's because the Mexican papers say, hey, we're taking over.
[02:41:57.221 --> 02:42:03.484]  The New York Times on Friday said this land is our land and said, hey, don't complain, this is really Mexico.
[02:42:04.105 --> 02:42:05.745]  Even our own government says yes.
[02:42:06.746 --> 02:42:07.486]  It's amazing.
[02:42:07.967 --> 02:42:10.548]  Now, I know you've done a lot of radio interviews.
[02:42:11.048 --> 02:42:15.630]  I heard one of your listeners earlier ask about my interview on National Alliance.
[02:42:16.050 --> 02:42:16.330]  Yes.
[02:42:16.611 --> 02:42:17.031]  For the record.
[02:42:17.762 --> 02:42:26.305]  For the record, I am very aware, and I was aware before I did this interview, of the controversy that would happen from me being on this particular source.
[02:42:26.425 --> 02:42:32.627]  However, I was also interviewed by Hal Turner a couple of years ago, and on that same day, I was interviewed by CNN.
[02:42:33.248 --> 02:42:37.849]  I know more subscribe to the Hal Turner's viewpoint than I do the Ted Turner's viewpoint.
[02:42:38.630 --> 02:42:42.451]  These people are offering me an opportunity to get the message out, and I took it.
[02:42:43.631 --> 02:42:48.255]  Sir, you must have gotten a call then because it's not that big of a deal.
[02:42:48.575 --> 02:42:57.642]  I mean, I said I'll be interviewed by the German press, the Chinese press, you know, the right-wing press, you know, whoever to get the word out about being shot at by Mexican troops.
[02:42:57.782 --> 02:42:58.742]  Everybody needs to know.
[02:42:58.782 --> 02:43:00.684]  I mean, it's like Paul Revere.
[02:43:01.324 --> 02:43:05.407]  Well, what we're seeing is that every time they throw up this charge of racism, it is thrown up with the express purpose
[02:43:30.254 --> 02:43:34.057]  Of diverting public attention from the real issue of crime on private property.
[02:43:34.077 --> 02:43:35.798]  Well, that's exactly what's happening.
[02:43:35.838 --> 02:43:39.341]  I mean, Mexico, the government, is racist.
[02:43:39.541 --> 02:43:42.203]  Public newspapers saying, throw the gringos out.
[02:43:42.483 --> 02:43:45.545]  But that's supposed to be cute, and it's not acceptable.
[02:43:45.885 --> 02:43:53.591]  I've had a standing offer for the past three and a half years to publicly debate anyone about what we do within Ranch Rescue, what we stand for, and who we are.
[02:43:54.171 --> 02:43:59.655]  One of our chief detractors, Isabel Garcia, who's a local personality here in southeastern Arizona,
[02:44:00.276 --> 02:44:04.459]  has gone out of her way to make an accusation against us as being racist.
[02:44:04.559 --> 02:44:15.869]  She showed up here at our ranch at our front gate with a group of protesters on the same day that we already had a video crew from the Univision television network, Spanish language network.
[02:44:16.609 --> 02:44:18.871]  This television crew went to the front gate and told Ms.
[02:44:18.891 --> 02:44:22.994]  Garcia, Jack Foote will debate you at the front gate on camera right now.
[02:44:23.915 --> 02:44:25.496]  And she said no and she left.
[02:44:25.556 --> 02:44:28.739]  They run away and they make
[02:44:29.505 --> 02:44:33.625]  Filed accusations, but they cannot back those up with valid arguments.
[02:44:35.423 --> 02:44:42.708]  Well, I know that's the case, and I know that we're always talking about Mexico, because that's the majority, but it's just as bad from India or Russia or anywhere else.
[02:44:43.248 --> 02:44:50.692]  We're losing this country, we're losing our wages, and we cannot assimilate this mass this fast, and now Bush is going to legalize all of them.
[02:44:51.633 --> 02:44:54.795]  So what are your guys going to do the next time Mexican troops shoot at them?
[02:44:55.175 --> 02:44:57.737]  I know if Mexican troops were shooting at me, I know what I'd do.
[02:44:58.117 --> 02:45:04.681]  Well, like I said, I commend the individual patrol team leader for his discretion and his restraint, and it was his call to make.
[02:45:05.262 --> 02:45:07.824]  As the person in charge at the moment on the ground.
[02:45:08.504 --> 02:45:18.010]  However, this came about because we had a standing policy of challenging them and warning them with the intent of placing them under citizen's arrest and then turning them over to law enforcement.
[02:45:18.751 --> 02:45:23.214]  Since we now know that if we challenge them, we'll be shot at, we're not going to give them any warning next time.
[02:45:23.454 --> 02:45:29.758]  The next time that armed, uniformed, foreign, military, terrorist troops are encountered on this property,
[02:45:30.396 --> 02:45:31.600]  We will open fire on them.
[02:45:31.781 --> 02:45:32.724]  We will not warn them.
[02:45:33.045 --> 02:45:34.830]  Now folks, I think that's a radical statement.
[02:45:34.850 --> 02:45:37.097]  That shows how neutered we've all become.
[02:45:38.457 --> 02:45:39.658]  It's private property.
[02:45:39.718 --> 02:45:41.700]  It's being invaded by foreign troops.
[02:45:42.140 --> 02:45:48.486]  If anybody was on your property, especially armed, you have every right to defend yourself with lethal force.
[02:45:48.526 --> 02:45:50.008]  Now that's just the law in Texas.
[02:45:50.068 --> 02:45:51.129]  It's the law in Arizona.
[02:45:51.409 --> 02:45:52.690]  It's been a law nationwide.
[02:45:52.730 --> 02:45:56.914]  Now they're trying to get rid of it in many of the controlled eastern and west coast states.
[02:45:56.934 --> 02:46:01.899]  Under state law, we may not use or threaten to use deadly force unless it's first used or threatened to be used against us.
[02:46:02.526 --> 02:46:05.469]  On the case of civilian criminals, that means they have to point a weapon at you.
[02:46:05.669 --> 02:46:08.211]  Now, did you make the police come out and do a report?
[02:46:09.111 --> 02:46:10.232]  Not for this particular incident.
[02:46:10.252 --> 02:46:11.173]  There was no point to it.
[02:46:11.373 --> 02:46:16.557]  We didn't have any physical evidence, except some very scared looks on the faces of our volunteers who had been fired upon.
[02:46:16.577 --> 02:46:19.440]  That would have been a minute late to time.
[02:46:19.460 --> 02:46:21.341]  But, I mean, it's not like this isn't happening.
[02:46:21.361 --> 02:46:29.388]  We have them running over fences, chasing Border Patrol seven miles, and shooting their vehicles full of holes, and killing people.
[02:46:29.728 --> 02:46:29.888]  Right.
[02:46:29.948 --> 02:46:30.889]  We'll be happy to call
[02:46:31.610 --> 02:46:36.136]  Sheriff of the County, and bring him out here, just as soon as we've got something physical to show him.
[02:46:36.256 --> 02:46:42.103]  Now we either will capture these criminal terrorists vertically, or we will capture them horizontally.
[02:46:42.283 --> 02:46:43.685]  Why do you think they shot at you?
[02:46:44.526 --> 02:46:45.207]  Because they can.
