[00:00:01.149 --> 00:00:02.749]  At 888-803-4438.
[02:22:27.785 --> 02:22:33.910]  The Berkey Security Pack is important every day and a must during emergencies because it provides purified water,
[02:22:34.210 --> 02:22:50.818]  Long-term low-energy lighting, backup battery power for your Berkey LEDs, free long-term solar power for communications devices such as radios, walkie-talkies, and cell phones, as well as power for small applications, get the one-stop solution for your emergency and everyday needs.
[02:22:50.958 --> 02:22:52.178]  The Berkey Security Pack.
[02:22:52.378 --> 02:22:55.080]  A retail value of $518 for only $399 by calling New Millennium at 888-803-4438.
[02:22:55.100 --> 02:22:55.900]  Not yet available in Iowa.
[02:23:03.737 --> 02:23:08.379]  Hey folks, Michael Trudeau here to tell you about the first ever half-price package sale at the Ark Institute.
[02:23:08.499 --> 02:23:15.382]  You'll get 25 big packets of Ark's most popular non-hybrid heirloom vegetable seeds, plus four of their most popular self-reliance books.
[02:23:15.602 --> 02:23:18.104]  Learn how to grow your own delicious veggies and build your Ark.
[02:23:18.344 --> 02:23:23.506]  Imagine green beans, carrots, peas, and cucumbers, tomatoes, cabbage, squash, herbs, and more.
[02:23:23.706 --> 02:23:27.648]  Then, harvest your seeds to grow year after year for old-time self-reliance.
[02:23:28.008 --> 02:23:31.731]  In Living Well on Wheat, learn how to cook, eat, and survive on the golden grain.
[02:23:32.032 --> 02:23:35.014]  Preserve your good food for years with the USDA Canning Guide.
[02:23:35.234 --> 02:23:41.320]  In Surviving a Bioterrorist Attack, you'll learn how to protect yourself and your family now from the attacks our government says are coming.
[02:23:41.400 --> 02:23:42.441]  Not if, but when.
[02:23:42.701 --> 02:23:49.206]  Normally selling for $140 plus shipping, get this whole package now for only $69 and shipping is free.
[02:23:49.467 --> 02:23:50.708]  At half price, supplies are limited.
[02:23:50.868 --> 02:23:52.249]  For credit card orders, call today, 1-800-255-1912.
[02:23:54.591 --> 02:23:56.552]  That's 800-255-1912 or send a money order for $69 to the Ark Institute.
[02:23:56.592 --> 02:23:56.672]  P.O.
[02:23:56.772 --> 02:23:57.393]  Box 1227, Jacksonville, Oregon, 97530.
[02:24:19.738 --> 02:24:23.139]  All right, let's talk to Eric in Connecticut, then I'm getting into this Matrix story.
[02:24:23.339 --> 02:24:24.840]  Eric, go ahead, you're on the air.
[02:24:25.360 --> 02:24:25.800]  Hello, Alex.
[02:24:27.101 --> 02:24:27.421]  Welcome.
[02:24:29.101 --> 02:24:33.143]  First of all, I want to wish you a Happy New Year, and I hope you had a great Christmas.
[02:24:35.964 --> 02:24:41.706]  I wanted to call in about a prediction that I have, and it's not a very pleasant one to make.
[02:24:41.766 --> 02:24:48.708]  I do think that a lot of people are waking up to Bush, and I do see a terrorist attack in this country this year.
[02:24:49.529 --> 02:24:53.071]  Possibly in a major metropolitan city like New York or Los Angeles.
[02:24:54.532 --> 02:24:57.333]  And it could be in the form of something like a fuel air bomb.
[02:24:57.653 --> 02:25:00.414]  I don't think the globalists want to contaminate any kind of property.
[02:25:01.595 --> 02:25:09.259]  They just want the gold and all that, but I just think that a lot of people are catching wise to what's going on.
[02:25:09.279 --> 02:25:17.823]  I do think they're in sort of a quandary because yes, they can, like Ridge not too long ago, claim that yes, we may have terrorist attacks and all this.
[02:25:18.641 --> 02:25:22.063]  If no terrorist attacks occur, they look like the boy that cried wolf.
[02:25:22.624 --> 02:25:30.649]  If terrorist attacks do occur, well, people can say, well, look at all these extra measures that you took.
[02:25:31.309 --> 02:25:36.973]  I mean, Patriot Act, and clamping down on civil liberties, and all but body cavity searches at airports.
[02:25:36.993 --> 02:25:39.715]  Well, then they're going to argue, well, you held us up.
[02:25:40.638 --> 02:25:44.580]  You know, probably one of the 400 studies through the Patriot Act out, they'll say, see?
[02:25:44.980 --> 02:25:45.861]  You caused it!
[02:25:46.161 --> 02:25:47.662]  You're with the terrorists now!
[02:25:48.082 --> 02:25:49.883]  You don't ever question us again!
[02:25:49.903 --> 02:25:50.704]  Yeah.
[02:25:51.424 --> 02:25:51.624]  Yes.
[02:25:52.505 --> 02:25:57.607]  You know, did you once, Alex, like last year, have a gentleman named David Icke on your program?
[02:25:57.947 --> 02:25:59.028]  Yeah, I had David Icke on.
[02:25:59.989 --> 02:26:01.209]  Oh, the last name's Ike.
[02:26:02.230 --> 02:26:04.291]  Okay, I didn't know that's how it was pronounced.
[02:26:04.989 --> 02:26:06.729]  And I've heard that he's written some books.
[02:26:07.029 --> 02:26:09.370]  I don't know, are you familiar with them at all?
[02:26:09.410 --> 02:26:11.871]  Yeah, about 95% of it's accurate in the books.
[02:26:11.891 --> 02:26:14.131]  The other 5% is science fiction.
[02:26:14.751 --> 02:26:15.051]  Really?
[02:26:15.511 --> 02:26:15.731]  95% huh?
[02:26:16.051 --> 02:26:17.032]  That's pretty frightening.
[02:26:22.533 --> 02:26:26.114]  You know, sometimes there's an old saying, be careful what you wish for because you just might get it.
[02:26:26.214 --> 02:26:31.575]  You know, one time I called in and I mentioned that I'd asked God for knowledge and some of the stuff I'm finding out
[02:26:32.529 --> 02:26:34.990]  I tell people about it, and they look at me like I've got three heads.
[02:26:35.430 --> 02:26:37.930]  But you also say it seems like folks are waking up.
[02:26:37.950 --> 02:26:44.652]  I mean, I've done over a thousand radio interviews, and maybe one out of thirty callers calls in and disagrees.
[02:26:44.932 --> 02:26:51.574]  Oh yeah, well I'm talking about some of the more arcane stuff that seems fantastic on its face, but when you really dig into it, it isn't true.
[02:26:51.594 --> 02:26:53.854]  What, like putting cancer viruses in the vaccines?
[02:26:54.574 --> 02:26:55.755]  That's a good example right there.
[02:26:56.455 --> 02:26:56.675]  Yes.
[02:26:57.455 --> 02:26:59.856]  I think a lot of people, Alex, just don't want to believe it.
[02:27:01.960 --> 02:27:03.540]  Because it just seems so terrible.
[02:27:03.660 --> 02:27:09.482]  Well, I don't want to believe it either, but I'm safer believing it and standing up against it than sticking my head in the sand.
[02:27:09.522 --> 02:27:10.202]  It's scary!
[02:27:10.482 --> 02:27:10.962]  Yes, it is.
[02:27:11.042 --> 02:27:16.723]  Well, you've said that a lot of times if somebody knows something, it's better to come out into the public.
[02:27:17.643 --> 02:27:21.504]  You know, like a good example is somebody like Linda Tripp or Monica Lewinsky.
[02:27:21.544 --> 02:27:25.005]  I mean, yes, to an extent their cases were smokescreens, but
[02:27:25.549 --> 02:27:31.054]  At least becoming public, they sort of protected themselves, because if anything did happen, the spotlight would be on me.
[02:27:31.094 --> 02:27:42.245]  Oh yeah, Jennifer Flowers on Hardball, I saw it live folks, about five years ago, she said, well Bill Clinton's had a bunch of people killed, and started listing names, and he said, well why are you saying that then?
[02:27:42.285 --> 02:27:46.989]  She goes, well being in the light protects me, by talking like this and telling the truth, he won't kill me.
[02:27:48.596 --> 02:27:54.081]  One thing, Alex, before I go, I just wanted to say that I gave sport bottles for Christmas to my family.
[02:27:54.542 --> 02:27:57.465]  I ordered them from New Millennium, and they were a hit.
[02:27:58.286 --> 02:27:59.767]  And just thanks for a great idea.
[02:28:00.408 --> 02:28:06.534]  Well, thank you so much for your support, and that is a great water filtration solution, and I'm glad you did that, sir.
[02:28:06.634 --> 02:28:07.374]  God bless you, Alex.
[02:28:07.595 --> 02:28:08.275]  Thanks for the call.
[02:28:08.335 --> 02:28:08.696]  You bet.
[02:28:08.736 --> 02:28:09.697]  God bless you, my friend.
[02:28:10.477 --> 02:28:12.720]  Matrix Speed Database Searches.
[02:28:14.517 --> 02:28:25.624]  And it says the Matrix Multi-State Anti-Terrorism Information Exchange System combines various databases, some available in the public and some available only to law enforcement agencies.
[02:28:26.125 --> 02:28:31.368]  The system allows authorities to quickly narrow down lists of suspects in terrorism cases and other crimes.
[02:28:31.849 --> 02:28:34.010]  And every time they do it, they violate the Fourth Amendment.
[02:28:34.630 --> 02:28:38.233]  People by name, social security number, date of birth, address, vehicles by
[02:28:39.232 --> 02:28:50.818]  Full or partial license tag number, make model color, phone and property records, criminal history including sex offender records, employment records, divorce records, purchase records, all of it.
[02:28:51.578 --> 02:28:58.241]  Police database called intrusive by rights group, system designed to let cops coordinate quick searches for terrorists.
[02:29:00.082 --> 02:29:05.965]  It says Al Nelson had no idea police were watching him last April when he allegedly tried to scam an elderly woman into paying $2,800.
[02:29:08.914 --> 02:29:12.337]  Spraying bogus sealant on the roof of her Tampa, Florida home.
[02:29:12.817 --> 02:29:20.604]  As Nelson and a partner shouted demands at the woman, police said an agent with the Florida Department of Law Enforcement moved in and arrested both men.
[02:29:21.945 --> 02:29:27.109]  The article goes into how wonderful the Matrix system is and how it protects little old ladies.
[02:29:28.070 --> 02:29:30.892]  They were shocked, recalled Agent Dennis Russo.
[02:29:31.784 --> 02:29:39.730]  Russo was in the right place at the right time because of a powerful tool called Matrix for Multi-State Anti-Terrorism Information Exchange.
[02:29:40.530 --> 02:29:42.291]  See how positive that article is?
[02:29:42.852 --> 02:29:47.195]  And here's a story, State Seeks Link with Crime Data Network.
[02:29:47.255 --> 02:29:49.397]  We'll talk about Tennessee and others.
[02:29:49.977 --> 02:29:51.378]  When we get back, stay with us.
[02:29:54.560 --> 02:29:55.461]  We're on the march.
[02:29:55.941 --> 02:29:57.562]  The empire's on the run.
[02:29:58.483 --> 02:30:01.165]  Alex Jones and the GCN Radio Network.
[02:30:04.830 --> 02:30:05.750]  Hi, Ted Anderson here.
[02:30:05.790 --> 02:30:12.913]  I'm happy to announce that the audience has increased over 200% this year and our advertisers have sent testimonials complimenting the responsiveness.
[02:30:13.193 --> 02:30:16.074]  Sponsorship is critical at both local and national levels.
[02:30:16.274 --> 02:30:21.916]  If you have a business product or message that could benefit from this broadcast locally, call the station you're listening to.
[02:30:22.177 --> 02:30:24.337]  For national exposure, call 877-996-4327.
[02:30:26.638 --> 02:30:31.080]  Become a part of the Genesis team by calling your local station or call the national line at 877-996-4327.
[02:30:35.620 --> 02:30:39.223]  This is Pat Cooper with 10 reasons to listen to the Tony Del Vecchio Show.
[02:30:39.403 --> 02:30:41.425]  Reason number 10, no one listens to him at home.
[02:30:41.685 --> 02:30:44.087]  Reason number 9, I don't want to be the only one calling in.
[02:30:44.287 --> 02:30:46.449]  Reason number 8, think of the rest of the mission yourself.
[02:30:46.489 --> 02:30:48.010]  I got a lot of things I gotta do today.
[02:30:48.150 --> 02:30:49.571]  Like get a job and get paid.
[02:30:49.912 --> 02:30:51.093]  I don't understand this guy.
[02:30:51.533 --> 02:30:54.455]  That's all about this with your host, Tony Del Vecchio.
[02:30:54.535 --> 02:30:56.837]  Saturday evenings from 9 to 10 p.m.
[02:30:56.877 --> 02:31:00.240]  Central Time, right here on the Genesis Communications Radio Network.
[02:31:00.720 --> 02:31:02.542]  And if you don't listen to his show, you'll have to deal with me.
[02:31:04.295 --> 02:31:08.556]  Our founding fathers wrote down for all time our most precious documents of freedom.
[02:31:08.996 --> 02:31:13.538]  The Declaration of Independence, the Constitution, the Bill of Rights, and Lincoln's Gettysburg Address.
[02:31:13.938 --> 02:31:18.799]  These are the purest forms of our country's freedom before the thousands of politicians got their hands on them.
[02:31:19.179 --> 02:31:20.960]  The Declaration in Washington, D.C.
[02:31:21.000 --> 02:31:22.020]  can barely be read.
[02:31:22.320 --> 02:31:23.281]  It has faded that much.
[02:31:23.641 --> 02:31:27.502]  Now is your chance and your patriotic duty to have it in your home or office.
[02:31:27.802 --> 02:31:36.166]  We bring them to you by using an 11-step process, reproducing these historic documents in exacting detail on antiqued parchment paper all ready for framing.
[02:31:36.426 --> 02:31:44.290]  But you don't just get the declaration which sells for over $100 when framed, but all four documents for just $24.95 shipping included.
[02:31:44.590 --> 02:31:48.552]  And as a special gift for ordering now, you will also receive a commemorative U.S.
[02:31:48.592 --> 02:31:50.813]  Constitution proof silver dollar with your order.
[02:31:51.153 --> 02:31:56.378]  Call now toll-free 800-686-2237 and order the Documents of Freedom.
[02:31:56.698 --> 02:31:58.099]  Don't wait, do it today!
[02:31:58.460 --> 02:31:58.900]  The number 800-686-2237.
[02:32:03.809 --> 02:32:04.709]  Hi, Ted Anderson here.
[02:32:04.729 --> 02:32:11.871]  I'm happy to announce that the audience has increased over 200% this year and our advertisers have sent testimonials complimenting the responsiveness.
[02:32:12.131 --> 02:32:15.032]  Sponsorship is critical at both local and national levels.
[02:32:15.232 --> 02:32:20.874]  If you have a business product or message that could benefit from this broadcast locally, call the station you're listening to.
[02:32:21.134 --> 02:32:23.294]  For national exposure, call 877-996-4327.
[02:32:25.575 --> 02:32:30.036]  Become a part of the Genesis team by calling your local station or call the national line at 877-996-4327.
[02:32:34.082 --> 02:32:37.664]  This is Pat Cooper with 10 reasons to listen to the Tony DelVecchio Show.
[02:32:37.865 --> 02:32:39.866]  Reason number 10, no one listens to him at home.
[02:32:40.146 --> 02:32:42.548]  Reason number 9, I don't want to be the only one calling in.
[02:32:42.748 --> 02:32:44.889]  Reason number 8, think of the rest of the meeting yourself.
[02:32:44.949 --> 02:32:46.430]  I got a lot of things I gotta do today.
[02:32:46.450 --> 02:32:48.051]  Like get a job and get paid.
[02:32:48.352 --> 02:32:49.532]  I don't understand this guy.
[02:32:50.913 --> 02:32:53.795]  That's all about this with your host, Tony DelVecchio.
[02:32:53.915 --> 02:32:56.197]  Saturday evenings from 9 to 10 p.m.
[02:32:56.257 --> 02:32:59.619]  Central Time, right here on the Genesis Communications Radio Network.
[02:33:00.300 --> 02:33:02.101]  And if you don't listen to his show, you'll have to deal with me.
[02:33:10.137 --> 02:33:17.122]  Alright, we've got about 26 minutes left in this first show of the new year.
[02:33:18.664 --> 02:33:20.505]  Finishing up with this Matrix article.
[02:33:22.187 --> 02:33:29.272]  Matrix can be used to cut off any form of particular suspicion, Dempsey said.
[02:33:29.332 --> 02:33:30.113]  It's a good thing.
[02:33:30.757 --> 02:33:35.580]  Then it goes on, he said, Matrix recalls the defunct Total Information Awareness Network at the Pentagon.
[02:33:35.980 --> 02:33:41.083]  Congress cut off money for the program after it was harshly criticized as a political threat to privacy rights.
[02:33:41.123 --> 02:33:44.365]  Of course, we now learn Matrix is four and a half, five years old.
[02:33:45.125 --> 02:33:53.650]  Indeed, some states declined to participate in the Matrix pilot program based on similar concerns, but the system creator to those objections are baseless.
[02:33:55.611 --> 02:33:56.192]  Oh, yeah.
[02:33:57.272 --> 02:34:00.014]  Everything we do, tracked and traced, public or private.
[02:34:01.016 --> 02:34:03.337]  In giant databases being looked at daily.
[02:34:04.417 --> 02:34:05.938]  By sentient machines.
[02:34:07.138 --> 02:34:14.220]  And on top of this run by an FBI that's been caught scamming and framing people at the FBI crime lab.
[02:34:14.240 --> 02:34:16.321]  Their own head Quentin 97 over it.
[02:34:16.541 --> 02:34:17.321]  We've interviewed him.
[02:34:18.082 --> 02:34:19.182]  Dr. Frederick Whitehurst.
[02:34:20.971 --> 02:34:26.893]  And we've got the Houston Crime Lab, and Tulia, Texas, and all the frame-ups, and the murder-for-hire with the FBI.
[02:34:27.334 --> 02:34:30.695]  You can't trust the foxes to guard the hen house.
[02:34:30.935 --> 02:34:32.396]  You've got to guard your freedom.
[02:34:32.416 --> 02:34:36.117]  You've got to restrict government, or it will run all over you.
[02:34:37.418 --> 02:34:39.778]  And here's one out of the Tennessean on the Matrix System.
[02:34:39.838 --> 02:34:43.500]  State seeks link with crime data network.
[02:34:44.082 --> 02:34:52.627]  Tennessee officials have applied to become part of an information-sharing network intended to rapidly track terrorist and suspicious individuals across state lines.
[02:34:52.667 --> 02:34:55.049]  See, terrorist and suspicious individuals.
[02:34:55.289 --> 02:34:56.770]  It will be used for all crime.
[02:34:57.631 --> 02:35:10.499]  If the link is approved, state officials say they would be able to more rapidly communicate with other agencies through the multi-state anti-terrorism information exchange, known as MATRIX, in law enforcement circles.
[02:35:11.112 --> 02:35:19.979]  The program is already in use in Alabama, Connecticut, Florida, Georgia, Kentucky, Louisiana, Michigan, New York, Ohio, Oregon, Pennsylvania, South Carolina, and Utah.
[02:35:20.940 --> 02:35:22.361]  It's in all states, folks.
[02:35:23.042 --> 02:35:27.826]  They just can't use it in prosecutions until it's agreed upon, you understand?
[02:35:28.426 --> 02:35:36.753]  It gives participating states access to information from government and commercial databases about suspicious activities, and of course, all gun owners.
[02:35:39.665 --> 02:35:42.746]  Oh, I got some other news here we'll get to before we end the show.
[02:35:42.846 --> 02:35:47.087]  Right now, I'm honored to be joined by another talk show host from this network.
[02:35:47.207 --> 02:35:49.928]  John Stattmiller has his own show from 4 to 6 p.m.
[02:35:50.448 --> 02:35:52.348]  weekdays, Central.
[02:35:52.488 --> 02:35:57.350]  And I do a show with him Saturday from 1 to 4 Central, called Real Talk Radio.
[02:35:58.990 --> 02:36:06.572]  And John has been involved in the Dick Simpkanen Aero Custom Plastics case, is going to be testifying.
[02:36:07.416 --> 02:36:10.017]  And why is this important to you?
[02:36:10.077 --> 02:36:13.738]  Well, John will explain to you why it's so important.
[02:36:13.798 --> 02:36:14.958]  John, thanks for being on the show.
[02:36:15.258 --> 02:36:16.218]  New Year's, Alex.
[02:36:16.758 --> 02:36:23.620]  I'm not saying Happy New Year, because looking at 2003 and knowing what we're going to be facing in 2004, I'm just saying New Year's to folks.
[02:36:24.661 --> 02:36:25.201]  All right.
[02:36:25.221 --> 02:36:26.501]  How are you doing this afternoon?
[02:36:27.758 --> 02:36:28.719]  My head is spinning.
[02:36:28.819 --> 02:36:30.861]  Everything's going to private prison labor.
[02:36:30.902 --> 02:36:33.144]  These idiots are hurraying it.
[02:36:33.684 --> 02:36:35.966]  I guess they want to compete against 20 cents an hour.
[02:36:36.707 --> 02:36:45.436]  They're building control grids, cameras, tracking, police state, military helicopters aiming guns at us, looking through our walls.
[02:36:46.642 --> 02:36:47.622]  It's horrible, John.
[02:36:47.782 --> 02:36:53.744]  Well, wasn't there a book written, it was entitled 1984, George Orwell wrote it.
[02:36:54.024 --> 02:36:57.425]  I think he was a few years too early on this deal.
[02:36:57.585 --> 02:37:03.847]  As we look at the situation, Alex, over the holidays, I've been thinking a lot about this.
[02:37:04.107 --> 02:37:05.788]  I've made my New Year's resolution.
[02:37:06.328 --> 02:37:11.990]  My whole program geared toward next year is going to be based on one thing, getting results.
[02:37:13.421 --> 02:37:18.744]  The folks out there that listen to your program, listen to my program, they're pretty much up to speed as to what's going on.
[02:37:19.365 --> 02:37:23.667]  And the one thing that is missing in this equation is, how the heck do we stop this?
[02:37:24.628 --> 02:37:26.529]  John, we've been getting results.
[02:37:26.929 --> 02:37:31.211]  The New World Order wasn't built overnight, it won't be torn down overnight.
[02:37:31.291 --> 02:37:37.695]  But how to get everybody listening to become the leader they are, we need everybody pulling at the oars.
[02:37:38.456 --> 02:37:43.000]  Well, and we just have a few minutes here, Alex, and I wanted to come up on your program.
[02:37:43.020 --> 02:37:45.421]  Thanks for having me up on the Dixon Cannon case.
[02:37:46.202 --> 02:37:47.843]  We've got a guy here that's been in jail.
[02:37:48.404 --> 02:37:50.706]  Arrow Plastics out of Bedford, Texas.
[02:37:51.366 --> 02:37:52.687]  And I know Dixon Cannon.
[02:37:53.127 --> 02:37:59.713]  I know him fairly well, as well as you can know anybody, maybe aside from your spouse or your own family members.
[02:38:00.413 --> 02:38:02.575]  They've had this guy in jail for six months.
[02:38:03.355 --> 02:38:04.296]  And what was his crime?
[02:38:04.756 --> 02:38:05.797]  Failure to withhold
[02:38:07.137 --> 02:38:31.297]  income taxes from his employees paychecks even though that he told the employees look I'm not going to be the tax collector for the government here I've researched this there's no law saying that I have to do this so I'm going to apprise my 47 employees that the federal income tax deal that's your bailiwick if you want to file go right ahead and do it but I'm not withholding your taxes this man has absolutely no criminal record whatsoever
[02:38:32.000 --> 02:38:40.805]  uh... and here he is he's been in jail now for six months supposedly some kind of threat to society that uh... we've got a lock this this uh... taxi vader up in jail.
[02:38:40.825 --> 02:39:00.517]  Now they just had a hung jury uh... eleven of the twelve found him not guilty but one of them uh... did find him guilty so he's going to have another trial now he's still not being given bail because he's so dangerous and all the guy did was say hey i'm not an indentured servant
[02:39:01.207 --> 02:39:07.710]  Out of the Constitution, the government can't make me do a function for them as their enforcer without paying me.
[02:39:08.030 --> 02:39:12.111]  And I'd like to direct people's attention to GiveMeLiberty.org.
[02:39:12.171 --> 02:39:15.173]  That's Bob Schultz's webpage of We The People.
[02:39:15.713 --> 02:39:22.135]  Bob Schultz has been a champion in the fight against the Infernal Revenue Service for a long time.
[02:39:22.236 --> 02:39:30.779]  Spent a million and a half dollars running full-page ads in the New York Times, USA Today, apprising people of the law.
[02:39:31.397 --> 02:39:38.441]  And this guy, this is the one that went on the starvation, was seated on the Capitol steps, was not going to eat.
[02:39:38.821 --> 02:39:41.742]  He made it to Hannity and Combs and programs such as this.
[02:39:41.842 --> 02:39:47.605]  And rather than delving into why this man's doing it, they just kept saying, well, Bob, we don't want you to kill yourself.
[02:39:48.186 --> 02:39:51.407]  Well, there's things in the wings, Alex, as we say.
[02:39:52.027 --> 02:39:53.708]  And I don't know if people are aware of this.
[02:39:53.748 --> 02:40:00.952]  There's Senate Bill 1493 that was introduced by Saxby Shambles out of Georgia, Republican out of Georgia.
[02:40:01.838 --> 02:40:03.979]  And it's a bill to dump the IRS.
[02:40:04.320 --> 02:40:11.624]  Now they took this up on July 30th of 2003 and they're calling it Fair Tax Act of 2003.
[02:40:12.224 --> 02:40:14.846]  And this is what the Congress found.
[02:40:15.547 --> 02:40:30.236]  That the findings related to the federal income tax, Congress finds the federal income tax retards economic growth and has reduced the standard of living of the American public, impedes the international competitiveness of the United States industry, reduces savings and investment in the United States by
[02:40:31.101 --> 02:40:44.631]  Taxing income, they're saying, multiple times, slows capital, lowers productivity, hides the true cost of government by embedding taxes in the cost of everything Americans buy, impedes upward social mobility.
[02:40:45.872 --> 02:40:54.319]  I had Bob Schultz on my program, The Intelligence Report, the other day, and I asked him, I said, how many people are not paying income taxes, by your best guesstimates?
[02:40:54.859 --> 02:40:59.983]  And he said, my best guess, he said about 40 million Americans are now not paying
[02:41:00.407 --> 02:41:01.367]  Federal Income Tax.
[02:41:01.907 --> 02:41:05.288]  So, what they're going to do, and a lot of people missed this, Alex.
[02:41:06.168 --> 02:41:16.991]  Two weeks after George Bush took office, I think you'll remember this, he made some comment about National Sales Tax and maybe looking into the IRS question, maybe dumping the IRS.
[02:41:17.471 --> 02:41:23.733]  Well, before everybody jumps up for joy here, what they're talking about in this bill is a National Sales Tax.
[02:41:24.453 --> 02:41:26.374]  And they're predicating on about 23%.
[02:41:28.166 --> 02:41:30.767]  Now, it's going to be real interesting how they try to implement this.
[02:41:31.128 --> 02:41:39.312]  Some people are saying, well, this might be a good thing because, well, it's going to be a partnership between the feds and the state.
[02:41:40.292 --> 02:41:44.755]  For those that just joined us, I saw the federal plans on this five, six years ago.
[02:41:44.795 --> 02:41:54.060]  They had the neocons come out and go, yeah, the IRS is evil, it's wrong, it's unconstitutional, it's caused all these suicides, there's no due process.
[02:41:55.359 --> 02:41:56.860]  They've got their own kangaroo courts.
[02:41:56.920 --> 02:41:57.400]  It's wrong.
[02:41:57.460 --> 02:41:58.721]  Let's have a sales tax.
[02:41:59.201 --> 02:42:03.164]  Then they come back and say, OK, it'll be 15 to 30 percent.
[02:42:04.465 --> 02:42:08.427]  And on top of it, we've got to keep the Social Security, so that's going to be 15, 16 percent.
[02:42:10.771 --> 02:42:13.632]  With your withholding them, what your employer has to do.
[02:42:14.112 --> 02:42:20.053]  But the big scary part of it is, they'll then ratchet that up, the income tax, after they got the sales tax in.
[02:42:20.073 --> 02:42:32.315]  But the scary part is, and the feds have said it, this is what your driver's license, now a national ID card, federal standards for the last, well going back 8 years with some states, now 42 states have implemented the standards.
[02:42:32.355 --> 02:42:35.796]  They passed federal laws for all the states to now implement, the last 8.
[02:42:36.816 --> 02:42:39.459]  That national ID card is your driver's license.
[02:42:39.679 --> 02:42:42.762]  You're gonna have to swipe it when you buy or sell anything.
[02:42:43.123 --> 02:42:47.127]  That puts federal control into all transactions.
[02:42:47.427 --> 02:42:53.133]  That's where the RFID comes in for the money history of where the cash goes and what it does.
[02:42:53.533 --> 02:42:55.195]  That plugs into the Patriot Act.
[02:42:55.635 --> 02:43:03.480]  And this is going to be state, local, and federal, and international, all in a sales tax grid tied into the U.N.
[02:43:03.980 --> 02:43:06.182]  So this is what you're about to see happen.
[02:43:06.202 --> 02:43:06.842]  Go ahead.
[02:43:07.002 --> 02:43:24.934]  And Alex, I was just sitting here thinking as you're running this thing down for the listeners, I don't know if people really realize, there's some people that listen to your program or might listen to mine, they'll get the information they think that is necessary for them to hear, but what you just described,
[02:43:25.484 --> 02:43:27.650]  It's exactly right on spot.
[02:43:27.810 --> 02:43:28.873]  It's exactly 100% correct.
[02:43:30.416 --> 02:43:40.019]  And I hate to say this, I guess it's some sort of feather in our cap to be vindicated because we've been talking about the globalists and the Washington elite and their plans to destroy America.
[02:43:40.139 --> 02:43:44.921]  Oh great John, we said that if you jump out in front of that truck you'll get smashed and now it's happened.
[02:43:44.961 --> 02:43:47.802]  I don't like feeling good about having blood all over my face.
[02:43:47.822 --> 02:43:51.823]  Well I don't either and what we're talking about is the deconstruction of America.
[02:43:51.903 --> 02:43:55.424]  I mean people don't realize how bad this really is.
[02:43:55.625 --> 02:43:59.746]  Everything you buy taxed and traced and tied into the matrix system.
[02:44:00.086 --> 02:44:01.708]  Well, and they have to do this.
[02:44:01.848 --> 02:44:04.050]  I mean, Alex, you might be Al-Qaeda.
[02:44:04.370 --> 02:44:06.592]  I might be Al-Qaeda.
[02:44:06.653 --> 02:44:07.774]  Rush Limbaugh might be!
[02:44:07.794 --> 02:44:09.475]  They're using Patriot Act against him!
[02:44:09.635 --> 02:44:14.100]  And I'm wondering how, and I heard you mention that, I wonder how Rush Limbaugh is going to respond to this.
[02:44:14.160 --> 02:44:20.166]  Is he going to give up his $20-30 million plus a year paycheck and come out against this finally?
[02:44:20.226 --> 02:44:23.589]  He's been the mouthpiece for the neocons for a number of years.
[02:44:24.008 --> 02:44:35.258]  And now this is getting ready to smack him right dead in the forehead, and I'm wondering if Rush Limbaugh is going to take his money and run, and maybe do one more program where he finally tells people the truth, or is he just going to whimper away?
[02:44:36.599 --> 02:44:44.503]  I got a sneaking suspicion that if Rush went on and told the truth, they'd have unexpected satellite problems, and then he'd be arrested the next day.
[02:44:44.523 --> 02:44:45.884]  They're holding this over his head.
[02:44:46.264 --> 02:44:47.905]  But I mean, I feel sorry for the guy.
[02:44:48.345 --> 02:44:54.187]  But how could he sit there and say, put everybody in prison if they use drugs, now he's caught on all this stuff.
[02:44:54.528 --> 02:44:56.288]  They're going after him with the Patriot Act.
[02:44:56.408 --> 02:44:57.449]  I actually feel sorry for him.
[02:44:57.809 --> 02:45:04.152]  Well, I do too, because I think Rush Limbaugh, like many other talk show hosts in this country, have deluded themselves into thinking that
[02:45:04.656 --> 02:45:12.498]  Well, this right-wing conspiracy paranoid claptrap that we've been talking about, it's just non-existent.
[02:45:12.578 --> 02:45:14.439]  It's not as bad as you think it is.
[02:45:14.819 --> 02:45:16.500]  You know, you're putting the spin on it.
[02:45:16.800 --> 02:45:18.440]  Well, that's not what they really intend to do.
[02:45:18.460 --> 02:45:21.001]  John, we're not putting a spin on it, and everybody should know that.
[02:45:21.501 --> 02:45:24.402]  I don't have words to describe how horrible this is.
[02:45:25.334 --> 02:45:26.995]  And Alex, we're talk show hosts.
[02:45:27.155 --> 02:45:29.255]  I find myself now without words.
[02:45:29.535 --> 02:45:30.496]  We're talk show hosts.
[02:45:30.536 --> 02:45:32.336]  We have to paint the picture for the listeners.
[02:45:32.937 --> 02:45:37.238]  And I love radio because it doesn't have the distraction of the television part of it.
[02:45:37.278 --> 02:45:38.078]  We've got the sound.
[02:45:38.638 --> 02:45:43.060]  And I'm running out of words to describe how evil and bad things really are.
[02:45:43.743 --> 02:45:44.584]  And I don't know why.
