[00:00:00.209 --> 00:00:01.629]  ...and cover us.
[02:11:25.336 --> 02:11:29.898]  now for only $29, plus shipping and handling, by calling New Millennium at 888
[02:11:31.419 --> 02:11:40.828]  803-4438 or order on the web at Berkeywater.com Hi folks, Jack Browner from Midas Resources.
[02:11:40.828 --> 02:11:41.989]  The real money folks.
[02:11:45.313 --> 02:11:47.735]  Let's review a few things from the past year.
[02:11:47.735 --> 02:11:48.655]  November 2003 to November 2004.
[02:11:48.655 --> 02:11:49.356]  The Dow has ranged from $9,800 to $10,300.
[02:11:49.356 --> 02:11:49.716]  A 5% increase.
[02:11:49.716 --> 02:11:52.178]  The dollar's value has dropped from $0.96 to $0.70 against the Euro.
[02:11:52.178 --> 02:11:54.059]  A 24% decrease in spending power against the gold-backed Euro.
[02:11:54.059 --> 02:11:55.540]  Gold has gone from the $390s to the $440s.
[02:11:55.540 --> 02:11:56.961]  A 16% increase in real money.
[02:12:12.817 --> 02:12:16.400]  Precious metals are the safe haven in today's hectic marketplace.
[02:12:16.400 --> 02:12:24.127]  To learn how to protect your shrinking dollar, call Midas Resources today at 1-800-686-2237.
[02:12:24.127 --> 02:12:27.470]  Remember, gold is liquid, private, and portable.
[02:12:27.470 --> 02:12:30.853]  Call now before your buying power shrinks even more dramatically.
[02:12:30.853 --> 02:12:32.134]  That's Midas Resources at 800-686-2237.
[02:12:36.678 --> 02:12:45.022]  Do you know that sugar, that sweet and simple, inoffensive looking, refined substance you use in your coffee and cupcakes actually reduces your body's ability to protect you?
[02:12:45.022 --> 02:12:46.503]  It suppresses your immune system!
[02:12:46.503 --> 02:12:47.543]  Now check this out.
[02:12:47.543 --> 02:12:51.285]  The average American consumes 2 to 3 pounds of sugar on average each week.
[02:12:51.285 --> 02:12:53.426]  That's about 120 pounds of sugar per year!
[02:12:53.946 --> 02:12:56.849]  Do you know what happens when your immune system is compromised?
[02:12:56.849 --> 02:12:57.890]  Your health suffers.
[02:12:57.890 --> 02:12:58.851]  It's that simple.
[02:12:58.851 --> 02:13:00.834]  Here's how you can help your body win the fight.
[02:13:00.834 --> 02:13:03.256]  With the dietary supplement, Agaricus Bio.
[02:13:03.256 --> 02:13:11.185]  The dietary supplement, Agaricus Bio, was developed so that you can fight back again and again by giving your immune system a chance to be the first line of defense it was meant to be.
[02:13:11.625 --> 02:13:16.069]  For a limited time only, get a Garricus Bio at 20% off the regular retail price.
[02:13:16.069 --> 02:13:18.110]  Call 877-817-9829 to order a Garricus Bio at 20% off.
[02:13:18.110 --> 02:13:19.471]  That's 877-817-9829 or visit www.thepowermall.com.
[02:13:19.471 --> 02:13:20.272]  A Garricus Bio.
[02:13:20.272 --> 02:13:22.013]  Because healthy is what you want to be.
[02:13:22.013 --> 02:13:23.334]  Call 877-817-9829 or visit www.thepowermall.com.
[02:13:40.775 --> 02:13:47.880]  During the break, I was interrogating our guest, who's agreed to stay with us a little bit for the next segment so we can take calls specifically for him.
[02:13:47.880 --> 02:13:51.663]  I was saying, what about public officials who were not to fly the night before, specifically to New York?
[02:13:51.663 --> 02:13:53.104]  What about Norris standing down?
[02:13:53.104 --> 02:13:54.965]  CIA insider trading?
[02:13:54.965 --> 02:13:58.247]  You know, guys in a cave supposedly doing all of this?
[02:13:58.247 --> 02:13:59.768]  On and on and on and on and on.
[02:13:59.768 --> 02:14:00.909]  You know, these are the facts.
[02:14:00.909 --> 02:14:02.630]  You go to Professor Christensen's site,
[02:14:03.596 --> 02:14:28.014]  Almost all the links on her site go to sites that then show all the documents, the admissions, the congressional testimony, FBI agent's testimony, and then yeah, on some of these sites she links to a particular article, say an AP article that's been saved by some other site, you can then click over and go to the forum and then find some other link to something else, or see a ad for something, and then ooh, look, they're kooky!
[02:14:28.354 --> 02:14:37.284]  No, you can't address the specifics of what she says on her site, of Operation Northwoods, or Gladio, or Haratz admitting that Israel carried out terror attacks.
[02:14:37.284 --> 02:14:40.228]  That's Jewish newspaper to blame it on their political enemies.
[02:14:40.228 --> 02:14:41.549]  You can't respond to that.
[02:14:41.549 --> 02:14:43.191]  I want to go to John here in a second.
[02:14:43.191 --> 02:14:45.514]  Paul Watson, any other comments or questions for our guest?
[02:14:46.249 --> 02:14:50.550]  Yeah, I mean the bottom line is, what are people going to come away with when they read this article?
[02:14:50.550 --> 02:14:57.192]  Anyone who disagrees with the official version of the event from 9-11 is a kook, is into aliens, conspiracy theories.
[02:14:57.192 --> 02:15:01.973]  Take a website on Watergate or Iran-Contra.
[02:15:01.973 --> 02:15:08.235]  You go to that website, it has a link to another website which has an advert for a UFO video.
[02:15:08.235 --> 02:15:12.736]  Does that mean that Watergate and Iran-Contra were conspiracy theories?
[02:15:12.736 --> 02:15:12.916]  No!
[02:15:13.636 --> 02:15:14.637]  That's my point.
[02:15:14.637 --> 02:15:23.242]  People coming away with this, everything's linked in together, and they see any disagreement with the official version of events as being kooky.
[02:15:23.242 --> 02:15:25.523]  The good news is it isn't working.
[02:15:25.523 --> 02:15:29.625]  The newspaper circulation are down 65%, TV 45%.
[02:15:29.625 --> 02:15:32.487]  We're growing by millions of visitors per month.
[02:15:33.007 --> 02:15:34.847]  I mean, we're getting bigger every month.
[02:15:34.847 --> 02:15:36.648]  The alternative press is taking over.
[02:15:36.648 --> 02:15:37.748]  Are there kooks out there?
[02:15:37.748 --> 02:15:38.368]  Yes.
[02:15:38.368 --> 02:15:39.869]  But it's never going to work.
[02:15:39.869 --> 02:15:42.149]  You cannot associate us with them.
[02:15:42.149 --> 02:15:43.309]  We are winning.
[02:15:43.309 --> 02:15:44.790]  And we're going to take this country back.
[02:15:44.790 --> 02:15:49.471]  CNN poll, 90 plus percent of people believe the government was involved.
[02:15:49.471 --> 02:15:52.312]  They've got other major polls by Zogby, 50 percent.
[02:15:52.312 --> 02:15:53.472]  We're winning.
[02:15:53.472 --> 02:15:55.012]  And the globalists are failing.
[02:15:55.012 --> 02:15:56.393]  Mr. Sanders?
[02:15:56.393 --> 02:15:58.153]  Yeah.
[02:15:58.153 --> 02:15:59.213]  Any comments on what we just said?
[02:15:59.213 --> 02:16:01.914]  It doesn't really touch my article as much.
[02:16:03.745 --> 02:16:06.167]  I'm waiting for a question.
[02:16:06.167 --> 02:16:10.611]  Well, we've cut your article apart piece by piece at PrisonPlanet.com, but we appreciate you joining us.
[02:16:10.611 --> 02:16:14.515]  John in Tennessee, you've got a question for Mr. Sanders.
[02:16:14.515 --> 02:16:20.640]  Yes, I'm sitting here at my computer and I brought up the ABC News article about Operation Northwood.
[02:16:20.640 --> 02:16:22.122]  The title of the article is, U.S.
[02:16:22.122 --> 02:16:24.564]  Military Wanted to Provoke War with Cuba.
[02:16:25.225 --> 02:16:26.246]  And the subtitle U.S.
[02:16:26.246 --> 02:16:28.588]  military drafted plans to terrorize U.S.
[02:16:28.588 --> 02:16:30.530]  cities to provoke war with Cuba.
[02:16:30.530 --> 02:16:32.411]  Hijacked jets by remote control?
[02:16:32.411 --> 02:16:33.112]  Exactly.
[02:16:33.112 --> 02:16:36.595]  Bomb D.C., commit sniper attacks, even how to frame Patsy's.
[02:16:36.595 --> 02:16:43.921]  I also brought up another ABC News article, The USO Phenomenon, Seeing is Believing.
[02:16:43.921 --> 02:16:51.688]  I brought up a CNN article about Israeli citizens that were
[02:16:52.369 --> 02:16:57.690]  When 9-11 happened, they were outside of the van, cheering on the burning Twin Towers.
[02:16:57.690 --> 02:17:03.432]  These are all for mainstream news sites, so I guess my question is... And then he'll say, well, then why do you believe them?
[02:17:03.432 --> 02:17:06.132]  No, no, they're always putting the spin on it, that it's good!
[02:17:06.132 --> 02:17:07.173]  Oh, our government, good!
[02:17:07.173 --> 02:17:08.153]  It was gonna kill us!
[02:17:08.153 --> 02:17:09.313]  Oh, how nice of them!
[02:17:09.313 --> 02:17:11.334]  Sorry, I have two questions.
[02:17:11.334 --> 02:17:15.135]  We sometimes worry about putting words in people's mouths.
[02:17:15.135 --> 02:17:17.055]  Okay, I have two questions for the guests.
[02:17:17.055 --> 02:17:20.616]  One question is, do you think that these mainstream news, um,
[02:17:21.365 --> 02:17:23.546]  Websites are a cookie.
[02:17:23.546 --> 02:17:34.473]  My other question is, you're talking about people linking to Al Jazeera, but every other night when I watch any of these news programs, they're talking about new tape from Al Jazeera.
[02:17:34.473 --> 02:17:47.582]  So if the analysts at ABC, NBC, CNN, Fox News can all go to Al Jazeera and look up information, then why would it be bad for a professor to ask her students to go to that same website?
[02:17:48.246 --> 02:17:50.328]  I just mentioned what she does on her side.
[02:17:50.328 --> 02:17:52.049]  I know, but that's the implication.
[02:17:52.049 --> 02:17:57.654]  What was your point, then, in mentioning that she's going to Al Jazeera when ABC... Be honest!
[02:17:57.654 --> 02:17:59.675]  Your point was to demonize her!
[02:17:59.675 --> 02:18:02.758]  Your point was... Paul Watson, jump in here.
[02:18:02.758 --> 02:18:04.099]  Well, that's what I was trying to get.
[02:18:04.099 --> 02:18:05.340]  What is the point?
[02:18:05.340 --> 02:18:06.421]  Is it to demonize her?
[02:18:06.421 --> 02:18:09.163]  Because that's what people are going to come away with after they read the article.
[02:18:09.163 --> 02:18:11.125]  The point is to explain about the course.
[02:18:11.983 --> 02:18:13.884]  I go through the syllabus, I go through the website.
[02:18:13.884 --> 02:18:19.507]  But the course links to specific subsections, not to whatever you can find on the labyrinth sites.
[02:18:19.507 --> 02:18:24.609]  You know, these are sites, all of the sites that, you know, the alien sites and all of that.
[02:18:24.609 --> 02:18:27.871]  ABC is linked to me, ABC is linked to me many times.
[02:18:27.871 --> 02:18:30.772]  Do they agree with me?
[02:18:30.772 --> 02:18:33.013]  I'm just reporting what was on the site.
[02:18:33.013 --> 02:18:35.875]  Y'all are... You're not reporting, you're dead.
[02:18:35.875 --> 02:18:38.016]  You're doing a shake and bake hit piece.
[02:18:40.583 --> 02:18:41.123]  I have.
[02:18:41.123 --> 02:18:44.586]  I just recorded what was on the right.
[02:18:44.586 --> 02:18:47.868]  You're saying this isn't a piece meant to go after her?
[02:18:47.868 --> 02:18:48.929]  Well, it's criticism.
[02:18:48.929 --> 02:18:50.890]  Of course it's criticism, you know?
[02:18:50.890 --> 02:18:55.874]  So what's the criticism of using Al Jazeera?
[02:18:55.874 --> 02:19:00.717]  I included you along with it because she did.
[02:19:00.717 --> 02:19:06.421]  If it was just your sight and I threw these things in and made them up, that would be another thing.
[02:19:06.421 --> 02:19:08.483]  Well, I'm glad Bart Simpson's here now, quoting.
[02:19:11.152 --> 02:19:12.853]  Of course, I've been attacked by Harry Shearer.
[02:19:12.853 --> 02:19:16.076]  I've been attacked by Harry Shearer, one of the chief voices on the show.
[02:19:16.076 --> 02:19:18.758]  I guess, is Mark Simpson kind of a nexus point?
[02:19:18.758 --> 02:19:20.880]  Well, you have brought up this fact.
[02:19:20.880 --> 02:19:24.543]  Really, folks, most of the propaganda is in the dramas and the cartoons.
[02:19:24.543 --> 02:19:27.906]  That's where they're really brainwashing us.
[02:19:27.906 --> 02:19:29.307]  We're on the march.
[02:19:29.307 --> 02:19:31.829]  The Empire's on the run.
[02:19:31.829 --> 02:19:34.492]  Alex Jones and the GCN Radio Network.
[02:19:38.428 --> 02:19:44.110]  JLS Research, founders of a revolutionary new all-natural deodorant, wants to get up close and personal with you.
[02:19:44.110 --> 02:19:45.290]  You wear deodorant, right?
[02:19:45.290 --> 02:19:46.270]  Well, let's hope you do.
[02:19:46.270 --> 02:19:49.311]  You obviously wear it to cover up that embarrassing underarm odor.
[02:19:49.311 --> 02:19:54.433]  Well, why mask the odor when you can completely eliminate the bacteria which causes the odor in the first place?
[02:19:54.433 --> 02:19:55.673]  Check out this new product.
[02:19:55.673 --> 02:19:58.934]  It's called No-B-O, and you won't believe how effectively it works.
[02:19:58.934 --> 02:20:02.795]  I know, you're wondering, how can you trust No-B-O to eliminate your embarrassing body odor?
[02:20:02.795 --> 02:20:05.296]  Look, the creator of No-B-O understands what you're going through.
[02:20:05.536 --> 02:20:10.661]  She knows you want a safe deodorant that contains no aluminum, preservatives, chemicals, or petroleum-based products.
[02:20:10.661 --> 02:20:13.904]  She also knows that while you want it all-natural, you want it very effective.
[02:20:13.904 --> 02:20:19.389]  That's why she had to search 40 years to find this all-natural product that actually soothes the skin while it attacks bacteria.
[02:20:19.389 --> 02:20:20.290]  Trinobio.
[02:20:20.290 --> 02:20:21.251]  It comes with a 100% money-back offer.
[02:20:22.432 --> 02:20:22.812]  No B.O.
[02:20:22.812 --> 02:20:25.515]  is so highly concentrated, a little goes a long way.
[02:20:25.515 --> 02:20:27.677]  Give them a call at 888-881-NO-B.O.
[02:20:27.677 --> 02:20:31.200]  Check out their website at no-b.o.com.
[02:20:31.200 --> 02:20:34.743]  Come on, it's time for you to enjoy the sweet smell of success with No B.O.
[02:20:34.743 --> 02:20:35.464]  at no-b.o.com.
[02:20:37.680 --> 02:20:44.065]  The illuminated Berkey Base allows most gravity filters to be used in the center of a table by raising the spigot level.
[02:20:44.065 --> 02:20:50.510]  Made of durable Lexan polymer, the same material used for bulletproof glass, it has eight LED lamps.
[02:20:50.510 --> 02:20:58.876]  Incredibly, the low-energy LEDs will last for more than 11 years of continuous use and are bright enough to be spotted for over a mile in the dark.
[02:20:59.176 --> 02:21:06.502]  The LED lamps are powered by an AC adapter and during emergencies, the rechargeable batteries will operate them all night long.
[02:21:06.502 --> 02:21:11.545]  When the LEDs are switched off, the AC adapter automatically recharges the batteries.
[02:21:11.545 --> 02:21:17.310]  The Berkey Base is available in gorgeous cobalt blue or practical bright white LEDs.
[02:21:17.310 --> 02:21:20.352]  Ideal as an emergency light, flashlight, or nightlight.
[02:21:20.692 --> 02:21:28.696]  Get the Illuminated Berkey Bass for only $69 or get both white and blue for only $125 by calling New Millennium at 888-803-4438.
[02:21:28.696 --> 02:21:29.276]  That's toll free, 888-803-4438.
[02:21:37.173 --> 02:21:43.419]  Do you have $10, $20, $30,000 or more in credit card debt that's suffocating your bank account and your lifestyle?
[02:21:43.419 --> 02:21:48.544]  If you think bankruptcy is the only way out, then pay close attention because relief is on the way!
[02:21:48.544 --> 02:21:58.293]  Debt Relief USA at 800-509-3201 will negotiate with your creditors and settle your credit card debt for about half of what you now owe without filing bankruptcy.
[02:21:58.473 --> 02:22:03.038]  Debt Relief USA has been helping people just like you regain control of their financial future.
[02:22:03.038 --> 02:22:06.381]  In most cases, you can be debt free in less than 36 months.
[02:22:06.381 --> 02:22:10.204]  I owed so much on my credit cards, I could barely make the minimum monthly payment.
[02:22:10.204 --> 02:22:13.348]  We talked about filing bankruptcy, but I was concerned about my credit.
[02:22:13.348 --> 02:22:15.550]  That's when I called Debt Relief USA.
[02:22:15.550 --> 02:22:19.453]  They set up a plan for me, where I could settle for just 40% of what I owed.
[02:22:19.453 --> 02:22:23.037]  I'm back in control of my life, and I owe it all to Debt Relief USA.
[02:22:23.177 --> 02:22:26.480]  Call Debt Relief USA today for your free consultation.
[02:22:26.480 --> 02:22:26.600]  800-509-3201.
[02:22:26.600 --> 02:22:28.041]  Pay your creditors and avoid bankruptcy.
[02:22:28.041 --> 02:22:28.261]  Call now.
[02:22:28.261 --> 02:22:28.401]  800-509-3201.
[02:22:28.401 --> 02:22:28.461]  800-509-3201.
[02:22:28.461 --> 02:22:31.123]  Shortly after 9-11, George W. Bush stood up in front of the UN and said,
[02:22:49.475 --> 02:22:56.817]  None of us should ever tolerate outrageous conspiracy theories concerning the attacks of 9-11.
[02:22:56.817 --> 02:23:05.959]  Attacks and claims, he said, made only to take the blame away from the terrorist, away from the guilty.
[02:23:05.959 --> 02:23:06.879]  Yes.
[02:23:06.879 --> 02:23:07.940]  We know who has the motive.
[02:23:07.940 --> 02:23:10.020]  We know who was behind the attacks.
[02:23:10.020 --> 02:23:12.621]  We know this country is being turned into a total police state.
[02:23:12.621 --> 02:23:13.401]  We're going to expose it.
[02:23:14.353 --> 02:23:17.674]  In closing here, just anything else you'd like to say?
[02:23:17.674 --> 02:23:24.497]  I mean, people can go to Front Page Magazine and read the super-liberal David Horowitz's propaganda.
[02:23:24.497 --> 02:23:27.679]  They can read yours as well.
[02:23:27.679 --> 02:23:40.364]  And we really appreciate you coming on with us, Mr. Sanders, but I would say that you have failed and you will only push more people to our sites where they will learn the truth and wake up to the New World Order.
[02:23:40.364 --> 02:23:40.884]  Mr. Sanders?
[02:23:41.843 --> 02:23:43.484]  I'm not afraid of information.
[02:23:43.484 --> 02:23:46.746]  So, you know, if more people go to your site, more power to them.
[02:23:46.746 --> 02:23:47.527]  I'm an economist.
[02:23:47.527 --> 02:23:49.708]  I believe information is freedom.
[02:23:49.708 --> 02:23:52.970]  Do you agree with Ron Paul that the Federal Reserve should be abolished?
[02:23:52.970 --> 02:23:54.992]  Or do you like the Federal Reserve?
[02:23:54.992 --> 02:23:57.634]  I'm pretty skeptical of the Federal Reserve.
[02:23:57.634 --> 02:24:05.759]  I don't want... You know, I have economic reasons for thinking that... Is it a conspiracy, though, that it's private?
[02:24:07.796 --> 02:24:10.516]  I wouldn't suggest conspiracy, certainly not grand conspiracy.
[02:24:10.516 --> 02:24:17.578]  But, you know, I'm just... I'm very leery about automatically believing in grand conspiracy.
[02:24:17.578 --> 02:24:22.078]  I try to hew to Occam's razor, the principle of parsimony.
[02:24:22.078 --> 02:24:23.579]  And I understand human nature.
[02:24:23.579 --> 02:24:30.880]  I mean, people... When you reduce things to grand conspiracies, in my view, you are reducing people to comic book characters.
[02:24:30.880 --> 02:24:33.940]  You know, cartoon super villains.
[02:24:33.940 --> 02:24:35.641]  Sir, I didn't use cartoons!
[02:24:35.641 --> 02:24:36.601]  I didn't use cartoons!
[02:24:36.601 --> 02:24:37.041]  You did!
[02:24:38.075 --> 02:24:40.396]  You used the Simpsons as your information.
[02:24:40.396 --> 02:24:44.956]  No, I used the Simpsons to... that was spoofing something that I was going to say.
[02:24:44.956 --> 02:24:46.477]  I'm going to say this right now.
[02:24:46.477 --> 02:24:48.857]  I've got to say this, Mr. Sanders.
[02:24:48.857 --> 02:24:56.699]  If you go to Infowars.com or presentplanet.com, you're going to see government documents, the bills, the legislation, what's being proposed, okay?
[02:24:56.699 --> 02:24:58.039]  You're going to see what's happening.
[02:24:58.039 --> 02:24:59.420]  That's the predominant 95%
[02:25:01.841 --> 02:25:03.102]  Of what's on my site.
[02:25:03.102 --> 02:25:08.064]  And to sit there and just make the claim that we believe in grand conspiracy theories.
[02:25:08.064 --> 02:25:09.525]  Have you read Machiavelli's The Prince?
[02:25:09.525 --> 02:25:10.005]  Have you?
[02:25:10.005 --> 02:25:12.246]  You know, U2, Brutus, Caesar.
[02:25:12.246 --> 02:25:14.087]  This is how governments operate.
[02:25:14.087 --> 02:25:15.608]  This is what powerful elites do.
[02:25:15.608 --> 02:25:17.749]  The mafia engages in conspiracies.
[02:25:17.749 --> 02:25:21.351]  The NWO is nothing but a global mafia.
[02:25:21.351 --> 02:25:22.051]  That's all it is.
[02:25:22.051 --> 02:25:28.854]  And people that say government doesn't want more power, that corporations don't fund government to carry out their aims, that's a conspiracy theory!
[02:25:28.854 --> 02:25:30.275]  You are the conspiracy theorist!
[02:25:33.646 --> 02:25:44.153]  But, do it, do it, do quite everything that happens, and it's sort of this post-hoc reasoning, you know, if this happened, look who benefits, and therefore it must have all been a planned event.
[02:25:44.153 --> 02:25:49.516]  When you go to the PENAC documents and Dick Cheney says it is, you've got to believe him!
[02:25:49.516 --> 02:25:51.718]  You've got to believe what Dick Cheney said!
[02:25:51.718 --> 02:25:54.800]  Well, yeah, he said we need terrorist attacks, so did, uh, President Brzezinski.
[02:25:54.800 --> 02:25:56.180]  Who's skeptical or who's not?
[02:25:56.180 --> 02:25:58.002]  Paul Watson.
[02:25:58.002 --> 02:26:00.423]  Well, I mean, what's the biggest conspiracy theory?
[02:26:00.423 --> 02:26:02.324]  We have an official version of events with 9-11,
[02:26:03.502 --> 02:26:18.248]  Based on 19 hijackers, most of which couldn't fly planes in the first place according to their flight instructors, planning this all from a cave and then things like the passport fluttering down out of the airline and being found five blocks away.
[02:26:18.248 --> 02:26:21.209]  BBC reports five of the hijackers are still alive.
[02:26:21.209 --> 02:26:24.691]  Other mainstream news reports cite seven as still being alive.
[02:26:25.171 --> 02:26:29.332]  The government has never presented any evidence of their official version of the events.
[02:26:29.332 --> 02:26:34.094]  Why did Condoleezza Rice call up Merrily Brown the night before and said, don't putt in New York tomorrow?
[02:26:34.094 --> 02:26:36.855]  I don't know anything about that.
[02:26:36.855 --> 02:26:37.895]  I can't comment on that.
[02:26:37.895 --> 02:26:39.196]  I don't know what you're talking about.
[02:26:39.196 --> 02:26:42.637]  San Francisco Chronicle, Associated Press, London Guardian.
[02:26:42.637 --> 02:26:47.099]  So if it comes out in mainstream media, are you suggesting that it's always true?
[02:26:47.099 --> 02:26:50.540]  No, what the big... Or is it only true when it fits in what you believe?
[02:26:50.540 --> 02:26:54.141]  I said an hour ago you'd say this, and I answered your question before you asked it.
[02:26:54.759 --> 02:26:55.840]  Okay.
[02:26:55.840 --> 02:26:56.380]  Let me tell you.
[02:26:56.380 --> 02:26:57.701]  You want the answer?
[02:26:57.701 --> 02:26:58.802]  There's different types of news.
[02:26:58.802 --> 02:27:01.884]  There's Armstrong Williams and Talon News Service.
[02:27:01.884 --> 02:27:02.864]  Pure propaganda.
[02:27:02.864 --> 02:27:11.510]  There's things like Rumsfeld saying there are weapons of mass destruction and then never being challenged on it for lying and the media saying he never said that.
[02:27:11.510 --> 02:27:12.811]  There's that type of lies.
[02:27:12.811 --> 02:27:16.453]  Then there's news where they go, cameras in school bathrooms are good.
[02:27:16.453 --> 02:27:18.655]  And then we take that and say no they're not.
[02:27:18.655 --> 02:27:20.636]  Or there's the news saying new freedom is good.
[02:27:20.916 --> 02:27:25.657]  We go, here's the actual New Freedom Initiative law which is for psychological testing.
[02:27:25.657 --> 02:27:27.097]  We think that's bad.
[02:27:27.097 --> 02:27:33.559]  Or, Operation Northwoods comes out and then we pick up on it and call the National Security Archives and they confirm it's real.
[02:27:33.559 --> 02:27:36.099]  But that never becomes a big major news story.
[02:27:36.099 --> 02:27:38.240]  We focus on it and make it a big one.
[02:27:38.240 --> 02:27:41.320]  You know there's different stratas and different types of news.
[02:27:41.320 --> 02:27:45.021]  Mainly we go off source documents.
[02:27:45.021 --> 02:27:46.421]  Well, you know, mainly you do.
[02:27:46.421 --> 02:27:49.502]  But on your site today you've got something questioning whether Bigfoot exists.
[02:27:50.197 --> 02:27:54.323]  That's a link to WorldNetDaily.
[02:27:54.323 --> 02:27:58.809]  Again, because we link to people doesn't mean we support everything they say.
[02:27:58.809 --> 02:28:00.732]  It's a pop culture story.
[02:28:00.732 --> 02:28:02.695]  It's not proof of anything.
[02:28:02.695 --> 02:28:03.556]  It's WorldNetDaily.
[02:28:07.833 --> 02:28:23.537]  Well, you might see one of those articles every 5-6 months on our webpage and that link is there on the site and I have instructed Paul to occasionally put quirking news on the site because that's what people want.
[02:28:24.438 --> 02:28:27.399]  And we're trying to expand and look at everything.
[02:28:27.399 --> 02:28:32.820]  And WorldNetDaily would totally agree with you that Lord Bush is our savior and purely... Well, whatever.
[02:28:32.820 --> 02:28:35.000]  You know, when you put... You're using a straw man.
[02:28:35.000 --> 02:28:40.201]  If you're going to put arguments in my mouth, I would really prefer that you link to them or you quote them directly.
[02:28:40.201 --> 02:28:43.521]  I don't want to be... I don't want a straw man to attack that.
[02:28:43.521 --> 02:28:44.201]  Alright?
[02:28:44.201 --> 02:28:46.322]  Don't mind you quoting from an article and let me respond.
[02:28:46.322 --> 02:28:47.162]  That's fine.
[02:28:47.162 --> 02:28:50.303]  Please do not misrepresent... Well, you're certainly helping Lord Bush!
[02:28:50.303 --> 02:28:51.663]  ...with your website, with your article.
[02:28:51.663 --> 02:28:52.523]  Helping elected officials.
[02:28:53.740 --> 02:28:54.981]  I'm sorry, I'm sorry, I talked over.
[02:28:54.981 --> 02:28:56.021]  Would you stay calm?
[02:28:56.021 --> 02:29:02.764]  We have a three-page article on PrisonPlanet.com right now where we list your article and then our response to it.
[02:29:02.764 --> 02:29:03.044]  Right.
[02:29:03.044 --> 02:29:04.985]  Not putting words in your mouth.
[02:29:04.985 --> 02:29:06.705]  Yeah, and that's fine, but you just put words.
[02:29:06.705 --> 02:29:13.868]  I mean, not you, but... Well, you are, whether you don't support Bush or not, you are inadvertently supporting their propaganda and their lies.
[02:29:13.868 --> 02:29:17.390]  I mean, you're saying this article doesn't put Bush in a good light?
[02:29:17.390 --> 02:29:20.391]  This article doesn't mention Bush at all other than it talks about the
[02:29:21.187 --> 02:29:22.007]  How?
[02:29:22.007 --> 02:29:25.388]  It supports their official story.
[02:29:25.388 --> 02:29:31.890]  Your article quotes the professors saying that they're using this to take over our society.
[02:29:31.890 --> 02:29:37.371]  You're saying your article, a five-year-old would read your article and come away from it, that you're defending the official line.
[02:29:37.371 --> 02:29:40.031]  A five-year-old reads my article?
[02:29:40.031 --> 02:29:43.532]  I'm pretty doggone impressed.
[02:29:43.532 --> 02:29:44.353]  This is unbelievable.
[02:29:44.353 --> 02:29:45.573]  One last call for you.
[02:29:45.573 --> 02:29:46.393]  Todd in Florida.
[02:29:46.393 --> 02:29:48.994]  Todd, go ahead.
[02:29:48.994 --> 02:29:49.994]  Yes sir, Mr. Sanders.
[02:29:51.317 --> 02:30:00.927]  As I was reading your 1600 words, I was looking forward to everything you described up front, you eventually debunking or at least exploring.
[02:30:00.927 --> 02:30:08.334]  But then you get to the last sentence, which turned out, I mean, it seemed like a sarcastic kind of cop-out, but I do inadvertently agree with it.
[02:30:08.334 --> 02:30:14.601]  NC Wesleyan should be proud of Professor Christensen's course, if only because she's advancing
[02:30:15.662 --> 02:30:20.765]  Uh, really a discussion about a more complex media environment than we've ever seen.
[02:30:20.765 --> 02:30:28.289]  Yeah, all we get is the official media line from the official media, so she's giving us the alternative view that is the dominant one, by the way.
[02:30:28.289 --> 02:30:38.135]  And really what this is about, and what even this discussion is advancing as well, is about discernment and about misinformation and disinformation and actual truth.
[02:30:39.153 --> 02:30:52.657]  And what's dawning on me, even in this conversation, is that there are true artists of misinformation and disinformation, and then there are people that practice it by accident.
[02:30:52.657 --> 02:30:58.279]  But to compare Professor Christensen's course to
[02:30:59.181 --> 02:31:03.244]  I think early on you compared it to canine studies, canine cultural studies.
[02:31:03.244 --> 02:31:04.745]  Right.
[02:31:04.745 --> 02:31:25.901]  That's laughable, but I think a better, more apt analogy might be to compare it to the cultural studies of the sheep culture, because there is kind of a mass mindset or mass flock of hardcore acceptists that are believing really whatever is presented by, let's say, the popular
[02:31:26.724 --> 02:31:31.765]  World government or US government view and that there is that tendency to kind of think that
[02:31:32.512 --> 02:31:34.012]  To go with the flock.
[02:31:34.012 --> 02:31:36.933]  Yeah, our founding fathers told us to not trust the government.
[02:31:36.933 --> 02:31:39.994]  That it was dangerous and evil and wicked and out of control.
[02:31:39.994 --> 02:31:43.094]  But today, oh, it's bad to have that view out of the gates.
[02:31:43.094 --> 02:31:49.776]  Even though human history and all our experiences show us that the worst in government is almost always the case.
[02:31:49.776 --> 02:31:56.477]  World tyranny, corruption, empires, despotism, serfdom, feudalism, slavery is the norm.
[02:31:56.477 --> 02:32:00.218]  Freedom is the very rare gemstone of gemstones.
[02:32:01.158 --> 02:32:11.044]  Well, yeah, if I had read your article a few years ago before waking up to some of these things, I would have kind of sided with you and scoffed, essentially.
[02:32:11.044 --> 02:32:18.488]  But now, as I read it, I was looking forward to you enlightening me on what you were scoffing at, and I never really got there.
[02:32:18.488 --> 02:32:22.491]  Like I said, it just seemed like you went with that last sentence, which NC Wesleyan
[02:32:23.343 --> 02:32:27.868]  Uh, like I said before, I should be proud of the advancing of this conversation.
[02:32:27.868 --> 02:32:29.529]  Especially things like Major Corp.
